,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHILADELPHIA_ACTION,NEW YORK_SCORE,PHILADELPHIA_SCORE
170,2,6:29.0,J. Randle enters the game for D. Smith,,26,40
171,2,6:29.0,,S. Milton enters the game for A. Burks,26,40
172,2,6:20.0,J. Randle makes 2-pt jump shot from 10 ft (assist by E. Payton),,28,40
173,2,6:03.0,,T. Harris makes 2-pt layup from 1 ft (assist by S. Milton),28,42
174,2,5:39.0,J. Randle makes 2-pt jump shot from 11 ft,,30,42
175,2,5:15.0,,S. Milton makes 3-pt jump shot from 26 ft (assist by G. Robinson),30,45
176,2,4:54.0,B. Portis makes 3-pt jump shot from 28 ft (assist by J. Randle),,33,45
177,2,4:38.0,,A. Horford makes 3-pt jump shot from 25 ft (assist by S. Milton),33,48
178,2,4:13.0,R. Barrett makes 2-pt layup from 2 ft (assist by E. Payton),,35,48
179,2,4:13.0,,Philadelphia full timeout,35,48
180,2,4:13.0,A. Trier enters the game for W. Ellington,,35,48
181,2,4:13.0,,F. Korkmaz enters the game for G. Robinson,35,48
182,2,3:57.0,,S. Milton makes 3-pt jump shot from 28 ft (assist by M. Thybulle),35,51
183,2,3:40.0,J. Randle makes 2-pt layup from 2 ft,,37,51
184,2,3:18.0,,M. Thybulle makes 2-pt layup from 2 ft (assist by A. Horford),37,53
185,2,3:04.0,E. Payton misses 3-pt jump shot from 26 ft,,37,53
186,2,3:01.0,,Defensive rebound by F. Korkmaz,37,53
187,2,2:54.0,,T. Harris makes 2-pt jump shot from 3 ft,37,55
188,2,2:54.0,,J. Richardson enters the game for M. Thybulle,37,55
189,2,2:37.0,Turnover by R. Barrett (lost ball; steal by S. Milton),,37,55
190,2,2:14.0,,J. Richardson misses 3-pt jump shot from 26 ft,37,55
191,2,2:09.0,,Offensive rebound by T. Harris,37,55
192,2,2:09.0,,T. Harris makes 2-pt layup at rim,37,57
193,2,1:53.0,J. Randle makes 2-pt dunk from 1 ft (assist by E. Payton),,39,57
194,2,1:39.0,,F. Korkmaz makes 2-pt layup from 2 ft (assist by A. Horford),39,59
195,2,1:28.0,Shooting foul by S. Milton (drawn by E. Payton),,39,59
196,2,1:28.0,E. Payton makes free throw 1 of 2,,40,59
197,2,1:28.0,E. Payton makes free throw 2 of 2,,41,59
198,2,1:11.0,,Personal foul by J. Randle (drawn by T. Harris),41,59
199,2,1:05.0,,S. Milton makes 2-pt jump shot from 12 ft,41,61
200,2,0:53.0,R. Barrett makes 2-pt dunk from 1 ft (assist by E. Payton),,43,61
201,2,0:33.0,,F. Korkmaz misses 3-pt jump shot from 23 ft,43,61
202,2,0:30.0,Defensive rebound by R. Barrett,,43,61
203,2,0:24.0,R. Barrett misses 2-pt layup from 2 ft (block by J. Richardson),,43,61
204,2,0:24.0,Offensive rebound by Team,,43,61
205,2,0:10.0,J. Randle makes 2-pt hook shot from 4 ft (assist by E. Payton),,45,61
206,2,0:10.0,Shooting foul by S. Milton (drawn by J. Randle),,45,61
207,2,0:10.0,J. Randle makes free throw 1 of 1,,46,61
208,2,0:00.0,,J. Richardson misses 3-pt jump shot from 26 ft,46,61
209,2,0:00.0,,Offensive rebound by Team,46,61
210,3,11:43.0,J. Randle makes 2-pt jump shot from 10 ft (assist by R. Barrett),,48,61
211,3,11:20.0,,A. Horford misses 2-pt hook shot from 18 ft (block by M. Robinson),48,61
212,3,11:16.0,Defensive rebound by M. Robinson,,48,61
213,3,11:09.0,R. Barrett makes 2-pt jump shot from 6 ft,,50,61
214,3,10:52.0,,A. Horford misses 2-pt jump shot from 18 ft,50,61
