,QUARTER,TIME_REMAINING,DALLAS_ACTION,CHARLOTTE_ACTION,DALLAS_SCORE,CHARLOTTE_SCORE
86,1,1:15.0,D. Wright misses 2-pt layup from 1 ft,,23,8
87,1,1:15.0,Offensive rebound by B. Marjanović,,23,8
88,1,1:15.0,B. Marjanović makes 2-pt layup at rim,,25,8
89,1,1:15.0,Shooting foul by C. Martin (drawn by B. Marjanović),,25,8
90,1,1:15.0,B. Marjanović makes free throw 1 of 1,,26,8
91,1,0:57.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by M. Monk),26,10
92,1,0:38.0,S. Curry makes 2-pt jump shot from 14 ft (assist by C. Lee),,28,10
93,1,0:30.0,,D. Graham misses 3-pt jump shot from 27 ft,28,10
94,1,0:28.0,Defensive rebound by R. Broekhoff,,28,10
95,1,0:13.0,S. Curry makes 3-pt jump shot from 30 ft,,31,10
96,1,0:04.0,,Personal take foul by D. Wright (drawn by D. Graham),31,10
97,1,0:04.0,T. Hardaway enters the game for B. Marjanović,,31,10
98,1,0:04.0,,J. McDaniels enters the game for B. Biyombo,31,10
99,1,0:04.0,,T. Rozier enters the game for C. Martin,31,10
100,1,0:01.0,,M. Bridges misses 3-pt jump shot from 23 ft,31,10
101,1,0:01.0,Defensive rebound by R. Broekhoff,,31,10
102,2,11:43.0,,J. McDaniels misses 3-pt jump shot from 26 ft,31,10
103,2,11:39.0,Defensive rebound by D. Wright,,31,10
104,2,11:30.0,S. Curry makes 3-pt jump shot from 23 ft (assist by R. Broekhoff),,34,10
105,2,11:15.0,,M. Monk makes 2-pt layup from 2 ft,34,12
106,2,11:06.0,D. Wright makes 2-pt dunk from 1 ft,,36,12
107,2,10:47.0,,M. Monk misses 3-pt jump shot from 25 ft,36,12
108,2,10:45.0,,Offensive rebound by P. Washington,36,12
109,2,10:41.0,,P. Washington makes 2-pt jump shot from 22 ft,36,14
110,2,10:31.0,Turnover by D. Wright (bad pass),,36,14
111,2,10:10.0,,M. Monk makes 3-pt jump shot from 25 ft (assist by D. Graham),36,17
112,2,9:58.0,R. Broekhoff makes 3-pt jump shot from 25 ft (assist by D. Wright),,39,17
113,2,9:44.0,,M. Monk makes 2-pt dunk from 2 ft (assist by D. Graham),39,19
114,2,9:22.0,C. Lee makes 2-pt jump shot from 18 ft,,41,19
115,2,9:05.0,,P. Washington makes 2-pt layup from 1 ft (assist by M. Monk),41,21
116,2,8:56.0,D. Wright misses 2-pt layup from 2 ft,,41,21
117,2,8:52.0,Offensive rebound by B. Marjanović,,41,21
118,2,8:52.0,B. Marjanović makes 2-pt dunk at rim,,43,21
119,2,8:36.0,,M. Monk makes 2-pt layup from 2 ft (assist by D. Graham),43,23
120,2,8:15.0,,Violation by Team (kicked ball),43,23
121,2,8:15.0,,T. Rozier enters the game for M. Bridges,43,23
122,2,8:15.0,,C. Zeller enters the game for D. Graham,43,23
123,2,8:06.0,R. Broekhoff misses 3-pt jump shot from 26 ft,,43,23
124,2,8:03.0,,Defensive rebound by J. McDaniels,43,23
125,2,8:03.0,,Personal foul by B. Marjanović (drawn by J. McDaniels),43,23
126,2,7:53.0,,T. Rozier makes 2-pt jump shot from 17 ft,43,25
127,2,7:33.0,B. Marjanović misses 2-pt layup from 2 ft (block by C. Zeller),,43,25
128,2,7:31.0,,Defensive rebound by C. Zeller,43,25
129,2,7:26.0,,Turnover by T. Rozier (bad pass; steal by C. Lee),43,25
130,2,7:24.0,Personal take foul by T. Rozier (drawn by D. Wright),,43,25
131,2,7:24.0,W. Cauley-Stein enters the game for B. Marjanović,,43,25
132,2,7:13.0,R. Broekhoff makes 3-pt jump shot from 23 ft (assist by D. Wright),,46,25
133,2,7:13.0,,Charlotte full timeout,46,25
134,2,6:56.0,,C. Zeller misses 3-pt jump shot from 26 ft,46,25
135,2,6:51.0,,Offensive rebound by P. Washington,46,25
136,2,6:50.0,,P. Washington misses 2-pt layup from 4 ft (block by C. Lee),46,25
137,2,6:45.0,Defensive rebound by S. Curry,,46,25
138,2,6:36.0,R. Broekhoff misses 3-pt jump shot from 25 ft,,46,25
139,2,6:34.0,,Defensive rebound by C. Zeller,46,25
140,2,6:19.0,,M. Monk misses 3-pt jump shot from 25 ft,46,25
141,2,6:15.0,,Offensive rebound by T. Rozier,46,25
142,2,6:12.0,,T. Rozier misses 3-pt jump shot from 24 ft,46,25
143,2,6:10.0,,Offensive rebound by C. Zeller,46,25
144,2,6:05.0,,M. Monk misses 2-pt layup from 4 ft,46,25
145,2,6:03.0,Defensive rebound by R. Broekhoff,,46,25
146,2,5:52.0,D. Wright misses 3-pt jump shot from 23 ft,,46,25
147,2,5:49.0,Offensive rebound by R. Broekhoff,,46,25
148,2,5:47.0,S. Curry makes 3-pt jump shot from 28 ft (assist by R. Broekhoff),,49,25
149,2,5:26.0,,C. Zeller misses 3-pt jump shot from 26 ft,49,25
150,2,5:23.0,Defensive rebound by R. Broekhoff,,49,25
151,2,5:13.0,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by S. Curry),,51,25
152,2,5:13.0,Shooting foul by P. Washington (drawn by W. Cauley-Stein),,51,25
153,2,5:13.0,D. Finney-Smith enters the game for R. Broekhoff,,51,25
154,2,5:13.0,T. Hardaway enters the game for S. Curry,,51,25
155,2,5:13.0,,M. Bridges enters the game for M. Monk,51,25
156,2,5:13.0,,D. Graham enters the game for P. Washington,51,25
157,2,5:13.0,W. Cauley-Stein makes free throw 1 of 1,,52,25
158,2,4:50.0,,T. Rozier makes 3-pt jump shot from 26 ft,52,28
159,2,4:35.0,C. Lee misses 3-pt jump shot from 23 ft,,52,28
160,2,4:33.0,,Defensive rebound by T. Rozier,52,28
161,2,4:29.0,,T. Rozier makes 2-pt layup from 2 ft,52,30
162,2,4:29.0,Dallas full timeout,,52,30
163,2,4:29.0,J. Brunson enters the game for C. Lee,,52,30
164,2,4:29.0,M. Kleber enters the game for D. Wright,,52,30
165,2,4:29.0,,M. Monk enters the game for J. McDaniels,52,30
166,2,4:11.0,Shooting foul by C. Zeller (drawn by M. Kleber),,52,30
167,2,4:11.0,M. Kleber makes free throw 1 of 2,,53,30
168,2,4:11.0,M. Kleber makes free throw 2 of 2,,54,30
169,2,3:57.0,,D. Graham makes 2-pt jump shot from 18 ft,54,32
170,2,3:38.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by T. Hardaway),,56,32
171,2,3:17.0,,D. Graham misses 2-pt jump shot from 11 ft,56,32
172,2,3:12.0,,Offensive rebound by C. Zeller,56,32
173,2,3:12.0,,C. Zeller makes 2-pt layup from 1 ft,56,34
174,2,2:50.0,D. Finney-Smith makes 2-pt dunk from 1 ft (assist by J. Brunson),,58,34
175,2,2:28.0,,M. Bridges misses 2-pt hook shot from 6 ft (block by M. Kleber),58,34
176,2,2:27.0,,Offensive rebound by D. Graham,58,34
177,2,2:27.0,,M. Monk makes 3-pt jump shot from 26 ft (assist by D. Graham),58,37
178,2,2:27.0,,Loose ball foul by M. Bridges (drawn by J. Brunson),58,37
179,2,2:27.0,,Instant Replay (Request: Ruling Stands),58,37
180,2,2:09.0,T. Hardaway makes 3-pt jump shot from 29 ft (assist by D. Finney-Smith),,61,37
181,2,1:46.0,,M. Monk makes 2-pt dunk from 1 ft (assist by D. Graham),61,39
182,2,1:27.0,J. Brunson misses 2-pt jump shot from 19 ft,,61,39
183,2,1:27.0,Offensive rebound by Team,,61,39
184,2,1:15.0,D. Finney-Smith misses 2-pt jump shot from 18 ft,,61,39
185,2,1:13.0,,Defensive rebound by Team,61,39
186,2,0:54.0,,D. Graham makes 2-pt jump shot from 11 ft,61,41
187,2,0:36.0,M. Kleber makes 3-pt jump shot from 23 ft (assist by D. Finney-Smith),,64,41
188,2,0:32.0,,Shooting foul by T. Hardaway (drawn by D. Graham),64,41
189,2,0:32.0,,D. Graham makes free throw 1 of 2,64,42
190,2,0:32.0,,D. Graham makes free throw 2 of 2,64,43
191,2,0:12.0,D. Finney-Smith misses 3-pt jump shot from 26 ft,,64,43
192,2,0:10.0,Offensive rebound by M. Kleber,,64,43
193,2,0:00.0,T. Hardaway misses 2-pt jump shot from 17 ft,,64,43
194,2,0:00.0,Offensive rebound by Team,,64,43
195,3,11:39.0,,P. Washington misses 2-pt jump shot from 5 ft,64,43
196,3,11:37.0,Defensive rebound by M. Kleber,,64,43
197,3,11:20.0,J. Brunson makes 2-pt layup from 2 ft,,66,43
198,3,11:10.0,,D. Graham misses 3-pt jump shot from 26 ft,66,43
199,3,11:08.0,Defensive rebound by W. Cauley-Stein,,66,43
200,3,10:50.0,J. Brunson misses 3-pt jump shot from 24 ft,,66,43
201,3,10:47.0,,Defensive rebound by M. Bridges,66,43
202,3,10:44.0,,Shooting foul by W. Cauley-Stein (drawn by C. Zeller),66,43
203,3,10:44.0,,C. Zeller makes free throw 1 of 2,66,44
204,3,10:44.0,,C. Zeller misses free throw 2 of 2,66,44
205,3,10:40.0,Defensive rebound by M. Kleber,,66,44
206,3,10:36.0,Turnover by J. Brunson (lost ball; steal by D. Graham),,66,44
207,3,10:32.0,,D. Graham misses 2-pt layup from 1 ft,66,44
208,3,10:25.0,,Offensive rebound by D. Graham,66,44
209,3,10:25.0,,D. Graham makes 2-pt layup at rim,66,46
210,3,10:00.0,Turnover by Team (shot clock),,66,46
211,3,9:47.0,,C. Zeller misses 2-pt layup from 1 ft,66,46
212,3,9:43.0,Defensive rebound by M. Kleber,,66,46
213,3,9:38.0,Personal foul by P. Washington (drawn by M. Kleber),,66,46
214,3,9:29.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Finney-Smith),,68,46
215,3,9:09.0,,Turnover by D. Graham (bad pass; steal by D. Finney-Smith),68,46
216,3,9:05.0,D. Finney-Smith makes 2-pt dunk from 1 ft,,70,46
217,3,8:54.0,,P. Washington misses 3-pt jump shot from 26 ft,70,46
218,3,8:49.0,Defensive rebound by W. Cauley-Stein,,70,46
219,3,8:40.0,D. Finney-Smith makes 3-pt jump shot from 27 ft (assist by J. Brunson),,73,46
220,3,8:40.0,,Charlotte full timeout,73,46
221,3,8:20.0,,Shooting foul by M. Kleber (drawn by P. Washington),73,46
222,3,8:20.0,,P. Washington makes free throw 1 of 2,73,47
223,3,8:20.0,,P. Washington misses free throw 2 of 2,73,47
224,3,8:17.0,Defensive rebound by J. Brunson,,73,47
225,3,8:03.0,J. Brunson misses 2-pt jump shot from 20 ft,,73,47
226,3,8:01.0,,Defensive rebound by P. Washington,73,47
227,3,7:50.0,,T. Rozier misses 3-pt jump shot from 26 ft,73,47
228,3,7:47.0,Defensive rebound by D. Finney-Smith,,73,47
229,3,7:39.0,Personal foul by C. Zeller (drawn by D. Finney-Smith),,73,47
230,3,7:29.0,J. Brunson misses 2-pt jump shot from 15 ft,,73,47
231,3,7:26.0,,Defensive rebound by P. Washington,73,47
232,3,7:12.0,,D. Graham misses 3-pt jump shot from 26 ft,73,47
233,3,7:08.0,,Offensive rebound by C. Zeller,73,47
234,3,7:08.0,,Turnover by C. Zeller (out of bounds lost ball),73,47
235,3,7:08.0,,C. Martin enters the game for M. Bridges,73,47
236,3,6:59.0,Turnover by J. Brunson (bad pass; steal by C. Zeller),,73,47
237,3,6:58.0,,Shooting foul by D. Finney-Smith (drawn by C. Zeller),73,47
238,3,6:58.0,,C. Zeller makes free throw 1 of 2,73,48
239,3,6:58.0,,M. Monk enters the game for D. Graham,73,48
240,3,6:58.0,,C. Zeller makes free throw 2 of 2,73,49
241,3,6:38.0,T. Hardaway misses 3-pt jump shot from 26 ft,,73,49
242,3,6:36.0,Offensive rebound by W. Cauley-Stein,,73,49
243,3,6:27.0,T. Hardaway misses 2-pt layup from 7 ft (block by T. Rozier),,73,49
244,3,6:25.0,,Defensive rebound by P. Washington,73,49
245,3,6:20.0,,M. Monk makes 3-pt jump shot from 25 ft (assist by C. Martin),73,52
246,3,6:20.0,Dallas full timeout,,73,52
247,3,6:20.0,S. Curry enters the game for J. Brunson,,73,52
248,3,6:20.0,D. Wright enters the game for D. Finney-Smith,,73,52
249,3,6:04.0,M. Kleber misses 3-pt jump shot from 29 ft,,73,52
250,3,6:00.0,,Defensive rebound by C. Martin,73,52
251,3,5:56.0,,C. Martin misses 2-pt layup from 1 ft,73,52
252,3,5:54.0,Defensive rebound by W. Cauley-Stein,,73,52
253,3,5:49.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by W. Cauley-Stein),,76,52
254,3,5:27.0,,Personal foul by T. Hardaway (drawn by P. Washington),76,52
255,3,5:27.0,D. Finney-Smith enters the game for M. Kleber,,76,52
256,3,5:27.0,,B. Biyombo enters the game for C. Zeller,76,52
257,3,5:21.0,,P. Washington misses 3-pt jump shot from 25 ft,76,52
258,3,5:21.0,,Offensive rebound by Team,76,52
259,3,5:21.0,Loose ball foul by W. Cauley-Stein (drawn by B. Biyombo),,76,52
260,3,5:21.0,,B. Biyombo makes free throw 1 of 2,76,53
261,3,5:21.0,,B. Biyombo misses free throw 2 of 2,76,53
262,3,5:19.0,Defensive rebound by Team,,76,53
263,3,5:01.0,Away from play foul by C. Martin (drawn by T. Hardaway),,76,53
264,3,5:01.0,T. Hardaway makes free throw 1 of 1,,77,53
265,3,4:59.0,S. Curry makes 2-pt jump shot from 15 ft (assist by D. Wright),,79,53
266,3,4:36.0,,T. Rozier makes 2-pt jump shot from 8 ft,79,55
267,3,4:09.0,D. Finney-Smith misses 2-pt layup from 2 ft,,79,55
268,3,4:04.0,Offensive rebound by W. Cauley-Stein,,79,55
269,3,4:04.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,81,55
270,3,3:58.0,,T. Rozier misses 3-pt jump shot from 26 ft,81,55
271,3,3:53.0,Defensive rebound by S. Curry,,81,55
272,3,3:48.0,S. Curry makes 3-pt jump shot from 26 ft,,84,55
273,3,3:48.0,,Charlotte full timeout,84,55
274,3,3:48.0,,M. Bridges enters the game for P. Washington,84,55
275,3,3:25.0,,M. Monk misses 3-pt jump shot from 26 ft,84,55
276,3,3:23.0,Defensive rebound by S. Curry,,84,55
277,3,3:18.0,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by S. Curry),,86,55
278,3,2:57.0,,Shooting foul by W. Cauley-Stein (drawn by M. Bridges),86,55
279,3,2:57.0,,M. Bridges makes free throw 1 of 2,86,56
280,3,2:57.0,C. Lee enters the game for W. Cauley-Stein,,86,56
281,3,2:57.0,B. Marjanović enters the game for T. Hardaway,,86,56
282,3,2:57.0,,D. Graham enters the game for T. Rozier,86,56
283,3,2:57.0,,M. Bridges misses free throw 2 of 2,86,56
284,3,2:50.0,Defensive rebound by B. Marjanović,,86,56
285,3,2:44.0,Turnover by D. Finney-Smith (bad pass; steal by M. Bridges),,86,56
286,3,2:40.0,,M. Bridges makes 2-pt dunk from 1 ft,86,58
287,3,2:27.0,Offensive foul by D. Finney-Smith (drawn by M. Monk),,86,58
288,3,2:27.0,Turnover by D. Finney-Smith (offensive foul),,86,58
289,3,2:11.0,,D. Graham makes 2-pt jump shot from 8 ft,86,60
290,3,1:50.0,C. Lee makes 3-pt jump shot from 24 ft (assist by D. Wright),,89,60
291,3,1:40.0,,M. Monk makes 2-pt jump shot from 6 ft,89,62
292,3,1:40.0,,Away from play foul by D. Finney-Smith (drawn by B. Biyombo),89,62
293,3,1:40.0,,Instant Replay (Request: Ruling Stands),89,62
294,3,1:40.0,,B. Biyombo makes free throw 1 of 1,89,63
295,3,1:22.0,S. Curry makes 3-pt jump shot from 24 ft (assist by D. Wright),,92,63
296,3,1:13.0,,D. Graham makes 2-pt jump shot from 15 ft,92,65
297,3,1:03.0,B. Marjanović makes 2-pt jump shot from 16 ft (assist by D. Wright),,94,65
298,3,0:48.0,,D. Graham misses 3-pt jump shot from 25 ft,94,65
299,3,0:46.0,Defensive rebound by D. Wright,,94,65
300,3,0:32.0,B. Marjanović misses 2-pt jump shot from 8 ft,,94,65
301,3,0:29.0,,Defensive rebound by B. Biyombo,94,65
302,3,0:15.0,,M. Monk misses 2-pt layup from 1 ft,94,65
303,3,0:13.0,Defensive rebound by B. Marjanović,,94,65
304,3,0:00.0,S. Curry misses 2-pt jump shot from 22 ft,,94,65
305,3,0:00.0,Offensive rebound by B. Marjanović,,94,65
306,3,0:00.0,B. Marjanović misses 2-pt layup from 1 ft,,94,65
307,3,0:00.0,Offensive rebound by Team,,94,65
308,4,11:48.0,Shooting foul by B. Biyombo (drawn by B. Marjanović),,94,65
309,4,11:48.0,B. Marjanović makes free throw 1 of 2,,95,65
310,4,11:48.0,B. Marjanović makes free throw 2 of 2,,96,65
311,4,11:32.0,,M. Bridges makes 2-pt layup from 1 ft (assist by D. Graham),96,67
312,4,11:16.0,D. Wright makes 2-pt jump shot from 10 ft,,98,67
313,4,11:00.0,,Shooting foul by B. Marjanović (drawn by B. Biyombo),98,67
314,4,11:00.0,,B. Biyombo misses free throw 1 of 2,98,67
315,4,11:00.0,,Offensive rebound by Team,98,67
316,4,11:00.0,,J. McDaniels enters the game for M. Monk,98,67
317,4,11:00.0,,B. Biyombo makes free throw 2 of 2,98,68
318,4,10:42.0,C. Lee misses 2-pt jump shot from 18 ft,,98,68
319,4,10:38.0,,Defensive rebound by D. Graham,98,68
320,4,10:34.0,,D. Graham makes 3-pt jump shot from 25 ft,98,71
321,4,10:15.0,D. Wright misses 3-pt jump shot from 26 ft,,98,71
322,4,10:08.0,Offensive rebound by B. Marjanović,,98,71
323,4,10:08.0,B. Marjanović makes 2-pt dunk from 1 ft,,100,71
324,4,9:55.0,,D. Graham makes 3-pt jump shot from 25 ft,100,74
325,4,9:35.0,C. Lee misses 3-pt jump shot from 27 ft,,100,74
326,4,9:32.0,,Defensive rebound by D. Graham,100,74
327,4,9:31.0,,Personal foul by B. Marjanović (drawn by D. Graham),100,74
328,4,9:24.0,,D. Graham makes 3-pt jump shot from 25 ft (assist by B. Biyombo),100,77
329,4,9:06.0,Turnover by B. Marjanović (bad pass; steal by J. McDaniels),,100,77
330,4,9:01.0,,Turnover by B. Biyombo (lost ball; steal by C. Lee),100,77
331,4,8:39.0,S. Curry misses 2-pt jump shot from 8 ft,,100,77
332,4,8:36.0,,Defensive rebound by C. Martin,100,77
333,4,8:31.0,,D. Graham makes 2-pt jump shot from 19 ft,100,79
334,4,8:31.0,,Shooting foul by C. Lee (drawn by D. Graham),100,79
335,4,8:31.0,J. Brunson enters the game for B. Marjanović,,100,79
336,4,8:31.0,D. Finney-Smith enters the game for D. Wright,,100,79
337,4,8:31.0,,D. Graham makes free throw 1 of 1,100,80
338,4,8:21.0,Personal foul by D. Graham (drawn by J. Brunson),,100,80
339,4,8:09.0,J. Brunson misses 2-pt jump shot from 17 ft,,100,80
340,4,8:08.0,Offensive rebound by Team,,100,80
341,4,8:05.0,Shooting foul by B. Biyombo (drawn by J. Brunson),,100,80
342,4,8:05.0,J. Brunson makes free throw 1 of 2,,101,80
343,4,8:05.0,J. Brunson makes free throw 2 of 2,,102,80
344,4,7:56.0,,Offensive foul by M. Bridges (drawn by J. Brunson),102,80
345,4,7:56.0,,Turnover by M. Bridges (offensive foul),102,80
346,4,7:56.0,,Instant Replay (Challenge: Ruling Stands),102,80
347,4,7:56.0,Dallas full timeout,,102,80
348,4,7:56.0,T. Hardaway enters the game for C. Lee,,102,80
349,4,7:33.0,Offensive foul by J. Brunson (drawn by C. Martin),,102,80
350,4,7:33.0,Turnover by J. Brunson (offensive foul),,102,80
351,4,7:20.0,,D. Graham makes 2-pt layup from 1 ft,102,82
352,4,6:54.0,T. Hardaway makes 2-pt layup from 6 ft,,104,82
353,4,6:37.0,,M. Bridges makes 3-pt jump shot from 23 ft (assist by D. Graham),104,85
354,4,6:18.0,J. Brunson makes 3-pt jump shot from 26 ft (assist by T. Hardaway),,107,85
355,4,6:04.0,,M. Bridges misses 3-pt jump shot from 26 ft,107,85
356,4,6:01.0,Defensive rebound by S. Curry,,107,85
357,4,5:56.0,S. Curry misses 3-pt jump shot from 27 ft,,107,85
358,4,5:54.0,,Defensive rebound by C. Martin,107,85
359,4,5:48.0,,D. Graham misses 3-pt jump shot from 25 ft,107,85
360,4,5:46.0,Defensive rebound by S. Curry,,107,85
361,4,5:35.0,D. Finney-Smith makes 2-pt layup from 1 ft (assist by T. Hardaway),,109,85
362,4,5:35.0,,Charlotte full timeout,109,85
363,4,5:35.0,R. Broekhoff enters the game for M. Kleber,,109,85
364,4,5:35.0,,T. Rozier enters the game for B. Biyombo,109,85
365,4,5:35.0,,P. Washington enters the game for C. Martin,109,85
366,4,5:23.0,,Turnover by M. Bridges (lost ball; steal by R. Broekhoff),109,85
367,4,5:13.0,T. Hardaway makes 2-pt layup from 1 ft (assist by J. Brunson),,111,85
368,4,5:00.0,,P. Washington makes 2-pt layup from 1 ft (assist by D. Graham),111,87
369,4,4:41.0,R. Broekhoff misses 3-pt jump shot from 23 ft,,111,87
370,4,4:37.0,Offensive rebound by D. Finney-Smith,,111,87
371,4,4:35.0,S. Curry misses 3-pt jump shot from 27 ft,,111,87
372,4,4:33.0,,Defensive rebound by P. Washington,111,87
