,QUARTER,TIME_REMAINING,INDIANA_ACTION,DENVER_ACTION,INDIANA_SCORE,DENVER_SCORE
212,2,1:19.0,M. Turner misses 2-pt layup from 4 ft (block by T. Craig),,40,44
213,2,1:15.0,,Defensive rebound by T. Craig,40,44
214,2,1:13.0,,T. Craig makes 2-pt layup from 3 ft (assist by N. Jokić),40,46
215,2,1:13.0,,Shooting foul by J. Holiday (drawn by T. Craig),40,46
216,2,1:13.0,G. Bitadze enters the game for M. Turner,,40,46
217,2,1:13.0,,T. Craig makes free throw 1 of 1,40,47
218,2,0:59.0,Shooting foul by J. Grant (drawn by T. Warren),,40,47
219,2,0:59.0,T. Warren makes free throw 1 of 2,,41,47
220,2,0:59.0,T. Warren makes free throw 2 of 2,,42,47
221,2,0:51.0,,Personal foul by G. Bitadze (drawn by N. Jokić),42,47
222,2,0:51.0,,N. Jokić makes free throw 1 of 2,42,48
223,2,0:51.0,,M. Beasley enters the game for J. Grant,42,48
224,2,0:51.0,,N. Jokić misses free throw 2 of 2,42,48
225,2,0:48.0,Defensive rebound by J. Holiday,,42,48
226,2,0:34.0,J. Lamb misses 2-pt jump shot from 20 ft,,42,48
227,2,0:30.0,,Defensive rebound by N. Jokić,42,48
228,2,0:16.0,,N. Jokić makes 2-pt hook shot from 6 ft,42,50
229,2,0:04.0,M. Brogdon makes 2-pt layup from 4 ft,,44,50
230,2,0:00.0,,W. Barton misses 2-pt layup from 6 ft,44,50
231,2,0:00.0,,Offensive rebound by Team,44,50
232,3,11:43.0,,N. Jokić misses 3-pt jump shot from 25 ft,44,50
233,3,11:38.0,,Offensive rebound by T. Craig,44,50
234,3,11:35.0,,N. Jokić makes 3-pt jump shot from 26 ft (assist by W. Barton),44,53
235,3,11:17.0,T. Warren makes 2-pt layup from 4 ft (assist by J. Lamb),,46,53
236,3,11:17.0,Shooting foul by T. Craig (drawn by T. Warren),,46,53
237,3,11:17.0,T. Warren makes free throw 1 of 1,,47,53
238,3,11:06.0,,N. Jokić makes 2-pt jump shot from 7 ft (assist by W. Barton),47,55
239,3,10:52.0,J. Lamb misses 3-pt jump shot from 23 ft,,47,55
240,3,10:48.0,,Defensive rebound by W. Barton,47,55
241,3,10:35.0,,N. Jokić makes 2-pt jump shot from 9 ft,47,57
242,3,10:10.0,Turnover by D. Sabonis (bad pass; steal by N. Jokić),,47,57
243,3,9:56.0,,Turnover by N. Jokić (bad pass; steal by M. Turner),47,57
244,3,9:56.0,Personal take foul by N. Jokić (drawn by D. Sabonis),,47,57
245,3,9:45.0,Offensive foul by M. Turner (drawn by J. Grant),,47,57
246,3,9:45.0,Turnover by M. Turner (offensive foul),,47,57
247,3,9:31.0,,J. Grant misses 2-pt jump shot from 4 ft,47,57
248,3,9:29.0,Defensive rebound by T. Warren,,47,57
249,3,9:21.0,D. Sabonis makes 3-pt jump shot from 26 ft (assist by T. Warren),,50,57
250,3,8:50.0,,M. Morris misses 3-pt jump shot from 24 ft,50,57
251,3,8:46.0,Defensive rebound by D. Sabonis,,50,57
252,3,8:38.0,J. Lamb misses 3-pt jump shot from 26 ft,,50,57
253,3,8:35.0,,Defensive rebound by J. Grant,50,57
254,3,8:26.0,,Shooting foul by T. Warren (drawn by J. Grant),50,57
255,3,8:26.0,,J. Grant misses free throw 1 of 2,50,57
256,3,8:26.0,,Offensive rebound by Team,50,57
257,3,8:26.0,,J. Grant misses free throw 2 of 2,50,57
258,3,8:24.0,Defensive rebound by D. Sabonis,,50,57
259,3,8:12.0,Shooting foul by N. Jokić (drawn by T. Warren),,50,57
260,3,8:12.0,T. Warren makes free throw 1 of 2,,51,57
261,3,8:12.0,T. Warren makes free throw 2 of 2,,52,57
262,3,7:54.0,,W. Barton misses 3-pt jump shot from 26 ft,52,57
263,3,7:52.0,Defensive rebound by Team,,52,57
264,3,7:40.0,D. Sabonis makes 2-pt jump shot from 17 ft (assist by M. Brogdon),,54,57
265,3,7:38.0,,Denver full timeout,54,57
266,3,7:23.0,,Shooting foul by M. Turner (drawn by N. Jokić),54,57
267,3,7:23.0,,N. Jokić misses free throw 1 of 2,54,57
268,3,7:23.0,,Offensive rebound by Team,54,57
269,3,7:23.0,G. Bitadze enters the game for M. Turner,,54,57
270,3,7:23.0,,N. Jokić makes free throw 2 of 2,54,58
271,3,7:12.0,M. Brogdon misses 2-pt jump shot from 17 ft,,54,58
272,3,7:09.0,,Defensive rebound by J. Grant,54,58
273,3,6:51.0,,T. Craig makes 3-pt jump shot from 26 ft (assist by W. Barton),54,61
274,3,6:35.0,Personal foul by T. Craig (drawn by D. Sabonis),,54,61
275,3,6:35.0,J. Holiday enters the game for G. Bitadze,,54,61
276,3,6:25.0,D. Sabonis misses 2-pt jump shot from 19 ft,,54,61
277,3,6:22.0,Offensive rebound by M. Brogdon,,54,61
278,3,6:21.0,M. Brogdon makes 2-pt jump shot from 16 ft,,56,61
279,3,6:05.0,,Shooting foul by J. Holiday (drawn by J. Grant),56,61
280,3,6:05.0,,J. Grant makes free throw 1 of 2,56,62
281,3,6:05.0,,J. Grant makes free throw 2 of 2,56,63
282,3,5:47.0,Turnover by D. Sabonis (lost ball; steal by W. Barton),,56,63
