,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,ORLANDO_ACTION,MEMPHIS_SCORE,ORLANDO_SCORE
118,2,11:23.0,J. Valančiūnas makes 2-pt jump shot from 17 ft (assist by D. Brooks),,17,27
119,2,11:23.0,Shooting foul by M. Bamba (drawn by J. Valančiūnas),,17,27
120,2,11:23.0,J. Valančiūnas makes free throw 1 of 1,,18,27
121,2,11:12.0,,A. Aminu misses 3-pt jump shot from 26 ft,18,27
122,2,11:10.0,Defensive rebound by K. Anderson,,18,27
123,2,10:59.0,Turnover by J. Morant (bad pass; steal by M. Bamba),,18,27
124,2,10:47.0,,M. Carter-Williams misses 2-pt layup from 1 ft (block by D. Brooks),18,27
125,2,10:44.0,Defensive rebound by J. Valančiūnas,,18,27
126,2,10:33.0,Away from play foul by M. Carter-Williams (drawn by D. Brooks),,18,27
127,2,10:33.0,D. Brooks makes free throw 1 of 1,,19,27
128,2,10:26.0,J. Valančiūnas makes 3-pt jump shot from 26 ft (assist by J. Morant),,22,27
129,2,10:12.0,,A. Aminu misses 3-pt jump shot from 26 ft,22,27
130,2,10:09.0,Defensive rebound by D. Brooks,,22,27
131,2,10:06.0,J. Morant makes 2-pt jump shot from 22 ft,,24,27
132,2,9:42.0,,M. Carter-Williams misses 2-pt jump shot from 6 ft,24,27
133,2,9:40.0,Defensive rebound by S. Hill,,24,27
134,2,9:26.0,J. Valančiūnas makes 2-pt jump shot from 10 ft,,26,27
135,2,9:26.0,,Orlando full timeout,26,27
136,2,9:26.0,,N. Vučević enters the game for M. Bamba,26,27
137,2,9:13.0,,D. Augustin makes 2-pt jump shot from 11 ft,26,29
138,2,8:55.0,J. Valančiūnas misses 2-pt hook shot from 9 ft,,26,29
139,2,8:52.0,,Defensive rebound by N. Vučević,26,29
140,2,8:44.0,,N. Vučević makes 2-pt jump shot from 19 ft,26,31
141,2,8:20.0,S. Hill misses 3-pt jump shot from 26 ft,,26,31
142,2,8:17.0,,Defensive rebound by A. Aminu,26,31
143,2,8:12.0,,N. Vučević misses 3-pt jump shot from 26 ft,26,31
144,2,8:11.0,Defensive rebound by Team,,26,31
145,2,8:11.0,,W. Iwundu enters the game for A. Gordon,26,31
146,2,7:57.0,J. Valančiūnas makes 2-pt layup from 2 ft (assist by J. Morant),,28,31
147,2,7:37.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by A. Aminu),28,33
148,2,7:22.0,K. Anderson misses 2-pt hook shot from 5 ft,,28,33
149,2,7:19.0,,Defensive rebound by W. Iwundu,28,33
150,2,7:12.0,,M. Carter-Williams misses 2-pt layup from 1 ft (block by D. Brooks),28,33
151,2,7:08.0,Defensive rebound by D. Brooks,,28,33
152,2,7:06.0,Turnover by J. Valančiūnas (traveling),,28,33
153,2,7:06.0,B. Clarke enters the game for K. Anderson,,28,33
154,2,7:06.0,J. Crowder enters the game for S. Hill,,28,33
155,2,7:06.0,T. Jones enters the game for J. Morant,,28,33
156,2,7:06.0,,J. Isaac enters the game for A. Aminu,28,33
157,2,6:51.0,,D. Augustin misses 2-pt jump shot from 8 ft,28,33
158,2,6:47.0,Defensive rebound by J. Valančiūnas,,28,33
159,2,6:44.0,D. Brooks misses 3-pt jump shot from 26 ft,,28,33
160,2,6:41.0,,Defensive rebound by N. Vučević,28,33
161,2,6:37.0,,Shooting foul by J. Valančiūnas (drawn by J. Isaac),28,33
162,2,6:37.0,,J. Isaac makes free throw 1 of 2,28,34
163,2,6:37.0,J. Jackson enters the game for J. Valančiūnas,,28,34
164,2,6:37.0,,J. Isaac misses free throw 2 of 2,28,34
165,2,6:35.0,Defensive rebound by D. Brooks,,28,34
166,2,6:20.0,B. Clarke makes 2-pt jump shot from 11 ft,,30,34
167,2,6:03.0,,Turnover by J. Isaac (bad pass; steal by T. Jones),30,34
168,2,5:59.0,T. Jones makes 2-pt jump shot from 10 ft,,32,34
169,2,5:47.0,,Shooting foul by D. Brooks (drawn by J. Isaac),32,34
170,2,5:47.0,,J. Isaac makes free throw 1 of 2,32,35
171,2,5:47.0,M. Guduric enters the game for D. Brooks,,32,35
172,2,5:47.0,,E. Fournier enters the game for D. Augustin,32,35
173,2,5:47.0,,M. Fultz enters the game for M. Carter-Williams,32,35
174,2,5:47.0,,J. Isaac makes free throw 2 of 2,32,36
175,2,5:28.0,J. Jackson makes 2-pt hook shot from 2 ft,,34,36
176,2,5:08.0,,E. Fournier misses 2-pt jump shot from 19 ft,34,36
177,2,5:07.0,,Offensive rebound by Team,34,36
178,2,5:04.0,,Personal foul by B. Clarke (drawn by J. Isaac),34,36
179,2,4:54.0,,E. Fournier misses 2-pt layup from 2 ft,34,36
180,2,4:52.0,Defensive rebound by J. Crowder,,34,36
181,2,4:45.0,M. Guduric makes 3-pt jump shot from 24 ft (assist by J. Crowder),,37,36
182,2,4:26.0,,W. Iwundu misses 3-pt jump shot from 24 ft,37,36
183,2,4:23.0,Defensive rebound by J. Jackson,,37,36
184,2,4:16.0,J. Jackson makes 2-pt layup at rim (assist by B. Clarke),,39,36
185,2,3:59.0,,W. Iwundu misses 2-pt layup from 5 ft (block by M. Guduric),39,36
186,2,3:59.0,Defensive rebound by M. Guduric,,39,36
187,2,3:54.0,B. Clarke makes 2-pt dunk from 2 ft (assist by T. Jones),,41,36
188,2,3:54.0,,Orlando full timeout,41,36
189,2,3:44.0,,M. Fultz misses 2-pt layup from 1 ft,41,36
190,2,3:43.0,,Offensive rebound by J. Isaac,41,36
191,2,3:42.0,,J. Isaac makes 2-pt layup from 1 ft,41,38
192,2,3:22.0,J. Jackson makes 2-pt dunk from 2 ft (assist by T. Jones),,43,38
