,QUARTER,TIME_REMAINING,PORTLAND_ACTION,TORONTO_ACTION,PORTLAND_SCORE,TORONTO_SCORE
29,1,6:53.0,C. Anthony makes 3-pt jump shot from 27 ft,,11,12
30,1,6:34.0,,O. Anunoby misses 3-pt jump shot from 23 ft,11,12
31,1,6:32.0,,Offensive rebound by S. Ibaka,11,12
32,1,6:29.0,,S. Ibaka misses 2-pt layup from 5 ft,11,12
33,1,6:27.0,Defensive rebound by H. Whiteside,,11,12
34,1,6:17.0,H. Whiteside misses 2-pt layup from 2 ft (block by K. Lowry),,11,12
35,1,6:16.0,Offensive rebound by H. Whiteside,,11,12
36,1,6:14.0,,Toronto full timeout,11,12
37,1,6:07.0,C. Anthony misses 2-pt jump shot from 11 ft,,11,12
38,1,6:04.0,,Defensive rebound by R. Hollis-Jefferson,11,12
39,1,5:55.0,,S. Ibaka misses 2-pt jump shot from 13 ft,11,12
40,1,5:53.0,Defensive rebound by H. Whiteside,,11,12
41,1,5:40.0,C. McCollum misses 2-pt jump shot from 11 ft,,11,12
42,1,5:38.0,,Defensive rebound by S. Ibaka,11,12
43,1,5:35.0,,K. Lowry misses 3-pt jump shot from 27 ft,11,12
44,1,5:32.0,Defensive rebound by H. Whiteside,,11,12
45,1,5:27.0,Personal foul by K. Lowry (drawn by C. Anthony),,11,12
46,1,5:27.0,A. Simons enters the game for C. McCollum,,11,12
47,1,5:13.0,A. Simons misses 2-pt layup from 3 ft,,11,12
48,1,5:10.0,,Defensive rebound by O. Anunoby,11,12
49,1,5:08.0,,Shooting foul by C. Anthony (drawn by K. Lowry),11,12
50,1,5:08.0,,K. Lowry makes free throw 1 of 2,11,13
51,1,5:08.0,,M. Thomas enters the game for P. McCaw,11,13
52,1,5:08.0,,K. Lowry makes free throw 2 of 2,11,14
53,1,4:46.0,C. Anthony misses 3-pt jump shot from 27 ft,,11,14
54,1,4:43.0,,Defensive rebound by M. Thomas,11,14
55,1,4:26.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,11,14
56,1,4:23.0,,Offensive rebound by R. Hollis-Jefferson,11,14
57,1,4:23.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,11,16
58,1,4:02.0,K. Bazemore misses 2-pt hook shot from 3 ft,,11,16
59,1,4:01.0,,Defensive rebound by S. Ibaka,11,16
60,1,3:55.0,,O. Anunoby misses 2-pt dunk from 1 ft,11,16
61,1,3:53.0,Defensive rebound by H. Whiteside,,11,16
62,1,3:47.0,A. Simons makes 2-pt layup from 3 ft,,13,16
63,1,3:31.0,,M. Thomas misses 3-pt jump shot from 24 ft,13,16
64,1,3:29.0,Defensive rebound by C. Anthony,,13,16
65,1,3:22.0,K. Bazemore misses 2-pt layup at rim,,13,16
66,1,3:20.0,,Defensive rebound by M. Thomas,13,16
67,1,3:14.0,,S. Ibaka misses 2-pt layup from 1 ft,13,16
68,1,3:12.0,Defensive rebound by C. Anthony,,13,16
69,1,3:10.0,K. Bazemore makes 2-pt dunk from 1 ft (assist by C. Anthony),,15,16
70,1,3:10.0,,Toronto full timeout,15,16
71,1,3:10.0,M. Hezonja enters the game for C. Anthony,,15,16
72,1,3:10.0,G. Trent enters the game for K. Bazemore,,15,16
73,1,3:10.0,,C. Boucher enters the game for O. Anunoby,15,16
74,1,3:10.0,,O. Brissett enters the game for R. Hollis-Jefferson,15,16
75,1,3:10.0,,S. Johnson enters the game for S. Ibaka,15,16
76,1,3:10.0,,P. McCaw enters the game for K. Lowry,15,16
77,1,2:53.0,,P. McCaw misses 2-pt layup from 1 ft (block by H. Whiteside),15,16
78,1,2:50.0,Defensive rebound by H. Whiteside,,15,16
79,1,2:44.0,D. Lillard misses 2-pt layup from 1 ft (block by C. Boucher),,15,16
80,1,2:42.0,,Defensive rebound by S. Johnson,15,16
81,1,2:36.0,,M. Thomas makes 3-pt jump shot from 24 ft (assist by P. McCaw),15,19
82,1,2:34.0,Portland full timeout,,15,19
83,1,2:34.0,C. McCollum enters the game for D. Lillard,,15,19
84,1,2:34.0,A. Tolliver enters the game for H. Whiteside,,15,19
85,1,2:23.0,A. Simons misses 2-pt jump shot from 12 ft,,15,19
86,1,2:19.0,,Defensive rebound by M. Thomas,15,19
87,1,2:00.0,,P. McCaw misses 2-pt jump shot from 6 ft,15,19
88,1,1:58.0,Defensive rebound by A. Simons,,15,19
89,1,1:54.0,G. Trent misses 3-pt jump shot from 26 ft,,15,19
90,1,1:51.0,,Defensive rebound by M. Thomas,15,19
91,1,1:39.0,,S. Johnson misses 2-pt layup from 4 ft (block by G. Trent),15,19
92,1,1:36.0,Defensive rebound by A. Tolliver,,15,19
93,1,1:32.0,A. Simons misses 2-pt layup from 2 ft,,15,19
94,1,1:31.0,,Defensive rebound by C. Boucher,15,19
95,1,1:26.0,,M. Thomas misses 3-pt jump shot from 25 ft,15,19
96,1,1:26.0,,Offensive rebound by O. Brissett,15,19
97,1,1:19.0,,O. Brissett makes 2-pt layup from 1 ft,15,21
98,1,0:58.0,A. Simons misses 3-pt jump shot from 26 ft (block by C. Boucher),,15,21
99,1,0:54.0,,Defensive rebound by O. Brissett,15,21
100,1,0:49.0,,O. Brissett makes 3-pt jump shot from 26 ft (assist by S. Johnson),15,24
101,1,0:32.0,C. McCollum misses 3-pt jump shot from 26 ft,,15,24
102,1,0:28.0,,Defensive rebound by C. Boucher,15,24
103,1,0:07.0,,S. Johnson misses 2-pt layup from 1 ft,15,24
104,1,0:05.0,,Offensive rebound by C. Boucher,15,24
105,1,0:04.0,,O. Brissett misses 3-pt jump shot from 24 ft,15,24
106,1,0:02.0,,Offensive rebound by C. Boucher,15,24
107,1,0:02.0,,Shooting foul by A. Tolliver (drawn by C. Boucher),15,24
108,1,0:02.0,,C. Boucher misses free throw 1 of 2,15,24
109,1,0:02.0,,Offensive rebound by Team,15,24
110,1,0:02.0,,C. Boucher misses free throw 2 of 2,15,24
111,1,0:00.0,Defensive rebound by M. Hezonja,,15,24
112,1,0:00.0,M. Hezonja misses 3-pt jump shot from 60 ft,,15,24
113,1,0:00.0,Offensive rebound by Team,,15,24
114,2,11:46.0,,S. Johnson misses 3-pt jump shot from 23 ft,15,24
115,2,11:44.0,,Offensive rebound by S. Johnson,15,24
116,2,11:42.0,,P. McCaw misses 3-pt jump shot from 26 ft,15,24
117,2,11:42.0,,Offensive rebound by O. Brissett,15,24
118,2,11:28.0,,C. Boucher misses 2-pt layup from 2 ft,15,24
119,2,11:26.0,Defensive rebound by N. Little,,15,24
120,2,11:22.0,Personal foul by M. Thomas (drawn by C. McCollum),,15,24
121,2,11:13.0,C. McCollum misses 3-pt jump shot from 26 ft,,15,24
122,2,11:07.0,,Defensive rebound by M. Thomas,15,24
123,2,10:59.0,,Turnover by M. Thomas (bad pass; steal by M. Hezonja),15,24
124,2,10:55.0,M. Hezonja makes 2-pt dunk at rim,,17,24
125,2,10:32.0,,Shooting foul by M. Hezonja (drawn by S. Johnson),17,24
126,2,10:32.0,,S. Johnson misses free throw 1 of 2,17,24
127,2,10:32.0,,Offensive rebound by Team,17,24
128,2,10:32.0,,T. Davis enters the game for P. McCaw,17,24
129,2,10:32.0,,K. Lowry enters the game for M. Thomas,17,24
130,2,10:32.0,,S. Johnson makes free throw 2 of 2,17,25
131,2,10:19.0,C. McCollum misses 2-pt layup from 2 ft (block by T. Davis),,17,25
132,2,10:15.0,Offensive rebound by C. McCollum,,17,25
133,2,10:13.0,C. McCollum misses 2-pt jump shot from 18 ft,,17,25
134,2,10:11.0,,Defensive rebound by Team,17,25
135,2,10:00.0,,S. Johnson makes 3-pt jump shot from 27 ft (assist by O. Brissett),17,28
136,2,9:40.0,M. Hezonja makes 3-pt jump shot from 27 ft (assist by C. McCollum),,20,28
137,2,9:32.0,,K. Lowry makes 3-pt jump shot from 27 ft,20,31
138,2,9:12.0,C. McCollum makes 2-pt jump shot from 18 ft,,22,31
139,2,9:05.0,,K. Lowry makes 2-pt jump shot from 5 ft,22,33
140,2,9:05.0,,Shooting foul by M. Hezonja (drawn by K. Lowry),22,33
141,2,9:05.0,C. Anthony enters the game for M. Hezonja,,22,33
142,2,9:05.0,,K. Lowry misses free throw 1 of 1,22,33
143,2,9:03.0,Defensive rebound by A. Tolliver,,22,33
144,2,8:43.0,N. Little misses 3-pt jump shot from 23 ft,,22,33
145,2,8:40.0,,Defensive rebound by T. Davis,22,33
146,2,8:34.0,,Shooting foul by A. Simons (drawn by C. Boucher),22,33
147,2,8:34.0,,C. Boucher makes free throw 1 of 2,22,34
148,2,8:34.0,D. Lillard enters the game for C. McCollum,,22,34
149,2,8:34.0,H. Whiteside enters the game for A. Tolliver,,22,34
150,2,8:34.0,,C. Boucher makes free throw 2 of 2,22,35
151,2,8:26.0,Personal foul by C. Boucher (drawn by H. Whiteside),,22,35
152,2,8:23.0,N. Little makes 2-pt layup from 2 ft (assist by H. Whiteside),,24,35
153,2,8:23.0,Shooting foul by C. Boucher (drawn by N. Little),,24,35
154,2,8:23.0,N. Little makes free throw 1 of 1,,25,35
155,2,8:08.0,,O. Brissett misses 2-pt layup from 3 ft,25,35
156,2,8:03.0,,Offensive rebound by O. Brissett,25,35
157,2,8:03.0,,O. Brissett makes 2-pt layup from 1 ft,25,37
158,2,7:48.0,Turnover by D. Lillard (out of bounds lost ball),,25,37
159,2,7:48.0,K. Bazemore enters the game for N. Little,,25,37
160,2,7:48.0,,S. Ibaka enters the game for C. Boucher,25,37
161,2,7:38.0,,K. Lowry misses 3-pt jump shot from 27 ft,25,37
162,2,7:35.0,,Offensive rebound by T. Davis,25,37
163,2,7:34.0,,S. Johnson misses 3-pt jump shot from 28 ft,25,37
164,2,7:31.0,Defensive rebound by H. Whiteside,,25,37
165,2,7:27.0,Personal foul by O. Brissett (drawn by C. Anthony),,25,37
166,2,7:27.0,,O. Anunoby enters the game for O. Brissett,25,37
167,2,7:27.0,,R. Hollis-Jefferson enters the game for S. Johnson,25,37
168,2,7:16.0,D. Lillard misses 2-pt layup from 4 ft,,25,37
169,2,7:13.0,Offensive rebound by H. Whiteside,,25,37
170,2,7:13.0,H. Whiteside misses 2-pt layup at rim,,25,37
171,2,7:11.0,Offensive rebound by H. Whiteside,,25,37
172,2,7:11.0,H. Whiteside makes 2-pt layup at rim,,27,37
173,2,6:55.0,,R. Hollis-Jefferson misses 2-pt hook shot from 3 ft,27,37
174,2,6:54.0,,Offensive rebound by R. Hollis-Jefferson,27,37
175,2,6:53.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft,27,39
176,2,6:53.0,Portland full timeout,,27,39
177,2,6:33.0,H. Whiteside makes 2-pt layup from 1 ft (assist by D. Lillard),,29,39
178,2,6:13.0,,Turnover by S. Ibaka (bad pass; steal by K. Bazemore),29,39
179,2,6:10.0,Turnover by D. Lillard (bad pass),,29,39
180,2,5:55.0,,T. Davis misses 3-pt jump shot from 25 ft,29,39
181,2,5:52.0,Defensive rebound by K. Bazemore,,29,39
182,2,5:42.0,Shooting foul by R. Hollis-Jefferson (drawn by C. Anthony),,29,39
183,2,5:42.0,C. Anthony makes free throw 1 of 2,,30,39
184,2,5:42.0,C. McCollum enters the game for A. Simons,,30,39
185,2,5:42.0,,P. McCaw enters the game for T. Davis,30,39
186,2,5:42.0,C. Anthony makes free throw 2 of 2,,31,39
187,2,5:29.0,,K. Lowry makes 3-pt jump shot from 26 ft,31,42
188,2,5:13.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by H. Whiteside),,34,42
189,2,5:05.0,,R. Hollis-Jefferson misses 2-pt layup from 3 ft (block by H. Whiteside),34,42
190,2,5:02.0,Defensive rebound by D. Lillard,,34,42
191,2,4:58.0,C. Anthony makes 3-pt jump shot from 27 ft,,37,42
192,2,4:32.0,,O. Anunoby makes 2-pt hook shot from 1 ft (assist by P. McCaw),37,44
193,2,4:10.0,Turnover by C. Anthony (bad pass; steal by R. Hollis-Jefferson),,37,44
194,2,4:08.0,,Shooting foul by C. McCollum (drawn by P. McCaw),37,44
195,2,4:08.0,,P. McCaw makes free throw 1 of 2,37,45
196,2,4:08.0,,P. McCaw makes free throw 2 of 2,37,46
197,2,3:49.0,H. Whiteside misses 2-pt layup from 3 ft,,37,46
198,2,3:45.0,Offensive rebound by H. Whiteside,,37,46
199,2,3:45.0,H. Whiteside makes 2-pt dunk at rim,,39,46
200,2,3:37.0,,P. McCaw misses 2-pt layup from 1 ft (block by H. Whiteside),39,46
201,2,3:35.0,Defensive rebound by C. Anthony,,39,46
202,2,3:23.0,C. McCollum misses 3-pt jump shot from 25 ft,,39,46
203,2,3:19.0,,Defensive rebound by O. Anunoby,39,46
204,2,3:09.0,,Toronto full timeout,39,46
205,2,3:06.0,,O. Anunoby misses 2-pt hook shot from 3 ft,39,46
206,2,3:03.0,,Offensive rebound by R. Hollis-Jefferson,39,46
207,2,3:02.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by K. Lowry),39,49
208,2,2:38.0,C. Anthony misses 3-pt jump shot from 26 ft,,39,49
209,2,2:35.0,,Defensive rebound by P. McCaw,39,49
210,2,2:32.0,,K. Lowry misses 3-pt jump shot from 26 ft,39,49
211,2,2:31.0,,Offensive rebound by O. Anunoby,39,49
212,2,2:24.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by K. Lowry),39,51
213,2,2:09.0,H. Whiteside misses 2-pt jump shot from 12 ft,,39,51
214,2,2:06.0,,Defensive rebound by S. Ibaka,39,51
215,2,2:05.0,Violation by Team (kicked ball),,39,51
216,2,1:52.0,,R. Hollis-Jefferson makes 2-pt dunk at rim (assist by S. Ibaka),39,53
217,2,1:41.0,Personal foul by R. Hollis-Jefferson (drawn by D. Lillard),,39,53
218,2,1:41.0,D. Lillard makes free throw 1 of 2,,40,53
219,2,1:41.0,D. Lillard makes free throw 2 of 2,,41,53
220,2,1:22.0,,Turnover by O. Anunoby (bad pass; steal by K. Bazemore),41,53
221,2,1:18.0,K. Bazemore makes 2-pt layup from 1 ft,,43,53
222,2,0:59.0,,O. Anunoby misses 3-pt jump shot from 24 ft,43,53
223,2,0:57.0,Defensive rebound by C. McCollum,,43,53
224,2,0:50.0,C. Anthony makes 2-pt layup from 1 ft (assist by C. McCollum),,45,53
225,2,0:50.0,Shooting foul by S. Ibaka (drawn by C. Anthony),,45,53
226,2,0:50.0,C. Anthony makes free throw 1 of 1,,46,53
227,2,0:37.0,,Personal foul by C. Anthony (drawn by S. Ibaka),46,53
228,2,0:37.0,,S. Ibaka makes free throw 1 of 2,46,54
229,2,0:37.0,,S. Ibaka misses free throw 2 of 2,46,54
230,2,0:36.0,Defensive rebound by H. Whiteside,,46,54
231,2,0:20.0,K. Bazemore misses 3-pt jump shot from 23 ft,,46,54
232,2,0:17.0,,Defensive rebound by S. Ibaka,46,54
233,2,0:03.0,,Personal foul by H. Whiteside (drawn by K. Lowry),46,54
234,2,0:03.0,,K. Lowry makes free throw 1 of 2,46,55
235,2,0:03.0,,S. Johnson enters the game for R. Hollis-Jefferson,46,55
236,2,0:03.0,,K. Lowry makes free throw 2 of 2,46,56
237,2,0:00.0,C. McCollum misses 2-pt jump shot from 20 ft,,46,56
238,2,0:00.0,Offensive rebound by Team,,46,56
239,3,11:49.0,,K. Lowry misses 3-pt jump shot from 26 ft,46,56
240,3,11:45.0,Defensive rebound by C. McCollum,,46,56
241,3,11:35.0,H. Whiteside makes 2-pt jump shot from 11 ft (assist by C. McCollum),,48,56
242,3,11:18.0,,Turnover by S. Ibaka (lost ball; steal by C. McCollum),48,56
243,3,11:13.0,C. McCollum makes 2-pt jump shot from 17 ft,,50,56
244,3,11:02.0,,S. Ibaka misses 3-pt jump shot from 26 ft,50,56
245,3,11:02.0,Defensive rebound by H. Whiteside,,50,56
246,3,10:45.0,C. McCollum misses 2-pt jump shot from 12 ft,,50,56
247,3,10:43.0,,Defensive rebound by P. McCaw,50,56
248,3,10:38.0,,P. McCaw makes 2-pt layup from 1 ft,50,58
249,3,10:20.0,C. Anthony misses 3-pt jump shot from 23 ft,,50,58
250,3,10:17.0,,Defensive rebound by K. Lowry,50,58
251,3,10:10.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,50,58
252,3,10:08.0,,Offensive rebound by K. Lowry,50,58
253,3,10:05.0,,O. Anunoby makes 3-pt jump shot from 26 ft (assist by K. Lowry),50,61
254,3,9:47.0,D. Lillard makes 2-pt jump shot from 17 ft,,52,61
255,3,9:36.0,,O. Anunoby makes 3-pt jump shot from 27 ft (assist by K. Lowry),52,64
256,3,9:19.0,C. McCollum misses 3-pt jump shot from 24 ft,,52,64
257,3,9:16.0,,Defensive rebound by S. Ibaka,52,64
258,3,9:10.0,,O. Anunoby misses 2-pt layup from 2 ft (block by H. Whiteside),52,64
259,3,9:07.0,Defensive rebound by C. Anthony,,52,64
260,3,9:03.0,K. Bazemore misses 3-pt jump shot from 24 ft,,52,64
261,3,9:00.0,,Defensive rebound by K. Lowry,52,64
262,3,8:55.0,,Offensive foul by S. Ibaka (drawn by D. Lillard),52,64
263,3,8:55.0,,Turnover by S. Ibaka (offensive foul),52,64
264,3,8:37.0,Turnover by D. Lillard (bad pass; steal by P. McCaw),,52,64
265,3,8:36.0,,Personal foul by C. McCollum (drawn by P. McCaw),52,64
266,3,8:25.0,,S. Ibaka makes 2-pt dunk from 1 ft (assist by K. Lowry),52,66
267,3,8:25.0,Portland full timeout,,52,66
268,3,8:11.0,D. Lillard misses 3-pt jump shot from 28 ft,,52,66
269,3,8:08.0,Offensive rebound by H. Whiteside,,52,66
270,3,8:05.0,C. Anthony makes 3-pt jump shot from 28 ft (assist by H. Whiteside),,55,66
271,3,7:47.0,,S. Ibaka makes 2-pt jump shot from 14 ft,55,68
272,3,7:29.0,C. Anthony makes 2-pt jump shot from 18 ft (assist by D. Lillard),,57,68
273,3,7:07.0,,K. Lowry misses 3-pt jump shot from 28 ft,57,68
274,3,7:06.0,,Offensive rebound by Team,57,68
275,3,7:02.0,,P. McCaw misses 2-pt layup from 4 ft (block by H. Whiteside),57,68
276,3,6:59.0,Defensive rebound by D. Lillard,,57,68
277,3,6:58.0,Turnover by D. Lillard (bad pass),,57,68
278,3,6:46.0,Violation by Team (kicked ball),,57,68
279,3,6:32.0,,K. Lowry misses 2-pt jump shot from 9 ft (block by D. Lillard),57,68
280,3,6:32.0,Defensive rebound by Team,,57,68
281,3,6:20.0,Personal foul by R. Hollis-Jefferson (drawn by H. Whiteside),,57,68
282,3,6:14.0,Turnover by H. Whiteside (traveling),,57,68
283,3,6:02.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,57,68
284,3,5:59.0,Defensive rebound by C. Anthony,,57,68
285,3,5:51.0,Personal foul by S. Ibaka (drawn by D. Lillard),,57,68
286,3,5:51.0,A. Simons enters the game for C. McCollum,,57,68
287,3,5:48.0,Personal foul by K. Lowry (drawn by H. Whiteside),,57,68
288,3,5:43.0,Personal foul by O. Anunoby (drawn by K. Bazemore),,57,68
289,3,5:41.0,A. Simons makes 3-pt jump shot from 27 ft (assist by D. Lillard),,60,68
290,3,5:23.0,,Personal foul by C. Anthony (drawn by K. Lowry),60,68
291,3,5:23.0,,M. Thomas enters the game for P. McCaw,60,68
292,3,5:20.0,,K. Lowry makes 3-pt jump shot from 26 ft (assist by R. Hollis-Jefferson),60,71
293,3,5:07.0,D. Lillard misses 3-pt jump shot from 27 ft,,60,71
294,3,5:04.0,,Defensive rebound by O. Anunoby,60,71
295,3,4:58.0,,Turnover by S. Ibaka (3 sec),60,71
296,3,4:42.0,Shooting foul by O. Anunoby (drawn by D. Lillard),,60,71
297,3,4:42.0,D. Lillard makes free throw 1 of 2,,61,71
298,3,4:42.0,M. Hezonja enters the game for C. Anthony,,61,71
299,3,4:42.0,D. Lillard makes free throw 2 of 2,,62,71
300,3,4:29.0,,M. Thomas misses 3-pt jump shot from 26 ft,62,71
301,3,4:27.0,,Offensive rebound by R. Hollis-Jefferson,62,71
302,3,4:20.0,,Shooting foul by M. Hezonja (drawn by K. Lowry),62,71
303,3,4:20.0,,K. Lowry makes free throw 1 of 2,62,72
304,3,4:20.0,,O. Brissett enters the game for O. Anunoby,62,72
305,3,4:20.0,,S. Johnson enters the game for R. Hollis-Jefferson,62,72
306,3,4:20.0,,K. Lowry makes free throw 2 of 2,62,73
307,3,4:05.0,H. Whiteside misses 2-pt layup from 2 ft (block by S. Johnson),,62,73
308,3,4:02.0,,Defensive rebound by M. Thomas,62,73
309,3,3:55.0,,M. Thomas misses 3-pt jump shot from 26 ft,62,73
310,3,3:53.0,Defensive rebound by M. Hezonja,,62,73
311,3,3:38.0,D. Lillard makes 3-pt jump shot from 35 ft (assist by M. Hezonja),,65,73
312,3,3:16.0,,S. Johnson misses 3-pt jump shot from 27 ft,65,73
313,3,3:10.0,Defensive rebound by K. Bazemore,,65,73
314,3,3:06.0,K. Bazemore misses 2-pt layup from 1 ft,,65,73
315,3,3:06.0,,Defensive rebound by O. Brissett,65,73
316,3,3:06.0,,Technical foul by K. Bazemore,65,73
317,3,3:06.0,,Technical foul by K. Bazemore,65,73
318,3,3:06.0,K. Bazemore ejected from game,,65,73
319,3,3:06.0,,M. Thomas makes technical free throw,65,74
320,3,3:06.0,,M. Thomas makes technical free throw,65,75
321,3,3:06.0,G. Trent enters the game for K. Bazemore,,65,75
322,3,3:06.0,,C. Boucher enters the game for S. Ibaka,65,75
323,3,2:55.0,,M. Thomas makes 3-pt jump shot from 23 ft (assist by K. Lowry),65,78
324,3,2:38.0,A. Simons misses 3-pt jump shot from 24 ft,,65,78
325,3,2:36.0,,Defensive rebound by C. Boucher,65,78
326,3,2:32.0,,K. Lowry misses 3-pt jump shot from 30 ft,65,78
327,3,2:29.0,Defensive rebound by H. Whiteside,,65,78
328,3,2:22.0,Turnover by G. Trent (lost ball; steal by O. Brissett),,65,78
329,3,2:07.0,,Turnover by C. Boucher (traveling),65,78
330,3,2:07.0,,Toronto full timeout,65,78
331,3,2:07.0,C. McCollum enters the game for D. Lillard,,65,78
332,3,2:07.0,A. Tolliver enters the game for H. Whiteside,,65,78
333,3,1:55.0,Shooting foul by K. Lowry (drawn by A. Simons),,65,78
334,3,1:55.0,A. Simons makes free throw 1 of 2,,66,78
335,3,1:55.0,C. Anthony enters the game for M. Hezonja,,66,78
336,3,1:55.0,A. Simons makes free throw 2 of 2,,67,78
337,3,1:43.0,,Turnover by K. Lowry (bad pass; steal by C. Anthony),67,78
338,3,1:31.0,C. McCollum misses 3-pt jump shot from 28 ft,,67,78
339,3,1:27.0,Offensive rebound by A. Tolliver,,67,78
340,3,1:26.0,C. McCollum misses 3-pt jump shot from 26 ft,,67,78
341,3,1:23.0,,Defensive rebound by K. Lowry,67,78
342,3,1:16.0,,K. Lowry misses 2-pt jump shot from 12 ft,67,78
343,3,1:13.0,,Offensive rebound by C. Boucher,67,78
344,3,1:13.0,,C. Boucher misses 2-pt layup at rim (block by G. Trent),67,78
345,3,1:11.0,Defensive rebound by A. Tolliver,,67,78
346,3,1:05.0,A. Simons makes 2-pt jump shot from 10 ft,,69,78
347,3,0:40.0,,K. Lowry misses 3-pt jump shot from 27 ft,69,78
348,3,0:40.0,,Offensive rebound by Team,69,78
349,3,0:40.0,Loose ball foul by A. Tolliver (drawn by C. Boucher),,69,78
350,3,0:30.0,,Turnover by M. Thomas (traveling),69,78
351,3,0:18.0,C. McCollum misses 2-pt jump shot from 2 ft (block by C. Boucher),,69,78
352,3,0:17.0,Offensive rebound by Team,,69,78
353,3,0:17.0,Away from play foul by C. Boucher (drawn by A. Tolliver),,69,78
354,3,0:17.0,Instant Replay (Request: Ruling Stands),,69,78
355,3,0:17.0,C. McCollum misses free throw 1 of 1,,69,78
356,3,0:17.0,Offensive rebound by Team,,69,78
357,3,0:03.0,A. Simons misses 2-pt jump shot from 18 ft,,69,78
358,3,0:01.0,,Defensive rebound by C. Boucher,69,78
359,3,0:00.0,,K. Lowry misses 3-pt jump shot from 56 ft,69,78
360,3,0:00.0,,Offensive rebound by Team,69,78
361,4,11:41.0,C. McCollum misses 2-pt jump shot from 17 ft,,69,78
362,4,11:38.0,,Defensive rebound by P. McCaw,69,78
363,4,11:21.0,,P. McCaw misses 2-pt layup from 4 ft,69,78
364,4,11:20.0,Defensive rebound by A. Simons,,69,78
365,4,11:04.0,C. Anthony misses 2-pt jump shot from 12 ft,,69,78
366,4,11:01.0,,Defensive rebound by S. Johnson,69,78
367,4,10:45.0,,C. Boucher misses 3-pt jump shot from 27 ft,69,78
368,4,10:41.0,Defensive rebound by C. McCollum,,69,78
369,4,10:36.0,C. McCollum makes 2-pt layup from 3 ft,,71,78
370,4,10:20.0,,Turnover by S. Johnson (step out of bounds),71,78
371,4,9:56.0,C. Anthony makes 2-pt jump shot from 19 ft (assist by C. McCollum),,73,78
372,4,9:30.0,,C. Boucher makes 3-pt jump shot from 25 ft (assist by S. Johnson),73,81
373,4,9:12.0,C. McCollum misses 2-pt layup from 1 ft,,73,81
374,4,9:10.0,,Defensive rebound by C. Boucher,73,81
375,4,9:05.0,,C. Boucher makes 2-pt layup from 2 ft,73,83
376,4,9:05.0,Portland full timeout,,73,83
377,4,9:05.0,M. Hezonja enters the game for C. Anthony,,73,83
378,4,9:05.0,D. Lillard enters the game for C. McCollum,,73,83
379,4,9:05.0,H. Whiteside enters the game for A. Tolliver,,73,83
380,4,9:05.0,,T. Davis enters the game for M. Thomas,73,83
