,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,NEW YORK_ACTION,BROOKLYN_SCORE,NEW YORK_SCORE
364,4,8:11.0,,Shooting foul by J. Allen (drawn by M. Morris),84,95
365,4,8:11.0,,M. Morris misses free throw 1 of 2,84,95
366,4,8:11.0,,Offensive rebound by Team,84,95
367,4,8:11.0,,M. Morris makes free throw 2 of 2,84,96
368,4,7:58.0,Turnover by T. Prince (bad pass; steal by R. Bullock),,84,96
369,4,7:57.0,,R. Bullock misses 2-pt layup from 2 ft (block by S. Dinwiddie),84,96
370,4,7:56.0,Defensive rebound by Team,,84,96
371,4,7:56.0,Brooklyn full timeout,,84,96
372,4,7:56.0,Instant Replay (Challenge: Ruling Stands),,84,96
373,4,7:56.0,,J. Randle enters the game for D. Dotson,84,96
374,4,7:42.0,Personal foul by F. Ntilikina (drawn by J. Allen),,84,96
375,4,7:37.0,J. Harris misses 3-pt jump shot from 25 ft,,84,96
376,4,7:35.0,,Defensive rebound by F. Ntilikina,84,96
377,4,7:17.0,,F. Ntilikina makes 2-pt jump shot from 22 ft,84,98
378,4,6:55.0,Turnover by S. Dinwiddie (out of bounds lost ball),,84,98
379,4,6:55.0,Instant Replay (Challenge: Ruling Stands),,84,98
380,4,6:34.0,,J. Randle misses 3-pt jump shot from 26 ft,84,98
381,4,6:32.0,Defensive rebound by J. Harris,,84,98
382,4,6:22.0,S. Dinwiddie makes 2-pt layup from 1 ft,,86,98
383,4,6:13.0,,T. Gibson makes 2-pt jump shot from 18 ft (assist by J. Randle),86,100
