,QUARTER,TIME_REMAINING,ATLANTA_ACTION,PHOENIX_ACTION,ATLANTA_SCORE,PHOENIX_SCORE
59,1,5:43.0,,F. Kaminsky makes 3-pt jump shot from 26 ft (assist by T. Johnson),19,13
60,1,5:27.0,Turnover by D. Jones (traveling),,19,13
61,1,5:16.0,,Shooting foul by C. Reddish (drawn by F. Kaminsky),19,13
62,1,5:16.0,,F. Kaminsky misses free throw 1 of 2,19,13
63,1,5:16.0,,Offensive rebound by Team,19,13
64,1,5:16.0,A. Len enters the game for D. Jones,,19,13
65,1,5:16.0,,F. Kaminsky makes free throw 2 of 2,19,14
66,1,5:01.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Young),,21,14
67,1,4:52.0,,Shooting foul by C. Reddish (drawn by R. Rubio),21,14
68,1,4:52.0,,R. Rubio makes free throw 1 of 2,21,15
69,1,4:52.0,A. Crabbe enters the game for C. Reddish,,21,15
70,1,4:52.0,,C. Johnson enters the game for K. Oubre,21,15
71,1,4:52.0,,R. Rubio makes free throw 2 of 2,21,16
72,1,4:36.0,A. Crabbe makes 2-pt jump shot from 19 ft (assist by T. Young),,23,16
73,1,4:17.0,,D. Šarić misses 3-pt jump shot from 25 ft,23,16
74,1,4:14.0,Defensive rebound by D. Bembry,,23,16
75,1,4:05.0,Offensive foul by B. Fernando (drawn by D. Šarić),,23,16
76,1,4:05.0,Turnover by B. Fernando (offensive foul),,23,16
77,1,4:05.0,,M. Bridges enters the game for D. Šarić,23,16
78,1,3:55.0,,R. Rubio makes 2-pt layup at rim,23,18
79,1,3:46.0,Personal foul by R. Rubio (drawn by T. Young),,23,18
80,1,3:46.0,,D. Booker enters the game for R. Rubio,23,18
81,1,3:39.0,T. Young misses 2-pt jump shot from 12 ft,,23,18
82,1,3:34.0,Offensive rebound by A. Len,,23,18
83,1,3:34.0,A. Len misses 2-pt dunk at rim,,23,18
84,1,3:33.0,,Defensive rebound by F. Kaminsky,23,18
85,1,3:26.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by F. Kaminsky),23,21
86,1,3:24.0,Atlanta full timeout,,23,21
87,1,3:02.0,B. Fernando misses 3-pt jump shot from 24 ft,,23,21
88,1,2:59.0,,Defensive rebound by M. Bridges,23,21
89,1,2:52.0,,F. Kaminsky makes 2-pt layup at rim (assist by M. Bridges),23,23
90,1,2:49.0,Turnover by T. Young (traveling),,23,23
91,1,2:49.0,J. Parker enters the game for B. Fernando,,23,23
92,1,2:41.0,,C. Johnson misses 3-pt jump shot from 25 ft,23,23
93,1,2:38.0,Defensive rebound by J. Parker,,23,23
94,1,2:32.0,T. Young misses 2-pt jump shot from 12 ft (block by T. Johnson),,23,23
95,1,2:30.0,,Defensive rebound by C. Johnson,23,23
96,1,2:30.0,,Personal foul by D. Bembry (drawn by C. Johnson),23,23
97,1,2:30.0,,C. Johnson makes free throw 1 of 2,23,24
98,1,2:30.0,T. Wallace enters the game for T. Young,,23,24
99,1,2:30.0,,C. Johnson makes free throw 2 of 2,23,25
100,1,2:10.0,Shooting foul by M. Bridges (drawn by J. Parker),,23,25
101,1,2:10.0,J. Parker makes free throw 1 of 2,,24,25
102,1,2:10.0,J. Parker makes free throw 2 of 2,,25,25
103,1,1:57.0,,F. Kaminsky misses 2-pt jump shot from 15 ft,25,25
104,1,1:54.0,Defensive rebound by A. Len,,25,25
105,1,1:42.0,J. Parker misses 2-pt jump shot from 19 ft,,25,25
106,1,1:40.0,Offensive rebound by A. Len,,25,25
107,1,1:40.0,A. Len makes 2-pt layup at rim,,27,25
108,1,1:32.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by T. Johnson),27,28
109,1,1:06.0,J. Parker makes 2-pt layup from 2 ft,,29,28
110,1,0:54.0,,T. Johnson misses 3-pt jump shot from 23 ft,29,28
111,1,0:52.0,Defensive rebound by J. Parker,,29,28
112,1,0:44.0,Turnover by J. Parker (bad pass; steal by D. Booker),,29,28
113,1,0:40.0,,D. Booker misses 2-pt layup from 2 ft (block by A. Crabbe),29,28
114,1,0:40.0,,Offensive rebound by Team,29,28
115,1,0:38.0,,D. Booker makes 3-pt jump shot from 23 ft (assist by T. Johnson),29,31
116,1,0:24.0,Shooting foul by M. Bridges (drawn by J. Parker),,29,31
117,1,0:24.0,J. Parker makes free throw 1 of 2,,30,31
118,1,0:24.0,C. Brown enters the game for A. Crabbe,,30,31
119,1,0:24.0,J. Parker misses free throw 2 of 2,,30,31
120,1,0:22.0,,Defensive rebound by Team,30,31
121,1,0:06.0,,D. Booker misses 2-pt jump shot from 7 ft,30,31
122,1,0:03.0,Defensive rebound by D. Bembry,,30,31
123,1,0:00.0,J. Parker makes 3-pt jump shot from 26 ft (assist by D. Bembry),,33,31
124,1,0:00.0,Instant Replay (Request: Ruling Stands),,33,31
125,2,11:40.0,,C. Johnson misses 3-pt jump shot from 26 ft,33,31
126,2,11:37.0,Defensive rebound by J. Parker,,33,31
127,2,11:23.0,A. Len misses 3-pt jump shot from 25 ft,,33,31
128,2,11:21.0,Offensive rebound by Team,,33,31
129,2,11:14.0,A. Len makes 2-pt dunk from 1 ft (assist by T. Wallace),,35,31
130,2,10:57.0,,C. Johnson makes 3-pt jump shot from 23 ft (assist by D. Booker),35,34
131,2,10:40.0,Shooting foul by A. Baynes (drawn by A. Len),,35,34
132,2,10:40.0,A. Len misses free throw 1 of 2,,35,34
133,2,10:40.0,Offensive rebound by Team,,35,34
134,2,10:40.0,A. Len makes free throw 2 of 2,,36,34
135,2,10:23.0,,D. Booker misses 2-pt jump shot from 12 ft,36,34
136,2,10:21.0,Defensive rebound by D. Bembry,,36,34
137,2,10:13.0,D. Bembry misses 2-pt dunk from 1 ft,,36,34
138,2,10:12.0,,Defensive rebound by C. Johnson,36,34
139,2,10:06.0,,C. Johnson makes 3-pt jump shot from 25 ft,36,37
140,2,9:43.0,T. Wallace misses 3-pt jump shot from 23 ft,,36,37
141,2,9:41.0,,Defensive rebound by A. Baynes,36,37
142,2,9:32.0,,A. Baynes misses 3-pt jump shot from 25 ft,36,37
143,2,9:30.0,Defensive rebound by A. Len,,36,37
144,2,9:21.0,Offensive foul by J. Parker (drawn by C. Johnson),,36,37
145,2,9:21.0,Turnover by J. Parker (offensive foul),,36,37
146,2,9:21.0,D. Jones enters the game for C. Brown,,36,37
147,2,9:21.0,T. Young enters the game for A. Len,,36,37
148,2,9:21.0,,K. Oubre enters the game for D. Booker,36,37
149,2,9:21.0,,R. Rubio enters the game for C. Johnson,36,37
150,2,9:21.0,,D. Šarić enters the game for F. Kaminsky,36,37
151,2,9:07.0,,D. Šarić makes 2-pt hook shot from 3 ft (assist by R. Rubio),36,39
152,2,8:54.0,J. Parker misses 2-pt dunk from 1 ft,,36,39
153,2,8:52.0,Offensive rebound by D. Bembry,,36,39
154,2,8:50.0,Personal foul by T. Johnson (drawn by T. Young),,36,39
155,2,8:44.0,J. Parker makes 3-pt jump shot from 23 ft (assist by T. Wallace),,39,39
156,2,8:26.0,,K. Oubre makes 2-pt layup at rim (assist by T. Johnson),39,41
157,2,8:18.0,T. Young makes 3-pt jump shot from 28 ft,,42,41
158,2,8:07.0,,R. Rubio misses 2-pt jump shot from 22 ft,42,41
159,2,8:04.0,Defensive rebound by J. Parker,,42,41
160,2,7:58.0,T. Young makes 2-pt jump shot from 7 ft,,44,41
161,2,7:58.0,Shooting foul by A. Baynes (drawn by T. Young),,44,41
162,2,7:58.0,,F. Kaminsky enters the game for A. Baynes,44,41
163,2,7:58.0,T. Young misses free throw 1 of 1,,44,41
164,2,7:56.0,,Defensive rebound by K. Oubre,44,41
165,2,7:41.0,,F. Kaminsky misses 3-pt jump shot from 26 ft,44,41
166,2,7:38.0,Defensive rebound by Team,,44,41
167,2,7:38.0,,Loose ball foul by D. Šarić (drawn by D. Bembry),44,41
168,2,7:38.0,B. Fernando enters the game for D. Bembry,,44,41
169,2,7:38.0,D. Hunter enters the game for J. Parker,,44,41
170,2,7:38.0,C. Reddish enters the game for T. Wallace,,44,41
171,2,7:26.0,D. Hunter misses 2-pt jump shot from 9 ft,,44,41
172,2,7:25.0,Offensive rebound by D. Jones,,44,41
173,2,7:24.0,D. Jones makes 2-pt dunk at rim,,46,41
174,2,7:12.0,,D. Šarić makes 3-pt jump shot from 26 ft (assist by R. Rubio),46,44
175,2,6:59.0,D. Hunter misses 3-pt jump shot from 26 ft,,46,44
176,2,6:56.0,,Defensive rebound by K. Oubre,46,44
177,2,6:52.0,,K. Oubre makes 2-pt layup at rim,46,46
178,2,6:52.0,Atlanta full timeout,,46,46
179,2,6:41.0,C. Reddish misses 3-pt jump shot from 23 ft,,46,46
180,2,6:39.0,,Defensive rebound by F. Kaminsky,46,46
181,2,6:33.0,,K. Oubre makes 3-pt jump shot from 26 ft (assist by T. Johnson),46,49
182,2,6:21.0,Offensive foul by D. Jones (drawn by R. Rubio),,46,49
183,2,6:21.0,Turnover by D. Jones (offensive foul),,46,49
184,2,6:10.0,,Turnover by R. Rubio (bad pass; steal by D. Jones),46,49
185,2,6:06.0,T. Young misses 2-pt jump shot from 15 ft,,46,49
186,2,6:04.0,,Defensive rebound by F. Kaminsky,46,49
187,2,5:59.0,,K. Oubre misses 3-pt jump shot from 25 ft,46,49
188,2,5:57.0,Defensive rebound by D. Jones,,46,49
189,2,5:46.0,B. Fernando makes 2-pt layup from 1 ft (assist by D. Jones),,48,49
190,2,5:27.0,,K. Oubre makes 2-pt jump shot from 1 ft (assist by D. Šarić),48,51
191,2,5:27.0,,Shooting foul by D. Jones (drawn by K. Oubre),48,51
192,2,5:27.0,,D. Booker enters the game for T. Johnson,48,51
193,2,5:27.0,,K. Oubre makes free throw 1 of 1,48,52
194,2,5:14.0,D. Jones makes 2-pt dunk from 1 ft (assist by T. Young),,50,52
195,2,5:00.0,,D. Booker makes 3-pt jump shot from 25 ft (assist by R. Rubio),50,55
196,2,4:46.0,T. Young misses 3-pt jump shot from 27 ft,,50,55
197,2,4:42.0,Offensive rebound by D. Hunter,,50,55
198,2,4:32.0,B. Fernando misses 2-pt layup from 1 ft,,50,55
199,2,4:30.0,Offensive rebound by D. Jones,,50,55
200,2,4:28.0,D. Jones misses 2-pt layup from 1 ft,,50,55
201,2,4:26.0,Offensive rebound by C. Reddish,,50,55
202,2,4:26.0,,Flagrant foul type 1 by C. Reddish (drawn by F. Kaminsky),50,55
203,2,4:26.0,Turnover by C. Reddish (turnover),,50,55
204,2,4:26.0,Instant Replay (Request: Ruling Stands),,50,55
205,2,4:26.0,D. Bembry enters the game for B. Fernando,,50,55
206,2,4:26.0,J. Parker enters the game for C. Reddish,,50,55
207,2,4:26.0,,F. Kaminsky misses flagrant free throw 1 of 2,50,55
208,2,4:26.0,,Offensive rebound by Team,50,55
209,2,4:26.0,,F. Kaminsky makes flagrant free throw 2 of 2,50,56
210,2,4:16.0,,Turnover by K. Oubre (bad pass; steal by D. Hunter),50,56
211,2,4:08.0,T. Young makes 2-pt jump shot from 12 ft,,52,56
212,2,3:59.0,,K. Oubre misses 2-pt layup from 6 ft (block by D. Jones),52,56
213,2,3:56.0,Defensive rebound by D. Jones,,52,56
214,2,3:54.0,Personal foul by R. Rubio (drawn by T. Young),,52,56
215,2,3:54.0,T. Young makes free throw 1 of 2,,53,56
216,2,3:54.0,T. Young makes free throw 2 of 2,,54,56
217,2,3:40.0,,D. Booker misses 3-pt jump shot from 24 ft,54,56
218,2,3:38.0,Defensive rebound by D. Jones,,54,56
219,2,3:29.0,Offensive foul by D. Jones (drawn by R. Rubio),,54,56
220,2,3:29.0,Turnover by D. Jones (offensive foul),,54,56
221,2,3:29.0,A. Len enters the game for D. Jones,,54,56
222,2,3:19.0,,R. Rubio misses 2-pt layup from 4 ft (block by D. Bembry),54,56
223,2,3:17.0,Defensive rebound by J. Parker,,54,56
224,2,3:14.0,D. Hunter misses 2-pt layup from 1 ft,,54,56
225,2,3:12.0,,Defensive rebound by D. Šarić,54,56
226,2,3:04.0,,Turnover by D. Booker (bad pass; steal by T. Young),54,56
227,2,2:52.0,T. Young makes 2-pt jump shot from 13 ft,,56,56
228,2,2:32.0,,R. Rubio misses 2-pt jump shot from 22 ft,56,56
229,2,2:30.0,Defensive rebound by D. Bembry,,56,56
230,2,2:22.0,T. Young makes 2-pt jump shot from 15 ft (assist by D. Bembry),,58,56
231,2,2:12.0,,D. Booker makes 2-pt layup from 1 ft,58,58
232,2,1:55.0,T. Young misses 2-pt jump shot from 6 ft,,58,58
233,2,1:54.0,,Defensive rebound by F. Kaminsky,58,58
234,2,1:49.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by R. Rubio),58,61
235,2,1:25.0,Shooting foul by F. Kaminsky (drawn by A. Len),,58,61
236,2,1:25.0,A. Len makes free throw 1 of 2,,59,61
237,2,1:25.0,A. Crabbe enters the game for D. Hunter,,59,61
238,2,1:25.0,,A. Baynes enters the game for F. Kaminsky,59,61
239,2,1:25.0,,T. Johnson enters the game for R. Rubio,59,61
240,2,1:25.0,A. Len misses free throw 2 of 2,,59,61
241,2,1:23.0,,Defensive rebound by A. Baynes,59,61
242,2,1:10.0,,Shooting foul by T. Young (drawn by D. Booker),59,61
243,2,1:10.0,,D. Booker makes free throw 1 of 2,59,62
244,2,1:10.0,,D. Booker makes free throw 2 of 2,59,63
245,2,0:57.0,Shooting foul by A. Baynes (drawn by A. Len),,59,63
246,2,0:57.0,A. Len makes free throw 1 of 2,,60,63
247,2,0:57.0,,F. Kaminsky enters the game for A. Baynes,60,63
248,2,0:57.0,A. Len makes free throw 2 of 2,,61,63
249,2,0:39.0,,Shooting foul by A. Len (drawn by D. Booker),61,63
250,2,0:39.0,,D. Booker makes free throw 1 of 2,61,64
251,2,0:39.0,,D. Booker makes free throw 2 of 2,61,65
252,2,0:32.0,T. Young misses 3-pt jump shot from 29 ft,,61,65
253,2,0:29.0,Offensive rebound by D. Bembry,,61,65
254,2,0:29.0,D. Bembry misses 2-pt layup from 1 ft,,61,65
255,2,0:29.0,,Defensive rebound by D. Šarić,61,65
256,2,0:09.0,,D. Booker makes 2-pt jump shot from 17 ft,61,67
257,3,11:38.0,,D. Booker makes 2-pt layup from 1 ft,61,69
258,3,11:18.0,Offensive foul by D. Jones (drawn by K. Oubre),,61,69
259,3,11:18.0,Turnover by D. Jones (offensive foul),,61,69
260,3,11:18.0,A. Len enters the game for D. Jones,,61,69
261,3,11:05.0,,D. Šarić makes 2-pt jump shot from 9 ft,61,71
262,3,10:52.0,A. Len misses 2-pt jump shot from 1 ft,,61,71
263,3,10:50.0,Offensive rebound by A. Len,,61,71
264,3,10:48.0,C. Reddish makes 2-pt layup from 1 ft (assist by A. Len),,63,71
265,3,10:30.0,,D. Booker misses 3-pt jump shot from 27 ft,63,71
266,3,10:28.0,Defensive rebound by C. Reddish,,63,71
267,3,10:22.0,Personal foul by K. Oubre (drawn by D. Hunter),,63,71
268,3,10:14.0,A. Len makes 2-pt dunk at rim (assist by T. Young),,65,71
269,3,10:14.0,Shooting foul by K. Oubre (drawn by A. Len),,65,71
270,3,10:14.0,A. Len misses free throw 1 of 1,,65,71
271,3,10:12.0,,Defensive rebound by D. Šarić,65,71
272,3,10:00.0,,A. Baynes misses 2-pt hook shot from 2 ft,65,71
273,3,9:59.0,,Offensive rebound by D. Šarić,65,71
274,3,9:53.0,,Turnover by D. Booker (bad pass; steal by T. Young),65,71
275,3,9:42.0,C. Reddish misses 3-pt jump shot from 26 ft,,65,71
276,3,9:38.0,,Defensive rebound by R. Rubio,65,71
277,3,9:32.0,,Shooting foul by A. Len (drawn by K. Oubre),65,71
278,3,9:32.0,,K. Oubre makes free throw 1 of 3,65,72
279,3,9:32.0,,K. Oubre makes free throw 2 of 3,65,73
280,3,9:32.0,,K. Oubre makes free throw 3 of 3,65,74
281,3,9:17.0,D. Hunter misses 2-pt layup from 2 ft,,65,74
282,3,9:14.0,Offensive rebound by A. Len,,65,74
283,3,9:14.0,Shooting foul by A. Baynes (drawn by A. Len),,65,74
284,3,9:14.0,A. Len makes free throw 1 of 2,,66,74
285,3,9:14.0,,F. Kaminsky enters the game for A. Baynes,66,74
286,3,9:14.0,A. Len makes free throw 2 of 2,,67,74
287,3,8:55.0,,F. Kaminsky makes 3-pt jump shot from 25 ft (assist by D. Booker),67,77
288,3,8:37.0,D. Hunter makes 2-pt jump shot from 11 ft,,69,77
289,3,8:28.0,,D. Šarić makes 3-pt jump shot from 25 ft (assist by D. Booker),69,80
290,3,8:11.0,C. Reddish makes 3-pt jump shot from 22 ft (assist by T. Young),,72,80
291,3,8:04.0,,K. Oubre makes 2-pt layup from 1 ft (assist by R. Rubio),72,82
292,3,8:04.0,,Shooting foul by C. Reddish (drawn by K. Oubre),72,82
293,3,8:04.0,,K. Oubre makes free throw 1 of 1,72,83
294,3,7:50.0,Personal foul by D. Šarić (drawn by T. Young),,72,83
295,3,7:50.0,D. Bembry enters the game for C. Reddish,,72,83
296,3,7:47.0,J. Parker misses 2-pt jump shot from 21 ft,,72,83
297,3,7:44.0,,Defensive rebound by K. Oubre,72,83
298,3,7:39.0,,R. Rubio makes 2-pt layup from 1 ft (assist by K. Oubre),72,85
299,3,7:39.0,Atlanta full timeout,,72,85
300,3,7:17.0,J. Parker misses 2-pt layup from 2 ft,,72,85
301,3,7:13.0,Offensive rebound by A. Len,,72,85
302,3,7:13.0,A. Len makes 2-pt dunk from 1 ft,,74,85
303,3,7:01.0,,F. Kaminsky misses 3-pt jump shot from 25 ft,74,85
304,3,6:58.0,,Offensive rebound by D. Šarić,74,85
305,3,6:53.0,,R. Rubio misses 3-pt jump shot from 25 ft,74,85
306,3,6:49.0,,Offensive rebound by F. Kaminsky,74,85
307,3,6:49.0,,F. Kaminsky makes 2-pt layup from 2 ft,74,87
308,3,6:34.0,J. Parker makes 2-pt layup from 2 ft (assist by D. Bembry),,76,87
309,3,6:23.0,,Turnover by R. Rubio (bad pass; steal by D. Bembry),76,87
310,3,6:18.0,J. Parker misses 3-pt jump shot from 23 ft,,76,87
311,3,6:14.0,,Defensive rebound by K. Oubre,76,87
312,3,6:13.0,,Personal foul by D. Bembry (drawn by K. Oubre),76,87
313,3,6:03.0,,Turnover by F. Kaminsky (lost ball; steal by D. Hunter),76,87
314,3,6:01.0,Turnover by D. Hunter (bad pass),,76,87
315,3,5:52.0,,Personal foul by D. Bembry (drawn by D. Booker),76,87
316,3,5:37.0,,D. Booker misses 2-pt jump shot from 13 ft,76,87
317,3,5:33.0,Defensive rebound by A. Len,,76,87
318,3,5:25.0,J. Parker makes 2-pt layup from 1 ft (assist by T. Young),,78,87
319,3,5:09.0,,F. Kaminsky makes 2-pt layup from 1 ft (assist by R. Rubio),78,89
320,3,5:00.0,Turnover by T. Young (lost ball; steal by D. Booker),,78,89
321,3,4:55.0,,D. Booker makes 2-pt layup from 1 ft,78,91
322,3,4:29.0,D. Hunter misses 3-pt jump shot from 23 ft,,78,91
323,3,4:28.0,,Defensive rebound by Team,78,91
324,3,4:28.0,Loose ball foul by A. Len (drawn by D. Šarić),,78,91
325,3,4:28.0,,D. Šarić makes free throw 1 of 2,78,92
326,3,4:28.0,B. Fernando enters the game for J. Parker,,78,92
327,3,4:28.0,T. Wallace enters the game for T. Young,,78,92
328,3,4:28.0,,C. Johnson enters the game for K. Oubre,78,92
329,3,4:28.0,,D. Šarić makes free throw 2 of 2,78,93
330,3,4:15.0,D. Hunter misses 2-pt layup from 1 ft,,78,93
331,3,4:12.0,,Defensive rebound by R. Rubio,78,93
332,3,4:08.0,,Turnover by D. Šarić (off goaltending),78,93
333,3,3:55.0,T. Wallace misses 2-pt jump shot from 9 ft,,78,93
334,3,3:53.0,,Defensive rebound by C. Johnson,78,93
335,3,3:40.0,,C. Johnson misses 2-pt jump shot from 7 ft,78,93
336,3,3:37.0,Defensive rebound by T. Wallace,,78,93
337,3,3:30.0,A. Len makes 3-pt jump shot from 23 ft (assist by D. Bembry),,81,93
338,3,3:11.0,,R. Rubio misses 2-pt layup from 5 ft (block by D. Bembry),81,93
339,3,3:11.0,,Offensive rebound by Team,81,93
340,3,3:11.0,,Technical foul by D. Bembry,81,93
341,3,3:11.0,,Technical foul by D. Bembry,81,93
342,3,3:11.0,D. Bembry ejected from game,,81,93
343,3,3:11.0,,D. Booker makes technical free throw,81,94
344,3,3:11.0,,D. Booker makes technical free throw,81,95
345,3,3:11.0,,Phoenix full timeout,81,95
346,3,3:11.0,J. Parker enters the game for D. Bembry,,81,95
347,3,3:11.0,T. Young enters the game for A. Len,,81,95
348,3,3:11.0,,M. Bridges enters the game for R. Rubio,81,95
349,3,3:11.0,,T. Johnson enters the game for D. Šarić,81,95
350,3,3:09.0,,Personal foul by T. Wallace (drawn by D. Booker),81,95
351,3,3:09.0,,D. Booker makes free throw 1 of 2,81,96
352,3,3:09.0,,D. Booker makes free throw 2 of 2,81,97
353,3,3:00.0,Shooting foul by M. Bridges (drawn by J. Parker),,81,97
354,3,3:00.0,J. Parker makes free throw 1 of 2,,82,97
355,3,3:00.0,J. Parker makes free throw 2 of 2,,83,97
356,3,2:44.0,,Turnover by D. Booker (lost ball; steal by T. Wallace),83,97
357,3,2:35.0,B. Fernando makes 2-pt layup from 1 ft (assist by T. Young),,85,97
358,3,2:23.0,,Turnover by D. Booker (lost ball; steal by J. Parker),85,97
359,3,2:23.0,Personal foul by D. Booker (drawn by J. Parker),,85,97
360,3,2:23.0,J. Parker misses free throw 1 of 2,,85,97
361,3,2:23.0,Offensive rebound by Team,,85,97
362,3,2:23.0,A. Crabbe enters the game for D. Hunter,,85,97
363,3,2:23.0,,K. Oubre enters the game for D. Booker,85,97
364,3,2:23.0,J. Parker makes free throw 2 of 2,,86,97
365,3,2:10.0,,K. Oubre makes 2-pt dunk from 1 ft (assist by M. Bridges),86,99
366,3,1:55.0,J. Parker makes 2-pt jump shot from 6 ft (assist by T. Young),,88,99
367,3,1:42.0,,M. Bridges misses 3-pt jump shot from 26 ft,88,99
368,3,1:40.0,Defensive rebound by T. Wallace,,88,99
369,3,1:33.0,T. Young makes 2-pt layup from 8 ft,,90,99
370,3,1:17.0,,C. Johnson misses 2-pt layup from 4 ft,90,99
371,3,1:15.0,Defensive rebound by A. Crabbe,,90,99
372,3,1:10.0,T. Young misses 3-pt jump shot from 29 ft,,90,99
373,3,1:07.0,,Defensive rebound by Team,90,99
374,3,1:07.0,Loose ball foul by B. Fernando (drawn by C. Johnson),,90,99
375,3,1:07.0,,C. Johnson makes free throw 1 of 2,90,100
376,3,1:07.0,A. Len enters the game for J. Parker,,90,100
377,3,1:07.0,,C. Johnson makes free throw 2 of 2,90,101
378,3,0:57.0,B. Fernando misses 3-pt jump shot from 26 ft,,90,101
379,3,0:55.0,,Defensive rebound by K. Oubre,90,101
380,3,0:40.0,,M. Bridges misses 2-pt layup from 1 ft (block by B. Fernando),90,101
381,3,0:37.0,Defensive rebound by A. Crabbe,,90,101
382,3,0:31.0,A. Crabbe misses 3-pt jump shot from 28 ft,,90,101
383,3,0:29.0,,Defensive rebound by Team,90,101
384,3,0:29.0,Loose ball foul by B. Fernando (drawn by M. Bridges),,90,101
385,3,0:29.0,,M. Bridges misses free throw 1 of 2,90,101
386,3,0:29.0,,Offensive rebound by Team,90,101
387,3,0:29.0,J. Parker enters the game for B. Fernando,,90,101
388,3,0:29.0,,M. Bridges misses free throw 2 of 2,90,101
