,QUARTER,TIME_REMAINING,ORLANDO_ACTION,DENVER_ACTION,ORLANDO_SCORE,DENVER_SCORE
350,3,0:00.0,D. Augustin makes free throw 1 of 3,,74,84
351,3,0:00.0,D. Augustin makes free throw 2 of 3,,75,84
352,3,0:00.0,D. Augustin makes free throw 3 of 3,,76,84
353,4,11:50.0,T. Ross makes 2-pt jump shot from 19 ft (assist by D. Augustin),,78,84
354,4,11:35.0,,M. Beasley makes 3-pt jump shot from 26 ft (assist by M. Morris),78,87
355,4,11:10.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by T. Ross),,81,87
356,4,10:50.0,,J. Grant makes 2-pt layup from 2 ft (assist by M. Morris),81,89
357,4,10:35.0,Turnover by E. Fournier (bad pass; steal by M. Morris),,81,89
358,4,10:35.0,,Personal foul by E. Fournier (drawn by J. Grant),81,89
359,4,10:23.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by W. Barton),81,91
360,4,10:04.0,M. Bamba makes 3-pt jump shot from 22 ft (assist by D. Augustin),,84,91
361,4,9:45.0,,M. Plumlee misses 2-pt hook shot from 5 ft,84,91
362,4,9:43.0,,Offensive rebound by Team,84,91
363,4,9:38.0,,J. Grant misses 2-pt jump shot from 14 ft,84,91
364,4,9:34.0,Defensive rebound by M. Bamba,,84,91
365,4,9:29.0,W. Iwundu makes 2-pt jump shot from 6 ft,,86,91
366,4,9:11.0,,Turnover by M. Plumlee (3 sec),86,91
367,4,8:49.0,T. Ross misses 2-pt jump shot from 14 ft,,86,91
368,4,8:46.0,,Defensive rebound by M. Plumlee,86,91
369,4,8:39.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by M. Plumlee),86,94
370,4,8:23.0,Shooting foul by J. Grant (drawn by W. Iwundu),,86,94
371,4,8:23.0,W. Iwundu makes free throw 1 of 2,,87,94
372,4,8:23.0,,P. Millsap enters the game for J. Grant,87,94
373,4,8:23.0,W. Iwundu makes free throw 2 of 2,,88,94
374,4,8:10.0,,W. Barton misses 2-pt layup from 4 ft,88,94
375,4,8:05.0,,Offensive rebound by M. Plumlee,88,94
376,4,8:05.0,,M. Plumlee makes 2-pt layup at rim,88,96
377,4,8:00.0,Personal foul by M. Beasley (drawn by D. Augustin),,88,96
378,4,8:00.0,M. Carter-Williams enters the game for M. Bamba,,88,96
379,4,8:00.0,N. Vučević enters the game for E. Fournier,,88,96
380,4,7:45.0,N. Vučević misses 2-pt jump shot from 12 ft,,88,96
381,4,7:43.0,,Defensive rebound by P. Millsap,88,96
382,4,7:30.0,,M. Morris misses 2-pt jump shot from 13 ft,88,96
383,4,7:27.0,,Offensive rebound by M. Beasley,88,96
384,4,7:17.0,,M. Beasley misses 3-pt jump shot from 27 ft,88,96
