,QUARTER,TIME_REMAINING,DENVER_ACTION,ATLANTA_ACTION,DENVER_SCORE,ATLANTA_SCORE
175,2,4:38.0,,A. Len makes 2-pt layup from 3 ft (assist by T. Young),49,44
176,2,4:38.0,,Shooting foul by P. Millsap (drawn by A. Len),49,44
177,2,4:38.0,J. Murray enters the game for M. Morris,,49,44
178,2,4:38.0,,A. Len makes free throw 1 of 1,49,45
179,2,4:23.0,N. Jokić makes 2-pt hook shot from 4 ft,,51,45
180,2,4:02.0,,J. Collins makes 2-pt dunk from 1 ft (assist by A. Len),51,47
181,2,3:50.0,N. Jokić misses 3-pt jump shot from 26 ft,,51,47
182,2,3:47.0,,Defensive rebound by J. Collins,51,47
183,2,3:41.0,,A. Len misses 3-pt jump shot from 22 ft,51,47
184,2,3:39.0,Defensive rebound by W. Barton,,51,47
185,2,3:28.0,N. Jokić misses 2-pt jump shot from 12 ft,,51,47
186,2,3:26.0,,Defensive rebound by D. Hunter,51,47
187,2,3:19.0,,D. Hunter makes 3-pt jump shot from 26 ft (assist by J. Collins),51,50
188,2,2:53.0,G. Harris misses 3-pt jump shot from 25 ft,,51,50
189,2,2:52.0,,Defensive rebound by Team,51,50
190,2,2:52.0,,V. Carter enters the game for J. Collins,51,50
191,2,2:35.0,,Turnover by K. Huerter (bad pass; steal by N. Jokić),51,50
192,2,2:28.0,W. Barton makes 2-pt dunk from 1 ft (assist by J. Murray),,53,50
193,2,2:16.0,,Shooting foul by P. Millsap (drawn by A. Len),53,50
194,2,2:16.0,,A. Len misses free throw 1 of 2,53,50
195,2,2:16.0,,Offensive rebound by Team,53,50
196,2,2:16.0,M. Porter enters the game for P. Millsap,,53,50
197,2,2:16.0,,C. Reddish enters the game for K. Huerter,53,50
198,2,2:16.0,,A. Len makes free throw 2 of 2,53,51
199,2,2:09.0,Personal foul by C. Reddish (drawn by N. Jokić),,53,51
200,2,2:09.0,N. Jokić makes free throw 1 of 2,,54,51
201,2,2:09.0,N. Jokić makes free throw 2 of 2,,55,51
202,2,1:56.0,,D. Hunter misses 2-pt jump shot from 21 ft,55,51
203,2,1:51.0,Defensive rebound by M. Porter,,55,51
204,2,1:47.0,Turnover by W. Barton (bad pass; steal by A. Len),,55,51
205,2,1:40.0,,D. Hunter makes 2-pt dunk from 1 ft (assist by V. Carter),55,53
206,2,1:24.0,J. Murray makes 2-pt jump shot from 9 ft (assist by N. Jokić),,57,53
207,2,1:11.0,,C. Reddish makes 3-pt jump shot from 23 ft (assist by T. Young),57,56
208,2,0:53.0,,Violation by Team (kicked ball),57,56
209,2,0:48.0,W. Barton misses 2-pt layup from 3 ft (block by V. Carter),,57,56
210,2,0:48.0,Offensive rebound by Team,,57,56
211,2,0:43.0,J. Murray misses 2-pt layup from 2 ft,,57,56
212,2,0:42.0,Offensive rebound by N. Jokić,,57,56
213,2,0:42.0,N. Jokić makes 2-pt layup at rim,,59,56
214,2,0:37.0,,Turnover by T. Young (out of bounds lost ball),59,56
215,2,0:31.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by J. Murray),,62,56
216,2,0:13.0,,V. Carter misses 3-pt jump shot from 27 ft,62,56
217,2,0:10.0,Defensive rebound by Team,,62,56
218,2,0:10.0,,D. Bembry enters the game for V. Carter,62,56
219,2,0:10.0,,K. Huerter enters the game for A. Len,62,56
220,2,0:00.0,J. Murray makes 2-pt layup from 2 ft,,64,56
221,2,0:00.0,,Turnover by D. Hunter (bad pass; steal by N. Jokić),64,56
222,3,11:50.0,N. Jokić misses 2-pt jump shot from 20 ft,,64,56
223,3,11:50.0,Offensive rebound by Team,,64,56
224,3,11:50.0,,Loose ball foul by J. Collins (drawn by P. Millsap),64,56
225,3,11:38.0,G. Harris misses 3-pt jump shot from 26 ft,,64,56
226,3,11:36.0,,Defensive rebound by B. Fernando,64,56
227,3,11:20.0,,B. Fernando misses 2-pt layup from 1 ft,64,56
228,3,11:17.0,Defensive rebound by P. Millsap,,64,56
229,3,11:13.0,Turnover by P. Millsap (lost ball; steal by K. Huerter),,64,56
230,3,11:10.0,,K. Huerter makes 2-pt layup from 1 ft (assist by D. Hunter),64,58
231,3,10:54.0,P. Millsap misses 3-pt jump shot from 23 ft,,64,58
232,3,10:52.0,,Defensive rebound by K. Huerter,64,58
233,3,10:36.0,,B. Fernando misses 3-pt jump shot from 23 ft,64,58
234,3,10:32.0,,Offensive rebound by K. Huerter,64,58
235,3,10:26.0,,D. Hunter misses 2-pt layup from 1 ft (block by W. Barton),64,58
236,3,10:23.0,Defensive rebound by P. Millsap,,64,58
237,3,10:13.0,J. Murray makes 3-pt jump shot from 25 ft (assist by W. Barton),,67,58
238,3,9:54.0,,B. Fernando misses 2-pt layup from 2 ft,67,58
239,3,9:51.0,Defensive rebound by N. Jokić,,67,58
240,3,9:42.0,J. Murray misses 3-pt jump shot from 25 ft,,67,58
241,3,9:40.0,,Defensive rebound by D. Hunter,67,58
242,3,9:33.0,,T. Young misses 2-pt jump shot from 18 ft,67,58
243,3,9:29.0,Defensive rebound by W. Barton,,67,58
244,3,9:22.0,W. Barton misses 2-pt layup from 1 ft,,67,58
245,3,9:18.0,,Defensive rebound by B. Fernando,67,58
246,3,9:13.0,,Turnover by T. Young (back court),67,58
247,3,9:13.0,,V. Carter enters the game for B. Fernando,67,58
248,3,9:04.0,J. Murray misses 2-pt dunk at rim,,67,58
249,3,9:01.0,,Defensive rebound by D. Hunter,67,58
250,3,9:00.0,,Shooting foul by W. Barton (drawn by D. Hunter),67,58
251,3,9:00.0,,D. Hunter makes free throw 1 of 2,67,59
252,3,9:00.0,,D. Hunter makes free throw 2 of 2,67,60
253,3,8:44.0,Shooting foul by J. Collins (drawn by N. Jokić),,67,60
254,3,8:44.0,,Atlanta full timeout,67,60
255,3,8:44.0,,Instant Replay (Challenge: Ruling Stands),67,60
256,3,8:44.0,,A. Len enters the game for J. Collins,67,60
257,3,8:44.0,N. Jokić makes free throw 1 of 2,,68,60
258,3,8:44.0,N. Jokić makes free throw 2 of 2,,69,60
259,3,8:32.0,,K. Huerter makes 3-pt jump shot from 26 ft (assist by T. Young),69,63
260,3,8:12.0,Personal foul by A. Len (drawn by N. Jokić),,69,63
261,3,8:02.0,J. Murray misses 2-pt jump shot from 18 ft,,69,63
262,3,8:00.0,,Defensive rebound by Team,69,63
