,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,INDIANA_ACTION,LA CLIPPERS_SCORE,INDIANA_SCORE
315,3,6:30.0,P. Patterson misses 3-pt jump shot from 28 ft,,74,57
316,3,6:25.0,,Defensive rebound by T. Warren,74,57
317,3,6:13.0,,Shooting foul by P. George (drawn by J. Lamb),74,57
318,3,6:13.0,,J. Lamb misses free throw 1 of 2,74,57
319,3,6:13.0,,Offensive rebound by Team,74,57
320,3,6:13.0,,J. Lamb misses free throw 2 of 2,74,57
321,3,6:09.0,,Offensive rebound by J. Lamb,74,57
322,3,6:09.0,,J. Lamb makes 2-pt layup at rim,74,59
323,3,5:54.0,P. George misses 2-pt jump shot from 17 ft,,74,59
324,3,5:50.0,,Defensive rebound by J. Lamb,74,59
325,3,5:43.0,,M. Brogdon makes 2-pt jump shot from 10 ft,74,61
326,3,5:42.0,LA Clippers full timeout,,74,61
327,3,5:42.0,J. Robinson enters the game for P. Beverley,,74,61
328,3,5:42.0,L. Williams enters the game for M. Harkless,,74,61
329,3,5:42.0,,J. Holiday enters the game for J. Lamb,74,61
330,3,5:42.0,,T. McConnell enters the game for D. Sabonis,74,61
331,3,5:28.0,I. Zubac makes 2-pt dunk from 2 ft (assist by P. George),,76,61
332,3,5:16.0,,M. Brogdon makes 2-pt layup from 3 ft,76,63
333,3,4:57.0,L. Williams misses 2-pt jump shot from 18 ft,,76,63
334,3,4:56.0,,Defensive rebound by Team,76,63
335,3,4:56.0,M. Harrell enters the game for I. Zubac,,76,63
336,3,4:35.0,,Offensive foul by T. Warren (drawn by P. George),76,63
337,3,4:35.0,,Turnover by T. Warren (offensive foul),76,63
338,3,4:16.0,P. George makes 3-pt jump shot from 27 ft,,79,63
339,3,4:05.0,,Shooting foul by M. Harrell (drawn by M. Brogdon),79,63
340,3,4:05.0,,M. Brogdon makes free throw 1 of 2,79,64
341,3,4:05.0,,D. McDermott enters the game for T. Warren,79,64
342,3,4:05.0,,M. Brogdon makes free throw 2 of 2,79,65
343,3,3:54.0,P. George makes 2-pt jump shot from 2 ft,,81,65
344,3,3:43.0,,M. Turner misses 2-pt jump shot from 22 ft,81,65
345,3,3:40.0,Defensive rebound by P. George,,81,65
346,3,3:36.0,Turnover by L. Williams (bad pass; steal by M. Brogdon),,81,65
347,3,3:24.0,,T. McConnell misses 2-pt jump shot from 10 ft,81,65
348,3,3:20.0,,Offensive rebound by M. Turner,81,65
349,3,3:13.0,,M. Turner misses 2-pt jump shot from 8 ft,81,65
350,3,3:10.0,,Offensive rebound by T. McConnell,81,65
351,3,3:08.0,,T. McConnell misses 2-pt jump shot from 15 ft,81,65
352,3,3:05.0,Defensive rebound by M. Harrell,,81,65
353,3,3:00.0,P. George makes 3-pt jump shot from 26 ft,,84,65
354,3,2:58.0,,Indiana full timeout,84,65
355,3,2:58.0,M. Harkless enters the game for P. Patterson,,84,65
356,3,2:58.0,,A. Holiday enters the game for M. Brogdon,84,65
357,3,2:58.0,,D. Sabonis enters the game for M. Turner,84,65
358,3,2:47.0,,J. Holiday misses 3-pt jump shot from 26 ft,84,65
359,3,2:44.0,Defensive rebound by P. George,,84,65
360,3,2:37.0,M. Harrell makes 2-pt layup from 2 ft (assist by P. George),,86,65
361,3,2:37.0,Shooting foul by D. McDermott (drawn by M. Harrell),,86,65
362,3,2:37.0,M. Harrell makes free throw 1 of 1,,87,65
363,3,2:24.0,,Turnover by D. Sabonis (lost ball; steal by P. George),87,65
364,3,2:13.0,P. George misses 2-pt jump shot from 19 ft,,87,65
365,3,2:10.0,,Defensive rebound by T. McConnell,87,65
366,3,2:06.0,,J. Holiday misses 3-pt jump shot from 24 ft,87,65
367,3,2:04.0,Defensive rebound by P. George,,87,65
368,3,1:58.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,89,65
369,3,1:45.0,,D. Sabonis makes 2-pt jump shot from 18 ft (assist by A. Holiday),89,67
370,3,1:25.0,L. Williams misses 2-pt jump shot from 15 ft,,89,67
371,3,1:23.0,Offensive rebound by M. Harkless,,89,67
372,3,1:17.0,M. Harrell makes 2-pt jump shot from 17 ft,,91,67
373,3,1:05.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by T. McConnell),91,69
374,3,0:53.0,L. Williams misses 2-pt jump shot from 18 ft,,91,69
375,3,0:50.0,,Defensive rebound by D. Sabonis,91,69
376,3,0:45.0,,Shooting foul by J. Robinson (drawn by T. McConnell),91,69
377,3,0:45.0,,T. McConnell makes free throw 1 of 2,91,70
378,3,0:45.0,P. Beverley enters the game for P. George,,91,70
379,3,0:45.0,,T. McConnell makes free throw 2 of 2,91,71
380,3,0:31.0,L. Williams misses 3-pt jump shot from 27 ft,,91,71
381,3,0:26.0,Offensive rebound by M. Harrell,,91,71
382,3,0:22.0,,Personal foul by P. Beverley (drawn by A. Holiday),91,71
383,3,0:22.0,Turnover by P. Beverley (turnover),,91,71
384,3,0:22.0,,A. Holiday makes free throw 1 of 2,91,72
385,3,0:22.0,,A. Holiday makes free throw 2 of 2,91,73
386,3,0:04.0,L. Williams misses 2-pt layup from 2 ft,,91,73
387,3,0:00.0,,Defensive rebound by D. McDermott,91,73
388,4,11:44.0,,A. Holiday misses 2-pt jump shot from 22 ft,91,73
389,4,11:43.0,Defensive rebound by M. Harkless,,91,73
390,4,11:33.0,P. Beverley makes 3-pt jump shot from 28 ft (assist by L. Williams),,94,73
391,4,11:25.0,,A. Holiday misses 2-pt jump shot from 17 ft,94,73
392,4,11:22.0,Defensive rebound by P. Beverley,,94,73
393,4,11:14.0,L. Williams misses 2-pt jump shot from 18 ft,,94,73
394,4,11:12.0,,Defensive rebound by J. Holiday,94,73
395,4,11:04.0,,T. McConnell misses 2-pt jump shot from 17 ft,94,73
