,QUARTER,TIME_REMAINING,INDIANA_ACTION,TORONTO_ACTION,INDIANA_SCORE,TORONTO_SCORE
165,2,5:56.0,A. Holiday makes 2-pt layup from 2 ft (assist by D. Sabonis),,27,51
166,2,5:48.0,,K. Lowry misses 3-pt jump shot from 26 ft,27,51
167,2,5:48.0,,Offensive rebound by Team,27,51
168,2,5:48.0,Loose ball foul by D. Sabonis (drawn by O. Anunoby),,27,51
169,2,5:48.0,,T. Davis enters the game for K. Lowry,27,51
170,2,5:38.0,,S. Ibaka misses 2-pt jump shot from 18 ft,27,51
171,2,5:37.0,Defensive rebound by D. Sabonis,,27,51
172,2,5:20.0,D. Sabonis misses 2-pt jump shot from 15 ft,,27,51
173,2,5:18.0,,Defensive rebound by O. Anunoby,27,51
174,2,5:02.0,,T. Davis misses 3-pt jump shot from 25 ft,27,51
175,2,4:59.0,,Offensive rebound by S. Ibaka,27,51
176,2,4:56.0,,Turnover by S. Ibaka (bad pass; steal by A. Holiday),27,51
177,2,4:51.0,A. Holiday misses 3-pt jump shot from 26 ft,,27,51
178,2,4:47.0,,Defensive rebound by S. Ibaka,27,51
179,2,4:43.0,,F. VanVleet misses 3-pt jump shot from 27 ft,27,51
180,2,4:41.0,,Offensive rebound by S. Ibaka,27,51
181,2,4:38.0,,F. VanVleet makes 3-pt jump shot from 22 ft (assist by S. Ibaka),27,54
182,2,4:24.0,Personal foul by F. VanVleet (drawn by D. Sabonis),,27,54
183,2,4:24.0,J. Holiday enters the game for D. Sabonis,,27,54
184,2,4:17.0,Turnover by A. Holiday (lost ball; steal by F. VanVleet),,27,54
185,2,4:07.0,,F. VanVleet misses 2-pt layup from 2 ft (block by M. Turner),27,54
186,2,4:07.0,,Offensive rebound by Team,27,54
187,2,3:56.0,,O. Anunoby misses 3-pt jump shot from 26 ft,27,54
188,2,3:53.0,,Offensive rebound by S. Ibaka,27,54
189,2,3:52.0,,S. Ibaka misses 2-pt jump shot from 4 ft,27,54
190,2,3:49.0,Defensive rebound by M. Brogdon,,27,54
191,2,3:30.0,M. Turner misses 3-pt jump shot from 23 ft,,27,54
192,2,3:27.0,,Defensive rebound by S. Ibaka,27,54
193,2,3:23.0,,Shooting foul by M. Brogdon (drawn by P. Siakam),27,54
194,2,3:23.0,,P. Siakam misses free throw 1 of 2,27,54
195,2,3:23.0,,Offensive rebound by Team,27,54
196,2,3:23.0,,P. Siakam makes free throw 2 of 2,27,55
197,2,3:04.0,A. Holiday misses 2-pt hook shot from 6 ft,,27,55
198,2,3:02.0,,Defensive rebound by P. Siakam,27,55
199,2,2:56.0,,F. VanVleet misses 3-pt jump shot from 28 ft,27,55
200,2,2:55.0,Defensive rebound by M. Turner,,27,55
201,2,2:41.0,M. Turner misses 2-pt layup from 5 ft,,27,55
202,2,2:40.0,Offensive rebound by M. Brogdon,,27,55
