,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,ATLANTA_ACTION,SAN ANTONIO_SCORE,ATLANTA_SCORE
69,1,4:33.0,,B. Fernando makes 2-pt dunk from 1 ft (assist by T. Young),14,16
70,1,4:22.0,D. DeRozan misses 2-pt jump shot from 13 ft,,14,16
71,1,4:20.0,,Defensive rebound by J. Parker,14,16
72,1,4:15.0,,T. Young misses 3-pt jump shot from 34 ft,14,16
73,1,4:12.0,Defensive rebound by L. Aldridge,,14,16
74,1,3:58.0,Turnover by R. Gay (bad pass),,14,16
75,1,3:58.0,,D. Bembry enters the game for D. Hunter,14,16
76,1,3:58.0,,V. Carter enters the game for J. Parker,14,16
77,1,3:58.0,,T. Wallace enters the game for T. Young,14,16
78,1,3:48.0,,Turnover by B. Fernando (bad pass; steal by P. Mills),14,16
79,1,3:33.0,Personal foul by V. Carter (drawn by L. Aldridge),,14,16
80,1,3:33.0,M. Belinelli enters the game for D. DeRozan,,14,16
81,1,3:33.0,,D. Jones enters the game for B. Fernando,14,16
82,1,3:28.0,D. White misses 3-pt jump shot from 26 ft,,14,16
83,1,3:25.0,,Defensive rebound by Team,14,16
84,1,3:16.0,,V. Carter misses 2-pt layup from 10 ft (block by L. Aldridge),14,16
85,1,3:16.0,,Offensive rebound by Team,14,16
86,1,3:11.0,,V. Carter misses 3-pt jump shot from 26 ft,14,16
87,1,3:07.0,Defensive rebound by R. Gay,,14,16
88,1,3:00.0,Shooting foul by D. Jones (drawn by L. Aldridge),,14,16
89,1,3:00.0,L. Aldridge makes free throw 1 of 2,,15,16
90,1,3:00.0,L. Aldridge makes free throw 2 of 2,,16,16
91,1,2:51.0,,K. Huerter misses 3-pt jump shot from 25 ft,16,16
92,1,2:49.0,Defensive rebound by M. Belinelli,,16,16
93,1,2:37.0,P. Mills makes 2-pt jump shot from 16 ft (assist by L. Aldridge),,18,16
94,1,2:25.0,,T. Wallace misses 2-pt layup from 2 ft,18,16
95,1,2:23.0,Defensive rebound by M. Belinelli,,18,16
96,1,2:09.0,M. Belinelli misses 3-pt jump shot from 26 ft,,18,16
97,1,2:07.0,,Defensive rebound by K. Huerter,18,16
98,1,1:57.0,,D. Jones makes 2-pt dunk from 2 ft,18,18
99,1,1:57.0,San Antonio full timeout,,18,18
100,1,1:57.0,J. Poeltl enters the game for L. Aldridge,,18,18
101,1,1:42.0,P. Mills makes 3-pt jump shot from 25 ft,,21,18
102,1,1:32.0,,Offensive foul by D. Jones (drawn by M. Belinelli),21,18
103,1,1:32.0,,Turnover by D. Jones (offensive foul),21,18
104,1,1:20.0,Offensive foul by J. Poeltl (drawn by T. Wallace),,21,18
105,1,1:20.0,Turnover by J. Poeltl (offensive foul),,21,18
106,1,1:04.0,,K. Huerter misses 2-pt hook shot from 11 ft,21,18
107,1,1:01.0,Defensive rebound by J. Poeltl,,21,18
108,1,0:58.0,R. Gay misses 3-pt jump shot from 26 ft,,21,18
109,1,0:55.0,,Defensive rebound by V. Carter,21,18
110,1,0:44.0,,T. Wallace makes 2-pt layup from 1 ft,21,20
111,1,0:32.0,M. Belinelli misses 2-pt jump shot from 9 ft (block by K. Huerter),,21,20
112,1,0:29.0,,Defensive rebound by D. Bembry,21,20
113,1,0:27.0,,D. Bembry makes 2-pt layup from 2 ft,21,22
114,1,0:04.0,Turnover by M. Belinelli (bad pass; steal by V. Carter),,21,22
115,1,0:00.0,,D. Bembry misses 2-pt jump shot from 16 ft,21,22
116,1,0:00.0,,Offensive rebound by Team,21,22
117,2,11:38.0,D. White misses 2-pt jump shot from 14 ft,,21,22
118,2,11:35.0,,Defensive rebound by T. Wallace,21,22
119,2,11:24.0,,Turnover by D. Bembry (bad pass; steal by J. Poeltl),21,22
120,2,11:14.0,R. Gay misses 2-pt jump shot from 9 ft (block by D. Jones),,21,22
121,2,11:10.0,Offensive rebound by R. Gay,,21,22
122,2,11:08.0,Turnover by R. Gay (lost ball; steal by J. Parker),,21,22
123,2,11:06.0,,Turnover by J. Parker (bad pass),21,22
124,2,11:06.0,D. Murray enters the game for D. White,,21,22
125,2,10:52.0,M. Belinelli misses 2-pt jump shot from 20 ft,,21,22
126,2,10:51.0,Offensive rebound by R. Gay,,21,22
127,2,10:50.0,Personal foul by D. Bembry (drawn by R. Gay),,21,22
128,2,10:45.0,D. Murray misses 2-pt layup from 8 ft,,21,22
129,2,10:40.0,,Defensive rebound by D. Jones,21,22
130,2,10:36.0,,T. Wallace misses 3-pt jump shot from 26 ft,21,22
131,2,10:33.0,Defensive rebound by D. Murray,,21,22
132,2,10:29.0,R. Gay makes 2-pt layup from 1 ft (assist by D. Murray),,23,22
133,2,10:09.0,,J. Parker makes 2-pt dunk from 1 ft (assist by D. Jones),23,24
134,2,9:49.0,M. Belinelli misses 3-pt jump shot from 25 ft,,23,24
135,2,9:47.0,,Defensive rebound by D. Bembry,23,24
136,2,9:40.0,,Turnover by D. Bembry (bad pass),23,24
137,2,9:40.0,D. DeRozan enters the game for M. Belinelli,,23,24
138,2,9:40.0,B. Forbes enters the game for R. Gay,,23,24
139,2,9:40.0,T. Lyles enters the game for P. Mills,,23,24
140,2,9:40.0,,T. Young enters the game for T. Wallace,23,24
141,2,9:20.0,D. Murray misses 2-pt jump shot from 8 ft,,23,24
142,2,9:19.0,,Defensive rebound by Team,23,24
143,2,9:06.0,,D. Jones misses 2-pt layup from 7 ft (block by D. DeRozan),23,24
144,2,9:04.0,Defensive rebound by T. Lyles,,23,24
145,2,9:02.0,Turnover by D. Murray (lost ball; steal by D. Bembry),,23,24
146,2,8:59.0,,Shooting foul by J. Poeltl (drawn by D. Bembry),23,24
147,2,8:59.0,,D. Bembry misses free throw 1 of 2,23,24
148,2,8:59.0,,Offensive rebound by Team,23,24
149,2,8:59.0,P. Mills enters the game for D. Murray,,23,24
150,2,8:59.0,,A. Len enters the game for D. Jones,23,24
151,2,8:59.0,,D. Bembry makes free throw 2 of 2,23,25
152,2,8:47.0,D. DeRozan misses 2-pt jump shot from 14 ft,,23,25
153,2,8:44.0,Offensive rebound by J. Poeltl,,23,25
154,2,8:43.0,J. Poeltl makes 2-pt layup from 2 ft,,25,25
155,2,8:31.0,,Turnover by T. Young (lost ball; steal by J. Poeltl),25,25
156,2,8:26.0,B. Forbes misses 2-pt layup from 2 ft,,25,25
157,2,8:25.0,Offensive rebound by Team,,25,25
158,2,8:25.0,L. Aldridge enters the game for J. Poeltl,,25,25
159,2,8:25.0,,D. Hunter enters the game for D. Bembry,25,25
160,2,8:16.0,B. Forbes makes 2-pt jump shot from 18 ft (assist by L. Aldridge),,27,25
161,2,7:59.0,,T. Young misses 2-pt jump shot from 18 ft,27,25
162,2,7:59.0,Defensive rebound by T. Lyles,,27,25
163,2,7:52.0,D. DeRozan makes 2-pt jump shot from 14 ft,,29,25
164,2,7:35.0,,C. Reddish makes 3-pt jump shot from 26 ft,29,28
165,2,7:21.0,L. Aldridge misses 2-pt jump shot from 19 ft,,29,28
166,2,7:17.0,,Defensive rebound by D. Hunter,29,28
167,2,7:10.0,,T. Young misses 2-pt layup from 4 ft,29,28
168,2,7:07.0,Defensive rebound by P. Mills,,29,28
169,2,7:03.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by D. DeRozan),,31,28
170,2,7:03.0,,Atlanta full timeout,31,28
171,2,6:53.0,,D. Hunter makes 2-pt jump shot from 10 ft (assist by T. Young),31,30
172,2,6:39.0,D. DeRozan makes 2-pt jump shot from 15 ft,,33,30
173,2,6:23.0,,T. Young misses 2-pt layup from 1 ft,33,30
174,2,6:20.0,Defensive rebound by T. Lyles,,33,30
175,2,6:18.0,T. Lyles misses 3-pt jump shot from 25 ft,,33,30
176,2,6:14.0,,Defensive rebound by T. Young,33,30
177,2,6:10.0,,T. Young misses 2-pt layup from 3 ft (block by T. Lyles),33,30
178,2,6:10.0,,Offensive rebound by Team,33,30
179,2,6:06.0,,D. Hunter misses 3-pt jump shot from 25 ft,33,30
180,2,6:03.0,Defensive rebound by T. Lyles,,33,30
181,2,5:53.0,P. Mills makes 3-pt jump shot from 25 ft (assist by T. Lyles),,36,30
182,2,5:36.0,,D. Hunter makes 3-pt jump shot from 26 ft (assist by T. Young),36,33
183,2,5:20.0,L. Aldridge misses 2-pt jump shot from 20 ft,,36,33
184,2,5:16.0,,Defensive rebound by J. Parker,36,33
185,2,5:07.0,,Personal foul by P. Mills (drawn by T. Young),36,33
186,2,5:07.0,,V. Carter enters the game for J. Parker,36,33
187,2,5:07.0,,K. Huerter enters the game for T. Young,36,33
188,2,5:03.0,,D. Hunter makes 2-pt layup from 2 ft,36,35
189,2,5:03.0,Loose ball foul by D. DeRozan (drawn by A. Len),,36,35
190,2,5:03.0,San Antonio full timeout,,36,35
191,2,5:03.0,R. Gay enters the game for T. Lyles,,36,35
192,2,5:03.0,D. White enters the game for P. Mills,,36,35
193,2,5:03.0,,A. Len makes free throw 1 of 1,36,36
194,2,4:40.0,R. Gay misses 3-pt jump shot from 23 ft,,36,36
195,2,4:37.0,,Defensive rebound by K. Huerter,36,36
196,2,4:18.0,,V. Carter makes 2-pt jump shot from 13 ft,36,38
197,2,4:04.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by D. White),,39,38
198,2,3:43.0,,D. Hunter misses 2-pt jump shot from 21 ft,39,38
199,2,3:41.0,Defensive rebound by D. DeRozan,,39,38
200,2,3:29.0,L. Aldridge misses 2-pt hook shot from 7 ft,,39,38
201,2,3:25.0,,Defensive rebound by A. Len,39,38
202,2,3:17.0,,C. Reddish makes 2-pt layup from 1 ft,39,40
203,2,2:57.0,Shooting foul by V. Carter (drawn by R. Gay),,39,40
204,2,2:57.0,R. Gay makes free throw 1 of 2,,40,40
205,2,2:57.0,R. Gay makes free throw 2 of 2,,41,40
206,2,2:44.0,,C. Reddish misses 2-pt dunk from 3 ft,41,40
207,2,2:41.0,,Offensive rebound by A. Len,41,40
208,2,2:40.0,,Turnover by A. Len (lost ball; steal by D. DeRozan),41,40
209,2,2:37.0,Shooting foul by K. Huerter (drawn by B. Forbes),,41,40
210,2,2:37.0,B. Forbes makes free throw 1 of 3,,42,40
211,2,2:37.0,B. Forbes misses free throw 2 of 3,,42,40
212,2,2:37.0,Offensive rebound by Team,,42,40
213,2,2:37.0,,D. Jones enters the game for A. Len,42,40
214,2,2:37.0,B. Forbes makes free throw 3 of 3,,43,40
215,2,2:16.0,,K. Huerter makes 2-pt layup from 2 ft (assist by C. Reddish),43,42
216,2,2:07.0,Personal foul by C. Reddish (drawn by D. DeRozan),,43,42
217,2,2:07.0,P. Mills enters the game for D. White,,43,42
218,2,2:07.0,,D. Bembry enters the game for C. Reddish,43,42
219,2,1:57.0,Turnover by D. DeRozan (bad pass),,43,42
220,2,1:44.0,,D. Jones makes 2-pt jump shot from 18 ft (assist by K. Huerter),43,44
221,2,1:28.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by B. Forbes),,45,44
222,2,1:07.0,,D. Hunter misses 2-pt layup from 4 ft (block by L. Aldridge),45,44
223,2,1:04.0,,Offensive rebound by D. Hunter,45,44
224,2,1:03.0,,D. Hunter misses 2-pt layup from 5 ft (block by L. Aldridge),45,44
225,2,1:01.0,Defensive rebound by B. Forbes,,45,44
226,2,0:53.0,B. Forbes misses 3-pt jump shot from 25 ft,,45,44
227,2,0:50.0,,Defensive rebound by K. Huerter,45,44
228,2,0:41.0,,K. Huerter misses 2-pt jump shot from 16 ft,45,44
229,2,0:37.0,,Offensive rebound by D. Jones,45,44
230,2,0:35.0,,D. Bembry misses 2-pt layup from 2 ft,45,44
231,2,0:32.0,Defensive rebound by L. Aldridge,,45,44
232,2,0:25.0,L. Aldridge misses 2-pt jump shot from 18 ft,,45,44
233,2,0:21.0,,Defensive rebound by D. Jones,45,44
234,2,0:04.0,,Turnover by D. Bembry (bad pass; steal by R. Gay),45,44
235,3,11:50.0,B. Forbes misses 3-pt jump shot from 26 ft,,45,44
236,3,11:46.0,,Defensive rebound by D. Hunter,45,44
237,3,11:31.0,,J. Parker makes 2-pt dunk from 1 ft (assist by T. Young),45,46
238,3,11:20.0,D. DeRozan makes 2-pt layup from 1 ft,,47,46
239,3,11:02.0,,J. Parker makes 2-pt jump shot from 9 ft,47,48
240,3,10:46.0,L. Aldridge makes 2-pt jump shot from 16 ft (assist by D. Murray),,49,48
241,3,10:32.0,,Personal foul by D. Murray (drawn by A. Len),49,48
242,3,10:26.0,,A. Len misses 3-pt jump shot from 25 ft,49,48
243,3,10:24.0,Defensive rebound by T. Lyles,,49,48
244,3,10:12.0,B. Forbes misses 3-pt jump shot from 26 ft,,49,48
245,3,10:08.0,Offensive rebound by T. Lyles,,49,48
246,3,10:05.0,D. Murray misses 3-pt jump shot from 26 ft,,49,48
247,3,10:01.0,,Defensive rebound by A. Len,49,48
248,3,9:55.0,,Shooting foul by D. Murray (drawn by T. Young),49,48
249,3,9:55.0,,T. Young misses free throw 1 of 2,49,48
250,3,9:55.0,,Offensive rebound by Team,49,48
251,3,9:55.0,,D. Jones enters the game for A. Len,49,48
252,3,9:55.0,,T. Young makes free throw 2 of 2,49,49
253,3,9:39.0,L. Aldridge misses 3-pt jump shot from 23 ft,,49,49
254,3,9:36.0,Offensive rebound by T. Lyles,,49,49
255,3,9:34.0,B. Forbes misses 3-pt jump shot from 26 ft,,49,49
256,3,9:32.0,Offensive rebound by D. Murray,,49,49
257,3,9:30.0,D. Murray makes 2-pt layup from 3 ft,,51,49
258,3,9:14.0,,T. Young makes 2-pt jump shot from 11 ft (assist by J. Parker),51,51
259,3,9:02.0,L. Aldridge makes 2-pt jump shot from 21 ft (assist by D. Murray),,53,51
260,3,9:00.0,,Atlanta full timeout,53,51
261,3,8:55.0,,Turnover by C. Reddish (step out of bounds),53,51
262,3,8:43.0,Shooting foul by D. Hunter (drawn by B. Forbes),,53,51
263,3,8:43.0,B. Forbes misses free throw 1 of 2,,53,51
264,3,8:43.0,Offensive rebound by Team,,53,51
265,3,8:43.0,B. Forbes makes free throw 2 of 2,,54,51
266,3,8:31.0,,C. Reddish makes 3-pt jump shot from 25 ft (assist by T. Young),54,54
267,3,8:17.0,D. DeRozan makes 2-pt jump shot from 19 ft,,56,54
268,3,7:55.0,,Personal foul by D. Murray (drawn by T. Young),56,54
269,3,7:49.0,,T. Young makes 2-pt jump shot from 14 ft (assist by D. Jones),56,56
270,3,7:49.0,San Antonio full timeout,,56,56
271,3,7:49.0,D. White enters the game for D. Murray,,56,56
272,3,7:34.0,L. Aldridge makes 2-pt jump shot from 12 ft,,58,56
273,3,7:20.0,,Offensive foul by J. Parker (drawn by D. White),58,56
274,3,7:20.0,,Turnover by J. Parker (offensive foul),58,56
275,3,7:02.0,T. Lyles makes 2-pt jump shot from 15 ft (assist by L. Aldridge),,60,56
276,3,6:51.0,,T. Young makes 3-pt jump shot from 27 ft,60,59
277,3,6:31.0,T. Lyles makes 2-pt jump shot from 12 ft (assist by D. White),,62,59
278,3,6:19.0,,T. Young makes 2-pt jump shot from 12 ft,62,61
279,3,6:05.0,D. DeRozan misses 3-pt jump shot from 23 ft,,62,61
280,3,5:55.0,Offensive rebound by L. Aldridge,,62,61
281,3,5:55.0,L. Aldridge makes 2-pt layup at rim,,64,61
282,3,5:48.0,,T. Young makes 2-pt jump shot from 14 ft,64,63
283,3,5:39.0,Shooting foul by D. Hunter (drawn by D. DeRozan),,64,63
284,3,5:39.0,D. DeRozan makes free throw 1 of 2,,65,63
285,3,5:39.0,R. Gay enters the game for B. Forbes,,65,63
286,3,5:39.0,P. Mills enters the game for T. Lyles,,65,63
287,3,5:39.0,,K. Huerter enters the game for C. Reddish,65,63
288,3,5:39.0,D. DeRozan misses free throw 2 of 2,,65,63
289,3,5:36.0,Offensive rebound by D. DeRozan,,65,63
290,3,5:30.0,L. Aldridge misses 2-pt jump shot from 12 ft,,65,63
291,3,5:28.0,,Defensive rebound by J. Parker,65,63
292,3,5:20.0,,Turnover by T. Young (lost ball; steal by D. White),65,63
293,3,5:12.0,D. DeRozan makes 2-pt layup from 4 ft (assist by R. Gay),,67,63
294,3,4:54.0,,Turnover by K. Huerter (bad pass),67,63
295,3,4:54.0,,D. Bembry enters the game for D. Hunter,67,63
296,3,4:54.0,,V. Carter enters the game for J. Parker,67,63
297,3,4:44.0,P. Mills makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,70,63
298,3,4:31.0,,Offensive foul by K. Huerter (drawn by D. White),70,63
299,3,4:31.0,,Turnover by K. Huerter (offensive foul),70,63
300,3,4:31.0,,C. Reddish enters the game for T. Young,70,63
301,3,4:16.0,D. White misses 3-pt jump shot from 26 ft,,70,63
302,3,4:13.0,,Defensive rebound by D. Bembry,70,63
303,3,4:05.0,,V. Carter misses 2-pt jump shot from 21 ft,70,63
304,3,4:03.0,,Offensive rebound by Team,70,63
305,3,4:03.0,J. Poeltl enters the game for L. Aldridge,,70,63
306,3,4:03.0,,A. Len enters the game for D. Jones,70,63
307,3,4:00.0,,Turnover by K. Huerter (bad pass; steal by D. DeRozan),70,63
308,3,3:39.0,R. Gay makes 2-pt jump shot from 8 ft,,72,63
309,3,3:25.0,,Shooting foul by J. Poeltl (drawn by C. Reddish),72,63
310,3,3:25.0,,Instant Replay (Request: Ruling Stands),72,63
311,3,3:25.0,,C. Reddish misses free throw 1 of 2,72,63
312,3,3:25.0,,Offensive rebound by Team,72,63
313,3,3:25.0,L. Walker enters the game for D. DeRozan,,72,63
314,3,3:25.0,,C. Reddish makes free throw 2 of 2,72,64
315,3,3:12.0,D. White misses 2-pt layup from 7 ft (block by K. Huerter),,72,64
316,3,3:09.0,,Defensive rebound by D. Bembry,72,64
317,3,3:04.0,,K. Huerter misses 3-pt jump shot from 26 ft,72,64
318,3,3:01.0,Defensive rebound by Team,,72,64
319,3,3:01.0,,B. Fernando enters the game for A. Len,72,64
320,3,3:01.0,Technical foul by L. Pierce,,72,64
321,3,3:01.0,P. Mills makes technical free throw,,73,64
322,3,2:47.0,Personal foul by D. Bembry (drawn by J. Poeltl),,73,64
323,3,2:45.0,Turnover by L. Walker (bad pass; steal by D. Bembry),,73,64
324,3,2:41.0,,D. Bembry makes 2-pt dunk from 1 ft,73,66
325,3,2:24.0,Turnover by J. Poeltl (bad pass; steal by D. Bembry),,73,66
326,3,2:19.0,,D. Bembry misses 2-pt layup from 2 ft,73,66
327,3,2:15.0,,Offensive rebound by B. Fernando,73,66
328,3,2:15.0,,B. Fernando makes 2-pt dunk from 1 ft,73,68
329,3,2:02.0,Shooting foul by B. Fernando (drawn by D. White),,73,68
330,3,2:02.0,D. White makes free throw 1 of 2,,74,68
331,3,2:02.0,,D. Hunter enters the game for V. Carter,74,68
332,3,2:02.0,,J. Parker enters the game for C. Reddish,74,68
333,3,2:02.0,D. White makes free throw 2 of 2,,75,68
334,3,1:49.0,,K. Huerter misses 2-pt jump shot from 9 ft,75,68
335,3,1:46.0,Defensive rebound by P. Mills,,75,68
336,3,1:44.0,L. Walker misses 2-pt jump shot from 16 ft,,75,68
337,3,1:39.0,,Defensive rebound by B. Fernando,75,68
338,3,1:32.0,,B. Fernando misses 3-pt jump shot from 25 ft,75,68
339,3,1:28.0,Defensive rebound by R. Gay,,75,68
340,3,1:14.0,Turnover by L. Walker (traveling),,75,68
341,3,1:04.0,,Offensive foul by D. Bembry (drawn by D. White),75,68
342,3,1:04.0,,Turnover by D. Bembry (offensive foul),75,68
343,3,1:04.0,B. Forbes enters the game for L. Walker,,75,68
344,3,0:44.0,R. Gay misses 2-pt jump shot from 15 ft,,75,68
345,3,0:41.0,,Defensive rebound by K. Huerter,75,68
346,3,0:38.0,,J. Parker misses 2-pt layup from 10 ft (block by D. White),75,68
347,3,0:38.0,Defensive rebound by Team,,75,68
348,3,0:32.0,D. White makes 3-pt jump shot from 26 ft,,78,68
349,3,0:08.0,,J. Parker makes 2-pt hook shot from 4 ft,78,70
350,3,0:05.0,R. Gay misses 3-pt jump shot from 42 ft,,78,70
351,3,0:02.0,,Defensive rebound by J. Parker,78,70
352,3,0:00.0,,J. Parker misses 3-pt jump shot from 26 ft,78,70
353,3,0:00.0,,Offensive rebound by Team,78,70
354,4,11:41.0,,T. Young makes 3-pt jump shot from 26 ft,78,73
355,4,11:21.0,R. Gay misses 2-pt jump shot from 10 ft,,78,73
356,4,11:17.0,,Defensive rebound by D. Hunter,78,73
357,4,11:12.0,,D. Hunter makes 3-pt jump shot from 23 ft (assist by T. Young),78,76
358,4,10:51.0,M. Belinelli misses 3-pt jump shot from 26 ft,,78,76
359,4,10:48.0,,Defensive rebound by D. Hunter,78,76
360,4,10:44.0,,Personal foul by D. Murray (drawn by B. Fernando),78,76
361,4,10:40.0,,T. Young makes 3-pt jump shot from 27 ft,78,79
362,4,10:20.0,D. Murray misses 3-pt jump shot from 24 ft,,78,79
363,4,10:16.0,Offensive rebound by Team,,78,79
364,4,10:03.0,R. Gay makes 2-pt jump shot from 10 ft,,80,79
365,4,9:46.0,,J. Parker misses 3-pt jump shot from 25 ft,80,79
366,4,9:42.0,,Offensive rebound by K. Huerter,80,79
367,4,9:42.0,D. DeRozan enters the game for R. Gay,,80,79
368,4,9:37.0,,K. Huerter misses 2-pt layup from 2 ft,80,79
369,4,9:37.0,,Offensive rebound by D. Hunter,80,79
370,4,9:37.0,,Shooting foul by J. Poeltl (drawn by D. Hunter),80,79
371,4,9:37.0,,D. Hunter makes free throw 1 of 2,80,80
372,4,9:37.0,,D. Hunter makes free throw 2 of 2,80,81
373,4,9:26.0,M. Belinelli makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,83,81
374,4,9:08.0,,T. Young misses 2-pt jump shot from 8 ft,83,81
375,4,9:04.0,Defensive rebound by D. Murray,,83,81
376,4,9:00.0,M. Belinelli makes 2-pt jump shot from 21 ft (assist by D. Murray),,85,81
377,4,8:40.0,,J. Parker makes 2-pt layup from 1 ft,85,83
378,4,8:28.0,D. DeRozan makes 2-pt jump shot from 16 ft,,87,83
379,4,8:08.0,,T. Young misses 3-pt jump shot from 26 ft,87,83
380,4,8:05.0,,Offensive rebound by J. Parker,87,83
381,4,7:57.0,,K. Huerter makes 3-pt jump shot from 25 ft (assist by J. Parker),87,86
382,4,7:44.0,D. DeRozan misses 2-pt jump shot from 20 ft,,87,86
383,4,7:41.0,,Defensive rebound by D. Hunter,87,86
384,4,7:34.0,,T. Young misses 2-pt layup from 2 ft,87,86
385,4,7:32.0,Defensive rebound by M. Belinelli,,87,86
386,4,7:29.0,M. Belinelli misses 3-pt jump shot from 26 ft,,87,86
387,4,7:26.0,Offensive rebound by Team,,87,86
388,4,7:26.0,L. Aldridge enters the game for B. Forbes,,87,86
389,4,7:26.0,T. Lyles enters the game for J. Poeltl,,87,86
390,4,7:26.0,,D. Bembry enters the game for B. Fernando,87,86
