,QUARTER,TIME_REMAINING,HOUSTON_ACTION,ORLANDO_ACTION,HOUSTON_SCORE,ORLANDO_SCORE
142,2,8:10.0,,J. Isaac enters the game for A. Gordon,38,30
143,2,8:10.0,,Violation by Team (delay of game),38,30
144,2,7:59.0,,Personal foul by P. Tucker (drawn by J. Isaac),38,30
145,2,7:49.0,,D. Augustin makes 3-pt jump shot from 27 ft (assist by J. Isaac),38,33
146,2,7:32.0,P. Tucker makes 2-pt jump shot from 6 ft (assist by J. Harden),,40,33
147,2,7:18.0,,T. Ross misses 3-pt jump shot from 22 ft,40,33
148,2,7:15.0,Defensive rebound by J. Harden,,40,33
149,2,7:04.0,Personal foul by J. Isaac (drawn by J. Harden),,40,33
150,2,7:04.0,A. Rivers enters the game for B. McLemore,,40,33
151,2,7:04.0,,K. Birch enters the game for M. Bamba,40,33
152,2,7:04.0,,E. Fournier enters the game for M. Carter-Williams,40,33
153,2,7:04.0,,A. Gordon enters the game for J. Isaac,40,33
154,2,7:02.0,Offensive foul by J. Harden (drawn by D. Augustin),,40,33
155,2,7:02.0,Turnover by J. Harden (offensive foul),,40,33
156,2,6:52.0,,Personal foul by P. Tucker (drawn by A. Gordon),40,33
157,2,6:52.0,C. Capela enters the game for G. Clark,,40,33
158,2,6:45.0,,A. Gordon makes 3-pt jump shot from 26 ft (assist by E. Fournier),40,36
159,2,6:27.0,J. Harden makes 2-pt layup from 2 ft,,42,36
160,2,6:13.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by K. Birch),42,39
161,2,6:00.0,J. Harden makes 3-pt jump shot from 25 ft,,45,39
162,2,5:39.0,,E. Fournier makes 3-pt jump shot from 24 ft (assist by D. Augustin),45,42
163,2,5:22.0,Shooting foul by E. Fournier (drawn by J. Harden),,45,42
164,2,5:22.0,J. Harden makes free throw 1 of 2,,46,42
165,2,5:22.0,R. Westbrook enters the game for A. Rivers,,46,42
166,2,5:22.0,,M. Fultz enters the game for T. Ross,46,42
167,2,5:22.0,J. Harden makes free throw 2 of 2,,47,42
168,2,4:58.0,,M. Fultz misses 2-pt jump shot from 20 ft,47,42
169,2,4:55.0,Defensive rebound by R. Westbrook,,47,42
170,2,4:34.0,J. Harden misses 2-pt jump shot from 8 ft,,47,42
171,2,4:32.0,,Defensive rebound by D. Augustin,47,42
172,2,4:11.0,,M. Fultz misses 2-pt layup from 4 ft,47,42
173,2,4:08.0,Defensive rebound by P. Tucker,,47,42
174,2,4:03.0,Shooting foul by M. Fultz (drawn by R. Westbrook),,47,42
175,2,4:03.0,R. Westbrook makes free throw 1 of 2,,48,42
176,2,4:03.0,R. Westbrook makes free throw 2 of 2,,49,42
177,2,3:49.0,,E. Fournier misses 3-pt jump shot from 23 ft,49,42
178,2,3:46.0,,Offensive rebound by K. Birch,49,42
179,2,3:38.0,,D. Augustin misses 3-pt jump shot from 23 ft,49,42
180,2,3:34.0,Defensive rebound by C. Capela,,49,42
181,2,3:27.0,J. Harden misses 2-pt layup from 2 ft,,49,42
182,2,3:26.0,Offensive rebound by C. Capela,,49,42
183,2,3:25.0,C. Capela misses 2-pt layup from 1 ft (block by K. Birch),,49,42
184,2,3:25.0,,Defensive rebound by E. Fournier,49,42
185,2,3:20.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by M. Fultz),49,45
186,2,3:08.0,Shooting foul by E. Fournier (drawn by R. Westbrook),,49,45
187,2,3:08.0,R. Westbrook makes free throw 1 of 2,,50,45
188,2,3:08.0,R. Westbrook makes free throw 2 of 2,,51,45
189,2,2:42.0,,K. Birch makes 2-pt hook shot from 6 ft,51,47
190,2,2:29.0,J. Harden makes 3-pt jump shot from 26 ft,,54,47
191,2,2:11.0,,E. Fournier makes 2-pt layup from 2 ft,54,49
192,2,1:58.0,Turnover by P. Tucker (step out of bounds),,54,49
193,2,1:58.0,B. McLemore enters the game for C. Capela,,54,49
194,2,1:58.0,,T. Ross enters the game for D. Augustin,54,49
195,2,1:45.0,,A. Gordon misses 3-pt jump shot from 26 ft,54,49
196,2,1:40.0,Defensive rebound by R. Westbrook,,54,49
197,2,1:35.0,J. Harden makes 3-pt jump shot from 30 ft (assist by R. Westbrook),,57,49
198,2,1:09.0,,K. Birch misses 2-pt jump shot from 8 ft,57,49
199,2,1:06.0,Defensive rebound by P. Tucker,,57,49
200,2,1:02.0,J. Harden makes 2-pt layup at rim,,59,49
201,2,0:46.0,,M. Fultz misses 2-pt layup from 2 ft (block by D. House),59,49
202,2,0:41.0,,Offensive rebound by A. Gordon,59,49
203,2,0:40.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),59,52
204,2,0:30.0,J. Harden makes 3-pt jump shot from 31 ft,,62,52
205,2,0:11.0,,A. Gordon makes 2-pt dunk at rim (assist by M. Fultz),62,54
206,2,0:11.0,,Shooting foul by R. Westbrook (drawn by A. Gordon),62,54
207,2,0:11.0,,M. Carter-Williams enters the game for E. Fournier,62,54
208,2,0:11.0,,A. Gordon makes free throw 1 of 1,62,55
209,2,0:01.0,J. Harden misses 3-pt jump shot from 34 ft,,62,55
210,2,0:01.0,Offensive rebound by Team,,62,55
211,3,11:48.0,,M. Fultz makes 2-pt layup from 2 ft,62,57
212,3,11:34.0,P. Tucker makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,65,57
213,3,11:17.0,,K. Birch misses 2-pt jump shot from 9 ft,65,57
214,3,11:14.0,Defensive rebound by P. Tucker,,65,57
215,3,11:02.0,J. Harden makes 3-pt jump shot from 26 ft,,68,57
216,3,10:38.0,,J. Isaac misses 2-pt jump shot from 11 ft (block by J. Harden),68,57
217,3,10:35.0,Defensive rebound by P. Tucker,,68,57
218,3,10:34.0,Technical foul by S. Clifford,,68,57
219,3,10:34.0,J. Harden makes technical free throw,,69,57
220,3,10:27.0,Personal foul by E. Fournier (drawn by C. Capela),,69,57
221,3,10:19.0,R. Westbrook misses 2-pt jump shot from 12 ft,,69,57
222,3,10:16.0,,Defensive rebound by M. Fultz,69,57
223,3,10:07.0,,E. Fournier misses 3-pt jump shot from 29 ft,69,57
224,3,10:06.0,Defensive rebound by Team,,69,57
225,3,10:06.0,,Loose ball foul by K. Birch (drawn by P. Tucker),69,57
226,3,9:53.0,J. Harden makes 3-pt jump shot from 30 ft,,72,57
227,3,9:40.0,,E. Fournier makes 2-pt layup at rim,72,59
