,QUARTER,TIME_REMAINING,DALLAS_ACTION,MINNESOTA_ACTION,DALLAS_SCORE,MINNESOTA_SCORE
103,1,2:19.0,T. Hardaway misses 3-pt jump shot from 28 ft,,23,19
104,1,2:16.0,,Defensive rebound by D. Russell,23,19
105,1,2:10.0,,D. Russell makes 2-pt jump shot from 20 ft,23,21
106,1,1:51.0,C. Lee makes 2-pt layup from 1 ft,,25,21
107,1,1:32.0,,N. Reid misses 2-pt layup from 5 ft,25,21
108,1,1:30.0,Defensive rebound by M. Kleber,,25,21
109,1,1:27.0,Technical foul by R. Saunders,,25,21
110,1,1:27.0,T. Hardaway makes technical free throw,,26,21
111,1,1:27.0,J. Barea enters the game for D. Wright,,26,21
112,1,1:27.0,,M. Beasley enters the game for J. Layman,26,21
113,1,1:27.0,,J. Hernangómez enters the game for N. Reid,26,21
114,1,1:27.0,,J. McLaughlin enters the game for D. Russell,26,21
115,1,1:12.0,T. Hardaway misses 2-pt layup from 4 ft,,26,21
116,1,1:12.0,Offensive rebound by Team,,26,21
117,1,1:02.0,J. Barea makes 2-pt layup from 1 ft,,28,21
118,1,0:53.0,,Shooting foul by M. Kleber (drawn by J. McLaughlin),28,21
119,1,0:53.0,,J. McLaughlin misses free throw 1 of 2,28,21
120,1,0:53.0,,Offensive rebound by Team,28,21
121,1,0:53.0,D. Finney-Smith enters the game for J. Jackson,,28,21
122,1,0:53.0,K. Porziņģis enters the game for M. Kleber,,28,21
123,1,0:53.0,,J. McLaughlin misses free throw 2 of 2,28,21
124,1,0:51.0,Defensive rebound by K. Porziņģis,,28,21
125,1,0:34.0,J. Barea misses 3-pt jump shot from 26 ft,,28,21
126,1,0:32.0,,Defensive rebound by M. Beasley,28,21
127,1,0:12.0,,M. Beasley makes 3-pt jump shot from 25 ft,28,24
128,1,0:00.0,T. Hardaway misses 2-pt layup from 2 ft,,28,24
129,1,0:00.0,,Defensive rebound by J. Culver,28,24
130,2,11:45.0,,J. Hernangómez misses 3-pt jump shot from 25 ft,28,24
131,2,11:43.0,Defensive rebound by D. Finney-Smith,,28,24
132,2,11:26.0,K. Porziņģis makes 2-pt jump shot from 9 ft (assist by J. Barea),,30,24
133,2,11:15.0,Violation by Team (kicked ball),,30,24
134,2,11:00.0,,J. Johnson misses 3-pt jump shot from 23 ft,30,24
135,2,10:57.0,Defensive rebound by D. Finney-Smith,,30,24
136,2,10:54.0,T. Hardaway makes 2-pt dunk from 3 ft (assist by D. Finney-Smith),,32,24
137,2,10:38.0,,J. Culver misses 2-pt layup from 2 ft (block by K. Porziņģis),32,24
138,2,10:36.0,Defensive rebound by J. Barea,,32,24
139,2,10:26.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by J. Barea),,35,24
140,2,10:25.0,,Minnesota full timeout,35,24
141,2,10:25.0,,K. Martin enters the game for J. Culver,35,24
142,2,10:25.0,,J. Okogie enters the game for J. Hernangómez,35,24
143,2,10:15.0,,J. McLaughlin misses 3-pt jump shot from 25 ft,35,24
144,2,10:14.0,Defensive rebound by K. Porziņģis,,35,24
145,2,9:53.0,Shooting foul by J. Johnson (drawn by K. Porziņģis),,35,24
146,2,9:53.0,K. Porziņģis misses free throw 1 of 2,,35,24
147,2,9:53.0,Offensive rebound by Team,,35,24
148,2,9:53.0,K. Porziņģis makes free throw 2 of 2,,36,24
149,2,9:40.0,,Turnover by J. Okogie (bad pass; steal by T. Hardaway),36,24
150,2,9:31.0,K. Porziņģis makes 3-pt jump shot from 28 ft (assist by J. Barea),,39,24
151,2,9:21.0,,Turnover by K. Martin (step out of bounds),39,24
152,2,9:12.0,Turnover by J. Barea (bad pass; steal by M. Beasley),,39,24
153,2,9:11.0,,Personal foul by D. Finney-Smith (drawn by M. Beasley),39,24
154,2,8:58.0,,K. Martin misses 3-pt jump shot from 26 ft,39,24
155,2,8:54.0,Defensive rebound by T. Hardaway,,39,24
156,2,8:47.0,K. Porziņģis misses 3-pt jump shot from 27 ft,,39,24
157,2,8:44.0,,Defensive rebound by K. Martin,39,24
158,2,8:40.0,,Shooting foul by C. Lee (drawn by J. McLaughlin),39,24
159,2,8:40.0,,J. McLaughlin makes free throw 1 of 2,39,25
160,2,8:40.0,,J. McLaughlin makes free throw 2 of 2,39,26
161,2,8:28.0,J. Barea misses 2-pt jump shot from 11 ft,,39,26
162,2,8:26.0,Offensive rebound by K. Porziņģis,,39,26
163,2,8:18.0,C. Lee misses 2-pt jump shot from 14 ft,,39,26
164,2,8:15.0,Offensive rebound by Team,,39,26
165,2,8:14.0,Personal foul by J. Johnson (drawn by T. Hardaway),,39,26
166,2,8:03.0,D. Finney-Smith misses 2-pt layup from 6 ft,,39,26
167,2,8:01.0,,Defensive rebound by J. Okogie,39,26
168,2,7:53.0,,J. McLaughlin misses 3-pt jump shot from 25 ft,39,26
169,2,7:52.0,,Offensive rebound by J. Okogie,39,26
170,2,7:52.0,,J. Okogie misses 2-pt layup from 2 ft,39,26
171,2,7:50.0,Defensive rebound by D. Finney-Smith,,39,26
