,QUARTER,TIME_REMAINING,ATLANTA_ACTION,DETROIT_ACTION,ATLANTA_SCORE,DETROIT_SCORE
58,1,5:29.0,,A. Drummond makes 2-pt dunk at rim,17,14
59,1,5:20.0,A. Crabbe misses 3-pt jump shot from 25 ft,,17,14
60,1,5:18.0,,Defensive rebound by L. Kennard,17,14
61,1,5:15.0,,L. Kennard makes 2-pt layup from 3 ft,17,16
62,1,4:56.0,V. Carter misses 3-pt jump shot from 26 ft,,17,16
63,1,4:52.0,,Defensive rebound by D. Rose,17,16
64,1,4:49.0,,B. Griffin misses 2-pt layup from 3 ft,17,16
65,1,4:46.0,Defensive rebound by T. Young,,17,16
66,1,4:35.0,V. Carter misses 3-pt jump shot from 24 ft,,17,16
67,1,4:31.0,Offensive rebound by B. Fernando,,17,16
68,1,4:31.0,T. Young misses 3-pt jump shot from 25 ft,,17,16
69,1,4:30.0,,Defensive rebound by A. Drummond,17,16
70,1,4:17.0,,Personal foul by D. Hunter (drawn by L. Kennard),17,16
71,1,4:17.0,E. Turner enters the game for D. Hunter,,17,16
72,1,4:17.0,T. Wallace enters the game for T. Young,,17,16
73,1,4:17.0,,M. Morris enters the game for B. Griffin,17,16
74,1,4:02.0,,M. Morris makes 3-pt jump shot from 23 ft (assist by L. Kennard),17,19
75,1,3:51.0,Turnover by A. Crabbe (lost ball; steal by A. Drummond),,17,19
76,1,3:51.0,,Personal foul by A. Crabbe (drawn by L. Kennard),17,19
77,1,3:51.0,,S. Mykhailiuk enters the game for B. Brown,17,19
78,1,3:38.0,,M. Morris makes 3-pt jump shot from 24 ft (assist by L. Kennard),17,22
79,1,3:18.0,E. Turner misses 2-pt jump shot from 9 ft,,17,22
80,1,3:18.0,,Defensive rebound by Team,17,22
81,1,3:18.0,Loose ball foul by B. Fernando (drawn by A. Drummond),,17,22
82,1,3:18.0,,A. Drummond makes free throw 1 of 2,17,23
83,1,3:18.0,,A. Drummond makes free throw 2 of 2,17,24
84,1,3:07.0,Turnover by V. Carter (bad pass; steal by S. Mykhailiuk),,17,24
85,1,3:01.0,,L. Kennard misses 2-pt jump shot from 5 ft,17,24
86,1,2:59.0,Defensive rebound by B. Fernando,,17,24
87,1,2:56.0,A. Crabbe misses 3-pt jump shot from 25 ft,,17,24
88,1,2:56.0,,Defensive rebound by L. Kennard,17,24
89,1,2:38.0,,Shooting foul by E. Turner (drawn by M. Morris),17,24
90,1,2:38.0,,M. Morris makes free throw 1 of 2,17,25
91,1,2:38.0,C. Parsons enters the game for B. Fernando,,17,25
92,1,2:38.0,,L. Galloway enters the game for L. Kennard,17,25
93,1,2:38.0,,M. Morris misses free throw 2 of 2,17,25
94,1,2:38.0,Defensive rebound by A. Crabbe,,17,25
95,1,2:24.0,T. Wallace misses 2-pt jump shot from 8 ft,,17,25
96,1,2:22.0,,Defensive rebound by A. Drummond,17,25
97,1,2:11.0,,A. Drummond makes 2-pt layup from 3 ft (assist by S. Mykhailiuk),17,27
98,1,1:59.0,Personal foul by A. Drummond (drawn by E. Turner),,17,27
99,1,1:59.0,D. Bembry enters the game for V. Carter,,17,27
100,1,1:59.0,A. Len enters the game for T. Wallace,,17,27
101,1,1:59.0,,T. Maker enters the game for A. Drummond,17,27
102,1,1:49.0,D. Bembry makes 2-pt jump shot from 9 ft (assist by A. Len),,19,27
103,1,1:35.0,,D. Rose misses 2-pt jump shot from 20 ft,19,27
104,1,1:32.0,Defensive rebound by A. Len,,19,27
105,1,1:19.0,A. Crabbe makes 2-pt jump shot from 17 ft (assist by D. Bembry),,21,27
106,1,0:59.0,,D. Rose makes 2-pt layup from 3 ft,21,29
107,1,0:46.0,C. Parsons misses 3-pt jump shot from 25 ft,,21,29
108,1,0:43.0,,Defensive rebound by M. Morris,21,29
109,1,0:37.0,,Shooting foul by E. Turner (drawn by T. Maker),21,29
110,1,0:37.0,,T. Maker makes free throw 1 of 2,21,30
111,1,0:37.0,T. Young enters the game for E. Turner,,21,30
112,1,0:37.0,,B. Brown enters the game for L. Galloway,21,30
113,1,0:37.0,,T. Maker misses free throw 2 of 2,21,30
114,1,0:33.0,,Offensive rebound by B. Brown,21,30
115,1,0:30.0,,D. Rose makes 3-pt jump shot from 26 ft (assist by B. Brown),21,33
116,1,0:10.0,A. Len makes 2-pt hook shot from 2 ft (assist by T. Young),,23,33
117,1,0:00.0,,Turnover by B. Brown (lost ball; steal by C. Parsons),23,33
118,2,11:48.0,D. Hunter makes 3-pt jump shot from 24 ft (assist by T. Young),,26,33
119,2,11:21.0,,D. Rose makes 3-pt jump shot from 23 ft (assist by S. Mykhailiuk),26,36
120,2,11:05.0,Turnover by A. Len (lost ball; steal by T. Maker),,26,36
121,2,11:01.0,,Turnover by T. Maker (bad pass; steal by D. Bembry),26,36
122,2,10:58.0,A. Len makes 2-pt dunk from 2 ft (assist by D. Bembry),,28,36
123,2,10:40.0,,Personal foul by C. Parsons (drawn by B. Griffin),28,36
124,2,10:34.0,,S. Mykhailiuk makes 3-pt jump shot from 28 ft (assist by T. Maker),28,39
125,2,10:24.0,Personal foul by L. Galloway (drawn by T. Young),,28,39
126,2,10:18.0,A. Len makes 2-pt dunk from 2 ft (assist by D. Bembry),,30,39
127,2,10:02.0,,Shooting foul by A. Len (drawn by B. Griffin),30,39
128,2,10:02.0,,B. Griffin makes free throw 1 of 2,30,40
129,2,10:02.0,,B. Griffin makes free throw 2 of 2,30,41
130,2,9:43.0,D. Bembry misses 2-pt hook shot from 6 ft,,30,41
131,2,9:41.0,,Defensive rebound by T. Maker,30,41
132,2,9:30.0,,T. Maker misses 2-pt layup from 4 ft (block by D. Hunter),30,41
133,2,9:27.0,,Offensive rebound by T. Maker,30,41
134,2,9:26.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by T. Maker),30,44
135,2,9:07.0,D. Hunter makes 2-pt layup from 2 ft,,32,44
136,2,9:07.0,Shooting foul by T. Maker (drawn by D. Hunter),,32,44
137,2,9:07.0,J. Parker enters the game for C. Parsons,,32,44
138,2,9:07.0,D. Hunter makes free throw 1 of 1,,33,44
139,2,8:56.0,,D. Rose makes 3-pt jump shot from 27 ft,33,47
140,2,8:43.0,T. Young misses 2-pt layup from 6 ft (block by T. Maker),,33,47
141,2,8:40.0,,Defensive rebound by S. Mykhailiuk,33,47
142,2,8:30.0,,L. Galloway misses 3-pt jump shot from 24 ft,33,47
143,2,8:27.0,Defensive rebound by D. Bembry,,33,47
144,2,8:25.0,Personal foul by S. Mykhailiuk (drawn by J. Parker),,33,47
145,2,8:19.0,Turnover by T. Young (out of bounds lost ball),,33,47
146,2,8:03.0,,B. Griffin makes 3-pt jump shot from 24 ft (assist by D. Rose),33,50
147,2,7:43.0,D. Hunter makes 2-pt jump shot from 9 ft,,35,50
148,2,7:27.0,,B. Griffin misses 3-pt jump shot from 27 ft,35,50
149,2,7:23.0,Defensive rebound by T. Young,,35,50
150,2,7:19.0,J. Parker makes 2-pt dunk from 2 ft (assist by T. Young),,37,50
151,2,7:11.0,,Detroit full timeout,37,50
152,2,7:11.0,D. Jones enters the game for A. Len,,37,50
153,2,7:11.0,,B. Brown enters the game for L. Galloway,37,50
154,2,7:11.0,,A. Drummond enters the game for T. Maker,37,50
155,2,7:11.0,,L. Kennard enters the game for D. Rose,37,50
156,2,7:04.0,,B. Griffin makes 2-pt hook shot from 5 ft,37,52
157,2,6:50.0,D. Hunter makes 2-pt layup from 1 ft (assist by T. Young),,39,52
158,2,6:27.0,,A. Drummond makes 2-pt jump shot from 9 ft (assist by L. Kennard),39,54
159,2,6:12.0,Shooting foul by L. Kennard (drawn by D. Hunter),,39,54
160,2,6:12.0,D. Hunter makes free throw 1 of 2,,40,54
161,2,6:12.0,D. Hunter makes free throw 2 of 2,,41,54
162,2,5:53.0,,L. Kennard makes 2-pt jump shot from 20 ft (assist by B. Brown),41,56
163,2,5:42.0,D. Hunter misses 2-pt layup from 3 ft,,41,56
164,2,5:42.0,Offensive rebound by Team,,41,56
165,2,5:42.0,,Loose ball foul by L. Kennard (drawn by D. Jones),41,56
166,2,5:42.0,D. Jones makes free throw 1 of 2,,42,56
167,2,5:42.0,,L. Galloway enters the game for L. Kennard,42,56
168,2,5:42.0,D. Jones makes free throw 2 of 2,,43,56
169,2,5:21.0,,B. Griffin misses 3-pt jump shot from 25 ft,43,56
170,2,5:19.0,Defensive rebound by D. Hunter,,43,56
171,2,5:16.0,J. Parker makes 2-pt dunk from 2 ft (assist by D. Hunter),,45,56
172,2,5:02.0,,A. Drummond misses 2-pt layup from 2 ft,45,56
173,2,4:59.0,,Offensive rebound by A. Drummond,45,56
174,2,4:59.0,,A. Drummond makes 2-pt layup from 3 ft,45,58
175,2,4:47.0,J. Parker misses 2-pt dunk from 2 ft,,45,58
176,2,4:45.0,Offensive rebound by J. Parker,,45,58
177,2,4:42.0,J. Parker makes 2-pt layup from 4 ft,,47,58
178,2,4:30.0,,B. Brown makes 2-pt jump shot from 5 ft,47,60
179,2,4:13.0,Turnover by T. Young (bad pass; steal by A. Drummond),,47,60
180,2,4:08.0,,S. Mykhailiuk misses 3-pt jump shot from 27 ft,47,60
181,2,4:03.0,Defensive rebound by D. Hunter,,47,60
182,2,4:00.0,D. Hunter makes 2-pt layup from 2 ft,,49,60
183,2,3:35.0,,B. Brown makes 3-pt jump shot from 24 ft (assist by A. Drummond),49,63
184,2,3:33.0,Atlanta full timeout,,49,63
185,2,3:33.0,V. Carter enters the game for D. Bembry,,49,63
186,2,3:33.0,A. Crabbe enters the game for J. Parker,,49,63
187,2,3:33.0,,M. Morris enters the game for B. Griffin,49,63
188,2,3:19.0,Def 3 sec tech foul by Team,,49,63
189,2,3:19.0,T. Young makes technical free throw,,50,63
190,2,3:11.0,D. Hunter misses 2-pt jump shot from 18 ft,,50,63
191,2,3:11.0,,Defensive rebound by Team,50,63
192,2,2:55.0,,L. Galloway misses 2-pt jump shot from 8 ft,50,63
193,2,2:53.0,Defensive rebound by V. Carter,,50,63
194,2,2:45.0,V. Carter makes 3-pt jump shot from 25 ft (assist by T. Young),,53,63
195,2,2:25.0,,B. Brown makes 2-pt jump shot from 7 ft,53,65
196,2,2:05.0,D. Hunter makes 2-pt layup from 4 ft (assist by T. Young),,55,65
197,2,1:53.0,,B. Brown makes 2-pt layup from 4 ft,55,67
198,2,1:39.0,T. Young misses 3-pt jump shot from 28 ft,,55,67
199,2,1:39.0,Offensive rebound by Team,,55,67
200,2,1:39.0,,Loose ball foul by A. Drummond (drawn by D. Jones),55,67
201,2,1:39.0,D. Jones makes free throw 1 of 2,,56,67
202,2,1:39.0,D. Bembry enters the game for D. Hunter,,56,67
203,2,1:39.0,E. Turner enters the game for T. Young,,56,67
204,2,1:39.0,,T. Maker enters the game for A. Drummond,56,67
