,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,MINNESOTA_ACTION,WASHINGTON_SCORE,MINNESOTA_SCORE
57,1,5:46.0,I. Thomas makes 2-pt jump shot from 13 ft,,20,15
58,1,5:32.0,,J. Teague makes 2-pt jump shot from 7 ft (assist by K. Towns),20,17
59,1,5:32.0,,Shooting foul by T. Bryant (drawn by J. Teague),20,17
60,1,5:32.0,M. Wagner enters the game for T. Bryant,,20,17
61,1,5:32.0,,N. Vonleh enters the game for K. Towns,20,17
62,1,5:32.0,,J. Teague makes free throw 1 of 1,20,18
63,1,5:20.0,B. Beal makes 2-pt layup from 1 ft,,22,18
64,1,5:08.0,,Offensive foul by J. Layman (drawn by M. Wagner),22,18
65,1,5:08.0,,Turnover by J. Layman (offensive foul),22,18
66,1,5:08.0,Washington full timeout,,22,18
67,1,5:08.0,Instant Replay (Challenge: Ruling Stands),,22,18
68,1,4:57.0,R. Hachimura makes 2-pt dunk at rim,,24,18
69,1,4:43.0,,J. Okogie makes 2-pt dunk at rim (assist by J. Teague),24,20
70,1,4:31.0,Offensive foul by M. Wagner (drawn by T. Graham),,24,20
71,1,4:31.0,Turnover by M. Wagner (offensive foul),,24,20
72,1,4:31.0,Instant Replay (Request: Ruling Stands),,24,20
73,1,4:31.0,Technical foul by T. Graham,,24,20
74,1,4:31.0,B. Beal makes technical free throw,,25,20
75,1,4:31.0,D. Bertāns enters the game for R. Hachimura,,25,20
76,1,4:31.0,,J. Culver enters the game for J. Teague,25,20
77,1,4:12.0,,J. Layman misses 3-pt jump shot from 27 ft,25,20
78,1,4:09.0,Defensive rebound by M. Wagner,,25,20
79,1,4:00.0,D. Bertāns makes 2-pt jump shot from 12 ft (assist by I. Thomas),,27,20
80,1,3:42.0,,N. Vonleh makes 2-pt dunk at rim (assist by T. Graham),27,22
81,1,3:36.0,Turnover by M. Wagner (step out of bounds),,27,22
82,1,3:36.0,I. Smith enters the game for I. Thomas,,27,22
83,1,3:25.0,,T. Graham misses 3-pt jump shot from 25 ft,27,22
84,1,3:22.0,Defensive rebound by B. Beal,,27,22
85,1,3:15.0,Personal foul by N. Vonleh (drawn by M. Wagner),,27,22
86,1,3:15.0,C. Miles enters the game for T. Brown,,27,22
87,1,3:15.0,,K. Martin enters the game for T. Graham,27,22
88,1,3:06.0,M. Wagner makes 2-pt layup at rim (assist by I. Smith),,29,22
89,1,2:50.0,,Offensive foul by N. Vonleh (drawn by M. Wagner),29,22
90,1,2:50.0,,Turnover by N. Vonleh (offensive foul),29,22
91,1,2:50.0,,K. Towns enters the game for N. Vonleh,29,22
92,1,2:40.0,Personal foul by J. Okogie (drawn by B. Beal),,29,22
93,1,2:40.0,B. Beal makes free throw 1 of 2,,30,22
94,1,2:40.0,B. Beal makes free throw 2 of 2,,31,22
95,1,2:29.0,,J. Layman makes 2-pt jump shot from 9 ft,31,24
96,1,2:22.0,C. Miles makes 3-pt jump shot from 25 ft (assist by B. Beal),,34,24
97,1,2:05.0,,J. Culver makes 3-pt jump shot from 25 ft (assist by K. Towns),34,27
98,1,1:52.0,B. Beal misses 3-pt jump shot from 25 ft,,34,27
99,1,1:48.0,,Defensive rebound by J. Okogie,34,27
100,1,1:43.0,,Turnover by K. Martin (lost ball; steal by C. Miles),34,27
101,1,1:39.0,Shooting foul by K. Martin (drawn by C. Miles),,34,27
102,1,1:39.0,C. Miles makes free throw 1 of 2,,35,27
103,1,1:39.0,J. McRae enters the game for B. Beal,,35,27
104,1,1:39.0,C. Miles makes free throw 2 of 2,,36,27
105,1,1:30.0,,Personal foul by I. Smith (drawn by J. Culver),36,27
106,1,1:21.0,,K. Martin misses 3-pt jump shot from 25 ft,36,27
107,1,1:19.0,Defensive rebound by J. McRae,,36,27
108,1,1:10.0,M. Wagner makes 3-pt jump shot from 23 ft (assist by J. McRae),,39,27
109,1,0:58.0,,Turnover by K. Towns (bad pass),39,27
110,1,0:51.0,J. McRae misses 2-pt jump shot from 14 ft,,39,27
111,1,0:48.0,,Defensive rebound by K. Towns,39,27
112,1,0:42.0,,Personal foul by M. Wagner (drawn by J. Culver),39,27
113,1,0:42.0,,J. Culver makes free throw 1 of 2,39,28
114,1,0:42.0,,J. Culver misses free throw 2 of 2,39,28
115,1,0:41.0,Defensive rebound by M. Wagner,,39,28
116,1,0:35.0,I. Smith misses 2-pt jump shot from 20 ft,,39,28
117,1,0:32.0,Offensive rebound by D. Bertāns,,39,28
118,1,0:21.0,J. McRae misses 2-pt jump shot from 12 ft,,39,28
119,1,0:18.0,,Defensive rebound by J. Okogie,39,28
120,1,0:03.0,,J. Culver makes 2-pt layup from 2 ft,39,30
121,1,0:00.0,D. Bertāns misses 3-pt jump shot from 29 ft,,39,30
122,1,0:00.0,Offensive rebound by Team,,39,30
123,2,11:46.0,M. Wagner makes 2-pt dunk from 1 ft (assist by D. Bertāns),,41,30
124,2,11:27.0,,Personal foul by C. Miles (drawn by R. Covington),41,30
125,2,11:24.0,,Offensive foul by K. Towns (drawn by M. Wagner),41,30
126,2,11:24.0,,Turnover by K. Towns (offensive foul),41,30
127,2,11:16.0,C. Miles misses 3-pt jump shot from 26 ft,,41,30
128,2,11:13.0,,Defensive rebound by J. Culver,41,30
129,2,11:06.0,,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Culver),41,33
130,2,10:55.0,M. Wagner makes 3-pt jump shot from 25 ft (assist by J. McRae),,44,33
131,2,10:45.0,,Shooting foul by D. Bertāns (drawn by K. Towns),44,33
132,2,10:45.0,,K. Towns misses free throw 1 of 2,44,33
133,2,10:45.0,,Offensive rebound by Team,44,33
134,2,10:45.0,,K. Towns makes free throw 2 of 2,44,34
135,2,10:25.0,I. Smith misses 2-pt jump shot from 10 ft,,44,34
136,2,10:22.0,,Defensive rebound by J. Layman,44,34
137,2,10:16.0,,R. Covington makes 3-pt jump shot from 28 ft (assist by J. Okogie),44,37
138,2,9:56.0,M. Wagner misses 2-pt hook shot from 4 ft,,44,37
139,2,9:55.0,Offensive rebound by D. Bertāns,,44,37
140,2,9:55.0,D. Bertāns makes 2-pt dunk from 1 ft,,46,37
141,2,9:38.0,,K. Towns misses 2-pt hook shot from 4 ft,46,37
142,2,9:36.0,Defensive rebound by M. Wagner,,46,37
143,2,9:31.0,C. Miles makes 2-pt layup from 1 ft,,48,37
144,2,9:20.0,,K. Towns makes 2-pt dunk from 2 ft (assist by J. Culver),48,39
145,2,9:18.0,Technical foul by K. Towns,,48,39
146,2,9:18.0,C. Miles makes technical free throw,,49,39
147,2,9:08.0,Turnover by J. McRae (bad pass; steal by J. Culver),,49,39
148,2,8:58.0,,K. Towns makes 2-pt jump shot from 3 ft,49,41
149,2,8:50.0,I. Smith misses 2-pt layup from 2 ft,,49,41
150,2,8:48.0,,Defensive rebound by J. Layman,49,41
151,2,8:43.0,,Turnover by J. Layman (bad pass; steal by C. Miles),49,41
152,2,8:38.0,M. Wagner makes 2-pt layup from 1 ft (assist by C. Miles),,51,41
153,2,8:30.0,,Shooting foul by M. Wagner (drawn by K. Towns),51,41
154,2,8:30.0,,K. Towns makes free throw 1 of 3,51,42
155,2,8:30.0,,K. Towns makes free throw 2 of 3,51,43
156,2,8:30.0,,K. Towns makes free throw 3 of 3,51,44
157,2,8:30.0,,Technical foul by S. Brooks,51,44
158,2,8:30.0,,K. Towns makes technical free throw,51,45
159,2,8:30.0,Washington full timeout,,51,45
160,2,8:30.0,B. Beal enters the game for J. McRae,,51,45
161,2,8:30.0,T. Bryant enters the game for M. Wagner,,51,45
162,2,8:13.0,D. Bertāns misses 3-pt jump shot from 25 ft,,51,45
163,2,8:09.0,,Defensive rebound by K. Towns,51,45
164,2,7:57.0,,K. Towns makes 2-pt hook shot from 2 ft (assist by R. Covington),51,47
165,2,7:42.0,D. Bertāns misses 2-pt jump shot from 19 ft,,51,47
166,2,7:42.0,,Defensive rebound by K. Towns,51,47
167,2,7:29.0,,R. Covington misses 3-pt jump shot from 23 ft,51,47
168,2,7:26.0,,Offensive rebound by K. Towns,51,47
169,2,7:23.0,,J. Okogie misses 3-pt jump shot from 25 ft,51,47
170,2,7:21.0,Defensive rebound by Team,,51,47
171,2,7:21.0,,Violation by Team (kicked ball),51,47
172,2,7:21.0,R. Hachimura enters the game for D. Bertāns,,51,47
173,2,7:21.0,,J. Teague enters the game for J. Layman,51,47
174,2,7:08.0,B. Beal misses 3-pt jump shot from 25 ft,,51,47
175,2,7:05.0,,Defensive rebound by R. Covington,51,47
176,2,6:58.0,,R. Covington misses 3-pt jump shot from 25 ft,51,47
177,2,6:54.0,Defensive rebound by I. Smith,,51,47
178,2,6:49.0,R. Hachimura makes 2-pt layup from 2 ft (assist by B. Beal),,53,47
179,2,6:38.0,,J. Okogie makes 2-pt layup from 2 ft (assist by J. Teague),53,49
180,2,6:31.0,T. Bryant makes 2-pt layup at rim (assist by B. Beal),,55,49
181,2,6:23.0,,J. Teague makes 2-pt layup from 1 ft,55,51
182,2,6:23.0,,Shooting foul by B. Beal (drawn by J. Teague),55,51
183,2,6:23.0,T. Brown enters the game for C. Miles,,55,51
184,2,6:23.0,I. Thomas enters the game for I. Smith,,55,51
185,2,6:23.0,,G. Dieng enters the game for K. Towns,55,51
186,2,6:23.0,,J. Teague makes free throw 1 of 1,55,52
187,2,6:07.0,T. Brown makes 2-pt jump shot from 21 ft,,57,52
188,2,5:51.0,,Turnover by J. Teague (bad pass; steal by B. Beal),57,52
189,2,5:44.0,T. Brown makes 2-pt layup from 2 ft (assist by B. Beal),,59,52
190,2,5:44.0,Shooting foul by J. Culver (drawn by T. Brown),,59,52
191,2,5:44.0,T. Brown makes free throw 1 of 1,,60,52
192,2,5:35.0,,J. Teague misses 2-pt jump shot from 9 ft,60,52
193,2,5:32.0,,Offensive rebound by G. Dieng,60,52
194,2,5:30.0,,J. Culver misses 3-pt jump shot from 23 ft,60,52
195,2,5:25.0,Defensive rebound by T. Brown,,60,52
196,2,5:24.0,Turnover by T. Brown (bad pass; steal by J. Culver),,60,52
197,2,5:20.0,,J. Okogie makes 2-pt dunk from 1 ft (assist by J. Culver),60,54
198,2,5:05.0,Shooting foul by J. Culver (drawn by B. Beal),,60,54
199,2,5:05.0,B. Beal makes free throw 1 of 2,,61,54
200,2,5:05.0,,T. Graham enters the game for J. Culver,61,54
201,2,5:05.0,,J. Layman enters the game for J. Okogie,61,54
202,2,5:05.0,B. Beal makes free throw 2 of 2,,62,54
203,2,5:00.0,,J. Teague misses 2-pt jump shot from 6 ft,62,54
204,2,4:58.0,,Offensive rebound by J. Teague,62,54
205,2,4:57.0,,J. Teague makes 2-pt layup at rim,62,56
206,2,4:40.0,I. Thomas misses 2-pt layup from 1 ft (block by G. Dieng),,62,56
207,2,4:38.0,,Defensive rebound by G. Dieng,62,56
208,2,4:29.0,,T. Graham misses 3-pt jump shot from 25 ft,62,56
209,2,4:26.0,Defensive rebound by T. Bryant,,62,56
210,2,4:14.0,T. Bryant misses 3-pt jump shot from 26 ft,,62,56
211,2,4:11.0,,Defensive rebound by T. Graham,62,56
212,2,4:04.0,,R. Covington makes 2-pt layup at rim,62,58
213,2,3:45.0,R. Hachimura misses 2-pt layup from 1 ft (block by G. Dieng),,62,58
214,2,3:43.0,,Defensive rebound by J. Layman,62,58
215,2,3:37.0,,J. Teague misses 2-pt jump shot from 6 ft,62,58
216,2,3:34.0,Defensive rebound by T. Brown,,62,58
217,2,3:25.0,Shooting foul by R. Covington (drawn by B. Beal),,62,58
218,2,3:25.0,,Minnesota full timeout,62,58
219,2,3:25.0,,K. Towns enters the game for R. Covington,62,58
220,2,3:25.0,B. Beal makes free throw 1 of 2,,63,58
221,2,3:25.0,B. Beal misses free throw 2 of 2,,63,58
222,2,3:23.0,,Defensive rebound by G. Dieng,63,58
223,2,3:11.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),63,61
224,2,2:52.0,B. Beal makes 2-pt jump shot from 16 ft (assist by I. Thomas),,65,61
225,2,2:45.0,,Personal foul by I. Thomas (drawn by J. Teague),65,61
226,2,2:45.0,,J. Teague misses free throw 1 of 2,65,61
227,2,2:45.0,,Offensive rebound by Team,65,61
228,2,2:45.0,,J. Teague makes free throw 2 of 2,65,62
229,2,2:30.0,T. Brown makes 2-pt layup from 1 ft (assist by I. Thomas),,67,62
230,2,2:21.0,,J. Layman misses 2-pt layup from 1 ft,67,62
231,2,2:21.0,,Offensive rebound by T. Graham,67,62
232,2,2:21.0,,T. Graham makes 2-pt layup at rim,67,64
233,2,1:56.0,B. Beal makes 2-pt layup from 1 ft,,69,64
234,2,1:45.0,,K. Towns makes 2-pt layup from 3 ft (assist by J. Teague),69,66
235,2,1:34.0,R. Hachimura misses 3-pt jump shot from 26 ft,,69,66
236,2,1:31.0,Offensive rebound by T. Bryant,,69,66
237,2,1:26.0,R. Hachimura makes 2-pt dunk from 2 ft (assist by T. Bryant),,71,66
238,2,1:13.0,,J. Layman makes 2-pt layup from 1 ft (assist by J. Teague),71,68
239,2,1:03.0,Personal foul by T. Graham (drawn by B. Beal),,71,68
240,2,0:50.0,Shooting foul by G. Dieng (drawn by T. Bryant),,71,68
241,2,0:50.0,T. Bryant makes free throw 1 of 2,,72,68
242,2,0:50.0,T. Bryant makes free throw 2 of 2,,73,68
243,2,0:42.0,,T. Graham makes 2-pt layup from 2 ft (assist by G. Dieng),73,70
244,2,0:29.0,B. Beal misses 3-pt jump shot from 26 ft,,73,70
245,2,0:25.0,Offensive rebound by T. Brown,,73,70
246,2,0:23.0,I. Thomas makes 3-pt jump shot from 24 ft (assist by T. Brown),,76,70
247,2,0:01.0,,G. Dieng makes 3-pt jump shot from 25 ft (assist by J. Teague),76,73
248,2,0:00.0,T. Brown misses 3-pt jump shot from 50 ft,,76,73
249,2,0:00.0,Offensive rebound by Team,,76,73
250,3,11:52.0,Turnover by B. Beal (traveling),,76,73
251,3,11:39.0,,T. Graham misses 3-pt jump shot from 25 ft,76,73
252,3,11:36.0,Defensive rebound by T. Bryant,,76,73
253,3,11:29.0,I. Thomas misses 2-pt jump shot from 15 ft,,76,73
254,3,11:26.0,,Defensive rebound by T. Graham,76,73
255,3,11:17.0,,J. Teague makes 2-pt jump shot from 4 ft,76,75
256,3,10:57.0,I. Thomas misses 2-pt jump shot from 20 ft (block by J. Teague),,76,75
257,3,10:53.0,,Defensive rebound by K. Towns,76,75
258,3,10:48.0,,Turnover by J. Teague (bad pass; steal by I. Thomas),76,75
259,3,10:42.0,Personal foul by T. Graham (drawn by T. Bryant),,76,75
260,3,10:25.0,Turnover by B. Beal (bad pass; steal by T. Graham),,76,75
261,3,10:22.0,,R. Covington makes 2-pt layup from 2 ft,76,77
262,3,10:22.0,,Shooting foul by R. Hachimura (drawn by R. Covington),76,77
263,3,10:22.0,,R. Covington misses free throw 1 of 1,76,77
264,3,10:22.0,Defensive rebound by T. Brown,,76,77
265,3,9:58.0,R. Hachimura misses 3-pt jump shot from 22 ft,,76,77
266,3,9:55.0,,Defensive rebound by J. Culver,76,77
267,3,9:45.0,,J. Teague misses 3-pt jump shot from 25 ft,76,77
268,3,9:43.0,Defensive rebound by T. Brown,,76,77
269,3,9:29.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by T. Bryant),,79,77
270,3,9:22.0,,Shooting foul by I. Thomas (drawn by J. Teague),79,77
271,3,9:22.0,,J. Teague makes free throw 1 of 2,79,78
272,3,9:22.0,,J. Teague makes free throw 2 of 2,79,79
273,3,9:08.0,B. Beal makes 2-pt layup from 1 ft (assist by I. Thomas),,81,79
274,3,8:53.0,,K. Towns makes 2-pt hook shot from 7 ft,81,81
275,3,8:35.0,T. Brown misses 2-pt layup from 1 ft,,81,81
276,3,8:33.0,,Defensive rebound by K. Towns,81,81
277,3,8:23.0,,J. Culver misses 3-pt jump shot from 25 ft,81,81
278,3,8:19.0,Defensive rebound by R. Hachimura,,81,81
279,3,8:13.0,T. Bryant misses 3-pt jump shot from 25 ft,,81,81
280,3,8:10.0,,Defensive rebound by R. Covington,81,81
281,3,8:04.0,,Turnover by K. Towns (dbl dribble),81,81
282,3,7:50.0,R. Hachimura misses 2-pt layup from 3 ft,,81,81
283,3,7:48.0,,Defensive rebound by R. Covington,81,81
284,3,7:45.0,,R. Covington makes 3-pt jump shot from 25 ft,81,84
285,3,7:33.0,B. Beal makes 2-pt layup from 8 ft (assist by R. Hachimura),,83,84
286,3,7:33.0,Shooting foul by T. Graham (drawn by B. Beal),,83,84
287,3,7:33.0,,J. Okogie enters the game for J. Culver,83,84
288,3,7:33.0,B. Beal makes free throw 1 of 1,,84,84
289,3,7:21.0,,Turnover by J. Teague (lost ball; steal by R. Hachimura),84,84
290,3,7:17.0,R. Hachimura misses 2-pt layup from 2 ft (block by K. Towns),,84,84
291,3,7:14.0,,Defensive rebound by T. Graham,84,84
292,3,7:12.0,,R. Covington misses 2-pt layup from 2 ft (block by B. Beal),84,84
293,3,7:12.0,,Offensive rebound by Team,84,84
294,3,7:06.0,,J. Teague misses 3-pt jump shot from 24 ft,84,84
295,3,7:03.0,Defensive rebound by R. Hachimura,,84,84
296,3,6:57.0,B. Beal makes 2-pt jump shot from 19 ft,,86,84
297,3,6:33.0,,T. Graham misses 3-pt jump shot from 23 ft,86,84
298,3,6:31.0,Defensive rebound by T. Brown,,86,84
299,3,6:18.0,B. Beal makes 3-pt jump shot from 27 ft (assist by I. Thomas),,89,84
300,3,6:08.0,,Minnesota full timeout,89,84
301,3,6:08.0,,J. Layman enters the game for T. Graham,89,84
302,3,6:03.0,,K. Towns makes 2-pt dunk from 1 ft (assist by J. Layman),89,86
303,3,5:46.0,B. Beal makes 2-pt jump shot from 10 ft (assist by R. Hachimura),,91,86
304,3,5:35.0,,J. Layman misses 3-pt jump shot from 25 ft,91,86
305,3,5:32.0,Defensive rebound by R. Hachimura,,91,86
306,3,5:15.0,T. Bryant misses 2-pt layup from 2 ft,,91,86
307,3,5:14.0,,Defensive rebound by R. Covington,91,86
308,3,5:14.0,,Personal foul by T. Bryant (drawn by R. Covington),91,86
309,3,4:52.0,,K. Towns misses 3-pt jump shot from 25 ft,91,86
310,3,4:48.0,Defensive rebound by B. Beal,,91,86
311,3,4:35.0,B. Beal misses 2-pt layup from 2 ft,,91,86
312,3,4:32.0,Offensive rebound by T. Bryant,,91,86
313,3,4:32.0,T. Bryant makes 2-pt dunk at rim,,93,86
314,3,4:23.0,,Personal foul by T. Bryant (drawn by K. Towns),93,86
315,3,4:23.0,M. Wagner enters the game for T. Bryant,,93,86
316,3,4:15.0,,Shooting foul by B. Beal (drawn by K. Towns),93,86
317,3,4:15.0,,K. Towns misses free throw 1 of 2,93,86
318,3,4:15.0,,Offensive rebound by Team,93,86
319,3,4:15.0,,J. Culver enters the game for J. Teague,93,86
320,3,4:15.0,,K. Towns makes free throw 2 of 2,93,87
321,3,4:06.0,Turnover by R. Hachimura (bad pass),,93,87
322,3,3:54.0,,Turnover by K. Towns (out of bounds lost ball),93,87
323,3,3:33.0,B. Beal makes 2-pt jump shot from 22 ft (assist by M. Wagner),,95,87
324,3,3:24.0,,Personal foul by B. Beal (drawn by J. Okogie),95,87
325,3,3:24.0,,J. Okogie makes free throw 1 of 2,95,88
326,3,3:24.0,D. Bertāns enters the game for T. Brown,,95,88
327,3,3:24.0,,G. Dieng enters the game for R. Covington,95,88
328,3,3:24.0,,T. Graham enters the game for K. Towns,95,88
329,3,3:24.0,,J. Okogie makes free throw 2 of 2,95,89
330,3,3:07.0,Shooting foul by G. Dieng (drawn by M. Wagner),,95,89
331,3,3:07.0,M. Wagner misses free throw 1 of 2,,95,89
332,3,3:07.0,Offensive rebound by Team,,95,89
333,3,3:07.0,I. Smith enters the game for I. Thomas,,95,89
334,3,3:07.0,M. Wagner misses free throw 2 of 2,,95,89
335,3,3:03.0,Offensive rebound by R. Hachimura,,95,89
336,3,3:02.0,M. Wagner makes 3-pt jump shot from 24 ft (assist by R. Hachimura),,98,89
337,3,2:47.0,,J. Culver misses 2-pt layup from 3 ft (block by D. Bertāns),98,89
338,3,2:45.0,Defensive rebound by B. Beal,,98,89
339,3,2:42.0,Washington full timeout,,98,89
340,3,2:42.0,,N. Vonleh enters the game for T. Graham,98,89
341,3,2:25.0,Turnover by B. Beal (bad pass; steal by J. Culver),,98,89
342,3,2:15.0,,J. Okogie misses 3-pt jump shot from 25 ft,98,89
343,3,2:12.0,Defensive rebound by D. Bertāns,,98,89
344,3,2:07.0,B. Beal misses 2-pt jump shot from 18 ft,,98,89
345,3,2:03.0,,Defensive rebound by J. Okogie,98,89
346,3,1:41.0,,J. Okogie misses 2-pt jump shot from 21 ft,98,89
347,3,1:39.0,,Offensive rebound by Team,98,89
348,3,1:39.0,J. McRae enters the game for B. Beal,,98,89
349,3,1:39.0,C. Miles enters the game for R. Hachimura,,98,89
350,3,1:33.0,,J. Culver makes 3-pt jump shot from 25 ft (assist by J. Okogie),98,92
351,3,1:12.0,D. Bertāns misses 2-pt jump shot from 16 ft,,98,92
352,3,1:08.0,,Defensive rebound by J. Okogie,98,92
353,3,0:55.0,,J. Okogie misses 2-pt layup from 2 ft (block by J. McRae),98,92
354,3,0:53.0,,Offensive rebound by J. Okogie,98,92
355,3,0:51.0,,J. Culver misses 3-pt jump shot from 26 ft,98,92
356,3,0:46.0,Defensive rebound by M. Wagner,,98,92
357,3,0:42.0,Shooting foul by J. Okogie (drawn by C. Miles),,98,92
358,3,0:42.0,,Minnesota full timeout,98,92
359,3,0:42.0,,Instant Replay (Challenge: Ruling Stands),98,92
360,3,0:42.0,C. Miles misses free throw 1 of 2,,98,92
361,3,0:42.0,Offensive rebound by Team,,98,92
362,3,0:42.0,C. Miles misses free throw 2 of 2,,98,92
363,3,0:40.0,,Defensive rebound by G. Dieng,98,92
364,3,0:34.0,,Turnover by J. Layman (traveling),98,92
365,3,0:34.0,B. Beal enters the game for I. Smith,,98,92
366,3,0:34.0,,K. Towns enters the game for N. Vonleh,98,92
367,3,0:30.0,B. Beal makes 2-pt layup from 1 ft,,100,92
368,3,0:09.0,,J. Okogie misses 2-pt jump shot from 10 ft (block by J. McRae),100,92
369,3,0:04.0,,Offensive rebound by J. Layman,100,92
370,3,0:04.0,,J. Layman misses 2-pt layup from 1 ft,100,92
371,3,0:04.0,Defensive rebound by M. Wagner,,100,92
372,3,0:02.0,D. Bertāns makes 2-pt dunk from 1 ft (assist by B. Beal),,102,92
373,4,11:43.0,,Shooting foul by M. Wagner (drawn by J. Culver),102,92
374,4,11:43.0,,J. Culver misses free throw 1 of 2,102,92
375,4,11:43.0,,Offensive rebound by Team,102,92
376,4,11:43.0,,J. Culver misses free throw 2 of 2,102,92
377,4,11:42.0,Defensive rebound by I. Smith,,102,92
378,4,11:27.0,M. Wagner makes 2-pt layup from 2 ft (assist by D. Bertāns),,104,92
379,4,11:13.0,,K. Martin makes 2-pt jump shot from 13 ft (assist by G. Dieng),104,94
380,4,11:03.0,M. Wagner makes 3-pt jump shot from 25 ft (assist by J. McRae),,107,94
381,4,10:51.0,,K. Martin misses 3-pt jump shot from 26 ft,107,94
382,4,10:48.0,Defensive rebound by M. Wagner,,107,94
383,4,10:39.0,M. Wagner makes 2-pt layup from 2 ft (assist by J. McRae),,109,94
384,4,10:39.0,,Minnesota full timeout,109,94
385,4,10:39.0,C. Miles enters the game for B. Beal,,109,94
386,4,10:39.0,,J. Teague enters the game for J. Culver,109,94
387,4,10:39.0,,K. Towns enters the game for G. Dieng,109,94
388,4,10:24.0,,K. Martin makes 2-pt jump shot from 6 ft (assist by J. Teague),109,96
