,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,CHARLOTTE_ACTION,SACRAMENTO_SCORE,CHARLOTTE_SCORE
214,2,1:46.0,,C. Zeller makes 2-pt layup from 2 ft (assist by D. Graham),39,46
215,2,1:46.0,,Shooting foul by R. Holmes (drawn by C. Zeller),39,46
216,2,1:46.0,,C. Zeller misses free throw 1 of 1,39,46
217,2,1:44.0,Defensive rebound by H. Barnes,,39,46
218,2,1:33.0,D. Fox makes 3-pt jump shot from 25 ft,,42,46
219,2,1:06.0,,D. Graham makes 3-pt jump shot from 25 ft (assist by C. Martin),42,49
220,2,0:53.0,H. Barnes misses 2-pt layup from 2 ft,,42,49
221,2,0:50.0,Offensive rebound by R. Holmes,,42,49
222,2,0:50.0,R. Holmes makes 2-pt layup at rim,,44,49
223,2,0:32.0,,Personal foul by D. Fox (drawn by T. Rozier),44,49
224,2,0:32.0,,T. Rozier makes free throw 1 of 2,44,50
225,2,0:32.0,,M. Kidd-Gilchrist enters the game for M. Williams,44,50
226,2,0:32.0,,T. Rozier misses free throw 2 of 2,44,50
227,2,0:31.0,Defensive rebound by R. Holmes,,44,50
228,2,0:13.0,B. Hield makes 3-pt jump shot from 23 ft (assist by D. Fox),,47,50
229,2,0:01.0,,D. Graham makes 3-pt jump shot from 27 ft,47,53
230,2,0:00.0,D. Fox misses 3-pt jump shot from 46 ft,,47,53
231,2,0:00.0,Offensive rebound by Team,,47,53
232,3,11:49.0,H. Barnes makes 2-pt layup from 2 ft,,49,53
233,3,11:34.0,,Turnover by T. Rozier (lost ball; steal by B. Hield),49,53
234,3,11:30.0,B. Hield misses 2-pt layup from 2 ft (block by D. Graham),,49,53
235,3,11:30.0,Offensive rebound by Team,,49,53
236,3,11:25.0,N. Bjelica makes 2-pt jump shot from 21 ft (assist by C. Joseph),,51,53
237,3,11:00.0,,B. Biyombo misses 2-pt jump shot from 14 ft,51,53
238,3,10:58.0,Defensive rebound by N. Bjelica,,51,53
239,3,10:48.0,R. Holmes misses 2-pt jump shot from 5 ft,,51,53
240,3,10:48.0,,Defensive rebound by C. Zeller,51,53
241,3,10:35.0,,C. Zeller makes 2-pt layup from 1 ft (assist by D. Graham),51,55
242,3,10:24.0,H. Barnes makes 2-pt layup from 3 ft (assist by N. Bjelica),,53,55
243,3,10:24.0,Personal foul by C. Zeller (drawn by H. Barnes),,53,55
244,3,10:24.0,H. Barnes makes free throw 1 of 1,,54,55
245,3,10:09.0,,B. Biyombo makes 2-pt hook shot from 6 ft (assist by C. Zeller),54,57
246,3,9:56.0,N. Bjelica misses 3-pt jump shot from 29 ft,,54,57
247,3,9:52.0,,Defensive rebound by B. Biyombo,54,57
248,3,9:43.0,,C. Zeller misses 3-pt jump shot from 25 ft,54,57
249,3,9:40.0,,Offensive rebound by B. Biyombo,54,57
250,3,9:39.0,,D. Graham misses 3-pt jump shot from 25 ft,54,57
251,3,9:36.0,Defensive rebound by N. Bjelica,,54,57
252,3,9:25.0,N. Bjelica makes 3-pt jump shot from 23 ft (assist by C. Joseph),,57,57
253,3,9:07.0,,M. Bridges makes 2-pt dunk from 1 ft (assist by C. Zeller),57,59
254,3,8:55.0,H. Barnes misses 3-pt jump shot from 24 ft,,57,59
255,3,8:47.0,Offensive rebound by R. Holmes,,57,59
256,3,8:47.0,R. Holmes misses 2-pt dunk from 1 ft,,57,59
257,3,8:47.0,,Defensive rebound by D. Graham,57,59
258,3,8:47.0,,Personal foul by N. Bjelica (drawn by C. Zeller),57,59
259,3,8:38.0,,D. Graham misses 2-pt layup from 5 ft,57,59
260,3,8:38.0,Defensive rebound by Team,,57,59
261,3,8:25.0,H. Barnes misses 2-pt jump shot from 2 ft (block by T. Rozier),,57,59
262,3,8:22.0,Offensive rebound by C. Joseph,,57,59
263,3,8:19.0,C. Joseph makes 2-pt jump shot from 3 ft,,59,59
264,3,7:57.0,,T. Rozier makes 3-pt jump shot from 26 ft,59,62
265,3,7:45.0,N. Bjelica makes 3-pt jump shot from 27 ft (assist by C. Joseph),,62,62
266,3,7:27.0,,T. Rozier misses 2-pt jump shot from 12 ft,62,62
267,3,7:25.0,,Offensive rebound by B. Biyombo,62,62
268,3,7:12.0,,C. Zeller misses 2-pt layup from 2 ft,62,62
269,3,7:07.0,,Offensive rebound by C. Zeller,62,62
270,3,7:07.0,,C. Zeller makes 2-pt layup at rim,62,64
271,3,6:58.0,Turnover by N. Bjelica (traveling),,62,64
272,3,6:58.0,,Charlotte full timeout,62,64
273,3,6:58.0,D. Fox enters the game for C. Joseph,,62,64
274,3,6:58.0,,M. Williams enters the game for C. Zeller,62,64
275,3,6:46.0,,T. Rozier misses 2-pt layup from 4 ft (block by R. Holmes),62,64
276,3,6:46.0,,Offensive rebound by Team,62,64
277,3,6:38.0,,Offensive foul by B. Biyombo (drawn by D. Fox),62,64
278,3,6:38.0,,Turnover by B. Biyombo (offensive foul),62,64
279,3,6:20.0,B. Hield misses 3-pt jump shot from 24 ft,,62,64
280,3,6:19.0,Offensive rebound by Team,,62,64
281,3,6:07.0,H. Barnes misses 3-pt jump shot from 25 ft,,62,64
282,3,6:05.0,,Defensive rebound by B. Biyombo,62,64
283,3,5:51.0,,Turnover by M. Bridges (lost ball; steal by N. Bjelica),62,64
284,3,5:49.0,Personal foul by D. Graham (drawn by B. Hield),,62,64
285,3,5:49.0,B. Bogdanović enters the game for H. Barnes,,62,64
286,3,5:49.0,,M. Monk enters the game for T. Rozier,62,64
287,3,5:38.0,R. Holmes makes 2-pt jump shot from 9 ft (assist by B. Hield),,64,64
288,3,5:25.0,,M. Monk misses 2-pt jump shot from 4 ft (block by R. Holmes),64,64
289,3,5:22.0,Defensive rebound by B. Hield,,64,64
290,3,5:16.0,D. Fox misses 3-pt jump shot from 26 ft,,64,64
291,3,5:14.0,Offensive rebound by N. Bjelica,,64,64
292,3,5:13.0,N. Bjelica misses 2-pt layup from 3 ft (block by M. Williams),,64,64
293,3,5:13.0,,Defensive rebound by B. Biyombo,64,64
294,3,5:04.0,,M. Williams makes 3-pt jump shot from 25 ft (assist by M. Monk),64,67
295,3,4:54.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by D. Fox),,66,67
296,3,4:36.0,,B. Biyombo makes 2-pt hook shot from 4 ft (assist by D. Graham),66,69
297,3,4:24.0,D. Fox makes 2-pt layup from 5 ft,,68,69
298,3,4:11.0,,Shooting foul by B. Bogdanović (drawn by B. Biyombo),68,69
299,3,4:11.0,,B. Biyombo makes free throw 1 of 2,68,70
300,3,4:11.0,T. Ariza enters the game for B. Hield,,68,70
301,3,4:11.0,M. Bagley enters the game for R. Holmes,,68,70
302,3,4:11.0,,C. Martin enters the game for M. Bridges,68,70
303,3,4:11.0,,B. Biyombo makes free throw 2 of 2,68,71
304,3,3:59.0,D. Fox makes 2-pt layup from 3 ft,,70,71
305,3,3:42.0,,Personal foul by D. Fox (drawn by D. Graham),70,71
306,3,3:42.0,,C. Zeller enters the game for B. Biyombo,70,71
307,3,3:34.0,,Turnover by D. Graham (traveling),70,71
308,3,3:27.0,N. Bjelica misses 3-pt jump shot from 27 ft,,70,71
309,3,3:25.0,,Defensive rebound by C. Zeller,70,71
310,3,3:19.0,,M. Monk makes 2-pt layup from 1 ft (assist by C. Martin),70,73
311,3,3:02.0,N. Bjelica misses 3-pt jump shot from 27 ft,,70,73
312,3,3:00.0,,Defensive rebound by M. Monk,70,73
313,3,2:48.0,,M. Williams misses 2-pt hook shot from 2 ft,70,73
314,3,2:45.0,Defensive rebound by M. Bagley,,70,73
315,3,2:38.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by N. Bjelica),,73,73
316,3,2:24.0,,D. Graham misses 3-pt jump shot from 25 ft,73,73
317,3,2:23.0,,Offensive rebound by Team,73,73
318,3,2:23.0,Sacramento full timeout,,73,73
319,3,2:10.0,,Shooting foul by T. Ariza (drawn by M. Williams),73,73
320,3,2:10.0,,M. Williams makes free throw 1 of 3,73,74
321,3,2:10.0,,M. Williams makes free throw 2 of 3,73,75
322,3,2:10.0,,M. Williams makes free throw 3 of 3,73,76
323,3,1:51.0,Turnover by D. Fox (bad pass; steal by M. Monk),,73,76
324,3,1:49.0,,Shooting foul by T. Ariza (drawn by C. Zeller),73,76
325,3,1:49.0,,C. Zeller makes free throw 1 of 2,73,77
326,3,1:49.0,,C. Zeller misses free throw 2 of 2,73,77
327,3,1:47.0,Defensive rebound by M. Bagley,,73,77
328,3,1:33.0,D. Fox misses 3-pt jump shot from 27 ft,,73,77
329,3,1:30.0,,Defensive rebound by M. Williams,73,77
330,3,1:19.0,,Shooting foul by M. Bagley (drawn by M. Monk),73,77
331,3,1:19.0,,M. Monk misses free throw 1 of 2,73,77
332,3,1:19.0,,Offensive rebound by Team,73,77
333,3,1:19.0,,M. Monk makes free throw 2 of 2,73,78
334,3,1:05.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by M. Bagley),,76,78
335,3,0:43.0,,M. Monk makes 2-pt layup from 2 ft (assist by D. Graham),76,80
336,3,0:30.0,M. Bagley makes 3-pt jump shot from 25 ft (assist by D. Fox),,79,80
337,3,0:05.0,,D. Graham misses 3-pt jump shot from 26 ft,79,80
338,3,0:03.0,Defensive rebound by T. Ariza,,79,80
339,4,11:44.0,,Personal foul by M. Bagley (drawn by C. Zeller),79,80
340,4,11:29.0,,C. Zeller misses 2-pt hook shot from 3 ft,79,80
341,4,11:26.0,Defensive rebound by T. Ariza,,79,80
342,4,11:20.0,Personal foul by C. Martin (drawn by B. Bogdanović),,79,80
343,4,11:09.0,B. Bogdanović makes 2-pt jump shot from 13 ft,,81,80
344,4,10:58.0,,C. Zeller makes 2-pt layup from 3 ft,81,82
345,4,10:45.0,H. Barnes misses 2-pt jump shot from 13 ft,,81,82
346,4,10:45.0,Offensive rebound by Team,,81,82
347,4,10:45.0,,Loose ball foul by C. Martin (drawn by M. Bagley),81,82
348,4,10:45.0,,M. Kidd-Gilchrist enters the game for M. Williams,81,82
349,4,10:30.0,C. Joseph misses 2-pt jump shot from 15 ft,,81,82
350,4,10:28.0,,Defensive rebound by C. Martin,81,82
351,4,10:19.0,,T. Rozier misses 2-pt jump shot from 11 ft (block by C. Joseph),81,82
352,4,10:16.0,,Offensive rebound by T. Rozier,81,82
353,4,10:12.0,,M. Kidd-Gilchrist misses 2-pt jump shot from 7 ft,81,82
354,4,10:10.0,Defensive rebound by T. Ariza,,81,82
355,4,10:03.0,M. Bagley misses 3-pt jump shot from 27 ft,,81,82
356,4,10:01.0,,Defensive rebound by C. Martin,81,82
357,4,9:44.0,,M. Monk makes 3-pt jump shot from 24 ft,81,85
358,4,9:29.0,Personal foul by C. Martin (drawn by B. Bogdanović),,81,85
359,4,9:20.0,T. Ariza makes 3-pt jump shot from 23 ft (assist by B. Bogdanović),,84,85
360,4,9:04.0,,M. Monk makes 2-pt jump shot from 9 ft (assist by T. Rozier),84,87
361,4,8:49.0,T. Ariza misses 3-pt jump shot from 27 ft,,84,87
362,4,8:45.0,,Defensive rebound by C. Martin,84,87
363,4,8:36.0,,M. Monk makes 3-pt jump shot from 25 ft,84,90
364,4,8:35.0,Sacramento full timeout,,84,90
365,4,8:35.0,D. Fox enters the game for T. Ariza,,84,90
366,4,8:35.0,,B. Biyombo enters the game for C. Martin,84,90
367,4,8:35.0,,D. Graham enters the game for C. Zeller,84,90
368,4,8:23.0,H. Barnes misses 3-pt jump shot from 26 ft,,84,90
369,4,8:21.0,,Defensive rebound by M. Monk,84,90
370,4,8:07.0,,Offensive foul by B. Biyombo (drawn by D. Fox),84,90
371,4,8:07.0,,Turnover by B. Biyombo (offensive foul),84,90
372,4,7:45.0,Turnover by C. Joseph (bad pass; steal by T. Rozier),,84,90
373,4,7:29.0,,T. Rozier misses 3-pt jump shot from 26 ft,84,90
374,4,7:27.0,Defensive rebound by C. Joseph,,84,90
375,4,7:15.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,84,90
376,4,7:13.0,,Defensive rebound by T. Rozier,84,90
377,4,7:07.0,,T. Rozier misses 2-pt layup from 2 ft,84,90
378,4,7:03.0,,Offensive rebound by T. Rozier,84,90
379,4,7:02.0,,T. Rozier misses 2-pt layup at rim,84,90
380,4,7:01.0,Defensive rebound by M. Bagley,,84,90
381,4,6:55.0,M. Bagley misses 2-pt layup from 2 ft,,84,90
