,QUARTER,TIME_REMAINING,MIAMI_ACTION,LA CLIPPERS_ACTION,MIAMI_SCORE,LA CLIPPERS_SCORE
42,1,6:34.0,,L. Shamet misses 2-pt jump shot from 16 ft,15,13
43,1,6:32.0,Defensive rebound by K. Olynyk,,15,13
44,1,6:24.0,B. Adebayo misses 2-pt hook shot from 7 ft,,15,13
45,1,6:22.0,,Defensive rebound by I. Zubac,15,13
46,1,6:06.0,,P. Beverley misses 3-pt jump shot from 25 ft,15,13
47,1,6:03.0,Defensive rebound by J. Butler,,15,13
48,1,6:00.0,K. Nunn misses 3-pt jump shot from 26 ft,,15,13
49,1,5:56.0,,Defensive rebound by P. Beverley,15,13
50,1,5:46.0,,I. Zubac makes 2-pt dunk from 2 ft (assist by K. Leonard),15,15
51,1,5:44.0,Miami full timeout,,15,15
52,1,5:44.0,G. Dragić enters the game for B. Adebayo,,15,15
53,1,5:44.0,D. Jones enters the game for D. Robinson,,15,15
54,1,5:31.0,D. Jones misses 3-pt jump shot from 23 ft,,15,15
55,1,5:28.0,,Defensive rebound by M. Harkless,15,15
56,1,5:19.0,,L. Shamet misses 3-pt jump shot from 25 ft,15,15
57,1,5:15.0,Defensive rebound by G. Dragić,,15,15
58,1,5:08.0,G. Dragić misses 2-pt jump shot from 16 ft,,15,15
59,1,5:04.0,,Defensive rebound by I. Zubac,15,15
60,1,4:53.0,,Offensive foul by P. Beverley (drawn by D. Jones),15,15
61,1,4:53.0,,Turnover by P. Beverley (offensive foul),15,15
62,1,4:35.0,K. Nunn makes 3-pt jump shot from 23 ft (assist by J. Butler),,18,15
63,1,4:24.0,,M. Harkless misses 3-pt jump shot from 24 ft,18,15
64,1,4:20.0,Defensive rebound by K. Nunn,,18,15
65,1,4:16.0,G. Dragić misses 3-pt jump shot from 26 ft,,18,15
66,1,4:13.0,,Defensive rebound by K. Leonard,18,15
67,1,4:00.0,,I. Zubac makes 2-pt dunk from 1 ft (assist by K. Leonard),18,17
68,1,3:51.0,K. Nunn misses 2-pt jump shot from 18 ft,,18,17
69,1,3:51.0,,Defensive rebound by P. Beverley,18,17
70,1,3:42.0,,K. Leonard misses 3-pt jump shot from 25 ft,18,17
71,1,3:38.0,Defensive rebound by K. Olynyk,,18,17
72,1,3:16.0,J. Butler misses 2-pt layup from 4 ft,,18,17
73,1,3:13.0,,Defensive rebound by I. Zubac,18,17
74,1,3:07.0,,L. Shamet misses 3-pt jump shot from 25 ft,18,17
75,1,3:04.0,,Offensive rebound by P. Beverley,18,17
76,1,3:04.0,B. Adebayo enters the game for K. Olynyk,,18,17
77,1,3:04.0,,J. Green enters the game for P. Beverley,18,17
78,1,3:04.0,,M. Harrell enters the game for M. Harkless,18,17
79,1,3:04.0,,L. Williams enters the game for I. Zubac,18,17
80,1,2:58.0,,L. Shamet misses 3-pt jump shot from 23 ft,18,17
81,1,2:54.0,Defensive rebound by D. Jones,,18,17
82,1,2:45.0,G. Dragić makes 3-pt jump shot from 23 ft (assist by J. Butler),,21,17
83,1,2:25.0,,L. Shamet makes 3-pt jump shot from 24 ft (assist by K. Leonard),21,20
84,1,2:10.0,D. Jones makes 2-pt layup from 1 ft (assist by G. Dragić),,23,20
85,1,1:53.0,,M. Harrell misses 2-pt layup from 1 ft,23,20
86,1,1:46.0,,Offensive rebound by M. Harrell,23,20
87,1,1:45.0,,M. Harrell misses 2-pt layup from 1 ft,23,20
88,1,1:44.0,,Offensive rebound by M. Harrell,23,20
89,1,1:43.0,,M. Harrell misses 2-pt layup from 1 ft,23,20
90,1,1:42.0,Defensive rebound by B. Adebayo,,23,20
91,1,1:39.0,Turnover by G. Dragić (bad pass; steal by K. Leonard),,23,20
92,1,1:25.0,,M. Harrell makes 2-pt layup from 2 ft (assist by K. Leonard),23,22
93,1,1:04.0,B. Adebayo misses 2-pt jump shot from 5 ft,,23,22
94,1,1:02.0,,Defensive rebound by K. Leonard,23,22
95,1,0:46.0,,J. Green makes 3-pt jump shot from 23 ft (assist by L. Williams),23,25
96,1,0:29.0,G. Dragić misses 3-pt jump shot from 25 ft,,23,25
97,1,0:26.0,,Defensive rebound by Team,23,25
98,1,0:26.0,D. Robinson enters the game for J. Butler,,23,25
99,1,0:26.0,G. Vincent enters the game for K. Nunn,,23,25
100,1,0:06.0,,L. Shamet misses 3-pt jump shot from 23 ft,23,25
101,1,0:02.0,Defensive rebound by D. Jones,,23,25
102,1,0:00.0,D. Robinson misses 3-pt jump shot from 25 ft,,23,25
103,1,0:00.0,Offensive rebound by Team,,23,25
104,2,11:45.0,D. Robinson misses 3-pt jump shot from 25 ft,,23,25
105,2,11:42.0,Offensive rebound by D. Jones,,23,25
106,2,11:40.0,G. Vincent makes 3-pt jump shot from 27 ft (assist by D. Jones),,26,25
107,2,11:28.0,,M. Harrell makes 2-pt layup from 1 ft (assist by J. Green),26,27
108,2,11:05.0,G. Vincent makes 3-pt jump shot from 26 ft (assist by D. Jones),,29,27
109,2,10:50.0,,R. McGruder misses 2-pt jump shot from 3 ft,29,27
110,2,10:47.0,Defensive rebound by D. Jones,,29,27
111,2,10:41.0,Shooting foul by M. Harrell (drawn by B. Adebayo),,29,27
112,2,10:41.0,B. Adebayo makes free throw 1 of 2,,30,27
113,2,10:41.0,B. Adebayo makes free throw 2 of 2,,31,27
114,2,10:28.0,,Turnover by L. Williams (lost ball; steal by D. Jones),31,27
115,2,10:26.0,Shooting foul by J. Green (drawn by D. Jones),,31,27
116,2,10:26.0,D. Jones makes free throw 1 of 2,,32,27
117,2,10:26.0,D. Jones makes free throw 2 of 2,,33,27
118,2,10:14.0,,L. Shamet misses 3-pt jump shot from 26 ft,33,27
119,2,10:09.0,,Offensive rebound by L. Williams,33,27
120,2,10:06.0,,L. Williams misses 3-pt jump shot from 24 ft,33,27
121,2,10:03.0,,Offensive rebound by R. McGruder,33,27
122,2,10:01.0,,L. Williams misses 3-pt jump shot from 24 ft,33,27
123,2,9:56.0,Defensive rebound by D. Jones,,33,27
124,2,9:45.0,G. Vincent misses 3-pt jump shot from 25 ft,,33,27
125,2,9:42.0,,Defensive rebound by L. Williams,33,27
126,2,9:41.0,,Shooting foul by G. Dragić (drawn by L. Williams),33,27
127,2,9:41.0,,L. Williams makes free throw 1 of 2,33,28
128,2,9:41.0,,P. George enters the game for R. McGruder,33,28
129,2,9:41.0,,L. Williams makes free throw 2 of 2,33,29
130,2,9:28.0,G. Vincent misses 2-pt jump shot from 12 ft,,33,29
131,2,9:24.0,,Defensive rebound by P. George,33,29
132,2,9:18.0,,Shooting foul by D. Robinson (drawn by P. George),33,29
133,2,9:18.0,,P. George makes free throw 1 of 2,33,30
134,2,9:18.0,,P. George makes free throw 2 of 2,33,31
135,2,9:08.0,G. Dragić makes 2-pt layup from 3 ft,,35,31
136,2,8:59.0,,J. Green misses 3-pt jump shot from 25 ft,35,31
137,2,8:55.0,Defensive rebound by G. Dragić,,35,31
138,2,8:52.0,Personal foul by P. George (drawn by G. Dragić),,35,31
139,2,8:47.0,Personal foul by L. Shamet (drawn by G. Dragić),,35,31
140,2,8:47.0,,P. Beverley enters the game for P. George,35,31
141,2,8:35.0,G. Dragić misses 3-pt jump shot from 25 ft,,35,31
142,2,8:31.0,Offensive rebound by B. Adebayo,,35,31
143,2,8:28.0,G. Vincent makes 3-pt jump shot from 29 ft (assist by B. Adebayo),,38,31
144,2,8:28.0,,LA Clippers full timeout,38,31
145,2,8:17.0,,P. Beverley misses 3-pt jump shot from 25 ft,38,31
146,2,8:13.0,Defensive rebound by G. Vincent,,38,31
147,2,8:05.0,B. Adebayo misses 2-pt hook shot from 5 ft,,38,31
148,2,7:59.0,Offensive rebound by D. Jones,,38,31
149,2,7:59.0,D. Jones makes 2-pt layup at rim,,40,31
150,2,7:45.0,,Turnover by J. Green (bad pass; steal by D. Jones),40,31
151,2,7:44.0,Personal take foul by P. Beverley (drawn by B. Adebayo),,40,31
152,2,7:44.0,B. Adebayo makes free throw 1 of 2,,41,31
153,2,7:44.0,B. Adebayo misses free throw 2 of 2,,41,31
154,2,7:42.0,,Defensive rebound by M. Harrell,41,31
155,2,7:31.0,,Turnover by L. Williams (bad pass),41,31
156,2,7:20.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),,43,31
157,2,6:59.0,,L. Williams makes 2-pt jump shot from 9 ft,43,33
158,2,6:59.0,,Shooting foul by D. Robinson (drawn by L. Williams),43,33
159,2,6:59.0,,L. Williams makes free throw 1 of 1,43,34
160,2,6:43.0,Offensive foul by D. Jones (drawn by P. Beverley),,43,34
161,2,6:43.0,Turnover by D. Jones (offensive foul),,43,34
162,2,6:29.0,,Shooting foul by D. Jones (drawn by L. Williams),43,34
163,2,6:29.0,,L. Williams makes free throw 1 of 2,43,35
164,2,6:29.0,,L. Williams makes free throw 2 of 2,43,36
165,2,6:21.0,G. Dragić makes 2-pt jump shot from 12 ft,,45,36
166,2,6:21.0,Shooting foul by L. Shamet (drawn by G. Dragić),,45,36
167,2,6:21.0,J. Butler enters the game for B. Adebayo,,45,36
168,2,6:21.0,K. Olynyk enters the game for D. Robinson,,45,36
169,2,6:21.0,,K. Leonard enters the game for J. Green,45,36
170,2,6:21.0,G. Dragić makes free throw 1 of 1,,46,36
171,2,6:13.0,,Turnover by K. Leonard (bad pass),46,36
172,2,6:01.0,J. Butler misses 3-pt jump shot from 24 ft,,46,36
173,2,5:59.0,,Defensive rebound by M. Harrell,46,36
174,2,5:55.0,,M. Harrell makes 2-pt jump shot from 6 ft,46,38
175,2,5:55.0,,Shooting foul by K. Olynyk (drawn by M. Harrell),46,38
176,2,5:55.0,,M. Harrell misses free throw 1 of 1,46,38
177,2,5:52.0,Defensive rebound by D. Jones,,46,38
178,2,5:50.0,Miami full timeout,,46,38
179,2,5:50.0,K. Nunn enters the game for G. Dragić,,46,38
180,2,5:50.0,,M. Harkless enters the game for L. Shamet,46,38
181,2,5:41.0,K. Nunn misses 2-pt jump shot from 9 ft (block by P. Beverley),,46,38
182,2,5:38.0,,Defensive rebound by P. Beverley,46,38
183,2,5:29.0,,M. Harkless makes 3-pt jump shot from 25 ft,46,41
184,2,5:14.0,Turnover by K. Olynyk (lost ball; steal by K. Leonard),,46,41
185,2,4:56.0,,L. Williams makes 3-pt jump shot from 27 ft (assist by K. Leonard),46,44
186,2,4:32.0,K. Olynyk makes 3-pt jump shot from 28 ft (assist by K. Nunn),,49,44
187,2,4:15.0,,L. Williams misses 3-pt jump shot from 22 ft,49,44
188,2,4:13.0,Defensive rebound by K. Olynyk,,49,44
189,2,4:04.0,G. Vincent misses 3-pt jump shot from 28 ft,,49,44
190,2,4:00.0,,Defensive rebound by M. Harrell,49,44
191,2,3:53.0,,Turnover by P. Beverley (bad pass; steal by G. Vincent),49,44
192,2,3:39.0,Shooting foul by M. Harkless (drawn by J. Butler),,49,44
193,2,3:39.0,J. Butler makes free throw 1 of 2,,50,44
194,2,3:39.0,B. Adebayo enters the game for D. Jones,,50,44
195,2,3:39.0,,L. Shamet enters the game for M. Harrell,50,44
196,2,3:39.0,,I. Zubac enters the game for L. Williams,50,44
197,2,3:39.0,J. Butler misses free throw 2 of 2,,50,44
198,2,3:36.0,,Defensive rebound by I. Zubac,50,44
199,2,3:15.0,,Turnover by Team (shot clock),50,44
200,2,3:02.0,J. Butler makes 2-pt jump shot from 18 ft,,52,44
201,2,2:46.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by K. Leonard),52,47
202,2,2:34.0,J. Butler makes 2-pt layup from 2 ft,,54,47
203,2,2:34.0,Shooting foul by M. Harkless (drawn by J. Butler),,54,47
204,2,2:34.0,G. Dragić enters the game for G. Vincent,,54,47
205,2,2:34.0,J. Butler makes free throw 1 of 1,,55,47
206,2,2:16.0,,M. Harkless makes 2-pt layup from 2 ft (assist by L. Shamet),55,49
207,2,2:07.0,Personal foul by L. Shamet (drawn by K. Olynyk),,55,49
208,2,2:07.0,K. Olynyk makes free throw 1 of 2,,56,49
209,2,2:07.0,,L. Williams enters the game for L. Shamet,56,49
210,2,2:07.0,K. Olynyk misses free throw 2 of 2,,56,49
211,2,2:05.0,,Defensive rebound by M. Harkless,56,49
212,2,1:44.0,,K. Leonard misses 3-pt jump shot from 30 ft,56,49
213,2,1:36.0,,Offensive rebound by I. Zubac,56,49
214,2,1:36.0,,I. Zubac makes 2-pt dunk from 1 ft,56,51
215,2,1:20.0,K. Olynyk misses 2-pt layup from 4 ft,,56,51
216,2,1:17.0,,Defensive rebound by K. Leonard,56,51
217,2,1:05.0,,K. Leonard makes 2-pt jump shot from 10 ft,56,53
218,2,0:54.0,K. Olynyk misses 3-pt jump shot from 27 ft,,56,53
219,2,0:51.0,,Defensive rebound by Team,56,53
220,2,0:51.0,D. Jones enters the game for K. Olynyk,,56,53
221,2,0:34.0,Violation by Team (kicked ball),,56,53
222,2,0:34.0,D. Robinson enters the game for D. Jones,,56,53
223,2,0:20.0,,K. Leonard misses 2-pt jump shot from 11 ft,56,53
224,2,0:18.0,Defensive rebound by J. Butler,,56,53
225,2,0:07.0,Shooting foul by L. Williams (drawn by J. Butler),,56,53
226,2,0:07.0,J. Butler makes free throw 2 of 2,,57,53
227,2,0:07.0,J. Butler makes free throw 1 of 2,,58,53
228,2,0:07.0,G. Vincent enters the game for D. Robinson,,58,53
229,2,0:02.0,,Shooting foul by G. Vincent (drawn by L. Williams),58,53
230,2,0:02.0,,L. Williams makes free throw 1 of 2,58,54
231,2,0:02.0,,R. McGruder enters the game for P. Beverley,58,54
232,2,0:02.0,,J. Robinson enters the game for M. Harkless,58,54
233,2,0:02.0,,L. Williams makes free throw 2 of 2,58,55
234,2,0:02.0,Turnover by J. Butler (bad pass; steal by J. Robinson),,58,55
235,2,0:01.0,,L. Williams misses 3-pt jump shot from 34 ft,58,55
236,2,0:00.0,,Offensive rebound by Team,58,55
237,3,11:40.0,D. Robinson makes 3-pt jump shot from 29 ft (assist by K. Olynyk),,61,55
238,3,11:21.0,,P. George misses 2-pt jump shot from 18 ft,61,55
239,3,11:17.0,Defensive rebound by K. Olynyk,,61,55
240,3,11:13.0,K. Nunn misses 2-pt layup from 1 ft (block by I. Zubac),,61,55
241,3,11:10.0,,Defensive rebound by M. Harkless,61,55
242,3,11:06.0,,K. Leonard misses 3-pt jump shot from 25 ft,61,55
243,3,11:03.0,Defensive rebound by B. Adebayo,,61,55
244,3,10:57.0,D. Robinson misses 3-pt jump shot from 26 ft,,61,55
245,3,10:50.0,Offensive rebound by K. Olynyk,,61,55
246,3,10:50.0,K. Olynyk misses 2-pt layup from 1 ft,,61,55
247,3,10:50.0,,Defensive rebound by I. Zubac,61,55
248,3,10:42.0,,K. Leonard makes 3-pt jump shot from 25 ft (assist by P. George),61,58
249,3,10:26.0,Turnover by K. Nunn (bad pass; steal by P. George),,61,58
250,3,10:21.0,,P. Beverley makes 2-pt jump shot from 3 ft,61,60
251,3,10:00.0,K. Nunn misses 2-pt layup from 2 ft (block by I. Zubac),,61,60
252,3,10:00.0,Offensive rebound by Team,,61,60
253,3,9:56.0,K. Nunn misses 3-pt jump shot from 26 ft,,61,60
254,3,9:51.0,,Defensive rebound by P. Beverley,61,60
255,3,9:44.0,,P. George misses 2-pt jump shot from 6 ft,61,60
256,3,9:40.0,,Offensive rebound by P. George,61,60
257,3,9:38.0,,Turnover by P. George (lost ball; steal by K. Nunn),61,60
258,3,9:26.0,J. Butler misses 2-pt jump shot from 18 ft,,61,60
259,3,9:22.0,,Defensive rebound by M. Harkless,61,60
260,3,9:13.0,,P. Beverley misses 3-pt jump shot from 23 ft,61,60
261,3,9:10.0,Defensive rebound by D. Robinson,,61,60
262,3,9:05.0,K. Nunn makes 2-pt layup from 1 ft,,63,60
263,3,8:51.0,,K. Leonard makes 3-pt jump shot from 25 ft,63,63
264,3,8:40.0,Personal foul by P. Beverley (drawn by K. Olynyk),,63,63
265,3,8:32.0,D. Robinson misses 3-pt jump shot from 31 ft,,63,63
266,3,8:27.0,,Defensive rebound by M. Harkless,63,63
267,3,8:21.0,,I. Zubac makes 2-pt layup from 1 ft (assist by P. George),63,65
268,3,8:07.0,K. Nunn misses 2-pt jump shot from 6 ft,,63,65
269,3,8:00.0,Offensive rebound by B. Adebayo,,63,65
270,3,8:00.0,B. Adebayo makes 2-pt dunk from 1 ft,,65,65
271,3,7:48.0,,M. Harkless makes 3-pt jump shot from 23 ft (assist by P. George),65,68
272,3,7:29.0,K. Nunn misses 3-pt jump shot from 22 ft,,65,68
273,3,7:29.0,,Defensive rebound by Team,65,68
274,3,7:19.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by K. Leonard),65,71
275,3,7:18.0,Miami full timeout,,65,71
276,3,7:18.0,,L. Shamet enters the game for P. Beverley,65,71
277,3,7:04.0,Turnover by B. Adebayo (bad pass; steal by M. Harkless),,65,71
278,3,6:55.0,,P. George makes 3-pt jump shot from 26 ft,65,74
279,3,6:37.0,K. Olynyk misses 3-pt jump shot from 27 ft,,65,74
280,3,6:35.0,,Defensive rebound by M. Harkless,65,74
281,3,6:21.0,,M. Harkless misses 3-pt jump shot from 24 ft,65,74
282,3,6:17.0,Defensive rebound by B. Adebayo,,65,74
283,3,6:10.0,Turnover by K. Nunn (bad pass; steal by I. Zubac),,65,74
284,3,6:05.0,,Shooting foul by D. Robinson (drawn by P. George),65,74
285,3,6:05.0,,P. George makes free throw 1 of 2,65,75
286,3,6:05.0,G. Dragić enters the game for B. Adebayo,,65,75
287,3,6:05.0,D. Jones enters the game for D. Robinson,,65,75
288,3,6:05.0,,P. George makes free throw 2 of 2,65,76
289,3,5:57.0,Shooting foul by M. Harkless (drawn by J. Butler),,65,76
290,3,5:57.0,J. Butler makes free throw 1 of 2,,66,76
291,3,5:57.0,J. Butler misses free throw 2 of 2,,66,76
292,3,5:54.0,,Defensive rebound by K. Leonard,66,76
293,3,5:43.0,,P. George makes 3-pt jump shot from 27 ft (assist by L. Shamet),66,79
294,3,5:31.0,G. Dragić makes 3-pt jump shot from 25 ft (assist by J. Butler),,69,79
295,3,5:18.0,,P. George misses 3-pt jump shot from 27 ft,69,79
296,3,5:16.0,Defensive rebound by K. Olynyk,,69,79
297,3,5:11.0,G. Dragić misses 2-pt jump shot from 13 ft,,69,79
298,3,5:09.0,Offensive rebound by J. Butler,,69,79
299,3,5:06.0,D. Jones makes 3-pt jump shot from 24 ft (assist by J. Butler),,72,79
300,3,4:50.0,,L. Shamet makes 3-pt jump shot from 23 ft (assist by P. George),72,82
301,3,4:34.0,K. Nunn makes 2-pt jump shot from 13 ft,,74,82
302,3,4:12.0,,I. Zubac makes 2-pt layup from 2 ft (assist by L. Shamet),74,84
303,3,4:12.0,,Shooting foul by J. Butler (drawn by I. Zubac),74,84
304,3,4:12.0,G. Vincent enters the game for K. Nunn,,74,84
305,3,4:12.0,,L. Williams enters the game for K. Leonard,74,84
306,3,4:12.0,,I. Zubac misses free throw 1 of 1,74,84
307,3,4:11.0,Defensive rebound by K. Olynyk,,74,84
308,3,4:11.0,Miami full timeout,,74,84
309,3,4:11.0,B. Adebayo enters the game for J. Butler,,74,84
310,3,4:11.0,D. Robinson enters the game for K. Olynyk,,74,84
311,3,3:53.0,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Jones),,76,84
312,3,3:34.0,,Turnover by P. George (lost ball; steal by D. Robinson),76,84
313,3,3:31.0,D. Jones makes 2-pt dunk from 1 ft (assist by G. Dragić),,78,84
314,3,3:09.0,,L. Shamet makes 3-pt jump shot from 25 ft (assist by P. George),78,87
315,3,2:44.0,Turnover by B. Adebayo (3 sec),,78,87
316,3,2:44.0,,J. Green enters the game for M. Harkless,78,87
317,3,2:44.0,,M. Harrell enters the game for I. Zubac,78,87
318,3,2:36.0,,P. George makes 3-pt jump shot from 23 ft (assist by L. Shamet),78,90
319,3,2:18.0,G. Vincent misses 3-pt jump shot from 23 ft,,78,90
320,3,2:16.0,,Defensive rebound by M. Harrell,78,90
321,3,2:00.0,,L. Shamet misses 3-pt jump shot from 26 ft,78,90
322,3,1:56.0,Defensive rebound by D. Robinson,,78,90
323,3,1:45.0,G. Dragić misses 2-pt jump shot from 22 ft,,78,90
324,3,1:41.0,,Defensive rebound by L. Shamet,78,90
325,3,1:33.0,,L. Williams makes 2-pt jump shot from 20 ft (assist by M. Harrell),78,92
326,3,1:14.0,Personal foul by J. Green (drawn by B. Adebayo),,78,92
327,3,1:04.0,D. Robinson misses 3-pt jump shot from 30 ft,,78,92
328,3,1:00.0,,Defensive rebound by J. Green,78,92
329,3,0:52.0,,J. Green misses 3-pt jump shot from 24 ft,78,92
330,3,0:50.0,Defensive rebound by B. Adebayo,,78,92
331,3,0:44.0,G. Dragić makes 2-pt layup from 1 ft (assist by B. Adebayo),,80,92
332,3,0:33.0,,L. Shamet misses 3-pt jump shot from 23 ft,80,92
333,3,0:29.0,Defensive rebound by B. Adebayo,,80,92
334,3,0:16.0,G. Vincent misses 3-pt jump shot from 25 ft,,80,92
335,3,0:14.0,Offensive rebound by B. Adebayo,,80,92
336,3,0:02.0,G. Dragić misses 3-pt jump shot from 27 ft,,80,92
337,3,0:00.0,,Defensive rebound by P. George,80,92
338,4,11:51.0,,Shooting foul by D. Jones (drawn by L. Williams),80,92
339,4,11:51.0,,L. Williams misses free throw 1 of 2,80,92
340,4,11:51.0,,Offensive rebound by Team,80,92
341,4,11:51.0,,L. Williams misses free throw 2 of 2,80,92
342,4,11:48.0,Defensive rebound by D. Robinson,,80,92
343,4,11:35.0,G. Vincent misses 3-pt jump shot from 25 ft,,80,92
344,4,11:31.0,,Defensive rebound by J. Green,80,92
345,4,11:15.0,,Turnover by J. Green (bad pass; steal by B. Adebayo),80,92
346,4,11:12.0,D. Jones makes 2-pt dunk from 1 ft (assist by B. Adebayo),,82,92
347,4,10:58.0,,J. Green makes 3-pt jump shot from 24 ft (assist by L. Williams),82,95
348,4,10:46.0,G. Vincent misses 3-pt jump shot from 25 ft,,82,95
349,4,10:43.0,,Defensive rebound by J. Green,82,95
350,4,10:38.0,,L. Williams misses 2-pt jump shot from 13 ft (block by D. Jones),82,95
351,4,10:35.0,,Offensive rebound by L. Williams,82,95
352,4,10:33.0,,L. Williams misses 3-pt jump shot from 24 ft,82,95
353,4,10:28.0,Defensive rebound by G. Dragić,,82,95
354,4,10:22.0,G. Dragić misses 2-pt jump shot from 6 ft,,82,95
355,4,10:22.0,Offensive rebound by B. Adebayo,,82,95
356,4,10:22.0,Personal foul by M. Harrell (drawn by B. Adebayo),,82,95
357,4,10:13.0,G. Vincent misses 2-pt jump shot from 14 ft,,82,95
358,4,10:11.0,,Defensive rebound by J. Green,82,95
359,4,10:01.0,,J. Green misses 2-pt jump shot from 16 ft,82,95
360,4,9:58.0,Defensive rebound by B. Adebayo,,82,95
361,4,9:54.0,B. Adebayo makes 2-pt layup from 2 ft,,84,95
362,4,9:54.0,Shooting foul by M. Harrell (drawn by B. Adebayo),,84,95
363,4,9:54.0,K. Nunn enters the game for G. Vincent,,84,95
364,4,9:54.0,B. Adebayo misses free throw 1 of 1,,84,95
365,4,9:50.0,Offensive rebound by D. Robinson,,84,95
366,4,9:48.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by B. Adebayo),,87,95
367,4,9:47.0,,LA Clippers full timeout,87,95
368,4,9:35.0,,R. McGruder misses 3-pt jump shot from 23 ft,87,95
369,4,9:32.0,Defensive rebound by B. Adebayo,,87,95
370,4,9:10.0,Turnover by Team (shot clock),,87,95
371,4,9:10.0,,P. George enters the game for R. McGruder,87,95
372,4,9:00.0,,J. Green makes 3-pt jump shot from 26 ft (assist by L. Williams),87,98
373,4,8:39.0,B. Adebayo misses 2-pt jump shot from 10 ft,,87,98
374,4,8:37.0,,Defensive rebound by J. Green,87,98
375,4,8:30.0,,M. Harrell makes 2-pt layup from 1 ft (assist by P. George),87,100
376,4,8:29.0,Miami full timeout,,87,100
377,4,8:13.0,D. Jones makes 3-pt jump shot from 24 ft (assist by K. Nunn),,90,100
378,4,7:52.0,,M. Harrell makes 2-pt hook shot from 2 ft (assist by L. Shamet),90,102
379,4,7:33.0,D. Robinson misses 2-pt layup from 2 ft,,90,102
380,4,7:30.0,,Defensive rebound by L. Williams,90,102
381,4,7:19.0,,P. George makes 2-pt jump shot from 17 ft,90,104
382,4,7:07.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by G. Dragić),,92,104
383,4,6:48.0,,J. Green makes 3-pt jump shot from 23 ft (assist by L. Shamet),92,107
384,4,6:29.0,K. Nunn misses 2-pt jump shot from 18 ft,,92,107
