,QUARTER,TIME_REMAINING,BOSTON_ACTION,LA LAKERS_ACTION,BOSTON_SCORE,LA LAKERS_SCORE
71,1,2:56.0,,Personal foul by D. Theis (drawn by A. Davis),17,18
72,1,2:56.0,Boston full timeout,,17,18
73,1,2:56.0,E. Freedom enters the game for J. Brown,,17,18
74,1,2:56.0,B. Wanamaker enters the game for D. Theis,,17,18
75,1,2:47.0,,K. Kuzma misses 3-pt jump shot from 27 ft,17,18
76,1,2:45.0,Defensive rebound by S. Ojeleye,,17,18
77,1,2:29.0,Turnover by E. Freedom (lost ball; steal by K. Caldwell-Pope),,17,18
78,1,2:17.0,,A. Davis misses 2-pt jump shot from 19 ft,17,18
79,1,2:14.0,,Offensive rebound by R. Rondo,17,18
80,1,2:13.0,,A. Davis makes 2-pt dunk from 1 ft (assist by R. Rondo),17,20
81,1,1:55.0,G. Hayward makes 2-pt jump shot from 14 ft,,19,20
82,1,1:47.0,,K. Caldwell-Pope makes 2-pt layup from 4 ft (assist by R. Rondo),19,22
83,1,1:28.0,Turnover by B. Wanamaker (bad pass; steal by R. Rondo),,19,22
84,1,1:19.0,,K. Kuzma makes 2-pt hook shot from 3 ft,19,24
85,1,0:57.0,M. Smart misses 2-pt jump shot from 2 ft,,19,24
86,1,0:55.0,,Defensive rebound by K. Kuzma,19,24
87,1,0:49.0,,A. Bradley misses 3-pt jump shot from 27 ft,19,24
88,1,0:47.0,Defensive rebound by S. Ojeleye,,19,24
89,1,0:41.0,M. Smart misses 2-pt layup from 3 ft,,19,24
90,1,0:40.0,,Defensive rebound by A. Davis,19,24
91,1,0:36.0,,R. Rondo makes 2-pt layup from 3 ft,19,26
92,1,0:21.0,M. Smart misses 3-pt jump shot from 25 ft,,19,26
93,1,0:18.0,,Defensive rebound by K. Kuzma,19,26
94,1,0:02.0,,K. Kuzma makes 2-pt jump shot from 4 ft,19,28
95,1,0:00.0,B. Wanamaker misses 3-pt jump shot from 26 ft,,19,28
96,1,0:00.0,Offensive rebound by Team,,19,28
97,2,11:44.0,Shooting foul by D. Howard (drawn by R. Langford),,19,28
98,2,11:44.0,R. Langford misses free throw 1 of 2,,19,28
99,2,11:44.0,Offensive rebound by Team,,19,28
100,2,11:44.0,R. Langford misses free throw 2 of 2,,19,28
101,2,11:42.0,,Defensive rebound by D. Howard,19,28
102,2,11:26.0,,Turnover by K. Kuzma (traveling),19,28
103,2,11:10.0,J. Tatum makes 2-pt layup from 2 ft,,21,28
104,2,10:56.0,,L. James misses 2-pt layup from 4 ft,21,28
105,2,10:54.0,Defensive rebound by E. Freedom,,21,28
106,2,10:52.0,R. Langford misses 2-pt layup from 2 ft (block by D. Howard),,21,28
107,2,10:52.0,,Defensive rebound by Team,21,28
108,2,10:47.0,,D. Howard misses 2-pt layup from 4 ft,21,28
109,2,10:46.0,Defensive rebound by E. Freedom,,21,28
110,2,10:32.0,J. Brown makes 3-pt jump shot from 22 ft (assist by J. Tatum),,24,28
111,2,10:26.0,,R. Rondo misses 3-pt jump shot from 26 ft,24,28
112,2,10:23.0,,Offensive rebound by D. Howard,24,28
113,2,10:22.0,,D. Howard makes 2-pt layup from 1 ft,24,30
114,2,10:22.0,,Shooting foul by J. Tatum (drawn by D. Howard),24,30
115,2,10:22.0,,D. Howard misses free throw 1 of 1,24,30
116,2,10:20.0,Defensive rebound by J. Brown,,24,30
117,2,10:07.0,J. Tatum makes 2-pt jump shot from 3 ft,,26,30
118,2,9:56.0,,Shooting foul by J. Tatum (drawn by D. Howard),26,30
119,2,9:56.0,,D. Howard makes free throw 1 of 2,26,31
120,2,9:56.0,,D. Howard makes free throw 2 of 2,26,32
121,2,9:47.0,Turnover by B. Wanamaker (lost ball; steal by R. Rondo),,26,32
122,2,9:46.0,,Shooting foul by B. Wanamaker (drawn by L. James),26,32
123,2,9:46.0,,L. James misses free throw 1 of 2,26,32
124,2,9:46.0,,Offensive rebound by Team,26,32
125,2,9:46.0,G. Williams enters the game for E. Freedom,,26,32
126,2,9:46.0,,L. James makes free throw 2 of 2,26,33
127,2,9:32.0,G. Williams misses 3-pt jump shot from 23 ft,,26,33
128,2,9:29.0,,Defensive rebound by D. Howard,26,33
129,2,9:12.0,,K. Kuzma misses 2-pt layup from 5 ft (block by J. Tatum),26,33
130,2,9:09.0,Defensive rebound by B. Wanamaker,,26,33
131,2,9:06.0,J. Tatum misses 3-pt jump shot from 27 ft,,26,33
132,2,9:03.0,,Defensive rebound by K. Caldwell-Pope,26,33
133,2,9:01.0,,K. Kuzma makes 2-pt dunk from 2 ft (assist by R. Rondo),26,35
134,2,9:01.0,Boston full timeout,,26,35
135,2,8:45.0,B. Wanamaker misses 2-pt jump shot from 7 ft,,26,35
136,2,8:44.0,Offensive rebound by Team,,26,35
137,2,8:30.0,J. Tatum makes 2-pt layup from 2 ft,,28,35
138,2,8:19.0,,Personal foul by G. Williams (drawn by D. Howard),28,35
139,2,8:05.0,,L. James makes 2-pt layup from 3 ft,28,37
140,2,7:41.0,Turnover by J. Brown (lost ball),,28,37
141,2,7:41.0,Loose ball foul by J. Brown (drawn by R. Rondo),,28,37
142,2,7:41.0,,R. Rondo makes free throw 1 of 2,28,38
143,2,7:41.0,,A. Caruso enters the game for K. Caldwell-Pope,28,38
144,2,7:41.0,,A. Davis enters the game for L. James,28,38
145,2,7:41.0,,D. Green enters the game for K. Kuzma,28,38
146,2,7:41.0,,R. Rondo makes free throw 2 of 2,28,39
147,2,7:32.0,Shooting foul by D. Howard (drawn by B. Wanamaker),,28,39
148,2,7:32.0,B. Wanamaker makes free throw 1 of 2,,29,39
149,2,7:32.0,,K. Caldwell-Pope enters the game for R. Rondo,29,39
150,2,7:32.0,B. Wanamaker makes free throw 2 of 2,,30,39
151,2,7:19.0,,Turnover by A. Davis (lost ball; steal by B. Wanamaker),30,39
152,2,7:15.0,R. Langford makes 3-pt jump shot from 27 ft (assist by B. Wanamaker),,33,39
153,2,6:56.0,,A. Caruso makes 2-pt layup from 2 ft,33,41
154,2,6:38.0,Shooting foul by A. Caruso (drawn by J. Tatum),,33,41
155,2,6:38.0,J. Tatum makes free throw 1 of 2,,34,41
156,2,6:38.0,G. Hayward enters the game for J. Brown,,34,41
157,2,6:38.0,M. Smart enters the game for B. Wanamaker,,34,41
158,2,6:38.0,J. Tatum makes free throw 2 of 2,,35,41
159,2,6:33.0,,Turnover by K. Caldwell-Pope (bad pass; steal by M. Smart),35,41
160,2,6:33.0,Personal foul by K. Caldwell-Pope (drawn by M. Smart),,35,41
161,2,6:16.0,J. Tatum makes 2-pt layup from 5 ft,,37,41
162,2,6:15.0,,LA Lakers full timeout,37,41
163,2,5:54.0,,A. Caruso makes 2-pt layup from 3 ft (assist by A. Davis),37,43
164,2,5:44.0,G. Hayward misses 3-pt jump shot from 26 ft,,37,43
165,2,5:41.0,Offensive rebound by J. Tatum,,37,43
166,2,5:40.0,M. Smart misses 3-pt jump shot from 26 ft,,37,43
167,2,5:39.0,,Defensive rebound by D. Howard,37,43
168,2,5:27.0,,A. Caruso misses 3-pt jump shot from 28 ft,37,43
169,2,5:25.0,Defensive rebound by J. Tatum,,37,43
170,2,5:17.0,R. Langford misses 2-pt jump shot from 8 ft,,37,43
171,2,5:17.0,,Defensive rebound by D. Howard,37,43
172,2,5:09.0,,Turnover by A. Davis (bad pass; steal by G. Williams),37,43
173,2,5:02.0,Personal foul by A. Davis (drawn by M. Smart),,37,43
174,2,5:02.0,M. Smart makes free throw 1 of 2,,38,43
175,2,5:02.0,D. Theis enters the game for R. Langford,,38,43
176,2,5:02.0,M. Smart misses free throw 2 of 2,,38,43
177,2,5:01.0,,Defensive rebound by D. Howard,38,43
178,2,4:51.0,,A. Davis misses 2-pt layup from 5 ft,38,43
179,2,4:49.0,Defensive rebound by M. Smart,,38,43
180,2,4:33.0,J. Tatum makes 2-pt layup from 1 ft,,40,43
181,2,4:23.0,,D. Green makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),40,46
182,2,4:02.0,J. Tatum makes 3-pt jump shot from 25 ft,,43,46
183,2,3:47.0,,A. Caruso misses 3-pt jump shot from 24 ft,43,46
184,2,3:44.0,Defensive rebound by G. Hayward,,43,46
185,2,3:33.0,Personal foul by A. Caruso (drawn by D. Theis),,43,46
186,2,3:33.0,D. Theis makes free throw 1 of 2,,44,46
187,2,3:33.0,J. Brown enters the game for G. Williams,,44,46
188,2,3:33.0,,A. Bradley enters the game for K. Caldwell-Pope,44,46
189,2,3:33.0,,L. James enters the game for A. Caruso,44,46
190,2,3:33.0,,K. Kuzma enters the game for D. Howard,44,46
191,2,3:33.0,D. Theis misses free throw 2 of 2,,44,46
192,2,3:31.0,,Defensive rebound by L. James,44,46
193,2,3:18.0,,K. Kuzma makes 3-pt jump shot from 27 ft (assist by A. Bradley),44,49
194,2,3:08.0,Personal foul by A. Bradley (drawn by M. Smart),,44,49
195,2,3:08.0,M. Smart makes free throw 1 of 2,,45,49
196,2,3:08.0,M. Smart makes free throw 2 of 2,,46,49
197,2,2:50.0,,A. Davis makes 2-pt hook shot from 7 ft (assist by L. James),46,51
198,2,2:31.0,J. Tatum makes 3-pt jump shot from 26 ft,,49,51
199,2,2:21.0,,Turnover by A. Davis (lost ball; steal by J. Brown),49,51
200,2,2:18.0,G. Hayward misses 3-pt jump shot from 24 ft,,49,51
201,2,2:16.0,,Defensive rebound by D. Green,49,51
202,2,2:03.0,,Personal foul by M. Smart (drawn by L. James),49,51
203,2,2:03.0,,L. James misses free throw 1 of 2,49,51
204,2,2:03.0,,Offensive rebound by Team,49,51
205,2,2:03.0,,L. James misses free throw 2 of 2,49,51
206,2,1:58.0,,Offensive rebound by K. Kuzma,49,51
207,2,1:58.0,,K. Kuzma misses 2-pt layup at rim,49,51
208,2,1:57.0,,Offensive rebound by A. Davis,49,51
209,2,1:56.0,,A. Davis misses 2-pt layup from 2 ft,49,51
210,2,1:54.0,Defensive rebound by J. Tatum,,49,51
211,2,1:50.0,Shooting foul by L. James (drawn by J. Brown),,49,51
212,2,1:50.0,J. Brown misses free throw 1 of 2,,49,51
213,2,1:50.0,Offensive rebound by Team,,49,51
214,2,1:50.0,J. Brown makes free throw 2 of 2,,50,51
215,2,1:37.0,,L. James makes 3-pt jump shot from 28 ft,50,54
216,2,1:23.0,J. Tatum misses 2-pt jump shot from 8 ft,,50,54
217,2,1:22.0,,Defensive rebound by A. Davis,50,54
218,2,1:18.0,,L. James misses 3-pt jump shot from 28 ft,50,54
219,2,1:16.0,Defensive rebound by D. Theis,,50,54
220,2,1:09.0,J. Brown misses 3-pt jump shot from 24 ft,,50,54
221,2,1:05.0,Offensive rebound by J. Brown,,50,54
222,2,1:05.0,J. Brown makes 2-pt dunk from 1 ft,,52,54
223,2,0:52.0,,Offensive foul by L. James (drawn by D. Theis),52,54
224,2,0:52.0,,Turnover by L. James (offensive foul),52,54
225,2,0:35.0,G. Hayward makes 2-pt layup from 2 ft,,54,54
226,2,0:19.0,,Personal foul by M. Smart (drawn by L. James),54,54
227,2,0:19.0,,L. James makes free throw 1 of 2,54,55
228,2,0:19.0,,L. James makes free throw 2 of 2,54,56
229,2,0:19.0,,J. McGee enters the game for K. Kuzma,54,56
230,2,0:00.0,J. Tatum misses 3-pt jump shot from 29 ft,,54,56
231,2,0:00.0,Offensive rebound by Team,,54,56
232,3,11:46.0,Personal foul by A. Bradley (drawn by J. Brown),,54,56
233,3,11:32.0,D. Theis makes 3-pt jump shot from 26 ft (assist by G. Hayward),,57,56
234,3,11:19.0,,Personal foul by D. Theis (drawn by J. McGee),57,56
235,3,11:13.0,,Turnover by A. Davis (traveling),57,56
236,3,11:01.0,M. Smart makes 3-pt jump shot from 25 ft (assist by G. Hayward),,60,56
237,3,10:40.0,,Def 3 sec tech foul by Team,60,56
238,3,10:40.0,,A. Davis makes technical free throw,60,57
239,3,10:28.0,,A. Davis misses 2-pt hook shot from 10 ft,60,57
240,3,10:25.0,,Offensive rebound by A. Davis,60,57
241,3,10:24.0,,A. Davis makes 2-pt layup from 1 ft,60,59
242,3,10:06.0,Shooting foul by J. McGee (drawn by J. Tatum),,60,59
243,3,10:06.0,J. Tatum makes free throw 1 of 2,,61,59
244,3,10:06.0,J. Tatum misses free throw 2 of 2,,61,59
245,3,10:03.0,,Defensive rebound by D. Green,61,59
246,3,9:53.0,,Turnover by L. James (bad pass; steal by M. Smart),61,59
247,3,9:50.0,J. Tatum makes 2-pt dunk from 1 ft (assist by G. Hayward),,63,59
248,3,9:40.0,,L. James makes 3-pt jump shot from 25 ft,63,62
249,3,9:28.0,M. Smart makes 3-pt jump shot from 26 ft (assist by G. Hayward),,66,62
250,3,9:12.0,,D. Green misses 3-pt jump shot from 27 ft,66,62
251,3,9:07.0,Defensive rebound by J. Brown,,66,62
252,3,9:03.0,J. Tatum makes 3-pt jump shot from 24 ft (assist by J. Brown),,69,62
253,3,9:02.0,,LA Lakers full timeout,69,62
254,3,8:50.0,,L. James misses 3-pt jump shot from 26 ft,69,62
255,3,8:48.0,Defensive rebound by M. Smart,,69,62
256,3,8:35.0,Turnover by J. Brown (out of bounds lost ball),,69,62
257,3,8:28.0,,L. James misses 2-pt layup from 3 ft,69,62
258,3,8:26.0,Defensive rebound by J. Brown,,69,62
259,3,8:08.0,J. Brown misses 2-pt jump shot from 17 ft,,69,62
260,3,8:06.0,,Defensive rebound by J. McGee,69,62
261,3,8:00.0,,Personal foul by G. Hayward (drawn by L. James),69,62
262,3,7:52.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by L. James),69,65
263,3,7:34.0,J. Tatum makes 3-pt jump shot from 27 ft,,72,65
264,3,7:27.0,,Personal foul by G. Hayward (drawn by A. Davis),72,65
265,3,7:18.0,,A. Davis makes 3-pt jump shot from 26 ft (assist by L. James),72,68
266,3,7:04.0,Shooting foul by A. Davis (drawn by J. Tatum),,72,68
267,3,7:04.0,J. Tatum makes free throw 1 of 2,,73,68
268,3,7:04.0,,K. Caldwell-Pope enters the game for J. McGee,73,68
269,3,7:04.0,J. Tatum makes free throw 2 of 2,,74,68
270,3,6:54.0,,A. Davis misses 2-pt layup from 4 ft,74,68
271,3,6:52.0,Defensive rebound by D. Theis,,74,68
272,3,6:52.0,Personal foul by D. Green (drawn by D. Theis),,74,68
273,3,6:52.0,Technical foul by D. Green,,74,68
274,3,6:52.0,J. Tatum makes technical free throw,,75,68
275,3,6:43.0,G. Hayward misses 3-pt jump shot from 26 ft,,75,68
276,3,6:40.0,,Defensive rebound by A. Davis,75,68
277,3,6:32.0,,Shooting foul by D. Theis (drawn by L. James),75,68
278,3,6:32.0,,L. James makes free throw 1 of 2,75,69
279,3,6:32.0,G. Williams enters the game for D. Theis,,75,69
280,3,6:32.0,,L. James makes free throw 2 of 2,75,70
281,3,6:17.0,J. Brown misses 2-pt jump shot from 5 ft,,75,70
282,3,6:16.0,Offensive rebound by J. Brown,,75,70
283,3,6:16.0,J. Brown misses 2-pt layup from 3 ft (block by A. Davis),,75,70
284,3,6:14.0,,Defensive rebound by A. Davis,75,70
285,3,6:04.0,,L. James makes 2-pt layup from 2 ft,75,72
286,3,5:50.0,Shooting foul by A. Davis (drawn by J. Tatum),,75,72
287,3,5:50.0,J. Tatum makes free throw 1 of 2,,76,72
288,3,5:50.0,R. Langford enters the game for J. Brown,,76,72
289,3,5:50.0,B. Wanamaker enters the game for G. Hayward,,76,72
290,3,5:50.0,J. Tatum makes free throw 2 of 2,,77,72
291,3,5:43.0,,D. Green misses 3-pt jump shot from 27 ft,77,72
292,3,5:38.0,,Offensive rebound by A. Davis,77,72
293,3,5:37.0,,Turnover by A. Davis (lost ball; steal by J. Tatum),77,72
294,3,5:34.0,M. Smart misses 3-pt jump shot from 26 ft,,77,72
295,3,5:33.0,,Defensive rebound by L. James,77,72
296,3,5:24.0,,A. Davis misses 3-pt jump shot from 26 ft,77,72
297,3,5:22.0,Defensive rebound by B. Wanamaker,,77,72
298,3,5:07.0,J. Tatum makes 2-pt jump shot from 8 ft,,79,72
299,3,4:49.0,,Turnover by D. Green (step out of bounds),79,72
300,3,4:49.0,,K. Kuzma enters the game for D. Green,79,72
301,3,4:49.0,,R. Rondo enters the game for L. James,79,72
302,3,4:27.0,R. Langford misses 3-pt jump shot from 26 ft,,79,72
303,3,4:26.0,,Defensive rebound by Team,79,72
304,3,4:26.0,Loose ball foul by G. Williams (drawn by A. Davis),,79,72
305,3,4:26.0,,A. Davis makes free throw 1 of 2,79,73
306,3,4:26.0,,A. Davis makes free throw 2 of 2,79,74
307,3,4:12.0,Turnover by J. Tatum (lost ball; steal by A. Bradley),,79,74
308,3,4:07.0,,Shooting foul by R. Langford (drawn by K. Kuzma),79,74
309,3,4:07.0,,K. Kuzma misses free throw 1 of 2,79,74
310,3,4:07.0,,Offensive rebound by Team,79,74
311,3,4:07.0,,K. Kuzma makes free throw 2 of 2,79,75
312,3,3:53.0,B. Wanamaker misses 2-pt jump shot from 23 ft (block by A. Davis),,79,75
313,3,3:50.0,Offensive rebound by B. Wanamaker,,79,75
314,3,3:44.0,Turnover by B. Wanamaker (lost ball; steal by R. Rondo),,79,75
315,3,3:41.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by R. Rondo),79,77
316,3,3:41.0,Boston full timeout,,79,77
317,3,3:41.0,D. Theis enters the game for G. Williams,,79,77
318,3,3:30.0,Turnover by M. Smart (discontinued dribble),,79,77
319,3,3:15.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,79,77
320,3,3:13.0,Defensive rebound by D. Theis,,79,77
321,3,3:05.0,Turnover by M. Smart (bad pass; steal by K. Caldwell-Pope),,79,77
322,3,3:02.0,,K. Caldwell-Pope makes 2-pt dunk from 4 ft,79,79
323,3,3:02.0,J. Brown enters the game for R. Langford,,79,79
324,3,3:02.0,G. Hayward enters the game for M. Smart,,79,79
325,3,2:43.0,G. Hayward makes 2-pt jump shot from 13 ft (assist by B. Wanamaker),,81,79
326,3,2:27.0,,A. Davis makes 2-pt dunk from 1 ft (assist by R. Rondo),81,81
327,3,2:07.0,Personal foul by R. Rondo (drawn by J. Tatum),,81,81
328,3,2:07.0,J. Tatum makes free throw 1 of 2,,82,81
329,3,2:07.0,J. Tatum makes free throw 2 of 2,,83,81
330,3,2:01.0,,Personal foul by B. Wanamaker (drawn by A. Davis),83,81
331,3,2:01.0,,A. Davis misses free throw 1 of 2,83,81
332,3,2:01.0,,Offensive rebound by Team,83,81
333,3,2:01.0,,L. James enters the game for A. Bradley,83,81
334,3,2:01.0,,A. Davis makes free throw 2 of 2,83,82
335,3,1:45.0,J. Tatum misses 2-pt jump shot from 5 ft (block by K. Kuzma),,83,82
336,3,1:45.0,Offensive rebound by Team,,83,82
337,3,1:42.0,G. Hayward misses 2-pt jump shot from 21 ft,,83,82
338,3,1:39.0,,Defensive rebound by L. James,83,82
339,3,1:23.0,,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by A. Davis),83,85
340,3,1:02.0,B. Wanamaker misses 2-pt layup from 3 ft,,83,85
341,3,1:00.0,Offensive rebound by D. Theis,,83,85
342,3,1:00.0,D. Theis makes 2-pt layup from 2 ft,,85,85
343,3,0:50.0,,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,85,85
344,3,0:47.0,Defensive rebound by D. Theis,,85,85
345,3,0:46.0,Turnover by J. Brown (out of bounds lost ball),,85,85
346,3,0:46.0,R. Langford enters the game for J. Tatum,,85,85
347,3,0:38.0,,L. James misses 3-pt jump shot from 28 ft,85,85
348,3,0:36.0,Defensive rebound by G. Hayward,,85,85
349,3,0:30.0,G. Hayward misses 2-pt layup from 3 ft,,85,85
350,3,0:28.0,,Defensive rebound by K. Kuzma,85,85
351,3,0:16.0,,K. Kuzma misses 2-pt layup from 5 ft,85,85
352,3,0:16.0,,Offensive rebound by A. Davis,85,85
353,3,0:16.0,,A. Davis makes 2-pt dunk from 2 ft,85,87
354,3,0:02.0,D. Theis makes 2-pt jump shot from 12 ft (assist by G. Hayward),,87,87
355,3,0:00.0,,K. Kuzma misses 3-pt jump shot from 36 ft,87,87
356,3,0:00.0,,Offensive rebound by Team,87,87
357,4,11:41.0,,Offensive foul by D. Howard (drawn by G. Hayward),87,87
358,4,11:41.0,,Turnover by D. Howard (offensive foul),87,87
359,4,11:21.0,R. Langford makes 2-pt layup from 1 ft (assist by G. Hayward),,89,87
360,4,11:21.0,,Violation by Team (def goaltending),89,87
361,4,11:00.0,,K. Kuzma misses 3-pt jump shot from 29 ft,89,87
362,4,10:56.0,Defensive rebound by D. Theis,,89,87
363,4,10:52.0,,Violation by Team (kicked ball),89,87
364,4,10:52.0,,LA Lakers full timeout,89,87
365,4,10:48.0,D. Theis makes 2-pt dunk from 2 ft (assist by B. Wanamaker),,91,87
366,4,10:48.0,Shooting foul by D. Howard (drawn by D. Theis),,91,87
367,4,10:48.0,,A. Caruso enters the game for K. Caldwell-Pope,91,87
368,4,10:48.0,D. Theis makes free throw 1 of 1,,92,87
369,4,10:36.0,,Personal foul by J. Brown (drawn by L. James),92,87
370,4,10:27.0,,D. Howard makes 2-pt dunk from 3 ft (assist by L. James),92,89
371,4,9:59.0,Turnover by G. Hayward (lost ball; steal by R. Rondo),,92,89
372,4,9:50.0,,Shooting foul by R. Langford (drawn by D. Howard),92,89
373,4,9:50.0,,D. Howard makes free throw 1 of 2,92,90
374,4,9:50.0,,D. Howard makes free throw 2 of 2,92,91
375,4,9:35.0,J. Brown makes 2-pt layup from 1 ft,,94,91
376,4,9:19.0,,A. Caruso makes 2-pt layup from 1 ft (assist by L. James),94,93
377,4,8:57.0,Turnover by D. Theis (bad pass; steal by A. Caruso),,94,93
378,4,8:56.0,,Turnover by K. Kuzma (bad pass),94,93
379,4,8:39.0,J. Brown makes 2-pt jump shot from 9 ft,,96,93
380,4,8:29.0,,D. Howard misses 2-pt dunk from 2 ft,96,93
381,4,8:27.0,,Offensive rebound by D. Howard,96,93
382,4,8:26.0,,D. Howard makes 2-pt layup from 2 ft,96,95
383,4,8:06.0,J. Brown misses 3-pt jump shot from 26 ft,,96,95
384,4,8:03.0,,Defensive rebound by L. James,96,95
385,4,8:03.0,,Shooting foul by D. Theis (drawn by K. Kuzma),96,95
386,4,8:03.0,,K. Kuzma makes free throw 1 of 2,96,96
387,4,8:03.0,M. Smart enters the game for D. Theis,,96,96
388,4,8:03.0,G. Williams enters the game for B. Wanamaker,,96,96
389,4,8:03.0,,K. Kuzma makes free throw 2 of 2,96,97
390,4,7:51.0,Offensive foul by G. Williams (drawn by R. Rondo),,96,97
391,4,7:51.0,Turnover by G. Williams (offensive foul),,96,97
