,QUARTER,TIME_REMAINING,ORLANDO_ACTION,LA LAKERS_ACTION,ORLANDO_SCORE,LA LAKERS_SCORE
28,1,8:40.0,Defensive rebound by M. Fultz,,7,8
29,1,8:34.0,M. Fultz misses 2-pt layup from 3 ft,,7,8
30,1,8:31.0,Offensive rebound by W. Iwundu,,7,8
31,1,8:28.0,A. Gordon makes 2-pt dunk from 1 ft (assist by W. Iwundu),,9,8
32,1,8:16.0,,J. McGee makes 2-pt layup from 2 ft (assist by L. James),9,10
33,1,8:03.0,N. Vučević makes 3-pt jump shot from 26 ft (assist by M. Fultz),,12,10
34,1,7:50.0,,K. Kuzma makes 2-pt jump shot from 4 ft,12,12
35,1,7:36.0,W. Iwundu makes 2-pt layup from 3 ft (assist by N. Vučević),,14,12
36,1,7:16.0,,K. Kuzma misses 3-pt jump shot from 23 ft,14,12
37,1,7:13.0,Defensive rebound by N. Vučević,,14,12
38,1,7:07.0,N. Vučević makes 2-pt layup from 2 ft (assist by M. Fultz),,16,12
39,1,7:07.0,,LA Lakers full timeout,16,12
40,1,6:43.0,,K. Kuzma misses 2-pt jump shot from 9 ft,16,12
41,1,6:41.0,Defensive rebound by M. Fultz,,16,12
42,1,6:38.0,A. Gordon makes 2-pt layup from 2 ft (assist by M. Fultz),,18,12
43,1,6:23.0,,Turnover by L. James (bad pass; steal by A. Gordon),18,12
44,1,6:20.0,M. Fultz misses 2-pt layup from 4 ft (block by K. Kuzma),,18,12
45,1,6:20.0,Offensive rebound by Team,,18,12
46,1,6:15.0,K. Birch misses 2-pt hook shot from 9 ft,,18,12
47,1,6:12.0,,Defensive rebound by J. McGee,18,12
48,1,5:54.0,,D. Green misses 2-pt layup from 3 ft,18,12
49,1,5:48.0,Defensive rebound by W. Iwundu,,18,12
50,1,5:48.0,Turnover by W. Iwundu (lost ball; steal by D. Green),,18,12
51,1,5:44.0,,D. Green makes 2-pt layup from 1 ft,18,14
52,1,5:31.0,A. Gordon misses 2-pt layup from 2 ft,,18,14
53,1,5:28.0,Offensive rebound by A. Gordon,,18,14
54,1,5:28.0,A. Gordon makes 2-pt layup at rim,,20,14
55,1,5:16.0,,D. Green makes 3-pt jump shot from 24 ft,20,17
56,1,5:10.0,Orlando full timeout,,20,17
57,1,5:10.0,B. Johnson enters the game for K. Birch,,20,17
58,1,5:10.0,T. Ross enters the game for M. Fultz,,20,17
59,1,5:10.0,,K. Caldwell-Pope enters the game for D. Green,20,17
60,1,5:10.0,,D. Howard enters the game for J. McGee,20,17
61,1,5:01.0,W. Iwundu makes 2-pt jump shot from 16 ft,,22,17
62,1,4:37.0,,Turnover by D. Howard (bad pass; steal by B. Johnson),22,17
63,1,4:34.0,B. Johnson makes 2-pt dunk from 2 ft,,24,17
64,1,4:34.0,,A. Caruso enters the game for A. Bradley,24,17
65,1,4:13.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,24,17
66,1,4:09.0,,Offensive rebound by D. Howard,24,17
67,1,4:09.0,,D. Howard makes 2-pt layup from 1 ft,24,19
68,1,4:09.0,,Shooting foul by N. Vučević (drawn by D. Howard),24,19
69,1,4:09.0,,D. Howard misses free throw 1 of 1,24,19
70,1,4:06.0,Defensive rebound by N. Vučević,,24,19
71,1,3:55.0,N. Vučević makes 2-pt hook shot from 3 ft (assist by T. Ross),,26,19
72,1,3:38.0,,Personal foul by A. Gordon (drawn by L. James),26,19
73,1,3:38.0,G. Clark enters the game for A. Gordon,,26,19
74,1,3:38.0,,Q. Cook enters the game for L. James,26,19
75,1,3:27.0,,A. Caruso misses 2-pt jump shot from 15 ft,26,19
76,1,3:23.0,Defensive rebound by B. Johnson,,26,19
77,1,3:10.0,Shooting foul by D. Howard (drawn by W. Iwundu),,26,19
78,1,3:10.0,W. Iwundu makes free throw 1 of 2,,27,19
79,1,3:10.0,M. Bamba enters the game for N. Vučević,,27,19
80,1,3:10.0,W. Iwundu makes free throw 2 of 2,,28,19
81,1,2:56.0,,K. Kuzma misses 2-pt layup from 2 ft (block by G. Clark),28,19
82,1,2:51.0,,Offensive rebound by K. Caldwell-Pope,28,19
83,1,2:51.0,,K. Caldwell-Pope makes 2-pt layup from 1 ft,28,21
84,1,2:34.0,B. Johnson misses 2-pt jump shot from 4 ft,,28,21
85,1,2:32.0,,Defensive rebound by K. Caldwell-Pope,28,21
86,1,2:30.0,,Turnover by Q. Cook (lost ball; steal by W. Iwundu),28,21
87,1,2:23.0,M. Bamba misses 2-pt layup from 8 ft (block by A. Caruso),,28,21
88,1,2:20.0,,Defensive rebound by K. Kuzma,28,21
89,1,2:18.0,,Q. Cook makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),28,23
90,1,2:02.0,T. Ross makes 3-pt jump shot from 25 ft (assist by B. Johnson),,31,23
91,1,1:49.0,,Q. Cook makes 2-pt jump shot from 14 ft (assist by D. Howard),31,25
92,1,1:30.0,T. Ross misses 3-pt jump shot from 28 ft,,31,25
93,1,1:27.0,,Defensive rebound by D. Howard,31,25
94,1,1:19.0,,Q. Cook misses 2-pt layup from 8 ft,31,25
95,1,1:14.0,,Offensive rebound by D. Howard,31,25
96,1,1:14.0,,D. Howard misses 2-pt layup from 1 ft,31,25
97,1,1:14.0,Defensive rebound by M. Bamba,,31,25
98,1,1:05.0,W. Iwundu misses 2-pt layup from 5 ft,,31,25
99,1,1:03.0,,Defensive rebound by Q. Cook,31,25
100,1,1:01.0,,Turnover by A. Caruso (bad pass),31,25
101,1,1:01.0,M. Fultz enters the game for W. Iwundu,,31,25
102,1,0:46.0,B. Johnson misses 2-pt jump shot from 15 ft,,31,25
103,1,0:42.0,Offensive rebound by M. Bamba,,31,25
104,1,0:41.0,T. Ross makes 2-pt jump shot from 20 ft (assist by M. Bamba),,33,25
105,1,0:30.0,,A. Caruso misses 2-pt layup from 3 ft (block by M. Bamba),33,25
106,1,0:28.0,Defensive rebound by M. Bamba,,33,25
107,1,0:27.0,Turnover by M. Bamba (lost ball; steal by A. Caruso),,33,25
108,1,0:26.0,,D. Howard makes 2-pt dunk from 1 ft,33,27
109,1,0:26.0,Personal take foul by K. Caldwell-Pope (drawn by M. Fultz),,33,27
110,1,0:26.0,,A. Bradley enters the game for A. Caruso,33,27
111,1,0:22.0,Personal foul by Q. Cook (drawn by M. Fultz),,33,27
112,1,0:22.0,M. Fultz makes free throw 1 of 2,,34,27
113,1,0:22.0,M. Fultz makes free throw 2 of 2,,35,27
114,1,0:05.0,,Q. Cook makes 2-pt jump shot from 10 ft,35,29
115,1,0:00.0,M. Fultz misses 2-pt jump shot from 16 ft,,35,29
116,1,0:00.0,Offensive rebound by Team,,35,29
117,2,11:49.0,G. Clark makes 3-pt jump shot from 27 ft (assist by A. Gordon),,38,29
118,2,11:34.0,,L. James misses 2-pt jump shot from 11 ft,38,29
119,2,11:31.0,Defensive rebound by T. Ross,,38,29
120,2,11:24.0,B. Johnson makes 3-pt jump shot from 23 ft (assist by A. Gordon),,41,29
121,2,11:23.0,,LA Lakers full timeout,41,29
122,2,11:08.0,,Turnover by J. Dudley (bad pass; steal by T. Ross),41,29
123,2,11:05.0,Turnover by B. Johnson (out of bounds lost ball),,41,29
124,2,11:00.0,,Personal foul by T. Ross (drawn by L. James),41,29
125,2,10:53.0,,Q. Cook misses 3-pt jump shot from 23 ft,41,29
126,2,10:49.0,Defensive rebound by T. Ross,,41,29
127,2,10:44.0,T. Ross misses 2-pt layup from 3 ft,,41,29
128,2,10:41.0,Offensive rebound by M. Bamba,,41,29
129,2,10:41.0,M. Bamba makes 2-pt layup at rim,,43,29
130,2,10:41.0,Technical foul by Q. Cook,,43,29
131,2,10:41.0,T. Ross makes technical free throw,,44,29
132,2,10:41.0,,A. Bradley enters the game for Q. Cook,44,29
133,2,10:36.0,,Turnover by L. James (lost ball; steal by A. Gordon),44,29
134,2,10:36.0,Personal take foul by K. Caldwell-Pope (drawn by A. Gordon),,44,29
135,2,10:36.0,Instant Replay (Request: Ruling Stands),,44,29
136,2,10:15.0,A. Gordon misses 2-pt jump shot from 8 ft,,44,29
137,2,10:15.0,Offensive rebound by M. Bamba,,44,29
138,2,10:08.0,M. Bamba makes 2-pt layup at rim,,46,29
139,2,9:58.0,,D. Howard misses 2-pt layup from 1 ft,46,29
140,2,9:58.0,,Offensive rebound by D. Howard,46,29
141,2,9:56.0,,L. James misses 3-pt jump shot from 23 ft,46,29
142,2,9:50.0,,Offensive rebound by D. Howard,46,29
143,2,9:50.0,,Turnover by D. Howard (bad pass; steal by B. Johnson),46,29
144,2,9:49.0,B. Johnson makes 2-pt dunk from 2 ft,,48,29
145,2,9:49.0,,LA Lakers full timeout,48,29
146,2,9:36.0,,D. Howard makes 2-pt dunk from 2 ft (assist by L. James),48,31
147,2,9:22.0,G. Clark makes 3-pt jump shot from 25 ft (assist by T. Ross),,51,31
148,2,9:08.0,,L. James misses 2-pt jump shot from 5 ft,51,31
149,2,9:07.0,,Offensive rebound by D. Howard,51,31
150,2,9:07.0,,D. Howard misses 2-pt dunk from 1 ft,51,31
151,2,9:07.0,Defensive rebound by Team,,51,31
152,2,8:54.0,T. Ross misses 3-pt jump shot from 25 ft,,51,31
153,2,8:51.0,,Defensive rebound by D. Howard,51,31
154,2,8:44.0,,L. James makes 2-pt layup from 1 ft,51,33
155,2,8:29.0,Turnover by A. Gordon (lost ball; steal by A. Bradley),,51,33
156,2,8:17.0,,J. Dudley makes 3-pt jump shot from 23 ft (assist by L. James),51,36
157,2,8:06.0,Orlando full timeout,,51,36
158,2,8:06.0,M. Fultz enters the game for A. Gordon,,51,36
159,2,8:06.0,W. Iwundu enters the game for B. Johnson,,51,36
160,2,7:56.0,G. Clark makes 2-pt layup from 2 ft (assist by M. Fultz),,53,36
161,2,7:49.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. James),53,39
162,2,7:32.0,M. Bamba misses 2-pt hook shot from 3 ft,,53,39
163,2,7:30.0,,Defensive rebound by D. Howard,53,39
164,2,7:24.0,,L. James misses 3-pt jump shot from 26 ft,53,39
165,2,7:20.0,,Offensive rebound by D. Howard,53,39
166,2,7:18.0,,A. Bradley misses 3-pt jump shot from 24 ft,53,39
167,2,7:18.0,Defensive rebound by Team,,53,39
168,2,7:05.0,G. Clark misses 3-pt jump shot from 26 ft,,53,39
169,2,7:02.0,Offensive rebound by M. Bamba,,53,39
170,2,6:55.0,T. Ross makes 2-pt jump shot from 11 ft,,55,39
171,2,6:41.0,,Turnover by J. Dudley (bad pass; steal by M. Bamba),55,39
172,2,6:37.0,M. Fultz makes 2-pt layup from 2 ft,,57,39
173,2,6:21.0,,Shooting foul by T. Ross (drawn by D. Howard),57,39
174,2,6:21.0,,D. Howard makes free throw 1 of 2,57,40
175,2,6:21.0,B. Johnson enters the game for M. Bamba,,57,40
176,2,6:21.0,N. Vučević enters the game for T. Ross,,57,40
177,2,6:21.0,,Q. Cook enters the game for A. Bradley,57,40
178,2,6:21.0,,D. Green enters the game for J. Dudley,57,40
179,2,6:21.0,,K. Kuzma enters the game for L. James,57,40
180,2,6:21.0,,D. Howard misses free throw 2 of 2,57,40
181,2,6:18.0,,Offensive rebound by D. Howard,57,40
182,2,6:15.0,,D. Howard misses 2-pt layup from 2 ft,57,40
183,2,6:13.0,Defensive rebound by N. Vučević,,57,40
184,2,6:06.0,B. Johnson makes 2-pt dunk from 1 ft (assist by M. Fultz),,59,40
185,2,5:40.0,,K. Caldwell-Pope makes 2-pt layup from 3 ft (assist by K. Kuzma),59,42
186,2,5:27.0,N. Vučević misses 3-pt jump shot from 26 ft,,59,42
187,2,5:22.0,,Defensive rebound by Q. Cook,59,42
188,2,5:15.0,,D. Howard makes 2-pt hook shot from 6 ft (assist by K. Kuzma),59,44
189,2,4:53.0,G. Clark misses 3-pt jump shot from 27 ft,,59,44
190,2,4:50.0,,Defensive rebound by D. Green,59,44
191,2,4:39.0,,Q. Cook misses 3-pt jump shot from 23 ft,59,44
192,2,4:36.0,Defensive rebound by W. Iwundu,,59,44
193,2,4:31.0,N. Vučević misses 2-pt jump shot from 12 ft,,59,44
194,2,4:28.0,,Defensive rebound by D. Howard,59,44
195,2,4:13.0,,D. Green makes 2-pt jump shot from 20 ft (assist by K. Kuzma),59,46
196,2,4:10.0,Orlando full timeout,,59,46
197,2,4:10.0,Instant Replay (Request: Stands),,59,46
198,2,4:10.0,K. Birch enters the game for G. Clark,,59,46
199,2,4:10.0,A. Gordon enters the game for W. Iwundu,,59,46
200,2,4:10.0,T. Ross enters the game for B. Johnson,,59,46
201,2,4:10.0,,J. McGee enters the game for D. Howard,59,46
202,2,3:57.0,M. Fultz makes 2-pt layup from 2 ft,,61,46
203,2,3:47.0,,K. Kuzma misses 3-pt jump shot from 27 ft,61,46
204,2,3:43.0,,Offensive rebound by J. McGee,61,46
205,2,3:28.0,,D. Green misses 3-pt jump shot from 26 ft,61,46
206,2,3:25.0,Defensive rebound by T. Ross,,61,46
207,2,3:18.0,M. Fultz misses 2-pt layup from 3 ft,,61,46
208,2,3:16.0,,Defensive rebound by D. Green,61,46
209,2,3:11.0,,D. Green makes 2-pt layup from 2 ft (assist by K. Kuzma),61,48
210,2,2:55.0,N. Vučević misses 2-pt hook shot from 5 ft (block by J. McGee),,61,48
211,2,2:51.0,Offensive rebound by M. Fultz,,61,48
212,2,2:50.0,M. Fultz makes 2-pt jump shot from 7 ft,,63,48
213,2,2:38.0,,Turnover by K. Kuzma (bad pass),63,48
214,2,2:38.0,,T. Daniels enters the game for K. Caldwell-Pope,63,48
215,2,2:38.0,,L. James enters the game for Q. Cook,63,48
216,2,2:20.0,M. Fultz misses 2-pt jump shot from 11 ft (block by J. McGee),,63,48
217,2,2:14.0,,Defensive rebound by J. McGee,63,48
218,2,2:10.0,,D. Green misses 3-pt jump shot from 25 ft,63,48
219,2,2:03.0,,Offensive rebound by K. Kuzma,63,48
220,2,2:03.0,,K. Kuzma makes 2-pt dunk from 1 ft,63,50
221,2,1:44.0,T. Ross misses 3-pt jump shot from 27 ft,,63,50
222,2,1:40.0,,Defensive rebound by J. McGee,63,50
223,2,1:35.0,,Personal foul by K. Birch (drawn by K. Kuzma),63,50
224,2,1:35.0,W. Iwundu enters the game for K. Birch,,63,50
225,2,1:30.0,,L. James makes 2-pt layup from 2 ft (assist by D. Green),63,52
226,2,1:19.0,W. Iwundu makes 2-pt layup from 4 ft,,65,52
227,2,1:19.0,Violation by Team (delay of game),,65,52
228,2,1:06.0,,T. Daniels makes 2-pt jump shot from 13 ft (assist by L. James),65,54
229,2,0:54.0,N. Vučević misses 3-pt jump shot from 26 ft,,65,54
230,2,0:51.0,,Defensive rebound by J. McGee,65,54
231,2,0:38.0,,Turnover by L. James (bad pass; steal by N. Vučević),65,54
232,2,0:31.0,T. Ross misses 2-pt dunk from 4 ft (block by J. McGee),,65,54
233,2,0:31.0,,Defensive rebound by J. McGee,65,54
234,2,0:18.0,,T. Daniels makes 3-pt jump shot from 26 ft (assist by L. James),65,57
235,2,0:18.0,,Shooting foul by W. Iwundu (drawn by T. Daniels),65,57
236,2,0:18.0,,Instant Replay (Request: Ruling Stands),65,57
237,2,0:18.0,,K. Caldwell-Pope enters the game for K. Kuzma,65,57
238,2,0:18.0,,T. Daniels makes free throw 1 of 1,65,58
239,2,0:02.0,N. Vučević misses 2-pt layup from 4 ft,,65,58
240,2,0:00.0,,Defensive rebound by J. McGee,65,58
241,3,11:47.0,Shooting foul by A. Bradley (drawn by A. Gordon),,65,58
242,3,11:47.0,A. Gordon misses free throw 1 of 2,,65,58
243,3,11:47.0,Offensive rebound by Team,,65,58
244,3,11:47.0,A. Gordon makes free throw 2 of 2,,66,58
245,3,11:37.0,Violation by Team (kicked ball),,66,58
246,3,11:34.0,,Shooting foul by A. Gordon (drawn by L. James),66,58
247,3,11:34.0,,L. James makes free throw 1 of 2,66,59
248,3,11:34.0,,L. James makes free throw 2 of 2,66,60
249,3,11:10.0,W. Iwundu misses 2-pt jump shot from 8 ft,,66,60
250,3,11:06.0,,Defensive rebound by K. Kuzma,66,60
251,3,11:00.0,,J. McGee makes 2-pt hook shot from 12 ft (assist by L. James),66,62
252,3,10:39.0,M. Fultz makes 2-pt jump shot from 4 ft,,68,62
253,3,10:39.0,Shooting foul by J. McGee (drawn by M. Fultz),,68,62
254,3,10:39.0,M. Fultz makes free throw 1 of 1,,69,62
255,3,10:26.0,,K. Kuzma misses 2-pt jump shot from 7 ft,69,62
256,3,10:25.0,Defensive rebound by W. Iwundu,,69,62
257,3,10:22.0,W. Iwundu makes 2-pt layup from 3 ft,,71,62
258,3,10:22.0,Shooting foul by D. Green (drawn by W. Iwundu),,71,62
259,3,10:22.0,W. Iwundu misses free throw 1 of 1,,71,62
260,3,10:19.0,,Defensive rebound by J. McGee,71,62
261,3,10:05.0,,D. Green makes 2-pt layup from 1 ft (assist by L. James),71,64
262,3,9:45.0,N. Vučević misses 2-pt hook shot from 5 ft,,71,64
263,3,9:43.0,,Defensive rebound by J. McGee,71,64
264,3,9:39.0,,D. Green misses 3-pt jump shot from 26 ft,71,64
265,3,9:35.0,,Offensive rebound by K. Kuzma,71,64
266,3,9:35.0,,Turnover by A. Bradley (step out of bounds),71,64
267,3,9:19.0,W. Iwundu makes 3-pt jump shot from 25 ft (assist by A. Gordon),,74,64
268,3,8:59.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),74,66
269,3,8:43.0,N. Vučević makes 3-pt jump shot from 25 ft (assist by M. Fultz),,77,66
270,3,8:31.0,,L. James misses 3-pt jump shot from 26 ft,77,66
271,3,8:29.0,Defensive rebound by M. Fultz,,77,66
272,3,8:28.0,Shooting foul by K. Kuzma (drawn by W. Iwundu),,77,66
273,3,8:28.0,W. Iwundu makes free throw 1 of 2,,78,66
274,3,8:28.0,W. Iwundu makes free throw 2 of 2,,79,66
275,3,8:08.0,,Turnover by K. Kuzma (traveling),79,66
276,3,7:51.0,A. Gordon makes 2-pt dunk from 1 ft,,81,66
277,3,7:51.0,,LA Lakers full timeout,81,66
278,3,7:51.0,,K. Caldwell-Pope enters the game for A. Bradley,81,66
279,3,7:51.0,,T. Daniels enters the game for D. Green,81,66
280,3,7:39.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,81,66
281,3,7:35.0,Defensive rebound by M. Fultz,,81,66
282,3,7:28.0,M. Fultz makes 2-pt layup from 2 ft,,83,66
283,3,7:17.0,,Turnover by K. Caldwell-Pope (bad pass; steal by M. Fultz),83,66
284,3,7:13.0,A. Gordon makes 2-pt dunk from 2 ft (assist by W. Iwundu),,85,66
285,3,6:59.0,,K. Kuzma misses 2-pt jump shot from 8 ft,85,66
286,3,6:59.0,Defensive rebound by A. Gordon,,85,66
287,3,6:41.0,Personal foul by L. James (drawn by N. Vučević),,85,66
288,3,6:41.0,N. Vučević makes free throw 1 of 2,,86,66
289,3,6:41.0,,Q. Cook enters the game for K. Kuzma,86,66
290,3,6:41.0,,D. Howard enters the game for J. McGee,86,66
291,3,6:41.0,N. Vučević makes free throw 2 of 2,,87,66
292,3,6:27.0,,L. James makes 2-pt layup from 10 ft (assist by T. Daniels),87,68
293,3,6:09.0,N. Vučević misses 2-pt hook shot from 3 ft,,87,68
294,3,6:08.0,,Defensive rebound by D. Howard,87,68
295,3,6:00.0,,T. Daniels makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),87,71
296,3,5:46.0,N. Vučević misses 2-pt jump shot from 16 ft,,87,71
297,3,5:46.0,,Defensive rebound by L. James,87,71
298,3,5:42.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. James),87,74
299,3,5:40.0,Orlando full timeout,,87,74
300,3,5:40.0,B. Johnson enters the game for K. Birch,,87,74
301,3,5:40.0,T. Ross enters the game for M. Fultz,,87,74
302,3,5:21.0,A. Gordon misses 3-pt jump shot from 26 ft,,87,74
303,3,5:18.0,,Defensive rebound by K. Caldwell-Pope,87,74
304,3,5:07.0,,T. Daniels misses 3-pt jump shot from 23 ft,87,74
305,3,5:03.0,Defensive rebound by A. Gordon,,87,74
306,3,4:57.0,Shooting foul by K. Caldwell-Pope (drawn by A. Gordon),,87,74
307,3,4:57.0,A. Gordon misses free throw 1 of 2,,87,74
308,3,4:57.0,Offensive rebound by Team,,87,74
309,3,4:57.0,A. Gordon makes free throw 2 of 2,,88,74
310,3,4:46.0,,Personal foul by W. Iwundu (drawn by T. Daniels),88,74
311,3,4:43.0,,T. Daniels makes 2-pt jump shot from 17 ft (assist by L. James),88,76
312,3,4:22.0,N. Vučević misses 2-pt jump shot from 15 ft,,88,76
313,3,4:19.0,,Defensive rebound by D. Howard,88,76
314,3,4:10.0,,L. James misses 2-pt layup from 3 ft,88,76
315,3,4:08.0,Defensive rebound by T. Ross,,88,76
316,3,4:06.0,Offensive foul by T. Ross (drawn by K. Caldwell-Pope),,88,76
317,3,4:06.0,Turnover by T. Ross (offensive foul),,88,76
318,3,3:47.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. James),88,79
319,3,3:20.0,W. Iwundu misses 2-pt jump shot from 16 ft,,88,79
320,3,3:17.0,,Defensive rebound by K. Caldwell-Pope,88,79
321,3,3:03.0,,L. James makes 2-pt layup from 2 ft,88,81
322,3,3:03.0,,Shooting foul by N. Vučević (drawn by L. James),88,81
323,3,3:03.0,M. Fultz enters the game for W. Iwundu,,88,81
324,3,3:03.0,,L. James misses free throw 1 of 1,88,81
325,3,3:00.0,Defensive rebound by A. Gordon,,88,81
326,3,2:51.0,N. Vučević misses 3-pt jump shot from 28 ft,,88,81
327,3,2:51.0,,Defensive rebound by K. Caldwell-Pope,88,81
328,3,2:47.0,,Offensive foul by D. Howard (drawn by A. Gordon),88,81
329,3,2:47.0,,Turnover by D. Howard (offensive foul),88,81
330,3,2:47.0,M. Bamba enters the game for A. Gordon,,88,81
331,3,2:47.0,G. Clark enters the game for N. Vučević,,88,81
332,3,2:47.0,,J. Dudley enters the game for L. James,88,81
333,3,2:31.0,T. Ross misses 2-pt jump shot from 19 ft,,88,81
334,3,2:28.0,Offensive rebound by G. Clark,,88,81
335,3,2:23.0,M. Bamba misses 2-pt jump shot from 16 ft,,88,81
336,3,2:18.0,Offensive rebound by B. Johnson,,88,81
337,3,2:17.0,Turnover by B. Johnson (lost ball; steal by Q. Cook),,88,81
338,3,2:13.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,88,81
339,3,2:08.0,Defensive rebound by B. Johnson,,88,81
340,3,2:04.0,M. Fultz misses 2-pt jump shot from 6 ft,,88,81
341,3,2:02.0,Offensive rebound by G. Clark,,88,81
342,3,1:53.0,Shooting foul by Q. Cook (drawn by M. Bamba),,88,81
343,3,1:53.0,M. Bamba makes free throw 1 of 2,,89,81
344,3,1:53.0,M. Bamba misses free throw 2 of 2,,89,81
345,3,1:50.0,,Defensive rebound by J. Dudley,89,81
346,3,1:36.0,,Q. Cook makes 3-pt jump shot from 24 ft (assist by K. Caldwell-Pope),89,84
347,3,1:18.0,M. Bamba misses 3-pt jump shot from 26 ft,,89,84
348,3,1:15.0,,Defensive rebound by D. Howard,89,84
349,3,1:05.0,,Q. Cook makes 2-pt jump shot from 16 ft,89,86
350,3,0:47.0,M. Fultz misses 2-pt hook shot from 7 ft,,89,86
351,3,0:45.0,Offensive rebound by M. Bamba,,89,86
352,3,0:34.0,B. Johnson misses 2-pt jump shot from 11 ft,,89,86
353,3,0:32.0,,Defensive rebound by D. Howard,89,86
354,3,0:26.0,,Q. Cook makes 2-pt jump shot from 15 ft,89,88
355,3,0:05.0,M. Fultz misses 2-pt jump shot from 16 ft,,89,88
356,3,0:03.0,,Defensive rebound by K. Caldwell-Pope,89,88
357,3,0:00.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,89,88
358,3,0:00.0,,Offensive rebound by Team,89,88
359,4,11:47.0,,T. Daniels misses 2-pt jump shot from 19 ft,89,88
360,4,11:43.0,Defensive rebound by M. Bamba,,89,88
361,4,11:37.0,Shooting foul by D. Howard (drawn by T. Ross),,89,88
362,4,11:37.0,T. Ross misses free throw 1 of 3,,89,88
363,4,11:37.0,Offensive rebound by Team,,89,88
364,4,11:37.0,T. Ross makes free throw 2 of 3,,90,88
365,4,11:37.0,T. Ross makes free throw 3 of 3,,91,88
366,4,11:23.0,,D. Howard misses 2-pt layup from 3 ft,91,88
367,4,11:20.0,,Offensive rebound by D. Howard,91,88
368,4,11:20.0,,D. Howard misses 2-pt layup at rim,91,88
369,4,11:19.0,Defensive rebound by M. Bamba,,91,88
370,4,11:05.0,T. Ross makes 2-pt jump shot from 17 ft,,93,88
371,4,10:49.0,,T. Daniels makes 3-pt jump shot from 24 ft (assist by L. James),93,91
372,4,10:26.0,T. Ross misses 3-pt jump shot from 25 ft,,93,91
373,4,10:22.0,,Defensive rebound by Q. Cook,93,91
374,4,10:03.0,,L. James makes 3-pt jump shot from 25 ft (assist by Q. Cook),93,94
375,4,9:49.0,Offensive foul by A. Gordon (drawn by J. Dudley),,93,94
376,4,9:49.0,Turnover by A. Gordon (offensive foul),,93,94
377,4,9:35.0,,L. James makes 2-pt layup from 2 ft,93,96
378,4,9:15.0,B. Johnson misses 3-pt jump shot from 27 ft,,93,96
379,4,9:12.0,Offensive rebound by Team,,93,96
380,4,9:01.0,A. Gordon misses 3-pt jump shot from 27 ft,,93,96
381,4,8:55.0,Offensive rebound by G. Clark,,93,96
382,4,8:55.0,G. Clark makes 2-pt layup from 1 ft,,95,96
383,4,8:43.0,,L. James misses 3-pt jump shot from 28 ft,95,96
384,4,8:38.0,Defensive rebound by M. Bamba,,95,96
