,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DENVER_ACTION,WASHINGTON_SCORE,DENVER_SCORE
50,1,6:25.0,,P. Millsap makes 2-pt layup from 3 ft (assist by N. Jokić),12,17
51,1,6:14.0,B. Beal makes 2-pt layup from 2 ft (assist by T. Bryant),,14,17
52,1,5:59.0,,N. Jokić makes 2-pt jump shot from 5 ft,14,19
53,1,5:42.0,T. Bryant misses 2-pt dunk from 1 ft,,14,19
54,1,5:40.0,,Defensive rebound by N. Jokić,14,19
55,1,5:36.0,,G. Harris makes 2-pt layup from 1 ft (assist by W. Barton),14,21
56,1,5:22.0,Turnover by T. Satoranský (bad pass; steal by N. Jokić),,14,21
57,1,5:17.0,,P. Millsap makes 2-pt layup from 1 ft (assist by W. Barton),14,23
58,1,5:17.0,Washington full timeout,,14,23
59,1,5:17.0,J. Parker enters the game for T. Bryant,,14,23
60,1,5:17.0,,M. Plumlee enters the game for P. Millsap,14,23
61,1,5:01.0,B. Beal misses 2-pt layup from 2 ft,,14,23
62,1,4:59.0,,Defensive rebound by N. Jokić,14,23
63,1,4:54.0,,W. Barton misses 3-pt jump shot from 23 ft,14,23
64,1,4:51.0,Defensive rebound by B. Portis,,14,23
65,1,4:36.0,T. Satoranský misses 3-pt jump shot from 24 ft,,14,23
66,1,4:35.0,,Defensive rebound by M. Plumlee,14,23
67,1,4:17.0,,N. Jokić makes 2-pt jump shot from 5 ft,14,25
68,1,4:01.0,B. Portis misses 2-pt jump shot from 10 ft,,14,25
69,1,3:59.0,,Defensive rebound by W. Barton,14,25
70,1,3:54.0,,M. Morris misses 3-pt jump shot from 22 ft,14,25
71,1,3:50.0,Defensive rebound by B. Portis,,14,25
72,1,3:39.0,J. Parker misses 2-pt layup from 3 ft (block by N. Jokić),,14,25
73,1,3:36.0,,Defensive rebound by N. Jokić,14,25
74,1,3:22.0,,G. Harris misses 3-pt jump shot from 25 ft,14,25
75,1,3:19.0,Defensive rebound by J. Parker,,14,25
76,1,3:14.0,J. Parker makes 2-pt dunk from 1 ft,,16,25
77,1,2:56.0,,W. Barton misses 2-pt jump shot from 19 ft,16,25
78,1,2:53.0,Defensive rebound by J. Parker,,16,25
79,1,2:41.0,B. Portis misses 2-pt layup from 3 ft,,16,25
80,1,2:40.0,Offensive rebound by Team,,16,25
81,1,2:40.0,W. Johnson enters the game for T. Brown,,16,25
82,1,2:40.0,J. McRae enters the game for B. Portis,,16,25
83,1,2:40.0,C. Randle enters the game for T. Satoranský,,16,25
84,1,2:40.0,,M. Beasley enters the game for W. Barton,16,25
85,1,2:40.0,,T. Craig enters the game for G. Harris,16,25
86,1,2:40.0,,P. Millsap enters the game for N. Jokić,16,25
87,1,2:36.0,Shooting foul by M. Plumlee (drawn by J. Parker),,16,25
88,1,2:36.0,J. Parker makes free throw 1 of 2,,17,25
89,1,2:36.0,J. Parker misses free throw 2 of 2,,17,25
90,1,2:34.0,,Defensive rebound by P. Millsap,17,25
91,1,2:21.0,,M. Plumlee makes 2-pt dunk from 1 ft (assist by M. Morris),17,27
92,1,2:11.0,B. Beal makes 2-pt layup from 2 ft,,19,27
93,1,1:55.0,,M. Morris makes 2-pt layup from 3 ft,19,29
94,1,1:55.0,Violation by Team (def goaltending),,19,29
95,1,1:39.0,B. Beal misses 2-pt layup from 3 ft,,19,29
96,1,1:36.0,,Defensive rebound by T. Craig,19,29
97,1,1:25.0,,M. Plumlee makes 2-pt layup from 3 ft,19,31
98,1,1:18.0,J. McRae makes 2-pt jump shot from 15 ft (assist by B. Beal),,21,31
99,1,0:56.0,,P. Millsap misses 2-pt hook shot from 2 ft (block by W. Johnson),21,31
100,1,0:53.0,Defensive rebound by B. Beal,,21,31
101,1,0:50.0,J. Parker makes 2-pt layup from 2 ft (assist by B. Beal),,23,31
102,1,0:37.0,,M. Morris misses 2-pt jump shot from 3 ft,23,31
103,1,0:36.0,Defensive rebound by Team,,23,31
104,1,0:31.0,B. Beal misses 3-pt jump shot from 25 ft,,23,31
105,1,0:30.0,,Defensive rebound by Team,23,31
106,1,0:14.0,,Shooting foul by W. Johnson (drawn by P. Millsap),23,31
107,1,0:14.0,,P. Millsap makes free throw 1 of 3,23,32
108,1,0:14.0,,P. Millsap makes free throw 2 of 3,23,33
109,1,0:14.0,,P. Millsap makes free throw 3 of 3,23,34
110,1,0:02.0,W. Johnson misses 2-pt jump shot from 15 ft,,23,34
111,1,0:02.0,,Defensive rebound by M. Beasley,23,34
112,1,0:00.0,,M. Beasley misses 3-pt jump shot from 52 ft,23,34
113,1,0:00.0,,Offensive rebound by Team,23,34
114,2,11:47.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. McRae),,25,34
115,2,11:25.0,,Shooting foul by C. Randle (drawn by M. Beasley),25,34
116,2,11:25.0,,M. Beasley makes free throw 1 of 2,25,35
117,2,11:25.0,,M. Beasley misses free throw 2 of 2,25,35
118,2,11:23.0,Defensive rebound by W. Johnson,,25,35
119,2,11:11.0,J. Parker misses 3-pt jump shot from 25 ft,,25,35
120,2,11:09.0,,Defensive rebound by M. Beasley,25,35
121,2,11:05.0,,J. Murray makes 3-pt jump shot from 25 ft,25,38
122,2,10:50.0,W. Johnson misses 2-pt jump shot from 16 ft,,25,38
123,2,10:47.0,Offensive rebound by C. Randle,,25,38
124,2,10:47.0,C. Randle misses 2-pt layup from 2 ft (block by J. Murray),,25,38
125,2,10:45.0,,Defensive rebound by M. Plumlee,25,38
126,2,10:41.0,,Turnover by J. Murray (bad pass),25,38
127,2,10:35.0,Offensive foul by T. Bryant (drawn by J. Murray),,25,38
128,2,10:35.0,Turnover by T. Bryant (offensive foul),,25,38
129,2,10:24.0,,T. Lyles misses 2-pt jump shot from 11 ft,25,38
130,2,10:21.0,Defensive rebound by C. Randle,,25,38
131,2,10:18.0,J. McRae makes 2-pt layup from 6 ft,,27,38
132,2,10:18.0,Shooting foul by M. Beasley (drawn by J. McRae),,27,38
133,2,10:18.0,J. McRae makes free throw 1 of 1,,28,38
134,2,10:00.0,,M. Plumlee makes 2-pt layup from 2 ft (assist by M. Beasley),28,40
135,2,10:00.0,,Shooting foul by W. Johnson (drawn by M. Plumlee),28,40
136,2,10:00.0,,M. Plumlee makes free throw 1 of 1,28,41
137,2,9:43.0,J. Parker makes 3-pt jump shot from 22 ft (assist by C. Randle),,31,41
138,2,9:25.0,,J. Murray makes 2-pt jump shot from 20 ft (assist by M. Plumlee),31,43
139,2,9:15.0,C. Randle misses 2-pt layup from 3 ft,,31,43
140,2,9:13.0,,Defensive rebound by T. Lyles,31,43
141,2,9:05.0,,T. Lyles makes 2-pt layup from 2 ft (assist by M. Plumlee),31,45
142,2,9:05.0,Washington full timeout,,31,45
143,2,9:05.0,T. Brown enters the game for W. Johnson,,31,45
144,2,9:05.0,T. Satoranský enters the game for C. Randle,,31,45
145,2,8:49.0,Personal foul by T. Craig (drawn by J. Parker),,31,45
146,2,8:41.0,T. Brown misses 2-pt jump shot from 22 ft,,31,45
147,2,8:37.0,,Defensive rebound by M. Plumlee,31,45
148,2,8:23.0,,M. Beasley misses 2-pt layup from 2 ft,31,45
149,2,8:21.0,Defensive rebound by T. Bryant,,31,45
150,2,8:10.0,J. McRae misses 3-pt jump shot from 23 ft,,31,45
151,2,8:06.0,,Defensive rebound by T. Craig,31,45
152,2,8:03.0,,Shooting foul by T. Brown (drawn by T. Lyles),31,45
153,2,8:03.0,,T. Lyles misses free throw 1 of 2,31,45
154,2,8:03.0,,Offensive rebound by Team,31,45
155,2,8:03.0,,T. Lyles makes free throw 2 of 2,31,46
156,2,7:43.0,T. Brown makes 2-pt layup from 2 ft (assist by J. Parker),,33,46
157,2,7:43.0,Shooting foul by M. Plumlee (drawn by T. Brown),,33,46
158,2,7:43.0,T. Brown makes free throw 1 of 1,,34,46
159,2,7:29.0,,J. Murray misses 3-pt jump shot from 25 ft,34,46
160,2,7:26.0,Defensive rebound by J. McRae,,34,46
161,2,7:21.0,J. McRae makes 2-pt jump shot from 9 ft,,36,46
162,2,6:57.0,,M. Plumlee misses 2-pt jump shot from 14 ft,36,46
163,2,6:52.0,Defensive rebound by J. McRae,,36,46
164,2,6:46.0,J. McRae misses 2-pt jump shot from 17 ft,,36,46
165,2,6:44.0,Offensive rebound by T. Bryant,,36,46
166,2,6:44.0,T. Bryant makes 2-pt layup from 2 ft,,38,46
167,2,6:44.0,Shooting foul by M. Plumlee (drawn by T. Bryant),,38,46
168,2,6:44.0,,Denver full timeout,38,46
169,2,6:44.0,,W. Barton enters the game for M. Beasley,38,46
170,2,6:44.0,,G. Harris enters the game for T. Craig,38,46
171,2,6:44.0,,N. Jokić enters the game for T. Lyles,38,46
172,2,6:44.0,,P. Millsap enters the game for J. Murray,38,46
173,2,6:44.0,,M. Morris enters the game for M. Plumlee,38,46
174,2,6:44.0,T. Bryant misses free throw 1 of 1,,38,46
175,2,6:42.0,,Defensive rebound by P. Millsap,38,46
176,2,6:20.0,,P. Millsap misses 2-pt layup from 3 ft (block by J. McRae),38,46
177,2,6:17.0,Defensive rebound by T. Satoranský,,38,46
178,2,6:15.0,T. Brown makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,41,46
179,2,5:59.0,,W. Barton misses 3-pt jump shot from 25 ft,41,46
180,2,5:56.0,Defensive rebound by J. McRae,,41,46
181,2,5:36.0,J. McRae misses 2-pt jump shot from 16 ft,,41,46
182,2,5:34.0,,Defensive rebound by P. Millsap,41,46
183,2,5:24.0,,Turnover by G. Harris (lost ball; steal by J. McRae),41,46
184,2,5:19.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. McRae),,43,46
185,2,4:58.0,,M. Morris misses 3-pt jump shot from 24 ft,43,46
186,2,4:55.0,Defensive rebound by J. McRae,,43,46
187,2,4:50.0,T. Bryant makes 2-pt layup from 2 ft (assist by J. McRae),,45,46
188,2,4:28.0,,N. Jokić makes 2-pt hook shot from 3 ft,45,48
189,2,3:58.0,J. Parker misses 2-pt jump shot from 23 ft,,45,48
190,2,3:57.0,Offensive rebound by Team,,45,48
191,2,3:57.0,Turnover by Team (shot clock),,45,48
192,2,3:57.0,B. Beal enters the game for J. McRae,,45,48
193,2,3:57.0,,J. Murray enters the game for M. Morris,45,48
194,2,3:43.0,,J. Murray misses 2-pt layup from 3 ft (block by T. Bryant),45,48
195,2,3:39.0,Defensive rebound by T. Satoranský,,45,48
196,2,3:30.0,Shooting foul by G. Harris (drawn by J. Parker),,45,48
197,2,3:30.0,J. Parker makes free throw 1 of 2,,46,48
198,2,3:30.0,J. Parker misses free throw 2 of 2,,46,48
199,2,3:28.0,,Defensive rebound by N. Jokić,46,48
200,2,3:13.0,,W. Barton makes 3-pt jump shot from 23 ft (assist by J. Murray),46,51
201,2,2:48.0,T. Satoranský misses 2-pt jump shot from 5 ft,,46,51
202,2,2:45.0,Offensive rebound by T. Bryant,,46,51
203,2,2:45.0,T. Bryant misses 2-pt layup at rim,,46,51
204,2,2:41.0,Offensive rebound by J. Parker,,46,51
205,2,2:41.0,J. Parker makes 2-pt dunk at rim,,48,51
206,2,2:29.0,,W. Barton makes 2-pt jump shot from 7 ft,48,53
207,2,2:18.0,T. Satoranský misses 2-pt jump shot from 14 ft,,48,53
208,2,2:15.0,,Defensive rebound by P. Millsap,48,53
209,2,2:15.0,,Personal take foul by T. Satoranský (drawn by P. Millsap),48,53
210,2,1:57.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by W. Barton),48,55
211,2,1:42.0,B. Beal misses 2-pt layup from 3 ft,,48,55
212,2,1:40.0,Offensive rebound by T. Bryant,,48,55
213,2,1:33.0,T. Satoranský misses 2-pt jump shot from 7 ft,,48,55
214,2,1:27.0,,Defensive rebound by N. Jokić,48,55
215,2,1:24.0,,W. Barton misses 3-pt jump shot from 25 ft,48,55
216,2,1:20.0,Defensive rebound by B. Beal,,48,55
217,2,1:16.0,J. Parker makes 2-pt layup from 1 ft,,50,55
218,2,0:55.0,,G. Harris makes 2-pt layup from 2 ft,50,57
219,2,0:41.0,Turnover by B. Beal (bad pass; steal by G. Harris),,50,57
220,2,0:36.0,,Shooting foul by B. Beal (drawn by J. Murray),50,57
221,2,0:36.0,,J. Murray makes free throw 1 of 2,50,58
222,2,0:36.0,,J. Murray makes free throw 2 of 2,50,59
223,2,0:28.0,J. Parker misses 3-pt jump shot from 24 ft,,50,59
224,2,0:25.0,,Defensive rebound by Team,50,59
225,2,0:05.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by W. Barton),50,62
226,2,0:00.0,T. Brown makes 3-pt jump shot from 25 ft (assist by T. Satoranský),,53,62
227,3,11:37.0,B. Beal misses 2-pt jump shot from 23 ft,,53,62
228,3,11:32.0,,Defensive rebound by G. Harris,53,62
229,3,11:13.0,,Turnover by N. Jokić (out of bounds lost ball),53,62
230,3,11:04.0,B. Portis misses 2-pt jump shot from 19 ft,,53,62
231,3,11:00.0,,Defensive rebound by J. Murray,53,62
232,3,10:42.0,,N. Jokić misses 2-pt jump shot from 20 ft,53,62
233,3,10:40.0,Defensive rebound by T. Brown,,53,62
234,3,10:26.0,B. Beal makes 2-pt layup from 2 ft (assist by T. Bryant),,55,62
235,3,10:26.0,Shooting foul by N. Jokić (drawn by B. Beal),,55,62
236,3,10:26.0,B. Beal makes free throw 1 of 1,,56,62
237,3,10:14.0,,N. Jokić makes 2-pt jump shot from 18 ft (assist by P. Millsap),56,64
238,3,9:48.0,T. Brown makes 2-pt jump shot from 18 ft,,58,64
239,3,9:30.0,,N. Jokić misses 3-pt jump shot from 25 ft,58,64
240,3,9:27.0,Defensive rebound by T. Brown,,58,64
241,3,9:21.0,T. Brown misses 2-pt jump shot from 11 ft (block by W. Barton),,58,64
242,3,9:19.0,,Defensive rebound by W. Barton,58,64
243,3,9:17.0,,Turnover by W. Barton (bad pass; steal by B. Beal),58,64
244,3,9:10.0,T. Bryant makes 2-pt hook shot from 3 ft (assist by B. Beal),,60,64
245,3,9:09.0,,Denver full timeout,60,64
246,3,8:48.0,,G. Harris misses 2-pt jump shot from 18 ft,60,64
247,3,8:46.0,,Offensive rebound by Team,60,64
248,3,8:42.0,,J. Murray makes 2-pt jump shot from 17 ft (assist by N. Jokić),60,66
249,3,8:23.0,T. Bryant misses 3-pt jump shot from 24 ft,,60,66
250,3,8:20.0,,Defensive rebound by P. Millsap,60,66
251,3,8:14.0,,W. Barton misses 3-pt jump shot from 24 ft,60,66
252,3,8:13.0,Defensive rebound by T. Bryant,,60,66
253,3,8:03.0,B. Portis misses 2-pt hook shot from 5 ft,,60,66
254,3,8:01.0,,Defensive rebound by P. Millsap,60,66
255,3,7:51.0,,G. Harris makes 2-pt jump shot from 24 ft (assist by N. Jokić),60,68
256,3,7:35.0,Personal foul by P. Millsap (drawn by B. Portis),,60,68
257,3,7:31.0,Shooting foul by N. Jokić (drawn by T. Satoranský),,60,68
258,3,7:31.0,T. Satoranský makes free throw 1 of 2,,61,68
259,3,7:31.0,T. Satoranský makes free throw 2 of 2,,62,68
260,3,7:12.0,,G. Harris misses 3-pt jump shot from 23 ft,62,68
261,3,7:09.0,Defensive rebound by T. Satoranský,,62,68
262,3,7:08.0,Personal foul by J. Murray (drawn by T. Satoranský),,62,68
263,3,6:49.0,B. Beal misses 2-pt layup from 3 ft,,62,68
264,3,6:47.0,,Defensive rebound by N. Jokić,62,68
265,3,6:43.0,,J. Murray misses 3-pt jump shot from 24 ft,62,68
266,3,6:40.0,Defensive rebound by T. Bryant,,62,68
267,3,6:22.0,T. Bryant misses 2-pt layup from 3 ft,,62,68
268,3,6:21.0,,Defensive rebound by N. Jokić,62,68
269,3,6:16.0,,Personal foul by B. Beal (drawn by N. Jokić),62,68
270,3,6:08.0,,W. Barton misses 2-pt layup from 2 ft,62,68
271,3,6:06.0,,Offensive rebound by P. Millsap,62,68
272,3,6:04.0,,Personal foul by B. Portis (drawn by N. Jokić),62,68
273,3,5:59.0,,Personal foul by B. Portis (drawn by J. Murray),62,68
274,3,5:52.0,,W. Barton makes 3-pt jump shot from 25 ft,62,71
275,3,5:37.0,B. Beal makes 2-pt dunk from 1 ft (assist by T. Satoranský),,64,71
276,3,5:22.0,,W. Barton misses 2-pt jump shot from 23 ft,64,71
277,3,5:19.0,Defensive rebound by T. Bryant,,64,71
278,3,5:07.0,T. Brown makes 3-pt jump shot from 27 ft (assist by T. Bryant),,67,71
279,3,4:55.0,,J. Murray misses 3-pt jump shot from 26 ft,67,71
280,3,4:53.0,Defensive rebound by Team,,67,71
281,3,4:53.0,,M. Beasley enters the game for W. Barton,67,71
282,3,4:53.0,,M. Morris enters the game for P. Millsap,67,71
283,3,4:53.0,,M. Plumlee enters the game for J. Murray,67,71
284,3,4:39.0,B. Portis misses 3-pt jump shot from 25 ft,,67,71
285,3,4:36.0,Offensive rebound by T. Satoranský,,67,71
286,3,4:33.0,B. Portis misses 2-pt layup from 3 ft,,67,71
287,3,4:31.0,,Defensive rebound by N. Jokić,67,71
288,3,4:30.0,,Personal foul by T. Brown (drawn by M. Beasley),67,71
289,3,4:30.0,J. Parker enters the game for T. Bryant,,67,71
290,3,4:12.0,,N. Jokić misses 2-pt jump shot from 7 ft,67,71
291,3,4:09.0,Defensive rebound by J. Parker,,67,71
292,3,3:53.0,B. Portis misses 3-pt jump shot from 22 ft,,67,71
293,3,3:53.0,,Defensive rebound by N. Jokić,67,71
294,3,3:47.0,,G. Harris misses 2-pt jump shot from 23 ft,67,71
295,3,3:43.0,,Offensive rebound by M. Plumlee,67,71
296,3,3:43.0,,Personal foul by B. Beal (drawn by N. Jokić),67,71
297,3,3:43.0,,N. Jokić makes free throw 1 of 2,67,72
298,3,3:43.0,J. McRae enters the game for T. Satoranský,,67,72
299,3,3:43.0,,N. Jokić misses free throw 2 of 2,67,72
300,3,3:41.0,Defensive rebound by B. Portis,,67,72
301,3,3:29.0,J. Parker misses 3-pt jump shot from 23 ft,,67,72
302,3,3:26.0,Offensive rebound by T. Brown,,67,72
303,3,3:20.0,J. McRae misses 3-pt jump shot from 27 ft,,67,72
304,3,3:17.0,,Defensive rebound by M. Beasley,67,72
305,3,3:08.0,,Turnover by G. Harris (bad pass; steal by J. Parker),67,72
306,3,3:02.0,J. Parker makes 2-pt dunk at rim,,69,72
307,3,2:45.0,,M. Morris misses 2-pt hook shot from 6 ft,69,72
308,3,2:42.0,Defensive rebound by J. Parker,,69,72
309,3,2:35.0,T. Brown misses 2-pt jump shot from 9 ft,,69,72
310,3,2:32.0,,Defensive rebound by M. Plumlee,69,72
311,3,2:29.0,,M. Beasley misses 3-pt jump shot from 25 ft,69,72
312,3,2:26.0,Defensive rebound by B. Portis,,69,72
313,3,2:02.0,B. Beal misses 2-pt layup from 2 ft,,69,72
314,3,1:59.0,,Defensive rebound by N. Jokić,69,72
315,3,1:45.0,,Turnover by N. Jokić (lost ball; steal by T. Brown),69,72
316,3,1:42.0,T. Brown makes 2-pt dunk from 1 ft,,71,72
317,3,1:42.0,,Denver full timeout,71,72
318,3,1:42.0,T. Bryant enters the game for B. Portis,,71,72
319,3,1:42.0,,T. Craig enters the game for G. Harris,71,72
320,3,1:42.0,,P. Millsap enters the game for N. Jokić,71,72
321,3,1:24.0,,P. Millsap misses 2-pt hook shot from 4 ft (block by T. Bryant),71,72
322,3,1:20.0,Defensive rebound by T. Brown,,71,72
323,3,1:03.0,Offensive foul by J. McRae (drawn by M. Morris),,71,72
324,3,1:03.0,Turnover by J. McRae (offensive foul),,71,72
325,3,0:54.0,,M. Plumlee misses 2-pt layup from 1 ft (block by T. Bryant),71,72
326,3,0:52.0,Defensive rebound by T. Bryant,,71,72
327,3,0:32.0,J. Parker makes 2-pt dunk from 1 ft (assist by J. McRae),,73,72
328,3,0:19.0,,M. Beasley misses 2-pt jump shot from 6 ft,73,72
329,3,0:17.0,Defensive rebound by T. Brown,,73,72
330,3,0:00.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. McRae),,75,72
331,4,11:47.0,,T. Lyles misses 3-pt jump shot from 24 ft,75,72
332,4,11:43.0,Defensive rebound by B. Beal,,75,72
333,4,11:37.0,J. Parker misses 2-pt jump shot from 16 ft,,75,72
334,4,11:34.0,,Defensive rebound by M. Plumlee,75,72
335,4,11:21.0,,M. Beasley misses 2-pt jump shot from 5 ft,75,72
336,4,11:19.0,,Offensive rebound by M. Beasley,75,72
337,4,11:19.0,,M. Beasley makes 2-pt layup at rim,75,74
338,4,11:09.0,T. Bryant makes 2-pt dunk from 1 ft (assist by J. McRae),,77,74
339,4,10:53.0,,M. Plumlee makes 2-pt hook shot from 5 ft,77,76
340,4,10:28.0,J. Parker makes 2-pt layup from 2 ft,,79,76
341,4,10:18.0,,M. Morris makes 3-pt jump shot from 25 ft,79,79
342,4,10:03.0,J. McRae misses 2-pt jump shot from 18 ft,,79,79
343,4,10:00.0,,Defensive rebound by M. Plumlee,79,79
344,4,9:47.0,,M. Beasley makes 3-pt jump shot from 24 ft (assist by T. Lyles),79,82
345,4,9:45.0,Washington full timeout,,79,82
346,4,9:45.0,T. Satoranský enters the game for B. Beal,,79,82
347,4,9:30.0,J. Parker misses 2-pt jump shot from 7 ft,,79,82
348,4,9:28.0,,Defensive rebound by T. Lyles,79,82
349,4,9:25.0,,M. Beasley misses 3-pt jump shot from 23 ft,79,82
350,4,9:22.0,,Offensive rebound by M. Plumlee,79,82
351,4,9:21.0,,Turnover by M. Plumlee (lost ball; steal by J. Parker),79,82
352,4,9:04.0,Turnover by J. Parker (bad pass; steal by M. Morris),,79,82
353,4,9:04.0,,Personal take foul by J. McRae (drawn by M. Morris),79,82
354,4,8:53.0,,M. Morris misses 3-pt jump shot from 25 ft,79,82
355,4,8:50.0,Defensive rebound by J. McRae,,79,82
356,4,8:36.0,T. Brown misses 2-pt layup from 4 ft (block by M. Plumlee),,79,82
357,4,8:36.0,Offensive rebound by Team,,79,82
358,4,8:29.0,J. McRae misses 2-pt jump shot from 22 ft,,79,82
359,4,8:26.0,,Defensive rebound by M. Plumlee,79,82
360,4,8:16.0,,T. Lyles misses 3-pt jump shot from 25 ft,79,82
361,4,8:12.0,Defensive rebound by T. Bryant,,79,82
362,4,7:54.0,T. Brown makes 2-pt layup from 2 ft (assist by T. Satoranský),,81,82
363,4,7:54.0,,Violation by Team (def goaltending),81,82
364,4,7:42.0,,Turnover by M. Plumlee (bad pass; steal by T. Satoranský),81,82
365,4,7:40.0,T. Satoranský makes 2-pt layup from 2 ft,,83,82
366,4,7:40.0,,Denver full timeout,83,82
367,4,7:40.0,,G. Harris enters the game for T. Craig,83,82
368,4,7:40.0,,N. Jokić enters the game for T. Lyles,83,82
369,4,7:29.0,,M. Morris misses 2-pt layup from 2 ft (block by J. Parker),83,82
370,4,7:26.0,Defensive rebound by J. McRae,,83,82
371,4,7:25.0,Turnover by J. McRae (offensive foul),,83,82
372,4,7:25.0,Offensive foul by J. McRae (drawn by M. Beasley),,83,82
373,4,7:11.0,,Personal foul by J. Parker (drawn by N. Jokić),83,82
374,4,7:04.0,,G. Harris misses 2-pt jump shot from 7 ft,83,82
375,4,7:02.0,Defensive rebound by T. Bryant,,83,82
376,4,6:45.0,J. Parker misses 3-pt jump shot from 26 ft,,83,82
377,4,6:42.0,,Defensive rebound by M. Beasley,83,82
378,4,6:31.0,,M. Beasley misses 3-pt jump shot from 25 ft,83,82
379,4,6:27.0,Defensive rebound by T. Satoranský,,83,82
380,4,6:21.0,Turnover by J. Parker (lost ball; steal by M. Morris),,83,82
381,4,6:15.0,,M. Beasley misses 2-pt layup from 3 ft,83,82
382,4,6:12.0,Defensive rebound by T. Satoranský,,83,82
383,4,6:08.0,T. Brown makes 3-pt jump shot from 24 ft (assist by J. McRae),,86,82
384,4,6:08.0,,Denver full timeout,86,82
385,4,6:08.0,B. Beal enters the game for J. McRae,,86,82
386,4,6:08.0,,W. Barton enters the game for M. Beasley,86,82
387,4,6:08.0,,P. Millsap enters the game for M. Plumlee,86,82
388,4,5:55.0,,Turnover by P. Millsap (bad pass; steal by J. Parker),86,82
