,QUARTER,TIME_REMAINING,GOLDEN STATE_ACTION,TORONTO_ACTION,GOLDEN STATE_SCORE,TORONTO_SCORE
123,2,8:28.0,,Shooting foul by Q. Cook (drawn by J. Valančiūnas),32,46
124,2,8:28.0,,J. Valančiūnas makes free throw 1 of 2,32,47
125,2,8:28.0,,J. Valančiūnas makes free throw 2 of 2,32,48
126,2,8:15.0,D. Lee makes 3-pt jump shot from 23 ft (assist by S. Livingston),,35,48
127,2,7:55.0,,F. VanVleet misses 3-pt jump shot from 29 ft,35,48
128,2,7:52.0,Defensive rebound by S. Livingston,,35,48
129,2,7:45.0,S. Livingston misses 2-pt jump shot from 13 ft,,35,48
130,2,7:43.0,,Defensive rebound by J. Valančiūnas,35,48
131,2,7:37.0,,C. Miles misses 3-pt jump shot from 24 ft (block by S. Livingston),35,48
132,2,7:37.0,,Offensive rebound by Team,35,48
133,2,7:37.0,A. Iguodala enters the game for D. Lee,,35,48
134,2,7:37.0,J. Jerebko enters the game for S. Livingston,,35,48
135,2,7:37.0,,D. Green enters the game for K. Leonard,35,48
136,2,7:37.0,,S. Ibaka enters the game for J. Valančiūnas,35,48
137,2,7:37.0,,K. Lowry enters the game for F. VanVleet,35,48
138,2,7:23.0,,D. Green makes 2-pt jump shot from 6 ft (assist by S. Ibaka),35,50
139,2,7:09.0,K. Looney misses 2-pt layup from 2 ft,,35,50
140,2,7:07.0,,Defensive rebound by K. Lowry,35,50
141,2,7:06.0,,Turnover by O. Anunoby (traveling),35,50
142,2,7:06.0,J. Bell enters the game for K. Looney,,35,50
143,2,7:06.0,K. Durant enters the game for K. Thompson,,35,50
144,2,6:51.0,K. Durant misses 2-pt jump shot from 11 ft,,35,50
145,2,6:48.0,Offensive rebound by J. Bell,,35,50
146,2,6:47.0,J. Bell misses 2-pt layup from 1 ft,,35,50
147,2,6:45.0,,Defensive rebound by C. Miles,35,50
148,2,6:39.0,,Turnover by C. Miles (lost ball; steal by Q. Cook),35,50
149,2,6:34.0,A. Iguodala misses 2-pt layup from 2 ft,,35,50
150,2,6:31.0,Offensive rebound by J. Jerebko,,35,50
151,2,6:31.0,J. Jerebko misses 2-pt layup at rim,,35,50
152,2,6:30.0,Offensive rebound by J. Jerebko,,35,50
153,2,6:30.0,J. Jerebko misses 2-pt layup at rim,,35,50
154,2,6:30.0,,Defensive rebound by C. Miles,35,50
155,2,6:23.0,,K. Lowry makes 2-pt jump shot from 1 ft,35,52
156,2,6:07.0,Q. Cook makes 2-pt jump shot from 18 ft,,37,52
157,2,5:58.0,,Offensive foul by C. Miles (drawn by J. Bell),37,52
158,2,5:58.0,,Turnover by C. Miles (offensive foul),37,52
159,2,5:58.0,,Toronto full timeout,37,52
160,2,5:58.0,,K. Leonard enters the game for O. Anunoby,37,52
161,2,5:58.0,,P. Siakam enters the game for C. Miles,37,52
162,2,5:44.0,Q. Cook makes 2-pt jump shot from 19 ft,,39,52
163,2,5:24.0,,S. Ibaka misses 2-pt jump shot from 6 ft,39,52
164,2,5:22.0,,Offensive rebound by S. Ibaka,39,52
165,2,5:20.0,,S. Ibaka makes 2-pt hook shot from 7 ft,39,54
