,QUARTER,TIME_REMAINING,DENVER_ACTION,MILWAUKEE_ACTION,DENVER_SCORE,MILWAUKEE_SCORE
39,1,7:32.0,Defensive rebound by J. Murray,,7,7
40,1,7:26.0,G. Harris misses 3-pt jump shot from 27 ft,,7,7
41,1,7:22.0,,Defensive rebound by B. Lopez,7,7
42,1,7:12.0,,K. Middleton misses 2-pt jump shot from 11 ft (block by P. Millsap),7,7
43,1,7:09.0,Defensive rebound by J. Hernangómez,,7,7
44,1,7:05.0,N. Jokić makes 2-pt layup from 1 ft (assist by G. Harris),,9,7
45,1,7:05.0,,Milwaukee full timeout,9,7
46,1,7:05.0,,P. Connaughton enters the game for M. Brogdon,9,7
47,1,6:50.0,,K. Middleton misses 2-pt jump shot from 20 ft,9,7
48,1,6:48.0,Defensive rebound by J. Murray,,9,7
49,1,6:45.0,Turnover by G. Harris (out of bounds lost ball),,9,7
50,1,6:30.0,,K. Middleton makes 2-pt dunk from 1 ft (assist by P. Connaughton),9,9
51,1,6:13.0,N. Jokić misses 3-pt jump shot from 27 ft,,9,9
52,1,6:09.0,,Defensive rebound by E. Bledsoe,9,9
53,1,6:03.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),9,11
54,1,5:46.0,G. Harris makes 2-pt jump shot from 13 ft (assist by J. Murray),,11,11
55,1,5:32.0,,B. Lopez makes 2-pt dunk from 1 ft,11,13
56,1,5:18.0,N. Jokić makes 2-pt jump shot from 14 ft (assist by G. Harris),,13,13
57,1,5:12.0,,K. Middleton makes 2-pt layup from 1 ft,13,15
58,1,5:12.0,Denver full timeout,,13,15
59,1,5:12.0,M. Morris enters the game for J. Murray,,13,15
60,1,5:12.0,,E. İlyasova enters the game for G. Antetokounmpo,13,15
61,1,4:57.0,G. Harris makes 2-pt jump shot from 14 ft (assist by P. Millsap),,15,15
62,1,4:44.0,,B. Lopez misses 2-pt layup from 3 ft,15,15
63,1,4:40.0,,Offensive rebound by B. Lopez,15,15
64,1,4:40.0,,B. Lopez misses 2-pt layup at rim,15,15
65,1,4:40.0,Defensive rebound by J. Hernangómez,,15,15
66,1,4:31.0,M. Morris misses 3-pt jump shot from 23 ft,,15,15
67,1,4:28.0,Offensive rebound by N. Jokić,,15,15
68,1,4:18.0,J. Hernangómez misses 2-pt layup from 1 ft,,15,15
69,1,4:16.0,Offensive rebound by P. Millsap,,15,15
70,1,4:13.0,M. Morris makes 2-pt jump shot from 11 ft (assist by G. Harris),,17,15
71,1,3:52.0,,E. Bledsoe misses 2-pt layup from 1 ft,17,15
72,1,3:50.0,Defensive rebound by J. Hernangómez,,17,15
73,1,3:40.0,G. Harris makes 2-pt jump shot from 13 ft,,19,15
74,1,3:18.0,,K. Middleton misses 2-pt jump shot from 15 ft,19,15
75,1,3:16.0,Defensive rebound by P. Millsap,,19,15
76,1,3:11.0,P. Millsap makes 2-pt jump shot from 14 ft,,21,15
77,1,2:57.0,,E. Bledsoe makes 2-pt layup from 1 ft,21,17
78,1,2:57.0,,Shooting foul by J. Hernangómez (drawn by E. Bledsoe),21,17
79,1,2:57.0,T. Lyles enters the game for P. Millsap,,21,17
80,1,2:57.0,,G. Antetokounmpo enters the game for B. Lopez,21,17
81,1,2:57.0,,T. Snell enters the game for K. Middleton,21,17
82,1,2:57.0,,E. Bledsoe makes free throw 1 of 1,21,18
83,1,2:37.0,G. Harris makes 3-pt jump shot from 23 ft (assist by M. Morris),,24,18
84,1,2:28.0,,T. Snell misses 3-pt jump shot from 24 ft,24,18
85,1,2:26.0,,Offensive rebound by E. Bledsoe,24,18
86,1,2:22.0,,Turnover by E. Bledsoe (bad pass; steal by J. Hernangómez),24,18
87,1,2:12.0,J. Hernangómez misses 2-pt layup from 5 ft,,24,18
88,1,2:12.0,Offensive rebound by Team,,24,18
89,1,2:12.0,M. Plumlee enters the game for N. Jokić,,24,18
90,1,2:12.0,,M. Brogdon enters the game for E. Bledsoe,24,18
91,1,2:01.0,Shooting foul by E. İlyasova (drawn by M. Plumlee),,24,18
92,1,2:01.0,M. Plumlee misses free throw 1 of 2,,24,18
93,1,2:01.0,Offensive rebound by Team,,24,18
94,1,2:01.0,M. Beasley enters the game for J. Hernangómez,,24,18
95,1,2:01.0,M. Plumlee makes free throw 2 of 2,,25,18
96,1,1:46.0,,Shooting foul by M. Plumlee (drawn by G. Antetokounmpo),25,18
97,1,1:46.0,,G. Antetokounmpo makes free throw 1 of 2,25,19
98,1,1:46.0,,G. Antetokounmpo misses free throw 2 of 2,25,19
99,1,1:43.0,Defensive rebound by M. Beasley,,25,19
100,1,1:32.0,Turnover by G. Harris (bad pass),,25,19
101,1,1:32.0,J. Murray enters the game for G. Harris,,25,19
102,1,1:22.0,,P. Connaughton makes 3-pt jump shot from 27 ft (assist by G. Antetokounmpo),25,22
103,1,1:07.0,T. Lyles misses 3-pt jump shot from 27 ft,,25,22
104,1,1:05.0,,Defensive rebound by P. Connaughton,25,22
105,1,1:00.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by P. Connaughton),25,25
106,1,0:52.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by J. Murray),,27,25
107,1,0:44.0,,Turnover by G. Antetokounmpo (bad pass; steal by M. Beasley),27,25
108,1,0:41.0,J. Murray makes 2-pt layup from 1 ft (assist by M. Beasley),,29,25
109,1,0:35.0,,Offensive foul by G. Antetokounmpo (drawn by M. Plumlee),29,25
110,1,0:35.0,,Turnover by G. Antetokounmpo (offensive foul),29,25
111,1,0:18.0,Turnover by M. Morris (traveling),,29,25
112,1,0:18.0,,M. Brogdon misses 2-pt layup from 3 ft,29,25
113,1,0:18.0,Defensive rebound by M. Plumlee,,29,25
114,2,11:47.0,M. Morris makes 2-pt layup from 3 ft (assist by J. Murray),,31,25
115,2,11:37.0,,Personal foul by M. Plumlee (drawn by G. Antetokounmpo),31,25
116,2,11:20.0,,M. Brogdon misses 2-pt jump shot from 12 ft (block by M. Plumlee),31,25
117,2,11:20.0,,Offensive rebound by Team,31,25
118,2,11:20.0,,Turnover by Team (shot clock),31,25
119,2,10:57.0,T. Lyles misses 3-pt jump shot from 28 ft,,31,25
120,2,10:52.0,,Defensive rebound by K. Middleton,31,25
121,2,10:45.0,,T. Snell misses 3-pt jump shot from 26 ft,31,25
122,2,10:42.0,Defensive rebound by M. Beasley,,31,25
123,2,10:36.0,J. Murray makes 2-pt jump shot from 13 ft,,33,25
124,2,10:29.0,,Personal foul by J. Murray (drawn by G. Antetokounmpo),33,25
125,2,10:19.0,,Turnover by G. Antetokounmpo (traveling),33,25
126,2,10:06.0,T. Lyles misses 3-pt jump shot from 27 ft,,33,25
127,2,10:02.0,Offensive rebound by M. Plumlee,,33,25
128,2,9:59.0,M. Beasley makes 3-pt jump shot from 27 ft (assist by M. Morris),,36,25
129,2,9:40.0,,Turnover by M. Brogdon (bad pass),36,25
130,2,9:23.0,Turnover by M. Plumlee (bad pass; steal by K. Middleton),,36,25
131,2,9:17.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),36,27
132,2,9:06.0,J. Murray makes 3-pt jump shot from 28 ft (assist by T. Lyles),,39,27
133,2,8:51.0,,G. Antetokounmpo misses 2-pt hook shot from 7 ft,39,27
134,2,8:48.0,Defensive rebound by M. Plumlee,,39,27
135,2,8:38.0,M. Beasley misses 3-pt jump shot from 28 ft,,39,27
136,2,8:35.0,,Defensive rebound by T. Snell,39,27
137,2,8:31.0,,T. Snell misses 2-pt layup from 2 ft,39,27
138,2,8:29.0,Defensive rebound by M. Morris,,39,27
139,2,8:20.0,M. Beasley makes 3-pt jump shot from 24 ft (assist by M. Morris),,42,27
140,2,8:19.0,,Milwaukee full timeout,42,27
141,2,8:19.0,,E. Bledsoe enters the game for M. Brogdon,42,27
142,2,8:19.0,,S. Brown enters the game for T. Maker,42,27
143,2,8:19.0,,E. İlyasova enters the game for T. Snell,42,27
144,2,8:04.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,42,27
145,2,8:01.0,Defensive rebound by T. Lyles,,42,27
146,2,7:49.0,T. Lyles makes 2-pt jump shot from 8 ft (assist by M. Beasley),,44,27
147,2,7:41.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft (assist by K. Middleton),44,29
148,2,7:23.0,T. Lyles makes 2-pt jump shot from 19 ft,,46,29
149,2,7:07.0,,S. Brown misses 3-pt jump shot from 26 ft,46,29
150,2,7:07.0,Defensive rebound by T. Lyles,,46,29
151,2,6:46.0,Turnover by M. Plumlee (bad pass; steal by K. Middleton),,46,29
152,2,6:41.0,,K. Middleton makes 2-pt jump shot from 11 ft,46,31
153,2,6:22.0,Offensive foul by T. Lyles (drawn by E. İlyasova),,46,31
154,2,6:22.0,Turnover by T. Lyles (offensive foul),,46,31
155,2,6:22.0,G. Harris enters the game for T. Lyles,,46,31
156,2,6:22.0,N. Jokić enters the game for J. Murray,,46,31
157,2,6:22.0,P. Millsap enters the game for M. Plumlee,,46,31
158,2,6:22.0,,B. Lopez enters the game for G. Antetokounmpo,46,31
159,2,6:09.0,,K. Middleton misses 3-pt jump shot from 26 ft,46,31
160,2,6:07.0,,Offensive rebound by Team,46,31
161,2,6:07.0,J. Hernangómez enters the game for M. Beasley,,46,31
162,2,6:03.0,,B. Lopez misses 3-pt jump shot from 27 ft,46,31
163,2,5:59.0,,Offensive rebound by E. Bledsoe,46,31
164,2,5:56.0,,E. Bledsoe makes 2-pt layup from 1 ft,46,33
165,2,5:33.0,J. Hernangómez misses 3-pt jump shot from 26 ft,,46,33
166,2,5:31.0,Offensive rebound by Team,,46,33
167,2,5:31.0,Personal foul by B. Lopez (drawn by J. Hernangómez),,46,33
168,2,5:31.0,J. Murray enters the game for M. Morris,,46,33
169,2,5:26.0,G. Harris misses 3-pt jump shot from 27 ft,,46,33
170,2,5:24.0,,Defensive rebound by K. Middleton,46,33
171,2,5:05.0,,Turnover by S. Brown (bad pass; steal by G. Harris),46,33
172,2,5:04.0,Turnover by G. Harris (bad pass; steal by B. Lopez),,46,33
173,2,4:54.0,,Shooting foul by P. Millsap (drawn by E. Bledsoe),46,33
174,2,4:54.0,,E. Bledsoe misses free throw 1 of 2,46,33
175,2,4:54.0,,Offensive rebound by Team,46,33
176,2,4:54.0,,T. Snell enters the game for K. Middleton,46,33
177,2,4:54.0,,E. Bledsoe makes free throw 2 of 2,46,34
178,2,4:35.0,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),,48,34
179,2,4:21.0,,E. İlyasova misses 2-pt layup from 2 ft,48,34
180,2,4:18.0,Defensive rebound by P. Millsap,,48,34
181,2,4:13.0,Personal foul by S. Brown (drawn by P. Millsap),,48,34
182,2,4:05.0,J. Murray misses 2-pt jump shot from 18 ft,,48,34
183,2,4:03.0,,Defensive rebound by E. İlyasova,48,34
184,2,3:51.0,,Turnover by T. Snell (bad pass; steal by N. Jokić),48,34
185,2,3:42.0,Personal foul by B. Lopez (drawn by N. Jokić),,48,34
186,2,3:42.0,,G. Antetokounmpo enters the game for E. İlyasova,48,34
187,2,3:30.0,P. Millsap misses 3-pt jump shot from 24 ft,,48,34
188,2,3:26.0,,Defensive rebound by E. Bledsoe,48,34
189,2,3:20.0,,S. Brown misses 2-pt layup from 3 ft,48,34
190,2,3:12.0,,Offensive rebound by S. Brown,48,34
191,2,3:10.0,,S. Brown makes 2-pt layup from 1 ft,48,36
192,2,3:05.0,J. Hernangómez misses 2-pt layup from 3 ft,,48,36
193,2,3:03.0,Offensive rebound by J. Hernangómez,,48,36
194,2,3:02.0,J. Hernangómez makes 2-pt layup from 1 ft,,50,36
195,2,3:02.0,Shooting foul by S. Brown (drawn by J. Hernangómez),,50,36
196,2,3:02.0,J. Hernangómez makes free throw 1 of 1,,51,36
197,2,2:57.0,,Shooting foul by G. Harris (drawn by E. Bledsoe),51,36
198,2,2:57.0,Denver full timeout,,51,36
199,2,2:57.0,,E. Bledsoe misses free throw 1 of 2,51,36
200,2,2:57.0,,Offensive rebound by Team,51,36
201,2,2:57.0,,E. Bledsoe misses free throw 2 of 2,51,36
202,2,2:51.0,Defensive rebound by N. Jokić,,51,36
203,2,2:39.0,P. Millsap makes 2-pt jump shot from 5 ft (assist by N. Jokić),,53,36
204,2,2:27.0,,S. Brown misses 3-pt jump shot from 26 ft,53,36
205,2,2:24.0,Defensive rebound by J. Murray,,53,36
206,2,2:22.0,Violation by Team (kicked ball),,53,36
207,2,2:22.0,,M. Brogdon enters the game for E. Bledsoe,53,36
208,2,2:22.0,,K. Middleton enters the game for S. Brown,53,36
209,2,2:00.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),53,38
210,2,1:42.0,N. Jokić misses 2-pt layup from 2 ft,,53,38
211,2,1:39.0,,Defensive rebound by M. Brogdon,53,38
212,2,1:34.0,,G. Antetokounmpo misses 3-pt jump shot from 25 ft,53,38
213,2,1:30.0,,Offensive rebound by T. Snell,53,38
214,2,1:27.0,,T. Snell makes 3-pt jump shot from 25 ft (assist by M. Brogdon),53,41
215,2,1:05.0,J. Murray misses 2-pt jump shot from 8 ft,,53,41
216,2,1:03.0,,Defensive rebound by G. Antetokounmpo,53,41
217,2,0:58.0,,G. Antetokounmpo makes 2-pt dunk from 1 ft,53,43
218,2,0:44.0,P. Millsap misses 3-pt jump shot from 24 ft,,53,43
219,2,0:40.0,,Defensive rebound by M. Brogdon,53,43
220,2,0:30.0,,M. Brogdon misses 2-pt jump shot from 7 ft (block by J. Murray),53,43
221,2,0:30.0,Defensive rebound by Team,,53,43
222,2,0:30.0,,P. Connaughton enters the game for T. Snell,53,43
223,2,0:22.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by J. Murray),,56,43
224,2,0:01.0,,B. Lopez makes 3-pt jump shot from 26 ft (assist by M. Brogdon),56,46
225,2,0:00.0,J. Hernangómez misses 2-pt jump shot from 19 ft,,56,46
226,2,0:00.0,Offensive rebound by Team,,56,46
227,3,11:47.0,P. Millsap misses 2-pt layup from 2 ft (block by B. Lopez),,56,46
228,3,11:43.0,,Defensive rebound by K. Middleton,56,46
229,3,11:36.0,,G. Antetokounmpo misses 2-pt jump shot from 9 ft,56,46
230,3,11:33.0,Defensive rebound by J. Murray,,56,46
231,3,11:23.0,N. Jokić misses 2-pt jump shot from 14 ft,,56,46
232,3,11:22.0,Offensive rebound by Team,,56,46
233,3,11:22.0,,Loose ball foul by G. Antetokounmpo (drawn by G. Harris),56,46
234,3,11:18.0,J. Murray misses 3-pt jump shot from 27 ft,,56,46
235,3,11:15.0,,Defensive rebound by G. Antetokounmpo,56,46
236,3,11:11.0,,M. Brogdon makes 2-pt layup from 2 ft (assist by G. Antetokounmpo),56,48
237,3,11:11.0,,Shooting foul by G. Harris (drawn by M. Brogdon),56,48
238,3,11:11.0,,M. Brogdon makes free throw 1 of 1,56,49
239,3,10:55.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by G. Harris),,59,49
240,3,10:37.0,,M. Brogdon misses 2-pt hook shot from 5 ft,59,49
241,3,10:34.0,Defensive rebound by P. Millsap,,59,49
242,3,10:26.0,Turnover by N. Jokić (bad pass),,59,49
243,3,10:16.0,,Shooting foul by J. Hernangómez (drawn by K. Middleton),59,49
244,3,10:16.0,,K. Middleton makes free throw 1 of 3,59,50
245,3,10:16.0,,K. Middleton makes free throw 2 of 3,59,51
246,3,10:16.0,,K. Middleton makes free throw 3 of 3,59,52
247,3,10:06.0,G. Harris misses 2-pt layup from 1 ft,,59,52
248,3,10:03.0,,Defensive rebound by M. Brogdon,59,52
249,3,9:54.0,,G. Antetokounmpo makes 2-pt layup from 3 ft (assist by M. Brogdon),59,54
250,3,9:54.0,Denver full timeout,,59,54
251,3,9:43.0,N. Jokić misses 2-pt jump shot from 14 ft,,59,54
252,3,9:40.0,Offensive rebound by J. Hernangómez,,59,54
253,3,9:37.0,P. Millsap makes 2-pt layup from 1 ft (assist by J. Murray),,61,54
254,3,9:19.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,61,54
255,3,9:18.0,Defensive rebound by Team,,61,54
256,3,9:01.0,G. Harris misses 3-pt jump shot from 26 ft,,61,54
257,3,8:58.0,Offensive rebound by P. Millsap,,61,54
258,3,8:58.0,Offensive foul by J. Hernangómez (drawn by K. Middleton),,61,54
259,3,8:58.0,Turnover by J. Hernangómez (offensive foul),,61,54
260,3,8:42.0,,B. Lopez misses 3-pt jump shot from 27 ft,61,54
261,3,8:38.0,,Offensive rebound by M. Brogdon,61,54
262,3,8:31.0,,Shooting foul by J. Hernangómez (drawn by M. Brogdon),61,54
263,3,8:31.0,,M. Brogdon misses free throw 1 of 2,61,54
264,3,8:31.0,,Offensive rebound by Team,61,54
265,3,8:31.0,,M. Brogdon makes free throw 2 of 2,61,55
266,3,8:25.0,,Technical foul by,61,55
267,3,8:25.0,,K. Middleton makes technical free throw,61,56
268,3,8:13.0,J. Murray makes 3-pt jump shot from 24 ft (assist by N. Jokić),,64,56
269,3,8:05.0,,K. Middleton misses 3-pt jump shot from 29 ft,64,56
270,3,8:05.0,Defensive rebound by P. Millsap,,64,56
271,3,7:59.0,Personal foul by G. Antetokounmpo (drawn by N. Jokić),,64,56
272,3,7:50.0,Turnover by J. Murray (off goaltending),,64,56
273,3,7:29.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,64,58
274,3,7:13.0,N. Jokić misses 3-pt jump shot from 28 ft,,64,58
275,3,7:09.0,,Defensive rebound by G. Antetokounmpo,64,58
276,3,7:04.0,,G. Antetokounmpo misses 2-pt layup from 1 ft,64,58
277,3,7:02.0,,Offensive rebound by G. Antetokounmpo,64,58
278,3,7:02.0,,Turnover by E. Bledsoe (bad pass),64,58
279,3,7:02.0,M. Beasley enters the game for J. Hernangómez,,64,58
280,3,6:47.0,N. Jokić misses 3-pt jump shot from 27 ft,,64,58
281,3,6:43.0,,Defensive rebound by K. Middleton,64,58
282,3,6:36.0,,G. Antetokounmpo makes 2-pt dunk at rim,64,60
283,3,6:22.0,Turnover by N. Jokić (bad pass; steal by E. Bledsoe),,64,60
284,3,6:14.0,,Turnover by G. Antetokounmpo (lost ball; steal by P. Millsap),64,60
285,3,5:51.0,Turnover by Team (shot clock),,64,60
286,3,5:51.0,M. Morris enters the game for J. Murray,,64,60
287,3,5:40.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by E. Bledsoe),64,62
288,3,5:39.0,Denver full timeout,,64,62
289,3,5:27.0,N. Jokić makes 2-pt layup from 1 ft (assist by M. Morris),,66,62
290,3,5:07.0,,B. Lopez misses 3-pt jump shot from 28 ft,66,62
291,3,5:04.0,Defensive rebound by M. Beasley,,66,62
292,3,4:52.0,G. Harris makes 2-pt jump shot from 7 ft (assist by N. Jokić),,68,62
293,3,4:42.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,68,62
294,3,4:39.0,Defensive rebound by M. Beasley,,68,62
295,3,4:21.0,G. Harris misses 2-pt jump shot from 12 ft,,68,62
296,3,4:19.0,,Defensive rebound by B. Lopez,68,62
297,3,4:18.0,,Personal foul by M. Morris (drawn by G. Antetokounmpo),68,62
298,3,4:18.0,,P. Connaughton enters the game for M. Brogdon,68,62
299,3,4:18.0,,E. İlyasova enters the game for B. Lopez,68,62
300,3,4:13.0,,K. Middleton misses 3-pt jump shot from 27 ft,68,62
301,3,4:09.0,Defensive rebound by N. Jokić,,68,62
302,3,4:00.0,Shooting foul by K. Middleton (drawn by P. Millsap),,68,62
303,3,4:00.0,P. Millsap makes free throw 1 of 2,,69,62
304,3,4:00.0,P. Millsap makes free throw 2 of 2,,70,62
305,3,3:46.0,,K. Middleton misses 3-pt jump shot from 24 ft,70,62
306,3,3:46.0,,Offensive rebound by Team,70,62
307,3,3:46.0,Loose ball foul by P. Millsap (drawn by G. Antetokounmpo),,70,62
308,3,3:46.0,,G. Antetokounmpo makes free throw 1 of 2,70,63
309,3,3:46.0,,T. Snell enters the game for K. Middleton,70,63
310,3,3:46.0,,G. Antetokounmpo misses free throw 2 of 2,70,63
311,3,3:40.0,,Offensive rebound by E. İlyasova,70,63
312,3,3:40.0,,E. İlyasova misses 2-pt layup from 1 ft,70,63
313,3,3:36.0,,Offensive rebound by E. İlyasova,70,63
314,3,3:36.0,,E. İlyasova makes 2-pt layup from 1 ft,70,65
315,3,3:18.0,M. Beasley misses 3-pt jump shot from 25 ft,,70,65
316,3,3:15.0,,Defensive rebound by P. Connaughton,70,65
317,3,3:15.0,T. Lyles enters the game for P. Millsap,,70,65
318,3,2:59.0,,G. Antetokounmpo makes 2-pt layup from 4 ft,70,67
319,3,2:46.0,T. Lyles misses 3-pt jump shot from 28 ft,,70,67
320,3,2:42.0,,Defensive rebound by E. Bledsoe,70,67
321,3,2:35.0,,E. Bledsoe makes 2-pt layup from 2 ft,70,69
322,3,2:12.0,N. Jokić misses 3-pt jump shot from 28 ft,,70,69
323,3,2:09.0,,Defensive rebound by G. Antetokounmpo,70,69
324,3,2:06.0,,Milwaukee full timeout,70,69
325,3,2:06.0,J. Murray enters the game for G. Harris,,70,69
326,3,2:06.0,M. Plumlee enters the game for N. Jokić,,70,69
327,3,1:59.0,,G. Antetokounmpo makes 2-pt dunk from 2 ft,70,71
328,3,1:44.0,J. Murray makes 2-pt jump shot from 14 ft,,72,71
329,3,1:37.0,,E. Bledsoe makes 2-pt layup from 2 ft,72,73
330,3,1:12.0,Turnover by J. Murray (bad pass; steal by G. Antetokounmpo),,72,73
331,3,1:08.0,,G. Antetokounmpo makes 2-pt layup from 2 ft,72,75
332,3,1:07.0,Denver full timeout,,72,75
333,3,0:47.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by J. Murray),,75,75
334,3,0:33.0,,E. Bledsoe makes 3-pt jump shot from 28 ft,75,78
335,3,0:26.0,Offensive foul by J. Murray (drawn by E. İlyasova),,75,78
336,3,0:26.0,Turnover by J. Murray (offensive foul),,75,78
337,3,0:10.0,,Turnover by E. Bledsoe (bad pass),75,78
338,3,0:01.0,M. Morris makes 2-pt jump shot from 15 ft,,77,78
339,4,11:48.0,,P. Connaughton misses 3-pt jump shot from 27 ft,77,78
340,4,11:45.0,Defensive rebound by M. Morris,,77,78
341,4,11:30.0,M. Morris makes 2-pt layup from 1 ft,,79,78
342,4,11:17.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,79,78
343,4,11:14.0,,Offensive rebound by P. Connaughton,79,78
344,4,11:12.0,,E. İlyasova misses 2-pt layup from 1 ft,79,78
345,4,11:09.0,,Offensive rebound by G. Antetokounmpo,79,78
346,4,11:03.0,,M. Brogdon makes 2-pt layup at rim (assist by G. Antetokounmpo),79,80
347,4,10:42.0,J. Murray misses 2-pt layup from 9 ft,,79,80
348,4,10:37.0,Offensive rebound by J. Murray,,79,80
349,4,10:27.0,T. Lyles misses 2-pt jump shot from 8 ft,,79,80
350,4,10:24.0,,Defensive rebound by G. Antetokounmpo,79,80
351,4,10:11.0,,G. Antetokounmpo misses 2-pt dunk from 2 ft (block by M. Plumlee),79,80
352,4,10:07.0,Defensive rebound by J. Murray,,79,80
353,4,10:06.0,T. Lyles makes 2-pt layup at rim (assist by M. Plumlee),,81,80
354,4,10:06.0,Shooting foul by T. Snell (drawn by T. Lyles),,81,80
355,4,10:06.0,,B. Lopez enters the game for G. Antetokounmpo,81,80
356,4,10:06.0,,K. Middleton enters the game for P. Connaughton,81,80
357,4,10:06.0,T. Lyles misses free throw 1 of 1,,81,80
358,4,10:02.0,,Defensive rebound by E. İlyasova,81,80
359,4,9:57.0,,M. Brogdon makes 3-pt jump shot from 28 ft (assist by K. Middleton),81,83
360,4,9:34.0,M. Morris makes 2-pt jump shot from 10 ft (assist by J. Murray),,83,83
361,4,9:17.0,,Turnover by M. Brogdon (bad pass),83,83
362,4,9:05.0,M. Morris misses 2-pt jump shot from 7 ft,,83,83
363,4,9:01.0,,Defensive rebound by M. Brogdon,83,83
364,4,8:55.0,,Personal foul by M. Morris (drawn by M. Brogdon),83,83
365,4,8:41.0,,E. İlyasova makes 3-pt jump shot from 27 ft (assist by K. Middleton),83,86
366,4,8:25.0,M. Beasley misses 3-pt jump shot from 28 ft,,83,86
367,4,8:22.0,,Defensive rebound by M. Brogdon,83,86
368,4,8:21.0,,Turnover by M. Brogdon (bad pass),83,86
369,4,8:21.0,,P. Connaughton enters the game for T. Snell,83,86
370,4,8:13.0,Shooting foul by P. Connaughton (drawn by J. Murray),,83,86
371,4,8:13.0,J. Murray misses free throw 1 of 2,,83,86
372,4,8:13.0,Offensive rebound by Team,,83,86
373,4,8:13.0,J. Murray makes free throw 2 of 2,,84,86
374,4,8:00.0,,K. Middleton misses 2-pt jump shot from 7 ft,84,86
375,4,8:00.0,Defensive rebound by Team,,84,86
