,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,CHICAGO_ACTION,LA LAKERS_SCORE,CHICAGO_SCORE
82,1,1:53.0,,Offensive foul by W. Selden (drawn by R. Rondo),16,29
83,1,1:53.0,,Turnover by W. Selden (offensive foul),16,29
84,1,1:41.0,Turnover by R. Rondo (bad pass; steal by T. Luwawu-Cabarrot),,16,29
85,1,1:21.0,,R. Arcidiacono makes 3-pt jump shot from 23 ft (assist by R. Lopez),16,32
86,1,1:05.0,R. Rondo misses 2-pt layup from 5 ft,,16,32
87,1,1:03.0,,Defensive rebound by W. Selden,16,32
88,1,1:00.0,,W. Selden misses 2-pt jump shot from 13 ft,16,32
89,1,0:57.0,Defensive rebound by K. Caldwell-Pope,,16,32
90,1,0:51.0,Personal foul by S. Harrison (drawn by K. Caldwell-Pope),,16,32
91,1,0:36.0,M. Wagner misses 3-pt jump shot from 25 ft,,16,32
92,1,0:31.0,,Defensive rebound by W. Selden,16,32
93,1,0:12.0,,R. Lopez makes 2-pt hook shot at rim,16,34
94,1,0:01.0,R. Rondo misses 3-pt jump shot from 26 ft,,16,34
95,1,0:01.0,,Defensive rebound by R. Arcidiacono,16,34
96,2,12:00.0,Violation by Team (delay of game),,16,34
97,2,11:49.0,Turnover by L. James (bad pass; steal by R. Arcidiacono),,16,34
98,2,11:43.0,,Personal foul by K. Caldwell-Pope (drawn by S. Harrison),16,34
99,2,11:31.0,,R. Arcidiacono makes 2-pt jump shot from 13 ft,16,36
100,2,11:17.0,Personal foul by R. Arcidiacono (drawn by L. James),,16,36
101,2,11:05.0,L. James makes 2-pt layup from 2 ft,,18,36
102,2,10:47.0,,Offensive foul by C. Felício (drawn by K. Caldwell-Pope),18,36
103,2,10:47.0,,Turnover by C. Felício (offensive foul),18,36
104,2,10:31.0,A. Caruso makes 3-pt jump shot from 26 ft (assist by L. James),,21,36
105,2,10:16.0,,Turnover by R. Arcidiacono (lost ball; steal by A. Caruso),21,36
106,2,10:13.0,M. Wagner makes 2-pt layup from 2 ft,,23,36
107,2,10:13.0,,Violation by Team (def goaltending),23,36
108,2,9:55.0,,O. Porter misses 2-pt jump shot from 15 ft,23,36
109,2,9:53.0,Defensive rebound by L. James,,23,36
110,2,9:44.0,Personal foul by C. Felício (drawn by L. James),,23,36
111,2,9:44.0,,K. Dunn enters the game for S. Harrison,23,36
112,2,9:31.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by M. Wagner),,26,36
113,2,9:12.0,,Turnover by K. Dunn (traveling),26,36
114,2,9:02.0,J. Hart misses 3-pt jump shot from 24 ft,,26,36
115,2,8:59.0,,Defensive rebound by K. Dunn,26,36
116,2,8:52.0,,K. Dunn makes 2-pt jump shot from 6 ft,26,38
117,2,8:41.0,M. Wagner makes 3-pt jump shot from 25 ft (assist by J. Hart),,29,38
118,2,8:29.0,,Turnover by O. Porter (lost ball; steal by K. Caldwell-Pope),29,38
119,2,8:26.0,K. Caldwell-Pope makes 2-pt dunk at rim,,31,38
120,2,8:26.0,,Chicago full timeout,31,38
121,2,8:26.0,Technical foul by J. Boylen,,31,38
122,2,8:26.0,K. Caldwell-Pope makes technical free throw,,32,38
123,2,8:26.0,,L. Markkanen enters the game for C. Felício,32,38
124,2,8:05.0,,Shooting foul by M. Wagner (drawn by R. Arcidiacono),32,38
125,2,8:05.0,,R. Arcidiacono makes free throw 1 of 2,32,39
126,2,8:05.0,K. Kuzma enters the game for M. Wagner,,32,39
127,2,8:05.0,,W. Selden enters the game for O. Porter,32,39
128,2,8:05.0,,R. Arcidiacono makes free throw 2 of 2,32,40
129,2,7:55.0,Personal foul by K. Dunn (drawn by A. Caruso),,32,40
130,2,7:48.0,L. James makes 2-pt layup from 2 ft (assist by A. Caruso),,34,40
131,2,7:31.0,,T. Luwawu-Cabarrot misses 2-pt layup from 1 ft,34,40
132,2,7:30.0,Defensive rebound by K. Caldwell-Pope,,34,40
133,2,7:26.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,34,40
134,2,7:25.0,,Defensive rebound by Team,34,40
135,2,7:13.0,,R. Arcidiacono makes 3-pt jump shot from 25 ft (assist by K. Dunn),34,43
136,2,7:02.0,L. James makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),,36,43
137,2,6:45.0,,Shooting foul by A. Caruso (drawn by L. Markkanen),36,43
138,2,6:45.0,,L. Markkanen makes free throw 1 of 2,36,44
139,2,6:45.0,,L. Markkanen makes free throw 2 of 2,36,45
140,2,6:39.0,Personal foul by T. Luwawu-Cabarrot (drawn by K. Caldwell-Pope),,36,45
141,2,6:26.0,K. Kuzma misses 2-pt layup from 2 ft,,36,45
142,2,6:23.0,Offensive rebound by K. Caldwell-Pope,,36,45
143,2,6:21.0,Offensive foul by K. Caldwell-Pope (drawn by R. Arcidiacono),,36,45
144,2,6:21.0,Turnover by K. Caldwell-Pope (offensive foul),,36,45
145,2,6:21.0,,S. Harrison enters the game for R. Arcidiacono,36,45
146,2,6:14.0,,L. Markkanen misses 3-pt jump shot from 26 ft,36,45
147,2,6:13.0,Defensive rebound by L. James,,36,45
148,2,5:57.0,L. James makes 2-pt dunk at rim,,38,45
149,2,5:42.0,,W. Selden makes 3-pt jump shot from 25 ft (assist by K. Dunn),38,48
150,2,5:27.0,Personal foul by K. Dunn (drawn by L. James),,38,48
151,2,5:27.0,L. James makes free throw 1 of 2,,39,48
152,2,5:27.0,L. James makes free throw 2 of 2,,40,48
153,2,5:27.0,R. Bullock enters the game for J. Hart,,40,48
154,2,5:17.0,,K. Dunn misses 2-pt jump shot from 18 ft,40,48
155,2,5:17.0,,Offensive rebound by L. Markkanen,40,48
156,2,5:12.0,,Offensive foul by L. Markkanen (drawn by K. Caldwell-Pope),40,48
157,2,5:12.0,,Turnover by L. Markkanen (offensive foul),40,48
158,2,4:59.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,43,48
159,2,4:39.0,,W. Selden makes 3-pt jump shot from 26 ft (assist by K. Dunn),43,51
160,2,4:37.0,LA Lakers full timeout,,43,51
161,2,4:37.0,J. McGee enters the game for A. Caruso,,43,51
162,2,4:37.0,,R. Lopez enters the game for T. Luwawu-Cabarrot,43,51
163,2,4:37.0,,O. Porter enters the game for L. Markkanen,43,51
164,2,4:28.0,Personal foul by K. Dunn (drawn by L. James),,43,51
165,2,4:28.0,L. James makes free throw 1 of 2,,44,51
166,2,4:28.0,,R. Arcidiacono enters the game for K. Dunn,44,51
167,2,4:28.0,L. James makes free throw 2 of 2,,45,51
168,2,4:12.0,,R. Lopez makes 2-pt hook shot from 5 ft,45,53
169,2,3:56.0,R. Bullock misses 2-pt layup from 2 ft,,45,53
170,2,3:53.0,,Defensive rebound by S. Harrison,45,53
171,2,3:44.0,,S. Harrison misses 2-pt layup from 3 ft,45,53
172,2,3:42.0,Defensive rebound by R. Bullock,,45,53
173,2,3:36.0,J. McGee makes 2-pt dunk at rim (assist by L. James),,47,53
174,2,3:15.0,,R. Lopez makes 2-pt jump shot from 3 ft (assist by O. Porter),47,55
175,2,3:04.0,K. Kuzma makes 2-pt hook shot from 5 ft,,49,55
176,2,2:47.0,,R. Lopez misses 2-pt hook shot from 8 ft,49,55
177,2,2:47.0,Defensive rebound by L. James,,49,55
178,2,2:37.0,L. James misses 2-pt jump shot from 24 ft,,49,55
179,2,2:34.0,,Defensive rebound by R. Arcidiacono,49,55
180,2,2:29.0,,O. Porter misses 3-pt jump shot from 25 ft,49,55
181,2,2:26.0,Defensive rebound by K. Kuzma,,49,55
182,2,2:11.0,L. James misses 2-pt layup from 2 ft,,49,55
183,2,2:07.0,Offensive rebound by L. James,,49,55
184,2,2:07.0,L. James makes 2-pt layup from 1 ft,,51,55
185,2,1:55.0,,W. Selden makes 3-pt jump shot from 26 ft (assist by R. Arcidiacono),51,58
186,2,1:53.0,LA Lakers full timeout,,51,58
187,2,1:53.0,R. Rondo enters the game for L. James,,51,58
188,2,1:36.0,K. Kuzma misses 2-pt hook shot from 4 ft,,51,58
189,2,1:34.0,,Defensive rebound by R. Lopez,51,58
190,2,1:23.0,,Shooting foul by J. McGee (drawn by O. Porter),51,58
191,2,1:23.0,,O. Porter makes free throw 1 of 2,51,59
192,2,1:23.0,,O. Porter makes free throw 2 of 2,51,60
193,2,1:07.0,K. Caldwell-Pope makes 2-pt layup from 2 ft,,53,60
194,2,0:50.0,,Turnover by W. Selden (lost ball; steal by R. Bullock),53,60
195,2,0:34.0,K. Kuzma makes 2-pt layup from 2 ft (assist by R. Rondo),,55,60
196,2,0:20.0,,R. Lopez misses 2-pt hook shot from 6 ft,55,60
197,2,0:17.0,Defensive rebound by R. Rondo,,55,60
198,2,0:02.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,55,60
199,2,0:02.0,,Defensive rebound by O. Porter,55,60
200,3,11:45.0,L. James makes 2-pt layup from 1 ft,,57,60
201,3,11:24.0,,R. Arcidiacono misses 2-pt jump shot from 9 ft,57,60
202,3,11:22.0,,Offensive rebound by R. Lopez,57,60
203,3,11:20.0,,K. Dunn misses 3-pt jump shot from 26 ft,57,60
204,3,11:17.0,Defensive rebound by J. McGee,,57,60
205,3,11:13.0,R. Bullock misses 3-pt jump shot from 26 ft,,57,60
206,3,11:10.0,,Defensive rebound by K. Dunn,57,60
207,3,11:01.0,,K. Dunn makes 2-pt jump shot from 8 ft,57,62
208,3,10:36.0,L. James misses 2-pt jump shot from 20 ft,,57,62
209,3,10:33.0,,Defensive rebound by K. Dunn,57,62
210,3,10:26.0,,K. Dunn makes 2-pt layup from 2 ft,57,64
211,3,10:11.0,R. Bullock misses 3-pt jump shot from 22 ft,,57,64
212,3,10:07.0,,Defensive rebound by O. Porter,57,64
213,3,10:02.0,,O. Porter misses 3-pt jump shot from 25 ft,57,64
214,3,9:59.0,Defensive rebound by L. James,,57,64
215,3,9:53.0,L. James makes 2-pt jump shot from 10 ft,,59,64
216,3,9:40.0,,Turnover by K. Dunn (bad pass; steal by K. Kuzma),59,64
217,3,9:35.0,L. James makes 2-pt dunk at rim (assist by K. Kuzma),,61,64
218,3,9:14.0,,R. Lopez misses 2-pt hook shot from 3 ft,61,64
219,3,9:12.0,Defensive rebound by R. Bullock,,61,64
220,3,9:11.0,R. Bullock makes 2-pt jump shot from 3 ft,,63,64
221,3,9:11.0,Shooting foul by L. Markkanen (drawn by R. Bullock),,63,64
222,3,9:11.0,R. Bullock makes free throw 1 of 1,,64,64
223,3,8:53.0,,K. Dunn misses 2-pt layup from 2 ft,64,64
224,3,8:49.0,Defensive rebound by L. James,,64,64
225,3,8:48.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),,66,64
226,3,8:48.0,,Chicago full timeout,66,64
227,3,8:36.0,,Shooting foul by L. James (drawn by R. Lopez),66,64
228,3,8:36.0,,R. Lopez makes free throw 1 of 2,66,65
229,3,8:36.0,,R. Lopez makes free throw 2 of 2,66,66
230,3,8:33.0,Personal foul by O. Porter (drawn by L. James),,66,66
231,3,8:19.0,J. McGee misses 2-pt hook shot from 5 ft,,66,66
232,3,8:17.0,,Defensive rebound by O. Porter,66,66
233,3,8:04.0,,K. Dunn makes 3-pt jump shot from 26 ft (assist by R. Lopez),66,69
234,3,7:52.0,L. James misses 2-pt layup from 6 ft,,66,69
235,3,7:47.0,Offensive rebound by J. McGee,,66,69
236,3,7:46.0,R. Rondo makes 3-pt jump shot from 24 ft (assist by K. Kuzma),,69,69
237,3,7:31.0,,O. Porter makes 2-pt layup from 3 ft (assist by K. Dunn),69,71
238,3,7:31.0,,Shooting foul by L. James (drawn by O. Porter),69,71
239,3,7:31.0,,O. Porter makes free throw 1 of 1,69,72
240,3,7:18.0,K. Kuzma makes 2-pt jump shot from 6 ft (assist by R. Rondo),,71,72
241,3,7:10.0,,Personal foul by K. Kuzma (drawn by L. Markkanen),71,72
242,3,7:04.0,,O. Porter makes 3-pt jump shot from 25 ft (assist by R. Arcidiacono),71,75
243,3,6:51.0,Turnover by R. Rondo (bad pass; steal by R. Arcidiacono),,71,75
244,3,6:48.0,,L. Markkanen makes 2-pt dunk at rim (assist by O. Porter),71,77
245,3,6:48.0,LA Lakers full timeout,,71,77
246,3,6:27.0,Turnover by L. James (bad pass),,71,77
247,3,6:13.0,,R. Lopez makes 2-pt layup from 2 ft (assist by R. Arcidiacono),71,79
248,3,5:58.0,Shooting foul by K. Dunn (drawn by K. Kuzma),,71,79
249,3,5:58.0,,S. Harrison enters the game for K. Dunn,71,79
250,3,5:58.0,K. Kuzma misses free throw 1 of 2,,71,79
251,3,5:58.0,Offensive rebound by Team,,71,79
252,3,5:58.0,K. Kuzma misses free throw 2 of 2,,71,79
253,3,5:58.0,,Defensive rebound by O. Porter,71,79
254,3,5:41.0,,L. Markkanen misses 3-pt jump shot from 24 ft,71,79
255,3,5:38.0,Defensive rebound by J. McGee,,71,79
256,3,5:32.0,K. Kuzma misses 2-pt layup from 2 ft,,71,79
257,3,5:30.0,,Defensive rebound by R. Lopez,71,79
258,3,5:26.0,,O. Porter misses 2-pt jump shot from 23 ft,71,79
259,3,5:21.0,Defensive rebound by J. McGee,,71,79
260,3,5:16.0,L. James makes 3-pt jump shot from 26 ft,,74,79
261,3,4:54.0,,L. Markkanen misses 2-pt jump shot from 13 ft,74,79
262,3,4:52.0,,Offensive rebound by R. Lopez,74,79
263,3,4:52.0,,R. Lopez makes 2-pt layup from 1 ft,74,81
264,3,4:46.0,K. Kuzma makes 2-pt layup from 2 ft,,76,81
265,3,4:20.0,,S. Harrison misses 2-pt layup from 2 ft,76,81
266,3,4:20.0,Defensive rebound by J. McGee,,76,81
267,3,4:14.0,R. Bullock makes 3-pt jump shot from 23 ft (assist by R. Rondo),,79,81
268,3,3:54.0,,R. Arcidiacono misses 3-pt jump shot from 25 ft,79,81
269,3,3:51.0,Defensive rebound by J. McGee,,79,81
270,3,3:47.0,R. Bullock misses 3-pt jump shot from 25 ft,,79,81
271,3,3:45.0,Offensive rebound by R. Rondo,,79,81
272,3,3:42.0,R. Bullock misses 3-pt jump shot from 24 ft,,79,81
273,3,3:37.0,,Defensive rebound by O. Porter,79,81
274,3,3:28.0,,L. Markkanen misses 3-pt jump shot from 25 ft,79,81
275,3,3:25.0,Defensive rebound by R. Rondo,,79,81
276,3,3:24.0,K. Kuzma makes 2-pt layup from 1 ft (assist by R. Rondo),,81,81
277,3,3:24.0,Shooting foul by R. Arcidiacono (drawn by K. Kuzma),,81,81
278,3,3:24.0,K. Caldwell-Pope enters the game for R. Bullock,,81,81
279,3,3:24.0,J. Hart enters the game for L. James,,81,81
280,3,3:24.0,,W. Selden enters the game for O. Porter,81,81
281,3,3:24.0,K. Kuzma makes free throw 1 of 1,,82,81
282,3,3:06.0,,L. Markkanen makes 2-pt layup from 1 ft (assist by R. Lopez),82,83
283,3,3:06.0,,Shooting foul by R. Rondo (drawn by L. Markkanen),82,83
284,3,3:06.0,,A. Blakeney enters the game for R. Arcidiacono,82,83
285,3,3:06.0,,L. Markkanen makes free throw 1 of 1,82,84
286,3,2:55.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by R. Rondo),,85,84
287,3,2:34.0,,Turnover by S. Harrison (bad pass; steal by J. McGee),85,84
288,3,2:27.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by R. Rondo),,88,84
289,3,2:19.0,,Chicago full timeout,88,84
290,3,2:19.0,,K. Dunn enters the game for L. Markkanen,88,84
291,3,2:05.0,,W. Selden misses 2-pt jump shot from 21 ft,88,84
292,3,2:02.0,Defensive rebound by K. Kuzma,,88,84
293,3,1:59.0,Personal foul by R. Lopez (drawn by J. McGee),,88,84
294,3,1:59.0,J. McGee makes free throw 1 of 2,,89,84
295,3,1:59.0,J. McGee makes free throw 2 of 2,,90,84
296,3,1:46.0,,R. Lopez misses 2-pt layup from 4 ft (block by J. McGee),90,84
297,3,1:43.0,Defensive rebound by K. Caldwell-Pope,,90,84
298,3,1:39.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by K. Kuzma),,93,84
299,3,1:37.0,,Chicago full timeout,93,84
300,3,1:37.0,,Violation by Team (delay of game),93,84
301,3,1:37.0,,Technical foul by W. Selden,93,84
302,3,1:37.0,K. Caldwell-Pope makes technical free throw,,94,84
303,3,1:37.0,,Technical foul by W. Selden,94,84
304,3,1:37.0,K. Caldwell-Pope makes technical free throw,,95,84
305,3,1:37.0,,W. Selden ejected from game,95,84
306,3,1:37.0,,L. Markkanen enters the game for W. Selden,95,84
307,3,1:18.0,,Turnover by L. Markkanen (lost ball; steal by R. Rondo),95,84
308,3,1:14.0,J. Hart misses 3-pt jump shot from 23 ft,,95,84
309,3,1:10.0,,Defensive rebound by K. Dunn,95,84
310,3,1:04.0,,L. Markkanen misses 3-pt jump shot from 24 ft,95,84
311,3,1:01.0,Defensive rebound by J. McGee,,95,84
312,3,0:53.0,K. Kuzma misses 2-pt layup from 1 ft,,95,84
313,3,0:52.0,,Defensive rebound by R. Lopez,95,84
314,3,0:40.0,,S. Harrison misses 2-pt layup from 2 ft,95,84
315,3,0:38.0,Defensive rebound by K. Caldwell-Pope,,95,84
316,3,0:23.0,R. Rondo makes 3-pt jump shot from 26 ft,,98,84
317,3,0:04.0,,Turnover by K. Dunn (bad pass),98,84
318,3,0:04.0,A. Ingram enters the game for J. McGee,,98,84
319,3,0:00.0,K. Kuzma misses 2-pt layup from 2 ft,,98,84
320,3,0:00.0,Offensive rebound by Team,,98,84
321,4,11:46.0,,L. Markkanen misses 2-pt layup from 3 ft,98,84
322,4,11:41.0,,Offensive rebound by C. Felício,98,84
323,4,11:41.0,,C. Felício makes 2-pt layup from 1 ft,98,86
324,4,11:36.0,Turnover by A. Caruso (lost ball; steal by S. Harrison),,98,86
325,4,11:32.0,,S. Harrison makes 2-pt dunk from 1 ft,98,88
326,4,11:25.0,Turnover by A. Caruso (out of bounds lost ball),,98,88
327,4,11:07.0,,A. Blakeney misses 3-pt jump shot from 25 ft (block by J. Hart),98,88
328,4,11:05.0,,Offensive rebound by C. Felício,98,88
329,4,11:05.0,,C. Felício makes 2-pt layup from 1 ft,98,90
330,4,10:44.0,M. Wagner misses 3-pt jump shot from 24 ft,,98,90
331,4,10:41.0,,Defensive rebound by C. Felício,98,90
332,4,10:27.0,,K. Dunn misses 2-pt jump shot from 16 ft,98,90
333,4,10:25.0,Defensive rebound by M. Wagner,,98,90
334,4,10:18.0,Turnover by L. James (bad pass; steal by K. Dunn),,98,90
335,4,10:11.0,,A. Blakeney makes 2-pt jump shot from 18 ft (assist by K. Dunn),98,92
336,4,10:07.0,LA Lakers full timeout,,98,92
337,4,10:07.0,M. Muscala enters the game for M. Wagner,,98,92
338,4,9:59.0,L. James makes 2-pt layup from 1 ft,,100,92
339,4,9:59.0,Shooting foul by L. Markkanen (drawn by L. James),,100,92
340,4,9:59.0,L. James misses free throw 1 of 1,,100,92
341,4,9:55.0,,Defensive rebound by C. Felício,100,92
342,4,9:36.0,,Turnover by S. Harrison (bad pass; steal by L. James),100,92
343,4,9:32.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,,100,92
344,4,9:31.0,Offensive rebound by Team,,100,92
345,4,9:31.0,,O. Porter enters the game for S. Harrison,100,92
346,4,9:23.0,Turnover by L. James (out of bounds lost ball),,100,92
347,4,9:10.0,,C. Felício makes 2-pt dunk from 1 ft (assist by K. Dunn),100,94
348,4,8:48.0,L. James misses 3-pt jump shot from 25 ft,,100,94
349,4,8:45.0,,Defensive rebound by A. Blakeney,100,94
350,4,8:38.0,,A. Blakeney makes 2-pt jump shot from 12 ft,100,96
351,4,8:24.0,Personal foul by A. Blakeney (drawn by M. Muscala),,100,96
352,4,8:24.0,J. McGee enters the game for A. Caruso,,100,96
353,4,8:24.0,,R. Lopez enters the game for C. Felício,100,96
354,4,8:15.0,L. James makes 2-pt jump shot from 18 ft,,102,96
355,4,8:03.0,,K. Dunn misses 2-pt jump shot from 14 ft,102,96
356,4,8:01.0,Defensive rebound by J. McGee,,102,96
357,4,7:49.0,L. James misses 2-pt jump shot from 20 ft,,102,96
358,4,7:46.0,,Defensive rebound by O. Porter,102,96
359,4,7:39.0,,L. Markkanen misses 3-pt jump shot from 24 ft,102,96
360,4,7:35.0,Defensive rebound by L. James,,102,96
361,4,7:17.0,L. James makes 3-pt jump shot from 26 ft,,105,96
362,4,6:56.0,,O. Porter makes 3-pt jump shot from 24 ft,105,99
363,4,6:30.0,L. James makes 2-pt dunk from 1 ft,,107,99
364,4,6:17.0,,O. Porter misses 3-pt jump shot from 25 ft,107,99
365,4,6:15.0,Defensive rebound by J. Hart,,107,99
366,4,5:57.0,Shooting foul by A. Blakeney (drawn by K. Caldwell-Pope),,107,99
367,4,5:57.0,K. Caldwell-Pope makes free throw 1 of 3,,108,99
368,4,5:57.0,K. Caldwell-Pope makes free throw 2 of 3,,109,99
369,4,5:57.0,K. Kuzma enters the game for M. Muscala,,109,99
370,4,5:57.0,,R. Arcidiacono enters the game for A. Blakeney,109,99
371,4,5:57.0,K. Caldwell-Pope makes free throw 3 of 3,,110,99
372,4,5:39.0,,R. Lopez makes 2-pt hook shot from 6 ft (assist by K. Dunn),110,101
373,4,5:23.0,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. James),,113,101
374,4,5:15.0,,Personal foul by K. Kuzma (drawn by K. Dunn),113,101
375,4,5:09.0,,O. Porter misses 2-pt jump shot from 17 ft,113,101
376,4,5:05.0,,Offensive rebound by K. Dunn,113,101
377,4,5:03.0,,Turnover by O. Porter (bad pass; steal by L. James),113,101
378,4,5:00.0,L. James makes 2-pt dunk from 1 ft (assist by J. Hart),,115,101
379,4,5:00.0,,Chicago full timeout,115,101
