,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DETROIT_ACTION,LA LAKERS_SCORE,DETROIT_SCORE
29,1,8:40.0,,B. Brown makes 2-pt layup from 1 ft (assist by B. Griffin),6,6
30,1,8:22.0,M. Muscala makes 2-pt hook shot from 3 ft (assist by R. Bullock),,8,6
31,1,8:03.0,,B. Griffin misses 2-pt layup from 3 ft,8,6
32,1,8:01.0,Defensive rebound by J. McGee,,8,6
33,1,8:00.0,Turnover by R. Bullock (bad pass; steal by W. Ellington),,8,6
34,1,7:53.0,,B. Griffin makes 3-pt jump shot from 23 ft (assist by W. Ellington),8,9
35,1,7:34.0,K. Kuzma makes 2-pt layup from 3 ft,,10,9
36,1,7:23.0,,B. Griffin misses 3-pt jump shot from 26 ft,10,9
37,1,7:20.0,Defensive rebound by R. Rondo,,10,9
38,1,7:17.0,K. Kuzma misses 3-pt jump shot from 26 ft,,10,9
39,1,7:14.0,,Defensive rebound by A. Drummond,10,9
40,1,7:01.0,,A. Drummond makes 2-pt dunk from 2 ft (assist by B. Griffin),10,11
41,1,6:43.0,R. Bullock misses 3-pt jump shot from 26 ft,,10,11
42,1,6:41.0,,Defensive rebound by B. Brown,10,11
43,1,6:37.0,,B. Brown misses 2-pt layup from 5 ft (block by J. McGee),10,11
44,1,6:33.0,Defensive rebound by R. Bullock,,10,11
45,1,6:31.0,K. Kuzma misses 2-pt layup from 1 ft,,10,11
46,1,6:31.0,,Defensive rebound by Team,10,11
47,1,6:31.0,,Detroit full timeout,10,11
48,1,6:11.0,,Turnover by R. Jackson (out of bounds lost ball),10,11
49,1,5:50.0,K. Kuzma misses 2-pt jump shot from 12 ft,,10,11
50,1,5:50.0,,Defensive rebound by Team,10,11
51,1,5:35.0,,Def 3 sec tech foul by Team,10,11
52,1,5:35.0,,R. Jackson makes technical free throw,10,12
53,1,5:32.0,,Personal foul by R. Rondo (drawn by B. Griffin),10,12
54,1,5:24.0,,Personal foul by J. McGee (drawn by B. Griffin),10,12
55,1,5:24.0,,B. Griffin misses free throw 1 of 2,10,12
56,1,5:24.0,,Offensive rebound by Team,10,12
57,1,5:24.0,M. Wagner enters the game for J. McGee,,10,12
58,1,5:24.0,,B. Griffin makes free throw 2 of 2,10,13
59,1,5:12.0,R. Bullock misses 3-pt jump shot from 27 ft,,10,13
60,1,5:10.0,,Defensive rebound by A. Drummond,10,13
61,1,4:58.0,,W. Ellington misses 3-pt jump shot from 27 ft,10,13
62,1,4:56.0,Defensive rebound by R. Bullock,,10,13
63,1,4:53.0,Turnover by R. Bullock (out of bounds lost ball),,10,13
64,1,4:44.0,,B. Griffin misses 2-pt layup from 1 ft,10,13
65,1,4:40.0,Defensive rebound by M. Muscala,,10,13
66,1,4:36.0,M. Wagner misses 3-pt jump shot from 27 ft,,10,13
67,1,4:32.0,,Defensive rebound by W. Ellington,10,13
68,1,4:24.0,,R. Jackson misses 2-pt jump shot from 8 ft,10,13
69,1,4:21.0,Defensive rebound by M. Muscala,,10,13
70,1,4:19.0,Turnover by R. Bullock (out of bounds lost ball),,10,13
71,1,4:19.0,K. Caldwell-Pope enters the game for R. Bullock,,10,13
72,1,4:19.0,,L. Kennard enters the game for W. Ellington,10,13
73,1,4:08.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by R. Jackson),10,15
74,1,4:08.0,LA Lakers full timeout,,10,15
75,1,4:08.0,J. Williams enters the game for M. Muscala,,10,15
76,1,4:08.0,,L. Galloway enters the game for B. Brown,10,15
77,1,3:51.0,K. Kuzma makes 2-pt layup from 6 ft (assist by M. Wagner),,12,15
78,1,3:37.0,,Turnover by B. Griffin (back court),12,15
79,1,3:23.0,Turnover by M. Wagner (lost ball; steal by R. Jackson),,12,15
80,1,3:19.0,,B. Griffin makes 2-pt layup at rim (assist by R. Jackson),12,17
81,1,3:11.0,J. Williams makes 2-pt dunk from 3 ft (assist by R. Rondo),,14,17
82,1,2:56.0,,Turnover by B. Griffin (lost ball; steal by R. Rondo),14,17
83,1,2:55.0,Turnover by K. Caldwell-Pope (out of bounds lost ball),,14,17
84,1,2:34.0,,R. Jackson misses 3-pt jump shot from 23 ft,14,17
85,1,2:31.0,Defensive rebound by J. Williams,,14,17
86,1,2:27.0,K. Caldwell-Pope misses 3-pt jump shot from 22 ft,,14,17
87,1,2:23.0,,Defensive rebound by A. Drummond,14,17
88,1,2:16.0,,R. Jackson makes 3-pt jump shot from 28 ft (assist by B. Griffin),14,20
89,1,1:58.0,J. Williams misses 2-pt dunk from 1 ft (block by A. Drummond),,14,20
90,1,1:55.0,,Defensive rebound by L. Galloway,14,20
91,1,1:52.0,,R. Jackson misses 3-pt jump shot from 27 ft,14,20
92,1,1:49.0,Defensive rebound by K. Kuzma,,14,20
93,1,1:39.0,Shooting foul by A. Drummond (drawn by M. Wagner),,14,20
94,1,1:39.0,M. Wagner makes free throw 1 of 2,,15,20
95,1,1:39.0,A. Caruso enters the game for R. Rondo,,15,20
96,1,1:39.0,,T. Maker enters the game for B. Griffin,15,20
97,1,1:39.0,,I. Smith enters the game for R. Jackson,15,20
98,1,1:39.0,M. Wagner makes free throw 2 of 2,,16,20
99,1,1:20.0,,L. Kennard misses 3-pt jump shot from 26 ft,16,20
100,1,1:18.0,Defensive rebound by M. Wagner,,16,20
101,1,1:11.0,A. Caruso misses 2-pt layup from 2 ft,,16,20
102,1,1:08.0,,Defensive rebound by L. Kennard,16,20
103,1,1:03.0,,T. Maker makes 3-pt jump shot from 28 ft (assist by L. Kennard),16,23
104,1,0:52.0,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by A. Caruso),,19,23
105,1,0:40.0,,L. Kennard misses 2-pt jump shot from 8 ft,19,23
106,1,0:38.0,,Offensive rebound by A. Drummond,19,23
107,1,0:37.0,,A. Drummond misses 2-pt layup from 1 ft,19,23
108,1,0:37.0,,Offensive rebound by A. Drummond,19,23
109,1,0:37.0,,A. Drummond misses 2-pt layup from 2 ft,19,23
110,1,0:37.0,,Offensive rebound by A. Drummond,19,23
111,1,0:32.0,,A. Drummond makes 2-pt layup from 1 ft,19,25
112,1,0:17.0,Personal foul by T. Maker (drawn by M. Wagner),,19,25
113,1,0:17.0,M. Wagner makes free throw 1 of 2,,20,25
114,1,0:17.0,M. Wagner misses free throw 2 of 2,,20,25
115,1,0:16.0,Offensive rebound by Team,,20,25
116,1,0:16.0,Personal foul by T. Maker (drawn by J. Williams),,20,25
117,1,0:16.0,J. Williams makes free throw 1 of 2,,21,25
118,1,0:16.0,J. Williams makes free throw 2 of 2,,22,25
119,1,0:01.0,,L. Galloway makes 2-pt jump shot from 17 ft (assist by L. Kennard),22,27
120,2,11:38.0,,Personal foul by M. Muscala (drawn by T. Maker),22,27
121,2,11:25.0,,L. Kennard misses 3-pt jump shot from 27 ft,22,27
122,2,11:22.0,,Offensive rebound by L. Galloway,22,27
123,2,11:13.0,,I. Smith misses 2-pt jump shot from 2 ft,22,27
124,2,11:12.0,,Offensive rebound by I. Smith,22,27
125,2,11:07.0,,T. Maker misses 3-pt jump shot from 26 ft,22,27
126,2,11:04.0,Defensive rebound by I. Bonga,,22,27
127,2,10:53.0,I. Bonga misses 3-pt jump shot from 27 ft,,22,27
128,2,10:50.0,Offensive rebound by J. Williams,,22,27
129,2,10:44.0,J. Williams misses 2-pt hook shot from 2 ft,,22,27
130,2,10:43.0,Offensive rebound by I. Bonga,,22,27
131,2,10:38.0,I. Bonga misses 2-pt jump shot from 19 ft,,22,27
132,2,10:35.0,,Defensive rebound by Team,22,27
133,2,10:16.0,,L. Galloway makes 2-pt jump shot from 21 ft,22,29
134,2,9:58.0,I. Bonga misses 2-pt jump shot from 11 ft,,22,29
135,2,9:56.0,,Defensive rebound by Z. Pachulia,22,29
136,2,9:51.0,,Personal foul by J. Williams (drawn by Z. Pachulia),22,29
137,2,9:41.0,,Turnover by T. Maker (bad pass; steal by J. Williams),22,29
138,2,9:18.0,Turnover by J. Williams (lost ball; steal by T. Maker),,22,29
139,2,9:12.0,,L. Galloway misses 3-pt jump shot from 23 ft,22,29
140,2,9:10.0,Defensive rebound by I. Bonga,,22,29
141,2,9:03.0,Turnover by K. Caldwell-Pope (step out of bounds),,22,29
142,2,8:50.0,,Turnover by L. Kennard (bad pass; steal by A. Caruso),22,29
143,2,8:49.0,Clear path foul by L. Kennard,,22,29
144,2,8:49.0,A. Caruso makes clear path free throw 1 of 2,,23,29
145,2,8:49.0,A. Caruso makes clear path free throw 2 of 2,,24,29
146,2,8:49.0,M. Wagner enters the game for J. Williams,,24,29
147,2,8:39.0,Shooting foul by Z. Pachulia (drawn by A. Caruso),,24,29
148,2,8:39.0,A. Caruso misses free throw 1 of 2,,24,29
149,2,8:39.0,Offensive rebound by Team,,24,29
150,2,8:39.0,A. Caruso misses free throw 2 of 2,,24,29
151,2,8:36.0,,Defensive rebound by I. Smith,24,29
152,2,8:24.0,,Shooting foul by M. Wagner (drawn by Z. Pachulia),24,29
153,2,8:24.0,,Z. Pachulia misses free throw 1 of 2,24,29
154,2,8:24.0,,Offensive rebound by Team,24,29
155,2,8:24.0,R. Rondo enters the game for I. Bonga,,24,29
156,2,8:24.0,,Z. Pachulia makes free throw 2 of 2,24,30
157,2,8:08.0,R. Rondo misses 2-pt hook shot from 8 ft,,24,30
158,2,8:06.0,,Defensive rebound by I. Smith,24,30
159,2,7:55.0,,L. Kennard misses 2-pt jump shot from 20 ft,24,30
160,2,7:53.0,,Offensive rebound by T. Maker,24,30
161,2,7:51.0,,Offensive foul by Z. Pachulia (drawn by R. Rondo),24,30
162,2,7:51.0,,Turnover by Z. Pachulia (offensive foul),24,30
163,2,7:30.0,A. Caruso makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),,27,30
164,2,7:13.0,,Personal foul by A. Caruso (drawn by Z. Pachulia),27,30
165,2,7:13.0,K. Kuzma enters the game for M. Wagner,,27,30
166,2,7:04.0,,L. Galloway makes 2-pt jump shot from 7 ft (assist by Z. Pachulia),27,32
167,2,6:52.0,Personal foul by L. Kennard (drawn by M. Muscala),,27,32
168,2,6:52.0,,Detroit full timeout,27,32
169,2,6:52.0,J. McGee enters the game for M. Muscala,,27,32
170,2,6:52.0,,W. Ellington enters the game for L. Kennard,27,32
171,2,6:52.0,,B. Griffin enters the game for Z. Pachulia,27,32
172,2,6:43.0,A. Caruso misses 3-pt jump shot from 26 ft,,27,32
173,2,6:41.0,Offensive rebound by J. McGee,,27,32
174,2,6:39.0,K. Kuzma misses 3-pt jump shot from 27 ft,,27,32
175,2,6:33.0,,Defensive rebound by T. Maker,27,32
176,2,6:12.0,,L. Galloway misses 3-pt jump shot from 24 ft,27,32
177,2,6:09.0,Defensive rebound by K. Kuzma,,27,32
178,2,5:55.0,J. McGee makes 2-pt jump shot from 10 ft (assist by K. Kuzma),,29,32
179,2,5:40.0,,W. Ellington misses 3-pt jump shot from 23 ft,29,32
180,2,5:38.0,Defensive rebound by R. Rondo,,29,32
181,2,5:36.0,J. McGee makes 2-pt layup from 3 ft (assist by R. Rondo),,31,32
182,2,5:18.0,,Shooting foul by K. Caldwell-Pope (drawn by B. Griffin),31,32
183,2,5:18.0,,B. Griffin misses free throw 1 of 2,31,32
184,2,5:18.0,,Offensive rebound by Team,31,32
185,2,5:18.0,R. Bullock enters the game for K. Caldwell-Pope,,31,32
186,2,5:18.0,,A. Drummond enters the game for T. Maker,31,32
187,2,5:18.0,,R. Jackson enters the game for I. Smith,31,32
188,2,5:18.0,,B. Griffin misses free throw 2 of 2,31,32
189,2,5:11.0,Defensive rebound by K. Kuzma,,31,32
190,2,5:04.0,Personal foul by L. Galloway (drawn by K. Kuzma),,31,32
191,2,4:48.0,K. Kuzma makes 2-pt layup from 1 ft,,33,32
192,2,4:28.0,,B. Griffin misses 2-pt layup from 3 ft (block by J. McGee),33,32
193,2,4:24.0,Defensive rebound by R. Rondo,,33,32
194,2,4:20.0,K. Kuzma misses 2-pt layup from 1 ft,,33,32
195,2,4:17.0,Offensive rebound by J. McGee,,33,32
196,2,4:17.0,J. McGee makes 2-pt layup at rim,,35,32
197,2,4:15.0,,Detroit full timeout,35,32
198,2,3:59.0,,L. Galloway makes 3-pt jump shot from 24 ft (assist by B. Griffin),35,35
199,2,3:40.0,R. Bullock misses 3-pt jump shot from 25 ft,,35,35
200,2,3:36.0,,Defensive rebound by R. Jackson,35,35
201,2,3:33.0,,Personal foul by A. Caruso (drawn by R. Jackson),35,35
202,2,3:33.0,,R. Jackson misses free throw 1 of 2,35,35
203,2,3:33.0,,Offensive rebound by Team,35,35
204,2,3:33.0,,R. Jackson makes free throw 2 of 2,35,36
205,2,3:12.0,J. McGee misses 2-pt hook shot from 5 ft,,35,36
206,2,3:10.0,Offensive rebound by A. Caruso,,35,36
207,2,3:10.0,Turnover by K. Kuzma (traveling),,35,36
208,2,2:51.0,,L. Galloway makes 3-pt jump shot from 28 ft (assist by B. Griffin),35,39
209,2,2:51.0,LA Lakers full timeout,,35,39
210,2,2:37.0,R. Bullock makes 2-pt jump shot from 20 ft (assist by R. Rondo),,37,39
211,2,2:10.0,,B. Griffin misses 2-pt jump shot from 24 ft,37,39
212,2,2:08.0,Defensive rebound by A. Caruso,,37,39
213,2,2:05.0,A. Caruso misses 2-pt layup from 3 ft,,37,39
214,2,2:05.0,,Defensive rebound by A. Drummond,37,39
215,2,1:52.0,,Personal foul by A. Caruso (drawn by B. Griffin),37,39
216,2,1:52.0,,B. Griffin makes free throw 1 of 2,37,40
217,2,1:52.0,K. Caldwell-Pope enters the game for A. Caruso,,37,40
218,2,1:52.0,,B. Griffin misses free throw 2 of 2,37,40
219,2,1:51.0,Defensive rebound by K. Kuzma,,37,40
220,2,1:28.0,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by K. Kuzma),,40,40
221,2,1:08.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by L. Galloway),40,43
222,2,0:53.0,K. Kuzma misses 2-pt layup at rim,,40,43
223,2,0:51.0,,Defensive rebound by A. Drummond,40,43
224,2,0:38.0,,Turnover by W. Ellington (lost ball; steal by R. Rondo),40,43
225,2,0:34.0,R. Rondo misses 2-pt layup from 3 ft (block by R. Jackson),,40,43
226,2,0:29.0,,Defensive rebound by Team,40,43
227,2,0:25.0,,R. Jackson misses 3-pt jump shot from 25 ft,40,43
228,2,0:22.0,,Offensive rebound by W. Ellington,40,43
229,2,0:09.0,,R. Jackson misses 2-pt jump shot from 18 ft,40,43
230,2,0:07.0,,Offensive rebound by A. Drummond,40,43
231,2,0:00.0,,R. Jackson makes 3-pt jump shot from 27 ft (assist by B. Griffin),40,46
232,3,11:45.0,,R. Jackson makes 2-pt jump shot from 6 ft,40,48
233,3,11:27.0,J. McGee makes 2-pt layup from 1 ft (assist by R. Rondo),,42,48
234,3,11:02.0,,R. Jackson misses 3-pt jump shot from 23 ft,42,48
235,3,10:59.0,,Offensive rebound by A. Drummond,42,48
236,3,10:59.0,,A. Drummond makes 2-pt layup from 1 ft,42,50
237,3,10:41.0,M. Muscala makes 2-pt jump shot from 19 ft (assist by R. Rondo),,44,50
238,3,10:20.0,,R. Jackson misses 2-pt layup from 2 ft (block by J. McGee),44,50
239,3,10:17.0,Defensive rebound by R. Rondo,,44,50
240,3,10:12.0,M. Muscala misses 3-pt jump shot from 26 ft,,44,50
241,3,10:06.0,,Defensive rebound by R. Jackson,44,50
242,3,10:04.0,,W. Ellington makes 3-pt jump shot from 28 ft (assist by R. Jackson),44,53
243,3,9:48.0,Turnover by R. Rondo (bad pass),,44,53
244,3,9:48.0,M. Wagner enters the game for M. Muscala,,44,53
245,3,9:35.0,,R. Jackson misses 2-pt jump shot from 9 ft,44,53
246,3,9:33.0,,Offensive rebound by A. Drummond,44,53
247,3,9:33.0,,Shooting foul by J. McGee (drawn by A. Drummond),44,53
248,3,9:33.0,,A. Drummond misses free throw 1 of 2,44,53
249,3,9:33.0,,Offensive rebound by Team,44,53
250,3,9:33.0,,A. Drummond misses free throw 2 of 2,44,53
251,3,9:29.0,Defensive rebound by R. Rondo,,44,53
252,3,9:24.0,M. Wagner misses 3-pt jump shot from 23 ft,,44,53
253,3,9:20.0,,Defensive rebound by R. Jackson,44,53
254,3,9:15.0,,Shooting foul by J. McGee (drawn by B. Griffin),44,53
255,3,9:15.0,,B. Griffin makes free throw 1 of 2,44,54
256,3,9:15.0,,B. Griffin makes free throw 2 of 2,44,55
257,3,9:04.0,R. Rondo makes 2-pt layup from 1 ft,,46,55
258,3,8:52.0,,B. Griffin misses 3-pt jump shot from 26 ft,46,55
259,3,8:49.0,Defensive rebound by J. McGee,,46,55
260,3,8:46.0,Shooting foul by B. Brown (drawn by R. Rondo),,46,55
261,3,8:46.0,R. Rondo makes free throw 1 of 2,,47,55
262,3,8:46.0,R. Rondo makes free throw 2 of 2,,48,55
263,3,8:39.0,,Turnover by B. Griffin (bad pass; steal by J. McGee),48,55
264,3,8:35.0,R. Rondo misses 2-pt layup from 1 ft,,48,55
265,3,8:33.0,,Defensive rebound by A. Drummond,48,55
266,3,8:26.0,,W. Ellington misses 3-pt jump shot from 28 ft,48,55
267,3,8:24.0,Defensive rebound by J. McGee,,48,55
268,3,8:07.0,K. Kuzma makes 2-pt jump shot from 14 ft,,50,55
269,3,7:44.0,,A. Drummond makes 2-pt layup from 2 ft (assist by R. Jackson),50,57
270,3,7:37.0,M. Wagner misses 2-pt layup from 4 ft,,50,57
271,3,7:35.0,,Defensive rebound by W. Ellington,50,57
272,3,7:25.0,,Personal foul by K. Kuzma (drawn by A. Drummond),50,57
273,3,7:15.0,,Turnover by B. Griffin (traveling),50,57
274,3,7:04.0,R. Rondo misses 2-pt layup from 2 ft,,50,57
275,3,7:03.0,Offensive rebound by J. McGee,,50,57
276,3,7:02.0,J. McGee misses 2-pt layup from 1 ft,,50,57
277,3,7:01.0,,Defensive rebound by A. Drummond,50,57
278,3,6:46.0,,Turnover by B. Brown (bad pass; steal by R. Bullock),50,57
279,3,6:41.0,R. Bullock misses 3-pt jump shot from 27 ft,,50,57
280,3,6:39.0,Offensive rebound by R. Rondo,,50,57
281,3,6:35.0,K. Kuzma misses 3-pt jump shot from 24 ft,,50,57
282,3,6:35.0,Offensive rebound by M. Wagner,,50,57
283,3,6:26.0,R. Bullock misses 3-pt jump shot from 23 ft,,50,57
284,3,6:22.0,,Defensive rebound by B. Brown,50,57
285,3,6:19.0,,Personal foul by M. Wagner (drawn by A. Drummond),50,57
286,3,6:19.0,,Detroit full timeout,50,57
287,3,6:19.0,K. Caldwell-Pope enters the game for R. Bullock,,50,57
288,3,6:10.0,,B. Griffin misses 3-pt jump shot from 24 ft,50,57
289,3,6:09.0,Defensive rebound by Team,,50,57
290,3,6:09.0,,Loose ball foul by R. Jackson (drawn by J. McGee),50,57
291,3,5:52.0,R. Rondo makes 2-pt jump shot from 21 ft,,52,57
292,3,5:34.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by B. Griffin),52,60
293,3,5:16.0,K. Kuzma makes 2-pt layup from 3 ft (assist by M. Wagner),,54,60
294,3,5:03.0,,R. Jackson misses 2-pt jump shot from 9 ft,54,60
295,3,5:00.0,Defensive rebound by J. McGee,,54,60
296,3,4:54.0,R. Rondo makes 2-pt layup from 1 ft,,56,60
297,3,4:36.0,,R. Jackson makes 3-pt jump shot from 26 ft (assist by W. Ellington),56,63
298,3,4:23.0,R. Rondo misses 2-pt jump shot from 11 ft (block by B. Brown),,56,63
299,3,4:23.0,Offensive rebound by Team,,56,63
300,3,4:23.0,,L. Galloway enters the game for B. Brown,56,63
301,3,4:16.0,Turnover by R. Rondo (out of bounds lost ball),,56,63
302,3,4:04.0,,B. Griffin misses 3-pt jump shot from 27 ft,56,63
303,3,4:02.0,Defensive rebound by R. Rondo,,56,63
304,3,3:59.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,56,63
305,3,3:53.0,,Defensive rebound by W. Ellington,56,63
306,3,3:39.0,,R. Jackson makes 3-pt jump shot from 27 ft,56,66
307,3,3:23.0,Turnover by M. Wagner (bad pass),,56,66
308,3,3:23.0,A. Caruso enters the game for K. Kuzma,,56,66
309,3,3:10.0,,R. Jackson makes 2-pt jump shot from 18 ft,56,68
310,3,3:10.0,LA Lakers full timeout,,56,68
311,3,3:10.0,,T. Maker enters the game for B. Griffin,56,68
312,3,2:49.0,J. McGee misses 2-pt hook shot from 3 ft,,56,68
313,3,2:46.0,Offensive rebound by J. McGee,,56,68
314,3,2:46.0,J. McGee misses 2-pt layup from 1 ft,,56,68
315,3,2:45.0,,Defensive rebound by T. Maker,56,68
316,3,2:28.0,,A. Drummond misses 2-pt layup from 2 ft,56,68
317,3,2:28.0,,Offensive rebound by A. Drummond,56,68
318,3,2:28.0,,A. Drummond misses 2-pt layup at rim,56,68
319,3,2:28.0,,Offensive rebound by A. Drummond,56,68
320,3,2:28.0,,Personal foul by M. Wagner (drawn by A. Drummond),56,68
321,3,2:28.0,,A. Drummond makes free throw 1 of 2,56,69
322,3,2:28.0,,A. Drummond makes free throw 2 of 2,56,70
323,3,2:13.0,A. Caruso misses 3-pt jump shot from 23 ft,,56,70
324,3,2:10.0,,Defensive rebound by A. Drummond,56,70
325,3,2:07.0,,W. Ellington makes 3-pt jump shot from 27 ft (assist by R. Jackson),56,73
326,3,1:46.0,R. Rondo makes 2-pt layup from 3 ft,,58,73
327,3,1:34.0,,Shooting foul by K. Caldwell-Pope (drawn by L. Galloway),58,73
328,3,1:34.0,,L. Galloway makes free throw 1 of 3,58,74
329,3,1:34.0,,L. Galloway makes free throw 2 of 3,58,75
330,3,1:34.0,J. Williams enters the game for J. McGee,,58,75
331,3,1:34.0,,L. Kennard enters the game for W. Ellington,58,75
332,3,1:34.0,,I. Smith enters the game for R. Jackson,58,75
333,3,1:34.0,,L. Galloway makes free throw 3 of 3,58,76
334,3,1:23.0,A. Caruso misses 2-pt layup from 3 ft,,58,76
335,3,1:19.0,Offensive rebound by A. Caruso,,58,76
336,3,1:09.0,R. Rondo makes 2-pt layup from 1 ft,,60,76
337,3,0:52.0,,Turnover by T. Maker (bad pass),60,76
338,3,0:41.0,M. Wagner misses 3-pt jump shot from 27 ft,,60,76
339,3,0:39.0,,Defensive rebound by A. Drummond,60,76
340,3,0:23.0,,Shooting foul by J. Williams (drawn by T. Maker),60,76
341,3,0:23.0,,T. Maker makes free throw 1 of 2,60,77
342,3,0:23.0,A. Ingram enters the game for R. Rondo,,60,77
343,3,0:23.0,,T. Maker misses free throw 2 of 2,60,77
344,3,0:21.0,Defensive rebound by M. Wagner,,60,77
345,3,0:05.0,Shooting foul by I. Smith (drawn by A. Caruso),,60,77
346,3,0:05.0,A. Caruso makes free throw 1 of 2,,61,77
347,3,0:05.0,A. Caruso makes free throw 2 of 2,,62,77
348,3,0:01.0,,I. Smith misses 3-pt jump shot from 27 ft,62,77
349,3,0:00.0,,Offensive rebound by Team,62,77
350,4,11:43.0,A. Ingram misses 2-pt jump shot from 13 ft,,62,77
351,4,11:43.0,Offensive rebound by Team,,62,77
352,4,11:43.0,,Loose ball foul by Z. Pachulia (drawn by J. Williams),62,77
353,4,11:30.0,A. Caruso makes 2-pt layup from 2 ft (assist by K. Kuzma),,64,77
354,4,11:30.0,Shooting foul by Z. Pachulia (drawn by A. Caruso),,64,77
355,4,11:30.0,A. Caruso makes free throw 1 of 1,,65,77
356,4,11:07.0,,L. Kennard makes 3-pt jump shot from 27 ft (assist by L. Galloway),65,80
357,4,10:57.0,K. Caldwell-Pope misses 2-pt jump shot from 9 ft,,65,80
358,4,10:57.0,,Defensive rebound by Team,65,80
359,4,10:57.0,Loose ball foul by J. Williams (drawn by T. Maker),,65,80
360,4,10:41.0,,I. Smith misses 2-pt layup from 2 ft,65,80
361,4,10:41.0,Defensive rebound by K. Kuzma,,65,80
362,4,10:40.0,A. Caruso makes 2-pt layup from 1 ft (assist by K. Kuzma),,67,80
363,4,10:40.0,Shooting foul by L. Kennard (drawn by A. Caruso),,67,80
364,4,10:40.0,A. Caruso makes free throw 1 of 1,,68,80
365,4,10:26.0,,L. Galloway makes 2-pt jump shot from 17 ft (assist by Z. Pachulia),68,82
366,4,10:07.0,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by K. Kuzma),,71,82
367,4,9:53.0,,Turnover by T. Maker (bad pass; steal by K. Kuzma),71,82
368,4,9:47.0,Shooting foul by Z. Pachulia (drawn by J. Williams),,71,82
369,4,9:47.0,J. Williams misses free throw 1 of 2,,71,82
370,4,9:47.0,Offensive rebound by Team,,71,82
371,4,9:47.0,J. Williams misses free throw 2 of 2,,71,82
372,4,9:45.0,,Defensive rebound by Z. Pachulia,71,82
373,4,9:25.0,,Z. Pachulia makes 2-pt layup from 1 ft (assist by I. Smith),71,84
374,4,9:25.0,,Shooting foul by K. Caldwell-Pope (drawn by Z. Pachulia),71,84
375,4,9:25.0,,Z. Pachulia makes free throw 1 of 1,71,85
376,4,9:18.0,Shooting foul by L. Galloway (drawn by K. Caldwell-Pope),,71,85
377,4,9:18.0,K. Caldwell-Pope makes free throw 1 of 3,,72,85
378,4,9:18.0,K. Caldwell-Pope makes free throw 2 of 3,,73,85
379,4,9:18.0,K. Caldwell-Pope makes free throw 3 of 3,,74,85
380,4,8:53.0,,I. Smith makes 2-pt jump shot from 19 ft,74,87
381,4,8:39.0,Turnover by A. Caruso (bad pass; steal by I. Smith),,74,87
382,4,8:33.0,,I. Smith misses 2-pt layup from 6 ft (block by A. Caruso),74,87
383,4,8:30.0,,Offensive rebound by I. Smith,74,87
