,QUARTER,TIME_REMAINING,UTAH_ACTION,SAN ANTONIO_ACTION,UTAH_SCORE,SAN ANTONIO_SCORE
69,1,3:28.0,,D. DeRozan misses 2-pt layup from 7 ft (block by R. Gobert),12,10
70,1,3:26.0,Defensive rebound by R. Rubio,,12,10
71,1,3:20.0,K. Korver misses 2-pt jump shot from 22 ft,,12,10
72,1,3:18.0,Offensive rebound by J. Crowder,,12,10
73,1,3:16.0,R. Rubio makes 3-pt jump shot from 25 ft (assist by J. Crowder),,15,10
74,1,2:52.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by D. DeRozan),15,13
75,1,2:51.0,Utah full timeout,,15,13
76,1,2:51.0,D. Exum enters the game for R. Gobert,,15,13
77,1,2:51.0,D. Favors enters the game for R. O'Neale,,15,13
78,1,2:51.0,D. Mitchell enters the game for R. Rubio,,15,13
79,1,2:51.0,,J. Poeltl enters the game for L. Aldridge,15,13
80,1,2:39.0,K. Korver makes 3-pt jump shot from 25 ft (assist by J. Crowder),,18,13
81,1,2:26.0,,M. Belinelli makes 3-pt jump shot from 26 ft (assist by C. Metu),18,16
82,1,2:12.0,Turnover by J. Crowder (traveling),,18,16
83,1,1:46.0,,P. Mills makes 2-pt jump shot from 17 ft,18,18
84,1,1:30.0,D. Mitchell misses 3-pt jump shot from 25 ft,,18,18
85,1,1:28.0,,Defensive rebound by J. Poeltl,18,18
86,1,1:14.0,,D. DeRozan misses 2-pt layup from 9 ft,18,18
87,1,1:11.0,Defensive rebound by D. Favors,,18,18
88,1,0:59.0,Turnover by D. Exum (bad pass; steal by M. Belinelli),,18,18
89,1,0:52.0,,P. Mills makes 3-pt jump shot from 25 ft (assist by D. DeRozan),18,21
90,1,0:39.0,D. Mitchell misses 3-pt jump shot from 26 ft,,18,21
91,1,0:39.0,,Defensive rebound by C. Metu,18,21
92,1,0:29.0,,Shooting foul by D. Exum (drawn by D. DeRozan),18,21
93,1,0:29.0,,D. DeRozan makes free throw 1 of 2,18,22
94,1,0:29.0,J. Ingles enters the game for D. Exum,,18,22
95,1,0:29.0,,B. Forbes enters the game for C. Metu,18,22
96,1,0:29.0,,D. DeRozan makes free throw 2 of 2,18,23
97,1,0:08.0,D. Mitchell misses 3-pt jump shot from 25 ft,,18,23
98,1,0:04.0,Offensive rebound by D. Favors,,18,23
99,1,0:03.0,J. Crowder misses 3-pt jump shot from 26 ft,,18,23
100,1,0:00.0,,Defensive rebound by M. Belinelli,18,23
101,1,0:00.0,,M. Belinelli misses 3-pt jump shot from 59 ft,18,23
102,1,0:00.0,,Offensive rebound by Team,18,23
103,2,11:47.0,,P. Mills misses 3-pt jump shot from 25 ft,18,23
104,2,11:43.0,Defensive rebound by R. O'Neale,,18,23
105,2,11:22.0,J. Crowder misses 3-pt jump shot from 23 ft,,18,23
106,2,11:19.0,,Defensive rebound by B. Forbes,18,23
107,2,11:03.0,,B. Forbes makes 2-pt jump shot from 20 ft,18,25
108,2,10:44.0,J. Crowder misses 3-pt jump shot from 23 ft,,18,25
109,2,10:41.0,,Defensive rebound by B. Forbes,18,25
110,2,10:27.0,,J. Poeltl makes 2-pt layup from 1 ft (assist by P. Mills),18,27
111,2,10:12.0,D. Favors misses 2-pt hook shot from 8 ft,,18,27
112,2,10:12.0,,Defensive rebound by Team,18,27
113,2,10:12.0,T. Sefolosha enters the game for J. Crowder,,18,27
114,2,9:59.0,,Shooting foul by T. Sefolosha (drawn by R. Gay),18,27
115,2,9:59.0,,R. Gay makes free throw 1 of 2,18,28
116,2,9:59.0,,D. White enters the game for P. Mills,18,28
117,2,9:59.0,,R. Gay misses free throw 2 of 2,18,28
118,2,9:57.0,Defensive rebound by D. Favors,,18,28
119,2,9:35.0,R. O'Neale misses 2-pt dunk from 1 ft,,18,28
120,2,9:32.0,,Defensive rebound by R. Gay,18,28
121,2,9:22.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by J. Poeltl),18,30
122,2,9:22.0,Utah full timeout,,18,30
123,2,9:15.0,Personal foul by M. Belinelli (drawn by K. Korver),,18,30
124,2,9:07.0,Turnover by R. O'Neale (lost ball; steal by D. White),,18,30
125,2,8:56.0,,M. Belinelli misses 3-pt jump shot from 25 ft,18,30
126,2,8:52.0,Defensive rebound by D. Mitchell,,18,30
127,2,8:47.0,K. Korver misses 3-pt jump shot from 23 ft,,18,30
128,2,8:45.0,,Defensive rebound by J. Poeltl,18,30
129,2,8:38.0,,R. Gay misses 2-pt jump shot from 10 ft,18,30
130,2,8:38.0,Defensive rebound by D. Mitchell,,18,30
131,2,8:19.0,T. Sefolosha makes 2-pt layup from 2 ft (assist by R. O'Neale),,20,30
132,2,8:07.0,,B. Forbes misses 2-pt jump shot from 8 ft (block by D. Favors),20,30
133,2,8:07.0,,Offensive rebound by B. Forbes,20,30
134,2,8:04.0,,Turnover by B. Forbes (bad pass; steal by D. Mitchell),20,30
135,2,8:01.0,R. O'Neale makes 2-pt layup from 2 ft,,22,30
136,2,8:01.0,,San Antonio full timeout,22,30
137,2,8:01.0,R. Gobert enters the game for D. Favors,,22,30
138,2,8:01.0,J. Ingles enters the game for K. Korver,,22,30
