,QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,INDIANA_ACTION,SAN ANTONIO_SCORE,INDIANA_SCORE
237,3,10:12.0,,Personal foul by B. Forbes (drawn by D. Collison),56,47
238,3,10:03.0,,D. Collison misses 2-pt jump shot from 19 ft,56,47
239,3,10:02.0,Defensive rebound by R. Gay,,56,47
240,3,9:56.0,L. Aldridge makes 2-pt layup from 2 ft (assist by R. Gay),,58,47
241,3,9:38.0,,D. Collison misses 2-pt jump shot from 18 ft,58,47
242,3,9:36.0,Defensive rebound by D. Cunningham,,58,47
243,3,9:30.0,B. Forbes makes 2-pt jump shot from 10 ft,,60,47
244,3,9:28.0,,Indiana full timeout,60,47
245,3,9:09.0,,T. Young misses 2-pt layup from 1 ft,60,47
246,3,9:08.0,Defensive rebound by R. Gay,,60,47
247,3,8:56.0,B. Forbes makes 3-pt jump shot from 28 ft (assist by R. Gay),,63,47
248,3,8:40.0,,Personal foul by B. Forbes (drawn by D. Sabonis),63,47
249,3,8:40.0,P. Mills enters the game for B. Forbes,,63,47
250,3,8:35.0,,D. Sabonis misses 2-pt jump shot from 6 ft,63,47
251,3,8:32.0,,Offensive rebound by T. Young,63,47
252,3,8:32.0,,T. Evans misses 3-pt jump shot from 26 ft,63,47
253,3,8:28.0,,Offensive rebound by T. Evans,63,47
254,3,8:27.0,,T. Evans misses 2-pt layup from 1 ft (block by L. Aldridge),63,47
255,3,8:23.0,,Offensive rebound by T. Evans,63,47
256,3,8:15.0,,B. Bogdanović makes 2-pt jump shot from 11 ft (assist by T. Evans),63,49
257,3,8:00.0,D. DeRozan misses 2-pt jump shot from 9 ft,,63,49
258,3,7:57.0,,Defensive rebound by D. Sabonis,63,49
259,3,7:47.0,,T. Evans misses 2-pt layup from 1 ft,63,49
260,3,7:45.0,Defensive rebound by D. DeRozan,,63,49
261,3,7:45.0,Personal foul by D. Sabonis (drawn by D. DeRozan),,63,49
262,3,7:33.0,L. Aldridge makes 2-pt hook shot from 5 ft (assist by R. Gay),,65,49
263,3,7:22.0,,B. Bogdanović misses 3-pt jump shot from 30 ft,65,49
264,3,7:18.0,Defensive rebound by P. Mills,,65,49
265,3,7:10.0,D. DeRozan makes 2-pt jump shot from 21 ft (assist by P. Mills),,67,49
266,3,7:09.0,,Indiana full timeout,67,49
267,3,7:09.0,J. Poeltl enters the game for L. Aldridge,,67,49
268,3,7:09.0,,A. Holiday enters the game for D. Collison,67,49
269,3,7:09.0,,C. Joseph enters the game for T. Evans,67,49
270,3,6:57.0,,Turnover by C. Joseph (bad pass; steal by P. Mills),67,49
271,3,6:53.0,Shooting foul by A. Holiday (drawn by D. DeRozan),,67,49
272,3,6:53.0,D. DeRozan makes free throw 1 of 2,,68,49
273,3,6:53.0,D. DeRozan misses free throw 2 of 2,,68,49
274,3,6:51.0,,Defensive rebound by D. Sabonis,68,49
275,3,6:39.0,,Shooting foul by R. Gay (drawn by D. Sabonis),68,49
276,3,6:39.0,,D. Sabonis makes free throw 1 of 2,68,50
277,3,6:39.0,D. Bertāns enters the game for R. Gay,,68,50
278,3,6:39.0,,D. Sabonis misses free throw 2 of 2,68,50
279,3,6:37.0,Defensive rebound by J. Poeltl,,68,50
280,3,6:27.0,Turnover by P. Mills (bad pass; steal by A. Holiday),,68,50
281,3,6:24.0,,A. Holiday misses 2-pt layup from 1 ft (block by J. Poeltl),68,50
282,3,6:24.0,,Offensive rebound by Team,68,50
283,3,6:19.0,,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by C. Joseph),68,52
284,3,6:00.0,D. Cunningham makes 2-pt jump shot from 11 ft (assist by D. DeRozan),,70,52
285,3,5:50.0,,A. Holiday misses 3-pt jump shot from 28 ft,70,52
286,3,5:48.0,Defensive rebound by D. Cunningham,,70,52
287,3,5:44.0,P. Mills makes 2-pt layup from 1 ft (assist by D. Cunningham),,72,52
288,3,5:28.0,,T. Young misses 2-pt layup from 1 ft,72,52
289,3,5:26.0,Defensive rebound by D. DeRozan,,72,52
290,3,5:16.0,D. Bertāns misses 3-pt jump shot from 27 ft,,72,52
291,3,5:12.0,Offensive rebound by D. Cunningham,,72,52
292,3,4:59.0,D. DeRozan misses 2-pt jump shot from 17 ft,,72,52
293,3,4:57.0,,Defensive rebound by T. Young,72,52
294,3,4:57.0,M. Belinelli enters the game for D. Cunningham,,72,52
295,3,4:51.0,,B. Bogdanović misses 3-pt jump shot from 29 ft,72,52
296,3,4:50.0,Defensive rebound by Team,,72,52
297,3,4:33.0,J. Poeltl misses 2-pt layup from 1 ft,,72,52
298,3,4:31.0,,Defensive rebound by D. Sabonis,72,52
299,3,4:27.0,,D. Sabonis makes 2-pt layup at rim (assist by A. Holiday),72,54
300,3,4:27.0,,Shooting foul by D. DeRozan (drawn by D. Sabonis),72,54
301,3,4:27.0,L. Aldridge enters the game for D. DeRozan,,72,54
302,3,4:27.0,,T. Leaf enters the game for B. Bogdanović,72,54
303,3,4:27.0,,D. McDermott enters the game for T. Young,72,54
304,3,4:27.0,,D. Sabonis makes free throw 1 of 1,72,55
305,3,4:15.0,Personal foul by D. Sabonis (drawn by L. Aldridge),,72,55
306,3,4:06.0,Turnover by L. Aldridge (lost ball; steal by C. Joseph),,72,55
307,3,3:48.0,,Shooting foul by L. Aldridge (drawn by D. Sabonis),72,55
308,3,3:48.0,,D. Sabonis misses free throw 1 of 2,72,55
309,3,3:48.0,,Offensive rebound by Team,72,55
310,3,3:48.0,,D. Sabonis makes free throw 2 of 2,72,56
311,3,3:36.0,Personal foul by C. Joseph (drawn by M. Belinelli),,72,56
312,3,3:36.0,M. Belinelli makes free throw 1 of 2,,73,56
313,3,3:36.0,B. Forbes enters the game for D. Bertāns,,73,56
314,3,3:36.0,M. Belinelli misses free throw 2 of 2,,73,56
315,3,3:34.0,,Defensive rebound by D. Sabonis,73,56
316,3,3:24.0,,C. Joseph misses 2-pt jump shot from 20 ft,73,56
317,3,3:21.0,Defensive rebound by L. Aldridge,,73,56
318,3,3:16.0,Personal foul by T. Leaf (drawn by J. Poeltl),,73,56
319,3,3:16.0,J. Poeltl makes free throw 1 of 2,,74,56
320,3,3:16.0,J. Poeltl makes free throw 2 of 2,,75,56
321,3,3:03.0,,A. Holiday makes 2-pt jump shot from 19 ft (assist by D. Sabonis),75,58
322,3,2:48.0,L. Aldridge makes 2-pt layup from 2 ft (assist by M. Belinelli),,77,58
323,3,2:31.0,,A. Holiday makes 2-pt layup from 2 ft (assist by D. Sabonis),77,60
324,3,2:20.0,B. Forbes misses 2-pt jump shot from 18 ft,,77,60
325,3,2:16.0,,Defensive rebound by A. Holiday,77,60
326,3,2:11.0,,A. Holiday misses 2-pt jump shot from 13 ft,77,60
327,3,2:08.0,Defensive rebound by L. Aldridge,,77,60
328,3,1:47.0,P. Mills makes 2-pt jump shot from 17 ft,,79,60
329,3,1:43.0,,C. Joseph makes 2-pt layup from 1 ft,79,62
330,3,1:21.0,L. Aldridge makes 2-pt hook shot from 9 ft (assist by J. Poeltl),,81,62
331,3,1:08.0,,D. Sabonis makes 2-pt hook shot from 7 ft,81,64
332,3,0:58.0,M. Belinelli misses 2-pt jump shot from 18 ft,,81,64
333,3,0:56.0,Offensive rebound by L. Aldridge,,81,64
334,3,0:52.0,L. Aldridge misses 2-pt jump shot from 15 ft,,81,64
335,3,0:49.0,,Defensive rebound by C. Joseph,81,64
336,3,0:32.0,,T. Leaf makes 3-pt jump shot from 28 ft (assist by D. Sabonis),81,67
337,3,0:13.0,Personal foul by D. Sabonis (drawn by L. Aldridge),,81,67
338,3,0:13.0,L. Aldridge misses free throw 1 of 2,,81,67
339,3,0:13.0,Offensive rebound by Team,,81,67
340,3,0:13.0,D. Cunningham enters the game for J. Poeltl,,81,67
341,3,0:13.0,,K. O'Quinn enters the game for D. Sabonis,81,67
342,3,0:13.0,L. Aldridge makes free throw 2 of 2,,82,67
343,3,0:04.0,,C. Joseph makes 2-pt jump shot from 11 ft,82,69
344,4,11:46.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by R. Gay),,85,69
345,4,11:20.0,,A. Holiday misses 3-pt jump shot from 24 ft,85,69
346,4,11:16.0,Defensive rebound by B. Forbes,,85,69
347,4,11:07.0,B. Forbes misses 3-pt jump shot from 25 ft,,85,69
348,4,11:04.0,,Defensive rebound by C. Joseph,85,69
349,4,10:59.0,,T. Leaf makes 2-pt dunk at rim (assist by C. Joseph),85,71
350,4,10:38.0,B. Forbes makes 2-pt layup from 1 ft (assist by R. Gay),,87,71
351,4,10:32.0,,A. Holiday makes 2-pt layup from 1 ft,87,73
352,4,10:16.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. DeRozan),,89,73
353,4,10:00.0,,Turnover by A. Holiday (traveling),89,73
354,4,10:00.0,M. Belinelli enters the game for P. Mills,,89,73
355,4,10:00.0,,D. Collison enters the game for D. McDermott,89,73
356,4,9:43.0,R. Gay misses 2-pt jump shot from 8 ft,,89,73
357,4,9:40.0,,Defensive rebound by C. Joseph,89,73
358,4,9:32.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by D. Collison),89,76
359,4,9:15.0,Shooting foul by K. O'Quinn (drawn by R. Gay),,89,76
360,4,9:15.0,R. Gay makes free throw 1 of 2,,90,76
361,4,9:15.0,R. Gay makes free throw 2 of 2,,91,76
362,4,9:06.0,,K. O'Quinn makes 2-pt jump shot from 13 ft (assist by A. Holiday),91,78
363,4,8:48.0,R. Gay misses 2-pt layup from 1 ft,,91,78
364,4,8:46.0,,Defensive rebound by K. O'Quinn,91,78
365,4,8:40.0,,T. Leaf misses 3-pt jump shot from 24 ft,91,78
366,4,8:38.0,,Offensive rebound by K. O'Quinn,91,78
367,4,8:36.0,,T. Leaf makes 2-pt dunk from 1 ft (assist by K. O'Quinn),91,80
368,4,8:36.0,San Antonio full timeout,,91,80
369,4,8:36.0,L. Aldridge enters the game for J. Poeltl,,91,80
370,4,8:36.0,,B. Bogdanović enters the game for T. Leaf,91,80
371,4,8:21.0,B. Forbes makes 3-pt jump shot from 27 ft (assist by M. Belinelli),,94,80
372,4,8:04.0,,K. O'Quinn misses 2-pt jump shot from 10 ft,94,80
373,4,8:01.0,Defensive rebound by R. Gay,,94,80
374,4,7:50.0,R. Gay makes 2-pt layup from 2 ft (assist by L. Aldridge),,96,80
375,4,7:49.0,,Indiana full timeout,96,80
376,4,7:49.0,,T. Young enters the game for A. Holiday,96,80
