,QUARTER,TIME_REMAINING,DENVER_ACTION,MIAMI_ACTION,DENVER_SCORE,MIAMI_SCORE
122,1,0:28.0,M. Morris misses 3-pt jump shot from 25 ft,,22,18
123,1,0:26.0,Offensive rebound by Team,,22,18
124,1,0:23.0,J. Murray makes 2-pt jump shot from 5 ft (assist by M. Plumlee),,24,18
125,1,0:02.0,,D. Wade misses 2-pt jump shot from 10 ft,24,18
126,1,0:00.0,Defensive rebound by M. Morris,,24,18
127,2,11:45.0,M. Plumlee makes 2-pt dunk from 2 ft (assist by M. Morris),,26,18
128,2,11:24.0,,Shooting foul by B. Goodwin (drawn by D. Wade),26,18
129,2,11:24.0,,D. Wade misses free throw 1 of 2,26,18
130,2,11:24.0,,Offensive rebound by Team,26,18
131,2,11:24.0,,D. Wade makes free throw 2 of 2,26,19
132,2,11:10.0,M. Morris makes 2-pt jump shot from 18 ft,,28,19
133,2,10:55.0,,D. Waiters makes 2-pt layup from 1 ft,28,21
134,2,10:37.0,Turnover by B. Goodwin (bad pass; steal by B. Adebayo),,28,21
135,2,10:32.0,,T. Johnson makes 2-pt layup from 2 ft (assist by D. Waiters),28,23
136,2,10:21.0,M. Morris misses 2-pt jump shot from 15 ft (block by D. Wade),,28,23
137,2,10:21.0,,Defensive rebound by B. Adebayo,28,23
138,2,10:05.0,,K. Olynyk misses 3-pt jump shot from 26 ft,28,23
139,2,10:00.0,Defensive rebound by M. Plumlee,,28,23
140,2,9:55.0,T. Lyles makes 3-pt jump shot from 23 ft (assist by B. Goodwin),,31,23
141,2,9:28.0,,K. Olynyk makes 2-pt layup from 2 ft (assist by T. Johnson),31,25
142,2,9:16.0,Offensive foul by M. Plumlee (drawn by B. Adebayo),,31,25
143,2,9:16.0,Turnover by M. Plumlee (offensive foul),,31,25
144,2,9:02.0,,Shooting foul by M. Plumlee (drawn by D. Wade),31,25
145,2,9:02.0,M. Beasley enters the game for B. Goodwin,,31,25
146,2,9:02.0,T. Craig enters the game for J. Murray,,31,25
147,2,9:02.0,N. Jokić enters the game for M. Plumlee,,31,25
148,2,9:02.0,,D. Wade misses free throw 1 of 2,31,25
149,2,9:02.0,,Offensive rebound by Team,31,25
150,2,9:02.0,,D. Wade makes free throw 2 of 2,31,26
151,2,8:51.0,T. Lyles misses 3-pt jump shot from 27 ft,,31,26
152,2,8:47.0,,Defensive rebound by D. Waiters,31,26
153,2,8:42.0,,D. Waiters makes 2-pt layup from 2 ft,31,28
154,2,8:42.0,Denver full timeout,,31,28
155,2,8:28.0,N. Jokić makes 2-pt hook shot from 7 ft,,33,28
156,2,8:12.0,,K. Olynyk misses 3-pt jump shot from 23 ft,33,28
157,2,8:09.0,,Offensive rebound by B. Adebayo,33,28
158,2,7:59.0,,T. Johnson makes 2-pt layup from 2 ft (assist by D. Waiters),33,30
159,2,7:43.0,Personal foul by T. Johnson (drawn by N. Jokić),,33,30
160,2,7:43.0,P. Millsap enters the game for T. Lyles,,33,30
161,2,7:43.0,,J. Winslow enters the game for D. Wade,33,30
162,2,7:31.0,N. Jokić misses 2-pt jump shot from 18 ft,,33,30
163,2,7:26.0,,Defensive rebound by T. Johnson,33,30
164,2,7:19.0,,D. Waiters misses 3-pt jump shot from 26 ft,33,30
165,2,7:15.0,,Offensive rebound by K. Olynyk,33,30
166,2,7:07.0,,Personal foul by M. Morris (drawn by K. Olynyk),33,30
167,2,7:01.0,,K. Olynyk makes 3-pt jump shot from 23 ft (assist by T. Johnson),33,33
168,2,6:45.0,M. Beasley makes 2-pt jump shot from 17 ft (assist by N. Jokić),,35,33
169,2,6:24.0,,B. Adebayo makes 2-pt hook shot from 7 ft (assist by T. Johnson),35,35
170,2,6:11.0,N. Jokić makes 2-pt layup from 3 ft (assist by M. Beasley),,37,35
171,2,5:52.0,,T. Johnson misses 3-pt jump shot from 26 ft,37,35
172,2,5:50.0,Defensive rebound by Team,,37,35
173,2,5:50.0,J. Murray enters the game for M. Morris,,37,35
174,2,5:50.0,,H. Whiteside enters the game for B. Adebayo,37,35
175,2,5:40.0,P. Millsap makes 2-pt hook shot from 7 ft (assist by M. Beasley),,39,35
176,2,5:18.0,,T. Johnson misses 3-pt jump shot from 26 ft,39,35
177,2,5:16.0,Defensive rebound by T. Craig,,39,35
178,2,5:09.0,Turnover by N. Jokić (bad pass; steal by J. Winslow),,39,35
179,2,4:59.0,,D. Waiters makes 2-pt layup from 2 ft,39,37
180,2,4:37.0,J. Murray misses 2-pt jump shot from 18 ft,,39,37
181,2,4:34.0,,Defensive rebound by H. Whiteside,39,37
182,2,4:26.0,,J. Winslow makes 2-pt dunk from 1 ft (assist by D. Waiters),39,39
183,2,4:26.0,,Shooting foul by M. Beasley (drawn by J. Winslow),39,39
184,2,4:26.0,Denver full timeout,,39,39
185,2,4:26.0,,J. Richardson enters the game for T. Johnson,39,39
186,2,4:26.0,,J. Winslow makes free throw 1 of 1,39,40
187,2,4:09.0,Personal foul by H. Whiteside (drawn by P. Millsap),,39,40
188,2,4:03.0,Turnover by J. Murray (bad pass; steal by J. Winslow),,39,40
189,2,3:59.0,,J. Winslow makes 2-pt layup from 2 ft,39,42
190,2,3:46.0,M. Beasley misses 3-pt jump shot from 26 ft,,39,42
191,2,3:42.0,,Defensive rebound by J. Richardson,39,42
192,2,3:38.0,,Shooting foul by J. Murray (drawn by J. Winslow),39,42
193,2,3:38.0,,J. Winslow misses free throw 1 of 2,39,42
194,2,3:38.0,,Offensive rebound by Team,39,42
195,2,3:38.0,,J. Winslow makes free throw 2 of 2,39,43
196,2,3:19.0,T. Craig makes 3-pt jump shot from 24 ft (assist by J. Murray),,42,43
197,2,3:02.0,,D. Waiters makes 3-pt jump shot from 22 ft (assist by J. Winslow),42,46
198,2,2:52.0,J. Murray misses 3-pt jump shot from 26 ft,,42,46
199,2,2:48.0,,Defensive rebound by H. Whiteside,42,46
200,2,2:28.0,,J. Winslow misses 2-pt jump shot from 11 ft,42,46
201,2,2:25.0,Defensive rebound by P. Millsap,,42,46
202,2,2:15.0,N. Jokić makes 2-pt jump shot from 8 ft,,44,46
203,2,2:00.0,,J. Richardson misses 2-pt jump shot from 16 ft,44,46
204,2,1:56.0,Defensive rebound by T. Craig,,44,46
205,2,1:54.0,T. Craig misses 2-pt layup from 3 ft (block by K. Olynyk),,44,46
206,2,1:54.0,Offensive rebound by Team,,44,46
207,2,1:54.0,,D. Wade enters the game for D. Waiters,44,46
208,2,1:51.0,J. Murray misses 2-pt layup from 3 ft (block by J. Winslow),,44,46
209,2,1:51.0,Offensive rebound by P. Millsap,,44,46
210,2,1:46.0,J. Murray makes 2-pt layup from 1 ft (assist by P. Millsap),,46,46
211,2,1:33.0,,Shooting foul by J. Murray (drawn by K. Olynyk),46,46
212,2,1:33.0,,K. Olynyk makes free throw 1 of 2,46,47
213,2,1:33.0,M. Morris enters the game for J. Murray,,46,47
214,2,1:33.0,,B. Adebayo enters the game for H. Whiteside,46,47
215,2,1:33.0,,K. Olynyk makes free throw 2 of 2,46,48
216,2,1:13.0,M. Beasley misses 3-pt jump shot from 27 ft,,46,48
217,2,1:08.0,,Defensive rebound by J. Winslow,46,48
218,2,0:53.0,,K. Olynyk makes 2-pt jump shot from 7 ft (assist by J. Richardson),46,50
219,2,0:38.0,T. Craig makes 3-pt jump shot from 26 ft (assist by P. Millsap),,49,50
220,2,0:20.0,,J. Winslow makes 2-pt layup from 3 ft (assist by B. Adebayo),49,52
221,2,0:01.0,M. Beasley misses 3-pt jump shot from 25 ft,,49,52
222,2,0:00.0,,Defensive rebound by K. Olynyk,49,52
223,3,11:35.0,N. Jokić misses 2-pt jump shot from 12 ft,,49,52
224,3,11:34.0,Offensive rebound by N. Jokić,,49,52
225,3,11:34.0,Shooting foul by J. Richardson (drawn by N. Jokić),,49,52
226,3,11:34.0,N. Jokić makes free throw 1 of 2,,50,52
227,3,11:34.0,N. Jokić makes free throw 2 of 2,,51,52
228,3,11:19.0,,H. Whiteside misses 2-pt layup from 5 ft,51,52
229,3,11:15.0,Defensive rebound by N. Jokić,,51,52
230,3,11:07.0,M. Beasley makes 2-pt jump shot from 10 ft (assist by N. Jokić),,53,52
231,3,10:55.0,,J. Winslow makes 2-pt jump shot from 10 ft,53,54
232,3,10:37.0,J. Murray misses 2-pt jump shot from 15 ft,,53,54
233,3,10:35.0,,Defensive rebound by J. Winslow,53,54
234,3,10:24.0,,R. McGruder makes 3-pt jump shot from 22 ft (assist by J. Richardson),53,57
235,3,10:06.0,N. Jokić misses 2-pt jump shot from 7 ft (block by H. Whiteside),,53,57
236,3,10:01.0,,Defensive rebound by J. Johnson,53,57
237,3,10:01.0,,J. Winslow makes 2-pt layup from 3 ft (assist by J. Richardson),53,59
238,3,10:01.0,Denver full timeout,,53,59
239,3,9:51.0,Personal foul by R. McGruder (drawn by J. Murray),,53,59
240,3,9:39.0,P. Millsap misses 2-pt jump shot from 16 ft,,53,59
241,3,9:35.0,Offensive rebound by T. Craig,,53,59
242,3,9:33.0,J. Murray makes 3-pt jump shot from 26 ft (assist by T. Craig),,56,59
243,3,9:10.0,,J. Winslow misses 3-pt jump shot from 26 ft,56,59
244,3,9:07.0,Defensive rebound by P. Millsap,,56,59
245,3,9:00.0,P. Millsap makes 2-pt layup from 3 ft,,58,59
246,3,8:52.0,,Turnover by J. Johnson (bad pass; steal by N. Jokić),58,59
247,3,8:48.0,T. Craig misses 3-pt jump shot from 24 ft,,58,59
248,3,8:43.0,Offensive rebound by J. Murray,,58,59
249,3,8:43.0,P. Millsap makes 2-pt jump shot from 2 ft (assist by J. Murray),,60,59
250,3,8:25.0,,R. McGruder makes 2-pt jump shot from 5 ft,60,61
251,3,8:06.0,P. Millsap misses 3-pt jump shot from 25 ft,,60,61
252,3,8:04.0,,Defensive rebound by J. Winslow,60,61
253,3,8:00.0,,J. Johnson misses 3-pt jump shot from 23 ft,60,61
254,3,7:56.0,Defensive rebound by N. Jokić,,60,61
255,3,7:46.0,T. Craig misses 3-pt jump shot from 25 ft,,60,61
256,3,7:41.0,Offensive rebound by T. Craig,,60,61
257,3,7:37.0,P. Millsap misses 3-pt jump shot from 23 ft,,60,61
258,3,7:35.0,,Defensive rebound by J. Winslow,60,61
259,3,7:22.0,,J. Winslow misses 3-pt jump shot from 26 ft,60,61
260,3,7:21.0,Defensive rebound by N. Jokić,,60,61
261,3,7:08.0,P. Millsap makes 2-pt layup from 2 ft (assist by N. Jokić),,62,61
262,3,6:47.0,,R. McGruder misses 3-pt jump shot from 25 ft,62,61
263,3,6:44.0,,Offensive rebound by J. Richardson,62,61
264,3,6:32.0,,H. Whiteside makes 2-pt dunk from 2 ft (assist by J. Winslow),62,63
265,3,6:17.0,J. Murray makes 2-pt jump shot from 14 ft (assist by N. Jokić),,64,63
266,3,6:02.0,,Def 3 sec tech foul by Team,64,63
267,3,6:02.0,,J. Richardson makes technical free throw,64,64
268,3,5:47.0,,R. McGruder misses 2-pt layup from 5 ft (block by P. Millsap),64,64
269,3,5:44.0,Defensive rebound by N. Jokić,,64,64
270,3,5:40.0,Turnover by P. Millsap (bad pass; steal by R. McGruder),,64,64
271,3,5:36.0,,Personal foul by M. Beasley (drawn by J. Richardson),64,64
272,3,5:28.0,,J. Richardson makes 2-pt layup from 4 ft,64,66
273,3,5:12.0,N. Jokić misses 2-pt jump shot from 16 ft,,64,66
274,3,5:08.0,Offensive rebound by T. Craig,,64,66
275,3,5:02.0,Shooting foul by J. Richardson (drawn by J. Murray),,64,66
276,3,5:02.0,J. Murray misses free throw 1 of 2,,64,66
277,3,5:02.0,Offensive rebound by Team,,64,66
278,3,5:02.0,M. Morris enters the game for M. Beasley,,64,66
279,3,5:02.0,,D. Wade enters the game for J. Winslow,64,66
280,3,5:02.0,J. Murray makes free throw 2 of 2,,65,66
281,3,4:50.0,,J. Richardson misses 2-pt jump shot from 14 ft,65,66
282,3,4:45.0,Defensive rebound by P. Millsap,,65,66
283,3,4:32.0,N. Jokić misses 2-pt layup from 3 ft,,65,66
284,3,4:30.0,,Defensive rebound by Team,65,66
285,3,4:09.0,,H. Whiteside makes 2-pt jump shot from 4 ft (assist by D. Wade),65,68
286,3,3:50.0,N. Jokić makes 2-pt hook shot from 5 ft,,67,68
287,3,3:36.0,,Shooting foul by J. Murray (drawn by D. Wade),67,68
288,3,3:36.0,,D. Wade misses free throw 1 of 2,67,68
289,3,3:36.0,,Offensive rebound by Team,67,68
290,3,3:36.0,J. Hernangómez enters the game for J. Murray,,67,68
291,3,3:36.0,,T. Johnson enters the game for J. Johnson,67,68
292,3,3:36.0,,K. Olynyk enters the game for R. McGruder,67,68
293,3,3:36.0,,D. Wade makes free throw 2 of 2,67,69
294,3,3:25.0,N. Jokić makes 3-pt jump shot from 25 ft (assist by T. Craig),,70,69
295,3,3:24.0,,Miami full timeout,70,69
296,3,3:24.0,M. Plumlee enters the game for P. Millsap,,70,69
297,3,3:06.0,,D. Wade makes 3-pt jump shot from 26 ft (assist by K. Olynyk),70,72
298,3,2:50.0,Turnover by J. Hernangómez (lost ball; steal by D. Wade),,70,72
299,3,2:43.0,,D. Wade misses 3-pt jump shot from 23 ft,70,72
300,3,2:43.0,Defensive rebound by Team,,70,72
301,3,2:29.0,M. Morris misses 2-pt jump shot from 15 ft,,70,72
302,3,2:25.0,,Defensive rebound by T. Johnson,70,72
303,3,2:18.0,,K. Olynyk misses 3-pt jump shot from 26 ft,70,72
304,3,2:14.0,Defensive rebound by M. Plumlee,,70,72
305,3,2:01.0,T. Craig makes 3-pt jump shot from 23 ft (assist by M. Plumlee),,73,72
306,3,1:43.0,,Personal foul by N. Jokić (drawn by J. Richardson),73,72
307,3,1:43.0,T. Lyles enters the game for N. Jokić,,73,72
308,3,1:43.0,,D. Waiters enters the game for J. Richardson,73,72
309,3,1:29.0,,Shooting foul by M. Plumlee (drawn by H. Whiteside),73,72
310,3,1:29.0,,H. Whiteside makes free throw 1 of 2,73,73
311,3,1:29.0,,H. Whiteside misses free throw 2 of 2,73,73
312,3,1:26.0,Defensive rebound by T. Craig,,73,73
313,3,1:15.0,M. Plumlee misses 2-pt jump shot from 7 ft (block by H. Whiteside),,73,73
314,3,1:15.0,Offensive rebound by Team,,73,73
315,3,1:11.0,Shooting foul by H. Whiteside (drawn by M. Plumlee),,73,73
316,3,1:11.0,M. Plumlee makes free throw 1 of 2,,74,73
317,3,1:11.0,,B. Adebayo enters the game for H. Whiteside,74,73
318,3,1:11.0,M. Plumlee misses free throw 2 of 2,,74,73
319,3,1:09.0,,Defensive rebound by K. Olynyk,74,73
320,3,0:55.0,,D. Waiters makes 3-pt jump shot from 23 ft (assist by D. Wade),74,76
321,3,0:33.0,T. Lyles misses 3-pt jump shot from 23 ft,,74,76
322,3,0:30.0,Offensive rebound by T. Craig,,74,76
323,3,0:29.0,Turnover by T. Craig (lost ball; steal by T. Johnson),,74,76
324,3,0:11.0,,K. Olynyk misses 3-pt jump shot from 25 ft,74,76
325,3,0:07.0,Defensive rebound by T. Craig,,74,76
326,3,0:00.0,T. Lyles makes 2-pt jump shot from 16 ft (assist by T. Craig),,76,76
327,4,11:47.0,,Shooting foul by M. Plumlee (drawn by B. Adebayo),76,76
328,4,11:47.0,,B. Adebayo makes free throw 1 of 2,76,77
329,4,11:47.0,N. Jokić enters the game for M. Plumlee,,76,77
330,4,11:47.0,,B. Adebayo misses free throw 2 of 2,76,77
331,4,11:45.0,Defensive rebound by N. Jokić,,76,77
332,4,11:34.0,M. Morris makes 2-pt layup from 3 ft (assist by N. Jokić),,78,77
333,4,11:21.0,,D. Wade makes 2-pt layup from 3 ft,78,79
334,4,11:04.0,M. Morris misses 2-pt jump shot from 14 ft,,78,79
335,4,11:00.0,,Defensive rebound by B. Adebayo,78,79
336,4,10:56.0,,Personal foul by M. Beasley (drawn by D. Waiters),78,79
337,4,10:46.0,,D. Wade misses 2-pt jump shot from 15 ft,78,79
338,4,10:43.0,Defensive rebound by J. Hernangómez,,78,79
339,4,10:36.0,Turnover by T. Lyles (bad pass; steal by D. Wade),,78,79
340,4,10:16.0,,T. Johnson misses 3-pt jump shot from 22 ft,78,79
341,4,10:13.0,,Offensive rebound by T. Johnson,78,79
342,4,10:10.0,,T. Johnson misses 2-pt jump shot from 5 ft,78,79
343,4,10:08.0,Defensive rebound by T. Lyles,,78,79
344,4,9:58.0,Turnover by M. Morris (bad pass),,78,79
345,4,9:47.0,,D. Waiters misses 3-pt jump shot from 24 ft,78,79
346,4,9:40.0,Defensive rebound by T. Lyles,,78,79
347,4,9:36.0,Turnover by J. Hernangómez (back court),,78,79
348,4,9:26.0,,D. Wade misses 2-pt jump shot from 10 ft,78,79
349,4,9:25.0,,Offensive rebound by D. Wade,78,79
350,4,9:25.0,,Turnover by D. Wade (bad pass),78,79
351,4,9:08.0,T. Lyles makes 3-pt jump shot from 25 ft (assist by M. Morris),,81,79
352,4,8:41.0,,K. Olynyk misses 2-pt jump shot from 10 ft,81,79
353,4,8:38.0,Defensive rebound by T. Lyles,,81,79
354,4,8:30.0,M. Beasley makes 3-pt jump shot from 23 ft (assist by N. Jokić),,84,79
355,4,8:29.0,,Miami full timeout,84,79
356,4,8:29.0,,J. Richardson enters the game for T. Johnson,84,79
357,4,8:16.0,,B. Adebayo makes 2-pt dunk from 2 ft (assist by D. Wade),84,81
358,4,7:58.0,T. Lyles makes 3-pt jump shot from 26 ft (assist by N. Jokić),,87,81
359,4,7:39.0,,J. Richardson makes 3-pt jump shot from 25 ft (assist by D. Wade),87,84
360,4,7:22.0,N. Jokić misses 3-pt jump shot from 26 ft,,87,84
361,4,7:19.0,,Defensive rebound by D. Wade,87,84
362,4,7:03.0,,D. Waiters makes 3-pt jump shot from 25 ft,87,87
363,4,6:49.0,Turnover by M. Beasley (traveling),,87,87
364,4,6:49.0,T. Craig enters the game for M. Beasley,,87,87
365,4,6:49.0,J. Murray enters the game for J. Hernangómez,,87,87
366,4,6:40.0,,D. Wade makes 2-pt layup from 3 ft,87,89
367,4,6:40.0,Denver full timeout,,87,89
368,4,6:31.0,J. Murray misses 3-pt jump shot from 23 ft,,87,89
369,4,6:27.0,,Defensive rebound by B. Adebayo,87,89
370,4,6:19.0,,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Wade),87,91
371,4,6:08.0,Personal foul by J. Richardson (drawn by J. Murray),,87,91
372,4,6:08.0,P. Millsap enters the game for T. Lyles,,87,91
373,4,5:59.0,J. Murray misses 2-pt jump shot from 14 ft (block by J. Richardson),,87,91
374,4,5:54.0,,Defensive rebound by K. Olynyk,87,91
375,4,5:50.0,,Turnover by D. Wade (lost ball; steal by P. Millsap),87,91
376,4,5:45.0,T. Craig misses 3-pt jump shot from 26 ft,,87,91
377,4,5:41.0,,Defensive rebound by K. Olynyk,87,91
378,4,5:27.0,,J. Richardson makes 2-pt layup from 6 ft,87,93
379,4,5:06.0,N. Jokić makes 2-pt jump shot from 3 ft,,89,93
380,4,4:39.0,,D. Waiters misses 3-pt jump shot from 25 ft,89,93
