,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,INDIANA_ACTION,LA LAKERS_SCORE,INDIANA_SCORE
33,1,7:44.0,,Defensive rebound by T. Young,8,13
34,1,7:32.0,,B. Bogdanović makes 2-pt layup from 1 ft,8,15
35,1,7:20.0,L. James misses 2-pt layup from 2 ft,,8,15
36,1,7:18.0,,Defensive rebound by T. Young,8,15
37,1,7:14.0,,M. Turner makes 2-pt dunk from 1 ft (assist by T. Young),8,17
38,1,6:52.0,R. Rondo misses 2-pt layup from 1 ft (block by M. Turner),,8,17
39,1,6:49.0,Offensive rebound by I. Zubac,,8,17
40,1,6:48.0,Turnover by I. Zubac (lost ball; steal by T. Young),,8,17
41,1,6:42.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,8,17
42,1,6:39.0,Defensive rebound by Team,,8,17
43,1,6:39.0,,Loose ball foul by T. Young (drawn by I. Zubac),8,17
44,1,6:26.0,L. James makes 2-pt layup at rim (assist by R. Rondo),,10,17
45,1,6:10.0,,T. Evans misses 2-pt layup from 1 ft,10,17
46,1,6:08.0,,Offensive rebound by T. Young,10,17
47,1,6:08.0,,T. Young misses 2-pt layup from 1 ft,10,17
48,1,6:07.0,Defensive rebound by I. Zubac,,10,17
49,1,6:04.0,Shooting foul by B. Bogdanović (drawn by B. Ingram),,10,17
50,1,6:04.0,B. Ingram makes free throw 1 of 2,,11,17
51,1,6:04.0,B. Ingram makes free throw 2 of 2,,12,17
52,1,5:43.0,,M. Turner makes 3-pt jump shot from 27 ft (assist by T. Evans),12,20
53,1,5:27.0,K. Kuzma makes 2-pt jump shot from 5 ft (assist by L. James),,14,20
54,1,5:06.0,,Personal foul by R. Rondo (drawn by M. Turner),14,20
55,1,5:06.0,K. Caldwell-Pope enters the game for K. Kuzma,,14,20
56,1,4:59.0,,M. Turner makes 2-pt layup from 2 ft (assist by B. Bogdanović),14,22
57,1,4:48.0,B. Ingram makes 2-pt layup at rim,,16,22
58,1,4:48.0,Shooting foul by B. Bogdanović (drawn by B. Ingram),,16,22
59,1,4:48.0,,C. Joseph enters the game for B. Bogdanović,16,22
60,1,4:48.0,B. Ingram misses free throw 1 of 1,,16,22
61,1,4:47.0,,Defensive rebound by M. Turner,16,22
62,1,4:26.0,,M. Turner misses 2-pt jump shot from 11 ft,16,22
63,1,4:23.0,Defensive rebound by B. Ingram,,16,22
64,1,4:09.0,I. Zubac makes 2-pt layup from 1 ft,,18,22
65,1,3:49.0,,M. Turner makes 2-pt jump shot from 21 ft (assist by T. Evans),18,24
66,1,3:38.0,L. James makes 3-pt jump shot from 29 ft (assist by R. Rondo),,21,24
67,1,3:18.0,,T. Young misses 2-pt layup from 2 ft,21,24
68,1,3:14.0,Defensive rebound by I. Zubac,,21,24
69,1,3:09.0,L. James misses 3-pt jump shot from 26 ft,,21,24
70,1,3:06.0,,Defensive rebound by T. Evans,21,24
71,1,2:59.0,,M. Turner makes 2-pt dunk from 2 ft (assist by T. Young),21,26
72,1,2:36.0,,Indiana full timeout,21,26
73,1,2:36.0,M. Beasley enters the game for L. James,,21,26
74,1,2:36.0,T. Chandler enters the game for I. Zubac,,21,26
75,1,2:36.0,,A. Holiday enters the game for D. Collison,21,26
76,1,2:36.0,,T. Leaf enters the game for T. Evans,21,26
77,1,2:36.0,,D. Sabonis enters the game for M. Turner,21,26
78,1,2:36.0,,E. Sumner enters the game for T. Young,21,26
79,1,2:33.0,Turnover by R. Rondo (bad pass; steal by E. Sumner),,21,26
80,1,2:18.0,,Personal foul by M. Beasley (drawn by A. Holiday),21,26
81,1,2:12.0,,D. Sabonis makes 2-pt dunk from 3 ft (assist by C. Joseph),21,28
82,1,1:52.0,R. Rondo makes 3-pt jump shot from 23 ft (assist by M. Beasley),,24,28
83,1,1:34.0,,T. Leaf misses 3-pt jump shot from 24 ft,24,28
84,1,1:32.0,Defensive rebound by B. Ingram,,24,28
85,1,1:16.0,B. Ingram makes 2-pt layup from 1 ft (assist by M. Beasley),,26,28
86,1,0:57.0,,C. Joseph misses 3-pt jump shot from 29 ft,26,28
87,1,0:54.0,Defensive rebound by M. Beasley,,26,28
88,1,0:36.0,M. Beasley misses 2-pt jump shot from 8 ft,,26,28
89,1,0:33.0,Offensive rebound by M. Beasley,,26,28
90,1,0:32.0,M. Beasley misses 2-pt layup from 2 ft,,26,28
91,1,0:32.0,,Defensive rebound by T. Leaf,26,28
92,1,0:26.0,,C. Joseph makes 2-pt jump shot from 17 ft (assist by T. Leaf),26,30
93,1,0:06.0,Turnover by R. Rondo (out of bounds lost ball),,26,30
94,1,0:02.0,,Personal foul by R. Rondo (drawn by A. Holiday),26,30
95,1,0:00.0,,E. Sumner makes 3-pt jump shot from 30 ft (assist by D. Sabonis),26,33
96,2,11:51.0,,A. Holiday makes 2-pt jump shot from 20 ft,26,35
97,2,11:33.0,Turnover by M. Beasley (bad pass),,26,35
98,2,11:16.0,,A. Holiday makes 2-pt layup from 2 ft,26,37
99,2,10:59.0,M. Beasley misses 2-pt layup from 1 ft (block by T. Leaf),,26,37
100,2,10:56.0,,Defensive rebound by C. Joseph,26,37
101,2,10:55.0,,Personal foul by K. Caldwell-Pope (drawn by C. Joseph),26,37
102,2,10:55.0,L. James enters the game for M. Beasley,,26,37
103,2,10:55.0,K. Kuzma enters the game for B. Ingram,,26,37
104,2,10:55.0,,B. Bogdanović enters the game for E. Sumner,26,37
105,2,10:50.0,,Turnover by B. Bogdanović (dbl dribble),26,37
106,2,10:33.0,K. Kuzma misses 3-pt jump shot from 28 ft,,26,37
107,2,10:30.0,,Defensive rebound by C. Joseph,26,37
108,2,10:24.0,,C. Joseph makes 2-pt jump shot from 18 ft (assist by D. Sabonis),26,39
109,2,10:08.0,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by L. James),,28,39
110,2,9:56.0,,T. Leaf misses 3-pt jump shot from 28 ft,28,39
111,2,9:53.0,Defensive rebound by K. Caldwell-Pope,,28,39
112,2,9:42.0,Turnover by K. Kuzma (bad pass),,28,39
113,2,9:42.0,J. McGee enters the game for T. Chandler,,28,39
114,2,9:34.0,,A. Holiday makes 3-pt jump shot from 28 ft (assist by B. Bogdanović),28,42
115,2,9:32.0,LA Lakers full timeout,,28,42
116,2,9:16.0,J. McGee makes 2-pt dunk from 3 ft (assist by K. Caldwell-Pope),,30,42
117,2,9:13.0,,Turnover by D. Sabonis (bad pass; steal by K. Caldwell-Pope),30,42
118,2,9:11.0,L. Stephenson misses 3-pt jump shot from 27 ft,,30,42
119,2,9:08.0,,Defensive rebound by C. Joseph,30,42
120,2,8:46.0,,D. Sabonis misses 2-pt hook shot from 5 ft (block by J. McGee),30,42
121,2,8:44.0,Defensive rebound by L. James,,30,42
122,2,8:44.0,Turnover by L. James (out of bounds lost ball),,30,42
123,2,8:36.0,,Turnover by D. Sabonis (traveling),30,42
124,2,8:24.0,L. Stephenson misses 2-pt jump shot from 20 ft,,30,42
125,2,8:21.0,,Defensive rebound by D. Sabonis,30,42
126,2,8:04.0,,D. Sabonis misses 2-pt hook shot from 12 ft,30,42
127,2,8:02.0,Defensive rebound by J. McGee,,30,42
128,2,7:53.0,Turnover by L. James (lost ball; steal by B. Bogdanović),,30,42
129,2,7:50.0,,Turnover by B. Bogdanović (bad pass),30,42
130,2,7:40.0,L. James misses 2-pt jump shot from 10 ft,,30,42
131,2,7:38.0,Offensive rebound by Team,,30,42
132,2,7:38.0,,T. Young enters the game for T. Leaf,30,42
133,2,7:36.0,Personal foul by C. Joseph (drawn by K. Caldwell-Pope),,30,42
134,2,7:31.0,J. McGee makes 2-pt dunk at rim (assist by L. Stephenson),,32,42
135,2,7:22.0,,Indiana full timeout,32,42
136,2,7:08.0,,T. Young makes 2-pt hook shot from 12 ft,32,44
137,2,6:54.0,J. McGee makes 2-pt layup from 1 ft (assist by L. James),,34,44
138,2,6:37.0,,Personal foul by J. McGee (drawn by A. Holiday),34,44
139,2,6:37.0,B. Ingram enters the game for K. Caldwell-Pope,,34,44
140,2,6:37.0,R. Rondo enters the game for L. Stephenson,,34,44
141,2,6:24.0,,C. Joseph makes 3-pt jump shot from 26 ft (assist by D. Sabonis),34,47
142,2,6:02.0,Personal foul by C. Joseph (drawn by K. Kuzma),,34,47
143,2,6:02.0,,D. Collison enters the game for A. Holiday,34,47
144,2,6:02.0,,T. Evans enters the game for C. Joseph,34,47
145,2,5:50.0,Turnover by L. James (bad pass; steal by D. Collison),,34,47
146,2,5:47.0,,D. Collison makes 2-pt layup from 2 ft,34,49
147,2,5:29.0,L. James makes 2-pt jump shot from 18 ft (assist by B. Ingram),,36,49
148,2,5:11.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,36,49
149,2,5:08.0,Defensive rebound by L. James,,36,49
150,2,5:01.0,K. Kuzma misses 3-pt jump shot from 23 ft,,36,49
151,2,4:59.0,,Defensive rebound by Team,36,49
152,2,4:41.0,,T. Young misses 2-pt layup from 1 ft (block by R. Rondo),36,49
153,2,4:37.0,,Offensive rebound by T. Young,36,49
154,2,4:37.0,,T. Young makes 2-pt layup from 1 ft,36,51
155,2,4:37.0,LA Lakers full timeout,,36,51
156,2,4:23.0,K. Kuzma misses 2-pt hook shot from 4 ft,,36,51
157,2,4:20.0,,Defensive rebound by T. Evans,36,51
158,2,4:06.0,,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Collison),36,53
159,2,4:06.0,,Shooting foul by J. McGee (drawn by D. Sabonis),36,53
160,2,4:06.0,L. Stephenson enters the game for K. Kuzma,,36,53
161,2,4:06.0,I. Zubac enters the game for J. McGee,,36,53
162,2,4:06.0,,D. Sabonis misses free throw 1 of 1,36,53
163,2,4:04.0,,Offensive rebound by T. Young,36,53
164,2,4:03.0,,Turnover by T. Young (lost ball; steal by L. Stephenson),36,53
165,2,3:58.0,B. Ingram misses 2-pt dunk from 1 ft,,36,53
166,2,3:55.0,,Defensive rebound by D. Collison,36,53
167,2,3:49.0,,D. Sabonis makes 2-pt layup from 3 ft (assist by T. Young),36,55
168,2,3:49.0,,Shooting foul by I. Zubac (drawn by D. Sabonis),36,55
169,2,3:49.0,,D. Sabonis makes free throw 1 of 1,36,56
170,2,3:28.0,L. James misses 3-pt jump shot from 25 ft,,36,56
171,2,3:25.0,,Defensive rebound by T. Evans,36,56
172,2,3:22.0,,T. Evans misses 2-pt layup from 2 ft,36,56
173,2,3:21.0,,Offensive rebound by T. Young,36,56
174,2,3:21.0,,T. Young makes 2-pt layup from 1 ft,36,58
175,2,3:15.0,L. Stephenson makes 2-pt dunk from 1 ft (assist by R. Rondo),,38,58
176,2,3:01.0,,D. Sabonis misses 3-pt jump shot from 27 ft,38,58
177,2,2:57.0,,Offensive rebound by D. Collison,38,58
178,2,2:56.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by D. Collison),38,61
179,2,2:33.0,Turnover by L. James (bad pass; steal by T. Young),,38,61
180,2,2:31.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,38,61
181,2,2:25.0,Defensive rebound by L. James,,38,61
182,2,2:21.0,Personal foul by T. Evans (drawn by L. James),,38,61
183,2,2:21.0,,M. Turner enters the game for D. Sabonis,38,61
184,2,2:09.0,I. Zubac misses 2-pt dunk from 2 ft (block by M. Turner),,38,61
185,2,2:06.0,,Defensive rebound by T. Young,38,61
186,2,1:52.0,,M. Turner makes 3-pt jump shot from 25 ft (assist by D. Collison),38,64
187,2,1:32.0,L. Stephenson misses 3-pt jump shot from 26 ft,,38,64
188,2,1:29.0,,Defensive rebound by B. Bogdanović,38,64
189,2,1:19.0,,M. Turner makes 3-pt jump shot from 29 ft (assist by B. Bogdanović),38,67
190,2,0:54.0,L. James makes 3-pt jump shot from 27 ft,,41,67
191,2,0:41.0,,M. Turner makes 2-pt jump shot from 12 ft (assist by D. Collison),41,69
192,2,0:30.0,L. James makes 2-pt dunk from 1 ft,,43,69
193,2,0:30.0,Shooting foul by M. Turner (drawn by L. James),,43,69
194,2,0:30.0,L. James makes free throw 1 of 1,,44,69
195,2,0:08.0,,D. Collison misses 2-pt jump shot from 21 ft,44,69
196,2,0:03.0,Defensive rebound by L. James,,44,69
197,2,0:01.0,I. Zubac makes 2-pt dunk from 2 ft (assist by L. James),,46,69
198,2,0:01.0,,Turnover by B. Bogdanović (bad pass; steal by L. James),46,69
199,3,11:42.0,,Shooting foul by R. Rondo (drawn by M. Turner),46,69
200,3,11:42.0,,M. Turner makes free throw 1 of 2,46,70
201,3,11:42.0,,M. Turner misses free throw 2 of 2,46,70
202,3,11:40.0,Defensive rebound by B. Ingram,,46,70
203,3,11:19.0,K. Kuzma misses 2-pt layup from 1 ft (block by M. Turner),,46,70
204,3,11:16.0,,Defensive rebound by T. Young,46,70
205,3,11:05.0,,T. Young misses 2-pt jump shot from 9 ft,46,70
206,3,11:03.0,Defensive rebound by B. Ingram,,46,70
207,3,10:56.0,B. Ingram misses 2-pt jump shot from 7 ft,,46,70
208,3,10:53.0,,Defensive rebound by T. Young,46,70
209,3,10:35.0,,T. Evans misses 2-pt jump shot from 19 ft,46,70
210,3,10:32.0,Defensive rebound by B. Ingram,,46,70
211,3,10:26.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),,48,70
212,3,10:11.0,,Offensive foul by T. Young (drawn by R. Rondo),48,70
213,3,10:11.0,,Turnover by T. Young (offensive foul),48,70
214,3,9:56.0,K. Kuzma makes 2-pt layup at rim (assist by R. Rondo),,50,70
215,3,9:34.0,,T. Young makes 2-pt hook shot from 7 ft,50,72
216,3,9:15.0,B. Ingram misses 2-pt jump shot from 9 ft,,50,72
217,3,9:13.0,,Defensive rebound by Team,50,72
218,3,9:13.0,Loose ball foul by I. Zubac (drawn by M. Turner),,50,72
219,3,9:05.0,,Personal foul by K. Kuzma (drawn by T. Young),50,72
220,3,8:58.0,,T. Evans makes 3-pt jump shot from 24 ft (assist by T. Young),50,75
221,3,8:51.0,Shooting foul by M. Turner (drawn by K. Kuzma),,50,75
222,3,8:51.0,K. Kuzma misses free throw 1 of 2,,50,75
223,3,8:51.0,Offensive rebound by Team,,50,75
224,3,8:51.0,K. Kuzma makes free throw 2 of 2,,51,75
225,3,8:42.0,,T. Young misses 2-pt jump shot from 8 ft,51,75
226,3,8:40.0,Defensive rebound by L. James,,51,75
227,3,8:33.0,K. Kuzma misses 2-pt dunk from 1 ft (block by M. Turner),,51,75
228,3,8:29.0,,Defensive rebound by T. Evans,51,75
229,3,8:26.0,,D. Collison makes 3-pt jump shot from 23 ft (assist by T. Young),51,78
230,3,8:21.0,Turnover by L. James (bad pass; steal by D. Collison),,51,78
231,3,8:12.0,,M. Turner makes 2-pt dunk from 1 ft (assist by T. Evans),51,80
232,3,8:10.0,LA Lakers full timeout,,51,80
233,3,7:53.0,I. Zubac makes 2-pt layup from 2 ft (assist by R. Rondo),,53,80
234,3,7:33.0,,T. Evans makes 3-pt jump shot from 27 ft (assist by T. Young),53,83
235,3,7:18.0,L. James makes 2-pt layup from 2 ft,,55,83
236,3,6:56.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,55,83
237,3,6:53.0,Defensive rebound by L. James,,55,83
238,3,6:48.0,Shooting foul by M. Turner (drawn by L. James),,55,83
239,3,6:48.0,L. James misses free throw 1 of 2,,55,83
240,3,6:48.0,Offensive rebound by Team,,55,83
241,3,6:48.0,L. Stephenson enters the game for R. Rondo,,55,83
242,3,6:48.0,L. James makes free throw 2 of 2,,56,83
243,3,6:34.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by T. Young),56,85
244,3,6:20.0,L. James misses 3-pt jump shot from 27 ft,,56,85
245,3,6:18.0,Offensive rebound by Team,,56,85
246,3,6:18.0,J. McGee enters the game for I. Zubac,,56,85
247,3,6:16.0,B. Ingram misses 2-pt jump shot from 18 ft,,56,85
248,3,6:14.0,,Defensive rebound by T. Young,56,85
249,3,5:53.0,,T. Young misses 2-pt jump shot from 4 ft,56,85
250,3,5:51.0,Defensive rebound by L. Stephenson,,56,85
251,3,5:48.0,B. Ingram makes 2-pt dunk from 2 ft (assist by L. James),,58,85
252,3,5:35.0,,Personal foul by L. Stephenson (drawn by T. Young),58,85
253,3,5:35.0,K. Caldwell-Pope enters the game for K. Kuzma,,58,85
254,3,5:28.0,,T. Evans misses 3-pt jump shot from 25 ft,58,85
255,3,5:24.0,,Offensive rebound by T. Young,58,85
256,3,5:24.0,,T. Young makes 2-pt layup at rim,58,87
257,3,5:15.0,J. McGee makes 2-pt dunk from 2 ft (assist by L. James),,60,87
258,3,5:00.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,60,87
259,3,5:00.0,Defensive rebound by L. James,,60,87
260,3,4:45.0,L. James makes 2-pt layup from 2 ft,,62,87
261,3,4:45.0,,Indiana full timeout,62,87
262,3,4:45.0,K. Kuzma enters the game for B. Ingram,,62,87
263,3,4:45.0,,D. Sabonis enters the game for T. Young,62,87
264,3,4:34.0,,B. Bogdanović makes 2-pt jump shot from 15 ft (assist by T. Evans),62,89
265,3,4:18.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,62,89
266,3,4:14.0,,Defensive rebound by D. Sabonis,62,89
267,3,3:59.0,,Personal foul by K. Kuzma (drawn by D. Sabonis),62,89
268,3,3:59.0,,D. Sabonis makes free throw 1 of 2,62,90
269,3,3:59.0,,C. Joseph enters the game for B. Bogdanović,62,90
270,3,3:59.0,,D. Sabonis makes free throw 2 of 2,62,91
271,3,3:47.0,J. McGee makes 2-pt dunk from 1 ft (assist by L. Stephenson),,64,91
272,3,3:22.0,,M. Turner misses 2-pt hook shot from 8 ft,64,91
273,3,3:19.0,Defensive rebound by J. McGee,,64,91
274,3,3:05.0,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),,66,91
275,3,2:45.0,,D. Collison misses 2-pt layup from 1 ft,66,91
276,3,2:43.0,Defensive rebound by J. McGee,,66,91
277,3,2:31.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,66,91
278,3,2:31.0,,Defensive rebound by T. Evans,66,91
279,3,2:23.0,,D. Collison misses 2-pt jump shot from 23 ft,66,91
280,3,2:20.0,,Offensive rebound by D. Collison,66,91
281,3,2:18.0,,D. Collison misses 2-pt layup from 2 ft,66,91
282,3,2:16.0,Defensive rebound by Team,,66,91
283,3,2:06.0,Shooting foul by D. Sabonis (drawn by J. McGee),,66,91
284,3,2:06.0,J. McGee makes free throw 1 of 2,,67,91
285,3,2:06.0,B. Ingram enters the game for L. James,,67,91
286,3,2:06.0,,A. Holiday enters the game for D. Collison,67,91
287,3,2:06.0,J. McGee makes free throw 2 of 2,,68,91
288,3,1:53.0,,D. Sabonis makes 2-pt hook shot from 3 ft,68,93
289,3,1:41.0,Shooting foul by M. Turner (drawn by L. Stephenson),,68,93
290,3,1:41.0,L. Stephenson makes free throw 1 of 2,,69,93
291,3,1:41.0,,B. Bogdanović enters the game for T. Evans,69,93
292,3,1:41.0,,E. Sumner enters the game for M. Turner,69,93
293,3,1:41.0,L. Stephenson makes free throw 2 of 2,,70,93
294,3,1:21.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by A. Holiday),70,96
295,3,1:09.0,Shooting foul by E. Sumner (drawn by K. Kuzma),,70,96
296,3,1:09.0,K. Kuzma misses free throw 1 of 2,,70,96
297,3,1:09.0,Offensive rebound by Team,,70,96
298,3,1:09.0,K. Kuzma makes free throw 2 of 2,,71,96
299,3,0:51.0,,A. Holiday makes 3-pt jump shot from 25 ft (assist by C. Joseph),71,99
300,3,0:39.0,J. McGee makes 2-pt dunk from 2 ft (assist by K. Caldwell-Pope),,73,99
301,3,0:26.0,,D. Sabonis makes 2-pt jump shot from 10 ft,73,101
302,3,0:01.0,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,,73,101
303,3,0:01.0,Offensive rebound by Team,,73,101
304,4,11:51.0,Shooting foul by D. Sabonis (drawn by L. Stephenson),,73,101
305,4,11:51.0,L. Stephenson misses free throw 1 of 2,,73,101
306,4,11:51.0,Offensive rebound by Team,,73,101
307,4,11:51.0,L. Stephenson makes free throw 2 of 2,,74,101
308,4,11:40.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Sabonis),74,103
309,4,11:30.0,Offensive foul by L. Stephenson (drawn by C. Joseph),,74,103
310,4,11:30.0,Turnover by L. Stephenson (offensive foul),,74,103
311,4,11:12.0,,A. Holiday makes 3-pt jump shot from 29 ft,74,106
312,4,11:11.0,LA Lakers full timeout,,74,106
313,4,10:54.0,Turnover by M. Wagner (bad pass; steal by E. Sumner),,74,106
314,4,10:35.0,,Turnover by B. Bogdanović (lost ball; steal by J. McGee),74,106
315,4,10:30.0,L. Stephenson makes 2-pt layup from 1 ft (assist by S. Mykhailiuk),,76,106
316,4,10:30.0,,Violation by Team (def goaltending),76,106
317,4,10:19.0,,D. Sabonis makes 2-pt dunk from 2 ft (assist by C. Joseph),76,108
318,4,10:09.0,Turnover by R. Rondo (bad pass),,76,108
319,4,9:57.0,,C. Joseph makes 3-pt jump shot from 27 ft (assist by B. Bogdanović),76,111
320,4,9:44.0,M. Wagner makes 3-pt jump shot from 28 ft (assist by R. Rondo),,79,111
321,4,9:29.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by A. Holiday),79,114
322,4,9:05.0,J. McGee misses 2-pt layup from 2 ft,,79,114
323,4,9:02.0,Offensive rebound by J. McGee,,79,114
324,4,9:02.0,J. McGee makes 2-pt layup from 1 ft,,81,114
325,4,8:48.0,,E. Sumner makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),81,117
326,4,8:33.0,L. Stephenson misses 2-pt jump shot from 8 ft,,81,117
327,4,8:32.0,Offensive rebound by Team,,81,117
328,4,8:32.0,,Loose ball foul by D. Sabonis (drawn by J. McGee),81,117
329,4,8:32.0,M. Beasley enters the game for J. McGee,,81,117
330,4,8:20.0,M. Wagner makes 2-pt layup at rim,,83,117
331,4,8:06.0,,Turnover by B. Bogdanović (lost ball; steal by M. Wagner),83,117
332,4,7:59.0,Turnover by M. Wagner (traveling),,83,117
333,4,7:49.0,,D. Sabonis makes 2-pt layup at rim (assist by C. Joseph),83,119
334,4,7:35.0,M. Beasley misses 2-pt layup from 1 ft (block by E. Sumner),,83,119
335,4,7:33.0,,Defensive rebound by D. Sabonis,83,119
336,4,7:27.0,,A. Holiday misses 3-pt jump shot from 27 ft,83,119
337,4,7:24.0,,Offensive rebound by Team,83,119
338,4,7:24.0,K. Caldwell-Pope enters the game for R. Rondo,,83,119
339,4,7:24.0,,B. Bogdanović misses 3-pt jump shot from 23 ft,83,119
340,4,7:20.0,Defensive rebound by K. Caldwell-Pope,,83,119
341,4,7:08.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,83,119
342,4,7:07.0,,Defensive rebound by D. Sabonis,83,119
343,4,7:07.0,,Indiana full timeout,83,119
344,4,7:07.0,,T. Leaf enters the game for B. Bogdanović,83,119
345,4,7:07.0,,K. O'Quinn enters the game for D. Sabonis,83,119
346,4,6:49.0,,A. Holiday misses 2-pt layup from 2 ft (block by S. Mykhailiuk),83,119
347,4,6:47.0,Defensive rebound by S. Mykhailiuk,,83,119
348,4,6:37.0,M. Beasley misses 2-pt jump shot from 5 ft,,83,119
349,4,6:35.0,,Defensive rebound by K. O'Quinn,83,119
350,4,6:21.0,,K. O'Quinn misses 2-pt jump shot from 14 ft,83,119
351,4,6:17.0,,Offensive rebound by E. Sumner,83,119
352,4,6:17.0,,E. Sumner makes 2-pt layup at rim,83,121
353,4,6:11.0,M. Beasley misses 3-pt jump shot from 28 ft,,83,121
354,4,6:07.0,,Defensive rebound by C. Joseph,83,121
355,4,6:00.0,,C. Joseph misses 2-pt jump shot from 4 ft,83,121
356,4,5:58.0,Defensive rebound by M. Beasley,,83,121
357,4,5:50.0,Shooting foul by K. O'Quinn (drawn by L. Stephenson),,83,121
358,4,5:50.0,L. Stephenson makes free throw 1 of 2,,84,121
359,4,5:50.0,,D. Reed enters the game for C. Joseph,84,121
360,4,5:50.0,L. Stephenson makes free throw 2 of 2,,85,121
361,4,5:33.0,,T. Leaf misses 2-pt jump shot from 8 ft,85,121
362,4,5:31.0,Defensive rebound by M. Beasley,,85,121
363,4,5:25.0,Turnover by L. Stephenson (bad pass; steal by A. Holiday),,85,121
364,4,5:20.0,,E. Sumner makes 3-pt jump shot from 27 ft (assist by A. Holiday),85,124
365,4,5:07.0,L. Stephenson makes 2-pt layup from 1 ft,,87,124
366,4,4:43.0,,K. O'Quinn misses 3-pt jump shot from 23 ft,87,124
367,4,4:41.0,Defensive rebound by M. Beasley,,87,124
368,4,4:31.0,Shooting foul by A. Holiday (drawn by S. Mykhailiuk),,87,124
369,4,4:31.0,S. Mykhailiuk misses free throw 1 of 2,,87,124
370,4,4:31.0,Offensive rebound by Team,,87,124
371,4,4:31.0,S. Mykhailiuk makes free throw 2 of 2,,88,124
372,4,4:20.0,,A. Holiday makes 2-pt jump shot from 20 ft,88,126
373,4,4:03.0,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,,88,126
374,4,4:00.0,,Defensive rebound by T. Leaf,88,126
375,4,3:51.0,,E. Sumner makes 2-pt hook shot from 6 ft,88,128
