,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,LA LAKERS_ACTION,WASHINGTON_SCORE,LA LAKERS_SCORE
77,1,3:29.0,B. Beal makes 2-pt layup from 2 ft,,21,21
78,1,3:12.0,,J. McGee makes 2-pt layup from 1 ft (assist by K. Caldwell-Pope),21,23
79,1,2:53.0,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),,23,23
80,1,2:48.0,,Shooting foul by J. Green (drawn by A. Caruso),23,23
81,1,2:48.0,,A. Caruso misses free throw 1 of 2,23,23
82,1,2:48.0,,Offensive rebound by Team,23,23
83,1,2:48.0,C. Randle enters the game for T. Satoranský,,23,23
84,1,2:48.0,,M. Wagner enters the game for K. Kuzma,23,23
85,1,2:48.0,,J. Williams enters the game for J. McGee,23,23
86,1,2:48.0,,A. Caruso makes free throw 2 of 2,23,24
87,1,2:37.0,J. Parker misses 2-pt jump shot from 16 ft,,23,24
88,1,2:33.0,,Defensive rebound by L. Stephenson,23,24
89,1,2:21.0,,M. Wagner makes 2-pt layup from 1 ft,23,26
90,1,2:09.0,B. Portis misses 2-pt hook shot from 5 ft (block by M. Wagner),,23,26
91,1,2:06.0,,Defensive rebound by L. Stephenson,23,26
92,1,2:00.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by L. Stephenson),23,29
93,1,1:49.0,Shooting foul by K. Caldwell-Pope (drawn by B. Beal),,23,29
94,1,1:49.0,B. Beal makes free throw 1 of 2,,24,29
95,1,1:49.0,B. Beal makes free throw 2 of 2,,25,29
96,1,1:30.0,,Turnover by A. Caruso (bad pass; steal by J. Green),25,29
97,1,1:30.0,Personal foul by A. Caruso (drawn by C. Randle),,25,29
98,1,1:30.0,C. Randle makes free throw 1 of 2,,26,29
99,1,1:30.0,J. McRae enters the game for B. Beal,,26,29
100,1,1:30.0,C. Randle makes free throw 2 of 2,,27,29
101,1,1:20.0,,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by M. Wagner),27,32
102,1,1:04.0,Shooting foul by M. Wagner (drawn by J. Green),,27,32
103,1,1:04.0,J. Green makes free throw 1 of 2,,28,32
104,1,1:04.0,J. Green makes free throw 2 of 2,,29,32
105,1,0:52.0,,M. Wagner misses 3-pt jump shot from 26 ft,29,32
106,1,0:48.0,,Offensive rebound by L. Stephenson,29,32
107,1,0:48.0,,L. Stephenson misses 2-pt layup from 2 ft,29,32
108,1,0:48.0,,Offensive rebound by L. Stephenson,29,32
109,1,0:47.0,,L. Stephenson misses 2-pt layup from 1 ft,29,32
110,1,0:47.0,Defensive rebound by J. McRae,,29,32
111,1,0:36.0,,Violation by Team (kicked ball),29,32
112,1,0:27.0,J. McRae misses 3-pt jump shot from 25 ft,,29,32
113,1,0:23.0,,Defensive rebound by M. Wagner,29,32
114,1,0:05.0,,L. Stephenson makes 2-pt jump shot from 19 ft,29,34
115,1,0:01.0,J. McRae misses 3-pt jump shot from 27 ft,,29,34
116,1,0:01.0,Offensive rebound by Team,,29,34
117,2,11:38.0,B. Portis misses 3-pt jump shot from 26 ft,,29,34
118,2,11:33.0,,Defensive rebound by L. James,29,34
119,2,11:16.0,,Shooting foul by J. Green (drawn by M. Wagner),29,34
120,2,11:16.0,,M. Wagner misses free throw 1 of 2,29,34
121,2,11:16.0,,Offensive rebound by Team,29,34
122,2,11:16.0,,M. Wagner makes free throw 2 of 2,29,35
123,2,11:00.0,Shooting foul by M. Wagner (drawn by C. Randle),,29,35
124,2,11:00.0,C. Randle misses free throw 1 of 2,,29,35
125,2,11:00.0,Offensive rebound by Team,,29,35
126,2,11:00.0,C. Randle makes free throw 2 of 2,,30,35
127,2,10:49.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. Stephenson),30,37
128,2,10:49.0,,Shooting foul by J. Parker (drawn by J. McGee),30,37
129,2,10:49.0,,J. McGee misses free throw 1 of 1,30,37
130,2,10:46.0,Defensive rebound by J. Parker,,30,37
131,2,10:41.0,C. Randle makes 3-pt jump shot from 26 ft (assist by J. Parker),,33,37
132,2,10:26.0,,M. Wagner makes 2-pt dunk from 1 ft (assist by A. Caruso),33,39
133,2,10:13.0,J. McRae misses 2-pt jump shot from 21 ft,,33,39
134,2,10:10.0,,Defensive rebound by J. McGee,33,39
135,2,10:01.0,,Turnover by L. James (bad pass),33,39
136,2,9:51.0,J. Green misses 2-pt jump shot from 8 ft,,33,39
137,2,9:45.0,,Defensive rebound by J. McGee,33,39
138,2,9:34.0,,Turnover by M. Wagner (lost ball; steal by C. Randle),33,39
139,2,9:34.0,Personal take foul by M. Wagner (drawn by J. McRae),,33,39
140,2,9:34.0,,K. Kuzma enters the game for M. Wagner,33,39
141,2,9:20.0,Offensive foul by J. Green (drawn by A. Caruso),,33,39
142,2,9:20.0,Turnover by J. Green (offensive foul),,33,39
143,2,9:20.0,T. Satoranský enters the game for J. Green,,33,39
144,2,9:08.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. James),33,41
145,2,9:08.0,Washington full timeout,,33,41
146,2,9:08.0,,R. Rondo enters the game for A. Caruso,33,41
147,2,8:46.0,J. McRae misses 3-pt jump shot from 27 ft,,33,41
148,2,8:43.0,,Defensive rebound by L. James,33,41
149,2,8:37.0,,R. Rondo misses 2-pt jump shot from 21 ft,33,41
150,2,8:32.0,Defensive rebound by B. Portis,,33,41
151,2,8:28.0,C. Randle makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,36,41
152,2,8:11.0,,Personal foul by C. Randle (drawn by J. McGee),36,41
153,2,8:11.0,B. Beal enters the game for J. McRae,,36,41
154,2,8:03.0,,L. James makes 2-pt jump shot from 20 ft (assist by L. Stephenson),36,43
155,2,7:50.0,B. Portis makes 2-pt hook shot from 5 ft (assist by T. Satoranský),,38,43
156,2,7:36.0,,L. Stephenson misses 3-pt jump shot from 26 ft,38,43
157,2,7:34.0,Defensive rebound by Team,,38,43
158,2,7:34.0,,Loose ball foul by J. McGee (drawn by B. Portis),38,43
159,2,7:22.0,Shooting foul by J. McGee (drawn by B. Portis),,38,43
160,2,7:22.0,B. Portis makes free throw 1 of 2,,39,43
161,2,7:22.0,,K. Caldwell-Pope enters the game for J. McGee,39,43
162,2,7:22.0,,J. Williams enters the game for L. Stephenson,39,43
163,2,7:22.0,B. Portis makes free throw 2 of 2,,40,43
164,2,7:14.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by L. James),40,46
165,2,7:00.0,T. Satoranský makes 2-pt layup from 2 ft (assist by B. Portis),,42,46
166,2,6:46.0,,K. Kuzma misses 2-pt layup from 4 ft (block by C. Randle),42,46
167,2,6:43.0,Defensive rebound by C. Randle,,42,46
168,2,6:37.0,T. Satoranský misses 3-pt jump shot from 23 ft,,42,46
169,2,6:33.0,,Defensive rebound by K. Kuzma,42,46
170,2,6:31.0,,Shooting foul by T. Satoranský (drawn by J. Williams),42,46
171,2,6:31.0,,J. Williams makes free throw 1 of 2,42,47
172,2,6:31.0,T. Bryant enters the game for C. Randle,,42,47
173,2,6:31.0,,J. Williams makes free throw 2 of 2,42,48
174,2,6:20.0,J. Parker misses 3-pt jump shot from 23 ft,,42,48
175,2,6:14.0,Offensive rebound by B. Portis,,42,48
176,2,6:14.0,B. Portis makes 2-pt layup at rim,,44,48
177,2,6:05.0,,Personal foul by B. Portis (drawn by K. Kuzma),44,48
178,2,6:05.0,,K. Kuzma makes free throw 1 of 2,44,49
179,2,6:05.0,,K. Kuzma makes free throw 2 of 2,44,50
180,2,5:44.0,T. Satoranský makes 2-pt layup from 2 ft,,46,50
181,2,5:27.0,,L. James makes 2-pt jump shot from 21 ft,46,52
182,2,5:13.0,Turnover by T. Satoranský (bad pass; steal by K. Kuzma),,46,52
183,2,5:10.0,,Shooting foul by B. Portis (drawn by K. Kuzma),46,52
184,2,5:10.0,,K. Kuzma makes free throw 1 of 2,46,53
185,2,5:10.0,,K. Kuzma makes free throw 2 of 2,46,54
186,2,4:52.0,Turnover by B. Portis (traveling),,46,54
187,2,4:52.0,T. Brown enters the game for B. Portis,,46,54
188,2,4:32.0,,K. Kuzma makes 3-pt jump shot from 26 ft (assist by L. James),46,57
189,2,4:27.0,Washington full timeout,,46,57
190,2,4:11.0,Shooting foul by J. Williams (drawn by B. Beal),,46,57
191,2,4:11.0,B. Beal misses free throw 1 of 2,,46,57
192,2,4:11.0,Offensive rebound by Team,,46,57
193,2,4:11.0,B. Beal makes free throw 2 of 2,,47,57
194,2,3:56.0,,Shooting foul by B. Beal (drawn by K. Caldwell-Pope),47,57
195,2,3:56.0,,K. Caldwell-Pope makes free throw 1 of 3,47,58
196,2,3:56.0,,K. Caldwell-Pope makes free throw 2 of 3,47,59
197,2,3:56.0,,K. Caldwell-Pope makes free throw 3 of 3,47,60
198,2,3:40.0,J. Parker misses 2-pt jump shot from 6 ft,,47,60
199,2,3:33.0,Offensive rebound by J. Parker,,47,60
200,2,3:33.0,J. Parker makes 2-pt layup at rim,,49,60
201,2,3:22.0,,L. James misses 3-pt jump shot from 24 ft,49,60
202,2,3:16.0,,Offensive rebound by J. Williams,49,60
203,2,3:16.0,,J. Williams misses 2-pt layup from 1 ft,49,60
204,2,3:15.0,,Offensive rebound by K. Caldwell-Pope,49,60
205,2,3:05.0,,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),49,62
206,2,2:58.0,J. Parker makes 2-pt hook shot from 5 ft,,51,62
207,2,2:58.0,Shooting foul by J. Williams (drawn by J. Parker),,51,62
208,2,2:58.0,J. Parker makes free throw 1 of 1,,52,62
209,2,2:48.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,52,62
210,2,2:42.0,Defensive rebound by T. Bryant,,52,62
211,2,2:38.0,Offensive foul by B. Beal (drawn by J. Williams),,52,62
212,2,2:38.0,Turnover by B. Beal (offensive foul),,52,62
213,2,2:28.0,,Turnover by K. Caldwell-Pope (bad pass),52,62
214,2,2:11.0,T. Brown misses 2-pt jump shot from 5 ft,,52,62
215,2,2:09.0,,Defensive rebound by J. Williams,52,62
216,2,2:06.0,,L. James makes 2-pt dunk from 1 ft (assist by R. Rondo),52,64
217,2,1:47.0,T. Bryant misses 3-pt jump shot from 26 ft,,52,64
218,2,1:41.0,Offensive rebound by J. Parker,,52,64
219,2,1:41.0,J. Parker makes 2-pt dunk at rim,,54,64
220,2,1:34.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by L. James),54,66
221,2,1:13.0,T. Brown misses 2-pt jump shot from 15 ft,,54,66
222,2,1:10.0,,Defensive rebound by L. James,54,66
223,2,1:10.0,J. McRae enters the game for J. Parker,,54,66
224,2,0:49.0,,R. Rondo misses 3-pt jump shot from 28 ft,54,66
225,2,0:47.0,Defensive rebound by T. Satoranský,,54,66
226,2,0:39.0,T. Bryant makes 2-pt dunk from 1 ft (assist by T. Satoranský),,56,66
227,2,0:24.0,,K. Kuzma misses 2-pt jump shot from 2 ft,56,66
228,2,0:23.0,,Offensive rebound by J. Williams,56,66
229,2,0:23.0,,Personal foul by T. Brown (drawn by J. Williams),56,66
230,2,0:23.0,,J. Williams misses free throw 1 of 2,56,66
231,2,0:23.0,,Offensive rebound by Team,56,66
232,2,0:23.0,,A. Caruso enters the game for L. James,56,66
233,2,0:23.0,,L. Stephenson enters the game for R. Rondo,56,66
234,2,0:23.0,,J. Williams makes free throw 2 of 2,56,67
235,2,0:04.0,T. Brown misses 3-pt jump shot from 25 ft,,56,67
236,2,0:01.0,,Defensive rebound by L. Stephenson,56,67
237,3,11:46.0,B. Beal misses 2-pt jump shot from 16 ft,,56,67
238,3,11:44.0,Offensive rebound by Team,,56,67
239,3,11:33.0,T. Brown makes 2-pt layup from 2 ft (assist by T. Satoranský),,58,67
240,3,11:18.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,58,67
241,3,11:15.0,,Offensive rebound by J. McGee,58,67
242,3,11:15.0,,J. McGee misses 2-pt layup at rim,58,67
243,3,11:15.0,,Offensive rebound by J. McGee,58,67
244,3,11:15.0,,Shooting foul by J. Green (drawn by J. McGee),58,67
245,3,11:15.0,,J. McGee makes free throw 1 of 2,58,68
246,3,11:15.0,,J. McGee makes free throw 2 of 2,58,69
247,3,11:08.0,Offensive foul by T. Bryant (drawn by R. Rondo),,58,69
248,3,11:08.0,Turnover by T. Bryant (offensive foul),,58,69
249,3,10:57.0,,L. James makes 3-pt jump shot from 27 ft,58,72
250,3,10:42.0,B. Beal misses 3-pt jump shot from 25 ft,,58,72
251,3,10:38.0,,Defensive rebound by K. Kuzma,58,72
252,3,10:34.0,,Offensive foul by K. Kuzma (drawn by J. Green),58,72
253,3,10:34.0,,Turnover by K. Kuzma (offensive foul),58,72
254,3,10:26.0,Turnover by T. Brown (out of bounds lost ball),,58,72
255,3,10:16.0,,R. Rondo makes 3-pt jump shot from 26 ft (assist by L. James),58,75
256,3,10:12.0,Washington full timeout,,58,75
257,3,10:03.0,J. Green makes 2-pt dunk from 1 ft (assist by T. Satoranský),,60,75
258,3,9:33.0,,L. James makes 2-pt jump shot from 17 ft,60,77
259,3,9:11.0,B. Beal misses 2-pt jump shot from 20 ft,,60,77
260,3,9:08.0,,Defensive rebound by L. James,60,77
261,3,9:02.0,,K. Kuzma makes 2-pt layup from 1 ft (assist by J. McGee),60,79
262,3,8:49.0,T. Brown misses 2-pt jump shot from 19 ft (block by J. McGee),,60,79
263,3,8:47.0,Offensive rebound by T. Bryant,,60,79
264,3,8:46.0,T. Brown makes 2-pt layup from 2 ft (assist by T. Satoranský),,62,79
265,3,8:46.0,Shooting foul by K. Kuzma (drawn by T. Brown),,62,79
266,3,8:46.0,T. Brown misses free throw 1 of 1,,62,79
267,3,8:44.0,,Defensive rebound by J. McGee,62,79
268,3,8:39.0,,L. James makes 2-pt layup from 1 ft (assist by R. Rondo),62,81
269,3,8:29.0,Shooting foul by L. James (drawn by B. Beal),,62,81
270,3,8:29.0,B. Beal makes free throw 1 of 2,,63,81
271,3,8:29.0,B. Beal makes free throw 2 of 2,,64,81
272,3,8:20.0,,L. James misses 3-pt jump shot from 28 ft,64,81
273,3,8:15.0,,Offensive rebound by J. McGee,64,81
274,3,8:03.0,,K. Caldwell-Pope misses 2-pt layup from 3 ft (block by B. Beal),64,81
275,3,8:03.0,,Offensive rebound by K. Caldwell-Pope,64,81
276,3,8:03.0,,Turnover by Team (shot clock),64,81
277,3,7:54.0,Turnover by T. Satoranský (bad pass; steal by K. Caldwell-Pope),,64,81
278,3,7:49.0,,J. McGee makes 2-pt dunk from 1 ft (assist by L. James),64,83
279,3,7:37.0,B. Beal makes 3-pt jump shot from 26 ft,,67,83
280,3,7:21.0,,K. Kuzma misses 2-pt layup from 3 ft,67,83
281,3,7:18.0,Defensive rebound by T. Bryant,,67,83
282,3,7:14.0,B. Beal makes 3-pt jump shot from 27 ft,,70,83
283,3,7:14.0,,LA Lakers full timeout,70,83
284,3,7:14.0,B. Portis enters the game for J. Green,,70,83
285,3,7:03.0,,K. Caldwell-Pope makes 3-pt jump shot from 27 ft (assist by R. Rondo),70,86
286,3,6:44.0,B. Beal makes 2-pt layup from 2 ft,,72,86
287,3,6:32.0,,Turnover by J. McGee (3 sec),72,86
288,3,6:19.0,Offensive foul by T. Bryant (drawn by J. McGee),,72,86
289,3,6:19.0,Turnover by T. Bryant (offensive foul),,72,86
290,3,6:04.0,,K. Kuzma misses 2-pt layup from 3 ft (block by B. Portis),72,86
291,3,6:01.0,Defensive rebound by B. Beal,,72,86
292,3,5:51.0,T. Bryant misses 3-pt jump shot from 25 ft,,72,86
293,3,5:47.0,,Defensive rebound by J. McGee,72,86
294,3,5:44.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,72,86
295,3,5:41.0,Defensive rebound by B. Beal,,72,86
296,3,5:27.0,Turnover by B. Portis (lost ball; steal by K. Caldwell-Pope),,72,86
297,3,5:20.0,,K. Kuzma misses 2-pt layup from 6 ft (block by T. Brown),72,86
298,3,5:20.0,Defensive rebound by Team,,72,86
299,3,5:20.0,,A. Caruso enters the game for K. Kuzma,72,86
300,3,5:08.0,Personal foul by R. Rondo (drawn by B. Beal),,72,86
301,3,5:04.0,Shooting foul by R. Rondo (drawn by B. Beal),,72,86
302,3,5:04.0,B. Beal makes free throw 1 of 3,,73,86
303,3,5:04.0,B. Beal makes free throw 2 of 3,,74,86
304,3,5:04.0,B. Beal makes free throw 3 of 3,,75,86
305,3,4:51.0,,K. Caldwell-Pope makes 3-pt jump shot from 23 ft (assist by L. James),75,89
306,3,4:36.0,T. Satoranský misses 3-pt jump shot from 23 ft,,75,89
307,3,4:32.0,,Defensive rebound by A. Caruso,75,89
308,3,4:27.0,,K. Caldwell-Pope misses 3-pt jump shot from 23 ft,75,89
309,3,4:24.0,Defensive rebound by B. Beal,,75,89
310,3,4:19.0,B. Beal makes 2-pt jump shot from 9 ft,,77,89
311,3,4:18.0,,LA Lakers full timeout,77,89
312,3,4:18.0,J. McRae enters the game for T. Satoranský,,77,89
313,3,4:18.0,,L. Stephenson enters the game for L. James,77,89
314,3,4:18.0,,J. Williams enters the game for J. McGee,77,89
315,3,4:05.0,,Turnover by A. Caruso (lost ball; steal by B. Portis),77,89
316,3,4:04.0,Turnover by B. Portis (bad pass),,77,89
317,3,3:54.0,,Turnover by R. Rondo (bad pass),77,89
318,3,3:54.0,J. Parker enters the game for T. Bryant,,77,89
319,3,3:33.0,Shooting foul by J. Williams (drawn by B. Beal),,77,89
320,3,3:33.0,B. Beal misses free throw 1 of 2,,77,89
321,3,3:33.0,Offensive rebound by Team,,77,89
322,3,3:33.0,B. Beal misses free throw 2 of 2,,77,89
323,3,3:30.0,,Defensive rebound by A. Caruso,77,89
324,3,3:24.0,,Turnover by L. Stephenson (bad pass),77,89
325,3,3:14.0,J. McRae misses 3-pt jump shot from 23 ft,,77,89
326,3,3:09.0,Offensive rebound by B. Portis,,77,89
327,3,3:02.0,Turnover by B. Beal (bad pass; steal by R. Rondo),,77,89
328,3,2:57.0,,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by R. Rondo),77,91
329,3,2:45.0,B. Beal makes 2-pt jump shot from 4 ft,,79,91
330,3,2:31.0,,R. Rondo misses 3-pt jump shot from 27 ft,79,91
331,3,2:26.0,Defensive rebound by B. Portis,,79,91
332,3,2:17.0,T. Brown misses 2-pt jump shot from 4 ft,,79,91
333,3,2:14.0,,Defensive rebound by R. Rondo,79,91
334,3,2:12.0,,L. Stephenson makes 2-pt layup from 2 ft (assist by R. Rondo),79,93
335,3,1:52.0,B. Beal misses 2-pt jump shot from 16 ft,,79,93
336,3,1:49.0,,Defensive rebound by L. Stephenson,79,93
337,3,1:43.0,,R. Rondo makes 2-pt layup from 1 ft (assist by L. Stephenson),79,95
338,3,1:29.0,Personal foul by L. Stephenson (drawn by B. Portis),,79,95
339,3,1:29.0,B. Portis makes free throw 1 of 2,,80,95
340,3,1:29.0,C. Randle enters the game for B. Beal,,80,95
341,3,1:29.0,,M. Wagner enters the game for K. Caldwell-Pope,80,95
342,3,1:29.0,B. Portis makes free throw 2 of 2,,81,95
343,3,1:15.0,,Shooting foul by C. Randle (drawn by M. Wagner),81,95
344,3,1:15.0,,M. Wagner makes free throw 1 of 2,81,96
345,3,1:15.0,,M. Wagner makes free throw 2 of 2,81,97
346,3,1:07.0,J. Parker makes 2-pt layup from 2 ft,,83,97
347,3,0:56.0,,Turnover by M. Wagner (traveling),83,97
348,3,0:37.0,B. Portis misses 3-pt jump shot from 25 ft,,83,97
349,3,0:35.0,,Defensive rebound by L. Stephenson,83,97
350,3,0:34.0,,Turnover by L. Stephenson (bad pass),83,97
351,3,0:31.0,J. McRae misses 3-pt jump shot from 25 ft,,83,97
352,3,0:27.0,,Defensive rebound by R. Rondo,83,97
353,3,0:06.0,,A. Caruso misses 3-pt jump shot from 23 ft,83,97
354,3,0:02.0,Defensive rebound by B. Portis,,83,97
355,3,0:00.0,J. Parker misses 2-pt layup from 1 ft,,83,97
356,3,0:00.0,Offensive rebound by Team,,83,97
357,4,11:47.0,,L. James misses 2-pt jump shot from 16 ft,83,97
358,4,11:42.0,Defensive rebound by C. Randle,,83,97
359,4,11:37.0,J. Parker makes 2-pt hook shot from 6 ft (assist by C. Randle),,85,97
360,4,11:37.0,,Violation by Team (def goaltending),85,97
361,4,11:17.0,,A. Caruso makes 3-pt jump shot from 23 ft (assist by M. Wagner),85,100
362,4,10:56.0,J. McRae makes 2-pt jump shot from 20 ft (assist by B. Portis),,87,100
363,4,10:46.0,,Personal foul by T. Satoranský (drawn by J. McGee),87,100
364,4,10:38.0,,M. Wagner makes 2-pt layup from 2 ft (assist by L. James),87,102
365,4,10:26.0,Turnover by C. Randle (traveling),,87,102
366,4,10:05.0,,Turnover by M. Wagner (lost ball; steal by J. McRae),87,102
367,4,10:00.0,J. Parker misses 2-pt layup from 2 ft,,87,102
368,4,9:57.0,,Defensive rebound by J. McGee,87,102
369,4,9:55.0,,Offensive foul by L. Stephenson (drawn by T. Satoranský),87,102
370,4,9:55.0,,Turnover by L. Stephenson (offensive foul),87,102
371,4,9:39.0,J. McRae makes 2-pt jump shot from 15 ft (assist by B. Portis),,89,102
372,4,9:19.0,,L. James misses 3-pt jump shot from 26 ft,89,102
373,4,9:16.0,Defensive rebound by J. McRae,,89,102
374,4,9:11.0,J. McRae makes 2-pt layup from 2 ft,,91,102
375,4,8:59.0,,A. Caruso misses 3-pt jump shot from 26 ft,91,102
376,4,8:56.0,Defensive rebound by J. McRae,,91,102
377,4,8:44.0,C. Randle misses 3-pt jump shot from 28 ft,,91,102
378,4,8:40.0,,Defensive rebound by L. James,91,102
379,4,8:37.0,,Personal take foul by J. McRae (drawn by L. James),91,102
380,4,8:37.0,B. Beal enters the game for C. Randle,,91,102
381,4,8:29.0,,Personal foul by J. Parker (drawn by J. McGee),91,102
382,4,8:24.0,,M. Wagner makes 2-pt layup from 1 ft (assist by L. James),91,104
383,4,8:07.0,B. Portis misses 2-pt jump shot from 9 ft,,91,104
384,4,8:04.0,,Defensive rebound by J. McGee,91,104
385,4,7:49.0,,L. James makes 2-pt layup from 1 ft,91,106
