,QUARTER,TIME_REMAINING,CHICAGO_ACTION,LA LAKERS_ACTION,CHICAGO_SCORE,LA LAKERS_SCORE
152,2,7:48.0,R. Arcidiacono makes free throw 2 of 3,,29,24
153,2,7:48.0,,K. Caldwell-Pope enters the game for S. Mykhailiuk,29,24
154,2,7:48.0,R. Arcidiacono makes free throw 3 of 3,,30,24
155,2,7:29.0,,Shooting foul by B. Portis (drawn by I. Zubac),30,24
156,2,7:29.0,,I. Zubac makes free throw 1 of 2,30,25
157,2,7:29.0,K. Dunn enters the game for R. Arcidiacono,,30,25
158,2,7:29.0,,B. Ingram enters the game for M. Beasley,30,25
159,2,7:29.0,,I. Zubac misses free throw 2 of 2,30,25
160,2,7:26.0,,Offensive rebound by K. Kuzma,30,25
161,2,7:23.0,,I. Zubac makes 2-pt layup from 2 ft (assist by L. Ball),30,27
162,2,7:07.0,B. Portis misses 2-pt jump shot from 21 ft,,30,27
163,2,7:04.0,,Defensive rebound by I. Zubac,30,27
164,2,6:50.0,,B. Ingram misses 3-pt jump shot from 25 ft,30,27
165,2,6:47.0,,Offensive rebound by L. Ball,30,27
166,2,6:47.0,,K. Kuzma makes 2-pt layup from 2 ft (assist by L. Ball),30,29
167,2,6:47.0,Chicago full timeout,,30,29
168,2,6:47.0,W. Carter enters the game for J. Parker,,30,29
169,2,6:47.0,L. Markkanen enters the game for B. Portis,,30,29
170,2,6:47.0,,T. Chandler enters the game for I. Zubac,30,29
171,2,6:23.0,Turnover by Team (shot clock),,30,29
172,2,6:01.0,,Shooting foul by W. Carter (drawn by T. Chandler),30,29
173,2,6:01.0,,T. Chandler makes free throw 1 of 2,30,30
174,2,6:01.0,,T. Chandler makes free throw 2 of 2,30,31
175,2,5:48.0,W. Carter makes 2-pt layup from 2 ft (assist by Z. LaVine),,32,31
176,2,5:27.0,,L. Ball makes 2-pt jump shot from 5 ft,32,33
177,2,5:09.0,L. Markkanen misses 2-pt jump shot from 10 ft,,32,33
178,2,5:06.0,,Defensive rebound by L. Ball,32,33
179,2,5:00.0,,K. Kuzma misses 3-pt jump shot from 25 ft,32,33
180,2,4:54.0,,Offensive rebound by K. Kuzma,32,33
181,2,4:45.0,,K. Kuzma misses 3-pt jump shot from 26 ft,32,33
182,2,4:42.0,Defensive rebound by W. Carter,,32,33
183,2,4:36.0,Z. LaVine misses 2-pt layup from 4 ft (block by T. Chandler),,32,33
184,2,4:33.0,,Defensive rebound by K. Kuzma,32,33
185,2,4:24.0,,Turnover by K. Kuzma (bad pass),32,33
186,2,4:09.0,Turnover by L. Markkanen (bad pass; steal by L. Ball),,32,33
187,2,4:06.0,,Turnover by L. Ball (bad pass),32,33
188,2,4:06.0,C. Hutchison enters the game for Z. LaVine,,32,33
189,2,3:56.0,K. Dunn makes 2-pt jump shot from 17 ft,,34,33
190,2,3:36.0,,K. Caldwell-Pope makes 3-pt jump shot from 26 ft (assist by B. Ingram),34,36
191,2,3:20.0,Shooting foul by T. Chandler (drawn by K. Dunn),,34,36
192,2,3:20.0,K. Dunn makes free throw 1 of 2,,35,36
193,2,3:20.0,K. Dunn makes free throw 2 of 2,,36,36
194,2,3:07.0,,B. Ingram misses 2-pt layup from 3 ft,36,36
195,2,3:04.0,Defensive rebound by K. Dunn,,36,36
196,2,2:59.0,K. Dunn misses 2-pt jump shot from 11 ft,,36,36
197,2,2:55.0,,Defensive rebound by T. Chandler,36,36
198,2,2:50.0,,B. Ingram makes 2-pt jump shot from 4 ft,36,38
199,2,2:31.0,L. Markkanen makes 3-pt jump shot from 25 ft (assist by K. Dunn),,39,38
200,2,2:09.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,39,38
201,2,2:05.0,,Offensive rebound by K. Caldwell-Pope,39,38
202,2,2:03.0,,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,39,38
203,2,2:00.0,Defensive rebound by K. Dunn,,39,38
204,2,1:51.0,W. Carter misses 2-pt hook shot from 10 ft,,39,38
205,2,1:48.0,,Defensive rebound by K. Kuzma,39,38
206,2,1:39.0,,K. Kuzma makes 2-pt hook shot from 4 ft,39,40
207,2,1:19.0,L. Markkanen misses 3-pt jump shot from 25 ft,,39,40
208,2,1:15.0,,Defensive rebound by K. Caldwell-Pope,39,40
209,2,1:10.0,,L. Ball makes 2-pt layup from 2 ft,39,42
210,2,1:06.0,Shooting foul by T. Chandler (drawn by C. Hutchison),,39,42
211,2,1:06.0,C. Hutchison makes free throw 1 of 2,,40,42
212,2,1:06.0,J. Parker enters the game for L. Markkanen,,40,42
213,2,1:06.0,,J. McGee enters the game for T. Chandler,40,42
214,2,1:06.0,C. Hutchison makes free throw 2 of 2,,41,42
215,2,0:50.0,,B. Ingram makes 2-pt layup from 4 ft,41,44
216,2,0:35.0,C. Hutchison misses 2-pt layup from 4 ft (block by J. McGee),,41,44
217,2,0:31.0,Offensive rebound by J. Parker,,41,44
218,2,0:30.0,J. Parker makes 2-pt jump shot from 14 ft,,43,44
219,2,0:22.0,,K. Kuzma misses 3-pt jump shot from 26 ft,43,44
220,2,0:22.0,,Offensive rebound by Team,43,44
221,2,0:22.0,R. Arcidiacono enters the game for W. Carter,,43,44
222,2,0:22.0,B. Portis enters the game for K. Dunn,,43,44
223,2,0:07.0,,Personal take foul by S. Harrison (drawn by L. Ball),43,44
224,2,0:00.0,,Turnover by B. Ingram (lost ball; steal by J. Parker),43,44
225,3,11:43.0,,Turnover by B. Ingram (bad pass; steal by C. Hutchison),43,44
226,3,11:27.0,L. Markkanen makes 3-pt jump shot from 27 ft (assist by Z. LaVine),,46,44
227,3,11:09.0,,L. Ball misses 3-pt jump shot from 26 ft,46,44
228,3,11:04.0,Defensive rebound by C. Hutchison,,46,44
229,3,10:57.0,Z. LaVine makes 2-pt jump shot from 17 ft,,48,44
230,3,10:41.0,,L. Ball misses 2-pt jump shot from 3 ft,48,44
231,3,10:38.0,Defensive rebound by K. Dunn,,48,44
232,3,10:38.0,Turnover by K. Dunn (bad pass),,48,44
233,3,10:22.0,,K. Kuzma makes 2-pt jump shot from 4 ft (assist by K. Caldwell-Pope),48,46
234,3,10:03.0,L. Markkanen misses 3-pt jump shot from 26 ft,,48,46
235,3,10:00.0,,Defensive rebound by K. Kuzma,48,46
236,3,9:59.0,,Offensive foul by K. Kuzma (drawn by L. Markkanen),48,46
237,3,9:59.0,,Turnover by K. Kuzma (offensive foul),48,46
238,3,9:35.0,Turnover by Team (shot clock),,48,46
239,3,9:24.0,,K. Caldwell-Pope makes 2-pt jump shot from 20 ft (assist by T. Chandler),48,48
240,3,9:04.0,Turnover by Z. LaVine (bad pass; steal by L. Ball),,48,48
241,3,8:47.0,,T. Chandler makes 2-pt layup from 2 ft (assist by K. Kuzma),48,50
242,3,8:46.0,Chicago full timeout,,48,50
243,3,8:33.0,Turnover by W. Carter (bad pass; steal by K. Caldwell-Pope),,48,50
244,3,8:24.0,,K. Caldwell-Pope misses 2-pt jump shot from 6 ft,48,50
245,3,8:20.0,Defensive rebound by W. Carter,,48,50
246,3,7:58.0,W. Carter misses 2-pt jump shot from 15 ft,,48,50
247,3,7:54.0,,Defensive rebound by L. Ball,48,50
248,3,7:48.0,,L. Ball makes 3-pt jump shot from 26 ft,48,53
249,3,7:23.0,Turnover by Z. LaVine (bad pass; steal by B. Ingram),,48,53
250,3,7:18.0,,L. Ball makes 3-pt jump shot from 25 ft (assist by B. Ingram),48,56
251,3,7:17.0,Chicago full timeout,,48,56
252,3,7:17.0,R. Arcidiacono enters the game for K. Dunn,,48,56
253,3,6:55.0,L. Markkanen misses 2-pt jump shot from 17 ft,,48,56
254,3,6:50.0,,Defensive rebound by L. Ball,48,56
255,3,6:35.0,,B. Ingram misses 2-pt jump shot from 15 ft,48,56
256,3,6:32.0,Defensive rebound by C. Hutchison,,48,56
257,3,6:27.0,Shooting foul by B. Ingram (drawn by Z. LaVine),,48,56
258,3,6:27.0,Z. LaVine misses free throw 1 of 2,,48,56
259,3,6:27.0,Offensive rebound by Team,,48,56
260,3,6:27.0,Z. LaVine makes free throw 2 of 2,,49,56
261,3,6:15.0,,Shooting foul by C. Hutchison (drawn by T. Chandler),49,56
262,3,6:15.0,,T. Chandler misses free throw 1 of 2,49,56
263,3,6:15.0,,Offensive rebound by Team,49,56
264,3,6:15.0,,T. Chandler misses free throw 2 of 2,49,56
265,3,6:13.0,Defensive rebound by C. Hutchison,,49,56
266,3,5:53.0,L. Markkanen makes 2-pt layup from 5 ft,,51,56
267,3,5:53.0,,Personal foul by R. Arcidiacono (drawn by K. Caldwell-Pope),51,56
268,3,5:45.0,,B. Ingram misses 2-pt jump shot from 8 ft,51,56
269,3,5:41.0,Defensive rebound by W. Carter,,51,56
270,3,5:32.0,L. Markkanen makes 2-pt jump shot from 7 ft (assist by Z. LaVine),,53,56
271,3,5:17.0,,L. Ball misses 2-pt jump shot from 2 ft,53,56
272,3,5:17.0,,Offensive rebound by L. Ball,53,56
273,3,5:14.0,,L. Ball makes 2-pt layup from 1 ft,53,58
274,3,4:58.0,Z. LaVine makes 2-pt jump shot from 19 ft,,55,58
275,3,4:38.0,,L. Ball makes 3-pt jump shot from 24 ft (assist by B. Ingram),55,61
276,3,4:19.0,C. Hutchison misses 2-pt layup from 2 ft,,55,61
277,3,4:15.0,Offensive rebound by C. Hutchison,,55,61
278,3,4:15.0,C. Hutchison makes 2-pt layup at rim,,57,61
279,3,4:12.0,,LA Lakers full timeout,57,61
280,3,4:12.0,,J. McGee enters the game for T. Chandler,57,61
281,3,4:01.0,,J. McGee makes 2-pt layup from 4 ft (assist by L. Ball),57,63
282,3,3:45.0,L. Markkanen makes 2-pt jump shot from 11 ft,,59,63
283,3,3:33.0,,Personal foul by W. Carter (drawn by B. Ingram),59,63
284,3,3:33.0,,J. Hart enters the game for B. Ingram,59,63
285,3,3:28.0,,K. Kuzma makes 3-pt jump shot from 25 ft (assist by L. Ball),59,66
286,3,3:12.0,W. Carter misses 2-pt hook shot from 7 ft,,59,66
287,3,3:10.0,Offensive rebound by Team,,59,66
288,3,3:10.0,S. Harrison enters the game for C. Hutchison,,59,66
289,3,3:07.0,Z. LaVine makes 3-pt jump shot from 26 ft (assist by W. Carter),,62,66
290,3,2:52.0,,K. Kuzma makes 2-pt jump shot from 5 ft (assist by L. Ball),62,68
291,3,2:43.0,Z. LaVine misses 2-pt layup from 4 ft,,62,68
292,3,2:43.0,,Defensive rebound by K. Kuzma,62,68
293,3,2:43.0,,Personal take foul by Z. LaVine (drawn by K. Kuzma),62,68
294,3,2:43.0,J. Parker enters the game for W. Carter,,62,68
295,3,2:43.0,B. Portis enters the game for L. Markkanen,,62,68
296,3,2:30.0,,J. McGee misses 2-pt layup from 4 ft (block by R. Arcidiacono),62,68
297,3,2:26.0,Defensive rebound by S. Harrison,,62,68
298,3,2:21.0,Turnover by Z. LaVine (lost ball; steal by K. Caldwell-Pope),,62,68
299,3,2:19.0,,Shooting foul by S. Harrison (drawn by K. Caldwell-Pope),62,68
300,3,2:19.0,,K. Caldwell-Pope makes free throw 1 of 2,62,69
301,3,2:19.0,W. Selden enters the game for Z. LaVine,,62,69
302,3,2:19.0,,K. Caldwell-Pope makes free throw 2 of 2,62,70
303,3,2:07.0,S. Harrison makes 3-pt jump shot from 25 ft (assist by B. Portis),,65,70
304,3,1:54.0,,K. Kuzma misses 3-pt jump shot from 27 ft,65,70
305,3,1:51.0,Defensive rebound by R. Arcidiacono,,65,70
306,3,1:44.0,S. Harrison misses 2-pt jump shot from 11 ft,,65,70
307,3,1:39.0,,Defensive rebound by K. Kuzma,65,70
308,3,1:35.0,,K. Caldwell-Pope misses 3-pt jump shot from 27 ft,65,70
309,3,1:31.0,,Offensive rebound by J. McGee,65,70
310,3,1:31.0,,Personal take foul by B. Portis (drawn by J. McGee),65,70
311,3,1:31.0,K. Dunn enters the game for R. Arcidiacono,,65,70
312,3,1:31.0,,S. Mykhailiuk enters the game for K. Caldwell-Pope,65,70
313,3,1:31.0,,J. McGee makes free throw 1 of 2,65,71
314,3,1:31.0,,J. McGee makes free throw 2 of 2,65,72
315,3,1:15.0,B. Portis misses 2-pt layup from 5 ft,,65,72
316,3,1:13.0,,Defensive rebound by K. Kuzma,65,72
317,3,1:09.0,,K. Kuzma misses 2-pt layup from 4 ft (block by K. Dunn),65,72
318,3,1:06.0,Defensive rebound by K. Dunn,,65,72
319,3,1:04.0,W. Selden makes 3-pt jump shot from 25 ft (assist by K. Dunn),,68,72
320,3,0:45.0,,Personal foul by S. Harrison (drawn by K. Kuzma),68,72
321,3,0:45.0,,K. Kuzma makes free throw 1 of 2,68,73
322,3,0:45.0,,K. Kuzma makes free throw 2 of 2,68,74
323,3,0:32.0,Shooting foul by S. Mykhailiuk (drawn by S. Harrison),,68,74
324,3,0:32.0,S. Harrison misses free throw 1 of 2,,68,74
325,3,0:32.0,Offensive rebound by Team,,68,74
326,3,0:32.0,S. Harrison misses free throw 2 of 2,,68,74
327,3,0:31.0,,Defensive rebound by Team,68,74
328,3,0:18.0,,L. Ball makes 2-pt jump shot from 9 ft (assist by J. McGee),68,76
329,3,0:00.0,S. Harrison misses 2-pt layup from 3 ft,,68,76
330,3,0:00.0,Offensive rebound by Team,,68,76
331,4,11:43.0,J. Parker misses 2-pt hook shot from 7 ft,,68,76
332,4,11:40.0,,Defensive rebound by M. Beasley,68,76
333,4,11:30.0,,J. McGee misses 2-pt layup from 2 ft,68,76
334,4,11:27.0,,Offensive rebound by J. McGee,68,76
335,4,11:27.0,,J. McGee misses 2-pt layup from 1 ft,68,76
336,4,11:27.0,,Offensive rebound by J. McGee,68,76
337,4,11:25.0,,J. McGee makes 2-pt layup from 1 ft,68,78
338,4,11:20.0,Shooting foul by M. Beasley (drawn by J. Parker),,68,78
339,4,11:20.0,J. Parker makes free throw 1 of 2,,69,78
340,4,11:20.0,J. Parker makes free throw 2 of 2,,70,78
341,4,10:57.0,,M. Beasley misses 2-pt layup from 3 ft,70,78
342,4,10:56.0,,Offensive rebound by M. Beasley,70,78
343,4,10:56.0,,Shooting foul by B. Portis (drawn by M. Beasley),70,78
344,4,10:56.0,,M. Beasley makes free throw 1 of 2,70,79
345,4,10:56.0,,M. Beasley makes free throw 2 of 2,70,80
346,4,10:43.0,K. Dunn makes 2-pt jump shot from 9 ft,,72,80
347,4,10:24.0,Violation by Team (kicked ball),,72,80
348,4,10:16.0,,Turnover by M. Beasley (lost ball; steal by K. Dunn),72,80
349,4,10:12.0,W. Selden makes 2-pt layup from 2 ft (assist by J. Parker),,74,80
350,4,10:04.0,,Personal foul by B. Portis (drawn by J. McGee),74,80
351,4,9:55.0,,J. McGee misses 2-pt hook shot from 5 ft,74,80
352,4,9:53.0,Defensive rebound by B. Portis,,74,80
353,4,9:37.0,S. Harrison misses 3-pt jump shot from 24 ft,,74,80
354,4,9:32.0,Offensive rebound by J. Parker,,74,80
355,4,9:32.0,J. Parker makes 2-pt dunk at rim,,76,80
356,4,9:32.0,,LA Lakers full timeout,76,80
357,4,9:32.0,,T. Chandler enters the game for J. McGee,76,80
358,4,9:18.0,,M. Beasley misses 2-pt hook shot from 4 ft,76,80
359,4,9:15.0,Defensive rebound by W. Selden,,76,80
360,4,9:08.0,B. Portis misses 3-pt jump shot from 25 ft,,76,80
361,4,9:05.0,,Defensive rebound by B. Ingram,76,80
362,4,9:02.0,,S. Mykhailiuk makes 3-pt jump shot from 24 ft (assist by B. Ingram),76,83
363,4,8:50.0,K. Dunn misses 2-pt jump shot from 13 ft,,76,83
364,4,8:46.0,,Defensive rebound by B. Ingram,76,83
365,4,8:42.0,,Shooting foul by K. Dunn (drawn by B. Ingram),76,83
366,4,8:42.0,,B. Ingram makes free throw 1 of 2,76,84
367,4,8:42.0,Z. LaVine enters the game for S. Harrison,,76,84
368,4,8:42.0,,L. Ball enters the game for M. Beasley,76,84
369,4,8:42.0,,B. Ingram misses free throw 2 of 2,76,84
370,4,8:40.0,Defensive rebound by Z. LaVine,,76,84
371,4,8:22.0,Z. LaVine misses 3-pt jump shot from 29 ft,,76,84
372,4,8:19.0,,Defensive rebound by B. Ingram,76,84
373,4,8:08.0,,S. Mykhailiuk misses 3-pt jump shot from 23 ft,76,84
374,4,8:02.0,Defensive rebound by B. Portis,,76,84
375,4,8:01.0,Offensive foul by W. Selden (drawn by S. Mykhailiuk),,76,84
376,4,8:01.0,Turnover by W. Selden (offensive foul),,76,84
377,4,7:50.0,,S. Mykhailiuk makes 3-pt jump shot from 26 ft (assist by T. Chandler),76,87
378,4,7:50.0,Chicago full timeout,,76,87
379,4,7:30.0,B. Portis misses 3-pt jump shot from 25 ft,,76,87
