,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
145,2,7:03.0,Turnover by M. Monk (bad pass),,51,37
146,2,6:49.0,,Offensive foul by R. Covington (drawn by M. Kidd-Gilchrist),51,37
147,2,6:49.0,,Turnover by R. Covington (offensive foul),51,37
148,2,6:49.0,,J. Teague enters the game for R. Covington,51,37
149,2,6:49.0,,A. Wiggins enters the game for T. Jones,51,37
150,2,6:33.0,N. Batum misses 2-pt jump shot from 15 ft,,51,37
151,2,6:29.0,Offensive rebound by C. Zeller,,51,37
152,2,6:29.0,C. Zeller misses 2-pt layup from 1 ft,,51,37
153,2,6:28.0,,Defensive rebound by K. Towns,51,37
154,2,6:24.0,,D. Šarić makes 3-pt jump shot from 23 ft (assist by D. Rose),51,40
155,2,6:09.0,M. Monk makes 2-pt layup from 2 ft (assist by N. Batum),,53,40
156,2,6:00.0,,D. Rose misses 2-pt layup at rim,53,40
157,2,5:59.0,,Offensive rebound by D. Rose,53,40
158,2,5:56.0,,Turnover by D. Rose (lost ball; steal by M. Kidd-Gilchrist),53,40
159,2,5:53.0,M. Monk makes 2-pt layup from 1 ft,,55,40
160,2,5:42.0,,K. Towns makes 2-pt jump shot from 20 ft,55,42
161,2,5:28.0,Personal foul by K. Towns (drawn by C. Zeller),,55,42
162,2,5:28.0,K. Walker enters the game for T. Parker,,55,42
163,2,5:28.0,,T. Gibson enters the game for D. Šarić,55,42
164,2,5:18.0,N. Batum misses 3-pt jump shot from 23 ft,,55,42
165,2,5:14.0,,Defensive rebound by A. Wiggins,55,42
166,2,4:58.0,,A. Wiggins misses 2-pt layup from 2 ft,55,42
167,2,4:55.0,Defensive rebound by C. Zeller,,55,42
168,2,4:47.0,Turnover by M. Kidd-Gilchrist (traveling),,55,42
169,2,4:36.0,,Turnover by J. Teague (lost ball; steal by M. Monk),55,42
170,2,4:33.0,Shooting foul by T. Gibson (drawn by M. Monk),,55,42
171,2,4:33.0,M. Monk makes free throw 1 of 2,,56,42
172,2,4:33.0,M. Monk makes free throw 2 of 2,,57,42
173,2,4:14.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Teague),57,45
174,2,4:00.0,C. Zeller misses 3-pt jump shot from 25 ft,,57,45
175,2,3:56.0,,Defensive rebound by T. Gibson,57,45
176,2,3:46.0,,A. Wiggins misses 2-pt jump shot from 8 ft,57,45
177,2,3:43.0,,Offensive rebound by K. Towns,57,45
178,2,3:42.0,,K. Towns misses 2-pt jump shot from 7 ft,57,45
179,2,3:42.0,,Offensive rebound by A. Wiggins,57,45
180,2,3:39.0,,A. Wiggins makes 2-pt dunk at rim,57,47
181,2,3:39.0,Charlotte full timeout,,57,47
182,2,3:39.0,J. Lamb enters the game for M. Monk,,57,47
183,2,3:21.0,M. Kidd-Gilchrist misses 3-pt jump shot from 24 ft,,57,47
184,2,3:18.0,,Defensive rebound by A. Wiggins,57,47
185,2,3:11.0,,A. Wiggins misses 3-pt jump shot from 26 ft,57,47
186,2,3:09.0,,Offensive rebound by Team,57,47
187,2,3:09.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,57,47
188,2,3:00.0,,A. Wiggins makes 2-pt jump shot from 11 ft (assist by J. Teague),57,49
189,2,2:46.0,J. Lamb misses 2-pt jump shot from 11 ft,,57,49
190,2,2:44.0,Offensive rebound by J. Lamb,,57,49
191,2,2:40.0,C. Zeller makes 2-pt layup from 1 ft (assist by J. Lamb),,59,49
192,2,2:30.0,,D. Rose makes 2-pt layup from 1 ft,59,51
193,2,2:10.0,J. Lamb makes 3-pt jump shot from 25 ft,,62,51
194,2,2:00.0,,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Teague),62,53
195,2,2:00.0,,Shooting foul by F. Kaminsky (drawn by A. Wiggins),62,53
196,2,2:00.0,,A. Wiggins misses free throw 1 of 1,62,53
197,2,1:57.0,,Offensive rebound by K. Towns,62,53
198,2,1:56.0,,K. Towns makes 3-pt jump shot from 24 ft,62,56
199,2,1:39.0,K. Walker misses 3-pt jump shot from 25 ft,,62,56
200,2,1:34.0,,Defensive rebound by J. Teague,62,56
201,2,1:28.0,,D. Rose makes 2-pt layup from 1 ft (assist by A. Wiggins),62,58
202,2,1:13.0,K. Walker misses 2-pt layup from 2 ft (block by J. Teague),,62,58
203,2,1:12.0,,Defensive rebound by A. Wiggins,62,58
204,2,0:56.0,,D. Rose makes 2-pt layup from 1 ft (assist by A. Wiggins),62,60
205,2,0:46.0,N. Batum misses 3-pt jump shot from 25 ft,,62,60
206,2,0:43.0,,Defensive rebound by A. Wiggins,62,60
207,2,0:38.0,,Personal foul by F. Kaminsky (drawn by T. Gibson),62,60
208,2,0:38.0,Technical foul by F. Kaminsky,,62,60
209,2,0:38.0,M. Kidd-Gilchrist enters the game for F. Kaminsky,,62,60
210,2,0:38.0,,J. Teague makes technical free throw,62,61
211,2,0:38.0,,T. Gibson misses free throw 1 of 2,62,61
212,2,0:38.0,,Offensive rebound by Team,62,61
213,2,0:38.0,,T. Gibson makes free throw 2 of 2,62,62
214,2,0:30.0,J. Lamb makes 2-pt jump shot from 12 ft,,64,62
215,2,0:10.0,,A. Wiggins misses 2-pt jump shot from 19 ft,64,62
216,2,0:07.0,Defensive rebound by J. Lamb,,64,62
217,2,0:00.0,J. Lamb misses 2-pt jump shot from 6 ft (block by K. Towns),,64,62
218,2,0:00.0,,Defensive rebound by T. Gibson,64,62
219,2,0:00.0,,T. Gibson misses 3-pt jump shot from 65 ft,64,62
220,2,0:00.0,,Offensive rebound by Team,64,62
221,3,11:51.0,C. Zeller makes 2-pt layup from 1 ft (assist by N. Batum),,66,62
222,3,11:31.0,,A. Wiggins makes 2-pt jump shot from 17 ft (assist by J. Teague),66,64
223,3,11:11.0,N. Batum misses 2-pt jump shot from 15 ft (block by A. Wiggins),,66,64
224,3,11:11.0,Offensive rebound by Team,,66,64
225,3,11:07.0,K. Walker misses 3-pt jump shot from 25 ft,,66,64
226,3,11:05.0,,Defensive rebound by T. Gibson,66,64
227,3,10:55.0,,Turnover by K. Towns (traveling),66,64
228,3,10:36.0,M. Kidd-Gilchrist makes 2-pt jump shot from 16 ft (assist by K. Walker),,68,64
229,3,10:23.0,,Turnover by A. Wiggins (bad pass; steal by C. Zeller),68,64
230,3,10:18.0,M. Kidd-Gilchrist misses 2-pt jump shot from 5 ft (block by K. Towns),,68,64
231,3,10:15.0,Offensive rebound by M. Kidd-Gilchrist,,68,64
232,3,10:11.0,J. Lamb misses 2-pt jump shot from 9 ft,,68,64
233,3,10:09.0,Offensive rebound by C. Zeller,,68,64
234,3,10:00.0,J. Lamb misses 3-pt jump shot from 25 ft,,68,64
235,3,9:57.0,,Defensive rebound by T. Gibson,68,64
236,3,9:46.0,,Personal foul by J. Lamb (drawn by R. Covington),68,64
237,3,9:38.0,,K. Towns makes 2-pt jump shot from 20 ft (assist by J. Teague),68,66
238,3,9:24.0,N. Batum misses 2-pt layup from 1 ft,,68,66
239,3,9:24.0,,Defensive rebound by T. Gibson,68,66
240,3,9:10.0,,J. Teague misses 2-pt jump shot from 13 ft,68,66
241,3,9:06.0,Defensive rebound by C. Zeller,,68,66
242,3,9:06.0,J. Lamb misses 2-pt layup from 3 ft (block by R. Covington),,68,66
243,3,9:04.0,,Defensive rebound by Team,68,66
244,3,8:45.0,,T. Gibson makes 3-pt jump shot from 23 ft (assist by A. Wiggins),68,69
245,3,8:27.0,K. Walker misses 2-pt layup from 3 ft,,68,69
246,3,8:25.0,Offensive rebound by M. Kidd-Gilchrist,,68,69
247,3,8:25.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft (block by K. Towns),,68,69
248,3,8:25.0,Offensive rebound by M. Kidd-Gilchrist,,68,69
249,3,8:18.0,M. Kidd-Gilchrist makes 2-pt layup from 9 ft,,70,69
250,3,8:11.0,,Turnover by A. Wiggins (traveling),70,69
251,3,7:59.0,J. Lamb misses 3-pt jump shot from 25 ft,,70,69
252,3,7:55.0,Offensive rebound by M. Kidd-Gilchrist,,70,69
253,3,7:55.0,M. Kidd-Gilchrist misses 2-pt layup from 2 ft,,70,69
254,3,7:55.0,,Defensive rebound by Team,70,69
255,3,7:41.0,,K. Towns misses 3-pt jump shot from 25 ft,70,69
256,3,7:37.0,Defensive rebound by J. Lamb,,70,69
257,3,7:28.0,K. Walker misses 3-pt jump shot from 25 ft,,70,69
258,3,7:24.0,,Defensive rebound by K. Towns,70,69
259,3,7:19.0,,K. Towns makes 2-pt layup from 7 ft (assist by J. Teague),70,71
260,3,7:19.0,,Shooting foul by M. Kidd-Gilchrist (drawn by K. Towns),70,71
261,3,7:19.0,,K. Towns makes free throw 1 of 1,70,72
262,3,7:10.0,Turnover by C. Zeller (bad pass; steal by J. Teague),,70,72
263,3,7:07.0,,J. Teague makes 2-pt layup from 1 ft,70,74
264,3,7:05.0,Charlotte full timeout,,70,74
265,3,6:50.0,N. Batum makes 3-pt jump shot from 24 ft (assist by K. Walker),,73,74
266,3,6:27.0,,K. Towns misses 2-pt jump shot from 10 ft,73,74
267,3,6:26.0,,Offensive rebound by Team,73,74
268,3,6:26.0,Loose ball foul by K. Walker (drawn by R. Covington),,73,74
269,3,6:14.0,,J. Teague misses 2-pt jump shot from 9 ft,73,74
270,3,6:12.0,Defensive rebound by Team,,73,74
271,3,6:00.0,K. Walker makes 2-pt jump shot from 16 ft,,75,74
272,3,5:35.0,,R. Covington makes 2-pt jump shot from 6 ft (assist by J. Teague),75,76
273,3,5:31.0,Turnover by K. Walker (lost ball; steal by K. Towns),,75,76
274,3,5:30.0,,Shooting foul by C. Zeller (drawn by K. Towns),75,76
275,3,5:30.0,,K. Towns misses free throw 1 of 2,75,76
276,3,5:30.0,,Offensive rebound by Team,75,76
277,3,5:30.0,,K. Towns makes free throw 2 of 2,75,77
278,3,5:18.0,K. Walker misses 3-pt jump shot from 25 ft,,75,77
279,3,5:15.0,,Defensive rebound by K. Towns,75,77
280,3,5:01.0,,K. Towns makes 2-pt hook shot from 9 ft (assist by T. Gibson),75,79
281,3,4:46.0,J. Lamb misses 2-pt layup from 9 ft,,75,79
282,3,4:42.0,,Defensive rebound by T. Gibson,75,79
283,3,4:26.0,,A. Wiggins misses 2-pt layup from 1 ft,75,79
284,3,4:26.0,Defensive rebound by Team,,75,79
285,3,4:26.0,,Loose ball foul by K. Towns (drawn by M. Kidd-Gilchrist),75,79
286,3,4:26.0,M. Bridges enters the game for N. Batum,,75,79
287,3,4:26.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,75,79
288,3,4:17.0,K. Walker makes 2-pt layup from 2 ft,,77,79
289,3,4:05.0,,A. Wiggins misses 2-pt layup from 4 ft,77,79
290,3,4:01.0,Defensive rebound by J. Lamb,,77,79
291,3,3:54.0,M. Bridges makes 3-pt jump shot from 23 ft (assist by K. Walker),,80,79
292,3,3:31.0,,Shooting foul by F. Kaminsky (drawn by A. Wiggins),80,79
293,3,3:31.0,,A. Wiggins misses free throw 1 of 2,80,79
294,3,3:31.0,,Offensive rebound by Team,80,79
295,3,3:31.0,,A. Wiggins makes free throw 2 of 2,80,80
296,3,3:15.0,F. Kaminsky misses 3-pt jump shot from 26 ft,,80,80
297,3,3:12.0,,Defensive rebound by J. Teague,80,80
298,3,2:56.0,,J. Teague misses 2-pt layup from 11 ft,80,80
299,3,2:55.0,Defensive rebound by J. Lamb,,80,80
300,3,2:47.0,J. Lamb misses 2-pt jump shot from 5 ft,,80,80
301,3,2:46.0,,Defensive rebound by T. Gibson,80,80
302,3,2:36.0,,R. Covington makes 2-pt jump shot from 21 ft (assist by K. Towns),80,82
303,3,2:20.0,J. Lamb makes 2-pt jump shot from 17 ft (assist by K. Walker),,82,82
304,3,2:05.0,,K. Towns misses 2-pt jump shot from 20 ft,82,82
305,3,2:05.0,Defensive rebound by J. Lamb,,82,82
306,3,1:49.0,C. Zeller makes 2-pt layup from 7 ft (assist by F. Kaminsky),,84,82
307,3,1:44.0,,Minnesota full timeout,84,82
308,3,1:44.0,B. Biyombo enters the game for K. Walker,,84,82
309,3,1:44.0,T. Parker enters the game for C. Zeller,,84,82
310,3,1:44.0,,D. Rose enters the game for R. Covington,84,82
311,3,1:44.0,,D. Šarić enters the game for T. Gibson,84,82
312,3,1:35.0,,D. Rose makes 2-pt jump shot from 16 ft,84,84
313,3,1:20.0,Turnover by T. Parker (bad pass; steal by K. Towns),,84,84
314,3,1:16.0,,A. Wiggins makes 2-pt layup from 1 ft (assist by D. Rose),84,86
315,3,1:02.0,T. Parker misses 2-pt jump shot from 13 ft,,84,86
316,3,0:58.0,,Defensive rebound by D. Šarić,84,86
317,3,0:44.0,,D. Šarić misses 2-pt layup from 1 ft,84,86
318,3,0:42.0,Defensive rebound by J. Lamb,,84,86
319,3,0:30.0,Shooting foul by A. Wiggins (drawn by J. Lamb),,84,86
320,3,0:30.0,J. Lamb makes free throw 1 of 2,,85,86
321,3,0:30.0,M. Kidd-Gilchrist enters the game for B. Biyombo,,85,86
322,3,0:30.0,,G. Dieng enters the game for J. Teague,85,86
323,3,0:30.0,,T. Jones enters the game for K. Towns,85,86
324,3,0:30.0,J. Lamb makes free throw 2 of 2,,86,86
325,3,0:17.0,,D. Šarić misses 3-pt jump shot from 25 ft,86,86
326,3,0:14.0,Defensive rebound by M. Bridges,,86,86
327,3,0:03.0,J. Lamb misses 2-pt layup from 2 ft,,86,86
328,3,0:00.0,,Defensive rebound by D. Šarić,86,86
329,4,11:46.0,,D. Rose makes 2-pt layup from 3 ft,86,88
330,4,11:29.0,Turnover by M. Monk (lost ball; steal by T. Jones),,86,88
331,4,11:23.0,,T. Jones misses 2-pt jump shot from 17 ft,86,88
332,4,11:20.0,Defensive rebound by N. Batum,,86,88
333,4,11:08.0,F. Kaminsky misses 3-pt jump shot from 25 ft,,86,88
334,4,11:04.0,,Defensive rebound by G. Dieng,86,88
335,4,10:55.0,,D. Rose misses 2-pt jump shot from 21 ft,86,88
336,4,10:55.0,Defensive rebound by T. Parker,,86,88
337,4,10:44.0,M. Bridges makes 3-pt jump shot from 25 ft (assist by T. Parker),,89,88
338,4,10:30.0,,D. Šarić makes 2-pt layup from 1 ft (assist by T. Jones),89,90
339,4,10:16.0,T. Parker misses 2-pt jump shot from 16 ft,,89,90
340,4,10:14.0,,Defensive rebound by R. Covington,89,90
341,4,10:05.0,,D. Šarić misses 2-pt jump shot from 18 ft,89,90
342,4,10:01.0,Defensive rebound by N. Batum,,89,90
343,4,9:54.0,M. Bridges misses 3-pt jump shot from 25 ft,,89,90
344,4,9:52.0,,Defensive rebound by G. Dieng,89,90
345,4,9:46.0,,Personal foul by N. Batum (drawn by D. Rose),89,90
346,4,9:39.0,,Turnover by G. Dieng (traveling),89,90
347,4,9:30.0,N. Batum makes 3-pt jump shot from 24 ft (assist by F. Kaminsky),,92,90
348,4,9:18.0,,D. Rose misses 3-pt jump shot from 26 ft,92,90
349,4,9:17.0,Defensive rebound by T. Parker,,92,90
350,4,9:10.0,M. Monk misses 3-pt jump shot from 26 ft,,92,90
351,4,9:07.0,,Defensive rebound by R. Covington,92,90
352,4,9:00.0,,G. Dieng makes 2-pt layup from 1 ft (assist by R. Covington),92,92
353,4,9:00.0,,Shooting foul by F. Kaminsky (drawn by G. Dieng),92,92
354,4,9:00.0,,G. Dieng makes free throw 1 of 1,92,93
355,4,8:49.0,N. Batum misses 2-pt jump shot from 10 ft,,92,93
356,4,8:48.0,,Defensive rebound by G. Dieng,92,93
357,4,8:41.0,,R. Covington misses 3-pt jump shot from 25 ft,92,93
358,4,8:37.0,Defensive rebound by F. Kaminsky,,92,93
359,4,8:32.0,M. Bridges makes 2-pt jump shot from 8 ft (assist by N. Batum),,94,93
360,4,8:19.0,,R. Covington misses 2-pt layup from 2 ft,94,93
361,4,8:18.0,Defensive rebound by N. Batum,,94,93
362,4,8:12.0,F. Kaminsky makes 2-pt layup from 1 ft (assist by T. Parker),,96,93
363,4,8:11.0,,Minnesota full timeout,96,93
364,4,8:11.0,,J. Teague enters the game for G. Dieng,96,93
365,4,8:11.0,,K. Towns enters the game for T. Jones,96,93
366,4,8:00.0,,K. Towns makes 2-pt jump shot from 7 ft (assist by J. Teague),96,95
367,4,7:47.0,M. Monk misses 3-pt jump shot from 25 ft,,96,95
368,4,7:44.0,,Defensive rebound by D. Šarić,96,95
369,4,7:38.0,,K. Towns makes 3-pt jump shot from 25 ft (assist by J. Teague),96,98
370,4,7:36.0,Charlotte full timeout,,96,98
371,4,7:36.0,K. Walker enters the game for F. Kaminsky,,96,98
372,4,7:36.0,C. Zeller enters the game for T. Parker,,96,98
373,4,7:18.0,M. Bridges misses 2-pt jump shot from 6 ft,,96,98
374,4,7:16.0,,Defensive rebound by R. Covington,96,98
375,4,7:02.0,,K. Towns makes 2-pt layup from 1 ft,96,100
376,4,6:49.0,K. Walker misses 2-pt layup from 4 ft (block by J. Teague),,96,100
377,4,6:49.0,Offensive rebound by Team,,96,100
