,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,PHOENIX_ACTION,BROOKLYN_SCORE,PHOENIX_SCORE
50,1,6:41.0,Personal foul by D. Booker (drawn by C. LeVert),,8,8
51,1,6:41.0,,Phoenix full timeout,8,8
52,1,6:35.0,Offensive foul by J. Allen (drawn by R. Anderson),,8,8
53,1,6:35.0,Turnover by J. Allen (offensive foul),,8,8
54,1,6:35.0,E. Davis enters the game for J. Allen,,8,8
55,1,6:23.0,,Offensive foul by R. Anderson (drawn by J. Dudley),8,8
56,1,6:23.0,,Turnover by R. Anderson (offensive foul),8,8
57,1,6:09.0,C. LeVert makes 2-pt hook shot from 7 ft,,10,8
58,1,5:56.0,,D. Ayton misses 2-pt jump shot from 18 ft,10,8
59,1,5:55.0,Defensive rebound by E. Davis,,10,8
60,1,5:46.0,C. LeVert makes 3-pt jump shot from 26 ft,,13,8
61,1,5:26.0,,I. Canaan makes 2-pt jump shot from 16 ft,13,10
62,1,5:07.0,C. LeVert misses 2-pt jump shot from 16 ft,,13,10
63,1,5:05.0,,Defensive rebound by D. Ayton,13,10
64,1,5:02.0,,Shooting foul by A. Crabbe (drawn by D. Booker),13,10
65,1,5:02.0,,D. Booker makes free throw 1 of 2,13,11
66,1,5:02.0,S. Dinwiddie enters the game for J. Dudley,,13,11
67,1,5:02.0,R. Hollis-Jefferson enters the game for D. Russell,,13,11
68,1,5:02.0,,R. Holmes enters the game for R. Anderson,13,11
69,1,5:02.0,,T. Warren enters the game for D. Ayton,13,11
70,1,5:02.0,,D. Booker makes free throw 2 of 2,13,12
71,1,4:51.0,Turnover by C. LeVert (bad pass; steal by D. Booker),,13,12
72,1,4:40.0,,Turnover by T. Ariza (bad pass; steal by S. Dinwiddie),13,12
73,1,4:35.0,A. Crabbe misses 2-pt jump shot from 20 ft,,13,12
74,1,4:31.0,,Defensive rebound by I. Canaan,13,12
75,1,4:20.0,,I. Canaan misses 2-pt jump shot from 2 ft,13,12
76,1,4:19.0,Defensive rebound by C. LeVert,,13,12
77,1,4:11.0,Shooting foul by T. Warren (drawn by R. Hollis-Jefferson),,13,12
78,1,4:11.0,R. Hollis-Jefferson makes free throw 1 of 2,,14,12
79,1,4:11.0,R. Hollis-Jefferson makes free throw 2 of 2,,15,12
80,1,3:52.0,,T. Warren misses 2-pt jump shot from 6 ft,15,12
81,1,3:50.0,Defensive rebound by E. Davis,,15,12
82,1,3:42.0,R. Hollis-Jefferson misses 2-pt jump shot from 8 ft,,15,12
83,1,3:39.0,,Defensive rebound by T. Ariza,15,12
84,1,3:26.0,Loose ball foul by E. Davis (drawn by R. Holmes),,15,12
85,1,3:26.0,,R. Holmes makes free throw 1 of 2,15,13
86,1,3:26.0,,M. Bridges enters the game for T. Ariza,15,13
87,1,3:26.0,,R. Holmes misses free throw 2 of 2,15,13
88,1,3:24.0,Defensive rebound by R. Hollis-Jefferson,,15,13
89,1,3:14.0,A. Crabbe misses 2-pt jump shot from 20 ft,,15,13
90,1,3:12.0,,Defensive rebound by D. Booker,15,13
91,1,2:56.0,,R. Holmes makes 2-pt layup from 2 ft,15,15
92,1,2:47.0,S. Dinwiddie makes 2-pt layup from 1 ft (assist by C. LeVert),,17,15
93,1,2:28.0,,I. Canaan makes 3-pt jump shot from 26 ft (assist by M. Bridges),17,18
94,1,2:28.0,Brooklyn full timeout,,17,18
95,1,2:28.0,S. Napier enters the game for C. LeVert,,17,18
96,1,2:28.0,,E. Okobo enters the game for I. Canaan,17,18
97,1,2:10.0,Turnover by R. Hollis-Jefferson (lost ball; steal by T. Warren),,17,18
98,1,2:05.0,,Turnover by D. Booker (lost ball; steal by R. Hollis-Jefferson),17,18
99,1,2:02.0,S. Napier makes 2-pt layup at rim (assist by R. Hollis-Jefferson),,19,18
100,1,1:47.0,,Personal foul by S. Dinwiddie (drawn by D. Booker),19,18
101,1,1:47.0,,D. Booker makes free throw 1 of 2,19,19
102,1,1:47.0,,D. Booker makes free throw 2 of 2,19,20
103,1,1:26.0,R. Hollis-Jefferson misses 2-pt layup from 3 ft,,19,20
104,1,1:24.0,,Defensive rebound by T. Warren,19,20
105,1,1:14.0,,D. Booker makes 2-pt layup from 1 ft,19,22
106,1,0:55.0,R. Hollis-Jefferson misses 2-pt jump shot from 9 ft,,19,22
107,1,0:54.0,Offensive rebound by E. Davis,,19,22
108,1,0:53.0,E. Davis makes 2-pt layup at rim,,21,22
109,1,0:44.0,,T. Warren misses 2-pt jump shot from 20 ft,21,22
110,1,0:42.0,Defensive rebound by S. Napier,,21,22
111,1,0:35.0,Shooting foul by R. Holmes (drawn by S. Napier),,21,22
112,1,0:35.0,S. Napier makes free throw 1 of 2,,22,22
113,1,0:35.0,,J. Jackson enters the game for D. Booker,22,22
114,1,0:35.0,S. Napier makes free throw 2 of 2,,23,22
115,1,0:19.0,,T. Warren misses 2-pt jump shot from 10 ft,23,22
116,1,0:19.0,Defensive rebound by Team,,23,22
117,1,0:19.0,,Loose ball foul by R. Holmes (drawn by E. Davis),23,22
118,1,0:19.0,E. Davis makes free throw 1 of 2,,24,22
119,1,0:19.0,,D. Ayton enters the game for R. Holmes,24,22
120,1,0:19.0,,D. Booker enters the game for E. Okobo,24,22
121,1,0:19.0,E. Davis misses free throw 2 of 2,,24,22
122,1,0:17.0,,Defensive rebound by D. Ayton,24,22
123,1,0:00.0,,J. Jackson misses 3-pt jump shot from 25 ft,24,22
124,1,0:00.0,,Offensive rebound by Team,24,22
125,2,11:39.0,A. Crabbe misses 2-pt jump shot from 6 ft,,24,22
126,2,11:37.0,Offensive rebound by A. Crabbe,,24,22
127,2,11:37.0,A. Crabbe makes 2-pt layup from 1 ft,,26,22
128,2,11:18.0,,E. Okobo makes 3-pt jump shot from 26 ft (assist by D. Ayton),26,25
129,2,11:03.0,A. Crabbe misses 3-pt jump shot from 25 ft,,26,25
130,2,10:59.0,Offensive rebound by E. Davis,,26,25
131,2,10:57.0,S. Napier misses 3-pt jump shot from 25 ft,,26,25
132,2,10:54.0,,Defensive rebound by T. Warren,26,25
133,2,10:44.0,,E. Okobo misses 3-pt jump shot from 25 ft,26,25
134,2,10:42.0,Defensive rebound by E. Davis,,26,25
135,2,10:32.0,E. Davis makes 2-pt dunk from 1 ft (assist by S. Napier),,28,25
136,2,10:13.0,,M. Bridges misses 2-pt jump shot from 20 ft,28,25
137,2,10:11.0,Defensive rebound by S. Napier,,28,25
138,2,10:05.0,A. Crabbe makes 3-pt jump shot from 26 ft (assist by S. Napier),,31,25
139,2,9:48.0,,Turnover by J. Jackson (bad pass; steal by E. Davis),31,25
140,2,9:45.0,Personal foul by E. Okobo (drawn by S. Dinwiddie),,31,25
141,2,9:42.0,Personal foul by T. Warren (drawn by E. Davis),,31,25
142,2,9:31.0,S. Napier misses 2-pt jump shot from 18 ft,,31,25
143,2,9:28.0,,Defensive rebound by J. Jackson,31,25
144,2,9:22.0,,Turnover by J. Jackson (bad pass; steal by S. Dinwiddie),31,25
145,2,9:18.0,A. Crabbe misses 2-pt layup from 1 ft,,31,25
146,2,9:15.0,Offensive rebound by A. Crabbe,,31,25
147,2,9:13.0,A. Crabbe misses 2-pt layup at rim,,31,25
148,2,9:11.0,Offensive rebound by A. Crabbe,,31,25
149,2,9:06.0,J. Harris makes 2-pt jump shot from 20 ft (assist by S. Dinwiddie),,33,25
150,2,9:06.0,,Phoenix full timeout,33,25
151,2,9:06.0,,R. Anderson enters the game for J. Jackson,33,25
152,2,9:06.0,,D. Booker enters the game for E. Okobo,33,25
153,2,9:06.0,,I. Canaan enters the game for T. Warren,33,25
154,2,8:54.0,,I. Canaan makes 3-pt jump shot from 23 ft (assist by R. Anderson),33,28
155,2,8:26.0,A. Crabbe makes 2-pt jump shot from 19 ft (assist by S. Napier),,35,28
156,2,8:07.0,,Personal foul by S. Dinwiddie (drawn by D. Booker),35,28
157,2,8:07.0,J. Dudley enters the game for S. Napier,,35,28
158,2,7:56.0,,D. Ayton misses 2-pt jump shot from 19 ft,35,28
159,2,7:54.0,Defensive rebound by A. Crabbe,,35,28
160,2,7:46.0,J. Harris misses 3-pt jump shot from 25 ft,,35,28
161,2,7:42.0,Offensive rebound by E. Davis,,35,28
162,2,7:41.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,35,28
163,2,7:38.0,,Defensive rebound by M. Bridges,35,28
164,2,7:32.0,,Personal foul by A. Crabbe (drawn by D. Ayton),35,28
165,2,7:32.0,,T. Ariza enters the game for D. Ayton,35,28
166,2,7:32.0,,R. Holmes enters the game for M. Bridges,35,28
167,2,7:21.0,,Turnover by R. Holmes (3 sec),35,28
168,2,7:21.0,J. Allen enters the game for A. Crabbe,,35,28
169,2,7:21.0,C. LeVert enters the game for E. Davis,,35,28
170,2,7:21.0,D. Russell enters the game for S. Dinwiddie,,35,28
171,2,7:12.0,J. Harris misses 3-pt jump shot from 26 ft,,35,28
172,2,7:09.0,,Defensive rebound by T. Ariza,35,28
173,2,7:03.0,,R. Holmes makes 2-pt layup from 1 ft (assist by D. Booker),35,30
174,2,6:52.0,J. Allen makes 2-pt dunk at rim (assist by D. Russell),,37,30
175,2,6:40.0,,D. Booker misses 3-pt jump shot from 25 ft,37,30
176,2,6:35.0,Defensive rebound by D. Russell,,37,30
177,2,6:29.0,D. Russell misses 3-pt jump shot from 26 ft,,37,30
178,2,6:24.0,,Defensive rebound by R. Holmes,37,30
179,2,6:17.0,,R. Anderson misses 3-pt jump shot from 26 ft,37,30
180,2,6:14.0,Defensive rebound by J. Dudley,,37,30
181,2,6:02.0,Turnover by C. LeVert (traveling),,37,30
182,2,5:53.0,,Shooting foul by D. Russell (drawn by I. Canaan),37,30
183,2,5:53.0,,I. Canaan makes free throw 1 of 2,37,31
184,2,5:53.0,,I. Canaan makes free throw 2 of 2,37,32
185,2,5:29.0,D. Russell makes 3-pt jump shot from 26 ft (assist by J. Allen),,40,32
186,2,5:15.0,,Offensive foul by D. Booker (drawn by C. LeVert),40,32
187,2,5:15.0,,Turnover by D. Booker (offensive foul),40,32
188,2,5:04.0,J. Harris misses 3-pt jump shot from 23 ft,,40,32
189,2,5:00.0,,Defensive rebound by R. Holmes,40,32
190,2,4:49.0,,R. Holmes misses 2-pt jump shot from 18 ft,40,32
191,2,4:45.0,Defensive rebound by C. LeVert,,40,32
192,2,4:40.0,J. Allen makes 2-pt dunk from 1 ft,,42,32
193,2,4:18.0,,D. Booker misses 2-pt jump shot from 16 ft,42,32
194,2,4:16.0,,Offensive rebound by R. Holmes,42,32
195,2,4:13.0,,D. Booker misses 3-pt jump shot from 25 ft (block by J. Allen),42,32
196,2,4:08.0,,Offensive rebound by D. Booker,42,32
197,2,4:07.0,,D. Booker misses 2-pt layup from 1 ft,42,32
198,2,4:06.0,,Offensive rebound by R. Holmes,42,32
199,2,4:06.0,,R. Holmes makes 2-pt dunk from 1 ft,42,34
200,2,3:59.0,C. LeVert makes 2-pt jump shot from 10 ft,,44,34
201,2,3:45.0,,Offensive foul by D. Booker (drawn by J. Allen),44,34
202,2,3:45.0,,Turnover by D. Booker (offensive foul),44,34
203,2,3:45.0,,M. Bridges enters the game for R. Anderson,44,34
204,2,3:32.0,Shooting foul by I. Canaan (drawn by C. LeVert),,44,34
205,2,3:32.0,C. LeVert makes free throw 1 of 2,,45,34
206,2,3:32.0,R. Hollis-Jefferson enters the game for J. Dudley,,45,34
207,2,3:32.0,,D. Ayton enters the game for D. Booker,45,34
208,2,3:32.0,,J. Crawford enters the game for R. Holmes,45,34
209,2,3:32.0,C. LeVert misses free throw 2 of 2,,45,34
210,2,3:29.0,,Defensive rebound by D. Ayton,45,34
211,2,3:10.0,,I. Canaan misses 2-pt jump shot from 22 ft,45,34
212,2,3:07.0,Defensive rebound by J. Allen,,45,34
213,2,2:53.0,R. Hollis-Jefferson makes 2-pt jump shot from 10 ft,,47,34
214,2,2:44.0,,Turnover by T. Ariza (traveling),47,34
215,2,2:44.0,Brooklyn full timeout,,47,34
216,2,2:44.0,S. Dinwiddie enters the game for J. Harris,,47,34
217,2,2:37.0,Turnover by R. Hollis-Jefferson (traveling),,47,34
218,2,2:23.0,,D. Ayton misses 2-pt layup from 1 ft,47,34
219,2,2:23.0,,Offensive rebound by Team,47,34
220,2,2:15.0,,D. Ayton makes 2-pt jump shot from 15 ft (assist by T. Ariza),47,36
221,2,1:52.0,R. Hollis-Jefferson misses 3-pt jump shot from 23 ft,,47,36
222,2,1:47.0,,Defensive rebound by D. Ayton,47,36
223,2,1:40.0,,Turnover by D. Ayton (bad pass; steal by D. Russell),47,36
224,2,1:36.0,D. Russell makes 2-pt dunk from 1 ft,,49,36
225,2,1:21.0,,J. Crawford misses 2-pt jump shot from 13 ft,49,36
226,2,1:20.0,Defensive rebound by D. Russell,,49,36
227,2,1:09.0,Shooting foul by T. Ariza (drawn by R. Hollis-Jefferson),,49,36
228,2,1:09.0,R. Hollis-Jefferson misses free throw 1 of 2,,49,36
229,2,1:09.0,Offensive rebound by Team,,49,36
230,2,1:09.0,R. Hollis-Jefferson makes free throw 2 of 2,,50,36
231,2,0:57.0,,D. Ayton misses 2-pt jump shot from 21 ft,50,36
232,2,0:55.0,Defensive rebound by D. Russell,,50,36
233,2,0:47.0,D. Russell misses 3-pt jump shot from 26 ft,,50,36
234,2,0:44.0,,Defensive rebound by T. Ariza,50,36
235,2,0:36.0,,J. Crawford misses 2-pt jump shot from 13 ft,50,36
236,2,0:34.0,,Offensive rebound by D. Ayton,50,36
237,2,0:32.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by D. Ayton),50,39
238,2,0:14.0,Turnover by C. LeVert (bad pass; steal by I. Canaan),,50,39
239,2,0:09.0,,T. Ariza makes 3-pt jump shot from 25 ft (assist by I. Canaan),50,42
240,2,0:02.0,Shooting foul by D. Ayton (drawn by D. Russell),,50,42
241,2,0:02.0,D. Russell makes free throw 1 of 2,,51,42
242,2,0:02.0,D. Russell makes free throw 2 of 2,,52,42
243,2,0:00.0,,J. Crawford misses 3-pt jump shot from 50 ft,52,42
244,2,0:00.0,,Offensive rebound by Team,52,42
245,3,11:39.0,C. LeVert makes 2-pt dunk from 1 ft (assist by J. Harris),,54,42
246,3,11:28.0,,Turnover by I. Canaan (bad pass),54,42
247,3,11:13.0,Shooting foul by I. Canaan (drawn by J. Allen),,54,42
248,3,11:13.0,J. Allen makes free throw 1 of 2,,55,42
249,3,11:13.0,J. Allen makes free throw 2 of 2,,56,42
250,3,10:57.0,,T. Ariza makes 2-pt layup from 1 ft (assist by D. Ayton),56,44
251,3,10:32.0,C. LeVert makes 3-pt jump shot from 25 ft,,59,44
252,3,10:17.0,,D. Ayton misses 2-pt jump shot from 20 ft,59,44
253,3,10:14.0,Defensive rebound by J. Allen,,59,44
254,3,10:00.0,J. Allen misses 2-pt layup from 3 ft (block by T. Ariza),,59,44
255,3,9:57.0,,Defensive rebound by D. Ayton,59,44
256,3,9:49.0,,Turnover by D. Ayton (bad pass),59,44
257,3,9:40.0,C. LeVert misses 3-pt jump shot from 25 ft,,59,44
258,3,9:40.0,,Defensive rebound by R. Anderson,59,44
259,3,9:27.0,,D. Booker makes 3-pt jump shot from 25 ft,59,47
260,3,9:06.0,J. Dudley misses 3-pt jump shot from 25 ft,,59,47
261,3,9:02.0,Offensive rebound by J. Allen,,59,47
262,3,9:00.0,J. Dudley makes 2-pt jump shot from 20 ft (assist by J. Allen),,61,47
263,3,8:46.0,,D. Booker makes 2-pt layup from 1 ft,61,49
264,3,8:27.0,J. Harris makes 2-pt layup at rim (assist by J. Allen),,63,49
265,3,8:09.0,,Turnover by D. Ayton (3 sec),63,49
266,3,7:52.0,Brooklyn full timeout,,63,49
267,3,7:48.0,J. Allen misses 2-pt layup from 1 ft,,63,49
268,3,7:46.0,,Defensive rebound by T. Ariza,63,49
269,3,7:38.0,,D. Ayton makes 2-pt dunk at rim (assist by I. Canaan),63,51
270,3,7:27.0,J. Harris misses 2-pt layup from 1 ft,,63,51
271,3,7:25.0,,Defensive rebound by D. Ayton,63,51
272,3,7:22.0,,Shooting foul by J. Dudley (drawn by D. Ayton),63,51
273,3,7:22.0,,D. Ayton makes free throw 1 of 2,63,52
274,3,7:22.0,,D. Ayton makes free throw 2 of 2,63,53
275,3,7:07.0,Turnover by J. Dudley (bad pass),,63,53
276,3,6:53.0,,D. Ayton makes 2-pt layup from 2 ft (assist by R. Anderson),63,55
277,3,6:35.0,J. Dudley misses 3-pt jump shot from 26 ft,,63,55
278,3,6:31.0,,Defensive rebound by R. Anderson,63,55
279,3,6:25.0,,D. Booker misses 2-pt layup from 1 ft (block by C. LeVert),63,55
280,3,6:25.0,,Offensive rebound by Team,63,55
281,3,6:25.0,A. Crabbe enters the game for J. Harris,,63,55
282,3,6:23.0,,D. Ayton misses 2-pt jump shot from 20 ft,63,55
283,3,6:20.0,Defensive rebound by C. LeVert,,63,55
284,3,6:07.0,C. LeVert misses 3-pt jump shot from 25 ft,,63,55
285,3,6:05.0,,Defensive rebound by D. Booker,63,55
286,3,6:02.0,,I. Canaan misses 2-pt layup from 1 ft,63,55
287,3,5:57.0,Defensive rebound by A. Crabbe,,63,55
288,3,5:38.0,D. Russell misses 2-pt hook shot from 7 ft,,63,55
289,3,5:36.0,,Defensive rebound by D. Ayton,63,55
290,3,5:31.0,,T. Ariza makes 3-pt jump shot from 24 ft (assist by D. Booker),63,58
291,3,5:31.0,Brooklyn full timeout,,63,58
292,3,5:31.0,S. Dinwiddie enters the game for D. Russell,,63,58
293,3,5:13.0,J. Dudley makes 3-pt jump shot from 24 ft (assist by A. Crabbe),,66,58
294,3,4:54.0,,D. Ayton misses 2-pt jump shot from 17 ft,66,58
295,3,4:51.0,Defensive rebound by S. Dinwiddie,,66,58
296,3,4:48.0,J. Allen makes 2-pt dunk from 1 ft (assist by A. Crabbe),,68,58
297,3,4:34.0,,D. Booker makes 2-pt jump shot from 13 ft,68,60
298,3,4:18.0,J. Dudley misses 3-pt jump shot from 25 ft,,68,60
299,3,4:15.0,,Defensive rebound by D. Ayton,68,60
300,3,4:06.0,,Turnover by I. Canaan (bad pass; steal by J. Allen),68,60
301,3,4:01.0,C. LeVert makes 3-pt jump shot from 23 ft (assist by J. Dudley),,71,60
302,3,3:59.0,,Phoenix full timeout,71,60
303,3,3:59.0,E. Davis enters the game for J. Allen,,71,60
304,3,3:59.0,R. Hollis-Jefferson enters the game for J. Dudley,,71,60
305,3,3:59.0,,M. Bridges enters the game for T. Ariza,71,60
306,3,3:59.0,,R. Holmes enters the game for D. Ayton,71,60
307,3,3:42.0,,D. Booker misses 2-pt jump shot from 11 ft,71,60
308,3,3:38.0,,Offensive rebound by R. Holmes,71,60
309,3,3:37.0,,M. Bridges misses 3-pt jump shot from 25 ft,71,60
310,3,3:33.0,Defensive rebound by E. Davis,,71,60
311,3,3:27.0,A. Crabbe misses 3-pt jump shot from 26 ft,,71,60
312,3,3:24.0,,Defensive rebound by R. Holmes,71,60
313,3,3:24.0,S. Napier enters the game for C. LeVert,,71,60
314,3,3:05.0,,D. Booker misses 2-pt jump shot from 19 ft,71,60
315,3,2:58.0,Defensive rebound by A. Crabbe,,71,60
316,3,2:52.0,A. Crabbe misses 3-pt jump shot from 26 ft,,71,60
317,3,2:50.0,,Defensive rebound by R. Holmes,71,60
318,3,2:39.0,,I. Canaan misses 3-pt jump shot from 25 ft,71,60
319,3,2:37.0,Defensive rebound by A. Crabbe,,71,60
320,3,2:27.0,E. Davis misses 2-pt hook shot from 2 ft (block by R. Holmes),,71,60
321,3,2:22.0,,Defensive rebound by R. Holmes,71,60
322,3,2:21.0,,Turnover by R. Anderson (bad pass; steal by S. Napier),71,60
323,3,2:18.0,S. Dinwiddie makes 3-pt jump shot from 27 ft (assist by S. Napier),,74,60
324,3,2:01.0,,Personal foul by S. Dinwiddie (drawn by D. Booker),74,60
325,3,2:01.0,,E. Okobo enters the game for R. Anderson,74,60
326,3,2:01.0,,T. Warren enters the game for I. Canaan,74,60
327,3,1:47.0,,R. Holmes makes 2-pt layup from 1 ft,74,62
328,3,1:31.0,Turnover by S. Napier (out of bounds lost ball),,74,62
329,3,1:19.0,,D. Booker misses 3-pt jump shot from 26 ft,74,62
330,3,1:15.0,Defensive rebound by R. Hollis-Jefferson,,74,62
331,3,1:09.0,R. Hollis-Jefferson misses 2-pt layup from 1 ft,,74,62
332,3,1:09.0,Offensive rebound by E. Davis,,74,62
333,3,1:09.0,E. Davis makes 2-pt layup from 1 ft,,76,62
334,3,1:09.0,Shooting foul by D. Booker (drawn by E. Davis),,76,62
335,3,1:09.0,E. Davis misses free throw 1 of 1,,76,62
336,3,1:09.0,,Defensive rebound by R. Holmes,76,62
337,3,0:49.0,,D. Booker misses 2-pt layup from 3 ft,76,62
338,3,0:49.0,,Offensive rebound by D. Booker,76,62
339,3,0:49.0,,Personal foul by E. Davis (drawn by D. Booker),76,62
340,3,0:41.0,,R. Holmes makes 2-pt dunk from 1 ft (assist by E. Okobo),76,64
341,3,0:32.0,S. Napier misses 3-pt jump shot from 25 ft,,76,64
342,3,0:28.0,Offensive rebound by S. Napier,,76,64
343,3,0:16.0,Shooting foul by R. Holmes (drawn by E. Davis),,76,64
344,3,0:16.0,E. Davis misses free throw 1 of 2,,76,64
345,3,0:16.0,Offensive rebound by Team,,76,64
346,3,0:16.0,C. LeVert enters the game for S. Napier,,76,64
347,3,0:16.0,E. Davis misses free throw 2 of 2,,76,64
348,3,0:16.0,,Defensive rebound by T. Warren,76,64
349,3,0:00.0,,Shooting foul by C. LeVert (drawn by D. Booker),76,64
350,3,0:00.0,,D. Booker makes free throw 1 of 2,76,65
351,3,0:00.0,,D. Booker makes free throw 2 of 2,76,66
352,4,11:47.0,,M. Bridges misses 2-pt layup from 5 ft (block by S. Dinwiddie),76,66
353,4,11:47.0,,Offensive rebound by Team,76,66
354,4,11:41.0,,E. Okobo misses 2-pt jump shot from 12 ft,76,66
355,4,11:37.0,Defensive rebound by E. Davis,,76,66
356,4,11:23.0,E. Davis misses 2-pt layup from 1 ft (block by R. Holmes),,76,66
357,4,11:21.0,Offensive rebound by S. Napier,,76,66
358,4,11:21.0,Brooklyn full timeout,,76,66
359,4,11:17.0,S. Dinwiddie makes 2-pt jump shot from 2 ft (assist by S. Napier),,78,66
360,4,10:51.0,,T. Warren misses 2-pt jump shot from 13 ft,78,66
361,4,10:49.0,Defensive rebound by S. Dinwiddie,,78,66
362,4,10:43.0,S. Dinwiddie makes 2-pt layup from 1 ft,,80,66
363,4,10:29.0,,J. Jackson makes 2-pt layup from 1 ft (assist by E. Okobo),80,68
364,4,10:06.0,A. Crabbe misses 3-pt jump shot from 25 ft,,80,68
365,4,10:05.0,,Defensive rebound by Team,80,68
366,4,9:49.0,,Shooting foul by E. Davis (drawn by J. Jackson),80,68
367,4,9:49.0,,J. Jackson makes free throw 1 of 2,80,69
368,4,9:49.0,,J. Jackson makes free throw 2 of 2,80,70
369,4,9:36.0,S. Dinwiddie makes 3-pt jump shot from 26 ft,,83,70
370,4,9:21.0,,R. Holmes makes 2-pt jump shot from 11 ft (assist by J. Jackson),83,72
371,4,9:08.0,E. Davis misses 2-pt layup from 2 ft,,83,72
372,4,9:05.0,,Defensive rebound by E. Okobo,83,72
373,4,9:02.0,,T. Warren misses 2-pt layup at rim,83,72
374,4,9:00.0,,Offensive rebound by R. Holmes,83,72
375,4,9:00.0,,Turnover by R. Holmes (bad pass),83,72
376,4,8:51.0,Turnover by A. Crabbe (bad pass; steal by R. Holmes),,83,72
377,4,8:42.0,,J. Jackson misses 2-pt layup from 1 ft (block by A. Crabbe),83,72
378,4,8:39.0,Defensive rebound by S. Dinwiddie,,83,72
379,4,8:37.0,J. Harris makes 3-pt jump shot from 25 ft (assist by S. Dinwiddie),,86,72
380,4,8:37.0,,Phoenix full timeout,86,72
381,4,8:37.0,J. Dudley enters the game for A. Crabbe,,86,72
382,4,8:37.0,,T. Ariza enters the game for R. Holmes,86,72
383,4,8:37.0,,D. Ayton enters the game for J. Jackson,86,72
384,4,8:37.0,,D. Booker enters the game for T. Warren,86,72
385,4,8:16.0,,E. Okobo misses 2-pt jump shot from 9 ft,86,72
