,QUARTER,TIME_REMAINING,HOUSTON_ACTION,GOLDEN STATE_ACTION,HOUSTON_SCORE,GOLDEN STATE_SCORE
121,2,10:35.0,Offensive rebound by P. Tucker,,24,28
122,2,10:33.0,P. Tucker misses 2-pt layup from 3 ft,,24,28
123,2,10:32.0,,Defensive rebound by A. McKinnie,24,28
124,2,10:27.0,,K. Durant misses 2-pt jump shot from 7 ft (block by E. Gordon),24,28
125,2,10:26.0,Defensive rebound by C. Capela,,24,28
126,2,10:15.0,E. Gordon misses 3-pt jump shot from 29 ft,,24,28
127,2,10:13.0,,Defensive rebound by A. Bogut,24,28
128,2,10:05.0,,K. Durant makes 2-pt dunk from 2 ft,24,30
129,2,9:53.0,C. Paul makes 2-pt jump shot from 9 ft,,26,30
130,2,9:39.0,,Turnover by K. Durant (lost ball; steal by P. Tucker),26,30
131,2,9:37.0,Personal take foul by A. Bogut (drawn by P. Tucker),,26,30
132,2,9:37.0,J. Harden enters the game for E. Gordon,,26,30
133,2,9:37.0,,A. Iguodala enters the game for A. McKinnie,26,30
134,2,9:28.0,I. Shumpert misses 3-pt jump shot from 23 ft,,26,30
135,2,9:26.0,,Defensive rebound by K. Durant,26,30
136,2,9:14.0,,K. Thompson misses 2-pt jump shot from 11 ft,26,30
137,2,9:13.0,,Offensive rebound by A. Bogut,26,30
138,2,9:13.0,,A. Bogut makes 2-pt layup from 1 ft,26,32
139,2,8:53.0,Turnover by J. Harden (bad pass; steal by K. Durant),,26,32
140,2,8:45.0,,K. Thompson misses 2-pt jump shot from 10 ft,26,32
141,2,8:44.0,Defensive rebound by J. Harden,,26,32
142,2,8:36.0,Personal foul by A. Bogut (drawn by C. Capela),,26,32
143,2,8:28.0,C. Paul makes 3-pt jump shot from 26 ft,,29,32
144,2,8:14.0,,Turnover by K. Thompson (out of bounds lost ball),29,32
145,2,7:59.0,Turnover by C. Paul (out of bounds lost ball),,29,32
146,2,7:38.0,,K. Durant misses 2-pt jump shot from 21 ft,29,32
147,2,7:37.0,Defensive rebound by J. Harden,,29,32
148,2,7:20.0,J. Harden misses 2-pt jump shot from 8 ft,,29,32
149,2,7:19.0,,Defensive rebound by K. Thompson,29,32
150,2,7:13.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by K. Durant),29,35
151,2,7:11.0,Houston full timeout,,29,35
152,2,7:11.0,N. Hilário enters the game for C. Capela,,29,35
153,2,7:11.0,D. House enters the game for C. Paul,,29,35
154,2,7:11.0,,S. Curry enters the game for A. Bogut,29,35
155,2,7:11.0,,D. Green enters the game for S. Livingston,29,35
156,2,6:56.0,J. Harden makes 3-pt jump shot from 26 ft,,32,35
