,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,NEW YORK_ACTION,CHARLOTTE_SCORE,NEW YORK_SCORE
260,3,7:20.0,,Offensive rebound by K. Knox,80,52
261,3,7:18.0,,K. Knox misses 2-pt layup from 4 ft,80,52
262,3,7:16.0,Defensive rebound by K. Walker,,80,52
263,3,7:12.0,Turnover by K. Walker (bad pass; steal by T. Hardaway),,80,52
264,3,7:08.0,,T. Hardaway makes 3-pt jump shot from 29 ft,80,55
265,3,6:55.0,Charlotte full timeout,,80,55
266,3,6:55.0,M. Kidd-Gilchrist enters the game for M. Williams,,80,55
267,3,6:55.0,,M. Robinson enters the game for E. Freedom,80,55
268,3,6:46.0,M. Kidd-Gilchrist makes 2-pt layup from 1 ft,,82,55
269,3,6:25.0,,F. Ntilikina makes 2-pt jump shot from 18 ft,82,57
270,3,6:15.0,Personal foul by K. Knox (drawn by C. Zeller),,82,57
271,3,6:00.0,J. Lamb misses 3-pt jump shot from 27 ft,,82,57
272,3,5:58.0,,Defensive rebound by Team,82,57
273,3,5:46.0,,K. Knox misses 2-pt layup from 1 ft,82,57
274,3,5:44.0,,Offensive rebound by M. Robinson,82,57
275,3,5:44.0,,M. Robinson makes 2-pt dunk at rim,82,59
276,3,5:20.0,J. Lamb makes 2-pt jump shot from 16 ft,,84,59
277,3,5:08.0,,Offensive foul by M. Robinson (drawn by K. Walker),84,59
278,3,5:08.0,,Turnover by M. Robinson (offensive foul),84,59
279,3,5:00.0,Personal foul by F. Ntilikina (drawn by K. Walker),,84,59
280,3,4:54.0,K. Walker misses 3-pt jump shot from 23 ft,,84,59
281,3,4:52.0,,Defensive rebound by D. Dotson,84,59
282,3,4:41.0,,Personal foul by C. Zeller (drawn by D. Dotson),84,59
283,3,4:36.0,,F. Ntilikina makes 3-pt jump shot from 24 ft (assist by M. Robinson),84,62
284,3,4:25.0,K. Walker misses 3-pt jump shot from 26 ft,,84,62
285,3,4:23.0,,Defensive rebound by K. Knox,84,62
286,3,4:17.0,,K. Knox misses 2-pt hook shot from 8 ft,84,62
287,3,4:15.0,Defensive rebound by J. Lamb,,84,62
288,3,4:06.0,Shooting foul by M. Robinson (drawn by C. Zeller),,84,62
289,3,4:06.0,C. Zeller makes free throw 1 of 2,,85,62
290,3,4:06.0,M. Bridges enters the game for N. Batum,,85,62
291,3,4:06.0,C. Zeller makes free throw 2 of 2,,86,62
292,3,4:00.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by T. Hardaway),86,65
293,3,3:33.0,J. Lamb misses 3-pt jump shot from 27 ft,,86,65
294,3,3:31.0,,Defensive rebound by K. Knox,86,65
295,3,3:27.0,,T. Hardaway misses 2-pt layup from 2 ft (block by M. Kidd-Gilchrist),86,65
296,3,3:25.0,,Offensive rebound by Team,86,65
297,3,3:22.0,,T. Hardaway makes 2-pt jump shot from 13 ft (assist by F. Ntilikina),86,67
298,3,3:08.0,K. Walker makes 2-pt jump shot from 16 ft,,88,67
299,3,2:57.0,,F. Ntilikina makes 2-pt jump shot from 14 ft,88,69
300,3,2:43.0,Shooting foul by M. Robinson (drawn by K. Walker),,88,69
301,3,2:43.0,K. Walker makes free throw 1 of 2,,89,69
302,3,2:43.0,F. Kaminsky enters the game for C. Zeller,,89,69
303,3,2:43.0,K. Walker makes free throw 2 of 2,,90,69
304,3,2:36.0,,T. Hardaway makes 2-pt layup from 2 ft,90,71
305,3,2:36.0,Violation by Team (def goaltending),,90,71
306,3,2:36.0,,Shooting foul by J. Lamb (drawn by T. Hardaway),90,71
307,3,2:36.0,,T. Hardaway makes free throw 1 of 1,90,72
308,3,2:25.0,K. Walker misses 3-pt jump shot from 26 ft,,90,72
309,3,2:23.0,Offensive rebound by F. Kaminsky,,90,72
310,3,2:15.0,Turnover by M. Bridges (lost ball; steal by T. Hardaway),,90,72
311,3,2:06.0,,Turnover by T. Hardaway (bad pass; steal by J. Lamb),90,72
312,3,2:01.0,J. Lamb makes 2-pt layup from 1 ft,,92,72
313,3,1:50.0,,K. Knox misses 2-pt jump shot from 16 ft,92,72
