,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,ORLANDO_ACTION,LA LAKERS_SCORE,ORLANDO_SCORE
91,1,2:04.0,Offensive rebound by K. Caldwell-Pope,,24,21
92,1,2:02.0,K. Caldwell-Pope makes 2-pt jump shot from 22 ft (assist by L. Stephenson),,26,21
93,1,1:42.0,,J. Isaac misses 3-pt jump shot from 25 ft,26,21
94,1,1:39.0,Defensive rebound by B. Ingram,,26,21
95,1,1:30.0,B. Ingram misses 2-pt jump shot from 10 ft,,26,21
96,1,1:28.0,,Defensive rebound by J. Simmons,26,21
97,1,1:25.0,,J. Simmons makes 2-pt layup from 3 ft,26,23
98,1,1:25.0,,Shooting foul by J. Hart (drawn by J. Simmons),26,23
99,1,1:25.0,,J. Simmons misses free throw 1 of 1,26,23
100,1,1:25.0,Defensive rebound by T. Chandler,,26,23
101,1,1:12.0,J. Hart makes 3-pt jump shot from 24 ft (assist by B. Ingram),,29,23
102,1,0:49.0,,J. Simmons misses 3-pt jump shot from 22 ft,29,23
103,1,0:47.0,Defensive rebound by J. Hart,,29,23
104,1,0:27.0,J. Hart makes 2-pt layup from 2 ft (assist by B. Ingram),,31,23
105,1,0:02.0,,J. Isaac makes 2-pt jump shot from 21 ft (assist by J. Simmons),31,25
106,1,0:00.0,L. Stephenson misses 3-pt jump shot from 47 ft,,31,25
107,1,0:00.0,Offensive rebound by Team,,31,25
108,2,11:40.0,,J. Simmons makes 2-pt jump shot from 10 ft (assist by M. Bamba),31,27
109,2,11:19.0,J. Hart misses 3-pt jump shot from 26 ft,,31,27
110,2,11:15.0,,Defensive rebound by J. Isaac,31,27
111,2,10:58.0,,J. Isaac misses 2-pt jump shot from 15 ft,31,27
112,2,10:55.0,Defensive rebound by L. Stephenson,,31,27
113,2,10:53.0,Turnover by L. Stephenson (bad pass),,31,27
114,2,10:34.0,,M. Bamba makes 2-pt dunk from 1 ft (assist by J. Grant),31,29
115,2,10:16.0,J. McGee misses 2-pt layup from 2 ft (block by J. Isaac),,31,29
116,2,10:12.0,Offensive rebound by Team,,31,29
117,2,10:09.0,Shooting foul by M. Bamba (drawn by J. McGee),,31,29
118,2,10:09.0,J. McGee misses free throw 1 of 2,,31,29
119,2,10:09.0,Offensive rebound by Team,,31,29
120,2,10:09.0,J. McGee makes free throw 2 of 2,,32,29
121,2,9:57.0,,J. Simmons makes 2-pt jump shot from 13 ft,32,31
122,2,9:43.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,,32,31
123,2,9:40.0,,Defensive rebound by T. Ross,32,31
124,2,9:33.0,,M. Bamba misses 3-pt jump shot from 27 ft,32,31
125,2,9:29.0,,Offensive rebound by J. Grant,32,31
126,2,9:19.0,,J. Grant misses 2-pt jump shot from 13 ft (block by J. Hart),32,31
127,2,9:16.0,Defensive rebound by J. McGee,,32,31
128,2,9:13.0,J. Hart misses 2-pt layup from 4 ft,,32,31
129,2,9:09.0,,Defensive rebound by J. Simmons,32,31
130,2,9:05.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Simmons),32,34
131,2,9:04.0,LA Lakers full timeout,,32,34
132,2,9:04.0,L. James enters the game for L. Stephenson,,32,34
133,2,8:47.0,L. James misses 3-pt jump shot from 26 ft (block by J. Isaac),,32,34
134,2,8:45.0,,Defensive rebound by T. Ross,32,34
135,2,8:45.0,,Personal foul by B. Ingram (drawn by J. Isaac),32,34
136,2,8:38.0,,J. Isaac makes 3-pt jump shot from 26 ft (assist by J. Simmons),32,37
137,2,8:24.0,J. Hart makes 3-pt jump shot from 24 ft (assist by B. Ingram),,35,37
138,2,8:14.0,,M. Bamba makes 2-pt jump shot from 19 ft (assist by J. Simmons),35,39
139,2,8:00.0,L. James misses 2-pt layup from 4 ft (block by J. Isaac),,35,39
140,2,8:00.0,Offensive rebound by Team,,35,39
141,2,7:54.0,L. James misses 2-pt layup from 4 ft,,35,39
142,2,7:53.0,Offensive rebound by J. McGee,,35,39
143,2,7:52.0,J. McGee makes 2-pt layup from 1 ft,,37,39
144,2,7:32.0,,M. Bamba misses 3-pt jump shot from 25 ft,37,39
145,2,7:30.0,Defensive rebound by B. Ingram,,37,39
146,2,7:22.0,LA Lakers full timeout,,37,39
147,2,7:22.0,L. Ball enters the game for K. Caldwell-Pope,,37,39
148,2,7:22.0,K. Kuzma enters the game for B. Ingram,,37,39
149,2,7:10.0,L. James misses 2-pt jump shot from 14 ft,,37,39
150,2,7:06.0,,Defensive rebound by J. Simmons,37,39
151,2,7:01.0,,T. Ross makes 3-pt jump shot from 25 ft (assist by J. Simmons),37,42
152,2,6:46.0,J. Hart makes 2-pt jump shot from 12 ft (assist by L. James),,39,42
153,2,6:23.0,,T. Ross misses 2-pt jump shot from 14 ft,39,42
154,2,6:20.0,,Offensive rebound by J. Simmons,39,42
155,2,6:20.0,,J. Simmons makes 2-pt layup at rim,39,44
156,2,6:07.0,Shooting foul by J. Isaac (drawn by L. James),,39,44
157,2,6:07.0,L. James misses free throw 1 of 2,,39,44
158,2,6:07.0,Offensive rebound by Team,,39,44
159,2,6:07.0,T. Chandler enters the game for J. McGee,,39,44
160,2,6:07.0,,A. Gordon enters the game for J. Isaac,39,44
161,2,6:07.0,L. James makes free throw 2 of 2,,40,44
162,2,5:58.0,,Offensive foul by T. Ross (drawn by L. Ball),40,44
163,2,5:58.0,,Turnover by T. Ross (offensive foul),40,44
164,2,5:58.0,,D. Augustin enters the game for M. Bamba,40,44
165,2,5:58.0,,E. Fournier enters the game for J. Grant,40,44
166,2,5:58.0,,N. Vučević enters the game for T. Ross,40,44
167,2,5:41.0,Turnover by K. Kuzma (step out of bounds),,40,44
168,2,5:25.0,,J. Simmons misses 2-pt jump shot from 18 ft,40,44
169,2,5:22.0,Defensive rebound by T. Chandler,,40,44
170,2,5:13.0,L. James makes 2-pt dunk from 2 ft (assist by L. Ball),,42,44
171,2,4:56.0,,A. Gordon misses 3-pt jump shot from 26 ft,42,44
172,2,4:52.0,Defensive rebound by L. Ball,,42,44
173,2,4:50.0,Turnover by L. Ball (bad pass; steal by A. Gordon),,42,44
174,2,4:48.0,,Offensive foul by A. Gordon (drawn by L. James),42,44
175,2,4:48.0,,Turnover by A. Gordon (offensive foul),42,44
176,2,4:34.0,Offensive foul by K. Kuzma (drawn by E. Fournier),,42,44
177,2,4:34.0,Turnover by K. Kuzma (offensive foul),,42,44
178,2,4:21.0,,N. Vučević misses 2-pt jump shot from 19 ft,42,44
179,2,4:19.0,Defensive rebound by T. Chandler,,42,44
180,2,4:16.0,Turnover by L. James (out of bounds lost ball),,42,44
181,2,4:07.0,,D. Augustin makes 3-pt jump shot from 27 ft,42,47
182,2,3:48.0,L. James misses 2-pt hook shot from 7 ft,,42,47
183,2,3:47.0,,Defensive rebound by E. Fournier,42,47
184,2,3:41.0,,D. Augustin makes 3-pt jump shot from 23 ft (assist by A. Gordon),42,50
185,2,3:39.0,LA Lakers full timeout,,42,50
186,2,3:39.0,B. Ingram enters the game for J. Hart,,42,50
187,2,3:23.0,T. Chandler makes 2-pt dunk from 1 ft (assist by L. James),,44,50
188,2,3:10.0,,Personal foul by K. Kuzma (drawn by A. Gordon),44,50
189,2,3:05.0,,E. Fournier misses 3-pt jump shot from 25 ft,44,50
190,2,3:03.0,Defensive rebound by K. Kuzma,,44,50
191,2,2:48.0,B. Ingram makes 2-pt jump shot from 14 ft,,46,50
192,2,2:32.0,,E. Fournier misses 3-pt jump shot from 23 ft,46,50
193,2,2:29.0,Defensive rebound by K. Kuzma,,46,50
194,2,2:22.0,Personal foul by E. Fournier (drawn by L. James),,46,50
195,2,2:12.0,L. Ball misses 2-pt jump shot from 15 ft,,46,50
196,2,2:09.0,,Defensive rebound by N. Vučević,46,50
197,2,1:59.0,,Turnover by D. Augustin (bad pass),46,50
198,2,1:53.0,Turnover by K. Kuzma (out of bounds lost ball),,46,50
199,2,1:44.0,,D. Augustin makes 2-pt layup from 2 ft,46,52
200,2,1:44.0,,Shooting foul by L. Ball (drawn by D. Augustin),46,52
201,2,1:44.0,,D. Augustin makes free throw 1 of 1,46,53
202,2,1:31.0,K. Kuzma makes 2-pt dunk from 3 ft (assist by L. James),,48,53
203,2,1:07.0,,A. Gordon makes 2-pt jump shot from 16 ft (assist by D. Augustin),48,55
204,2,1:01.0,Personal foul by D. Augustin (drawn by L. James),,48,55
205,2,0:57.0,Turnover by L. Ball (lost ball; steal by A. Gordon),,48,55
206,2,0:54.0,,A. Gordon makes 2-pt dunk from 1 ft (assist by D. Augustin),48,57
207,2,0:43.0,K. Kuzma makes 2-pt jump shot from 11 ft (assist by L. James),,50,57
208,2,0:30.0,,A. Gordon misses 2-pt layup from 6 ft,50,57
209,2,0:29.0,,Offensive rebound by N. Vučević,50,57
210,2,0:29.0,,N. Vučević makes 2-pt layup at rim,50,59
211,2,0:09.0,L. James makes 3-pt jump shot from 26 ft,,53,59
212,2,0:01.0,,N. Vučević makes 3-pt jump shot from 25 ft (assist by J. Simmons),53,62
213,3,11:45.0,,N. Vučević misses 3-pt jump shot from 25 ft,53,62
214,3,11:42.0,Defensive rebound by L. James,,53,62
215,3,11:37.0,J. McGee makes 2-pt hook shot from 8 ft (assist by L. James),,55,62
216,3,11:16.0,,D. Augustin makes 3-pt jump shot from 22 ft (assist by E. Fournier),55,65
217,3,11:12.0,Turnover by J. McGee (out of bounds lost ball),,55,65
218,3,11:06.0,,E. Fournier makes 3-pt jump shot from 26 ft (assist by A. Gordon),55,68
219,3,10:48.0,Turnover by L. James (bad pass; steal by N. Vučević),,55,68
220,3,10:40.0,,N. Vučević makes 2-pt dunk from 2 ft (assist by D. Augustin),55,70
221,3,10:40.0,LA Lakers full timeout,,55,70
222,3,10:32.0,L. James misses 2-pt jump shot from 20 ft,,55,70
223,3,10:29.0,Offensive rebound by J. McGee,,55,70
224,3,10:29.0,J. McGee misses 2-pt layup at rim,,55,70
225,3,10:29.0,Offensive rebound by J. McGee,,55,70
226,3,10:29.0,Personal foul by E. Fournier (drawn by J. McGee),,55,70
227,3,10:18.0,B. Ingram makes 2-pt jump shot from 10 ft,,57,70
228,3,10:02.0,,Personal foul by J. McGee (drawn by E. Fournier),57,70
229,3,9:49.0,,A. Gordon misses 2-pt jump shot from 14 ft,57,70
230,3,9:47.0,Defensive rebound by L. James,,57,70
231,3,9:35.0,J. McGee makes 2-pt layup from 3 ft (assist by L. James),,59,70
232,3,9:16.0,,W. Iwundu misses 3-pt jump shot from 26 ft,59,70
233,3,9:14.0,Defensive rebound by B. Ingram,,59,70
234,3,9:06.0,B. Ingram makes 2-pt jump shot from 17 ft,,61,70
235,3,9:06.0,,Orlando full timeout,61,70
236,3,8:42.0,,D. Augustin misses 2-pt dunk from 3 ft (block by L. James),61,70
237,3,8:39.0,Defensive rebound by L. Ball,,61,70
238,3,8:38.0,L. James makes 2-pt layup from 3 ft (assist by B. Ingram),,63,70
239,3,8:23.0,,N. Vučević makes 2-pt hook shot from 9 ft (assist by E. Fournier),63,72
240,3,8:15.0,Shooting foul by E. Fournier (drawn by B. Ingram),,63,72
241,3,8:15.0,B. Ingram misses free throw 1 of 2,,63,72
242,3,8:15.0,Offensive rebound by Team,,63,72
243,3,8:15.0,B. Ingram makes free throw 2 of 2,,64,72
244,3,7:56.0,,N. Vučević makes 2-pt jump shot from 19 ft,64,74
245,3,7:44.0,B. Ingram makes 2-pt layup from 3 ft,,66,74
246,3,7:26.0,,N. Vučević makes 2-pt layup from 2 ft (assist by D. Augustin),66,76
247,3,7:17.0,Personal foul by D. Augustin (drawn by B. Ingram),,66,76
248,3,7:17.0,T. Chandler enters the game for J. McGee,,66,76
249,3,7:11.0,L. Ball misses 2-pt jump shot from 14 ft,,66,76
250,3,7:08.0,,Defensive rebound by E. Fournier,66,76
251,3,7:05.0,,E. Fournier misses 3-pt jump shot from 25 ft,66,76
252,3,6:58.0,,Offensive rebound by A. Gordon,66,76
253,3,6:58.0,,A. Gordon makes 2-pt dunk from 1 ft,66,78
254,3,6:37.0,L. James misses 2-pt jump shot from 22 ft,,66,78
255,3,6:35.0,,Defensive rebound by N. Vučević,66,78
256,3,6:27.0,,N. Vučević misses 3-pt jump shot from 25 ft,66,78
257,3,6:25.0,Defensive rebound by K. Kuzma,,66,78
258,3,6:19.0,Turnover by K. Kuzma (bad pass; steal by N. Vučević),,66,78
259,3,6:11.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by A. Gordon),66,80
260,3,5:53.0,Personal foul by W. Iwundu (drawn by B. Ingram),,66,80
261,3,5:53.0,K. Caldwell-Pope enters the game for L. Ball,,66,80
262,3,5:53.0,J. Hart enters the game for K. Kuzma,,66,80
263,3,5:46.0,L. James misses 3-pt jump shot from 28 ft,,66,80
264,3,5:43.0,,Defensive rebound by N. Vučević,66,80
265,3,5:33.0,,A. Gordon makes 3-pt jump shot from 23 ft (assist by D. Augustin),66,83
266,3,5:19.0,L. James makes 2-pt layup from 4 ft,,68,83
267,3,5:10.0,,D. Augustin makes 2-pt layup from 2 ft,68,85
268,3,4:55.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,68,85
269,3,4:54.0,,Defensive rebound by N. Vučević,68,85
270,3,4:36.0,,N. Vučević makes 2-pt layup from 1 ft (assist by W. Iwundu),68,87
271,3,4:17.0,B. Ingram misses 2-pt jump shot from 7 ft,,68,87
272,3,4:08.0,Offensive rebound by K. Caldwell-Pope,,68,87
273,3,4:08.0,K. Caldwell-Pope makes 2-pt layup at rim,,70,87
274,3,4:01.0,,D. Augustin makes 2-pt layup from 1 ft,70,89
275,3,3:46.0,L. James misses 2-pt layup from 4 ft,,70,89
276,3,3:43.0,,Defensive rebound by D. Augustin,70,89
277,3,3:36.0,,E. Fournier misses 3-pt jump shot from 25 ft,70,89
278,3,3:32.0,,Offensive rebound by E. Fournier,70,89
279,3,3:30.0,,E. Fournier misses 2-pt jump shot from 2 ft,70,89
280,3,3:28.0,Defensive rebound by L. James,,70,89
281,3,3:14.0,L. James makes 3-pt jump shot from 24 ft,,73,89
282,3,2:58.0,,D. Augustin makes 2-pt layup from 1 ft,73,91
283,3,2:45.0,L. James misses 3-pt jump shot from 28 ft,,73,91
284,3,2:44.0,,Defensive rebound by N. Vučević,73,91
285,3,2:44.0,,Orlando full timeout,73,91
286,3,2:44.0,L. Ball enters the game for T. Chandler,,73,91
287,3,2:44.0,K. Kuzma enters the game for B. Ingram,,73,91
288,3,2:44.0,L. Stephenson enters the game for L. James,,73,91
289,3,2:44.0,,T. Ross enters the game for D. Augustin,73,91
290,3,2:33.0,,N. Vučević misses 2-pt hook shot from 9 ft (block by K. Kuzma),73,91
291,3,2:29.0,,Offensive rebound by N. Vučević,73,91
292,3,2:27.0,,N. Vučević makes 2-pt hook shot from 3 ft,73,93
293,3,2:21.0,K. Kuzma misses 3-pt jump shot from 26 ft,,73,93
294,3,2:21.0,Offensive rebound by K. Caldwell-Pope,,73,93
295,3,2:16.0,K. Caldwell-Pope makes 2-pt layup at rim,,75,93
296,3,2:03.0,,E. Fournier makes 2-pt layup from 2 ft,75,95
297,3,1:52.0,L. Ball misses 3-pt jump shot from 26 ft,,75,95
298,3,1:49.0,,Defensive rebound by A. Gordon,75,95
299,3,1:35.0,,A. Gordon misses 2-pt layup from 5 ft (block by J. Hart),75,95
300,3,1:32.0,,Offensive rebound by A. Gordon,75,95
301,3,1:31.0,,A. Gordon misses 2-pt layup from 4 ft,75,95
302,3,1:26.0,,Offensive rebound by A. Gordon,75,95
303,3,1:26.0,,A. Gordon misses 2-pt layup from 1 ft,75,95
304,3,1:26.0,Defensive rebound by L. Ball,,75,95
305,3,1:19.0,K. Kuzma makes 3-pt jump shot from 28 ft (assist by J. Hart),,78,95
306,3,1:05.0,,Shooting foul by K. Caldwell-Pope (drawn by T. Ross),78,95
307,3,1:05.0,,T. Ross makes free throw 1 of 3,78,96
308,3,1:05.0,,T. Ross makes free throw 2 of 3,78,97
309,3,1:05.0,,J. Isaac enters the game for E. Fournier,78,97
310,3,1:05.0,,J. Simmons enters the game for A. Gordon,78,97
311,3,1:05.0,,T. Ross makes free throw 3 of 3,78,98
312,3,1:05.0,,J. Grant enters the game for W. Iwundu,78,98
313,3,0:53.0,Shooting foul by N. Vučević (drawn by K. Kuzma),,78,98
314,3,0:53.0,K. Kuzma makes free throw 1 of 2,,79,98
315,3,0:53.0,K. Kuzma misses free throw 2 of 2,,79,98
316,3,0:51.0,,Defensive rebound by N. Vučević,79,98
317,3,0:34.0,,N. Vučević makes 2-pt hook shot from 8 ft,79,100
318,3,0:25.0,Shooting foul by T. Ross (drawn by K. Caldwell-Pope),,79,100
319,3,0:25.0,K. Caldwell-Pope makes free throw 1 of 2,,80,100
320,3,0:25.0,K. Caldwell-Pope makes free throw 2 of 2,,81,100
321,3,0:06.0,,J. Simmons misses 2-pt layup from 7 ft (block by K. Kuzma),81,100
322,3,0:04.0,Defensive rebound by L. Ball,,81,100
323,3,0:02.0,K. Caldwell-Pope misses 2-pt dunk from 4 ft (block by J. Isaac),,81,100
324,3,0:02.0,,Defensive rebound by Team,81,100
325,3,0:00.0,,Turnover by J. Isaac (bad pass),81,100
326,3,0:00.0,L. Stephenson misses 3-pt jump shot from 62 ft,,81,100
327,3,0:00.0,Offensive rebound by Team,,81,100
328,4,11:41.0,K. Kuzma misses 2-pt layup from 3 ft,,81,100
329,4,11:39.0,,Defensive rebound by M. Bamba,81,100
330,4,11:30.0,,Turnover by J. Isaac (bad pass; steal by L. Stephenson),81,100
331,4,11:30.0,Personal foul by J. Simmons (drawn by L. Stephenson),,81,100
332,4,11:27.0,J. Hart makes 3-pt jump shot from 25 ft (assist by L. Ball),,84,100
333,4,11:10.0,,Personal foul by L. Ball (drawn by J. Grant),84,100
334,4,10:59.0,,J. Simmons makes 2-pt dunk from 1 ft (assist by J. Isaac),84,102
335,4,10:48.0,Turnover by L. Ball (bad pass; steal by J. Grant),,84,102
336,4,10:45.0,,Shooting foul by J. Hart (drawn by J. Simmons),84,102
337,4,10:45.0,,J. Simmons makes free throw 1 of 2,84,103
338,4,10:45.0,,J. Simmons makes free throw 2 of 2,84,104
339,4,10:38.0,Shooting foul by M. Bamba (drawn by L. Stephenson),,84,104
340,4,10:38.0,L. Stephenson makes free throw 1 of 2,,85,104
341,4,10:38.0,L. Stephenson makes free throw 2 of 2,,86,104
342,4,10:30.0,,Offensive foul by T. Ross (drawn by K. Kuzma),86,104
343,4,10:30.0,,Turnover by T. Ross (offensive foul),86,104
344,4,10:30.0,S. Mykhailiuk enters the game for J. Hart,,86,104
345,4,10:11.0,L. Stephenson makes 2-pt jump shot from 19 ft,,88,104
346,4,9:52.0,,Shooting foul by L. Ball (drawn by M. Bamba),88,104
347,4,9:52.0,,M. Bamba makes free throw 1 of 2,88,105
348,4,9:52.0,,M. Bamba makes free throw 2 of 2,88,106
349,4,9:39.0,K. Kuzma misses 3-pt jump shot from 25 ft,,88,106
350,4,9:37.0,,Defensive rebound by J. Isaac,88,106
351,4,9:16.0,,T. Ross makes 2-pt jump shot from 21 ft,88,108
352,4,9:04.0,Shooting foul by T. Ross (drawn by L. Stephenson),,88,108
353,4,9:04.0,L. Stephenson makes free throw 1 of 2,,89,108
354,4,9:04.0,M. Beasley enters the game for L. Ball,,89,108
355,4,9:04.0,B. Ingram enters the game for K. Kuzma,,89,108
356,4,9:04.0,,E. Fournier enters the game for T. Ross,89,108
357,4,9:04.0,L. Stephenson makes free throw 2 of 2,,90,108
358,4,8:45.0,,M. Bamba makes 2-pt hook shot from 6 ft (assist by E. Fournier),90,110
359,4,8:30.0,S. Mykhailiuk misses 3-pt jump shot from 23 ft,,90,110
360,4,8:29.0,,Defensive rebound by J. Isaac,90,110
361,4,8:29.0,,Personal foul by M. Beasley (drawn by M. Bamba),90,110
362,4,8:16.0,,J. Simmons misses 2-pt jump shot from 3 ft,90,110
363,4,8:16.0,Defensive rebound by Team,,90,110
364,4,8:16.0,,Loose ball foul by M. Bamba (drawn by S. Mykhailiuk),90,110
365,4,8:16.0,LA Lakers full timeout,,90,110
366,4,8:08.0,Personal foul by J. Simmons (drawn by S. Mykhailiuk),,90,110
367,4,8:08.0,S. Mykhailiuk makes free throw 1 of 2,,91,110
368,4,8:08.0,S. Mykhailiuk makes free throw 2 of 2,,92,110
369,4,7:52.0,,M. Bamba misses 3-pt jump shot from 26 ft,92,110
370,4,7:48.0,Defensive rebound by L. Stephenson,,92,110
371,4,7:41.0,K. Caldwell-Pope misses 2-pt jump shot from 4 ft (block by M. Bamba),,92,110
372,4,7:41.0,Offensive rebound by Team,,92,110
373,4,7:39.0,M. Beasley misses 2-pt jump shot from 19 ft,,92,110
374,4,7:37.0,,Defensive rebound by J. Isaac,92,110
375,4,7:24.0,,J. Isaac makes 2-pt layup from 2 ft,92,112
376,4,7:11.0,L. Stephenson makes 2-pt dunk at rim (assist by B. Ingram),,94,112
377,4,7:01.0,,Personal foul by K. Caldwell-Pope (drawn by E. Fournier),94,112
378,4,7:01.0,,E. Fournier makes free throw 1 of 2,94,113
379,4,7:01.0,,E. Fournier makes free throw 2 of 2,94,114
