,QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,LA CLIPPERS_ACTION,PHILADELPHIA_SCORE,LA CLIPPERS_SCORE
123,1,0:33.0,,L. Williams misses free throw 1 of 2,38,27
124,1,0:33.0,,Offensive rebound by Team,38,27
125,1,0:33.0,,L. Williams makes free throw 2 of 2,38,28
126,1,0:16.0,J. Bolden makes 3-pt jump shot from 25 ft (assist by J. Embiid),,41,28
127,1,0:07.0,,M. Scott misses 3-pt jump shot from 26 ft,41,28
128,1,0:05.0,,Offensive rebound by B. Marjanović,41,28
129,1,0:05.0,,B. Marjanović misses 2-pt layup from 1 ft,41,28
130,1,0:03.0,Defensive rebound by J. Embiid,,41,28
131,1,0:00.0,F. Korkmaz misses 3-pt jump shot from 64 ft,,41,28
132,1,0:00.0,Offensive rebound by Team,,41,28
133,2,11:48.0,J. Redick misses 3-pt jump shot from 24 ft,,41,28
134,2,11:42.0,,Defensive rebound by L. Williams,41,28
135,2,11:36.0,,P. Beverley makes 3-pt jump shot from 23 ft (assist by B. Marjanović),41,31
136,2,11:25.0,J. Bolden makes 2-pt layup from 2 ft (assist by T. McConnell),,43,31
137,2,11:15.0,,Turnover by L. Williams (bad pass; steal by T. McConnell),43,31
138,2,10:51.0,J. Embiid makes 3-pt jump shot from 25 ft (assist by J. Butler),,46,31
139,2,10:37.0,,M. Scott misses 3-pt jump shot from 25 ft,46,31
140,2,10:33.0,Defensive rebound by J. Embiid,,46,31
141,2,10:26.0,J. Embiid misses 2-pt jump shot from 13 ft,,46,31
142,2,10:25.0,,Defensive rebound by L. Williams,46,31
143,2,10:14.0,,L. Williams makes 3-pt jump shot from 22 ft,46,34
144,2,10:13.0,Philadelphia full timeout,,46,34
145,2,10:06.0,Shooting foul by A. Bradley (drawn by J. Redick),,46,34
146,2,10:06.0,J. Redick makes free throw 1 of 2,,47,34
147,2,10:06.0,J. Redick makes free throw 2 of 2,,48,34
148,2,9:56.0,,Offensive foul by B. Marjanović (drawn by J. Redick),48,34
149,2,9:56.0,,Turnover by B. Marjanović (offensive foul),48,34
150,2,9:36.0,J. Embiid misses 2-pt layup from 4 ft,,48,34
151,2,9:35.0,Offensive rebound by J. Embiid,,48,34
152,2,9:35.0,Shooting foul by B. Marjanović (drawn by J. Embiid),,48,34
153,2,9:35.0,J. Embiid misses free throw 1 of 2,,48,34
154,2,9:35.0,Offensive rebound by Team,,48,34
155,2,9:35.0,,M. Gortat enters the game for B. Marjanović,48,34
156,2,9:35.0,J. Embiid makes free throw 2 of 2,,49,34
157,2,9:22.0,,L. Williams makes 2-pt jump shot from 9 ft,49,36
158,2,9:09.0,J. Redick makes 3-pt jump shot from 26 ft (assist by J. Embiid),,52,36
159,2,8:58.0,,Turnover by M. Scott (bad pass; steal by T. McConnell),52,36
160,2,8:56.0,T. McConnell makes 2-pt layup at rim,,54,36
161,2,8:56.0,,Violation by Team (def goaltending),54,36
162,2,8:40.0,,L. Williams misses 3-pt jump shot from 25 ft,54,36
163,2,8:38.0,Defensive rebound by J. Embiid,,54,36
164,2,8:25.0,Turnover by J. Embiid (bad pass; steal by L. Williams),,54,36
165,2,8:18.0,,M. Gortat misses 2-pt layup from 2 ft (block by J. Bolden),54,36
166,2,8:15.0,Defensive rebound by J. Embiid,,54,36
167,2,8:11.0,J. Butler misses 3-pt jump shot from 25 ft,,54,36
168,2,8:05.0,,Defensive rebound by M. Gortat,54,36
169,2,7:59.0,,M. Gortat makes 2-pt layup from 2 ft (assist by L. Williams),54,38
170,2,7:39.0,J. Embiid misses 2-pt jump shot from 14 ft,,54,38
171,2,7:38.0,,Defensive rebound by L. Williams,54,38
172,2,7:27.0,,Turnover by L. Williams (bad pass; steal by T. McConnell),54,38
173,2,7:24.0,J. Redick makes 2-pt layup at rim (assist by T. McConnell),,56,38
174,2,7:24.0,,LA Clippers full timeout,56,38
175,2,7:24.0,W. Chandler enters the game for J. Bolden,,56,38
176,2,7:24.0,M. Muscala enters the game for J. Embiid,,56,38
177,2,7:24.0,L. Shamet enters the game for T. McConnell,,56,38
178,2,7:24.0,B. Simmons enters the game for J. Redick,,56,38
179,2,7:24.0,,D. Gallinari enters the game for P. Beverley,56,38
180,2,7:24.0,,S. Gilgeous-Alexander enters the game for M. Scott,56,38
181,2,7:06.0,,A. Bradley misses 2-pt jump shot from 7 ft,56,38
182,2,7:03.0,Defensive rebound by L. Shamet,,56,38
183,2,6:44.0,J. Butler misses 2-pt jump shot from 15 ft,,56,38
184,2,6:40.0,,Defensive rebound by S. Gilgeous-Alexander,56,38
185,2,6:38.0,,Turnover by S. Gilgeous-Alexander (step out of bounds),56,38
186,2,6:38.0,,M. Harrell enters the game for M. Gortat,56,38
187,2,6:38.0,,T. Harris enters the game for L. Williams,56,38
188,2,6:26.0,Personal foul by T. Harris (drawn by B. Simmons),,56,38
189,2,6:26.0,,P. Beverley enters the game for A. Bradley,56,38
190,2,6:19.0,Turnover by M. Muscala (bad pass; steal by S. Gilgeous-Alexander),,56,38
191,2,6:10.0,,M. Harrell misses 2-pt hook shot from 5 ft,56,38
192,2,6:05.0,,Offensive rebound by P. Beverley,56,38
193,2,6:05.0,,P. Beverley misses 2-pt layup from 1 ft,56,38
194,2,6:05.0,Defensive rebound by B. Simmons,,56,38
195,2,6:02.0,M. Muscala makes 3-pt jump shot from 26 ft (assist by B. Simmons),,59,38
196,2,5:44.0,,S. Gilgeous-Alexander misses 2-pt jump shot from 21 ft,59,38
197,2,5:42.0,Defensive rebound by B. Simmons,,59,38
198,2,5:38.0,B. Simmons misses 2-pt layup from 2 ft,,59,38
199,2,5:37.0,,Defensive rebound by Team,59,38
200,2,5:37.0,,T. Wallace enters the game for T. Harris,59,38
201,2,5:26.0,,T. Wallace makes 2-pt jump shot from 4 ft (assist by S. Gilgeous-Alexander),59,40
202,2,5:07.0,M. Muscala makes 2-pt jump shot from 15 ft (assist by J. Butler),,61,40
203,2,4:45.0,,D. Gallinari misses 2-pt jump shot from 16 ft,61,40
204,2,4:40.0,Defensive rebound by B. Simmons,,61,40
205,2,4:30.0,B. Simmons makes 2-pt layup from 2 ft (assist by W. Chandler),,63,40
206,2,4:09.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),63,42
207,2,3:58.0,L. Shamet makes 3-pt jump shot from 25 ft (assist by B. Simmons),,66,42
208,2,3:40.0,,Personal foul by J. Butler (drawn by M. Harrell),66,42
209,2,3:40.0,J. Embiid enters the game for M. Muscala,,66,42
210,2,3:40.0,J. Redick enters the game for L. Shamet,,66,42
211,2,3:35.0,,D. Gallinari makes 3-pt jump shot from 25 ft (assist by S. Gilgeous-Alexander),66,45
212,2,3:15.0,Turnover by J. Embiid (out of bounds lost ball),,66,45
213,2,3:01.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 11 ft,66,47
214,2,2:43.0,J. Butler makes 2-pt jump shot from 11 ft,,68,47
215,2,2:27.0,,M. Harrell makes 2-pt layup from 1 ft (assist by S. Gilgeous-Alexander),68,49
216,2,2:27.0,Philadelphia full timeout,,68,49
217,2,2:27.0,F. Korkmaz enters the game for J. Butler,,68,49
218,2,2:07.0,B. Simmons misses 2-pt hook shot from 9 ft,,68,49
219,2,2:04.0,,Defensive rebound by M. Harrell,68,49
220,2,1:58.0,,D. Gallinari makes 2-pt layup from 2 ft,68,51
221,2,1:44.0,Personal foul by D. Gallinari (drawn by J. Redick),,68,51
222,2,1:32.0,J. Embiid misses 2-pt layup from 2 ft,,68,51
223,2,1:30.0,,Defensive rebound by M. Harrell,68,51
224,2,1:21.0,,M. Harrell misses 2-pt layup from 2 ft,68,51
225,2,1:19.0,,Offensive rebound by S. Gilgeous-Alexander,68,51
226,2,1:17.0,,S. Gilgeous-Alexander makes 2-pt jump shot from 5 ft,68,53
227,2,1:08.0,W. Chandler makes 2-pt layup from 2 ft (assist by B. Simmons),,70,53
228,2,0:49.0,,T. Wallace misses 2-pt hook shot from 6 ft,70,53
229,2,0:46.0,Defensive rebound by B. Simmons,,70,53
230,2,0:42.0,F. Korkmaz makes 2-pt layup from 2 ft (assist by B. Simmons),,72,53
231,2,0:42.0,Shooting foul by S. Gilgeous-Alexander (drawn by F. Korkmaz),,72,53
232,2,0:42.0,F. Korkmaz makes free throw 1 of 1,,73,53
233,2,0:35.0,,Personal foul by W. Chandler (drawn by P. Beverley),73,53
234,2,0:35.0,,L. Williams enters the game for T. Wallace,73,53
235,2,0:26.0,,D. Gallinari makes 2-pt layup from 2 ft (assist by M. Harrell),73,55
236,2,0:26.0,,Shooting foul by J. Redick (drawn by D. Gallinari),73,55
237,2,0:26.0,,M. Gortat enters the game for M. Harrell,73,55
238,2,0:26.0,,S. Thornwell enters the game for L. Williams,73,55
239,2,0:26.0,,D. Gallinari makes free throw 1 of 1,73,56
240,2,0:07.0,J. Redick makes 3-pt jump shot from 25 ft (assist by J. Embiid),,76,56
241,2,0:00.0,,D. Gallinari makes 2-pt layup from 2 ft,76,58
242,3,11:44.0,Turnover by J. Embiid (bad pass; steal by M. Gortat),,76,58
243,3,11:37.0,,T. Harris makes 2-pt jump shot from 7 ft,76,60
244,3,11:22.0,J. Butler misses 2-pt jump shot from 11 ft,,76,60
245,3,11:19.0,,Defensive rebound by T. Harris,76,60
246,3,11:10.0,,D. Gallinari misses 2-pt jump shot from 8 ft,76,60
247,3,11:07.0,Defensive rebound by J. Butler,,76,60
248,3,11:05.0,Personal foul by S. Gilgeous-Alexander (drawn by B. Simmons),,76,60
249,3,10:54.0,J. Embiid makes 2-pt dunk from 1 ft (assist by J. Redick),,78,60
250,3,10:44.0,,Turnover by S. Gilgeous-Alexander (out of bounds lost ball),78,60
251,3,10:35.0,J. Redick misses 3-pt jump shot from 26 ft,,78,60
252,3,10:33.0,,Defensive rebound by M. Gortat,78,60
253,3,10:24.0,,A. Bradley makes 2-pt jump shot from 16 ft,78,62
254,3,10:06.0,Turnover by B. Simmons (3 sec),,78,62
255,3,9:46.0,,T. Harris misses 3-pt jump shot from 26 ft,78,62
256,3,9:42.0,Defensive rebound by J. Butler,,78,62
257,3,9:34.0,Shooting foul by T. Harris (drawn by B. Simmons),,78,62
258,3,9:34.0,B. Simmons misses free throw 1 of 2,,78,62
259,3,9:34.0,Offensive rebound by Team,,78,62
260,3,9:34.0,,P. Beverley enters the game for T. Harris,78,62
261,3,9:34.0,B. Simmons makes free throw 2 of 2,,79,62
262,3,9:22.0,,A. Bradley misses 3-pt jump shot from 26 ft,79,62
263,3,9:19.0,Defensive rebound by J. Embiid,,79,62
264,3,9:14.0,Philadelphia full timeout,,79,62
265,3,9:06.0,Shooting foul by P. Beverley (drawn by B. Simmons),,79,62
266,3,9:06.0,B. Simmons misses free throw 1 of 2,,79,62
267,3,9:06.0,Offensive rebound by Team,,79,62
268,3,9:06.0,B. Simmons makes free throw 2 of 2,,80,62
269,3,8:57.0,,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,80,64
270,3,8:50.0,Personal foul by P. Beverley (drawn by B. Simmons),,80,64
271,3,8:35.0,W. Chandler makes 3-pt jump shot from 22 ft (assist by J. Butler),,83,64
272,3,8:13.0,,D. Gallinari misses 2-pt layup from 2 ft,83,64
273,3,8:12.0,,Offensive rebound by M. Gortat,83,64
274,3,8:11.0,,M. Gortat misses 2-pt hook shot from 3 ft,83,64
275,3,8:09.0,Defensive rebound by J. Embiid,,83,64
276,3,8:05.0,Shooting foul by S. Gilgeous-Alexander (drawn by J. Butler),,83,64
277,3,8:05.0,J. Butler makes free throw 1 of 2,,84,64
278,3,8:05.0,,L. Williams enters the game for S. Gilgeous-Alexander,84,64
279,3,8:05.0,J. Butler makes free throw 2 of 2,,85,64
280,3,7:57.0,,D. Gallinari misses 3-pt jump shot from 26 ft,85,64
281,3,7:56.0,Defensive rebound by J. Embiid,,85,64
282,3,7:43.0,J. Redick misses 2-pt layup from 4 ft,,85,64
283,3,7:41.0,Offensive rebound by J. Butler,,85,64
284,3,7:38.0,Turnover by W. Chandler (bad pass; steal by D. Gallinari),,85,64
285,3,7:33.0,,Shooting foul by W. Chandler (drawn by M. Gortat),85,64
286,3,7:33.0,,M. Gortat makes free throw 1 of 2,85,65
287,3,7:33.0,,M. Gortat makes free throw 2 of 2,85,66
288,3,7:24.0,J. Butler misses 2-pt jump shot from 15 ft,,85,66
289,3,7:21.0,,Defensive rebound by M. Gortat,85,66
290,3,7:15.0,,A. Bradley makes 2-pt layup from 1 ft (assist by P. Beverley),85,68
291,3,7:04.0,W. Chandler misses 2-pt layup from 2 ft,,85,68
292,3,7:00.0,Offensive rebound by W. Chandler,,85,68
293,3,7:00.0,W. Chandler misses 2-pt layup from 1 ft,,85,68
294,3,6:59.0,,Defensive rebound by M. Gortat,85,68
295,3,6:49.0,,D. Gallinari misses 3-pt jump shot from 27 ft,85,68
296,3,6:47.0,Defensive rebound by B. Simmons,,85,68
297,3,6:41.0,J. Butler makes 2-pt layup from 2 ft (assist by B. Simmons),,87,68
298,3,6:27.0,,L. Williams misses 2-pt jump shot from 16 ft (block by J. Embiid),87,68
299,3,6:23.0,,Offensive rebound by M. Gortat,87,68
300,3,6:23.0,,L. Williams misses 3-pt jump shot from 27 ft,87,68
301,3,6:20.0,,Offensive rebound by D. Gallinari,87,68
302,3,6:18.0,,D. Gallinari makes 3-pt jump shot from 26 ft,87,71
303,3,6:07.0,B. Simmons makes 2-pt layup from 2 ft,,89,71
304,3,5:57.0,,Offensive foul by M. Gortat (drawn by W. Chandler),89,71
305,3,5:57.0,,Turnover by M. Gortat (offensive foul),89,71
306,3,5:57.0,T. McConnell enters the game for W. Chandler,,89,71
307,3,5:57.0,M. Muscala enters the game for J. Embiid,,89,71
308,3,5:57.0,L. Shamet enters the game for J. Redick,,89,71
309,3,5:57.0,,M. Harrell enters the game for M. Gortat,89,71
310,3,5:39.0,L. Shamet misses 3-pt jump shot from 25 ft,,89,71
311,3,5:36.0,,Defensive rebound by M. Harrell,89,71
312,3,5:25.0,,M. Harrell makes 2-pt layup from 3 ft (assist by A. Bradley),89,73
313,3,5:21.0,Offensive foul by B. Simmons (drawn by P. Beverley),,89,73
314,3,5:21.0,Turnover by B. Simmons (offensive foul),,89,73
315,3,5:21.0,,S. Thornwell enters the game for A. Bradley,89,73
316,3,5:03.0,,M. Harrell misses 2-pt hook shot from 3 ft,89,73
317,3,5:01.0,Defensive rebound by T. McConnell,,89,73
318,3,4:57.0,T. McConnell makes 2-pt layup from 2 ft,,91,73
319,3,4:46.0,,L. Williams makes 2-pt jump shot from 5 ft,91,75
320,3,4:38.0,Turnover by T. McConnell (bad pass; steal by S. Thornwell),,91,75
321,3,4:33.0,,L. Williams misses 3-pt jump shot from 28 ft,91,75
322,3,4:30.0,,Offensive rebound by D. Gallinari,91,75
323,3,4:27.0,,D. Gallinari misses 2-pt layup from 2 ft,91,75
324,3,4:25.0,Defensive rebound by M. Muscala,,91,75
325,3,4:20.0,M. Muscala misses 3-pt jump shot from 26 ft,,91,75
326,3,4:16.0,,Defensive rebound by D. Gallinari,91,75
327,3,4:16.0,,Personal foul by J. Butler (drawn by D. Gallinari),91,75
328,3,3:56.0,,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),91,77
329,3,3:33.0,Shooting foul by S. Thornwell (drawn by T. McConnell),,91,77
330,3,3:33.0,T. McConnell makes free throw 1 of 2,,92,77
331,3,3:33.0,T. McConnell makes free throw 2 of 2,,93,77
332,3,3:21.0,,D. Gallinari misses 3-pt jump shot from 26 ft,93,77
333,3,3:17.0,Defensive rebound by M. Muscala,,93,77
334,3,2:57.0,J. Butler makes 3-pt jump shot from 23 ft,,96,77
335,3,2:42.0,,Personal foul by L. Shamet (drawn by D. Gallinari),96,77
336,3,2:42.0,,LA Clippers full timeout,96,77
337,3,2:42.0,J. Bolden enters the game for J. Butler,,96,77
338,3,2:42.0,J. Embiid enters the game for M. Muscala,,96,77
339,3,2:42.0,F. Korkmaz enters the game for L. Shamet,,96,77
340,3,2:42.0,J. Redick enters the game for B. Simmons,,96,77
341,3,2:42.0,,M. Scott enters the game for D. Gallinari,96,77
342,3,2:32.0,,P. Beverley misses 3-pt jump shot from 23 ft,96,77
343,3,2:28.0,Defensive rebound by J. Embiid,,96,77
344,3,2:17.0,Shooting foul by M. Harrell (drawn by J. Embiid),,96,77
345,3,2:17.0,J. Embiid misses free throw 1 of 2,,96,77
346,3,2:17.0,Offensive rebound by Team,,96,77
347,3,2:17.0,J. Embiid makes free throw 2 of 2,,97,77
348,3,2:08.0,,Shooting foul by J. Embiid (drawn by L. Williams),97,77
349,3,2:08.0,,L. Williams makes free throw 1 of 2,97,78
350,3,2:08.0,,A. Bradley enters the game for S. Thornwell,97,78
351,3,2:08.0,,L. Williams misses free throw 2 of 2,97,78
352,3,2:06.0,Defensive rebound by J. Embiid,,97,78
353,3,1:58.0,Personal foul by M. Harrell (drawn by J. Embiid),,97,78
354,3,1:58.0,J. Embiid makes free throw 1 of 2,,98,78
355,3,1:58.0,,M. Gortat enters the game for M. Harrell,98,78
356,3,1:58.0,J. Embiid makes free throw 2 of 2,,99,78
357,3,1:44.0,,L. Williams makes 2-pt jump shot from 18 ft,99,80
358,3,1:33.0,Turnover by J. Bolden (bad pass; steal by L. Williams),,99,80
359,3,1:30.0,,L. Williams misses 2-pt layup from 2 ft,99,80
360,3,1:25.0,,Offensive rebound by M. Scott,99,80
361,3,1:25.0,,M. Scott makes 2-pt layup at rim,99,82
362,3,1:23.0,F. Korkmaz misses 3-pt jump shot from 27 ft,,99,82
363,3,1:19.0,Offensive rebound by J. Bolden,,99,82
364,3,1:12.0,Turnover by F. Korkmaz (lost ball; steal by L. Williams),,99,82
365,3,1:04.0,,L. Williams makes 2-pt layup from 1 ft,99,84
366,3,1:04.0,,Shooting foul by J. Embiid (drawn by L. Williams),99,84
367,3,1:04.0,,L. Williams misses free throw 1 of 1,99,84
368,3,1:02.0,Defensive rebound by F. Korkmaz,,99,84
369,3,0:53.0,Personal foul by A. Bradley (drawn by J. Redick),,99,84
370,3,0:53.0,J. Redick makes free throw 1 of 2,,100,84
371,3,0:53.0,J. Redick makes free throw 2 of 2,,101,84
372,3,0:46.0,,Personal foul by F. Korkmaz (drawn by M. Gortat),101,84
373,3,0:46.0,,M. Gortat makes free throw 1 of 2,101,85
374,3,0:46.0,,M. Gortat makes free throw 2 of 2,101,86
375,3,0:35.0,Turnover by J. Embiid (back court),,101,86
376,3,0:30.0,,Shooting foul by J. Bolden (drawn by L. Williams),101,86
377,3,0:30.0,,L. Williams makes free throw 1 of 2,101,87
378,3,0:30.0,,L. Williams makes free throw 2 of 2,101,88
379,3,0:13.0,J. Redick misses 2-pt jump shot from 11 ft,,101,88
