,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,CHARLOTTE_ACTION,LA CLIPPERS_SCORE,CHARLOTTE_SCORE
33,1,8:07.0,,Defensive rebound by N. Batum,7,6
34,1,7:53.0,,J. Lamb misses 2-pt jump shot from 3 ft,7,6
35,1,7:49.0,,Offensive rebound by N. Batum,7,6
36,1,7:49.0,,N. Batum misses 2-pt layup from 1 ft,7,6
37,1,7:48.0,Defensive rebound by M. Gortat,,7,6
38,1,7:42.0,T. Harris makes 2-pt layup from 3 ft,,9,6
39,1,7:28.0,,N. Batum makes 2-pt jump shot from 23 ft (assist by B. Biyombo),9,8
40,1,7:01.0,P. Beverley misses 2-pt jump shot from 19 ft,,9,8
41,1,6:57.0,Offensive rebound by P. Beverley,,9,8
42,1,6:45.0,A. Bradley makes 2-pt jump shot from 19 ft (assist by S. Gilgeous-Alexander),,11,8
43,1,6:37.0,,Charlotte full timeout,11,8
44,1,6:37.0,,M. Kidd-Gilchrist enters the game for B. Biyombo,11,8
45,1,6:37.0,,C. Zeller enters the game for M. Williams,11,8
46,1,6:19.0,,J. Lamb makes 3-pt jump shot from 26 ft,11,11
47,1,5:57.0,M. Gortat misses 2-pt jump shot from 16 ft,,11,11
48,1,5:54.0,,Defensive rebound by K. Walker,11,11
49,1,5:51.0,,K. Walker misses 3-pt jump shot from 25 ft,11,11
50,1,5:47.0,,Offensive rebound by C. Zeller,11,11
51,1,5:44.0,,Shooting foul by T. Harris (drawn by M. Kidd-Gilchrist),11,11
52,1,5:44.0,,M. Kidd-Gilchrist makes free throw 1 of 2,11,12
53,1,5:44.0,,M. Kidd-Gilchrist makes free throw 2 of 2,11,13
54,1,5:36.0,T. Harris misses 2-pt jump shot from 15 ft,,11,13
55,1,5:33.0,,Defensive rebound by N. Batum,11,13
56,1,5:21.0,,N. Batum makes 2-pt jump shot from 19 ft,11,15
57,1,4:59.0,Turnover by T. Harris (lost ball; steal by C. Zeller),,11,15
58,1,4:54.0,,Turnover by C. Zeller (step out of bounds),11,15
59,1,4:54.0,M. Harrell enters the game for S. Gilgeous-Alexander,,11,15
60,1,4:54.0,L. Williams enters the game for M. Gortat,,11,15
61,1,4:54.0,,M. Bridges enters the game for J. Lamb,11,15
62,1,4:37.0,T. Harris makes 3-pt jump shot from 23 ft (assist by L. Williams),,14,15
63,1,4:26.0,,K. Walker makes 3-pt jump shot from 27 ft,14,18
64,1,4:18.0,L. Williams misses 2-pt jump shot from 10 ft,,14,18
65,1,4:14.0,,Defensive rebound by K. Walker,14,18
66,1,4:08.0,,K. Walker misses 2-pt jump shot from 6 ft,14,18
67,1,4:06.0,Defensive rebound by M. Harrell,,14,18
68,1,4:04.0,Turnover by M. Harrell (bad pass; steal by M. Kidd-Gilchrist),,14,18
69,1,3:56.0,,N. Batum misses 3-pt jump shot from 24 ft,14,18
70,1,3:56.0,Defensive rebound by Team,,14,18
71,1,3:56.0,LA Clippers full timeout,,14,18
72,1,3:42.0,Personal foul by C. Zeller (drawn by M. Harrell),,14,18
73,1,3:39.0,Personal foul by M. Kidd-Gilchrist (drawn by M. Harrell),,14,18
74,1,3:24.0,M. Harrell misses 2-pt hook shot from 10 ft,,14,18
75,1,3:22.0,,Defensive rebound by C. Zeller,14,18
76,1,3:13.0,,K. Walker misses 2-pt layup from 2 ft,14,18
77,1,3:10.0,Defensive rebound by P. Beverley,,14,18
78,1,3:03.0,T. Harris makes 3-pt jump shot from 23 ft (assist by L. Williams),,17,18
79,1,2:48.0,,M. Bridges misses 2-pt layup from 2 ft,17,18
80,1,2:45.0,Defensive rebound by T. Harris,,17,18
81,1,2:37.0,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),,19,18
82,1,2:21.0,,K. Walker makes 2-pt jump shot from 17 ft,19,20
83,1,2:03.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by T. Harris),,22,20
84,1,1:44.0,,M. Bridges misses 2-pt layup from 2 ft,22,20
85,1,1:39.0,,Offensive rebound by N. Batum,22,20
86,1,1:39.0,,N. Batum makes 2-pt layup from 1 ft,22,22
87,1,1:37.0,Personal foul by M. Bridges (drawn by P. Beverley),,22,22
88,1,1:37.0,J. Robinson enters the game for P. Beverley,,22,22
89,1,1:37.0,,M. Monk enters the game for N. Batum,22,22
90,1,1:37.0,,T. Parker enters the game for K. Walker,22,22
91,1,1:27.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,24,22
92,1,1:11.0,,T. Parker misses 2-pt jump shot from 9 ft,24,22
93,1,1:09.0,Defensive rebound by M. Harrell,,24,22
94,1,1:05.0,L. Williams misses 2-pt jump shot from 18 ft,,24,22
95,1,1:01.0,,Defensive rebound by M. Bridges,24,22
96,1,0:56.0,,M. Monk misses 2-pt jump shot from 19 ft,24,22
97,1,0:53.0,Defensive rebound by T. Harris,,24,22
98,1,0:45.0,M. Harrell makes 2-pt jump shot from 8 ft (assist by T. Harris),,26,22
99,1,0:29.0,,M. Monk makes 3-pt jump shot from 29 ft (assist by T. Parker),26,25
100,1,0:05.0,L. Williams misses 2-pt jump shot from 12 ft,,26,25
101,1,0:03.0,,Defensive rebound by C. Zeller,26,25
102,1,0:02.0,,Personal foul by M. Harrell (drawn by M. Monk),26,25
103,1,0:02.0,S. Gilgeous-Alexander enters the game for L. Williams,,26,25
104,1,0:02.0,,M. Williams enters the game for M. Kidd-Gilchrist,26,25
105,1,0:00.0,,M. Monk misses 3-pt jump shot from 29 ft,26,25
106,1,0:00.0,,Offensive rebound by Team,26,25
107,2,11:39.0,Personal foul by T. Parker (drawn by M. Harrell),,26,25
108,2,11:27.0,M. Scott misses 3-pt jump shot from 23 ft,,26,25
109,2,11:24.0,,Defensive rebound by M. Kidd-Gilchrist,26,25
110,2,11:17.0,,M. Monk makes 2-pt layup from 2 ft,26,27
111,2,11:07.0,Offensive foul by M. Scott (drawn by M. Monk),,26,27
112,2,11:07.0,Turnover by M. Scott (offensive foul),,26,27
113,2,10:50.0,,Turnover by M. Kidd-Gilchrist (traveling),26,27
114,2,10:41.0,Turnover by L. Williams (bad pass),,26,27
115,2,10:25.0,,M. Monk makes 3-pt jump shot from 30 ft (assist by M. Kidd-Gilchrist),26,30
116,2,10:06.0,M. Scott misses 2-pt layup from 3 ft (block by M. Kidd-Gilchrist),,26,30
117,2,10:05.0,Offensive rebound by M. Scott,,26,30
118,2,10:05.0,M. Scott misses 2-pt layup from 2 ft (block by M. Williams),,26,30
119,2,10:05.0,Offensive rebound by Team,,26,30
120,2,10:05.0,S. Thornwell enters the game for S. Gilgeous-Alexander,,26,30
121,2,10:00.0,L. Williams misses 2-pt jump shot from 2 ft,,26,30
122,2,9:59.0,Offensive rebound by M. Harrell,,26,30
123,2,9:56.0,M. Harrell misses 2-pt hook shot from 5 ft,,26,30
124,2,9:54.0,,Defensive rebound by M. Kidd-Gilchrist,26,30
125,2,9:40.0,,M. Bridges misses 2-pt jump shot from 6 ft (block by M. Harrell),26,30
126,2,9:36.0,Defensive rebound by J. Robinson,,26,30
127,2,9:32.0,J. Robinson misses 2-pt layup from 2 ft,,26,30
128,2,9:30.0,Offensive rebound by M. Harrell,,26,30
129,2,9:29.0,M. Harrell makes 2-pt dunk from 1 ft,,28,30
130,2,9:07.0,,M. Monk misses 3-pt jump shot from 26 ft,28,30
131,2,9:04.0,Defensive rebound by J. Robinson,,28,30
132,2,8:53.0,L. Williams makes 2-pt layup from 3 ft,,30,30
133,2,8:53.0,,Violation by Team (def goaltending),30,30
134,2,8:38.0,,M. Williams misses 3-pt jump shot from 26 ft,30,30
135,2,8:36.0,Defensive rebound by M. Scott,,30,30
136,2,8:29.0,L. Williams makes 2-pt jump shot from 10 ft,,32,30
137,2,8:15.0,,M. Monk misses 3-pt jump shot from 26 ft,32,30
138,2,8:12.0,Defensive rebound by M. Harrell,,32,30
139,2,8:04.0,M. Harrell makes 2-pt dunk from 1 ft (assist by L. Williams),,34,30
140,2,8:04.0,,Charlotte full timeout,34,30
141,2,8:04.0,,N. Batum enters the game for M. Bridges,34,30
142,2,8:04.0,,B. Biyombo enters the game for M. Kidd-Gilchrist,34,30
143,2,7:51.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by N. Batum),34,33
144,2,7:34.0,J. Robinson misses 3-pt jump shot from 25 ft,,34,33
145,2,7:30.0,,Defensive rebound by B. Biyombo,34,33
146,2,7:21.0,,Personal foul by J. Robinson (drawn by M. Williams),34,33
147,2,7:21.0,T. Harris enters the game for J. Robinson,,34,33
148,2,7:14.0,,T. Parker makes 2-pt jump shot from 14 ft,34,35
149,2,7:03.0,L. Williams misses 2-pt layup from 2 ft,,34,35
150,2,7:00.0,,Defensive rebound by M. Williams,34,35
151,2,6:50.0,,T. Parker makes 2-pt jump shot from 8 ft,34,37
152,2,6:39.0,L. Williams makes 3-pt jump shot from 26 ft (assist by M. Harrell),,37,37
153,2,6:16.0,,T. Parker misses 3-pt jump shot from 25 ft (block by S. Thornwell),37,37
154,2,6:11.0,Defensive rebound by L. Williams,,37,37
155,2,6:05.0,M. Harrell misses 2-pt layup from 3 ft (block by B. Biyombo),,37,37
156,2,6:05.0,,Defensive rebound by T. Parker,37,37
157,2,5:55.0,,Personal foul by L. Williams (drawn by M. Monk),37,37
158,2,5:55.0,A. Bradley enters the game for M. Scott,,37,37
159,2,5:55.0,,J. Lamb enters the game for M. Monk,37,37
160,2,5:55.0,,K. Walker enters the game for T. Parker,37,37
161,2,5:48.0,,K. Walker misses 2-pt layup from 2 ft (block by M. Harrell),37,37
162,2,5:44.0,Defensive rebound by A. Bradley,,37,37
163,2,5:37.0,Turnover by T. Harris (lost ball; steal by K. Walker),,37,37
164,2,5:32.0,,Personal foul by S. Thornwell (drawn by J. Lamb),37,37
165,2,5:32.0,P. Beverley enters the game for L. Williams,,37,37
166,2,5:25.0,,K. Walker makes 3-pt jump shot from 25 ft,37,40
167,2,5:12.0,Personal foul by J. Lamb (drawn by M. Harrell),,37,40
168,2,5:12.0,S. Gilgeous-Alexander enters the game for S. Thornwell,,37,40
169,2,4:54.0,P. Beverley makes 3-pt jump shot from 25 ft (assist by T. Harris),,40,40
170,2,4:46.0,,Shooting foul by A. Bradley (drawn by K. Walker),40,40
171,2,4:46.0,,K. Walker makes free throw 1 of 2,40,41
172,2,4:46.0,,K. Walker makes free throw 2 of 2,40,42
173,2,4:36.0,Turnover by P. Beverley (step out of bounds),,40,42
174,2,4:23.0,,K. Walker makes 2-pt layup from 2 ft,40,44
175,2,4:23.0,LA Clippers full timeout,,40,44
176,2,4:23.0,,C. Zeller enters the game for B. Biyombo,40,44
177,2,4:06.0,Def 3 sec tech foul by Team,,40,44
178,2,4:06.0,T. Harris makes technical free throw,,41,44
179,2,3:56.0,P. Beverley misses 3-pt jump shot from 25 ft,,41,44
180,2,3:53.0,,Defensive rebound by J. Lamb,41,44
181,2,3:37.0,,J. Lamb misses 2-pt hook shot from 8 ft,41,44
182,2,3:34.0,Defensive rebound by M. Harrell,,41,44
183,2,3:25.0,Turnover by T. Harris (lost ball; steal by K. Walker),,41,44
184,2,3:22.0,,J. Lamb makes 2-pt layup from 2 ft (assist by K. Walker),41,46
185,2,3:22.0,,Shooting foul by P. Beverley (drawn by J. Lamb),41,46
186,2,3:22.0,,J. Lamb makes free throw 1 of 1,41,47
187,2,3:07.0,S. Gilgeous-Alexander misses 2-pt layup from 1 ft,,41,47
188,2,3:06.0,Offensive rebound by S. Gilgeous-Alexander,,41,47
189,2,3:06.0,Shooting foul by C. Zeller (drawn by S. Gilgeous-Alexander),,41,47
190,2,3:06.0,S. Gilgeous-Alexander makes free throw 1 of 2,,42,47
191,2,3:06.0,S. Gilgeous-Alexander makes free throw 2 of 2,,43,47
192,2,2:56.0,,N. Batum misses 3-pt jump shot from 26 ft,43,47
193,2,2:54.0,Defensive rebound by T. Harris,,43,47
194,2,2:46.0,A. Bradley misses 3-pt jump shot from 25 ft,,43,47
195,2,2:40.0,,Defensive rebound by C. Zeller,43,47
196,2,2:29.0,,M. Williams misses 3-pt jump shot from 26 ft,43,47
197,2,2:25.0,Defensive rebound by M. Harrell,,43,47
198,2,2:20.0,S. Gilgeous-Alexander makes 2-pt layup from 1 ft,,45,47
199,2,2:05.0,,K. Walker makes 2-pt jump shot from 7 ft,45,49
200,2,1:40.0,T. Harris makes 3-pt jump shot from 25 ft,,48,49
201,2,1:27.0,,K. Walker makes 3-pt jump shot from 26 ft,48,52
202,2,1:27.0,,Shooting foul by T. Harris (drawn by K. Walker),48,52
203,2,1:27.0,,M. Kidd-Gilchrist enters the game for M. Williams,48,52
204,2,1:27.0,,K. Walker makes free throw 1 of 1,48,53
205,2,1:18.0,T. Harris makes 3-pt jump shot from 26 ft (assist by S. Gilgeous-Alexander),,51,53
206,2,1:00.0,,K. Walker makes 3-pt jump shot from 26 ft (assist by C. Zeller),51,56
207,2,0:43.0,M. Harrell makes 2-pt dunk from 1 ft (assist by S. Gilgeous-Alexander),,53,56
208,2,0:38.0,,Personal foul by A. Bradley (drawn by K. Walker),53,56
209,2,0:38.0,,K. Walker makes free throw 1 of 2,53,57
210,2,0:38.0,L. Williams enters the game for S. Gilgeous-Alexander,,53,57
211,2,0:38.0,,M. Bridges enters the game for J. Lamb,53,57
212,2,0:38.0,,K. Walker makes free throw 2 of 2,53,58
213,2,0:17.0,T. Harris misses 2-pt jump shot from 17 ft,,53,58
214,2,0:15.0,,Defensive rebound by C. Zeller,53,58
215,2,0:01.0,,K. Walker misses 3-pt jump shot from 26 ft,53,58
216,2,0:01.0,,Offensive rebound by Team,53,58
217,2,0:01.0,,C. Zeller misses 2-pt layup from 2 ft,53,58
218,2,0:01.0,,Offensive rebound by C. Zeller,53,58
219,3,11:41.0,T. Harris makes 2-pt jump shot from 9 ft (assist by P. Beverley),,55,58
220,3,11:23.0,,Shooting foul by P. Beverley (drawn by B. Biyombo),55,58
221,3,11:23.0,,B. Biyombo makes free throw 1 of 2,55,59
222,3,11:23.0,,B. Biyombo makes free throw 2 of 2,55,60
223,3,10:59.0,S. Gilgeous-Alexander misses 2-pt jump shot from 9 ft (block by M. Williams),,55,60
224,3,10:56.0,,Defensive rebound by M. Williams,55,60
225,3,10:47.0,,M. Williams makes 3-pt jump shot from 23 ft (assist by K. Walker),55,63
226,3,10:36.0,P. Beverley makes 3-pt jump shot from 26 ft (assist by T. Harris),,58,63
227,3,10:17.0,,B. Biyombo makes 2-pt layup from 1 ft (assist by N. Batum),58,65
228,3,10:17.0,,Shooting foul by M. Gortat (drawn by B. Biyombo),58,65
229,3,10:17.0,,B. Biyombo makes free throw 1 of 1,58,66
230,3,9:58.0,T. Harris misses 2-pt jump shot from 7 ft,,58,66
231,3,9:55.0,Offensive rebound by S. Gilgeous-Alexander,,58,66
232,3,9:53.0,S. Gilgeous-Alexander makes 2-pt layup from 4 ft (assist by M. Gortat),,60,66
233,3,9:34.0,,J. Lamb makes 2-pt jump shot from 11 ft,60,68
234,3,9:32.0,LA Clippers full timeout,,60,68
235,3,9:14.0,T. Harris misses 2-pt jump shot from 7 ft,,60,68
236,3,9:09.0,,Defensive rebound by J. Lamb,60,68
237,3,8:55.0,,J. Lamb makes 2-pt jump shot from 3 ft (assist by K. Walker),60,70
238,3,8:44.0,S. Gilgeous-Alexander misses 2-pt layup from 2 ft (block by N. Batum),,60,70
239,3,8:40.0,,Defensive rebound by B. Biyombo,60,70
240,3,8:37.0,,Personal foul by P. Beverley (drawn by K. Walker),60,70
241,3,8:28.0,,J. Lamb misses 3-pt jump shot from 24 ft,60,70
242,3,8:23.0,,Offensive rebound by B. Biyombo,60,70
243,3,8:19.0,,K. Walker misses 3-pt jump shot from 25 ft,60,70
244,3,8:09.0,,Offensive rebound by B. Biyombo,60,70
245,3,8:09.0,,B. Biyombo makes 2-pt dunk at rim,60,72
246,3,8:09.0,L. Williams enters the game for S. Gilgeous-Alexander,,60,72
247,3,7:57.0,Turnover by A. Bradley (bad pass; steal by J. Lamb),,60,72
248,3,7:57.0,,Personal foul by M. Gortat (drawn by B. Biyombo),60,72
249,3,7:41.0,,J. Lamb makes 2-pt jump shot from 12 ft (assist by K. Walker),60,74
250,3,7:15.0,L. Williams makes 2-pt jump shot from 7 ft,,62,74
251,3,7:02.0,,M. Williams misses 2-pt jump shot from 22 ft,62,74
252,3,7:02.0,Defensive rebound by M. Gortat,,62,74
253,3,6:51.0,Turnover by T. Harris (lost ball; steal by J. Lamb),,62,74
254,3,6:47.0,,Personal foul by P. Beverley (drawn by J. Lamb),62,74
255,3,6:47.0,,J. Lamb makes free throw 1 of 2,62,75
256,3,6:47.0,M. Scott enters the game for P. Beverley,,62,75
257,3,6:47.0,,C. Zeller enters the game for B. Biyombo,62,75
258,3,6:47.0,,J. Lamb makes free throw 2 of 2,62,76
259,3,6:27.0,Turnover by T. Harris (bad pass; steal by K. Walker),,62,76
260,3,6:23.0,,K. Walker makes 2-pt layup from 1 ft (assist by J. Lamb),62,78
261,3,6:14.0,Personal foul by N. Batum (drawn by L. Williams),,62,78
262,3,6:14.0,M. Harrell enters the game for M. Gortat,,62,78
263,3,6:00.0,A. Bradley makes 3-pt jump shot from 23 ft (assist by T. Harris),,65,78
264,3,5:45.0,,J. Lamb makes 2-pt jump shot from 12 ft (assist by K. Walker),65,80
265,3,5:23.0,M. Harrell misses 2-pt dunk from 2 ft,,65,80
266,3,5:20.0,,Defensive rebound by K. Walker,65,80
267,3,5:18.0,,K. Walker misses 2-pt layup from 3 ft,65,80
268,3,5:16.0,Defensive rebound by T. Harris,,65,80
269,3,5:14.0,Turnover by T. Harris (bad pass; steal by J. Lamb),,65,80
270,3,5:07.0,,J. Lamb misses 3-pt jump shot from 25 ft,65,80
271,3,5:05.0,,Offensive rebound by C. Zeller,65,80
272,3,5:04.0,,M. Williams makes 3-pt jump shot from 26 ft (assist by C. Zeller),65,83
273,3,5:04.0,LA Clippers full timeout,,65,83
274,3,5:04.0,S. Thornwell enters the game for A. Bradley,,65,83
275,3,5:04.0,,M. Kidd-Gilchrist enters the game for M. Williams,65,83
276,3,5:02.0,Personal foul by N. Batum (drawn by L. Williams),,65,83
277,3,5:02.0,,M. Bridges enters the game for J. Lamb,65,83
278,3,4:49.0,Personal foul by M. Kidd-Gilchrist (drawn by M. Harrell),,65,83
279,3,4:42.0,L. Williams misses 2-pt layup from 2 ft,,65,83
280,3,4:40.0,,Defensive rebound by C. Zeller,65,83
281,3,4:34.0,,Shooting foul by M. Harrell (drawn by C. Zeller),65,83
282,3,4:34.0,,C. Zeller misses free throw 1 of 2,65,83
283,3,4:34.0,,Offensive rebound by Team,65,83
284,3,4:34.0,,C. Zeller makes free throw 2 of 2,65,84
285,3,4:16.0,M. Scott makes 3-pt jump shot from 23 ft (assist by M. Harrell),,68,84
286,3,4:04.0,,Offensive foul by M. Kidd-Gilchrist (drawn by M. Harrell),68,84
287,3,4:04.0,,Turnover by M. Kidd-Gilchrist (offensive foul),68,84
288,3,3:51.0,L. Williams misses 2-pt jump shot from 10 ft,,68,84
289,3,3:48.0,,Defensive rebound by C. Zeller,68,84
290,3,3:47.0,,Personal foul by S. Thornwell (drawn by C. Zeller),68,84
291,3,3:47.0,,C. Zeller makes free throw 1 of 2,68,85
292,3,3:47.0,,C. Zeller misses free throw 2 of 2,68,85
293,3,3:43.0,Defensive rebound by T. Harris,,68,85
294,3,3:32.0,S. Thornwell misses 2-pt layup from 2 ft (block by C. Zeller),,68,85
295,3,3:32.0,,Defensive rebound by Team,68,85
296,3,3:17.0,,M. Bridges makes 3-pt jump shot from 26 ft (assist by K. Walker),68,88
297,3,3:17.0,A. Bradley enters the game for T. Harris,,68,88
298,3,3:03.0,M. Scott makes 3-pt jump shot from 26 ft (assist by S. Thornwell),,71,88
299,3,2:33.0,,N. Batum misses 2-pt jump shot from 15 ft,71,88
300,3,2:30.0,Defensive rebound by L. Williams,,71,88
301,3,2:23.0,M. Harrell makes 2-pt dunk from 2 ft (assist by M. Scott),,73,88
302,3,2:23.0,,Charlotte full timeout,73,88
303,3,2:23.0,,T. Parker enters the game for K. Walker,73,88
304,3,2:11.0,,M. Bridges misses 2-pt jump shot from 1 ft (block by L. Williams),73,88
305,3,2:11.0,Defensive rebound by M. Scott,,73,88
306,3,2:01.0,M. Harrell misses 2-pt dunk from 2 ft (block by M. Bridges),,73,88
307,3,2:00.0,Offensive rebound by Team,,73,88
308,3,1:56.0,Shooting foul by M. Bridges (drawn by L. Williams),,73,88
309,3,1:56.0,L. Williams makes free throw 1 of 2,,74,88
310,3,1:56.0,L. Williams makes free throw 2 of 2,,75,88
311,3,1:39.0,,M. Kidd-Gilchrist misses 3-pt jump shot from 22 ft,75,88
312,3,1:33.0,Defensive rebound by S. Thornwell,,75,88
313,3,1:24.0,L. Williams misses 2-pt layup from 1 ft,,75,88
314,3,1:22.0,Offensive rebound by M. Harrell,,75,88
315,3,1:22.0,Shooting foul by C. Zeller (drawn by M. Harrell),,75,88
316,3,1:22.0,M. Harrell makes free throw 1 of 2,,76,88
317,3,1:22.0,M. Harrell makes free throw 2 of 2,,77,88
318,3,1:06.0,,T. Parker misses 2-pt jump shot from 19 ft,77,88
319,3,1:03.0,,Offensive rebound by C. Zeller,77,88
320,3,1:01.0,,M. Bridges misses 3-pt jump shot from 27 ft,77,88
321,3,0:59.0,Defensive rebound by M. Scott,,77,88
322,3,0:51.0,Shooting foul by C. Zeller (drawn by A. Bradley),,77,88
323,3,0:51.0,A. Bradley misses free throw 1 of 2,,77,88
324,3,0:51.0,Offensive rebound by Team,,77,88
325,3,0:51.0,,K. Walker enters the game for T. Parker,77,88
326,3,0:51.0,A. Bradley makes free throw 2 of 2,,78,88
327,3,0:40.0,,C. Zeller makes 2-pt layup from 2 ft (assist by M. Bridges),78,90
328,3,0:40.0,,Shooting foul by M. Scott (drawn by C. Zeller),78,90
329,3,0:40.0,,C. Zeller misses free throw 1 of 1,78,90
330,3,0:37.0,Defensive rebound by M. Harrell,,78,90
331,3,0:31.0,L. Williams makes 3-pt jump shot from 26 ft,,81,90
332,3,0:14.0,,Shooting foul by M. Harrell (drawn by C. Zeller),81,90
333,3,0:14.0,,C. Zeller makes free throw 1 of 2,81,91
334,3,0:14.0,,C. Zeller makes free throw 2 of 2,81,92
335,3,0:02.0,L. Williams makes 3-pt jump shot from 26 ft,,84,92
336,4,11:46.0,,M. Williams misses 3-pt jump shot from 23 ft,84,92
337,4,11:42.0,Defensive rebound by S. Thornwell,,84,92
338,4,11:36.0,L. Williams makes 2-pt layup from 5 ft,,86,92
339,4,11:27.0,,Personal foul by A. Bradley (drawn by M. Williams),86,92
340,4,11:16.0,,K. Walker makes 2-pt layup from 1 ft,86,94
341,4,10:56.0,Shooting foul by M. Kidd-Gilchrist (drawn by L. Williams),,86,94
342,4,10:56.0,L. Williams makes free throw 1 of 2,,87,94
343,4,10:56.0,L. Williams makes free throw 2 of 2,,88,94
344,4,10:37.0,,M. Bridges makes 3-pt jump shot from 25 ft (assist by M. Williams),88,97
345,4,10:25.0,Personal foul by M. Monk (drawn by L. Williams),,88,97
346,4,10:18.0,L. Williams makes 2-pt jump shot from 6 ft (assist by A. Bradley),,90,97
347,4,9:59.0,,Turnover by M. Bridges (bad pass; steal by S. Thornwell),90,97
348,4,9:51.0,L. Williams makes 3-pt jump shot from 31 ft (assist by S. Thornwell),,93,97
349,4,9:51.0,,Charlotte full timeout,93,97
350,4,9:51.0,,N. Batum enters the game for M. Kidd-Gilchrist,93,97
351,4,9:40.0,,Shooting foul by M. Harrell (drawn by M. Bridges),93,97
352,4,9:40.0,,M. Bridges makes free throw 1 of 2,93,98
353,4,9:40.0,,M. Bridges makes free throw 2 of 2,93,99
354,4,9:27.0,L. Williams misses 2-pt jump shot from 8 ft,,93,99
355,4,9:24.0,,Defensive rebound by M. Williams,93,99
356,4,9:11.0,,M. Monk misses 3-pt jump shot from 29 ft,93,99
357,4,9:08.0,Defensive rebound by M. Scott,,93,99
358,4,9:01.0,A. Bradley misses 2-pt jump shot from 20 ft,,93,99
359,4,8:56.0,,Defensive rebound by M. Bridges,93,99
360,4,8:46.0,,M. Williams misses 3-pt jump shot from 25 ft,93,99
361,4,8:43.0,Defensive rebound by A. Bradley,,93,99
362,4,8:36.0,M. Harrell misses 2-pt layup from 3 ft,,93,99
363,4,8:33.0,,Defensive rebound by N. Batum,93,99
364,4,8:27.0,,M. Williams misses 2-pt layup from 2 ft (block by M. Harrell),93,99
365,4,8:27.0,,Offensive rebound by Team,93,99
366,4,8:27.0,P. Beverley enters the game for S. Thornwell,,93,99
367,4,8:20.0,,M. Monk misses 2-pt jump shot from 21 ft,93,99
368,4,8:17.0,Defensive rebound by L. Williams,,93,99
369,4,8:09.0,L. Williams misses 2-pt layup from 2 ft,,93,99
370,4,8:07.0,,Defensive rebound by K. Walker,93,99
371,4,8:00.0,,M. Bridges misses 2-pt jump shot from 20 ft,93,99
372,4,7:57.0,,Offensive rebound by K. Walker,93,99
373,4,7:55.0,,M. Monk makes 3-pt jump shot from 25 ft (assist by K. Walker),93,102
374,4,7:55.0,LA Clippers full timeout,,93,102
375,4,7:55.0,T. Harris enters the game for M. Harrell,,93,102
376,4,7:55.0,,J. Lamb enters the game for M. Bridges,93,102
