,QUARTER,TIME_REMAINING,CHICAGO_ACTION,GOLDEN STATE_ACTION,CHICAGO_SCORE,GOLDEN STATE_SCORE
175,2,4:08.0,Defensive rebound by L. Markkanen,,40,66
176,2,3:57.0,Z. LaVine makes 3-pt jump shot from 28 ft (assist by K. Dunn),,43,66
177,2,3:42.0,,A. McKinnie makes 2-pt layup from 2 ft (assist by K. Looney),43,68
178,2,3:29.0,K. Dunn makes 2-pt layup from 6 ft,,45,68
179,2,3:29.0,,Golden State full timeout,45,68
180,2,3:29.0,W. Carter enters the game for R. Lopez,,45,68
181,2,3:29.0,,D. Green enters the game for K. Looney,45,68
182,2,3:29.0,,K. Thompson enters the game for A. McKinnie,45,68
183,2,3:18.0,,K. Durant makes 2-pt jump shot from 20 ft (assist by A. Iguodala),45,70
184,2,3:05.0,Offensive foul by W. Carter (drawn by K. Durant),,45,70
185,2,3:05.0,Turnover by W. Carter (offensive foul),,45,70
186,2,3:05.0,R. Lopez enters the game for W. Carter,,45,70
187,2,2:50.0,,D. Green misses 2-pt jump shot from 18 ft,45,70
188,2,2:49.0,,Offensive rebound by S. Curry,45,70
189,2,2:47.0,,S. Curry makes 2-pt layup from 2 ft,45,72
190,2,2:29.0,R. Lopez misses 2-pt hook shot from 12 ft,,45,72
191,2,2:28.0,,Defensive rebound by A. Iguodala,45,72
192,2,2:20.0,,Turnover by S. Curry (bad pass; steal by S. Harrison),45,72
193,2,2:15.0,Z. LaVine makes 2-pt dunk from 2 ft (assist by S. Harrison),,47,72
194,2,2:08.0,,Personal foul by K. Dunn (drawn by K. Thompson),47,72
195,2,2:08.0,R. Arcidiacono enters the game for K. Dunn,,47,72
196,2,1:59.0,,A. Iguodala misses 2-pt jump shot from 15 ft,47,72
197,2,1:58.0,Defensive rebound by Z. LaVine,,47,72
198,2,1:50.0,Z. LaVine makes 2-pt layup from 4 ft,,49,72
199,2,1:37.0,,S. Curry makes 2-pt layup from 3 ft (assist by K. Durant),49,74
200,2,1:21.0,Z. LaVine makes 3-pt jump shot from 28 ft,,52,74
201,2,1:13.0,,S. Curry misses 3-pt jump shot from 26 ft,52,74
202,2,1:11.0,Defensive rebound by Z. LaVine,,52,74
203,2,0:59.0,Z. LaVine misses 3-pt jump shot from 30 ft,,52,74
204,2,0:57.0,,Defensive rebound by K. Durant,52,74
205,2,0:51.0,,K. Durant makes 2-pt jump shot from 16 ft,52,76
206,2,0:50.0,Chicago full timeout,,52,76
207,2,0:37.0,Turnover by Z. LaVine (bad pass),,52,76
208,2,0:24.0,,K. Thompson misses 2-pt jump shot from 18 ft,52,76
209,2,0:23.0,,Offensive rebound by D. Green,52,76
210,2,0:20.0,,K. Thompson misses 3-pt jump shot from 27 ft,52,76
211,2,0:17.0,Defensive rebound by Z. LaVine,,52,76
212,2,0:02.0,Z. LaVine makes 3-pt jump shot from 27 ft,,55,76
213,3,11:51.0,Z. LaVine misses 2-pt jump shot from 6 ft (block by K. Looney),,55,76
214,3,11:50.0,,Defensive rebound by K. Looney,55,76
215,3,11:37.0,,Shooting foul by K. Dunn (drawn by K. Thompson),55,76
216,3,11:37.0,,K. Thompson misses free throw 1 of 2,55,76
217,3,11:37.0,,Offensive rebound by Team,55,76
218,3,11:37.0,,K. Thompson makes free throw 2 of 2,55,77
219,3,11:18.0,C. Hutchison misses 2-pt hook shot from 10 ft,,55,77
220,3,11:17.0,Offensive rebound by W. Carter,,55,77
221,3,11:14.0,W. Carter makes 2-pt dunk at rim,,57,77
222,3,10:55.0,,K. Thompson misses 2-pt jump shot from 13 ft,57,77
223,3,10:53.0,Defensive rebound by Team,,57,77
224,3,10:41.0,Z. LaVine makes 2-pt jump shot from 18 ft,,59,77
225,3,10:27.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green),59,80
226,3,10:07.0,W. Carter misses 2-pt layup from 3 ft (block by K. Looney),,59,80
227,3,10:06.0,,Defensive rebound by D. Green,59,80
228,3,10:00.0,,S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green),59,83
229,3,9:59.0,Chicago full timeout,,59,83
230,3,9:51.0,Turnover by Z. LaVine (lost ball; steal by K. Thompson),,59,83
231,3,9:43.0,,K. Thompson misses 3-pt jump shot from 27 ft,59,83
232,3,9:41.0,Defensive rebound by W. Carter,,59,83
233,3,9:25.0,L. Markkanen makes 2-pt jump shot from 14 ft,,61,83
234,3,9:02.0,,K. Durant misses 2-pt layup from 7 ft,61,83
235,3,9:00.0,,Offensive rebound by K. Looney,61,83
236,3,9:00.0,,K. Looney misses 2-pt layup from 1 ft,61,83
237,3,8:59.0,Defensive rebound by W. Carter,,61,83
238,3,8:42.0,Z. LaVine misses 2-pt jump shot from 19 ft,,61,83
239,3,8:41.0,,Defensive rebound by S. Curry,61,83
240,3,8:37.0,,S. Curry makes 3-pt jump shot from 28 ft,61,86
241,3,8:20.0,Shooting foul by K. Looney (drawn by K. Dunn),,61,86
242,3,8:20.0,K. Dunn misses free throw 1 of 2,,61,86
243,3,8:20.0,Offensive rebound by Team,,61,86
244,3,8:20.0,B. Portis enters the game for C. Hutchison,,61,86
245,3,8:20.0,K. Dunn makes free throw 2 of 2,,62,86
246,3,8:03.0,,K. Looney makes 2-pt layup from 3 ft (assist by S. Curry),62,88
247,3,7:56.0,K. Dunn misses 2-pt hook shot from 9 ft,,62,88
248,3,7:55.0,,Defensive rebound by K. Durant,62,88
249,3,7:53.0,Technical foul by W. Carter,,62,88
250,3,7:53.0,,S. Curry makes technical free throw,62,89
251,3,7:53.0,Violation by Team (delay of game),,62,89
252,3,7:49.0,,K. Durant makes 2-pt jump shot from 18 ft (assist by D. Green),62,91
253,3,7:38.0,Personal foul by D. Green (drawn by B. Portis),,62,91
254,3,7:32.0,Shooting foul by D. Green (drawn by B. Portis),,62,91
255,3,7:32.0,B. Portis makes free throw 1 of 2,,63,91
256,3,7:32.0,Technical foul by B. Portis,,63,91
257,3,7:32.0,,Technical foul by K. Durant,63,91
258,3,7:32.0,B. Portis makes free throw 2 of 2,,64,91
259,3,7:24.0,,Shooting foul by Z. LaVine (drawn by K. Durant),64,91
260,3,7:24.0,,K. Durant makes free throw 1 of 2,64,92
261,3,7:24.0,,K. Durant makes free throw 2 of 2,64,93
262,3,7:15.0,Shooting foul by K. Thompson (drawn by Z. LaVine),,64,93
263,3,7:15.0,Z. LaVine makes free throw 1 of 2,,65,93
264,3,7:15.0,Z. LaVine makes free throw 2 of 2,,66,93
265,3,6:57.0,,K. Durant makes 3-pt jump shot from 26 ft (assist by S. Curry),66,96
266,3,6:46.0,K. Dunn misses 2-pt jump shot from 15 ft,,66,96
267,3,6:45.0,,Defensive rebound by K. Durant,66,96
268,3,6:29.0,,K. Thompson makes 3-pt jump shot from 26 ft (assist by S. Curry),66,99
269,3,6:14.0,Personal foul by D. Green (drawn by B. Portis),,66,99
270,3,6:14.0,B. Portis misses free throw 1 of 2,,66,99
271,3,6:14.0,Offensive rebound by Team,,66,99
