,QUARTER,TIME_REMAINING,INDIANA_ACTION,ORLANDO_ACTION,INDIANA_SCORE,ORLANDO_SCORE
158,2,4:33.0,,Defensive rebound by A. Gordon,46,33
159,2,4:26.0,,E. Fournier makes 2-pt layup from 1 ft (assist by A. Gordon),46,35
160,2,4:19.0,Indiana full timeout,,46,35
161,2,4:19.0,D. Collison enters the game for A. Holiday,,46,35
162,2,4:11.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by T. Young),,49,35
163,2,3:46.0,,Personal foul by M. Turner (drawn by A. Gordon),49,35
164,2,3:46.0,T. Evans enters the game for C. Joseph,,49,35
165,2,3:35.0,,D. Augustin makes 2-pt jump shot from 19 ft,49,37
166,2,3:26.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,49,37
167,2,3:21.0,,Defensive rebound by A. Gordon,49,37
168,2,3:12.0,,N. Vučević misses 2-pt hook shot from 2 ft,49,37
169,2,3:09.0,Defensive rebound by T. Young,,49,37
170,2,3:05.0,T. Young makes 2-pt jump shot from 3 ft (assist by D. Collison),,51,37
171,2,2:51.0,,N. Vučević makes 3-pt jump shot from 26 ft (assist by D. Augustin),51,40
172,2,2:34.0,Turnover by M. Turner (traveling),,51,40
173,2,2:24.0,,A. Gordon misses 2-pt layup from 1 ft,51,40
174,2,2:13.0,,Offensive rebound by A. Gordon,51,40
175,2,2:13.0,,A. Gordon misses 2-pt layup at rim,51,40
176,2,2:12.0,Defensive rebound by B. Bogdanović,,51,40
177,2,2:11.0,B. Bogdanović misses 2-pt layup from 1 ft,,51,40
178,2,2:07.0,,Defensive rebound by J. Isaac,51,40
179,2,2:07.0,,Shooting foul by M. Turner (drawn by J. Isaac),51,40
180,2,2:07.0,,J. Isaac makes free throw 1 of 2,51,41
181,2,2:07.0,K. O'Quinn enters the game for M. Turner,,51,41
182,2,2:07.0,,J. Isaac misses free throw 2 of 2,51,41
183,2,2:04.0,Defensive rebound by K. O'Quinn,,51,41
184,2,1:52.0,Personal foul by E. Fournier (drawn by K. O'Quinn),,51,41
185,2,1:52.0,,T. Ross enters the game for E. Fournier,51,41
186,2,1:45.0,B. Bogdanović makes 2-pt hook shot from 11 ft (assist by K. O'Quinn),,53,41
187,2,1:32.0,,D. Augustin misses 3-pt jump shot from 26 ft,53,41
188,2,1:27.0,Defensive rebound by T. Evans,,53,41
189,2,1:26.0,Turnover by T. Evans (bad pass),,53,41
190,2,1:13.0,,Shooting foul by T. Young (drawn by A. Gordon),53,41
191,2,1:13.0,,A. Gordon misses free throw 1 of 2,53,41
192,2,1:13.0,,Offensive rebound by Team,53,41
193,2,1:13.0,,A. Gordon misses free throw 2 of 2,53,41
194,2,1:09.0,Defensive rebound by K. O'Quinn,,53,41
195,2,0:59.0,T. Young misses 2-pt hook shot from 7 ft (block by J. Isaac),,53,41
196,2,0:56.0,,Defensive rebound by A. Gordon,53,41
197,2,0:54.0,,A. Gordon makes 2-pt layup from 2 ft,53,43
198,2,0:48.0,Shooting foul by N. Vučević (drawn by T. Evans),,53,43
199,2,0:48.0,T. Evans makes free throw 1 of 2,,54,43
200,2,0:48.0,T. Leaf enters the game for T. Young,,54,43
201,2,0:48.0,T. Evans makes free throw 2 of 2,,55,43
202,2,0:38.0,,Personal foul by K. O'Quinn (drawn by N. Vučević),55,43
203,2,0:38.0,,N. Vučević makes free throw 1 of 2,55,44
204,2,0:38.0,,J. Simmons enters the game for J. Isaac,55,44
205,2,0:38.0,,N. Vučević makes free throw 2 of 2,55,45
206,2,0:33.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,55,45
207,2,0:30.0,Offensive rebound by D. Collison,,55,45
208,2,0:26.0,T. Evans misses 2-pt layup from 1 ft,,55,45
209,2,0:25.0,Offensive rebound by K. O'Quinn,,55,45
210,2,0:25.0,K. O'Quinn makes 2-pt layup from 1 ft,,57,45
211,2,0:01.0,,T. Ross misses 3-pt jump shot from 25 ft,57,45
212,2,0:01.0,Defensive rebound by K. O'Quinn,,57,45
213,3,11:42.0,Turnover by T. Young (lost ball; steal by A. Gordon),,57,45
214,3,11:39.0,,Turnover by A. Gordon (traveling),57,45
215,3,11:22.0,Shooting foul by A. Gordon (drawn by M. Turner),,57,45
216,3,11:22.0,M. Turner makes free throw 1 of 2,,58,45
217,3,11:22.0,M. Turner misses free throw 2 of 2,,58,45
218,3,11:22.0,,Defensive rebound by N. Vučević,58,45
219,3,11:04.0,,N. Vučević makes 2-pt hook shot from 4 ft (assist by E. Fournier),58,47
220,3,10:43.0,B. Bogdanović misses 2-pt layup from 1 ft,,58,47
221,3,10:41.0,,Defensive rebound by N. Vučević,58,47
222,3,10:37.0,,N. Vučević misses 3-pt jump shot from 25 ft,58,47
223,3,10:34.0,Defensive rebound by M. Turner,,58,47
224,3,10:28.0,M. Turner makes 3-pt jump shot from 26 ft (assist by D. Collison),,61,47
225,3,10:09.0,,Personal foul by M. Turner (drawn by N. Vučević),61,47
226,3,10:09.0,K. O'Quinn enters the game for M. Turner,,61,47
227,3,9:59.0,Violation by Team (delay of game),,61,47
228,3,9:54.0,,D. Augustin makes 3-pt jump shot from 25 ft (assist by N. Vučević),61,50
229,3,9:38.0,B. Bogdanović misses 2-pt layup from 2 ft (block by A. Gordon),,61,50
230,3,9:35.0,,Defensive rebound by A. Gordon,61,50
231,3,9:32.0,,D. Augustin misses 3-pt jump shot from 24 ft,61,50
232,3,9:32.0,,Offensive rebound by N. Vučević,61,50
233,3,9:30.0,,N. Vučević makes 2-pt layup from 1 ft,61,52
234,3,9:30.0,Indiana full timeout,,61,52
235,3,9:21.0,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),,63,52
236,3,9:04.0,,N. Vučević makes 2-pt jump shot from 16 ft (assist by J. Simmons),63,54
237,3,8:47.0,D. Collison misses 2-pt jump shot from 17 ft,,63,54
238,3,8:44.0,,Defensive rebound by N. Vučević,63,54
239,3,8:26.0,,E. Fournier misses 3-pt jump shot from 25 ft,63,54
240,3,8:24.0,Defensive rebound by D. Collison,,63,54
241,3,8:16.0,T. Evans misses 3-pt jump shot from 27 ft,,63,54
242,3,8:13.0,,Defensive rebound by A. Gordon,63,54
243,3,8:07.0,,A. Gordon makes 3-pt jump shot from 27 ft,63,57
244,3,7:53.0,B. Bogdanović misses 2-pt jump shot from 14 ft,,63,57
245,3,7:51.0,,Defensive rebound by N. Vučević,63,57
246,3,7:44.0,,E. Fournier misses 2-pt layup from 2 ft (block by K. O'Quinn),63,57
247,3,7:44.0,,Offensive rebound by A. Gordon,63,57
248,3,7:37.0,,A. Gordon makes 2-pt dunk from 2 ft,63,59
249,3,7:26.0,T. Evans makes 2-pt layup from 4 ft,,65,59
250,3,7:15.0,,A. Gordon misses 3-pt jump shot from 25 ft,65,59
251,3,7:12.0,Defensive rebound by K. O'Quinn,,65,59
252,3,7:01.0,K. O'Quinn makes 2-pt hook shot from 2 ft,,67,59
253,3,6:46.0,,Personal foul by T. Young (drawn by A. Gordon),67,59
254,3,6:35.0,,D. Augustin misses 2-pt jump shot from 16 ft,67,59
255,3,6:32.0,Defensive rebound by K. O'Quinn,,67,59
256,3,6:28.0,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by T. Young),,69,59
257,3,6:08.0,,N. Vučević makes 2-pt hook shot from 7 ft (assist by E. Fournier),69,61
258,3,5:59.0,K. O'Quinn makes 2-pt jump shot from 12 ft (assist by T. Evans),,71,61
259,3,5:40.0,,A. Gordon misses 2-pt layup from 2 ft (block by K. O'Quinn),71,61
260,3,5:39.0,,Offensive rebound by Team,71,61
261,3,5:39.0,,J. Isaac enters the game for J. Simmons,71,61
262,3,5:37.0,,E. Fournier misses 3-pt jump shot from 26 ft,71,61
