,QUARTER,TIME_REMAINING,INDIANA_ACTION,SACRAMENTO_ACTION,INDIANA_SCORE,SACRAMENTO_SCORE
44,1,6:11.0,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by T. Evans),,16,11
45,1,6:06.0,,Sacramento full timeout,16,11
46,1,6:06.0,,B. Bogdanović enters the game for B. Hield,16,11
47,1,5:52.0,,B. Bogdanović makes 2-pt jump shot from 8 ft,16,13
48,1,5:39.0,M. Turner misses 3-pt jump shot from 25 ft,,16,13
49,1,5:36.0,,Defensive rebound by W. Cauley-Stein,16,13
50,1,5:24.0,,Turnover by B. Bogdanović (bad pass; steal by T. Evans),16,13
51,1,5:20.0,T. Evans makes 2-pt layup from 1 ft,,18,13
52,1,5:15.0,,Turnover by D. Fox (lost ball; steal by D. Collison),18,13
53,1,5:05.0,Turnover by T. Young (bad pass),,18,13
54,1,4:57.0,,Shooting foul by D. Collison (drawn by D. Fox),18,13
55,1,4:57.0,,D. Fox makes free throw 1 of 2,18,14
56,1,4:57.0,,D. Fox makes free throw 2 of 2,18,15
57,1,4:48.0,Turnover by B. Bogdanović (bad pass),,18,15
58,1,4:48.0,D. Sabonis enters the game for T. Young,,18,15
59,1,4:48.0,,J. Jackson enters the game for N. Bjelica,18,15
60,1,4:33.0,,Personal foul by T. Evans (drawn by B. Bogdanović),18,15
61,1,4:33.0,,B. Bogdanović makes free throw 1 of 2,18,16
62,1,4:33.0,,B. Bogdanović makes free throw 2 of 2,18,17
63,1,4:13.0,D. Sabonis makes 2-pt layup from 1 ft (assist by D. Collison),,20,17
64,1,4:06.0,,D. Fox misses 2-pt layup from 3 ft (block by M. Turner),20,17
65,1,4:01.0,Defensive rebound by M. Turner,,20,17
66,1,3:57.0,B. Bogdanović makes 2-pt jump shot from 12 ft (assist by D. Sabonis),,22,17
67,1,3:43.0,,W. Cauley-Stein makes 2-pt jump shot from 14 ft,22,19
68,1,3:28.0,M. Turner makes 2-pt layup from 3 ft (assist by T. Evans),,24,19
69,1,3:20.0,,J. Jackson makes 2-pt jump shot from 16 ft,24,21
70,1,3:14.0,Indiana full timeout,,24,21
71,1,3:14.0,C. Joseph enters the game for B. Bogdanović,,24,21
72,1,3:14.0,,B. Hield enters the game for D. Fox,24,21
73,1,3:14.0,,K. Koufos enters the game for I. Shumpert,24,21
74,1,2:56.0,Turnover by D. Sabonis (3 sec),,24,21
75,1,2:41.0,,B. Bogdanović makes 2-pt jump shot from 18 ft (assist by W. Cauley-Stein),24,23
76,1,2:24.0,Shooting foul by B. Hield (drawn by D. Collison),,24,23
77,1,2:24.0,,Technical foul by B. Hield,24,23
78,1,2:24.0,D. Collison makes technical free throw,,25,23
79,1,2:24.0,,T. Williams enters the game for W. Cauley-Stein,25,23
80,1,2:24.0,D. Collison makes free throw 1 of 2,,26,23
81,1,2:24.0,D. Collison makes free throw 2 of 2,,27,23
82,1,2:09.0,,K. Koufos misses 2-pt layup from 2 ft,27,23
83,1,2:05.0,Defensive rebound by M. Turner,,27,23
84,1,1:53.0,C. Joseph makes 3-pt jump shot from 23 ft (assist by T. Evans),,30,23
85,1,1:34.0,,Turnover by B. Bogdanović (traveling),30,23
86,1,1:34.0,A. Holiday enters the game for D. Collison,,30,23
87,1,1:34.0,D. McDermott enters the game for T. Evans,,30,23
88,1,1:34.0,T. Young enters the game for M. Turner,,30,23
89,1,1:32.0,Violation by Team (delay of game),,30,23
90,1,1:14.0,Turnover by D. Sabonis (traveling),,30,23
91,1,0:57.0,,J. Jackson misses 3-pt jump shot from 26 ft,30,23
92,1,0:55.0,Defensive rebound by D. Sabonis,,30,23
93,1,0:47.0,Turnover by A. Holiday (bad pass; steal by T. Williams),,30,23
94,1,0:36.0,,T. Williams makes 3-pt jump shot from 25 ft (assist by B. Hield),30,26
95,1,0:18.0,A. Holiday misses 3-pt jump shot from 23 ft,,30,26
96,1,0:15.0,,Defensive rebound by J. Jackson,30,26
97,1,0:00.0,,B. Bogdanović misses 2-pt jump shot from 7 ft (block by D. Sabonis),30,26
98,1,0:00.0,,Offensive rebound by Team,30,26
99,2,11:35.0,D. Sabonis misses 2-pt hook shot from 4 ft,,30,26
100,2,11:32.0,,Defensive rebound by K. Koufos,30,26
101,2,11:20.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),30,29
102,2,11:01.0,C. Joseph misses 2-pt jump shot from 21 ft,,30,29
103,2,10:59.0,,Defensive rebound by B. Hield,30,29
104,2,10:48.0,,B. Hield misses 3-pt jump shot from 25 ft,30,29
105,2,10:45.0,Defensive rebound by C. Joseph,,30,29
106,2,10:39.0,A. Holiday makes 2-pt jump shot from 18 ft (assist by T. Young),,32,29
107,2,10:21.0,,T. Williams misses 2-pt layup from 3 ft (block by D. Sabonis),32,29
108,2,10:21.0,Defensive rebound by A. Holiday,,32,29
109,2,10:14.0,T. Young makes 2-pt layup from 2 ft (assist by A. Holiday),,34,29
110,2,10:04.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),34,32
111,2,9:53.0,D. Sabonis misses 2-pt jump shot from 18 ft,,34,32
112,2,9:53.0,,Defensive rebound by J. Jackson,34,32
113,2,9:43.0,,B. Hield makes 2-pt jump shot from 18 ft,34,34
114,2,9:35.0,Shooting foul by T. Williams (drawn by T. Young),,34,34
115,2,9:35.0,T. Young makes free throw 1 of 2,,35,34
116,2,9:35.0,T. Young makes free throw 2 of 2,,36,34
117,2,9:25.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),36,37
118,2,9:08.0,A. Holiday makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,39,37
119,2,8:54.0,,J. Jackson makes 3-pt jump shot from 23 ft (assist by K. Koufos),39,40
120,2,8:42.0,A. Holiday misses 3-pt jump shot from 25 ft,,39,40
121,2,8:39.0,Offensive rebound by C. Joseph,,39,40
122,2,8:38.0,C. Joseph misses 2-pt jump shot from 17 ft,,39,40
123,2,8:38.0,,Defensive rebound by Team,39,40
124,2,8:38.0,,W. Cauley-Stein enters the game for B. Bogdanović,39,40
125,2,8:38.0,,D. Fox enters the game for K. Koufos,39,40
126,2,8:31.0,,Personal foul by T. Young (drawn by W. Cauley-Stein),39,40
127,2,8:31.0,B. Bogdanović enters the game for T. Young,,39,40
128,2,8:26.0,,D. Fox misses 2-pt jump shot from 14 ft,39,40
129,2,8:21.0,,Offensive rebound by T. Williams,39,40
130,2,8:20.0,,T. Williams makes 2-pt layup from 2 ft,39,42
131,2,8:17.0,Indiana full timeout,,39,42
132,2,8:00.0,Shooting foul by T. Williams (drawn by D. McDermott),,39,42
133,2,8:00.0,D. McDermott makes free throw 1 of 3,,40,42
134,2,8:00.0,D. McDermott misses free throw 2 of 3,,40,42
135,2,8:00.0,Offensive rebound by Team,,40,42
136,2,8:00.0,D. McDermott makes free throw 3 of 3,,41,42
137,2,7:40.0,,J. Jackson misses 2-pt jump shot from 18 ft,41,42
138,2,7:34.0,Defensive rebound by A. Holiday,,41,42
139,2,7:22.0,D. McDermott makes 2-pt jump shot from 18 ft (assist by D. Sabonis),,43,42
140,2,7:16.0,,D. Fox makes 2-pt layup from 2 ft,43,44
141,2,7:16.0,,Shooting foul by D. Sabonis (drawn by D. Fox),43,44
142,2,7:16.0,,I. Shumpert enters the game for T. Williams,43,44
143,2,7:16.0,,D. Fox makes free throw 1 of 1,43,45
144,2,7:07.0,D. McDermott misses 3-pt jump shot from 26 ft,,43,45
145,2,7:03.0,,Defensive rebound by D. Fox,43,45
146,2,6:56.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by D. Fox),43,47
147,2,6:35.0,Offensive foul by D. Sabonis (drawn by D. Fox),,43,47
148,2,6:35.0,Turnover by D. Sabonis (offensive foul),,43,47
149,2,6:35.0,T. Evans enters the game for A. Holiday,,43,47
150,2,6:35.0,M. Turner enters the game for D. Sabonis,,43,47
151,2,6:22.0,,B. Hield misses 2-pt jump shot from 14 ft,43,47
152,2,6:18.0,Defensive rebound by C. Joseph,,43,47
153,2,6:12.0,Personal foul by B. Hield (drawn by T. Evans),,43,47
154,2,6:03.0,Turnover by T. Evans (out of bounds lost ball),,43,47
155,2,6:03.0,D. Collison enters the game for D. McDermott,,43,47
156,2,5:47.0,,Personal foul by T. Evans (drawn by I. Shumpert),43,47
157,2,5:45.0,,W. Cauley-Stein makes 2-pt dunk from 9 ft (assist by D. Fox),43,49
158,2,5:28.0,Offensive foul by M. Turner (drawn by I. Shumpert),,43,49
159,2,5:28.0,Turnover by M. Turner (offensive foul),,43,49
160,2,5:19.0,,D. Fox misses 2-pt jump shot from 12 ft,43,49
161,2,5:19.0,Defensive rebound by C. Joseph,,43,49
162,2,5:04.0,M. Turner makes 2-pt jump shot from 20 ft (assist by D. Collison),,45,49
163,2,4:51.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by J. Jackson),45,51
164,2,4:36.0,D. Collison makes 2-pt layup from 2 ft (assist by M. Turner),,47,51
165,2,4:30.0,,Shooting foul by C. Joseph (drawn by B. Hield),47,51
166,2,4:30.0,,B. Hield makes free throw 1 of 3,47,52
167,2,4:30.0,,B. Hield makes free throw 2 of 3,47,53
168,2,4:30.0,,B. Hield makes free throw 3 of 3,47,54
169,2,4:13.0,M. Turner makes 2-pt dunk from 2 ft (assist by D. Collison),,49,54
170,2,4:03.0,,Turnover by W. Cauley-Stein (out of bounds lost ball),49,54
171,2,4:03.0,T. Young enters the game for C. Joseph,,49,54
172,2,4:03.0,,N. Bjelica enters the game for J. Jackson,49,54
173,2,3:45.0,M. Turner makes 2-pt layup from 2 ft,,51,54
174,2,3:37.0,,D. Fox misses 2-pt layup from 3 ft,51,54
175,2,3:36.0,,Offensive rebound by W. Cauley-Stein,51,54
176,2,3:36.0,,Shooting foul by D. Collison (drawn by W. Cauley-Stein),51,54
177,2,3:36.0,,W. Cauley-Stein misses free throw 1 of 2,51,54
178,2,3:36.0,,Offensive rebound by Team,51,54
179,2,3:36.0,,B. Bogdanović enters the game for B. Hield,51,54
180,2,3:36.0,,W. Cauley-Stein misses free throw 2 of 2,51,54
181,2,3:30.0,Defensive rebound by M. Turner,,51,54
182,2,3:12.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,51,54
183,2,3:10.0,Offensive rebound by T. Young,,51,54
184,2,3:09.0,T. Young makes 2-pt layup from 1 ft,,53,54
185,2,2:59.0,,W. Cauley-Stein misses 2-pt jump shot from 15 ft,53,54
186,2,2:57.0,,Offensive rebound by N. Bjelica,53,54
187,2,2:55.0,,N. Bjelica makes 2-pt layup from 1 ft,53,56
188,2,2:40.0,M. Turner misses 3-pt jump shot from 26 ft,,53,56
189,2,2:38.0,,Defensive rebound by D. Fox,53,56
190,2,2:35.0,,Turnover by D. Fox (lost ball; steal by D. Collison),53,56
191,2,2:31.0,B. Bogdanović makes 2-pt dunk from 1 ft (assist by D. Collison),,55,56
192,2,2:31.0,,Sacramento full timeout,55,56
193,2,2:12.0,,N. Bjelica misses 2-pt jump shot from 8 ft,55,56
194,2,2:07.0,,Offensive rebound by N. Bjelica,55,56
195,2,2:06.0,,Turnover by N. Bjelica (lost ball; steal by D. Collison),55,56
196,2,1:57.0,T. Young makes 2-pt layup from 3 ft (assist by D. Collison),,57,56
197,2,1:57.0,Shooting foul by W. Cauley-Stein (drawn by T. Young),,57,56
198,2,1:57.0,T. Young misses free throw 1 of 1,,57,56
199,2,1:54.0,,Defensive rebound by W. Cauley-Stein,57,56
200,2,1:47.0,,D. Fox misses 2-pt layup from 3 ft (block by M. Turner),57,56
201,2,1:47.0,,Offensive rebound by W. Cauley-Stein,57,56
202,2,1:42.0,,W. Cauley-Stein makes 2-pt layup from 1 ft,57,58
203,2,1:29.0,T. Evans makes 3-pt jump shot from 24 ft (assist by D. Collison),,60,58
204,2,1:13.0,,Turnover by D. Fox (bad pass; steal by D. Collison),60,58
205,2,0:55.0,Turnover by T. Evans (bad pass; steal by B. Bogdanović),,60,58
206,2,0:51.0,,B. Bogdanović misses 2-pt layup from 3 ft,60,58
207,2,0:49.0,,Offensive rebound by W. Cauley-Stein,60,58
208,2,0:48.0,,Turnover by W. Cauley-Stein (lost ball; steal by T. Young),60,58
209,2,0:37.0,B. Bogdanović misses 2-pt layup from 3 ft (block by N. Bjelica),,60,58
210,2,0:34.0,,Defensive rebound by W. Cauley-Stein,60,58
211,2,0:31.0,,Offensive foul by N. Bjelica (drawn by T. Young),60,58
212,2,0:31.0,,Turnover by N. Bjelica (offensive foul),60,58
213,2,0:11.0,B. Bogdanović misses 2-pt layup from 4 ft (block by D. Fox),,60,58
214,2,0:08.0,,Defensive rebound by I. Shumpert,60,58
215,2,0:00.0,,N. Bjelica misses 2-pt jump shot from 15 ft,60,58
216,2,0:00.0,,Offensive rebound by Team,60,58
217,3,11:46.0,Turnover by M. Turner (traveling),,60,58
218,3,11:34.0,,D. Fox misses 2-pt jump shot from 8 ft,60,58
219,3,11:31.0,Defensive rebound by B. Bogdanović,,60,58
220,3,11:15.0,Turnover by T. Young (traveling),,60,58
221,3,11:08.0,,N. Bjelica makes 3-pt jump shot from 27 ft (assist by D. Fox),60,61
222,3,10:48.0,D. Collison makes 3-pt jump shot from 23 ft (assist by T. Evans),,63,61
223,3,10:48.0,,Turnover by B. Hield (turnover),63,61
224,3,10:48.0,Away from play foul by B. Hield (drawn by M. Turner),,63,61
225,3,10:48.0,M. Turner misses free throw 1 of 1,,63,61
226,3,10:48.0,,Defensive rebound by N. Bjelica,63,61
227,3,10:36.0,,Turnover by D. Fox (out of bounds lost ball),63,61
228,3,10:22.0,T. Evans misses 3-pt jump shot from 26 ft,,63,61
229,3,10:18.0,,Defensive rebound by W. Cauley-Stein,63,61
230,3,10:15.0,,B. Hield misses 3-pt jump shot from 26 ft,63,61
231,3,10:11.0,Defensive rebound by M. Turner,,63,61
232,3,10:09.0,Turnover by D. Collison (bad pass; steal by D. Fox),,63,61
233,3,10:04.0,,Shooting foul by D. Collison (drawn by W. Cauley-Stein),63,61
234,3,10:04.0,,W. Cauley-Stein misses free throw 1 of 2,63,61
235,3,10:04.0,,Offensive rebound by Team,63,61
236,3,10:04.0,,W. Cauley-Stein makes free throw 2 of 2,63,62
237,3,9:54.0,B. Bogdanović misses 3-pt jump shot from 25 ft,,63,62
238,3,9:51.0,Offensive rebound by M. Turner,,63,62
239,3,9:50.0,M. Turner makes 2-pt layup from 2 ft,,65,62
240,3,9:43.0,,D. Fox misses 2-pt jump shot from 6 ft,65,62
241,3,9:41.0,,Offensive rebound by W. Cauley-Stein,65,62
242,3,9:36.0,,N. Bjelica makes 2-pt jump shot from 10 ft,65,64
243,3,9:24.0,,Technical foul by I. Shumpert,65,64
244,3,9:24.0,B. Bogdanović makes technical free throw,,66,64
245,3,9:20.0,T. Young misses 2-pt dunk from 2 ft,,66,64
246,3,9:18.0,,Defensive rebound by B. Hield,66,64
247,3,9:13.0,,N. Bjelica misses 2-pt layup from 1 ft,66,64
248,3,9:13.0,Defensive rebound by M. Turner,,66,64
249,3,9:07.0,T. Young misses 2-pt layup from 2 ft,,66,64
250,3,9:05.0,,Defensive rebound by W. Cauley-Stein,66,64
251,3,9:00.0,,B. Hield makes 2-pt layup from 2 ft (assist by N. Bjelica),66,66
252,3,8:36.0,T. Young makes 2-pt layup from 2 ft (assist by D. Collison),,68,66
253,3,8:23.0,,Turnover by B. Hield (lost ball; steal by B. Bogdanović),68,66
254,3,8:20.0,D. Collison misses 2-pt layup from 3 ft,,68,66
255,3,8:20.0,Offensive rebound by T. Young,,68,66
256,3,8:20.0,T. Young makes 2-pt layup at rim,,70,66
257,3,8:20.0,,Sacramento full timeout,70,66
258,3,8:01.0,,Turnover by W. Cauley-Stein (dbl dribble),70,66
259,3,7:38.0,Turnover by T. Evans (bad pass; steal by I. Shumpert),,70,66
260,3,7:27.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by B. Hield),70,69
261,3,7:20.0,T. Young makes 2-pt layup from 1 ft (assist by D. Collison),,72,69
262,3,7:12.0,,N. Bjelica misses 3-pt jump shot from 27 ft,72,69
263,3,7:08.0,Defensive rebound by M. Turner,,72,69
264,3,7:04.0,Personal foul by I. Shumpert (drawn by M. Turner),,72,69
265,3,7:04.0,,B. Bogdanović enters the game for B. Hield,72,69
266,3,6:53.0,Turnover by D. Collison (bad pass; steal by I. Shumpert),,72,69
267,3,6:50.0,,Personal foul by T. Evans (drawn by I. Shumpert),72,69
268,3,6:38.0,,Turnover by I. Shumpert (lost ball; steal by D. Collison),72,69
269,3,6:34.0,B. Bogdanović makes 2-pt jump shot from 15 ft,,74,69
270,3,6:23.0,,Shooting foul by D. Collison (drawn by D. Fox),74,69
271,3,6:23.0,,D. Fox makes free throw 1 of 2,74,70
272,3,6:23.0,C. Joseph enters the game for D. Collison,,74,70
273,3,6:23.0,,D. Fox makes free throw 2 of 2,74,71
274,3,5:58.0,T. Evans misses 2-pt jump shot from 22 ft,,74,71
275,3,5:55.0,,Defensive rebound by N. Bjelica,74,71
276,3,5:48.0,,I. Shumpert makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),74,74
277,3,5:34.0,B. Bogdanović makes 2-pt layup from 2 ft (assist by M. Turner),,76,74
278,3,5:24.0,,W. Cauley-Stein makes 2-pt hook shot from 4 ft (assist by I. Shumpert),76,76
279,3,5:12.0,T. Evans makes 2-pt layup from 1 ft,,78,76
280,3,5:02.0,,N. Bjelica misses 3-pt jump shot from 26 ft,78,76
281,3,4:59.0,Defensive rebound by T. Young,,78,76
282,3,4:44.0,Personal foul by N. Bjelica (drawn by T. Young),,78,76
283,3,4:44.0,D. Sabonis enters the game for T. Young,,78,76
284,3,4:44.0,,K. Koufos enters the game for W. Cauley-Stein,78,76
285,3,4:39.0,Shooting foul by I. Shumpert (drawn by B. Bogdanović),,78,76
286,3,4:39.0,B. Bogdanović makes free throw 1 of 2,,79,76
287,3,4:39.0,B. Bogdanović makes free throw 2 of 2,,80,76
288,3,4:27.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,80,76
289,3,4:25.0,Defensive rebound by C. Joseph,,80,76
290,3,4:23.0,B. Bogdanović makes 2-pt layup from 1 ft (assist by C. Joseph),,82,76
291,3,4:23.0,Shooting foul by N. Bjelica (drawn by B. Bogdanović),,82,76
292,3,4:23.0,,J. Jackson enters the game for I. Shumpert,82,76
293,3,4:23.0,B. Bogdanović misses free throw 1 of 1,,82,76
294,3,4:20.0,,Defensive rebound by K. Koufos,82,76
295,3,4:11.0,,B. Bogdanović makes 2-pt layup from 2 ft (assist by D. Fox),82,78
296,3,4:11.0,,Shooting foul by C. Joseph (drawn by B. Bogdanović),82,78
297,3,4:11.0,D. McDermott enters the game for B. Bogdanović,,82,78
298,3,4:11.0,,B. Bogdanović makes free throw 1 of 1,82,79
299,3,3:53.0,T. Evans misses 2-pt layup from 4 ft,,82,79
300,3,3:52.0,,Defensive rebound by K. Koufos,82,79
301,3,3:52.0,,Turnover by K. Koufos (out of bounds lost ball),82,79
302,3,3:38.0,T. Evans misses 3-pt jump shot from 25 ft,,82,79
303,3,3:33.0,,Defensive rebound by B. Bogdanović,82,79
304,3,3:30.0,,B. Bogdanović makes 3-pt jump shot from 25 ft,82,82
305,3,3:22.0,Personal foul by N. Bjelica (drawn by M. Turner),,82,82
306,3,3:22.0,M. Turner makes free throw 1 of 2,,83,82
307,3,3:22.0,,T. Williams enters the game for N. Bjelica,83,82
308,3,3:22.0,M. Turner makes free throw 2 of 2,,84,82
309,3,3:07.0,,T. Williams makes 3-pt jump shot from 25 ft (assist by D. Fox),84,85
310,3,2:47.0,D. McDermott makes 3-pt jump shot from 26 ft (assist by C. Joseph),,87,85
311,3,2:42.0,,Personal foul by D. McDermott (drawn by T. Williams),87,85
312,3,2:42.0,Indiana full timeout,,87,85
313,3,2:42.0,,T. Williams misses free throw 1 of 2,87,85
314,3,2:42.0,,Offensive rebound by Team,87,85
315,3,2:42.0,,T. Williams misses free throw 2 of 2,87,85
316,3,2:38.0,Defensive rebound by T. Evans,,87,85
317,3,2:22.0,Offensive foul by D. Sabonis (drawn by D. Fox),,87,85
318,3,2:22.0,Turnover by D. Sabonis (offensive foul),,87,85
319,3,2:05.0,,J. Jackson misses 2-pt jump shot from 14 ft,87,85
320,3,2:03.0,Defensive rebound by D. Sabonis,,87,85
321,3,2:01.0,Turnover by D. Sabonis (bad pass; steal by D. Fox),,87,85
322,3,1:56.0,,D. Fox misses 3-pt jump shot from 25 ft,87,85
323,3,1:53.0,Defensive rebound by C. Joseph,,87,85
324,3,1:51.0,T. Evans misses 2-pt jump shot from 2 ft,,87,85
325,3,1:48.0,Offensive rebound by D. Sabonis,,87,85
326,3,1:46.0,D. Sabonis misses 2-pt layup from 1 ft,,87,85
327,3,1:46.0,,Defensive rebound by K. Koufos,87,85
328,3,1:39.0,,Shooting foul by D. McDermott (drawn by D. Fox),87,85
329,3,1:39.0,,D. Fox makes free throw 1 of 2,87,86
330,3,1:39.0,,D. Fox makes free throw 2 of 2,87,87
331,3,1:24.0,C. Joseph makes 2-pt layup from 2 ft (assist by D. McDermott),,89,87
332,3,0:57.0,,B. Bogdanović makes 2-pt layup from 2 ft,89,89
333,3,0:44.0,T. Evans misses 2-pt layup from 2 ft (block by K. Koufos),,89,89
334,3,0:41.0,,Defensive rebound by T. Williams,89,89
335,3,0:39.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,89,89
336,3,0:39.0,Defensive rebound by M. Turner,,89,89
337,3,0:26.0,D. Sabonis makes 2-pt hook shot from 8 ft (assist by M. Turner),,91,89
338,3,0:03.0,,D. Fox misses 2-pt jump shot from 23 ft,91,89
339,3,0:01.0,Defensive rebound by D. McDermott,,91,89
340,3,0:00.0,D. McDermott misses 3-pt jump shot from 39 ft,,91,89
341,3,0:00.0,Offensive rebound by Team,,91,89
342,4,11:46.0,,B. Hield misses 3-pt jump shot from 23 ft,91,89
343,4,11:42.0,,Offensive rebound by K. Koufos,91,89
344,4,11:41.0,,Shooting foul by D. Sabonis (drawn by T. Williams),91,89
345,4,11:41.0,,T. Williams misses free throw 1 of 2,91,89
346,4,11:41.0,,Offensive rebound by Team,91,89
347,4,11:41.0,,T. Williams makes free throw 2 of 2,91,90
348,4,11:20.0,D. Sabonis makes 2-pt layup from 2 ft (assist by D. Collison),,93,90
349,4,11:01.0,,B. Hield makes 2-pt jump shot from 10 ft (assist by B. Bogdanović),93,92
350,4,10:45.0,C. Joseph makes 2-pt jump shot from 12 ft,,95,92
351,4,10:38.0,,Personal foul by D. McDermott (drawn by B. Bogdanović),95,92
352,4,10:38.0,,W. Cauley-Stein enters the game for K. Koufos,95,92
353,4,10:25.0,,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by W. Cauley-Stein),95,95
354,4,10:09.0,Turnover by D. Sabonis (out of bounds lost ball),,95,95
355,4,9:50.0,,W. Cauley-Stein misses 2-pt hook shot from 4 ft,95,95
356,4,9:47.0,Defensive rebound by C. Joseph,,95,95
357,4,9:40.0,Turnover by C. Joseph (bad pass; steal by W. Cauley-Stein),,95,95
358,4,9:37.0,,Shooting foul by D. McDermott (drawn by J. Jackson),95,95
359,4,9:37.0,,J. Jackson misses free throw 1 of 2,95,95
360,4,9:37.0,,Offensive rebound by Team,95,95
361,4,9:37.0,,J. Jackson misses free throw 2 of 2,95,95
362,4,9:35.0,Defensive rebound by D. Sabonis,,95,95
363,4,9:17.0,D. Collison misses 2-pt jump shot from 18 ft,,95,95
364,4,9:14.0,,Defensive rebound by T. Williams,95,95
365,4,9:07.0,,T. Williams makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),95,98
366,4,8:57.0,Indiana full timeout,,95,98
367,4,8:43.0,D. McDermott makes 3-pt jump shot from 25 ft (assist by D. Sabonis),,98,98
368,4,8:23.0,,Turnover by B. Bogdanović (bad pass; steal by B. Bogdanović),98,98
369,4,8:16.0,D. Sabonis misses 2-pt layup from 3 ft,,98,98
370,4,8:14.0,,Defensive rebound by W. Cauley-Stein,98,98
371,4,8:09.0,,B. Hield misses 3-pt jump shot from 26 ft,98,98
372,4,8:09.0,Defensive rebound by D. Collison,,98,98
373,4,7:57.0,D. McDermott makes 2-pt layup from 2 ft (assist by D. Sabonis),,100,98
374,4,7:39.0,,B. Hield misses 2-pt layup from 4 ft,100,98
