,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHOENIX_ACTION,CLEVELAND_SCORE,PHOENIX_SCORE
56,1,4:55.0,Shooting foul by R. Holmes (drawn by A. Žižić),,10,17
57,1,4:55.0,,D. Bender enters the game for R. Holmes,10,17
58,1,4:55.0,A. Žižić misses free throw 1 of 1,,10,17
59,1,4:48.0,,Defensive rebound by D. Bender,10,17
60,1,4:32.0,,J. Jackson misses 2-pt jump shot from 7 ft,10,17
61,1,4:30.0,Defensive rebound by A. Žižić,,10,17
62,1,4:14.0,L. Nance makes 2-pt layup from 1 ft (assist by A. Žižić),,12,17
63,1,3:56.0,,E. Okobo makes 3-pt jump shot from 25 ft (assist by D. Bender),12,20
64,1,3:34.0,C. Osman misses 2-pt jump shot from 9 ft,,12,20
65,1,3:32.0,,Defensive rebound by D. Bender,12,20
66,1,3:28.0,,Turnover by E. Okobo (traveling),12,20
67,1,3:28.0,D. Nwaba enters the game for L. Nance,,12,20
68,1,3:28.0,,T. Daniels enters the game for M. Bridges,12,20
69,1,3:15.0,J. Clarkson makes 2-pt jump shot from 9 ft (assist by C. Sexton),,14,20
70,1,3:03.0,,Turnover by D. Booker (bad pass),14,20
71,1,2:42.0,A. Žižić makes 2-pt hook shot from 6 ft (assist by C. Osman),,16,20
72,1,2:25.0,,T. Daniels misses 2-pt jump shot from 2 ft (block by D. Nwaba),16,20
73,1,2:23.0,Defensive rebound by J. Clarkson,,16,20
74,1,2:16.0,Shooting foul by J. Jackson (drawn by A. Žižić),,16,20
75,1,2:16.0,Cleveland full timeout,,16,20
76,1,2:16.0,N. Stauskas enters the game for C. Osman,,16,20
77,1,2:16.0,A. Žižić makes free throw 1 of 2,,17,20
78,1,2:16.0,A. Žižić makes free throw 2 of 2,,18,20
79,1,2:16.0,,J. Crawford enters the game for E. Okobo,18,20
80,1,2:00.0,,Turnover by D. Booker (bad pass; steal by J. Clarkson),18,20
81,1,1:52.0,Personal foul by D. Bender (drawn by A. Žižić),,18,20
82,1,1:52.0,A. Žižić misses free throw 1 of 2,,18,20
83,1,1:52.0,Offensive rebound by Team,,18,20
84,1,1:52.0,A. Žižić misses free throw 2 of 2,,18,20
85,1,1:50.0,,Defensive rebound by D. Bender,18,20
86,1,1:38.0,,T. Daniels misses 3-pt jump shot from 25 ft,18,20
87,1,1:36.0,,Offensive rebound by D. Bender,18,20
88,1,1:34.0,,D. Booker misses 3-pt jump shot from 33 ft,18,20
89,1,1:30.0,Defensive rebound by J. Clarkson,,18,20
90,1,1:24.0,J. Clarkson misses 2-pt jump shot from 13 ft,,18,20
91,1,1:23.0,Offensive rebound by J. Clarkson,,18,20
92,1,1:21.0,J. Clarkson makes 2-pt layup from 1 ft,,20,20
93,1,1:14.0,,D. Booker misses 3-pt jump shot from 25 ft,20,20
94,1,1:14.0,Defensive rebound by A. Žižić,,20,20
95,1,1:03.0,J. Clarkson makes 2-pt layup at rim,,22,20
96,1,1:03.0,Shooting foul by D. Bender (drawn by J. Clarkson),,22,20
97,1,1:03.0,J. Clarkson makes free throw 1 of 1,,23,20
98,1,0:51.0,,D. Booker misses 2-pt jump shot from 8 ft (block by N. Stauskas),23,20
99,1,0:50.0,,Offensive rebound by Team,23,20
100,1,0:45.0,,T. Daniels makes 3-pt jump shot from 26 ft (assist by D. Booker),23,23
101,1,0:37.0,C. Sexton misses 2-pt layup at rim,,23,23
102,1,0:35.0,,Defensive rebound by J. Jackson,23,23
103,1,0:32.0,,J. Jackson makes 2-pt layup from 1 ft,23,25
104,1,0:13.0,J. Clarkson misses 2-pt jump shot from 8 ft,,23,25
105,1,0:12.0,,Defensive rebound by Team,23,25
106,1,0:12.0,Loose ball foul by A. Žižić (drawn by J. Jackson),,23,25
107,1,0:12.0,,J. Jackson makes free throw 1 of 2,23,26
108,1,0:12.0,,M. Bridges enters the game for D. Bender,23,26
109,1,0:12.0,,R. Spalding enters the game for J. Crawford,23,26
110,1,0:12.0,,J. Jackson makes free throw 2 of 2,23,27
111,1,0:05.0,Offensive foul by C. Sexton (drawn by R. Spalding),,23,27
112,1,0:05.0,Turnover by C. Sexton (offensive foul),,23,27
113,1,0:05.0,,J. Crawford enters the game for R. Spalding,23,27
114,1,0:00.0,,M. Bridges makes 3-pt jump shot from 26 ft (assist by D. Booker),23,30
115,1,0:00.0,,Shooting foul by A. Žižić (drawn by M. Bridges),23,30
116,1,0:00.0,,M. Bridges makes free throw 1 of 1,23,31
117,2,11:48.0,,J. Jackson makes 2-pt layup from 5 ft,23,33
118,2,11:33.0,D. Nwaba misses 2-pt layup from 1 ft (block by M. Bridges),,23,33
119,2,11:31.0,,Defensive rebound by R. Holmes,23,33
120,2,11:18.0,,J. Fredette makes 2-pt layup from 1 ft,23,35
121,2,11:03.0,D. Nwaba makes 2-pt layup at rim (assist by J. Clarkson),,25,35
122,2,10:38.0,,J. Crawford misses 3-pt jump shot from 28 ft,25,35
123,2,10:35.0,Defensive rebound by J. Clarkson,,25,35
124,2,10:28.0,J. Clarkson misses 2-pt layup from 2 ft,,25,35
125,2,10:25.0,,Defensive rebound by J. Jackson,25,35
126,2,10:20.0,,J. Jackson misses 2-pt layup from 1 ft,25,35
127,2,10:19.0,Defensive rebound by M. Chriss,,25,35
128,2,10:08.0,N. Stauskas misses 2-pt jump shot from 12 ft,,25,35
129,2,10:06.0,,Defensive rebound by R. Holmes,25,35
130,2,10:00.0,,J. Fredette makes 2-pt jump shot from 16 ft,25,37
131,2,9:38.0,M. Chriss misses 2-pt layup from 3 ft (block by R. Holmes),,25,37
132,2,9:37.0,,Defensive rebound by J. Jackson,25,37
133,2,9:34.0,,R. Holmes makes 2-pt layup at rim (assist by J. Jackson),25,39
134,2,9:34.0,,Shooting foul by D. Nwaba (drawn by R. Holmes),25,39
135,2,9:34.0,,R. Holmes misses free throw 1 of 1,25,39
136,2,9:32.0,Defensive rebound by M. Chriss,,25,39
137,2,9:24.0,D. Nwaba misses 2-pt layup from 1 ft (block by J. Jackson),,25,39
138,2,9:23.0,Offensive rebound by Team,,25,39
139,2,9:17.0,J. Clarkson misses 2-pt layup from 1 ft (block by J. Jackson),,25,39
140,2,9:14.0,,Defensive rebound by J. Jackson,25,39
141,2,9:05.0,,Shooting foul by M. Chriss (drawn by J. Fredette),25,39
142,2,9:05.0,,J. Fredette makes free throw 1 of 2,25,40
143,2,9:05.0,C. Osman enters the game for D. Nwaba,,25,40
144,2,9:05.0,,J. Fredette makes free throw 2 of 2,25,41
145,2,8:53.0,Personal foul by J. Crawford (drawn by B. Knight),,25,41
146,2,8:43.0,J. Clarkson makes 3-pt jump shot from 23 ft (assist by N. Stauskas),,28,41
147,2,8:25.0,,Personal foul by M. Chriss (drawn by R. Holmes),28,41
148,2,8:15.0,,J. Fredette misses 2-pt jump shot from 5 ft,28,41
149,2,8:14.0,Defensive rebound by M. Chriss,,28,41
150,2,8:06.0,N. Stauskas misses 2-pt jump shot from 1 ft,,28,41
151,2,8:03.0,,Defensive rebound by J. Jackson,28,41
152,2,7:56.0,,Shooting foul by M. Chriss (drawn by J. Jackson),28,41
153,2,7:56.0,,J. Jackson misses free throw 1 of 2,28,41
154,2,7:56.0,,Offensive rebound by Team,28,41
155,2,7:56.0,,J. Jackson makes free throw 2 of 2,28,42
156,2,7:46.0,B. Knight makes 3-pt jump shot from 26 ft (assist by J. Clarkson),,31,42
157,2,7:28.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Crawford),31,45
158,2,7:18.0,Offensive foul by B. Knight (drawn by J. Crawford),,31,45
159,2,7:18.0,Turnover by B. Knight (offensive foul),,31,45
160,2,7:18.0,C. Sexton enters the game for M. Chriss,,31,45
161,2,7:18.0,T. Thompson enters the game for N. Stauskas,,31,45
162,2,7:06.0,,J. Jackson makes 3-pt jump shot from 26 ft (assist by J. Fredette),31,48
163,2,7:04.0,Cleveland full timeout,,31,48
164,2,7:04.0,L. Nance enters the game for B. Knight,,31,48
165,2,6:47.0,J. Clarkson makes 2-pt jump shot from 16 ft,,33,48
166,2,6:30.0,,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Jackson),33,50
167,2,6:08.0,Personal foul by J. Crawford (drawn by C. Osman),,33,50
168,2,6:08.0,,T. Daniels enters the game for J. Fredette,33,50
169,2,5:59.0,J. Clarkson makes 2-pt jump shot from 13 ft,,35,50
170,2,5:47.0,,T. Daniels makes 2-pt layup at rim,35,52
171,2,5:23.0,Shooting foul by R. Holmes (drawn by C. Sexton),,35,52
172,2,5:23.0,C. Sexton makes free throw 1 of 2,,36,52
173,2,5:23.0,,D. Bender enters the game for R. Holmes,36,52
174,2,5:23.0,C. Sexton makes free throw 2 of 2,,37,52
175,2,5:08.0,,Turnover by J. Crawford (bad pass; steal by C. Osman),37,52
176,2,5:05.0,C. Sexton misses 2-pt layup at rim (block by M. Bridges),,37,52
177,2,5:05.0,Offensive rebound by Team,,37,52
178,2,4:57.0,C. Osman misses 3-pt jump shot from 24 ft,,37,52
179,2,4:53.0,,Defensive rebound by T. Daniels,37,52
180,2,4:48.0,,J. Crawford makes 3-pt jump shot from 26 ft,37,55
181,2,4:48.0,,Shooting foul by C. Sexton (drawn by J. Crawford),37,55
182,2,4:48.0,,J. Crawford makes free throw 1 of 1,37,56
183,2,4:26.0,C. Sexton makes 2-pt jump shot from 20 ft,,39,56
184,2,4:04.0,,J. Jackson misses 2-pt jump shot from 21 ft,39,56
185,2,4:02.0,Defensive rebound by C. Sexton,,39,56
186,2,3:52.0,C. Osman makes 2-pt layup at rim (assist by L. Nance),,41,56
187,2,3:52.0,Shooting foul by M. Bridges (drawn by C. Osman),,41,56
188,2,3:52.0,C. Osman makes free throw 1 of 1,,42,56
189,2,3:52.0,,Phoenix full timeout,42,56
190,2,3:52.0,B. Knight enters the game for J. Clarkson,,42,56
191,2,3:52.0,,D. Booker enters the game for J. Jackson,42,56
192,2,3:45.0,,Personal foul by C. Osman (drawn by D. Booker),42,56
193,2,3:45.0,,D. Booker makes free throw 1 of 2,42,57
194,2,3:45.0,,D. Booker makes free throw 2 of 2,42,58
195,2,3:33.0,T. Thompson makes 2-pt hook shot from 5 ft (assist by L. Nance),,44,58
196,2,3:33.0,Shooting foul by D. Booker (drawn by T. Thompson),,44,58
197,2,3:33.0,T. Thompson misses free throw 1 of 1,,44,58
198,2,3:31.0,,Defensive rebound by D. Bender,44,58
199,2,3:15.0,,J. Crawford makes 2-pt jump shot from 18 ft,44,60
200,2,2:57.0,T. Thompson makes 2-pt dunk from 1 ft (assist by L. Nance),,46,60
201,2,2:38.0,,J. Crawford makes 3-pt jump shot from 26 ft (assist by T. Daniels),46,63
202,2,2:23.0,L. Nance misses 2-pt jump shot from 6 ft,,46,63
203,2,2:22.0,Offensive rebound by T. Thompson,,46,63
204,2,2:21.0,Shooting foul by M. Bridges (drawn by T. Thompson),,46,63
205,2,2:21.0,T. Thompson makes free throw 1 of 2,,47,63
206,2,2:21.0,T. Thompson makes free throw 2 of 2,,48,63
207,2,2:06.0,,D. Bender makes 2-pt hook shot from 3 ft (assist by M. Bridges),48,65
208,2,1:45.0,C. Sexton makes 2-pt jump shot from 9 ft,,50,65
209,2,1:31.0,,D. Booker misses 3-pt jump shot from 27 ft,50,65
210,2,1:29.0,Defensive rebound by L. Nance,,50,65
211,2,1:18.0,C. Osman misses 2-pt layup from 1 ft,,50,65
212,2,1:16.0,,Defensive rebound by T. Daniels,50,65
213,2,1:11.0,,D. Bender makes 2-pt layup from 1 ft (assist by D. Booker),50,67
214,2,0:58.0,C. Sexton misses 2-pt jump shot from 7 ft,,50,67
215,2,0:55.0,Offensive rebound by T. Thompson,,50,67
216,2,0:48.0,C. Osman misses 2-pt jump shot from 10 ft,,50,67
217,2,0:47.0,,Defensive rebound by D. Bender,50,67
218,2,0:42.0,,Personal foul by B. Knight (drawn by D. Booker),50,67
219,2,0:42.0,,D. Booker makes free throw 1 of 2,50,68
220,2,0:42.0,J. Clarkson enters the game for B. Knight,,50,68
221,2,0:42.0,D. Nwaba enters the game for L. Nance,,50,68
222,2,0:42.0,,R. Spalding enters the game for D. Bender,50,68
223,2,0:42.0,,D. Booker makes free throw 2 of 2,50,69
224,2,0:23.0,T. Thompson makes 2-pt hook shot from 3 ft,,52,69
225,2,0:01.0,,D. Booker makes 2-pt jump shot from 9 ft,52,71
226,2,0:01.0,C. Osman misses 3-pt jump shot from 45 ft,,52,71
227,2,0:01.0,Offensive rebound by Team,,52,71
228,3,11:46.0,,Personal foul by B. Knight (drawn by R. Holmes),52,71
229,3,11:37.0,,R. Holmes makes 2-pt layup from 1 ft (assist by D. Booker),52,73
230,3,11:16.0,C. Sexton misses 2-pt layup from 3 ft,,52,73
231,3,11:15.0,,Defensive rebound by R. Holmes,52,73
232,3,11:15.0,Technical foul by C. Sexton,,52,73
233,3,11:15.0,,D. Booker makes technical free throw,52,74
234,3,11:00.0,,Turnover by E. Okobo (traveling),52,74
235,3,10:42.0,C. Osman misses 2-pt jump shot from 10 ft,,52,74
236,3,10:36.0,,Defensive rebound by D. Booker,52,74
237,3,10:24.0,,E. Okobo misses 3-pt jump shot from 26 ft,52,74
238,3,10:21.0,Defensive rebound by L. Nance,,52,74
239,3,10:13.0,B. Knight makes 2-pt jump shot from 17 ft,,54,74
240,3,10:00.0,,D. Booker misses 3-pt jump shot from 27 ft,54,74
241,3,9:57.0,Defensive rebound by B. Knight,,54,74
242,3,9:47.0,B. Knight makes 2-pt jump shot from 12 ft,,56,74
243,3,9:37.0,,Turnover by R. Holmes (bad pass),56,74
244,3,9:24.0,L. Nance misses 3-pt jump shot from 25 ft,,56,74
245,3,9:22.0,Offensive rebound by T. Thompson,,56,74
246,3,9:20.0,Shooting foul by R. Holmes (drawn by T. Thompson),,56,74
247,3,9:20.0,T. Thompson misses free throw 1 of 2,,56,74
248,3,9:20.0,Offensive rebound by Team,,56,74
249,3,9:20.0,,J. Jackson enters the game for D. Bender,56,74
250,3,9:20.0,T. Thompson makes free throw 2 of 2,,57,74
251,3,9:02.0,,M. Bridges misses 3-pt jump shot from 25 ft,57,74
252,3,9:00.0,Defensive rebound by Team,,57,74
253,3,9:00.0,,Loose ball foul by R. Holmes (drawn by T. Thompson),57,74
254,3,9:00.0,,D. Bender enters the game for R. Holmes,57,74
255,3,8:46.0,B. Knight makes 3-pt jump shot from 25 ft,,60,74
256,3,8:44.0,,Phoenix full timeout,60,74
257,3,8:44.0,,T. Daniels enters the game for E. Okobo,60,74
258,3,8:33.0,,D. Bender makes 2-pt hook shot from 5 ft (assist by D. Booker),60,76
259,3,8:14.0,T. Thompson makes 2-pt layup from 1 ft (assist by C. Sexton),,62,76
260,3,8:14.0,Shooting foul by T. Daniels (drawn by T. Thompson),,62,76
261,3,8:14.0,T. Thompson misses free throw 1 of 1,,62,76
262,3,8:12.0,,Defensive rebound by D. Bender,62,76
263,3,7:55.0,,J. Jackson makes 2-pt dunk from 1 ft (assist by D. Booker),62,78
264,3,7:40.0,B. Knight misses 3-pt jump shot from 26 ft,,62,78
265,3,7:38.0,,Defensive rebound by D. Booker,62,78
266,3,7:32.0,,D. Booker makes 3-pt jump shot from 28 ft,62,81
267,3,7:21.0,C. Sexton makes 3-pt jump shot from 25 ft,,65,81
268,3,7:08.0,,D. Booker misses 3-pt jump shot from 28 ft,65,81
269,3,7:06.0,Defensive rebound by L. Nance,,65,81
270,3,6:52.0,T. Thompson misses 2-pt layup from 3 ft (block by D. Bender),,65,81
271,3,6:51.0,,Defensive rebound by Team,65,81
272,3,6:44.0,,Turnover by D. Booker (bad pass; steal by B. Knight),65,81
273,3,6:39.0,C. Osman misses 3-pt jump shot from 23 ft,,65,81
274,3,6:36.0,,Defensive rebound by J. Jackson,65,81
275,3,6:33.0,,D. Booker makes 2-pt dunk from 1 ft (assist by J. Jackson),65,83
276,3,6:32.0,Cleveland full timeout,,65,83
277,3,6:32.0,J. Clarkson enters the game for B. Knight,,65,83
278,3,6:14.0,J. Clarkson makes 2-pt jump shot from 7 ft,,67,83
279,3,5:48.0,,D. Bender misses 3-pt jump shot from 27 ft,67,83
280,3,5:47.0,,Offensive rebound by Team,67,83
281,3,5:46.0,,Turnover by Team (shot clock),67,83
282,3,5:34.0,Turnover by L. Nance (lost ball; steal by J. Jackson),,67,83
283,3,5:29.0,,J. Jackson makes 2-pt layup at rim (assist by D. Booker),67,85
284,3,5:12.0,T. Thompson makes 2-pt layup from 1 ft (assist by C. Sexton),,69,85
285,3,4:54.0,,D. Bender misses 3-pt jump shot from 26 ft,69,85
286,3,4:52.0,Defensive rebound by L. Nance,,69,85
287,3,4:47.0,Personal foul by D. Bender (drawn by C. Sexton),,69,85
288,3,4:47.0,A. Žižić enters the game for T. Thompson,,69,85
289,3,4:39.0,C. Sexton makes 2-pt jump shot from 10 ft,,71,85
290,3,4:28.0,,D. Bender makes 2-pt dunk at rim (assist by D. Booker),71,87
291,3,4:15.0,C. Sexton makes 2-pt jump shot from 13 ft,,73,87
292,3,4:10.0,,Personal foul by C. Osman (drawn by D. Booker),73,87
293,3,4:10.0,,J. Crawford enters the game for M. Bridges,73,87
294,3,4:06.0,,T. Daniels misses 3-pt jump shot from 26 ft,73,87
295,3,4:05.0,Defensive rebound by Team,,73,87
296,3,3:52.0,C. Sexton misses 2-pt layup from 3 ft,,73,87
297,3,3:51.0,Offensive rebound by A. Žižić,,73,87
298,3,3:48.0,Shooting foul by D. Bender (drawn by A. Žižić),,73,87
299,3,3:48.0,A. Žižić misses free throw 1 of 2,,73,87
300,3,3:48.0,Offensive rebound by Team,,73,87
301,3,3:48.0,D. Nwaba enters the game for L. Nance,,73,87
302,3,3:48.0,,R. Spalding enters the game for D. Bender,73,87
303,3,3:48.0,A. Žižić makes free throw 2 of 2,,74,87
304,3,3:34.0,,R. Spalding misses 2-pt dunk from 1 ft,74,87
305,3,3:30.0,,R. Spalding misses 2-pt layup from 1 ft (block by A. Žižić),74,87
306,3,3:30.0,,Offensive rebound by R. Spalding,74,87
307,3,3:28.0,Defensive rebound by D. Nwaba,,74,87
308,3,3:25.0,C. Osman misses 3-pt jump shot from 25 ft,,74,87
309,3,3:23.0,Offensive rebound by A. Žižić,,74,87
310,3,3:22.0,A. Žižić makes 2-pt dunk from 1 ft,,76,87
311,3,3:22.0,,Phoenix full timeout,76,87
312,3,3:15.0,,T. Daniels misses 3-pt jump shot from 27 ft,76,87
313,3,3:12.0,,Offensive rebound by J. Jackson,76,87
314,3,3:03.0,,J. Crawford misses 3-pt jump shot from 26 ft,76,87
315,3,3:00.0,,Offensive rebound by R. Spalding,76,87
316,3,2:55.0,,Personal foul by C. Osman (drawn by J. Jackson),76,87
317,3,2:47.0,,T. Daniels misses 3-pt jump shot from 23 ft,76,87
318,3,2:44.0,Defensive rebound by D. Nwaba,,76,87
319,3,2:35.0,C. Sexton makes 2-pt jump shot from 12 ft,,78,87
320,3,2:17.0,,D. Booker makes 2-pt jump shot from 7 ft,78,89
321,3,1:57.0,Shooting foul by J. Jackson (drawn by A. Žižić),,78,89
322,3,1:57.0,A. Žižić makes free throw 1 of 2,,79,89
323,3,1:57.0,A. Žižić makes free throw 2 of 2,,80,89
324,3,1:50.0,,Turnover by J. Crawford (bad pass),80,89
325,3,1:37.0,C. Osman misses 3-pt jump shot from 25 ft,,80,89
326,3,1:34.0,Offensive rebound by C. Sexton,,80,89
327,3,1:26.0,C. Sexton misses 2-pt layup from 2 ft,,80,89
328,3,1:23.0,Offensive rebound by A. Žižić,,80,89
329,3,1:23.0,A. Žižić makes 2-pt layup at rim,,82,89
330,3,1:17.0,,D. Booker misses 2-pt layup from 1 ft,82,89
331,3,1:15.0,Defensive rebound by D. Nwaba,,82,89
332,3,1:12.0,C. Sexton misses 2-pt layup from 1 ft,,82,89
333,3,1:11.0,Offensive rebound by C. Sexton,,82,89
334,3,1:10.0,Turnover by C. Sexton (out of bounds lost ball),,82,89
335,3,0:53.0,,T. Daniels misses 3-pt jump shot from 25 ft,82,89
336,3,0:51.0,Defensive rebound by D. Nwaba,,82,89
337,3,0:46.0,D. Nwaba misses 2-pt layup from 1 ft (block by J. Jackson),,82,89
338,3,0:44.0,,Defensive rebound by J. Jackson,82,89
339,3,0:39.0,,R. Spalding makes 2-pt layup from 1 ft (assist by J. Jackson),82,91
340,3,0:26.0,J. Clarkson makes 2-pt jump shot from 9 ft,,84,91
341,3,0:07.0,,Personal foul by C. Sexton (drawn by D. Booker),84,91
342,3,0:02.0,,Offensive foul by D. Booker (drawn by J. Clarkson),84,91
343,3,0:02.0,,Turnover by D. Booker (offensive foul),84,91
344,4,11:43.0,A. Žižić makes 2-pt dunk from 1 ft (assist by C. Osman),,86,91
345,4,11:23.0,,J. Jackson misses 3-pt jump shot from 26 ft,86,91
346,4,11:22.0,,Offensive rebound by Team,86,91
347,4,11:22.0,Loose ball foul by A. Žižić (drawn by R. Holmes),,86,91
348,4,11:13.0,,J. Crawford makes 2-pt jump shot from 16 ft,86,93
349,4,10:46.0,C. Osman misses 3-pt jump shot from 25 ft,,86,93
350,4,10:43.0,,Defensive rebound by R. Holmes,86,93
351,4,10:31.0,,R. Holmes makes 2-pt layup from 1 ft (assist by J. Crawford),86,95
352,4,10:31.0,,Shooting foul by C. Osman (drawn by R. Holmes),86,95
353,4,10:31.0,C. Frye enters the game for A. Žižić,,86,95
354,4,10:31.0,,R. Holmes misses free throw 1 of 1,86,95
355,4,10:29.0,Defensive rebound by J. Clarkson,,86,95
356,4,10:21.0,J. Clarkson misses 2-pt jump shot from 11 ft,,86,95
357,4,10:19.0,,Defensive rebound by R. Holmes,86,95
358,4,10:12.0,,J. Crawford makes 2-pt jump shot from 13 ft,86,97
359,4,10:12.0,,Shooting foul by C. Osman (drawn by J. Crawford),86,97
360,4,10:12.0,N. Stauskas enters the game for C. Osman,,86,97
361,4,10:12.0,,D. Bender enters the game for R. Holmes,86,97
362,4,10:12.0,,J. Crawford makes free throw 1 of 1,86,98
363,4,9:52.0,C. Frye misses 2-pt jump shot from 10 ft,,86,98
364,4,9:51.0,,Defensive rebound by M. Bridges,86,98
365,4,9:47.0,,J. Crawford makes 3-pt jump shot from 26 ft,86,101
366,4,9:30.0,Turnover by B. Knight (bad pass),,86,101
367,4,9:15.0,,J. Crawford misses 3-pt jump shot from 27 ft,86,101
368,4,9:11.0,Defensive rebound by B. Knight,,86,101
369,4,9:01.0,Shooting foul by J. Jackson (drawn by J. Clarkson),,86,101
370,4,9:01.0,J. Clarkson makes free throw 1 of 2,,87,101
371,4,9:01.0,J. Clarkson makes free throw 2 of 2,,88,101
372,4,8:44.0,,J. Jackson makes 2-pt dunk from 1 ft,88,103
373,4,8:33.0,B. Knight misses 2-pt layup from 1 ft (block by J. Jackson),,88,103
374,4,8:31.0,,Defensive rebound by D. Bender,88,103
375,4,8:27.0,,M. Bridges makes 2-pt layup at rim (assist by J. Crawford),88,105
376,4,8:27.0,Cleveland full timeout,,88,105
377,4,8:16.0,C. Frye makes 3-pt jump shot from 26 ft (assist by D. Nwaba),,91,105
378,4,7:58.0,,T. Daniels misses 2-pt jump shot from 13 ft,91,105
379,4,7:57.0,,Offensive rebound by D. Bender,91,105
380,4,7:54.0,,D. Bender makes 2-pt layup at rim,91,107
381,4,7:25.0,J. Clarkson misses 2-pt jump shot from 16 ft,,91,107
382,4,7:25.0,,Defensive rebound by J. Jackson,91,107
383,4,7:13.0,,Personal foul by B. Knight (drawn by D. Bender),91,107
384,4,7:13.0,M. Chriss enters the game for C. Frye,,91,107
385,4,7:13.0,L. Nance enters the game for B. Knight,,91,107
