,QUARTER,TIME_REMAINING,NEW YORK_ACTION,PHOENIX_ACTION,NEW YORK_SCORE,PHOENIX_SCORE
103,1,1:07.0,Turnover by E. Mudiay (bad pass),,20,14
104,1,0:58.0,,M. Bridges makes 2-pt layup at rim (assist by D. Melton),20,16
105,1,0:38.0,A. Trier misses 3-pt jump shot from 25 ft,,20,16
106,1,0:34.0,Offensive rebound by K. Knox,,20,16
107,1,0:34.0,Shooting foul by M. Bridges (drawn by K. Knox),,20,16
108,1,0:34.0,K. Knox makes free throw 1 of 2,,21,16
109,1,0:34.0,K. Knox makes free throw 2 of 2,,22,16
110,1,0:14.0,,J. Crawford misses 2-pt jump shot from 20 ft,22,16
111,1,0:11.0,Defensive rebound by A. Trier,,22,16
112,1,0:03.0,A. Trier misses 2-pt jump shot from 18 ft,,22,16
113,1,0:03.0,,Defensive rebound by J. Jackson,22,16
114,2,11:43.0,,Turnover by J. Jackson (bad pass; steal by M. Robinson),22,16
115,2,11:25.0,K. Knox misses 2-pt jump shot from 4 ft,,22,16
116,2,11:24.0,Offensive rebound by M. Robinson,,22,16
117,2,11:24.0,Shooting foul by R. Holmes (drawn by M. Robinson),,22,16
118,2,11:24.0,M. Robinson makes free throw 1 of 2,,23,16
119,2,11:24.0,M. Robinson misses free throw 2 of 2,,23,16
120,2,11:21.0,,Defensive rebound by J. Jackson,23,16
121,2,11:07.0,,R. Holmes misses 2-pt jump shot from 11 ft,23,16
122,2,11:01.0,,Offensive rebound by R. Holmes,23,16
123,2,11:01.0,,R. Holmes makes 2-pt dunk from 1 ft,23,18
124,2,10:43.0,K. Knox misses 2-pt hook shot from 12 ft,,23,18
125,2,10:40.0,,Defensive rebound by D. Melton,23,18
126,2,10:34.0,,R. Holmes makes 2-pt dunk from 1 ft (assist by J. Crawford),23,20
127,2,10:27.0,New York full timeout,,23,20
128,2,10:12.0,E. Mudiay misses 2-pt layup from 1 ft,,23,20
129,2,10:09.0,Offensive rebound by M. Robinson,,23,20
130,2,10:08.0,M. Robinson makes 2-pt dunk from 1 ft,,25,20
131,2,9:59.0,,Personal foul by K. Knox (drawn by M. Bridges),25,20
132,2,9:46.0,,J. Jackson misses 3-pt jump shot from 26 ft,25,20
133,2,9:43.0,Defensive rebound by E. Mudiay,,25,20
134,2,9:37.0,L. Thomas makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,28,20
135,2,9:23.0,,J. Crawford misses 2-pt jump shot from 17 ft,28,20
136,2,9:20.0,Defensive rebound by A. Trier,,28,20
137,2,9:19.0,Personal take foul by J. Crawford (drawn by A. Trier),,28,20
138,2,9:19.0,,K. Oubre enters the game for D. Melton,28,20
139,2,9:06.0,Turnover by E. Mudiay (bad pass; steal by R. Holmes),,28,20
140,2,9:01.0,,K. Oubre makes 2-pt dunk at rim (assist by J. Jackson),28,22
141,2,8:44.0,Turnover by M. Robinson (lost ball; steal by J. Crawford),,28,22
142,2,8:36.0,,Turnover by K. Oubre (bad pass; steal by M. Robinson),28,22
143,2,8:21.0,Turnover by E. Mudiay (bad pass),,28,22
144,2,8:21.0,D. Dotson enters the game for K. Knox,,28,22
145,2,8:10.0,,J. Crawford misses 2-pt jump shot from 19 ft,28,22
146,2,8:08.0,Defensive rebound by D. Dotson,,28,22
147,2,7:56.0,L. Thomas misses 2-pt hook shot from 5 ft,,28,22
148,2,7:55.0,Offensive rebound by Team,,28,22
149,2,7:55.0,,Loose ball foul by R. Holmes (drawn by L. Thomas),28,22
150,2,7:55.0,D. Smith enters the game for E. Mudiay,,28,22
151,2,7:55.0,N. Vonleh enters the game for L. Thomas,,28,22
152,2,7:42.0,N. Vonleh makes 2-pt hook shot from 2 ft,,30,22
153,2,7:23.0,,J. Jackson misses 2-pt layup from 1 ft (block by N. Vonleh),30,22
154,2,7:21.0,Defensive rebound by D. Dotson,,30,22
155,2,7:17.0,M. Robinson makes 2-pt layup from 1 ft (assist by D. Smith),,32,22
156,2,7:17.0,Shooting foul by K. Oubre (drawn by M. Robinson),,32,22
157,2,7:17.0,,Phoenix full timeout,32,22
158,2,7:17.0,,D. Ayton enters the game for J. Crawford,32,22
159,2,7:17.0,,D. Booker enters the game for R. Holmes,32,22
160,2,7:17.0,,T. Johnson enters the game for J. Jackson,32,22
161,2,7:17.0,M. Robinson makes free throw 1 of 1,,33,22
162,2,6:58.0,,Shooting foul by D. Smith (drawn by T. Johnson),33,22
163,2,6:58.0,,T. Johnson makes free throw 1 of 2,33,23
164,2,6:58.0,,T. Johnson makes free throw 2 of 2,33,24
165,2,6:47.0,A. Trier makes 2-pt jump shot from 20 ft (assist by M. Robinson),,35,24
166,2,6:32.0,,D. Booker makes 2-pt layup from 1 ft,35,26
167,2,6:32.0,,Shooting foul by N. Vonleh (drawn by D. Booker),35,26
168,2,6:32.0,,D. Booker makes free throw 1 of 1,35,27
169,2,6:24.0,Offensive foul by M. Robinson (drawn by K. Oubre),,35,27
170,2,6:24.0,Turnover by M. Robinson (offensive foul),,35,27
171,2,6:24.0,D. Jordan enters the game for M. Robinson,,35,27
172,2,6:15.0,,D. Booker makes 3-pt jump shot from 26 ft,35,30
173,2,6:00.0,Personal foul by M. Bridges (drawn by N. Vonleh),,35,30
174,2,6:00.0,N. Vonleh misses free throw 1 of 2,,35,30
175,2,6:00.0,Offensive rebound by Team,,35,30
176,2,6:00.0,N. Vonleh makes free throw 2 of 2,,36,30
177,2,5:47.0,,T. Johnson makes 3-pt jump shot from 23 ft (assist by D. Booker),36,33
178,2,5:30.0,N. Vonleh makes 2-pt dunk from 1 ft (assist by D. Dotson),,38,33
179,2,5:30.0,Shooting foul by M. Bridges (drawn by N. Vonleh),,38,33
180,2,5:30.0,,J. Jackson enters the game for M. Bridges,38,33
181,2,5:30.0,N. Vonleh makes free throw 1 of 1,,39,33
182,2,5:16.0,,K. Oubre misses 3-pt jump shot from 26 ft,39,33
183,2,5:11.0,Defensive rebound by N. Vonleh,,39,33
184,2,5:08.0,D. Smith misses 2-pt layup from 1 ft (block by J. Jackson),,39,33
185,2,5:04.0,,Defensive rebound by T. Johnson,39,33
186,2,5:03.0,,K. Oubre makes 2-pt layup from 1 ft (assist by T. Johnson),39,35
187,2,4:59.0,Offensive foul by A. Trier (drawn by T. Johnson),,39,35
188,2,4:59.0,Turnover by A. Trier (offensive foul),,39,35
189,2,4:59.0,,D. Bender enters the game for K. Oubre,39,35
190,2,4:47.0,,Offensive foul by D. Booker (drawn by A. Trier),39,35
191,2,4:47.0,,Turnover by D. Booker (offensive foul),39,35
192,2,4:32.0,D. Dotson misses 2-pt jump shot from 16 ft,,39,35
193,2,4:30.0,,Defensive rebound by D. Ayton,39,35
194,2,4:26.0,,D. Booker makes 2-pt jump shot from 13 ft,39,37
195,2,4:26.0,,Shooting foul by D. Dotson (drawn by D. Booker),39,37
196,2,4:26.0,,D. Booker makes free throw 1 of 1,39,38
197,2,4:22.0,New York full timeout,,39,38
198,2,4:22.0,K. Knox enters the game for A. Trier,,39,38
199,2,4:17.0,Turnover by D. Smith (bad pass; steal by D. Booker),,39,38
200,2,4:14.0,,D. Booker makes 2-pt dunk at rim,39,40
201,2,3:58.0,D. Dotson misses 2-pt jump shot from 8 ft,,39,40
202,2,3:55.0,,Defensive rebound by J. Jackson,39,40
203,2,3:46.0,,T. Johnson makes 2-pt jump shot from 6 ft (assist by J. Jackson),39,42
204,2,3:27.0,N. Vonleh makes 2-pt hook shot from 4 ft,,41,42
205,2,3:08.0,,D. Ayton misses 2-pt jump shot from 20 ft,41,42
206,2,3:08.0,Defensive rebound by Team,,41,42
207,2,2:51.0,N. Vonleh makes 2-pt hook shot from 7 ft,,43,42
208,2,2:34.0,,Turnover by D. Booker (bad pass),43,42
209,2,2:17.0,D. Smith makes 2-pt jump shot from 18 ft,,45,42
210,2,1:59.0,,T. Johnson makes 2-pt jump shot from 17 ft,45,44
211,2,1:33.0,D. Jordan misses 2-pt hook shot from 10 ft,,45,44
212,2,1:31.0,,Defensive rebound by D. Bender,45,44
213,2,1:31.0,,Personal foul by D. Dotson (drawn by D. Booker),45,44
214,2,1:31.0,,D. Booker makes free throw 1 of 2,45,45
215,2,1:31.0,A. Trier enters the game for D. Dotson,,45,45
216,2,1:31.0,,R. Holmes enters the game for D. Ayton,45,45
217,2,1:31.0,,D. Booker makes free throw 2 of 2,45,46
218,2,1:15.0,N. Vonleh misses 2-pt dunk from 1 ft (block by R. Holmes),,45,46
219,2,1:12.0,,Defensive rebound by D. Bender,45,46
220,2,1:05.0,,J. Jackson misses 2-pt layup from 1 ft,45,46
221,2,1:03.0,Defensive rebound by D. Jordan,,45,46
222,2,0:57.0,Personal foul by D. Bender (drawn by K. Knox),,45,46
223,2,0:57.0,K. Knox makes free throw 1 of 2,,46,46
224,2,0:57.0,L. Thomas enters the game for D. Jordan,,46,46
225,2,0:57.0,K. Knox makes free throw 2 of 2,,47,46
226,2,0:40.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by D. Bender),47,49
227,2,0:26.0,L. Thomas misses 3-pt jump shot from 23 ft,,47,49
228,2,0:23.0,,Defensive rebound by D. Booker,47,49
229,2,0:03.0,,D. Booker misses 2-pt jump shot from 23 ft,47,49
230,2,0:00.0,Defensive rebound by L. Thomas,,47,49
231,3,11:43.0,,D. Booker makes 3-pt jump shot from 26 ft (assist by T. Johnson),47,52
232,3,11:11.0,D. Dotson misses 2-pt jump shot from 19 ft,,47,52
233,3,11:10.0,,Defensive rebound by D. Bender,47,52
234,3,10:56.0,,D. Booker misses 2-pt layup at rim (block by D. Jordan),47,52
235,3,10:53.0,Defensive rebound by D. Dotson,,47,52
236,3,10:52.0,Turnover by D. Dotson (lost ball; steal by K. Oubre),,47,52
237,3,10:49.0,,D. Booker makes 3-pt jump shot from 23 ft (assist by K. Oubre),47,55
238,3,10:32.0,D. Smith misses 2-pt jump shot from 21 ft,,47,55
239,3,10:31.0,Offensive rebound by Team,,47,55
240,3,10:31.0,,Loose ball foul by D. Ayton (drawn by D. Jordan),47,55
241,3,10:21.0,D. Jordan makes 2-pt dunk at rim (assist by N. Vonleh),,49,55
242,3,10:02.0,,K. Oubre misses 2-pt jump shot from 4 ft,49,55
243,3,10:00.0,Defensive rebound by D. Jordan,,49,55
244,3,9:54.0,D. Smith misses 2-pt layup from 2 ft (block by T. Johnson),,49,55
245,3,9:51.0,,Defensive rebound by D. Ayton,49,55
246,3,9:41.0,,D. Ayton makes 2-pt jump shot from 13 ft (assist by T. Johnson),49,57
247,3,9:41.0,New York full timeout,,49,57
248,3,9:29.0,D. Dotson misses 3-pt jump shot from 25 ft,,49,57
249,3,9:25.0,,Defensive rebound by K. Oubre,49,57
250,3,9:11.0,,D. Booker makes 3-pt jump shot from 23 ft (assist by T. Johnson),49,60
251,3,8:59.0,N. Vonleh makes 3-pt jump shot from 25 ft (assist by D. Dotson),,52,60
252,3,8:50.0,,Turnover by D. Booker (bad pass),52,60
253,3,8:43.0,D. Dotson misses 3-pt jump shot from 26 ft,,52,60
254,3,8:41.0,Offensive rebound by Team,,52,60
255,3,8:41.0,,Loose ball foul by D. Ayton (drawn by D. Jordan),52,60
256,3,8:41.0,,R. Holmes enters the game for D. Ayton,52,60
257,3,8:30.0,Turnover by N. Vonleh (3 sec),,52,60
258,3,8:14.0,,T. Johnson misses 2-pt jump shot from 7 ft,52,60
259,3,8:10.0,Defensive rebound by N. Vonleh,,52,60
260,3,8:09.0,Shooting foul by D. Bender (drawn by D. Jordan),,52,60
261,3,8:09.0,D. Jordan makes free throw 1 of 2,,53,60
262,3,8:09.0,D. Jordan makes free throw 2 of 2,,54,60
263,3,7:52.0,,D. Bender misses 3-pt jump shot from 25 ft,54,60
264,3,7:49.0,Defensive rebound by D. Dotson,,54,60
265,3,7:42.0,D. Dotson makes 2-pt layup at rim,,56,60
266,3,7:42.0,,Phoenix full timeout,56,60
267,3,7:22.0,,D. Bender misses 3-pt jump shot from 23 ft,56,60
268,3,7:19.0,Defensive rebound by D. Jordan,,56,60
269,3,7:03.0,Shooting foul by D. Bender (drawn by D. Jordan),,56,60
270,3,7:03.0,D. Jordan misses free throw 1 of 2,,56,60
271,3,7:03.0,Offensive rebound by Team,,56,60
272,3,7:03.0,D. Jordan makes free throw 2 of 2,,57,60
273,3,6:48.0,,D. Booker makes 2-pt jump shot from 10 ft,57,62
274,3,6:34.0,D. Smith misses 3-pt jump shot from 27 ft,,57,62
275,3,6:30.0,,Defensive rebound by K. Oubre,57,62
276,3,6:24.0,,K. Oubre makes 2-pt jump shot from 14 ft,57,64
277,3,6:07.0,K. Knox misses 2-pt jump shot from 20 ft,,57,64
278,3,6:05.0,,Defensive rebound by T. Johnson,57,64
279,3,5:55.0,,Shooting foul by D. Smith (drawn by D. Booker),57,64
280,3,5:55.0,,D. Booker makes free throw 1 of 2,57,65
281,3,5:55.0,M. Robinson enters the game for D. Jordan,,57,65
282,3,5:55.0,,M. Bridges enters the game for D. Bender,57,65
283,3,5:55.0,,D. Booker makes free throw 2 of 2,57,66
284,3,5:45.0,Shooting foul by M. Bridges (drawn by K. Knox),,57,66
285,3,5:45.0,K. Knox misses free throw 1 of 2,,57,66
286,3,5:45.0,Offensive rebound by Team,,57,66
287,3,5:45.0,,J. Jackson enters the game for M. Bridges,57,66
288,3,5:45.0,K. Knox makes free throw 2 of 2,,58,66
289,3,5:31.0,,K. Oubre makes 3-pt jump shot from 23 ft (assist by D. Booker),58,69
290,3,5:11.0,D. Smith misses 2-pt jump shot from 11 ft,,58,69
291,3,5:05.0,,Defensive rebound by D. Booker,58,69
292,3,5:02.0,,Shooting foul by N. Vonleh (drawn by J. Jackson),58,69
293,3,5:02.0,,J. Jackson makes free throw 1 of 2,58,70
294,3,5:02.0,E. Mudiay enters the game for K. Knox,,58,70
295,3,5:02.0,A. Trier enters the game for D. Smith,,58,70
296,3,5:02.0,,J. Jackson makes free throw 2 of 2,58,71
297,3,4:51.0,Offensive foul by N. Vonleh (drawn by J. Jackson),,58,71
298,3,4:51.0,Turnover by N. Vonleh (offensive foul),,58,71
299,3,4:36.0,,D. Booker misses 2-pt jump shot from 7 ft (block by M. Robinson),58,71
300,3,4:33.0,Defensive rebound by D. Dotson,,58,71
301,3,4:26.0,M. Robinson misses 2-pt layup from 1 ft,,58,71
302,3,4:26.0,,Defensive rebound by Team,58,71
303,3,4:26.0,Loose ball foul by M. Robinson (drawn by T. Johnson),,58,71
304,3,4:26.0,H. Ellenson enters the game for N. Vonleh,,58,71
305,3,4:26.0,,T. Daniels enters the game for T. Johnson,58,71
306,3,4:11.0,,J. Jackson misses 2-pt layup from 4 ft,58,71
307,3,4:09.0,Defensive rebound by M. Robinson,,58,71
308,3,4:04.0,Personal foul by K. Oubre (drawn by A. Trier),,58,71
309,3,4:04.0,A. Trier makes free throw 1 of 2,,59,71
310,3,4:04.0,A. Trier makes free throw 2 of 2,,60,71
311,3,3:44.0,,J. Jackson misses 2-pt dunk from 2 ft (block by M. Robinson),60,71
312,3,3:41.0,Defensive rebound by M. Robinson,,60,71
313,3,3:39.0,A. Trier misses 2-pt layup from 3 ft (block by R. Holmes),,60,71
314,3,3:39.0,,Defensive rebound by Team,60,71
315,3,3:25.0,,R. Holmes makes 2-pt layup from 1 ft (assist by D. Booker),60,73
316,3,3:12.0,Offensive foul by A. Trier (drawn by D. Booker),,60,73
317,3,3:12.0,Turnover by A. Trier (offensive foul),,60,73
318,3,3:12.0,D. Smith enters the game for D. Dotson,,60,73
319,3,2:54.0,,K. Oubre misses 2-pt jump shot from 15 ft,60,73
320,3,2:52.0,Defensive rebound by M. Robinson,,60,73
321,3,2:38.0,H. Ellenson misses 2-pt hook shot from 5 ft,,60,73
322,3,2:38.0,,Defensive rebound by Team,60,73
323,3,2:24.0,,Personal foul by M. Robinson (drawn by K. Oubre),60,73
324,3,2:16.0,,Turnover by J. Jackson (traveling),60,73
325,3,2:05.0,M. Robinson misses 2-pt layup from 3 ft,,60,73
326,3,2:04.0,Offensive rebound by M. Robinson,,60,73
327,3,2:03.0,M. Robinson makes 2-pt dunk from 1 ft,,62,73
328,3,1:49.0,,T. Daniels misses 3-pt jump shot from 26 ft,62,73
329,3,1:47.0,Defensive rebound by H. Ellenson,,62,73
330,3,1:36.0,H. Ellenson misses 2-pt layup from 1 ft (block by K. Oubre),,62,73
331,3,1:36.0,Offensive rebound by Team,,62,73
332,3,1:36.0,,J. Crawford enters the game for D. Booker,62,73
333,3,1:26.0,E. Mudiay misses 2-pt jump shot from 16 ft,,62,73
334,3,1:25.0,,Defensive rebound by K. Oubre,62,73
335,3,1:21.0,,K. Oubre misses 2-pt dunk from 1 ft,62,73
336,3,1:21.0,,Offensive rebound by Team,62,73
337,3,1:21.0,K. Knox enters the game for H. Ellenson,,62,73
338,3,1:14.0,,K. Oubre makes 2-pt layup from 1 ft (assist by J. Crawford),62,75
339,3,1:14.0,,Shooting foul by K. Knox (drawn by K. Oubre),62,75
340,3,1:14.0,,K. Oubre makes free throw 1 of 1,62,76
341,3,1:04.0,Turnover by E. Mudiay (bad pass; steal by R. Holmes),,62,76
342,3,0:53.0,,R. Holmes makes 2-pt dunk at rim (assist by T. Daniels),62,78
343,3,0:53.0,New York full timeout,,62,78
344,3,0:53.0,L. Thomas enters the game for K. Knox,,62,78
345,3,0:38.0,D. Smith misses 2-pt jump shot from 10 ft,,62,78
346,3,0:36.0,,Defensive rebound by T. Daniels,62,78
347,3,0:31.0,,T. Daniels makes 3-pt jump shot from 27 ft,62,81
348,3,0:15.0,A. Trier makes 2-pt jump shot from 16 ft,,64,81
349,3,0:03.0,,T. Daniels misses 3-pt jump shot from 25 ft,64,81
350,3,0:00.0,Defensive rebound by D. Smith,,64,81
351,4,11:44.0,L. Thomas misses 2-pt layup from 1 ft,,64,81
352,4,11:40.0,,Defensive rebound by T. Daniels,64,81
353,4,11:33.0,,T. Daniels makes 2-pt jump shot from 22 ft (assist by J. Crawford),64,83
354,4,11:16.0,D. Smith makes 2-pt jump shot from 11 ft,,66,83
355,4,10:54.0,,R. Holmes makes 2-pt dunk from 1 ft (assist by T. Daniels),66,85
356,4,10:30.0,D. Smith makes 2-pt jump shot from 20 ft,,68,85
357,4,10:08.0,,J. Jackson misses 2-pt hook shot from 5 ft,68,85
358,4,10:04.0,Defensive rebound by L. Thomas,,68,85
359,4,9:54.0,L. Thomas makes 2-pt jump shot from 9 ft (assist by A. Trier),,70,85
360,4,9:35.0,,K. Oubre makes 2-pt jump shot from 7 ft,70,87
361,4,9:12.0,A. Trier misses 2-pt jump shot from 19 ft,,70,87
362,4,9:12.0,,Defensive rebound by R. Holmes,70,87
363,4,9:00.0,,Turnover by R. Holmes (turnover),70,87
364,4,9:00.0,,Loose ball foul by R. Holmes (drawn by E. Mudiay),70,87
365,4,9:00.0,D. Dotson enters the game for E. Mudiay,,70,87
366,4,9:00.0,,M. Bridges enters the game for J. Jackson,70,87
367,4,8:49.0,D. Smith makes 3-pt jump shot from 25 ft (assist by D. Dotson),,73,87
368,4,8:24.0,,T. Daniels misses 3-pt jump shot from 26 ft (block by M. Robinson),73,87
369,4,8:20.0,Defensive rebound by A. Trier,,73,87
370,4,8:13.0,D. Smith misses 3-pt jump shot from 25 ft,,73,87
371,4,8:09.0,Offensive rebound by M. Robinson,,73,87
372,4,8:07.0,M. Robinson misses 2-pt layup from 1 ft (block by T. Daniels),,73,87
373,4,8:07.0,,Defensive rebound by T. Daniels,73,87
374,4,7:54.0,,K. Oubre makes 3-pt jump shot from 25 ft,73,90
375,4,7:51.0,New York full timeout,,73,90
376,4,7:51.0,N. Vonleh enters the game for L. Thomas,,73,90
377,4,7:51.0,,D. Ayton enters the game for J. Crawford,73,90
378,4,7:51.0,,D. Booker enters the game for R. Holmes,73,90
379,4,7:51.0,,T. Johnson enters the game for K. Oubre,73,90
380,4,7:33.0,M. Robinson misses 2-pt layup at rim (block by T. Daniels),,73,90
381,4,7:30.0,,Defensive rebound by D. Booker,73,90
382,4,7:14.0,,D. Ayton makes 2-pt jump shot from 15 ft (assist by T. Johnson),73,92
383,4,6:56.0,D. Dotson makes 3-pt jump shot from 25 ft (assist by N. Vonleh),,76,92
384,4,6:39.0,,T. Johnson makes 3-pt jump shot from 25 ft,76,95
385,4,6:17.0,A. Trier misses 3-pt jump shot from 23 ft,,76,95
386,4,6:17.0,,Defensive rebound by T. Johnson,76,95
