,QUARTER,TIME_REMAINING,NEW YORK_ACTION,GOLDEN STATE_ACTION,NEW YORK_SCORE,GOLDEN STATE_SCORE
105,2,11:19.0,K. Knox misses 3-pt jump shot from 23 ft,,28,31
106,2,11:17.0,,Defensive rebound by Team,28,31
107,2,11:07.0,,A. Iguodala misses 3-pt jump shot from 26 ft,28,31
108,2,11:05.0,,Offensive rebound by D. Green,28,31
109,2,11:02.0,,J. Jerebko makes 2-pt layup from 2 ft (assist by D. Green),28,33
110,2,10:41.0,K. Knox misses 2-pt layup from 10 ft,,28,33
111,2,10:40.0,Offensive rebound by E. Freedom,,28,33
112,2,10:40.0,E. Freedom makes 2-pt layup at rim,,30,33
113,2,10:26.0,,S. Curry misses 3-pt jump shot from 26 ft,30,33
114,2,10:24.0,Defensive rebound by D. Dotson,,30,33
115,2,10:21.0,A. Trier makes 3-pt jump shot from 25 ft (assist by D. Dotson),,33,33
116,2,10:02.0,,S. Curry misses 2-pt layup from 2 ft,33,33
117,2,10:01.0,Defensive rebound by E. Freedom,,33,33
118,2,9:56.0,T. Burke misses 2-pt layup from 4 ft,,33,33
119,2,9:55.0,Offensive rebound by E. Freedom,,33,33
120,2,9:50.0,E. Freedom makes 2-pt layup at rim,,35,33
121,2,9:49.0,,Personal foul by E. Freedom (drawn by D. Green),35,33
122,2,9:49.0,Violation by Team (delay of game),,35,33
123,2,9:42.0,,A. McKinnie makes 3-pt jump shot from 26 ft (assist by S. Curry),35,36
124,2,9:22.0,E. Freedom makes 2-pt layup from 2 ft (assist by T. Burke),,37,36
125,2,9:17.0,,Personal foul by D. Dotson (drawn by A. Iguodala),37,36
126,2,9:10.0,,S. Curry makes 3-pt jump shot from 28 ft (assist by J. Jerebko),37,39
127,2,8:46.0,Turnover by E. Freedom (lost ball; steal by A. Iguodala),,37,39
128,2,8:40.0,,A. Iguodala makes 2-pt dunk from 1 ft (assist by S. Curry),37,41
129,2,8:23.0,K. Knox makes 2-pt jump shot from 21 ft (assist by E. Freedom),,39,41
130,2,8:10.0,,S. Curry misses 3-pt jump shot from 26 ft,39,41
131,2,8:08.0,,Offensive rebound by D. Green,39,41
132,2,8:06.0,,Turnover by A. McKinnie (traveling),39,41
133,2,8:06.0,,K. Looney enters the game for D. Green,39,41
134,2,7:55.0,T. Burke misses 2-pt jump shot from 21 ft,,39,41
135,2,7:54.0,,Defensive rebound by J. Jerebko,39,41
136,2,7:31.0,,S. Curry makes 2-pt layup from 10 ft,39,43
137,2,7:15.0,Shooting foul by S. Curry (drawn by T. Burke),,39,43
138,2,7:15.0,T. Burke makes free throw 1 of 2,,40,43
139,2,7:15.0,M. Hezonja enters the game for D. Dotson,,40,43
140,2,7:15.0,E. Mudiay enters the game for A. Trier,,40,43
141,2,7:15.0,,K. Thompson enters the game for A. Iguodala,40,43
142,2,7:15.0,T. Burke makes free throw 2 of 2,,41,43
143,2,7:03.0,,K. Thompson misses 2-pt jump shot from 12 ft,41,43
144,2,7:02.0,,Offensive rebound by A. McKinnie,41,43
145,2,6:55.0,,K. Thompson misses 3-pt jump shot from 27 ft,41,43
146,2,6:53.0,,Offensive rebound by A. McKinnie,41,43
147,2,6:53.0,,A. McKinnie makes 2-pt dunk from 1 ft,41,45
148,2,6:40.0,M. Hezonja misses 2-pt jump shot from 7 ft (block by K. Thompson),,41,45
149,2,6:39.0,,Defensive rebound by J. Jerebko,41,45
150,2,6:33.0,,S. Curry misses 2-pt layup from 2 ft,41,45
151,2,6:31.0,,Offensive rebound by J. Jerebko,41,45
152,2,6:31.0,,J. Jerebko makes 2-pt dunk from 1 ft,41,47
153,2,6:21.0,New York full timeout,,41,47
154,2,6:21.0,T. Hardaway enters the game for T. Burke,,41,47
155,2,6:21.0,,Q. Cook enters the game for S. Curry,41,47
156,2,6:21.0,,K. Durant enters the game for J. Jerebko,41,47
157,2,6:09.0,E. Freedom makes 2-pt layup from 2 ft (assist by E. Mudiay),,43,47
158,2,5:52.0,,Q. Cook misses 3-pt jump shot from 27 ft,43,47
159,2,5:50.0,Defensive rebound by K. Knox,,43,47
160,2,5:42.0,E. Mudiay misses 2-pt jump shot from 8 ft,,43,47
161,2,5:40.0,,Defensive rebound by A. McKinnie,43,47
162,2,5:24.0,,Personal foul by K. Knox (drawn by K. Durant),43,47
163,2,5:24.0,N. Vonleh enters the game for K. Knox,,43,47
164,2,5:15.0,,Personal foul by M. Hezonja (drawn by K. Looney),43,47
165,2,5:02.0,,Shooting foul by N. Vonleh (drawn by K. Durant),43,47
166,2,5:02.0,,K. Durant makes free throw 1 of 2,43,48
167,2,5:02.0,D. Dotson enters the game for M. Hezonja,,43,48
168,2,5:02.0,,K. Durant misses free throw 2 of 2,43,48
169,2,5:00.0,Defensive rebound by N. Vonleh,,43,48
170,2,4:48.0,T. Hardaway misses 2-pt jump shot from 20 ft,,43,48
171,2,4:45.0,,Defensive rebound by K. Looney,43,48
172,2,4:38.0,,K. Thompson misses 3-pt jump shot from 26 ft,43,48
173,2,4:36.0,Defensive rebound by E. Freedom,,43,48
174,2,4:23.0,Turnover by T. Hardaway (bad pass),,43,48
175,2,4:11.0,,K. Durant misses 3-pt jump shot from 27 ft,43,48
176,2,4:09.0,Defensive rebound by E. Freedom,,43,48
177,2,3:52.0,N. Vonleh makes 2-pt hook shot from 8 ft,,45,48
178,2,3:52.0,Shooting foul by K. Looney (drawn by N. Vonleh),,45,48
179,2,3:52.0,K. Knox enters the game for E. Freedom,,45,48
180,2,3:52.0,,S. Curry enters the game for Q. Cook,45,48
181,2,3:52.0,,D. Green enters the game for K. Looney,45,48
182,2,3:52.0,,A. Iguodala enters the game for A. McKinnie,45,48
183,2,3:52.0,N. Vonleh makes free throw 1 of 1,,46,48
184,2,3:39.0,,K. Durant misses 2-pt jump shot from 17 ft,46,48
185,2,3:38.0,Defensive rebound by N. Vonleh,,46,48
186,2,3:27.0,D. Dotson misses 2-pt jump shot from 20 ft,,46,48
187,2,3:26.0,,Defensive rebound by A. Iguodala,46,48
188,2,3:20.0,,Turnover by K. Durant (bad pass; steal by E. Mudiay),46,48
189,2,3:15.0,Shooting foul by A. Iguodala (drawn by E. Mudiay),,46,48
190,2,3:15.0,E. Mudiay misses free throw 1 of 2,,46,48
191,2,3:15.0,Offensive rebound by Team,,46,48
192,2,3:15.0,E. Mudiay makes free throw 2 of 2,,47,48
193,2,3:06.0,,Turnover by S. Curry (lost ball; steal by D. Dotson),47,48
194,2,3:02.0,T. Hardaway makes 2-pt layup from 2 ft (assist by N. Vonleh),,49,48
195,2,3:02.0,,Golden State full timeout,49,48
196,2,2:47.0,,Def 3 sec tech foul by Team,49,48
