,QUARTER,TIME_REMAINING,MEMPHIS_ACTION,NEW YORK_ACTION,MEMPHIS_SCORE,NEW YORK_SCORE
74,1,3:29.0,M. Gasol makes 2-pt jump shot from 4 ft (assist by S. Mack),,17,17
75,1,3:04.0,,L. Kornet misses 3-pt jump shot from 28 ft,17,17
76,1,3:00.0,Defensive rebound by J. Green,,17,17
77,1,2:38.0,J. Jackson makes 2-pt jump shot from 11 ft (assist by S. Mack),,19,17
78,1,2:15.0,,L. Kornet makes 2-pt dunk from 2 ft (assist by N. Vonleh),19,19
79,1,2:12.0,Memphis full timeout,,19,19
80,1,2:12.0,J. Carter enters the game for M. Gasol,,19,19
81,1,2:12.0,J. Noah enters the game for J. Holiday,,19,19
82,1,2:12.0,I. Rabb enters the game for J. Jackson,,19,19
83,1,2:12.0,,M. Hezonja enters the game for K. Knox,19,19
84,1,2:12.0,,A. Trier enters the game for N. Vonleh,19,19
85,1,2:05.0,J. Green misses 2-pt layup from 3 ft (block by L. Kornet),,19,19
86,1,2:02.0,,Defensive rebound by A. Trier,19,19
87,1,1:49.0,,W. Matthews misses 3-pt jump shot from 26 ft,19,19
88,1,1:47.0,Defensive rebound by J. Carter,,19,19
89,1,1:39.0,S. Mack misses 2-pt jump shot from 6 ft,,19,19
90,1,1:36.0,,Defensive rebound by W. Matthews,19,19
91,1,1:33.0,,K. Allen misses 2-pt layup from 7 ft (block by J. Carter),19,19
92,1,1:32.0,Defensive rebound by Team,,19,19
93,1,1:16.0,J. Carter misses 2-pt jump shot from 19 ft,,19,19
94,1,1:11.0,,Defensive rebound by M. Hezonja,19,19
95,1,1:08.0,,Turnover by M. Hezonja (out of bounds lost ball),19,19
96,1,0:46.0,S. Mack misses 3-pt jump shot from 24 ft,,19,19
97,1,0:43.0,,Defensive rebound by M. Hezonja,19,19
98,1,0:25.0,,Turnover by M. Hezonja (step out of bounds),19,19
99,1,0:25.0,M. Conley enters the game for I. Rabb,,19,19
100,1,0:06.0,S. Mack misses 3-pt jump shot from 25 ft,,19,19
101,1,0:05.0,Offensive rebound by J. Green,,19,19
102,1,0:04.0,J. Green misses 2-pt layup from 1 ft,,19,19
103,1,0:04.0,,Defensive rebound by K. Allen,19,19
104,1,0:00.0,,M. Hezonja makes 3-pt jump shot from 26 ft (assist by K. Allen),19,22
105,2,11:44.0,,M. Hezonja misses 2-pt layup from 6 ft (block by J. Noah),19,22
106,2,11:41.0,,Offensive rebound by M. Hezonja,19,22
107,2,11:38.0,,M. Hezonja misses 3-pt jump shot from 26 ft,19,22
108,2,11:38.0,Defensive rebound by I. Rabb,,19,22
109,2,11:19.0,J. Noah makes 2-pt layup from 2 ft (assist by I. Rabb),,21,22
110,2,10:53.0,,W. Matthews misses 3-pt jump shot from 23 ft,21,22
111,2,10:50.0,Defensive rebound by S. Mack,,21,22
112,2,10:39.0,I. Rabb misses 2-pt layup from 3 ft,,21,22
113,2,10:37.0,,Defensive rebound by L. Kornet,21,22
114,2,10:31.0,,L. Kornet makes 3-pt jump shot from 27 ft (assist by K. Allen),21,25
115,2,10:18.0,J. Noah misses 2-pt layup from 7 ft (block by L. Kornet),,21,25
116,2,10:16.0,,Defensive rebound by L. Kornet,21,25
117,2,10:13.0,,A. Trier misses 2-pt layup from 1 ft,21,25
118,2,10:11.0,Defensive rebound by I. Rabb,,21,25
119,2,9:54.0,I. Rabb misses 2-pt layup from 2 ft (block by K. Allen),,21,25
120,2,9:54.0,Offensive rebound by Team,,21,25
121,2,9:54.0,B. Caboclo enters the game for S. Mack,,21,25
122,2,9:54.0,,D. Jordan enters the game for L. Kornet,21,25
123,2,9:51.0,J. Carter misses 2-pt jump shot from 11 ft,,21,25
124,2,9:48.0,,Defensive rebound by D. Jordan,21,25
125,2,9:31.0,,Turnover by D. Jordan (bad pass),21,25
126,2,9:31.0,S. Mack enters the game for J. Green,,21,25
127,2,9:22.0,B. Caboclo misses 3-pt jump shot from 25 ft,,21,25
128,2,9:15.0,,Defensive rebound by M. Hezonja,21,25
129,2,9:13.0,,M. Hezonja makes 2-pt layup from 1 ft,21,27
130,2,9:10.0,Memphis full timeout,,21,27
131,2,9:10.0,,D. Smith enters the game for K. Allen,21,27
132,2,8:55.0,I. Rabb makes 2-pt layup from 3 ft (assist by J. Noah),,23,27
133,2,8:38.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Smith),23,29
134,2,8:26.0,I. Rabb misses 2-pt jump shot from 7 ft,,23,29
135,2,8:21.0,,Defensive rebound by D. Smith,23,29
136,2,8:14.0,,W. Matthews misses 3-pt jump shot from 26 ft,23,29
137,2,8:11.0,Defensive rebound by J. Carter,,23,29
138,2,8:02.0,Turnover by J. Noah (lost ball; steal by D. Jordan),,23,29
139,2,8:02.0,,Personal foul by J. Noah (drawn by W. Matthews),23,29
140,2,7:52.0,,Shooting foul by S. Mack (drawn by D. Smith),23,29
141,2,7:52.0,J. Holiday enters the game for J. Carter,,23,29
142,2,7:52.0,,D. Smith misses free throw 1 of 2,23,29
143,2,7:52.0,,Offensive rebound by Team,23,29
144,2,7:52.0,,D. Smith makes free throw 2 of 2,23,30
145,2,7:37.0,I. Rabb makes 2-pt hook shot from 6 ft,,25,30
146,2,7:27.0,,Shooting foul by J. Noah (drawn by D. Jordan),25,30
147,2,7:27.0,,D. Jordan misses free throw 1 of 2,25,30
148,2,7:27.0,,Offensive rebound by Team,25,30
149,2,7:27.0,,N. Vonleh enters the game for M. Hezonja,25,30
150,2,7:27.0,,D. Jordan makes free throw 2 of 2,25,31
151,2,7:06.0,I. Rabb misses 2-pt jump shot from 12 ft,,25,31
152,2,7:02.0,,Defensive rebound by D. Jordan,25,31
153,2,6:57.0,,D. Smith makes 2-pt layup from 1 ft,25,33
154,2,6:40.0,J. Noah misses 2-pt layup from 1 ft,,25,33
155,2,6:40.0,,Defensive rebound by Team,25,33
156,2,6:40.0,M. Conley enters the game for S. Mack,,25,33
157,2,6:40.0,M. Gasol enters the game for J. Noah,,25,33
158,2,6:40.0,J. Jackson enters the game for I. Rabb,,25,33
159,2,6:24.0,,W. Matthews misses 3-pt jump shot from 25 ft,25,33
160,2,6:21.0,Defensive rebound by J. Holiday,,25,33
161,2,6:08.0,J. Jackson misses 2-pt jump shot from 11 ft,,25,33
162,2,6:06.0,,Defensive rebound by D. Jordan,25,33
163,2,6:00.0,,D. Smith misses 2-pt jump shot from 23 ft,25,33
