,QUARTER,TIME_REMAINING,NEW YORK_ACTION,TORONTO_ACTION,NEW YORK_SCORE,TORONTO_SCORE
182,2,5:23.0,New York full timeout,,40,48
183,2,5:23.0,,S. Ibaka enters the game for J. Valančiūnas,40,48
184,2,5:09.0,T. Hardaway makes 2-pt jump shot from 10 ft,,42,48
185,2,4:51.0,,Turnover by P. Siakam (lost ball; steal by D. Dotson),42,48
186,2,4:43.0,D. Dotson misses 3-pt jump shot from 23 ft,,42,48
187,2,4:43.0,Offensive rebound by Team,,42,48
188,2,4:43.0,,Loose ball foul by P. Siakam (drawn by M. Robinson),42,48
189,2,4:43.0,M. Robinson misses free throw 1 of 2,,42,48
190,2,4:43.0,Offensive rebound by Team,,42,48
191,2,4:43.0,M. Robinson misses free throw 2 of 2,,42,48
192,2,4:41.0,,Defensive rebound by P. Siakam,42,48
193,2,4:26.0,,S. Ibaka misses 2-pt jump shot from 15 ft,42,48
194,2,4:21.0,Defensive rebound by D. Dotson,,42,48
195,2,4:15.0,F. Ntilikina misses 2-pt jump shot from 8 ft,,42,48
196,2,4:09.0,,Defensive rebound by S. Ibaka,42,48
197,2,4:01.0,,P. Siakam makes 3-pt jump shot from 25 ft (assist by K. Leonard),42,51
198,2,3:45.0,T. Hardaway misses 3-pt jump shot from 24 ft,,42,51
199,2,3:42.0,,Defensive rebound by S. Ibaka,42,51
200,2,3:37.0,,Personal foul by T. Hardaway (drawn by K. Leonard),42,51
201,2,3:37.0,,D. Green enters the game for D. Wright,42,51
202,2,3:36.0,,Shooting foul by D. Dotson (drawn by K. Leonard),42,51
203,2,3:36.0,,K. Leonard makes free throw 1 of 2,42,52
204,2,3:36.0,,K. Leonard misses free throw 2 of 2,42,52
205,2,3:32.0,Defensive rebound by F. Ntilikina,,42,52
206,2,3:18.0,D. Dotson makes 2-pt jump shot from 11 ft (assist by F. Ntilikina),,44,52
207,2,3:09.0,,S. Ibaka makes 2-pt layup from 2 ft (assist by K. Lowry),44,54
208,2,2:50.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,44,54
209,2,2:45.0,Offensive rebound by D. Dotson,,44,54
210,2,2:44.0,D. Dotson misses 2-pt layup from 3 ft,,44,54
211,2,2:43.0,,Defensive rebound by S. Ibaka,44,54
212,2,2:43.0,,Shooting foul by F. Ntilikina (drawn by K. Leonard),44,54
213,2,2:43.0,,K. Leonard misses free throw 1 of 2,44,54
214,2,2:43.0,,Offensive rebound by Team,44,54
215,2,2:43.0,,K. Leonard makes free throw 2 of 2,44,55
216,2,2:22.0,F. Ntilikina misses 3-pt jump shot from 25 ft,,44,55
217,2,2:20.0,Offensive rebound by Team,,44,55
218,2,2:20.0,,Loose ball foul by P. Siakam (drawn by N. Vonleh),44,55
219,2,2:20.0,N. Vonleh makes free throw 1 of 2,,45,55
220,2,2:20.0,N. Vonleh makes free throw 2 of 2,,46,55
221,2,2:02.0,,S. Ibaka misses 2-pt hook shot from 8 ft,46,55
222,2,1:58.0,Defensive rebound by M. Robinson,,46,55
223,2,1:39.0,T. Hardaway makes 2-pt jump shot from 21 ft (assist by N. Vonleh),,48,55
224,2,1:20.0,,P. Siakam misses 3-pt jump shot from 26 ft,48,55
225,2,1:16.0,Defensive rebound by D. Dotson,,48,55
226,2,1:10.0,M. Robinson misses 2-pt dunk from 1 ft,,48,55
227,2,1:06.0,,Defensive rebound by K. Leonard,48,55
228,2,1:00.0,,K. Lowry makes 2-pt layup from 2 ft (assist by P. Siakam),48,57
229,2,0:54.0,T. Hardaway makes 2-pt layup from 3 ft,,50,57
230,2,0:45.0,,K. Leonard makes 2-pt layup from 2 ft (assist by P. Siakam),50,59
231,2,0:31.0,T. Hardaway makes 3-pt jump shot from 24 ft,,53,59
232,2,0:28.0,,K. Lowry makes 2-pt jump shot from 9 ft,53,61
233,2,0:28.0,,Shooting foul by F. Ntilikina (drawn by K. Lowry),53,61
234,2,0:28.0,K. Knox enters the game for F. Ntilikina,,53,61
235,2,0:28.0,A. Trier enters the game for N. Vonleh,,53,61
236,2,0:28.0,,F. VanVleet enters the game for P. Siakam,53,61
237,2,0:28.0,,K. Lowry makes free throw 1 of 1,53,62
238,2,0:09.0,Turnover by T. Hardaway (lost ball; steal by D. Green),,53,62
239,2,0:09.0,,Personal foul by T. Hardaway (drawn by K. Leonard),53,62
240,2,0:09.0,,K. Leonard makes free throw 1 of 2,53,63
241,2,0:09.0,,K. Leonard makes free throw 2 of 2,53,64
242,2,0:00.0,D. Dotson misses 3-pt jump shot from 25 ft,,53,64
243,2,0:00.0,Offensive rebound by Team,,53,64
244,3,11:44.0,D. Dotson makes 2-pt jump shot from 13 ft,,55,64
245,3,11:29.0,,K. Lowry misses 3-pt jump shot from 22 ft,55,64
246,3,11:22.0,Defensive rebound by N. Vonleh,,55,64
247,3,11:13.0,D. Dotson makes 3-pt jump shot from 25 ft (assist by T. Hardaway),,58,64
248,3,11:01.0,,P. Siakam makes 2-pt layup at rim,58,66
249,3,10:54.0,Personal foul by P. Siakam (drawn by N. Vonleh),,58,66
250,3,10:44.0,T. Hardaway makes 2-pt jump shot from 18 ft,,60,66
251,3,10:31.0,,Shooting foul by D. Dotson (drawn by K. Leonard),60,66
252,3,10:31.0,,K. Leonard makes free throw 1 of 2,60,67
253,3,10:31.0,,K. Leonard makes free throw 2 of 2,60,68
254,3,10:21.0,D. Dotson makes 2-pt layup from 2 ft,,62,68
255,3,10:04.0,,D. Green misses 3-pt jump shot from 23 ft,62,68
256,3,10:01.0,Defensive rebound by N. Vonleh,,62,68
257,3,9:58.0,F. Ntilikina makes 3-pt jump shot from 26 ft (assist by D. Dotson),,65,68
258,3,9:57.0,,Toronto full timeout,65,68
259,3,9:43.0,,S. Ibaka makes 2-pt jump shot from 13 ft (assist by K. Lowry),65,70
260,3,9:28.0,N. Vonleh makes 2-pt dunk from 1 ft (assist by F. Ntilikina),,67,70
261,3,9:15.0,,S. Ibaka misses 3-pt jump shot from 25 ft,67,70
262,3,9:11.0,Defensive rebound by N. Vonleh,,67,70
263,3,9:08.0,D. Dotson misses 3-pt jump shot from 26 ft,,67,70
264,3,9:07.0,,Defensive rebound by Team,67,70
265,3,8:57.0,,Turnover by K. Leonard (lost ball; steal by F. Ntilikina),67,70
266,3,8:51.0,D. Dotson makes 2-pt layup from 2 ft,,69,70
267,3,8:28.0,,S. Ibaka makes 2-pt jump shot from 21 ft (assist by K. Lowry),69,72
268,3,8:17.0,Turnover by F. Ntilikina (bad pass),,69,72
269,3,8:05.0,,S. Ibaka misses 2-pt jump shot from 16 ft,69,72
270,3,8:00.0,Defensive rebound by M. Robinson,,69,72
271,3,7:41.0,D. Dotson misses 2-pt layup from 3 ft,,69,72
272,3,7:39.0,,Defensive rebound by K. Leonard,69,72
273,3,7:33.0,,P. Siakam makes 2-pt layup from 1 ft (assist by K. Leonard),69,74
274,3,7:33.0,,Shooting foul by M. Robinson (drawn by P. Siakam),69,74
275,3,7:33.0,E. Mudiay enters the game for F. Ntilikina,,69,74
276,3,7:33.0,,P. Siakam makes free throw 1 of 1,69,75
277,3,7:17.0,Shooting foul by D. Green (drawn by T. Hardaway),,69,75
278,3,7:17.0,T. Hardaway makes free throw 1 of 2,,70,75
279,3,7:17.0,T. Hardaway misses free throw 2 of 2,,70,75
280,3,7:15.0,,Defensive rebound by K. Leonard,70,75
281,3,7:01.0,,S. Ibaka makes 3-pt jump shot from 26 ft (assist by K. Lowry),70,78
282,3,6:39.0,T. Hardaway makes 3-pt jump shot from 28 ft (assist by N. Vonleh),,73,78
283,3,6:32.0,,Personal foul by T. Hardaway (drawn by D. Green),73,78
284,3,6:14.0,,K. Leonard makes 2-pt jump shot from 16 ft,73,80
285,3,5:49.0,Turnover by E. Mudiay (bad pass; steal by D. Green),,73,80
286,3,5:45.0,,D. Green makes 3-pt jump shot from 24 ft,73,83
287,3,5:45.0,New York full timeout,,73,83
288,3,5:45.0,A. Trier enters the game for T. Hardaway,,73,83
289,3,5:32.0,M. Robinson makes 2-pt dunk from 2 ft (assist by A. Trier),,75,83
290,3,5:32.0,E. Freedom enters the game for M. Robinson,,75,83
291,3,5:02.0,,K. Leonard misses 3-pt jump shot from 25 ft,75,83
292,3,4:58.0,,Offensive rebound by P. Siakam,75,83
293,3,4:57.0,,P. Siakam makes 2-pt layup from 2 ft,75,85
294,3,4:37.0,Turnover by A. Trier (lost ball; steal by K. Leonard),,75,85
295,3,4:32.0,,K. Leonard misses 2-pt layup from 3 ft (block by A. Trier),75,85
296,3,4:31.0,,Offensive rebound by K. Leonard,75,85
297,3,4:31.0,,Shooting foul by E. Mudiay (drawn by K. Leonard),75,85
298,3,4:31.0,,K. Leonard makes free throw 1 of 2,75,86
299,3,4:31.0,,K. Leonard makes free throw 2 of 2,75,87
300,3,4:10.0,E. Mudiay misses 2-pt layup from 2 ft,,75,87
301,3,4:07.0,Offensive rebound by E. Freedom,,75,87
302,3,4:05.0,E. Freedom makes 2-pt jump shot from 20 ft,,77,87
303,3,3:53.0,,K. Lowry makes 3-pt jump shot from 25 ft,77,90
304,3,3:36.0,D. Dotson misses 2-pt jump shot from 16 ft,,77,90
305,3,3:32.0,,Defensive rebound by K. Lowry,77,90
306,3,3:28.0,,D. Green misses 3-pt jump shot from 26 ft,77,90
307,3,3:24.0,,Offensive rebound by K. Leonard,77,90
308,3,3:22.0,,P. Siakam makes 3-pt jump shot from 25 ft (assist by K. Leonard),77,93
309,3,3:00.0,Personal foul by S. Ibaka (drawn by E. Freedom),,77,93
310,3,3:00.0,M. Hezonja enters the game for D. Dotson,,77,93
311,3,3:00.0,K. Knox enters the game for N. Vonleh,,77,93
312,3,3:00.0,,O. Anunoby enters the game for K. Leonard,77,93
313,3,2:46.0,Turnover by M. Hezonja (bad pass),,77,93
314,3,2:40.0,,Turnover by D. Green (traveling),77,93
315,3,2:26.0,K. Knox makes 3-pt jump shot from 25 ft (assist by A. Trier),,80,93
316,3,2:14.0,,Shooting foul by E. Freedom (drawn by S. Ibaka),80,93
317,3,2:14.0,,S. Ibaka makes free throw 1 of 2,80,94
318,3,2:14.0,,F. VanVleet enters the game for D. Green,80,94
319,3,2:14.0,,D. Wright enters the game for K. Lowry,80,94
320,3,2:14.0,,S. Ibaka misses free throw 2 of 2,80,94
321,3,2:12.0,Defensive rebound by E. Freedom,,80,94
322,3,2:02.0,Personal foul by S. Ibaka (drawn by E. Freedom),,80,94
323,3,2:02.0,,J. Valančiūnas enters the game for S. Ibaka,80,94
324,3,1:53.0,K. Knox misses 2-pt jump shot from 17 ft,,80,94
325,3,1:50.0,,Defensive rebound by P. Siakam,80,94
326,3,1:28.0,,O. Anunoby misses 3-pt jump shot from 24 ft (block by E. Mudiay),80,94
327,3,1:21.0,Defensive rebound by E. Mudiay,,80,94
328,3,1:19.0,E. Mudiay misses 2-pt layup from 1 ft,,80,94
329,3,1:19.0,,Defensive rebound by F. VanVleet,80,94
