,QUARTER,TIME_REMAINING,UTAH_ACTION,PHILADELPHIA_ACTION,UTAH_SCORE,PHILADELPHIA_SCORE
28,1,8:18.0,,J. Embiid misses 2-pt jump shot from 3 ft,7,5
29,1,8:15.0,Defensive rebound by R. Rubio,,7,5
30,1,8:01.0,D. Favors misses 2-pt jump shot from 13 ft,,7,5
31,1,7:59.0,,Defensive rebound by D. Šarić,7,5
32,1,7:54.0,,R. Covington misses 3-pt jump shot from 25 ft,7,5
33,1,7:50.0,Defensive rebound by J. Ingles,,7,5
34,1,7:38.0,D. Favors misses 2-pt layup from 2 ft,,7,5
35,1,7:36.0,,Defensive rebound by J. Embiid,7,5
36,1,7:32.0,,Offensive foul by B. Simmons (drawn by R. Rubio),7,5
37,1,7:32.0,,Turnover by B. Simmons (offensive foul),7,5
38,1,7:32.0,,T. McConnell enters the game for D. Šarić,7,5
39,1,7:32.0,,A. Johnson enters the game for J. Embiid,7,5
40,1,7:20.0,Offensive foul by D. Favors (drawn by R. Covington),,7,5
41,1,7:20.0,Turnover by D. Favors (offensive foul),,7,5
42,1,7:20.0,,J. Bayless enters the game for J. Redick,7,5
43,1,7:20.0,R. Hood enters the game for R. Rubio,,7,5
44,1,7:20.0,T. Sefolosha enters the game for J. Jerebko,,7,5
45,1,7:12.0,,Turnover by R. Covington (traveling),7,5
46,1,6:56.0,D. Favors misses 2-pt jump shot from 6 ft,,7,5
47,1,6:54.0,,Defensive rebound by J. Bayless,7,5
48,1,6:39.0,,B. Simmons misses 2-pt hook shot from 8 ft,7,5
49,1,6:36.0,,Offensive rebound by A. Johnson,7,5
50,1,6:31.0,,T. McConnell makes 2-pt layup from 3 ft (assist by R. Covington),7,7
51,1,6:30.0,Utah full timeout,,7,7
52,1,6:30.0,,T. Luwawu-Cabarrot enters the game for B. Simmons,7,7
53,1,6:30.0,E. Udoh enters the game for D. Favors,,7,7
54,1,6:13.0,R. Hood misses 2-pt jump shot from 9 ft,,7,7
55,1,6:10.0,,Defensive rebound by A. Johnson,7,7
56,1,5:59.0,,T. Luwawu-Cabarrot misses 3-pt jump shot from 26 ft,7,7
57,1,5:56.0,Defensive rebound by R. Hood,,7,7
58,1,5:51.0,R. Hood misses 2-pt jump shot from 9 ft,,7,7
59,1,5:47.0,,Defensive rebound by J. Bayless,7,7
60,1,5:41.0,,R. Covington misses 3-pt jump shot from 25 ft (block by E. Udoh),7,7
61,1,5:41.0,,Offensive rebound by A. Johnson,7,7
62,1,5:34.0,,A. Johnson makes 2-pt layup from 2 ft,7,9
63,1,5:18.0,E. Udoh misses 2-pt hook shot from 9 ft,,7,9
64,1,5:14.0,,Defensive rebound by R. Covington,7,9
65,1,5:08.0,,T. McConnell makes 2-pt layup from 1 ft,7,11
66,1,4:49.0,R. Hood makes 2-pt layup from 1 ft,,9,11
67,1,4:30.0,,J. Bayless makes 2-pt layup from 1 ft (assist by T. Luwawu-Cabarrot),9,13
68,1,4:24.0,Shooting foul by R. Covington (drawn by D. Mitchell),,9,13
69,1,4:24.0,D. Mitchell makes free throw 1 of 2,,10,13
70,1,4:24.0,R. Neto enters the game for J. Ingles,,10,13
71,1,4:24.0,D. Mitchell makes free throw 2 of 2,,11,13
72,1,4:16.0,,T. McConnell makes 2-pt jump shot from 8 ft,11,15
73,1,3:59.0,E. Udoh misses 2-pt jump shot from 10 ft,,11,15
74,1,3:57.0,,Defensive rebound by A. Johnson,11,15
75,1,3:45.0,,Turnover by J. Bayless (bad pass; steal by R. Hood),11,15
76,1,3:28.0,R. Hood misses 3-pt jump shot from 25 ft,,11,15
77,1,3:25.0,,Defensive rebound by A. Johnson,11,15
78,1,3:17.0,,T. McConnell misses 2-pt layup from 4 ft (block by D. Mitchell),11,15
79,1,3:17.0,,Offensive rebound by Team,11,15
80,1,3:17.0,,Philadelphia full timeout,11,15
81,1,3:17.0,,J. Redick enters the game for J. Bayless,11,15
82,1,3:17.0,,J. Embiid enters the game for A. Johnson,11,15
83,1,3:17.0,,D. Šarić enters the game for R. Covington,11,15
84,1,3:17.0,A. Burks enters the game for D. Mitchell,,11,15
85,1,3:15.0,,T. Luwawu-Cabarrot makes 2-pt jump shot from 11 ft (assist by T. McConnell),11,17
86,1,2:54.0,A. Burks misses 2-pt jump shot from 6 ft,,11,17
87,1,2:54.0,,Defensive rebound by D. Šarić,11,17
88,1,2:39.0,,D. Šarić makes 2-pt layup from 5 ft,11,19
89,1,2:17.0,E. Udoh makes 2-pt layup from 3 ft (assist by R. Hood),,13,19
90,1,2:00.0,,J. Embiid makes 2-pt jump shot from 14 ft,13,21
91,1,1:37.0,A. Burks misses 2-pt jump shot from 16 ft,,13,21
92,1,1:35.0,,Defensive rebound by D. Šarić,13,21
93,1,1:27.0,,T. Luwawu-Cabarrot makes 2-pt layup from 2 ft (assist by D. Šarić),13,23
94,1,1:04.0,R. Hood misses 3-pt jump shot from 25 ft,,13,23
95,1,1:00.0,,Defensive rebound by D. Šarić,13,23
96,1,0:53.0,,J. Embiid misses 3-pt jump shot from 22 ft,13,23
97,1,0:49.0,Defensive rebound by T. Sefolosha,,13,23
98,1,0:40.0,Shooting foul by D. Šarić (drawn by T. Sefolosha),,13,23
99,1,0:40.0,T. Sefolosha makes free throw 1 of 2,,14,23
100,1,0:40.0,T. Sefolosha makes free throw 2 of 2,,15,23
101,1,0:31.0,,Shooting foul by R. Neto (drawn by T. McConnell),15,23
102,1,0:31.0,,T. McConnell makes free throw 1 of 2,15,24
103,1,0:31.0,,T. McConnell makes free throw 2 of 2,15,25
104,1,0:13.0,T. Sefolosha misses 3-pt jump shot from 26 ft,,15,25
105,1,0:10.0,,Defensive rebound by J. Embiid,15,25
106,1,0:01.0,,J. Embiid misses 3-pt jump shot from 24 ft,15,25
107,1,0:01.0,Defensive rebound by E. Udoh,,15,25
108,2,11:44.0,R. Hood misses 3-pt jump shot from 25 ft,,15,25
109,2,11:40.0,,Defensive rebound by B. Simmons,15,25
110,2,11:29.0,,Personal foul by R. Hood (drawn by B. Simmons),15,25
111,2,11:19.0,,J. Embiid misses 2-pt jump shot from 8 ft,15,25
112,2,11:13.0,Defensive rebound by A. Burks,,15,25
113,2,11:05.0,A. Burks misses 2-pt layup from 4 ft,,15,25
114,2,11:02.0,Offensive rebound by D. Favors,,15,25
115,2,11:01.0,D. Favors makes 2-pt layup from 2 ft,,17,25
116,2,10:54.0,,Shooting foul by R. Neto (drawn by J. Bayless),17,25
117,2,10:54.0,,J. Bayless misses free throw 1 of 2,17,25
118,2,10:54.0,,Offensive rebound by Team,17,25
119,2,10:54.0,R. Rubio enters the game for R. Neto,,17,25
120,2,10:54.0,,J. Bayless makes free throw 2 of 2,17,26
121,2,10:46.0,Personal foul by J. Bayless (drawn by R. Hood),,17,26
122,2,10:33.0,D. Favors makes 2-pt hook shot from 6 ft (assist by R. Hood),,19,26
123,2,10:25.0,,Turnover by J. Bayless (out of bounds lost ball),19,26
124,2,10:11.0,Turnover by R. Rubio (bad pass),,19,26
125,2,9:54.0,,D. Šarić misses 2-pt hook shot from 4 ft,19,26
126,2,9:52.0,Defensive rebound by R. Hood,,19,26
127,2,9:39.0,A. Burks misses 3-pt jump shot from 27 ft,,19,26
128,2,9:35.0,Offensive rebound by R. Hood,,19,26
129,2,9:29.0,D. Favors misses 2-pt layup from 2 ft,,19,26
130,2,9:29.0,Offensive rebound by A. Burks,,19,26
131,2,9:23.0,,R. Covington enters the game for T. Luwawu-Cabarrot,19,26
132,2,9:23.0,,T. McConnell enters the game for D. Šarić,19,26
133,2,9:23.0,J. Jerebko enters the game for T. Sefolosha,,19,26
134,2,9:13.0,Turnover by R. Rubio (bad pass; steal by R. Covington),,19,26
135,2,9:05.0,,J. Bayless misses 3-pt jump shot from 26 ft,19,26
136,2,9:02.0,Defensive rebound by R. Rubio,,19,26
137,2,8:51.0,R. Hood misses 2-pt jump shot from 18 ft,,19,26
138,2,8:51.0,,Defensive rebound by B. Simmons,19,26
139,2,8:44.0,,B. Simmons misses 2-pt jump shot from 6 ft,19,26
140,2,8:43.0,,Offensive rebound by J. Embiid,19,26
141,2,8:42.0,,J. Embiid makes 2-pt layup from 2 ft,19,28
142,2,8:42.0,,Shooting foul by D. Favors (drawn by J. Embiid),19,28
143,2,8:42.0,,J. Redick enters the game for J. Bayless,19,28
144,2,8:42.0,E. Udoh enters the game for R. Hood,,19,28
145,2,8:42.0,D. Mitchell enters the game for D. Favors,,19,28
146,2,8:42.0,,J. Embiid makes free throw 1 of 1,19,29
147,2,8:24.0,A. Burks misses 2-pt layup from 4 ft,,19,29
148,2,8:24.0,Offensive rebound by E. Udoh,,19,29
149,2,8:21.0,Personal foul by J. Redick (drawn by E. Udoh),,19,29
150,2,8:21.0,,A. Johnson enters the game for J. Embiid,19,29
151,2,8:14.0,D. Mitchell makes 2-pt jump shot from 16 ft,,21,29
152,2,8:00.0,,B. Simmons misses 2-pt layup from 4 ft,21,29
153,2,7:59.0,Defensive rebound by J. Jerebko,,21,29
154,2,7:54.0,A. Burks makes 2-pt layup from 3 ft (assist by R. Rubio),,23,29
155,2,7:54.0,,Philadelphia full timeout,23,29
156,2,7:40.0,,Personal foul by D. Mitchell (drawn by B. Simmons),23,29
157,2,7:26.0,,R. Covington misses 2-pt jump shot from 16 ft,23,29
158,2,7:23.0,Defensive rebound by A. Burks,,23,29
159,2,7:12.0,R. Rubio misses 2-pt jump shot from 14 ft,,23,29
160,2,7:09.0,,Defensive rebound by B. Simmons,23,29
161,2,7:04.0,,B. Simmons makes 2-pt layup from 6 ft,23,31
162,2,6:50.0,D. Mitchell misses 3-pt jump shot from 25 ft,,23,31
163,2,6:43.0,,Defensive rebound by A. Johnson,23,31
164,2,6:40.0,,Turnover by T. McConnell (bad pass; steal by R. Rubio),23,31
165,2,6:25.0,A. Burks misses 2-pt layup from 5 ft (block by A. Johnson),,23,31
166,2,6:20.0,,Defensive rebound by A. Johnson,23,31
167,2,6:12.0,,Turnover by A. Johnson (bad pass; steal by E. Udoh),23,31
168,2,6:10.0,E. Udoh makes 2-pt layup from 5 ft,,25,31
169,2,6:10.0,,Shooting foul by A. Burks (drawn by B. Simmons),25,31
170,2,6:10.0,J. Ingles enters the game for A. Burks,,25,31
171,2,6:10.0,,B. Simmons misses free throw 1 of 2,25,31
172,2,6:10.0,,Offensive rebound by Team,25,31
173,2,6:10.0,,B. Simmons misses free throw 2 of 2,25,31
174,2,6:04.0,Defensive rebound by J. Jerebko,,25,31
175,2,6:01.0,Turnover by R. Rubio (bad pass; steal by T. McConnell),,25,31
176,2,5:54.0,,B. Simmons misses 2-pt layup from 4 ft,25,31
177,2,5:46.0,,Offensive rebound by R. Covington,25,31
178,2,5:46.0,,R. Covington makes 2-pt dunk at rim,25,33
179,2,5:38.0,R. Rubio makes 2-pt jump shot from 13 ft,,27,33
180,2,5:28.0,,B. Simmons misses 2-pt jump shot from 11 ft,27,33
181,2,5:24.0,,Offensive rebound by B. Simmons,27,33
182,2,5:24.0,,B. Simmons misses 2-pt layup from 7 ft,27,33
183,2,5:23.0,Defensive rebound by Team,,27,33
184,2,5:23.0,R. Hood enters the game for J. Jerebko,,27,33
185,2,5:17.0,Personal foul by T. McConnell (drawn by R. Rubio),,27,33
186,2,5:09.0,E. Udoh misses 2-pt layup from 5 ft (block by A. Johnson),,27,33
187,2,5:09.0,Offensive rebound by Team,,27,33
188,2,5:02.0,R. Hood makes 2-pt jump shot from 6 ft,,29,33
189,2,4:39.0,,A. Johnson makes 2-pt jump shot from 7 ft,29,35
190,2,4:28.0,J. Ingles misses 3-pt jump shot from 26 ft,,29,35
191,2,4:24.0,,Defensive rebound by J. Redick,29,35
192,2,4:09.0,,A. Johnson makes 2-pt hook shot from 6 ft,29,37
193,2,4:07.0,Utah full timeout,,29,37
194,2,4:07.0,D. Favors enters the game for E. Udoh,,29,37
195,2,3:53.0,D. Mitchell misses 2-pt layup from 6 ft,,29,37
196,2,3:51.0,,Defensive rebound by A. Johnson,29,37
197,2,3:32.0,,R. Covington misses 3-pt jump shot from 24 ft,29,37
198,2,3:28.0,Defensive rebound by D. Favors,,29,37
199,2,3:22.0,R. Rubio makes 3-pt jump shot from 27 ft (assist by D. Mitchell),,32,37
200,2,3:08.0,,J. Redick misses 2-pt jump shot from 18 ft,32,37
201,2,3:03.0,Defensive rebound by R. Hood,,32,37
202,2,2:57.0,D. Favors misses 2-pt layup from 3 ft (block by R. Covington),,32,37
203,2,2:54.0,,Defensive rebound by A. Johnson,32,37
204,2,2:43.0,,Shooting foul by R. Hood (drawn by R. Covington),32,37
205,2,2:43.0,,R. Covington makes free throw 1 of 3,32,38
206,2,2:43.0,,R. Covington makes free throw 2 of 3,32,39
207,2,2:43.0,,J. Embiid enters the game for A. Johnson,32,39
208,2,2:43.0,,D. Šarić enters the game for B. Simmons,32,39
209,2,2:43.0,,R. Covington makes free throw 3 of 3,32,40
210,2,2:23.0,Turnover by D. Favors (lost ball; steal by J. Redick),,32,40
211,2,2:12.0,,J. Embiid makes 2-pt layup from 1 ft (assist by J. Redick),32,42
212,2,1:47.0,J. Ingles misses 2-pt jump shot from 22 ft,,32,42
213,2,1:45.0,,Defensive rebound by J. Embiid,32,42
214,2,1:38.0,,J. Embiid makes 2-pt layup from 1 ft (assist by T. McConnell),32,44
215,2,1:23.0,R. Rubio makes 2-pt layup from 2 ft (assist by J. Ingles),,34,44
216,2,1:15.0,,R. Covington misses 3-pt jump shot from 26 ft,34,44
217,2,1:14.0,,Offensive rebound by D. Šarić,34,44
218,2,1:14.0,,D. Šarić makes 2-pt layup from 1 ft,34,46
219,2,1:14.0,,Shooting foul by D. Favors (drawn by D. Šarić),34,46
220,2,1:14.0,E. Udoh enters the game for D. Favors,,34,46
221,2,1:14.0,,D. Šarić makes free throw 1 of 1,34,47
222,2,1:03.0,D. Mitchell misses 2-pt layup from 4 ft (block by J. Embiid),,34,47
223,2,1:00.0,,Defensive rebound by J. Embiid,34,47
224,2,0:56.0,,Turnover by T. McConnell (bad pass; steal by R. Hood),34,47
225,2,0:40.0,R. Rubio misses 3-pt jump shot from 27 ft,,34,47
226,2,0:37.0,,Defensive rebound by J. Embiid,34,47
227,2,0:29.0,,Turnover by J. Embiid (lost ball; steal by E. Udoh),34,47
228,2,0:24.0,Shooting foul by J. Redick (drawn by E. Udoh),,34,47
229,2,0:24.0,E. Udoh makes free throw 1 of 2,,35,47
230,2,0:24.0,T. Sefolosha enters the game for D. Mitchell,,35,47
231,2,0:24.0,E. Udoh makes free throw 2 of 2,,36,47
232,2,0:05.0,,D. Šarić misses 2-pt layup from 4 ft (block by R. Rubio),36,47
233,2,0:05.0,,Offensive rebound by Team,36,47
234,2,0:02.0,,J. Embiid misses 2-pt jump shot at rim,36,47
235,2,0:01.0,,Offensive rebound by J. Embiid,36,47
236,2,0:01.0,,J. Embiid misses 2-pt layup at rim,36,47
237,2,0:01.0,,Offensive rebound by Team,36,47
238,3,11:44.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by J. Jerebko),,39,47
239,3,11:24.0,,R. Covington misses 3-pt jump shot from 25 ft,39,47
240,3,11:21.0,Defensive rebound by D. Mitchell,,39,47
241,3,11:01.0,Turnover by R. Rubio (bad pass; steal by B. Simmons),,39,47
242,3,11:00.0,,Personal foul by R. Rubio (drawn by B. Simmons),39,47
243,3,10:43.0,,J. Embiid makes 2-pt layup from 2 ft,39,49
244,3,10:18.0,D. Mitchell misses 2-pt jump shot from 12 ft,,39,49
245,3,10:16.0,,Defensive rebound by R. Covington,39,49
246,3,10:00.0,,J. Redick makes 2-pt jump shot from 21 ft (assist by J. Embiid),39,51
247,3,9:43.0,D. Mitchell misses 3-pt jump shot from 26 ft,,39,51
248,3,9:43.0,,Defensive rebound by J. Embiid,39,51
249,3,9:36.0,,Personal foul by R. Rubio (drawn by B. Simmons),39,51
250,3,9:34.0,,J. Redick makes 2-pt layup from 1 ft (assist by R. Covington),39,53
251,3,9:19.0,R. Rubio misses 2-pt jump shot from 18 ft,,39,53
252,3,9:16.0,,Defensive rebound by J. Embiid,39,53
253,3,9:06.0,,Turnover by R. Covington (bad pass; steal by R. Rubio),39,53
254,3,8:58.0,R. Rubio misses 2-pt jump shot from 19 ft,,39,53
255,3,8:58.0,,Defensive rebound by Team,39,53
256,3,8:47.0,,B. Simmons makes 2-pt jump shot from 19 ft,39,55
257,3,8:43.0,Utah full timeout,,39,55
258,3,8:43.0,R. Hood enters the game for R. Rubio,,39,55
259,3,8:36.0,J. Ingles makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,42,55
260,3,8:13.0,,J. Embiid misses 2-pt jump shot from 5 ft,42,55
261,3,8:10.0,,Offensive rebound by B. Simmons,42,55
262,3,8:07.0,,B. Simmons makes 2-pt layup from 2 ft,42,57
263,3,7:54.0,Turnover by R. Hood (bad pass; steal by R. Covington),,42,57
264,3,7:47.0,,B. Simmons makes 2-pt layup from 2 ft,42,59
265,3,7:30.0,Turnover by D. Mitchell (lost ball; steal by R. Covington),,42,59
266,3,7:21.0,,J. Redick makes 3-pt jump shot from 27 ft (assist by B. Simmons),42,62
267,3,7:09.0,Shooting foul by J. Embiid (drawn by D. Favors),,42,62
268,3,7:09.0,D. Favors makes free throw 1 of 2,,43,62
269,3,7:09.0,,A. Johnson enters the game for D. Šarić,43,62
270,3,7:09.0,,T. McConnell enters the game for J. Embiid,43,62
271,3,7:09.0,A. Burks enters the game for J. Ingles,,43,62
272,3,7:09.0,T. Sefolosha enters the game for J. Jerebko,,43,62
273,3,7:09.0,D. Favors makes free throw 2 of 2,,44,62
274,3,6:56.0,,A. Johnson makes 2-pt layup from 3 ft (assist by J. Redick),44,64
275,3,6:42.0,Def 3 sec tech foul by B. Simmons,,44,64
276,3,6:42.0,D. Mitchell makes technical free throw,,45,64
277,3,6:42.0,,J. Bayless enters the game for J. Redick,45,64
278,3,6:32.0,D. Mitchell misses 2-pt layup from 6 ft (block by A. Johnson),,45,64
279,3,6:26.0,,Defensive rebound by A. Johnson,45,64
280,3,6:24.0,,R. Covington misses 2-pt layup from 6 ft,45,64
281,3,6:21.0,,Offensive rebound by T. McConnell,45,64
282,3,6:13.0,,Turnover by R. Covington (lost ball; steal by T. Sefolosha),45,64
283,3,5:57.0,A. Burks misses 2-pt jump shot from 19 ft,,45,64
284,3,5:55.0,,Defensive rebound by B. Simmons,45,64
285,3,5:47.0,,B. Simmons makes 2-pt layup from 1 ft,45,66
286,3,5:32.0,Personal foul by R. Covington (drawn by R. Hood),,45,66
287,3,5:25.0,A. Burks misses 2-pt layup from 4 ft,,45,66
288,3,5:22.0,,Defensive rebound by A. Johnson,45,66
289,3,5:16.0,,B. Simmons misses 2-pt layup from 4 ft,45,66
290,3,5:14.0,Defensive rebound by D. Favors,,45,66
291,3,5:10.0,D. Mitchell makes 3-pt jump shot from 23 ft (assist by T. Sefolosha),,48,66
292,3,4:51.0,,Turnover by J. Bayless (bad pass; steal by A. Burks),48,66
293,3,4:46.0,R. Hood misses 2-pt layup from 3 ft,,48,66
294,3,4:43.0,,Defensive rebound by B. Simmons,48,66
295,3,4:28.0,,B. Simmons makes 2-pt layup from 2 ft (assist by T. McConnell),48,68
296,3,4:27.0,Utah full timeout,,48,68
297,3,4:13.0,R. Hood makes 2-pt layup from 4 ft (assist by D. Favors),,50,68
298,3,3:58.0,,B. Simmons makes 2-pt jump shot from 12 ft (assist by A. Johnson),50,70
299,3,3:41.0,D. Mitchell makes 2-pt layup from 1 ft,,52,70
300,3,3:32.0,,T. McConnell misses 2-pt jump shot from 21 ft,52,70
301,3,3:29.0,Defensive rebound by T. Sefolosha,,52,70
302,3,3:18.0,D. Mitchell makes 2-pt layup from 1 ft,,54,70
303,3,3:05.0,,B. Simmons misses 2-pt layup from 4 ft (block by D. Favors),54,70
304,3,3:05.0,Defensive rebound by T. Sefolosha,,54,70
305,3,3:01.0,R. Hood makes 2-pt dunk from 1 ft,,56,70
306,3,3:00.0,,Philadelphia full timeout,56,70
307,3,3:00.0,,J. Redick enters the game for A. Johnson,56,70
308,3,3:00.0,,J. Embiid enters the game for R. Covington,56,70
309,3,3:00.0,E. Udoh enters the game for D. Favors,,56,70
310,3,2:41.0,,Turnover by B. Simmons (bad pass; steal by E. Udoh),56,70
311,3,2:32.0,Shooting foul by J. Bayless (drawn by R. Hood),,56,70
312,3,2:32.0,R. Hood makes free throw 1 of 2,,57,70
313,3,2:32.0,R. Hood makes free throw 2 of 2,,58,70
314,3,2:12.0,,B. Simmons makes 2-pt layup from 2 ft (assist by J. Embiid),58,72
315,3,1:54.0,D. Mitchell makes 2-pt jump shot from 19 ft,,60,72
316,3,1:39.0,,J. Embiid misses 2-pt jump shot from 15 ft,60,72
317,3,1:37.0,Defensive rebound by A. Burks,,60,72
318,3,1:25.0,A. Burks misses 3-pt jump shot from 27 ft,,60,72
319,3,1:22.0,,Defensive rebound by T. McConnell,60,72
320,3,1:14.0,,T. McConnell misses 2-pt jump shot from 8 ft,60,72
321,3,1:14.0,Defensive rebound by Team,,60,72
322,3,1:14.0,,T. Luwawu-Cabarrot enters the game for J. Bayless,60,72
323,3,1:14.0,,D. Šarić enters the game for B. Simmons,60,72
324,3,1:14.0,J. Jerebko enters the game for T. Sefolosha,,60,72
325,3,1:03.0,R. Hood misses 2-pt jump shot from 15 ft,,60,72
326,3,1:00.0,,Defensive rebound by T. Luwawu-Cabarrot,60,72
327,3,0:48.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by D. Šarić),60,75
328,3,0:38.0,D. Mitchell misses 3-pt jump shot from 26 ft,,60,75
329,3,0:35.0,,Defensive rebound by T. Luwawu-Cabarrot,60,75
330,3,0:29.0,,Turnover by T. McConnell (bad pass; steal by J. Jerebko),60,75
331,3,0:09.0,R. Hood makes 3-pt jump shot from 26 ft (assist by E. Udoh),,63,75
332,3,0:01.0,,J. Embiid misses 3-pt jump shot from 26 ft,63,75
333,3,0:01.0,,Offensive rebound by Team,63,75
334,4,11:42.0,,Turnover by J. Embiid (bad pass; steal by E. Udoh),63,75
335,4,11:32.0,R. Hood misses 3-pt jump shot from 24 ft,,63,75
336,4,11:29.0,,Defensive rebound by D. Šarić,63,75
337,4,11:29.0,,Personal foul by J. Ingles (drawn by D. Šarić),63,75
338,4,11:18.0,,Personal foul by R. Neto (drawn by J. Embiid),63,75
339,4,11:09.0,,J. Redick misses 2-pt layup from 1 ft,63,75
340,4,11:09.0,Defensive rebound by Team,,63,75
341,4,11:08.0,,Loose ball foul by J. Embiid (drawn by J. Jerebko),63,75
342,4,10:51.0,J. Jerebko misses 2-pt jump shot from 14 ft,,63,75
343,4,10:50.0,Offensive rebound by E. Udoh,,63,75
344,4,10:50.0,Shooting foul by D. Šarić (drawn by E. Udoh),,63,75
345,4,10:50.0,E. Udoh makes free throw 1 of 2,,64,75
346,4,10:50.0,E. Udoh makes free throw 2 of 2,,65,75
347,4,10:39.0,,Shooting foul by J. Ingles (drawn by J. Redick),65,75
348,4,10:39.0,,J. Redick makes free throw 1 of 2,65,76
349,4,10:39.0,,A. Johnson enters the game for J. Embiid,65,76
350,4,10:39.0,,J. Redick makes free throw 2 of 2,65,77
351,4,10:29.0,R. Hood misses 3-pt jump shot from 27 ft,,65,77
352,4,10:25.0,,Defensive rebound by T. McConnell,65,77
353,4,10:21.0,,T. Luwawu-Cabarrot makes 2-pt layup from 1 ft (assist by T. McConnell),65,79
354,4,10:02.0,J. Jerebko makes 3-pt jump shot from 28 ft (assist by R. Neto),,68,79
355,4,9:37.0,,Shooting foul by R. Neto (drawn by J. Redick),68,79
356,4,9:37.0,,J. Redick makes free throw 1 of 3,68,80
357,4,9:37.0,,J. Redick makes free throw 2 of 3,68,81
358,4,9:37.0,,B. Simmons enters the game for T. McConnell,68,81
359,4,9:37.0,,J. Redick makes free throw 3 of 3,68,82
360,4,9:26.0,R. Hood misses 2-pt jump shot from 7 ft,,68,82
361,4,9:23.0,,Defensive rebound by A. Johnson,68,82
362,4,9:14.0,,Turnover by J. Redick (bad pass; steal by R. Hood),68,82
363,4,9:08.0,,Personal foul by R. Hood (drawn by A. Johnson),68,82
364,4,9:08.0,Turnover by R. Hood (turnover),,68,82
365,4,9:08.0,,J. Bayless enters the game for J. Redick,68,82
366,4,9:08.0,R. O'Neale enters the game for R. Hood,,68,82
367,4,9:08.0,R. Rubio enters the game for R. Neto,,68,82
368,4,8:57.0,,D. Šarić misses 2-pt jump shot from 19 ft,68,82
369,4,8:55.0,Defensive rebound by Team,,68,82
370,4,8:55.0,D. Mitchell enters the game for J. Ingles,,68,82
371,4,8:40.0,E. Udoh makes 2-pt dunk at rim (assist by D. Mitchell),,70,82
372,4,8:19.0,,B. Simmons makes 2-pt jump shot from 11 ft,70,84
373,4,8:10.0,D. Mitchell misses 3-pt jump shot from 25 ft,,70,84
374,4,8:07.0,,Defensive rebound by T. Luwawu-Cabarrot,70,84
375,4,7:56.0,,B. Simmons makes 2-pt jump shot from 4 ft,70,86
376,4,7:35.0,J. Jerebko misses 2-pt jump shot from 13 ft (block by A. Johnson),,70,86
377,4,7:31.0,,Defensive rebound by B. Simmons,70,86
378,4,7:29.0,,Turnover by B. Simmons (lost ball; steal by D. Mitchell),70,86
379,4,7:24.0,J. Jerebko misses 3-pt jump shot from 23 ft,,70,86
380,4,7:20.0,,Defensive rebound by D. Šarić,70,86
381,4,7:16.0,,Philadelphia full timeout,70,86
382,4,7:16.0,,T. McConnell enters the game for T. Luwawu-Cabarrot,70,86
383,4,7:16.0,,R. Covington enters the game for D. Šarić,70,86
