,QUARTER,TIME_REMAINING,ATLANTA_ACTION,NEW ORLEANS_ACTION,ATLANTA_SCORE,NEW ORLEANS_SCORE
181,2,4:17.0,D. Schröder misses 2-pt jump shot from 16 ft,,45,34
182,2,4:09.0,,Defensive rebound by D. Cousins,45,34
183,2,4:08.0,,Turnover by D. Cousins (bad pass),45,34
184,2,4:08.0,J. Collins enters the game for L. Babbitt,,45,34
185,2,4:08.0,M. Belinelli enters the game for T. Prince,,45,34
186,2,3:51.0,D. Schröder misses 3-pt jump shot from 25 ft,,45,34
187,2,3:46.0,,Defensive rebound by D. Cousins,45,34
188,2,3:39.0,,Personal foul by D. Dedmon (drawn by D. Cousins),45,34
189,2,3:39.0,,I. Clark enters the game for J. Nelson,45,34
190,2,3:39.0,L. Babbitt enters the game for D. Dedmon,,45,34
191,2,3:32.0,,E. Moore makes 2-pt layup from 3 ft (assist by D. Cousins),45,36
192,2,3:14.0,L. Babbitt misses 3-pt jump shot from 27 ft,,45,36
193,2,3:08.0,,Defensive rebound by J. Holiday,45,36
194,2,2:58.0,,E. Moore makes 2-pt layup from 6 ft,45,38
195,2,2:42.0,D. Schröder misses 2-pt layup from 2 ft (block by A. Davis),,45,38
196,2,2:42.0,Offensive rebound by Team,,45,38
197,2,2:30.0,Turnover by D. Schröder (bad pass; steal by D. Cousins),,45,38
198,2,2:24.0,,A. Davis makes 2-pt layup at rim (assist by I. Clark),45,40
199,2,2:14.0,L. Babbitt misses 3-pt jump shot from 25 ft,,45,40
200,2,2:14.0,,Defensive rebound by D. Cousins,45,40
201,2,2:14.0,,New Orleans full timeout,45,40
202,2,1:59.0,,Turnover by D. Cousins (bad pass; steal by D. Schröder),45,40
203,2,1:52.0,Turnover by J. Collins (lost ball; steal by I. Clark),,45,40
204,2,1:46.0,,A. Davis misses 2-pt layup at rim,45,40
205,2,1:34.0,,Offensive rebound by A. Davis,45,40
206,2,1:34.0,,A. Davis makes 2-pt dunk at rim,45,42
207,2,1:31.0,Offensive foul by L. Babbitt (drawn by J. Holiday),,45,42
208,2,1:31.0,Turnover by L. Babbitt (offensive foul),,45,42
209,2,1:14.0,,E. Moore makes 3-pt jump shot from 23 ft (assist by A. Davis),45,45
210,2,0:58.0,K. Bazemore makes 2-pt jump shot from 17 ft,,47,45
211,2,0:39.0,,J. Holiday misses 3-pt jump shot from 24 ft,47,45
212,2,0:34.0,Defensive rebound by K. Bazemore,,47,45
213,2,0:30.0,K. Bazemore makes 3-pt jump shot from 27 ft,,50,45
214,2,0:14.0,,Turnover by D. Cousins (bad pass; steal by M. Belinelli),50,45
215,2,0:00.0,J. Collins misses 2-pt layup from 3 ft,,50,45
216,2,0:00.0,Offensive rebound by Team,,50,45
217,3,11:48.0,L. Babbitt makes 3-pt jump shot from 23 ft (assist by K. Bazemore),,53,45
218,3,11:23.0,,A. Davis makes 2-pt jump shot from 10 ft,53,47
219,3,11:05.0,D. Dedmon makes 3-pt jump shot from 24 ft (assist by T. Prince),,56,47
220,3,10:54.0,,Personal foul by D. Dedmon (drawn by J. Holiday),56,47
221,3,10:54.0,T. Cavanaugh enters the game for D. Dedmon,,56,47
222,3,10:41.0,,D. Cousins makes 3-pt jump shot from 26 ft (assist by J. Holiday),56,50
223,3,10:27.0,Shooting foul by E. Moore (drawn by K. Bazemore),,56,50
224,3,10:27.0,K. Bazemore makes free throw 1 of 2,,57,50
225,3,10:27.0,K. Bazemore makes free throw 2 of 2,,58,50
226,3,10:10.0,,E. Moore makes 2-pt layup from 1 ft (assist by A. Davis),58,52
227,3,9:53.0,T. Cavanaugh makes 3-pt jump shot from 24 ft (assist by D. Schröder),,61,52
228,3,9:42.0,,Turnover by D. Cousins (lost ball; steal by K. Bazemore),61,52
229,3,9:35.0,T. Cavanaugh makes 3-pt jump shot from 24 ft (assist by K. Bazemore),,64,52
230,3,9:30.0,,New Orleans full timeout,64,52
231,3,9:17.0,,Personal foul by D. Schröder (drawn by A. Davis),64,52
232,3,9:12.0,,J. Holiday makes 2-pt layup from 3 ft (assist by D. Cousins),64,54
233,3,8:59.0,K. Bazemore misses 2-pt layup from 1 ft,,64,54
234,3,8:56.0,,Defensive rebound by J. Holiday,64,54
235,3,8:49.0,,D. Cunningham misses 3-pt jump shot from 23 ft,64,54
236,3,8:45.0,Defensive rebound by T. Cavanaugh,,64,54
237,3,8:34.0,Turnover by D. Schröder (bad pass; steal by A. Davis),,64,54
238,3,8:27.0,,J. Holiday makes 2-pt layup from 2 ft (assist by E. Moore),64,56
239,3,8:12.0,L. Babbitt misses 3-pt jump shot from 25 ft,,64,56
240,3,8:08.0,,Defensive rebound by D. Cousins,64,56
241,3,8:04.0,,Turnover by A. Davis (bad pass; steal by K. Bazemore),64,56
242,3,7:46.0,K. Bazemore makes 3-pt jump shot from 24 ft (assist by T. Cavanaugh),,67,56
243,3,7:25.0,,E. Moore makes 3-pt jump shot from 22 ft (assist by A. Davis),67,59
244,3,7:04.0,K. Bazemore misses 3-pt jump shot from 22 ft,,67,59
245,3,7:00.0,,Defensive rebound by J. Holiday,67,59
246,3,6:52.0,,J. Holiday makes 2-pt layup from 2 ft (assist by D. Cousins),67,61
247,3,6:52.0,Atlanta full timeout,,67,61
248,3,6:52.0,M. Belinelli enters the game for L. Babbitt,,67,61
249,3,6:52.0,J. Collins enters the game for K. Bazemore,,67,61
250,3,6:37.0,Turnover by M. Belinelli (bad pass; steal by D. Cousins),,67,61
251,3,6:26.0,,D. Cunningham misses 3-pt jump shot from 23 ft,67,61
252,3,6:23.0,,Offensive rebound by D. Cousins,67,61
253,3,6:14.0,,D. Cousins makes 2-pt layup from 2 ft (assist by A. Davis),67,63
254,3,5:58.0,T. Cavanaugh makes 3-pt jump shot from 23 ft (assist by T. Prince),,70,63
255,3,5:45.0,,E. Moore makes 2-pt layup from 1 ft (assist by A. Davis),70,65
256,3,5:30.0,D. Schröder misses 3-pt jump shot from 27 ft,,70,65
257,3,5:26.0,,Defensive rebound by D. Cousins,70,65
258,3,5:19.0,,D. Cunningham misses 3-pt jump shot from 23 ft,70,65
259,3,5:16.0,Defensive rebound by T. Cavanaugh,,70,65
260,3,5:07.0,M. Belinelli misses 2-pt jump shot from 22 ft,,70,65
