,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
32,1,8:39.0,L. Ball misses 2-pt layup from 2 ft,,5,8
33,1,8:39.0,,Defensive rebound by Team,5,8
34,1,8:39.0,Loose ball foul by J. Randle (drawn by P. Gasol),,5,8
35,1,8:29.0,,D. Bertāns misses 3-pt jump shot from 25 ft,5,8
36,1,8:26.0,Defensive rebound by B. Lopez,,5,8
37,1,8:16.0,Turnover by K. Kuzma (lost ball; steal by K. Anderson),,5,8
38,1,8:07.0,,P. Gasol misses 3-pt jump shot from 25 ft,5,8
39,1,8:04.0,Defensive rebound by K. Caldwell-Pope,,5,8
40,1,7:54.0,J. Randle misses 2-pt jump shot from 8 ft,,5,8
41,1,7:53.0,Offensive rebound by J. Randle,,5,8
42,1,7:50.0,J. Randle misses 2-pt hook shot from 1 ft,,5,8
43,1,7:50.0,,Defensive rebound by D. Bertāns,5,8
44,1,7:46.0,,San Antonio full timeout,5,8
45,1,7:38.0,,Shooting foul by L. Ball (drawn by P. Gasol),5,8
46,1,7:38.0,,P. Gasol misses free throw 1 of 2,5,8
47,1,7:38.0,,Offensive rebound by Team,5,8
48,1,7:38.0,,R. Gay enters the game for D. Bertāns,5,8
49,1,7:38.0,,P. Gasol misses free throw 2 of 2,5,8
50,1,7:35.0,Defensive rebound by J. Randle,,5,8
51,1,7:14.0,L. Ball misses 3-pt jump shot from 23 ft,,5,8
52,1,7:11.0,,Defensive rebound by R. Gay,5,8
53,1,6:56.0,,P. Gasol makes 2-pt layup at rim (assist by K. Anderson),5,10
54,1,6:42.0,Turnover by B. Lopez (bad pass; steal by K. Anderson),,5,10
55,1,6:35.0,,P. Mills makes 2-pt jump shot from 21 ft (assist by P. Gasol),5,12
56,1,6:17.0,B. Lopez misses 2-pt hook shot from 7 ft,,5,12
57,1,6:15.0,,Defensive rebound by R. Gay,5,12
58,1,6:08.0,,Shooting foul by K. Kuzma (drawn by R. Gay),5,12
59,1,6:08.0,,R. Gay makes free throw 1 of 2,5,13
60,1,6:08.0,,T. Parker enters the game for D. Murray,5,13
61,1,6:08.0,I. Thomas enters the game for K. Caldwell-Pope,,5,13
62,1,6:08.0,,R. Gay makes free throw 2 of 2,5,14
63,1,5:57.0,Shooting foul by P. Gasol (drawn by J. Randle),,5,14
64,1,5:57.0,J. Randle makes free throw 1 of 2,,6,14
65,1,5:57.0,J. Randle makes free throw 2 of 2,,7,14
66,1,5:37.0,,T. Parker misses 2-pt jump shot from 14 ft,7,14
67,1,5:33.0,,Offensive rebound by P. Gasol,7,14
68,1,5:33.0,,P. Gasol makes 2-pt layup at rim,7,16
69,1,5:27.0,B. Lopez misses 3-pt jump shot from 25 ft,,7,16
70,1,5:20.0,Offensive rebound by K. Kuzma,,7,16
71,1,5:20.0,K. Kuzma misses 2-pt layup at rim,,7,16
72,1,5:19.0,,Defensive rebound by K. Anderson,7,16
73,1,5:08.0,,R. Gay misses 3-pt jump shot from 24 ft,7,16
74,1,5:06.0,Defensive rebound by J. Randle,,7,16
75,1,5:00.0,Turnover by I. Thomas (bad pass),,7,16
76,1,5:00.0,,D. Green enters the game for K. Anderson,7,16
77,1,5:00.0,,M. Ginóbili enters the game for P. Mills,7,16
78,1,4:46.0,,M. Ginóbili makes 2-pt jump shot from 10 ft,7,18
79,1,4:36.0,K. Kuzma misses 2-pt hook shot from 12 ft,,7,18
80,1,4:33.0,Offensive rebound by K. Kuzma,,7,18
81,1,4:33.0,K. Kuzma makes 2-pt layup at rim,,9,18
82,1,4:25.0,,Def 3 sec tech foul by B. Lopez,9,18
83,1,4:25.0,,M. Ginóbili makes technical free throw,9,19
84,1,4:25.0,,J. Lauvergne enters the game for P. Gasol,9,19
85,1,4:25.0,I. Zubac enters the game for B. Lopez,,9,19
86,1,4:11.0,,M. Ginóbili makes 2-pt layup from 5 ft,9,21
87,1,4:04.0,I. Thomas misses 3-pt jump shot from 25 ft,,9,21
88,1,4:04.0,,Defensive rebound by J. Lauvergne,9,21
89,1,3:52.0,,M. Ginóbili misses 2-pt jump shot from 16 ft,9,21
90,1,3:52.0,Defensive rebound by J. Randle,,9,21
91,1,3:43.0,Turnover by I. Thomas (bad pass; steal by J. Lauvergne),,9,21
92,1,3:38.0,,Turnover by R. Gay (bad pass; steal by I. Zubac),9,21
93,1,3:35.0,Turnover by I. Zubac (bad pass; steal by T. Parker),,9,21
94,1,3:25.0,,Turnover by T. Parker (lost ball; steal by J. Randle),9,21
95,1,3:22.0,J. Randle makes 2-pt dunk from 3 ft (assist by L. Ball),,11,21
96,1,2:59.0,,M. Ginóbili misses 2-pt layup from 2 ft (block by L. Ball),11,21
97,1,2:58.0,,Offensive rebound by J. Lauvergne,11,21
98,1,2:55.0,,J. Lauvergne misses 2-pt layup at rim (block by I. Zubac),11,21
99,1,2:55.0,Defensive rebound by L. Ball,,11,21
100,1,2:49.0,Shooting foul by M. Ginóbili (drawn by J. Randle),,11,21
101,1,2:49.0,LA Lakers full timeout,,11,21
102,1,2:49.0,K. Caldwell-Pope enters the game for K. Kuzma,,11,21
103,1,2:49.0,J. Randle makes free throw 1 of 2,,12,21
104,1,2:49.0,J. Randle makes free throw 2 of 2,,13,21
105,1,2:33.0,,Turnover by M. Ginóbili (traveling),13,21
106,1,2:24.0,L. Ball makes 3-pt jump shot from 25 ft,,16,21
107,1,2:12.0,,T. Parker misses 2-pt jump shot from 16 ft,16,21
108,1,2:10.0,Defensive rebound by L. Ball,,16,21
109,1,2:08.0,,Offensive charge foul by L. Ball (drawn by M. Ginóbili),16,21
110,1,2:08.0,Turnover by L. Ball (offensive foul),,16,21
111,1,2:08.0,T. Ennis enters the game for L. Ball,,16,21
112,1,1:49.0,,R. Gay misses 2-pt jump shot from 16 ft,16,21
113,1,1:48.0,,Offensive rebound by Team,16,21
114,1,1:33.0,,D. Green makes 2-pt jump shot from 7 ft (assist by M. Ginóbili),16,23
115,1,1:29.0,Personal block foul by T. Parker (drawn by I. Thomas),,16,23
116,1,1:29.0,I. Thomas makes free throw 1 of 2,,17,23
117,1,1:29.0,K. Kuzma enters the game for J. Randle,,17,23
118,1,1:29.0,I. Thomas makes free throw 2 of 2,,18,23
119,1,1:22.0,,Personal foul by T. Ennis (drawn by D. Green),18,23
120,1,1:09.0,,R. Gay makes 2-pt jump shot from 10 ft,18,25
121,1,0:58.0,I. Thomas misses 2-pt layup from 1 ft (block by R. Gay),,18,25
122,1,0:58.0,Offensive rebound by Team,,18,25
123,1,0:56.0,K. Kuzma makes 3-pt jump shot from 23 ft (assist by K. Caldwell-Pope),,21,25
124,1,0:48.0,,T. Parker misses 2-pt layup from 1 ft,21,25
125,1,0:45.0,,Offensive rebound by J. Lauvergne,21,25
126,1,0:45.0,,J. Lauvergne makes 2-pt dunk at rim,21,27
127,1,0:42.0,Shooting foul by R. Gay (drawn by I. Thomas),,21,27
128,1,0:42.0,I. Thomas makes free throw 1 of 2,,22,27
129,1,0:42.0,I. Thomas makes free throw 2 of 2,,23,27
130,1,0:26.0,,R. Gay makes 3-pt jump shot from 25 ft (assist by D. Green),23,30
131,1,0:02.0,K. Caldwell-Pope misses 2-pt jump shot from 9 ft,,23,30
132,1,0:02.0,,Defensive rebound by R. Gay,23,30
133,2,11:45.0,,D. Green misses 2-pt jump shot from 11 ft,23,30
134,2,11:45.0,Defensive rebound by K. Kuzma,,23,30
135,2,11:29.0,K. Caldwell-Pope makes 3-pt jump shot from 22 ft (assist by I. Thomas),,26,30
136,2,11:16.0,,M. Ginóbili misses 3-pt jump shot from 24 ft,26,30
137,2,11:11.0,Defensive rebound by K. Caldwell-Pope,,26,30
138,2,11:00.0,I. Zubac misses 2-pt hook shot from 7 ft,,26,30
139,2,10:58.0,,Defensive rebound by D. Green,26,30
140,2,10:56.0,,San Antonio full timeout,26,30
141,2,10:56.0,,K. Anderson enters the game for D. Green,26,30
142,2,10:56.0,,P. Mills enters the game for M. Ginóbili,26,30
143,2,10:48.0,,J. Lauvergne makes 2-pt hook shot from 8 ft (assist by D. Bertāns),26,32
144,2,10:26.0,Turnover by I. Zubac (lost ball; steal by J. Lauvergne),,26,32
145,2,10:21.0,,P. Mills misses 3-pt jump shot from 25 ft,26,32
146,2,10:18.0,Defensive rebound by K. Kuzma,,26,32
147,2,10:12.0,K. Kuzma misses 2-pt layup from 5 ft,,26,32
148,2,10:09.0,,Defensive rebound by K. Anderson,26,32
149,2,10:04.0,,Turnover by P. Mills (bad pass; steal by T. Ennis),26,32
150,2,10:00.0,Turnover by K. Kuzma (bad pass; steal by D. Bertāns),,26,32
151,2,9:56.0,,D. Bertāns misses 3-pt jump shot from 25 ft,26,32
152,2,9:53.0,,Offensive rebound by D. Murray,26,32
153,2,9:51.0,,D. Murray misses 2-pt layup from 4 ft,26,32
154,2,9:51.0,Defensive rebound by K. Caldwell-Pope,,26,32
155,2,9:46.0,T. Ennis misses 2-pt jump shot from 5 ft,,26,32
156,2,9:46.0,Offensive rebound by T. Ennis,,26,32
157,2,9:40.0,I. Thomas makes 3-pt jump shot from 25 ft (assist by K. Caldwell-Pope),,29,32
158,2,9:16.0,,J. Lauvergne makes 2-pt layup at rim (assist by P. Mills),29,34
159,2,9:06.0,I. Thomas makes 2-pt jump shot from 17 ft,,31,34
160,2,8:46.0,,Personal foul by T. Ennis (drawn by P. Mills),31,34
161,2,8:46.0,,P. Gasol enters the game for J. Lauvergne,31,34
162,2,8:46.0,J. Randle enters the game for I. Zubac,,31,34
163,2,8:40.0,,P. Mills makes 2-pt layup at rim (assist by D. Murray),31,36
164,2,8:30.0,Shooting foul by P. Gasol (drawn by J. Randle),,31,36
165,2,8:30.0,J. Randle misses free throw 1 of 2,,31,36
166,2,8:30.0,Offensive rebound by Team,,31,36
167,2,8:30.0,B. Lopez enters the game for K. Kuzma,,31,36
168,2,8:30.0,J. Randle makes free throw 2 of 2,,32,36
169,2,8:15.0,,D. Murray misses 2-pt jump shot from 6 ft,32,36
170,2,8:15.0,Defensive rebound by I. Thomas,,32,36
171,2,8:15.0,Personal foul by D. Bertāns (drawn by I. Thomas),,32,36
172,2,8:04.0,I. Thomas misses 2-pt jump shot from 15 ft,,32,36
173,2,8:01.0,,Defensive rebound by K. Anderson,32,36
174,2,7:58.0,,Personal block foul by K. Caldwell-Pope (drawn by P. Mills),32,36
175,2,7:52.0,,Personal foul by T. Ennis (drawn by P. Mills),32,36
176,2,7:46.0,,P. Mills misses 2-pt jump shot from 17 ft,32,36
177,2,7:40.0,,Offensive rebound by K. Anderson,32,36
178,2,7:40.0,,K. Anderson makes 2-pt dunk at rim,32,38
179,2,7:32.0,L. Ball enters the game for T. Ennis,,32,38
180,2,7:26.0,Turnover by I. Thomas (bad pass; steal by D. Murray),,32,38
181,2,7:21.0,,Turnover by K. Anderson (bad pass; steal by K. Caldwell-Pope),32,38
182,2,7:21.0,Personal foul by D. Bertāns (drawn by K. Caldwell-Pope),,32,38
183,2,7:21.0,,T. Parker enters the game for D. Murray,32,38
184,2,7:13.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,32,38
185,2,7:10.0,,Defensive rebound by D. Bertāns,32,38
186,2,7:02.0,,D. Bertāns misses 3-pt jump shot from 25 ft,32,38
187,2,6:58.0,Defensive rebound by K. Caldwell-Pope,,32,38
188,2,6:51.0,,Offensive charge foul by J. Randle (drawn by D. Bertāns),32,38
189,2,6:51.0,Turnover by J. Randle (offensive foul),,32,38
190,2,6:33.0,,K. Anderson makes 2-pt layup from 1 ft (assist by P. Gasol),32,40
191,2,6:27.0,I. Thomas makes 2-pt jump shot from 7 ft,,34,40
192,2,6:14.0,,D. Bertāns makes 3-pt jump shot from 24 ft (assist by K. Anderson),34,43
193,2,5:58.0,J. Randle makes 2-pt layup from 1 ft (assist by L. Ball),,36,43
194,2,5:39.0,,P. Mills misses 3-pt jump shot from 22 ft,36,43
195,2,5:36.0,Defensive rebound by K. Caldwell-Pope,,36,43
196,2,5:24.0,B. Lopez makes 3-pt jump shot from 27 ft (assist by L. Ball),,39,43
197,2,5:01.0,,Turnover by P. Mills (bad pass; steal by B. Lopez),39,43
198,2,4:58.0,I. Thomas makes 2-pt layup from 1 ft (assist by L. Ball),,41,43
199,2,4:58.0,,San Antonio full timeout,41,43
200,2,4:58.0,,R. Gay enters the game for D. Bertāns,41,43
201,2,4:43.0,,P. Gasol makes 2-pt hook shot from 7 ft,41,45
202,2,4:24.0,B. Lopez misses 2-pt jump shot from 12 ft,,41,45
203,2,4:21.0,Offensive rebound by K. Caldwell-Pope,,41,45
204,2,4:15.0,B. Lopez makes 2-pt layup from 6 ft (assist by I. Thomas),,43,45
205,2,4:15.0,Shooting foul by T. Parker (drawn by B. Lopez),,43,45
206,2,4:15.0,,M. Ginóbili enters the game for K. Anderson,43,45
207,2,4:15.0,,D. Green enters the game for P. Mills,43,45
208,2,4:15.0,B. Lopez misses free throw 1 of 1,,43,45
209,2,4:13.0,,Defensive rebound by R. Gay,43,45
210,2,3:57.0,,D. Green makes 3-pt jump shot from 25 ft (assist by T. Parker),43,48
211,2,3:42.0,J. Randle makes 2-pt dunk at rim (assist by I. Thomas),,45,48
212,2,3:22.0,,Personal foul by K. Caldwell-Pope (drawn by R. Gay),45,48
213,2,3:22.0,K. Kuzma enters the game for B. Lopez,,45,48
214,2,3:17.0,,Personal foul by J. Randle (drawn by P. Gasol),45,48
215,2,3:17.0,,P. Gasol misses free throw 1 of 2,45,48
216,2,3:17.0,,Offensive rebound by Team,45,48
217,2,3:17.0,B. Lopez enters the game for J. Randle,,45,48
218,2,3:17.0,,P. Gasol makes free throw 2 of 2,45,49
219,2,3:08.0,B. Lopez makes 3-pt jump shot from 26 ft (assist by L. Ball),,48,49
220,2,2:52.0,,P. Gasol misses 2-pt jump shot from 4 ft (block by L. Ball),48,49
221,2,2:52.0,,Offensive rebound by Team,48,49
222,2,2:45.0,,M. Ginóbili makes 2-pt layup at rim,48,51
223,2,2:32.0,I. Thomas misses 2-pt layup from 4 ft,,48,51
224,2,2:32.0,,Defensive rebound by R. Gay,48,51
225,2,2:26.0,,D. Green misses 3-pt jump shot from 24 ft,48,51
226,2,2:26.0,,Offensive rebound by M. Ginóbili,48,51
227,2,2:21.0,,Shooting foul by L. Ball (drawn by D. Green),48,51
228,2,2:21.0,,D. Green makes free throw 1 of 2,48,52
229,2,2:21.0,T. Ennis enters the game for L. Ball,,48,52
230,2,2:21.0,,D. Green makes free throw 2 of 2,48,53
231,2,2:05.0,K. Caldwell-Pope makes 2-pt layup from 2 ft (assist by K. Kuzma),,50,53
232,2,1:53.0,,T. Parker makes 2-pt layup at rim (assist by M. Ginóbili),50,55
233,2,1:46.0,K. Kuzma misses 3-pt jump shot from 24 ft,,50,55
234,2,1:46.0,,Defensive rebound by P. Gasol,50,55
235,2,1:33.0,,T. Parker makes 2-pt layup at rim (assist by P. Gasol),50,57
236,2,1:33.0,LA Lakers full timeout,,50,57
237,2,1:33.0,,M. Ginóbili makes technical free throw,50,58
238,2,1:22.0,K. Kuzma misses 2-pt jump shot from 10 ft,,50,58
239,2,1:20.0,,Defensive rebound by M. Ginóbili,50,58
240,2,1:04.0,,Turnover by P. Gasol (bad pass; steal by K. Caldwell-Pope),50,58
241,2,0:57.0,Turnover by K. Caldwell-Pope (bad pass; steal by M. Ginóbili),,50,58
242,2,0:54.0,,Shooting foul by K. Caldwell-Pope (drawn by M. Ginóbili),50,58
243,2,0:54.0,,M. Ginóbili makes free throw 1 of 2,50,59
244,2,0:54.0,T. Wear enters the game for K. Caldwell-Pope,,50,59
245,2,0:54.0,,M. Ginóbili makes free throw 2 of 2,50,60
246,2,0:37.0,T. Wear misses 3-pt jump shot from 25 ft,,50,60
247,2,0:33.0,,Defensive rebound by P. Gasol,50,60
248,2,0:25.0,,D. Green misses 3-pt jump shot from 24 ft,50,60
249,2,0:22.0,Defensive rebound by T. Wear,,50,60
250,2,0:02.0,K. Kuzma makes 3-pt jump shot from 22 ft (assist by B. Lopez),,53,60
251,2,0:00.0,,M. Ginóbili misses 3-pt jump shot from 39 ft,53,60
252,2,0:00.0,,Offensive rebound by Team,53,60
253,3,11:42.0,,D. Murray makes 2-pt jump shot from 6 ft,53,62
254,3,11:26.0,J. Randle misses 2-pt hook shot from 3 ft (block by P. Gasol),,53,62
255,3,11:22.0,,Defensive rebound by D. Murray,53,62
256,3,11:19.0,,D. Bertāns misses 3-pt jump shot from 25 ft,53,62
257,3,11:19.0,Defensive rebound by L. Ball,,53,62
258,3,11:06.0,K. Caldwell-Pope makes 2-pt jump shot from 13 ft,,55,62
259,3,10:49.0,,P. Gasol makes 2-pt jump shot from 21 ft (assist by K. Anderson),55,64
260,3,10:40.0,B. Lopez makes 2-pt jump shot from 14 ft (assist by L. Ball),,57,64
261,3,10:33.0,,Personal foul by K. Kuzma (drawn by D. Murray),57,64
262,3,10:33.0,Technical foul by J. Randle,,57,64
263,3,10:33.0,,P. Mills makes technical free throw,57,65
264,3,10:27.0,,Personal block foul by K. Caldwell-Pope (drawn by P. Mills),57,65
265,3,10:11.0,,P. Gasol misses 2-pt jump shot from 12 ft,57,65
266,3,10:09.0,Defensive rebound by K. Kuzma,,57,65
267,3,9:55.0,K. Kuzma misses 3-pt jump shot from 26 ft,,57,65
268,3,9:52.0,,Defensive rebound by P. Gasol,57,65
269,3,9:41.0,,P. Mills makes 2-pt jump shot from 20 ft (assist by P. Gasol),57,67
270,3,9:21.0,B. Lopez makes 2-pt jump shot from 5 ft,,59,67
271,3,9:10.0,,Shooting foul by K. Kuzma (drawn by D. Murray),59,67
272,3,9:10.0,,D. Murray makes free throw 1 of 2,59,68
273,3,9:10.0,,D. Murray makes free throw 2 of 2,59,69
274,3,8:56.0,B. Lopez makes 2-pt jump shot from 11 ft,,61,69
275,3,8:40.0,,P. Mills misses 2-pt layup from 3 ft,61,69
276,3,8:38.0,,Offensive rebound by P. Mills,61,69
277,3,8:35.0,,P. Mills misses 3-pt jump shot from 23 ft,61,69
278,3,8:35.0,Defensive rebound by K. Caldwell-Pope,,61,69
279,3,8:28.0,L. Ball misses 2-pt layup from 1 ft,,61,69
280,3,8:25.0,,Defensive rebound by P. Gasol,61,69
281,3,8:21.0,,D. Murray makes 2-pt layup from 2 ft (assist by P. Mills),61,71
282,3,8:11.0,B. Lopez misses 3-pt jump shot from 26 ft,,61,71
283,3,8:11.0,,Defensive rebound by D. Bertāns,61,71
284,3,7:52.0,,D. Bertāns makes 3-pt jump shot from 25 ft (assist by P. Gasol),61,74
285,3,7:52.0,LA Lakers full timeout,,61,74
286,3,7:35.0,Turnover by B. Lopez (bad pass; steal by D. Murray),,61,74
287,3,7:25.0,,P. Gasol makes 2-pt hook shot from 5 ft,61,76
288,3,7:14.0,J. Randle makes 2-pt layup from 2 ft (assist by L. Ball),,63,76
289,3,7:00.0,,K. Anderson makes 2-pt layup from 2 ft (assist by D. Bertāns),63,78
290,3,7:00.0,Violation by J. Randle (def goaltending),,63,78
291,3,6:46.0,K. Kuzma misses 2-pt jump shot from 20 ft,,63,78
292,3,6:40.0,,Defensive rebound by P. Mills,63,78
293,3,6:22.0,,K. Anderson makes 2-pt layup from 1 ft (assist by P. Gasol),63,80
294,3,5:55.0,L. Ball makes 3-pt jump shot from 26 ft (assist by J. Randle),,66,80
295,3,5:43.0,,Turnover by P. Gasol (bad pass; steal by K. Kuzma),66,80
296,3,5:35.0,L. Ball misses 3-pt jump shot from 25 ft,,66,80
297,3,5:35.0,Offensive rebound by Team,,66,80
298,3,5:35.0,,Loose ball foul by P. Mills (drawn by K. Kuzma),66,80
299,3,5:35.0,,M. Ginóbili enters the game for P. Mills,66,80
300,3,5:35.0,I. Thomas enters the game for K. Kuzma,,66,80
301,3,5:30.0,K. Caldwell-Pope makes 2-pt jump shot from 15 ft (assist by I. Thomas),,68,80
302,3,5:29.0,,San Antonio full timeout,68,80
303,3,5:29.0,,T. Parker enters the game for D. Murray,68,80
304,3,5:29.0,,R. Gay enters the game for P. Gasol,68,80
305,3,5:29.0,,J. Lauvergne enters the game for D. Bertāns,68,80
306,3,5:11.0,,R. Gay misses 3-pt jump shot from 25 ft,68,80
307,3,5:11.0,Defensive rebound by L. Ball,,68,80
308,3,5:11.0,Personal foul by M. Ginóbili (drawn by L. Ball),,68,80
309,3,5:02.0,Turnover by L. Ball (bad pass),,68,80
310,3,4:43.0,,Turnover by T. Parker (step out of bounds),68,80
311,3,4:43.0,,D. Green enters the game for K. Anderson,68,80
312,3,4:35.0,K. Caldwell-Pope makes 3-pt jump shot from 25 ft (assist by L. Ball),,71,80
313,3,4:22.0,,T. Parker misses 2-pt jump shot from 18 ft,71,80
314,3,4:22.0,,Offensive rebound by J. Lauvergne,71,80
315,3,4:12.0,,T. Parker misses 2-pt jump shot from 16 ft,71,80
316,3,4:12.0,Defensive rebound by B. Lopez,,71,80
317,3,4:06.0,I. Thomas misses 3-pt jump shot from 26 ft,,71,80
318,3,4:06.0,,Defensive rebound by J. Lauvergne,71,80
319,3,3:49.0,,R. Gay makes 2-pt layup from 3 ft (assist by M. Ginóbili),71,82
320,3,3:28.0,L. Ball misses 3-pt jump shot from 26 ft,,71,82
321,3,3:28.0,,Defensive rebound by J. Lauvergne,71,82
322,3,3:15.0,,M. Ginóbili makes 2-pt jump shot from 22 ft,71,84
323,3,3:04.0,L. Ball makes 3-pt jump shot from 22 ft (assist by I. Thomas),,74,84
324,3,2:50.0,,M. Ginóbili misses 2-pt jump shot from 6 ft,74,84
325,3,2:50.0,Defensive rebound by K. Caldwell-Pope,,74,84
326,3,2:41.0,I. Thomas misses 2-pt jump shot from 17 ft,,74,84
327,3,2:41.0,,Defensive rebound by R. Gay,74,84
328,3,2:27.0,,Shooting foul by J. Randle (drawn by J. Lauvergne),74,84
329,3,2:27.0,,J. Lauvergne makes free throw 1 of 2,74,85
330,3,2:27.0,I. Zubac enters the game for J. Randle,,74,85
331,3,2:27.0,,J. Lauvergne makes free throw 2 of 2,74,86
332,3,2:27.0,K. Kuzma enters the game for B. Lopez,,74,86
333,3,2:08.0,K. Caldwell-Pope makes 2-pt jump shot from 16 ft (assist by I. Thomas),,76,86
334,3,1:59.0,,M. Ginóbili misses 3-pt jump shot from 25 ft,76,86
335,3,1:59.0,,Offensive rebound by Team,76,86
336,3,1:41.0,,R. Gay misses 2-pt jump shot from 9 ft,76,86
337,3,1:37.0,Defensive rebound by I. Zubac,,76,86
338,3,1:36.0,Shooting foul by J. Lauvergne (drawn by I. Thomas),,76,86
339,3,1:36.0,I. Thomas makes free throw 1 of 2,,77,86
340,3,1:36.0,I. Thomas makes free throw 2 of 2,,78,86
341,3,1:25.0,,M. Ginóbili misses 2-pt layup from 1 ft,78,86
342,3,1:23.0,Defensive rebound by I. Zubac,,78,86
343,3,1:20.0,K. Kuzma misses 3-pt jump shot from 23 ft,,78,86
344,3,1:19.0,Offensive rebound by K. Caldwell-Pope,,78,86
345,3,1:19.0,K. Caldwell-Pope misses 2-pt layup at rim,,78,86
346,3,1:18.0,Offensive rebound by I. Zubac,,78,86
347,3,1:18.0,I. Zubac misses 2-pt layup at rim,,78,86
348,3,1:16.0,,Defensive rebound by R. Gay,78,86
349,3,1:13.0,,Turnover by D. Green (bad pass; steal by L. Ball),78,86
350,3,1:04.0,Turnover by I. Thomas (bad pass),,78,86
351,3,0:45.0,,J. Lauvergne misses 2-pt hook shot from 8 ft,78,86
352,3,0:45.0,Defensive rebound by Team,,78,86
353,3,0:45.0,Personal foul by R. Gay (drawn by K. Kuzma),,78,86
354,3,0:45.0,K. Kuzma misses free throw 1 of 2,,78,86
355,3,0:45.0,Offensive rebound by Team,,78,86
356,3,0:45.0,,P. Mills enters the game for T. Parker,78,86
357,3,0:45.0,,P. Gasol enters the game for J. Lauvergne,78,86
358,3,0:45.0,G. Payton enters the game for K. Caldwell-Pope,,78,86
359,3,0:45.0,K. Kuzma misses free throw 2 of 2,,78,86
360,3,0:43.0,,Defensive rebound by P. Gasol,78,86
361,3,0:32.0,,P. Gasol makes 2-pt layup from 2 ft (assist by M. Ginóbili),78,88
362,3,0:19.0,I. Thomas misses 2-pt jump shot from 19 ft,,78,88
363,3,0:19.0,Offensive rebound by K. Kuzma,,78,88
364,3,0:13.0,G. Payton misses 2-pt dunk from 1 ft (block by D. Green),,78,88
365,3,0:13.0,Offensive rebound by K. Kuzma,,78,88
366,3,0:13.0,K. Kuzma makes 2-pt layup from 2 ft,,80,88
367,3,0:03.0,,R. Gay makes 2-pt layup from 1 ft,80,90
368,3,0:03.0,,Shooting foul by K. Kuzma (drawn by R. Gay),80,90
369,3,0:03.0,,R. Gay makes free throw 1 of 1,80,91
370,3,0:00.0,I. Thomas misses 3-pt jump shot from 31 ft,,80,91
371,3,0:00.0,Offensive rebound by Team,,80,91
372,4,11:51.0,Turnover by I. Thomas (bad pass; steal by D. Murray),,80,91
373,4,11:32.0,,R. Gay misses 2-pt jump shot from 12 ft,80,91
374,4,11:31.0,,Offensive rebound by D. Murray,80,91
375,4,11:30.0,,D. Murray misses 2-pt layup from 1 ft,80,91
376,4,11:30.0,Defensive rebound by T. Ennis,,80,91
377,4,11:14.0,K. Caldwell-Pope misses 3-pt jump shot from 25 ft,,80,91
