,QUARTER,TIME_REMAINING,LA LAKERS_ACTION,NEW YORK_ACTION,LA LAKERS_SCORE,NEW YORK_SCORE
92,1,1:34.0,K. Kuzma misses 2-pt layup from 2 ft (block by K. O'Quinn),,20,20
93,1,1:33.0,Offensive rebound by J. Clarkson,,20,20
94,1,1:28.0,J. Clarkson makes 2-pt layup from 2 ft,,22,20
95,1,1:28.0,Shooting foul by F. Ntilikina (drawn by J. Clarkson),,22,20
96,1,1:28.0,J. Clarkson makes free throw 1 of 1,,23,20
97,1,1:03.0,,C. Lee misses 3-pt jump shot from 22 ft,23,20
98,1,1:03.0,Defensive rebound by K. Kuzma,,23,20
99,1,0:56.0,J. Randle makes 2-pt jump shot from 1 ft (assist by K. Kuzma),,25,20
100,1,0:56.0,Shooting foul by K. Porziņģis (drawn by J. Randle),,25,20
101,1,0:56.0,J. Randle makes free throw 1 of 1,,26,20
102,1,0:49.0,,Personal foul by J. Randle (drawn by K. Porziņģis),26,20
103,1,0:44.0,,F. Ntilikina makes 3-pt jump shot from 25 ft (assist by K. O'Quinn),26,23
104,1,0:37.0,J. Clarkson makes 3-pt jump shot from 25 ft (assist by J. Randle),,29,23
105,1,0:26.0,,K. Porziņģis makes 2-pt jump shot from 19 ft,29,25
106,1,0:08.0,Shooting foul by K. O'Quinn (drawn by J. Randle),,29,25
107,1,0:08.0,J. Randle misses free throw 1 of 2,,29,25
108,1,0:08.0,Offensive rebound by Team,,29,25
109,1,0:08.0,J. Randle misses free throw 2 of 2,,29,25
110,1,0:06.0,,Defensive rebound by K. Porziņģis,29,25
111,1,0:01.0,,C. Lee misses 2-pt jump shot from 20 ft,29,25
112,1,0:01.0,,Offensive rebound by Team,29,25
113,2,11:46.0,,F. Ntilikina misses 2-pt jump shot from 21 ft,29,25
114,2,11:44.0,Defensive rebound by Team,,29,25
115,2,11:20.0,J. Clarkson misses 2-pt jump shot from 19 ft,,29,25
116,2,11:19.0,Offensive rebound by K. Kuzma,,29,25
117,2,11:18.0,K. Kuzma makes 2-pt layup at rim,,31,25
118,2,11:08.0,,M. Beasley misses 2-pt layup from 3 ft,31,25
119,2,11:08.0,,Offensive rebound by M. Beasley,31,25
120,2,11:02.0,,M. Beasley misses 2-pt layup at rim,31,25
121,2,11:01.0,Defensive rebound by C. Brewer,,31,25
122,2,10:50.0,J. Clarkson makes 2-pt jump shot from 7 ft,,33,25
123,2,10:28.0,,R. Baker misses 3-pt jump shot from 22 ft,33,25
124,2,10:26.0,Defensive rebound by K. Kuzma,,33,25
125,2,10:15.0,J. Randle misses 2-pt jump shot from 4 ft,,33,25
126,2,10:14.0,,Defensive rebound by Team,33,25
