,QUARTER,TIME_REMAINING,DALLAS_ACTION,LA CLIPPERS_ACTION,DALLAS_SCORE,LA CLIPPERS_SCORE
110,1,0:04.0,D. Harris enters the game for J. Barea,,29,32
111,1,0:04.0,W. Matthews enters the game for M. Kleber,,29,32
112,1,0:01.0,Turnover by D. Smith (out of bounds lost ball),,29,32
113,1,0:01.0,,D. Gallinari misses 3-pt jump shot from 60 ft,29,32
114,1,0:01.0,,Offensive rebound by Team,29,32
115,2,11:43.0,D. Smith misses 2-pt jump shot from 8 ft (block by M. Harrell),,29,32
116,2,11:38.0,,Defensive rebound by D. Gallinari,29,32
117,2,11:27.0,,M. Harrell misses 2-pt hook shot from 5 ft,29,32
118,2,11:25.0,Defensive rebound by D. Nowitzki,,29,32
119,2,11:12.0,D. Nowitzki misses 2-pt jump shot from 18 ft,,29,32
120,2,11:06.0,,Defensive rebound by M. Harrell,29,32
121,2,11:06.0,,Personal foul by J. Barea (drawn by D. Gallinari),29,32
122,2,10:58.0,,Personal foul by D. Powell (drawn by S. Thornwell),29,32
123,2,10:43.0,,M. Harrell makes 2-pt layup from 1 ft (assist by L. Williams),29,34
124,2,10:31.0,W. Matthews misses 3-pt jump shot from 24 ft,,29,34
125,2,10:27.0,Offensive rebound by D. Powell,,29,34
126,2,10:25.0,W. Matthews misses 2-pt layup from 1 ft,,29,34
127,2,10:21.0,,Defensive rebound by M. Harrell,29,34
128,2,10:15.0,,L. Williams makes 3-pt jump shot from 25 ft (assist by S. Thornwell),29,37
129,2,10:11.0,Dallas full timeout,,29,37
130,2,10:11.0,D. Harris enters the game for D. Smith,,29,37
131,2,10:02.0,Personal foul by W. Johnson (drawn by D. Harris),,29,37
132,2,9:54.0,W. Matthews makes 2-pt jump shot from 8 ft (assist by J. Barea),,31,37
133,2,9:34.0,,Shooting foul by J. Barea (drawn by L. Williams),31,37
134,2,9:34.0,,L. Williams makes free throw 1 of 2,31,38
135,2,9:34.0,,L. Williams makes free throw 2 of 2,31,39
136,2,9:23.0,Personal foul by S. Thornwell (drawn by J. Barea),,31,39
137,2,9:15.0,D. Powell misses 3-pt jump shot from 24 ft,,31,39
138,2,9:12.0,,Defensive rebound by L. Williams,31,39
139,2,9:08.0,,M. Harrell makes 2-pt dunk at rim (assist by L. Williams),31,41
140,2,8:53.0,J. Barea misses 3-pt jump shot from 24 ft,,31,41
141,2,8:46.0,Offensive rebound by D. Nowitzki,,31,41
142,2,8:46.0,D. Nowitzki misses 2-pt layup at rim,,31,41
143,2,8:44.0,,Defensive rebound by D. Gallinari,31,41
144,2,8:42.0,,M. Harrell makes 2-pt dunk at rim (assist by D. Gallinari),31,43
145,2,8:23.0,D. Nowitzki makes 2-pt jump shot from 18 ft (assist by J. Barea),,33,43
146,2,8:09.0,,W. Johnson misses 3-pt jump shot from 24 ft,33,43
147,2,8:06.0,Defensive rebound by D. Nowitzki,,33,43
148,2,7:55.0,D. Nowitzki misses 2-pt jump shot from 15 ft,,33,43
149,2,7:50.0,,Defensive rebound by D. Gallinari,33,43
150,2,7:49.0,,Personal foul by J. Barea (drawn by D. Gallinari),33,43
151,2,7:49.0,D. Smith enters the game for J. Barea,,33,43
152,2,7:49.0,Y. Ferrell enters the game for D. Harris,,33,43
153,2,7:40.0,,L. Williams misses 3-pt jump shot from 24 ft,33,43
154,2,7:36.0,Defensive rebound by W. Matthews,,33,43
155,2,7:32.0,Def 3 sec tech foul by S. Thornwell,,33,43
156,2,7:32.0,D. Nowitzki makes technical free throw,,34,43
157,2,7:32.0,,P. Beverley enters the game for W. Johnson,34,43
158,2,7:27.0,Y. Ferrell misses 3-pt jump shot from 24 ft,,34,43
159,2,7:24.0,,Defensive rebound by D. Gallinari,34,43
160,2,7:06.0,,D. Gallinari misses 3-pt jump shot from 25 ft,34,43
161,2,7:03.0,Defensive rebound by Y. Ferrell,,34,43
162,2,6:49.0,D. Nowitzki makes 2-pt jump shot from 16 ft (assist by Y. Ferrell),,36,43
163,2,6:43.0,,Shooting block foul by D. Powell (drawn by L. Williams),36,43
164,2,6:43.0,,L. Williams makes free throw 1 of 2,36,44
165,2,6:43.0,,D. Jordan enters the game for S. Thornwell,36,44
166,2,6:43.0,,A. Rivers enters the game for M. Harrell,36,44
167,2,6:43.0,M. Kleber enters the game for D. Powell,,36,44
168,2,6:43.0,N. Noel enters the game for W. Matthews,,36,44
169,2,6:43.0,H. Barnes enters the game for D. Nowitzki,,36,44
170,2,6:43.0,,L. Williams makes free throw 2 of 2,36,45
171,2,6:26.0,D. Smith misses 3-pt jump shot from 25 ft,,36,45
172,2,6:22.0,,Defensive rebound by Team,36,45
173,2,6:22.0,,B. Griffin enters the game for L. Williams,36,45
174,2,6:03.0,,B. Griffin misses 3-pt jump shot from 24 ft,36,45
175,2,6:01.0,Defensive rebound by Y. Ferrell,,36,45
176,2,5:55.0,Y. Ferrell misses 2-pt jump shot from 18 ft,,36,45
177,2,5:52.0,,Defensive rebound by B. Griffin,36,45
178,2,5:40.0,,A. Rivers misses 2-pt jump shot from 14 ft,36,45
179,2,5:36.0,Defensive rebound by N. Noel,,36,45
180,2,5:30.0,Turnover by D. Smith (bad pass; steal by D. Gallinari),,36,45
181,2,5:27.0,,B. Griffin makes 2-pt dunk from 1 ft (assist by D. Gallinari),36,47
182,2,5:26.0,Dallas full timeout,,36,47
183,2,5:26.0,,W. Johnson enters the game for D. Gallinari,36,47
184,2,5:26.0,D. Harris enters the game for D. Smith,,36,47
185,2,5:16.0,H. Barnes misses 3-pt jump shot from 25 ft,,36,47
186,2,5:14.0,,Defensive rebound by Team,36,47
187,2,5:14.0,,Personal take foul by D. Harris (drawn by D. Jordan),36,47
188,2,5:14.0,,D. Jordan makes free throw 1 of 2,36,48
189,2,5:14.0,,D. Jordan makes free throw 2 of 2,36,49
190,2,4:50.0,D. Harris misses 2-pt jump shot from 8 ft (block by D. Jordan),,36,49
191,2,4:48.0,Offensive rebound by D. Harris,,36,49
192,2,4:48.0,Shooting foul by D. Jordan (drawn by D. Harris),,36,49
193,2,4:48.0,D. Harris makes free throw 1 of 2,,37,49
194,2,4:48.0,D. Harris misses free throw 2 of 2,,37,49
195,2,4:45.0,,Defensive rebound by D. Jordan,37,49
196,2,4:31.0,,A. Rivers makes 2-pt layup at rim (assist by B. Griffin),37,51
197,2,4:20.0,Personal foul by P. Beverley (drawn by H. Barnes),,37,51
198,2,4:07.0,D. Harris makes 3-pt jump shot from 27 ft (assist by H. Barnes),,40,51
199,2,3:54.0,,Personal foul by M. Kleber (drawn by W. Johnson),40,51
200,2,3:54.0,,W. Johnson makes free throw 1 of 2,40,52
201,2,3:54.0,,W. Johnson makes free throw 2 of 2,40,53
202,2,3:41.0,Turnover by H. Barnes (lost ball; steal by B. Griffin),,40,53
203,2,3:35.0,,A. Rivers makes 2-pt layup at rim (assist by P. Beverley),40,55
204,2,3:21.0,Y. Ferrell misses 2-pt jump shot from 17 ft,,40,55
205,2,3:16.0,,Defensive rebound by B. Griffin,40,55
206,2,3:04.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by A. Rivers),40,57
207,2,2:38.0,M. Kleber makes 3-pt jump shot from 23 ft (assist by Y. Ferrell),,43,57
208,2,2:35.0,,Personal take foul by D. Harris (drawn by D. Jordan),43,57
209,2,2:35.0,,D. Jordan misses free throw 1 of 2,43,57
210,2,2:35.0,,Offensive rebound by Team,43,57
211,2,2:35.0,J. Barea enters the game for N. Noel,,43,57
212,2,2:35.0,D. Smith enters the game for Y. Ferrell,,43,57
213,2,2:35.0,D. Nowitzki enters the game for M. Kleber,,43,57
214,2,2:35.0,W. Matthews enters the game for D. Harris,,43,57
215,2,2:35.0,,D. Jordan makes free throw 2 of 2,43,58
216,2,2:23.0,Turnover by D. Smith (bad pass; steal by W. Johnson),,43,58
217,2,2:19.0,,W. Johnson makes 2-pt dunk from 1 ft (assist by B. Griffin),43,60
218,2,2:07.0,Turnover by D. Smith (lost ball; steal by A. Rivers),,43,60
219,2,2:03.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by A. Rivers),43,62
220,2,2:01.0,Dallas full timeout,,43,62
221,2,2:01.0,,L. Williams enters the game for P. Beverley,43,62
222,2,1:39.0,D. Smith misses 2-pt jump shot from 16 ft,,43,62
223,2,1:32.0,,Defensive rebound by W. Johnson,43,62
224,2,1:28.0,,Turnover by D. Jordan (bad pass; steal by D. Smith),43,62
225,2,1:23.0,D. Smith makes 2-pt layup at rim,,45,62
226,2,0:58.0,,B. Griffin makes 3-pt jump shot from 25 ft (assist by W. Johnson),45,65
227,2,0:46.0,H. Barnes misses 2-pt jump shot from 17 ft,,45,65
228,2,0:43.0,,Defensive rebound by L. Williams,45,65
229,2,0:38.0,,Shooting foul by H. Barnes (drawn by W. Johnson),45,65
230,2,0:38.0,,W. Johnson misses free throw 1 of 2,45,65
231,2,0:38.0,,Offensive rebound by Team,45,65
232,2,0:38.0,D. Harris enters the game for D. Smith,,45,65
233,2,0:38.0,,W. Johnson makes free throw 2 of 2,45,66
234,2,0:33.0,D. Harris makes 3-pt jump shot from 25 ft,,48,66
235,2,0:25.0,,A. Rivers misses 2-pt jump shot from 8 ft,48,66
236,2,0:22.0,Defensive rebound by D. Nowitzki,,48,66
237,2,0:02.0,D. Nowitzki misses 2-pt jump shot from 16 ft,,48,66
238,2,0:02.0,Offensive rebound by Team,,48,66
239,3,11:35.0,H. Barnes makes 2-pt jump shot from 4 ft,,50,66
240,3,11:20.0,,Shooting foul by D. Harris (drawn by D. Jordan),50,66
241,3,11:20.0,,D. Jordan misses free throw 1 of 2,50,66
242,3,11:20.0,,Offensive rebound by Team,50,66
243,3,11:20.0,,D. Jordan misses free throw 2 of 2,50,66
244,3,11:17.0,Defensive rebound by H. Barnes,,50,66
245,3,11:08.0,H. Barnes makes 2-pt jump shot from 18 ft (assist by D. Smith),,52,66
246,3,10:58.0,,A. Rivers makes 3-pt jump shot from 24 ft (assist by B. Griffin),52,69
247,3,10:37.0,D. Nowitzki makes 2-pt jump shot from 16 ft,,54,69
248,3,10:20.0,,Turnover by A. Rivers (traveling),54,69
249,3,10:01.0,Turnover by D. Nowitzki (lost ball; steal by P. Beverley),,54,69
250,3,9:56.0,,D. Gallinari misses 3-pt jump shot from 25 ft,54,69
251,3,9:50.0,,Offensive rebound by D. Jordan,54,69
252,3,9:46.0,,D. Gallinari makes 2-pt jump shot from 15 ft (assist by P. Beverley),54,71
253,3,9:21.0,Turnover by H. Barnes (bad pass; steal by P. Beverley),,54,71
254,3,9:13.0,,D. Gallinari makes 3-pt jump shot from 23 ft (assist by P. Beverley),54,74
255,3,9:00.0,Personal foul by A. Rivers (drawn by D. Harris),,54,74
256,3,8:48.0,Turnover by D. Smith (lost ball; steal by P. Beverley),,54,74
257,3,8:43.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by A. Rivers),54,76
258,3,8:43.0,Dallas full timeout,,54,76
259,3,8:22.0,D. Smith misses 3-pt jump shot from 24 ft,,54,76
260,3,8:19.0,,Defensive rebound by D. Jordan,54,76
261,3,8:07.0,,B. Griffin makes 2-pt hook shot from 4 ft,54,78
262,3,7:49.0,D. Smith makes 2-pt jump shot from 8 ft,,56,78
263,3,7:37.0,,A. Rivers misses 2-pt layup from 2 ft (block by D. Harris),56,78
264,3,7:34.0,Defensive rebound by D. Nowitzki,,56,78
265,3,7:31.0,D. Harris misses 3-pt jump shot from 24 ft,,56,78
266,3,7:26.0,,Defensive rebound by P. Beverley,56,78
267,3,7:23.0,,Shooting foul by D. Smith (drawn by P. Beverley),56,78
268,3,7:23.0,,P. Beverley makes free throw 1 of 2,56,79
269,3,7:23.0,,P. Beverley makes free throw 2 of 2,56,80
270,3,7:09.0,Def 3 sec tech foul by B. Griffin,,56,80
271,3,7:09.0,D. Nowitzki makes technical free throw,,57,80
272,3,7:03.0,D. Smith makes 2-pt layup from 1 ft (assist by D. Nowitzki),,59,80
273,3,7:03.0,Shooting block foul by D. Gallinari (drawn by D. Smith),,59,80
274,3,7:03.0,D. Smith makes free throw 1 of 1,,60,80
275,3,6:38.0,,D. Jordan makes 2-pt layup at rim (assist by D. Gallinari),60,82
276,3,6:21.0,Personal foul by D. Gallinari (drawn by H. Barnes),,60,82
277,3,6:16.0,D. Nowitzki makes 3-pt jump shot from 24 ft (assist by W. Matthews),,63,82
278,3,5:55.0,,P. Beverley makes 3-pt jump shot from 26 ft (assist by B. Griffin),63,85
279,3,5:35.0,Personal foul by A. Rivers (drawn by W. Matthews),,63,85
280,3,5:33.0,D. Nowitzki misses 3-pt jump shot from 25 ft,,63,85
281,3,5:29.0,,Defensive rebound by B. Griffin,63,85
282,3,5:21.0,,P. Beverley misses 3-pt jump shot from 23 ft,63,85
283,3,5:16.0,Defensive rebound by D. Nowitzki,,63,85
284,3,5:10.0,D. Smith misses 2-pt jump shot from 20 ft,,63,85
285,3,5:05.0,,Defensive rebound by D. Jordan,63,85
286,3,5:00.0,,B. Griffin misses 3-pt jump shot from 26 ft,63,85
287,3,4:55.0,Defensive rebound by H. Barnes,,63,85
288,3,4:44.0,W. Matthews makes 3-pt jump shot from 22 ft (assist by D. Harris),,66,85
289,3,4:29.0,,Personal foul by H. Barnes (drawn by B. Griffin),66,85
290,3,4:29.0,,W. Johnson enters the game for D. Gallinari,66,85
291,3,4:29.0,N. Noel enters the game for D. Harris,,66,85
292,3,4:29.0,J. Barea enters the game for D. Nowitzki,,66,85
