,QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,ATLANTA_ACTION,LA CLIPPERS_SCORE,ATLANTA_SCORE
94,1,0:00.0,,Offensive rebound by Team,29,30
95,2,11:49.0,,Personal block foul by W. Reed (drawn by M. Belinelli),29,30
96,2,11:42.0,,Shooting foul by J. Evans (drawn by J. Magette),29,30
97,2,11:42.0,,J. Magette makes free throw 1 of 2,29,31
98,2,11:42.0,,J. Magette makes free throw 2 of 2,29,32
99,2,11:28.0,L. Williams misses 2-pt layup from 2 ft (block by D. Bembry),,29,32
100,2,11:25.0,,Defensive rebound by M. Belinelli,29,32
101,2,11:22.0,,Personal foul by S. Thornwell (drawn by M. Belinelli),29,32
102,2,11:15.0,,M. Belinelli makes 2-pt jump shot from 21 ft (assist by J. Magette),29,34
103,2,10:51.0,S. Thornwell misses 3-pt jump shot from 25 ft,,29,34
104,2,10:49.0,Offensive rebound by L. Williams,,29,34
105,2,10:47.0,J. Evans makes 2-pt jump shot from 20 ft (assist by S. Dekker),,31,34
106,2,10:31.0,,Turnover by D. Bembry (lost ball; steal by S. Dekker),31,34
107,2,10:29.0,Turnover by L. Williams (bad pass),,31,34
108,2,10:29.0,D. Jordan enters the game for W. Reed,,31,34
109,2,10:26.0,,Turnover by M. Belinelli (bad pass; steal by S. Dekker),31,34
110,2,10:11.0,S. Dekker makes 2-pt hook shot from 12 ft,,33,34
111,2,9:58.0,,M. Belinelli misses 3-pt jump shot from 24 ft,33,34
112,2,9:55.0,Defensive rebound by D. Jordan,,33,34
113,2,9:48.0,D. Jordan makes 2-pt dunk from 3 ft (assist by L. Williams),,35,34
114,2,9:48.0,,Atlanta full timeout,35,34
115,2,9:48.0,,K. Bazemore enters the game for J. Collins,35,34
116,2,9:48.0,,D. Dedmon enters the game for T. Cavanaugh,35,34
117,2,9:38.0,,D. Dedmon makes 2-pt layup from 2 ft (assist by J. Magette),35,36
118,2,9:25.0,S. Dekker makes 2-pt dunk at rim (assist by J. Evans),,37,36
119,2,9:05.0,,J. Magette misses 2-pt jump shot from 20 ft,37,36
120,2,9:02.0,Defensive rebound by D. Jordan,,37,36
121,2,8:55.0,Personal foul by M. Belinelli (drawn by D. Jordan),,37,36
122,2,8:55.0,,T. Prince enters the game for M. Belinelli,37,36
123,2,8:40.0,Turnover by Team (shot clock),,37,36
124,2,8:24.0,,D. Bembry misses 2-pt jump shot from 12 ft,37,36
125,2,8:21.0,Defensive rebound by J. Evans,,37,36
126,2,8:08.0,J. Evans misses 3-pt jump shot from 26 ft,,37,36
127,2,8:02.0,,Defensive rebound by J. Magette,37,36
128,2,7:44.0,,T. Prince misses 2-pt layup from 1 ft,37,36
129,2,7:44.0,,Offensive rebound by Team,37,36
130,2,7:44.0,,D. Schröder enters the game for J. Magette,37,36
131,2,7:44.0,A. Rivers enters the game for S. Thornwell,,37,36
132,2,7:44.0,B. Griffin enters the game for S. Dekker,,37,36
133,2,7:44.0,W. Johnson enters the game for L. Williams,,37,36
134,2,7:40.0,,D. Schröder misses 2-pt layup from 2 ft,37,36
135,2,7:38.0,,Offensive rebound by D. Dedmon,37,36
136,2,7:36.0,,K. Bazemore makes 3-pt jump shot from 26 ft (assist by D. Dedmon),37,39
137,2,7:16.0,Shooting foul by K. Bazemore (drawn by B. Griffin),,37,39
138,2,7:16.0,B. Griffin misses free throw 1 of 2,,37,39
139,2,7:16.0,Offensive rebound by Team,,37,39
140,2,7:16.0,B. Griffin makes free throw 2 of 2,,38,39
141,2,7:11.0,,Personal foul by J. Evans (drawn by K. Bazemore),38,39
142,2,7:02.0,,D. Schröder misses 3-pt jump shot from 24 ft,38,39
143,2,6:58.0,,Offensive rebound by D. Dedmon,38,39
144,2,6:51.0,,K. Bazemore makes 3-pt jump shot from 22 ft (assist by T. Prince),38,42
145,2,6:28.0,B. Griffin misses 3-pt jump shot from 25 ft,,38,42
146,2,6:24.0,,Defensive rebound by D. Schröder,38,42
147,2,6:22.0,,Shooting foul by W. Johnson (drawn by D. Schröder),38,42
148,2,6:22.0,,D. Schröder makes free throw 1 of 2,38,43
149,2,6:22.0,C. Williams enters the game for J. Evans,,38,43
150,2,6:22.0,,D. Schröder makes free throw 2 of 2,38,44
151,2,6:06.0,W. Johnson makes 2-pt jump shot from 19 ft (assist by C. Williams),,40,44
152,2,5:55.0,,T. Prince misses 2-pt jump shot from 7 ft,40,44
153,2,5:51.0,Defensive rebound by B. Griffin,,40,44
154,2,5:35.0,Shooting foul by D. Dedmon (drawn by A. Rivers),,40,44
155,2,5:35.0,A. Rivers makes free throw 1 of 2,,41,44
156,2,5:35.0,A. Rivers misses free throw 2 of 2,,41,44
157,2,5:33.0,,Defensive rebound by K. Bazemore,41,44
158,2,5:15.0,,D. Schröder misses 2-pt layup from 1 ft (block by D. Jordan),41,44
159,2,5:14.0,Defensive rebound by Team,,41,44
160,2,5:14.0,,J. Collins enters the game for D. Bembry,41,44
161,2,4:59.0,A. Rivers misses 3-pt jump shot from 24 ft,,41,44
162,2,4:55.0,Offensive rebound by B. Griffin,,41,44
163,2,4:51.0,C. Williams misses 2-pt jump shot from 12 ft,,41,44
164,2,4:50.0,Offensive rebound by Team,,41,44
165,2,4:44.0,A. Rivers makes 2-pt jump shot from 5 ft,,43,44
166,2,4:44.0,Shooting foul by J. Collins (drawn by A. Rivers),,43,44
167,2,4:44.0,A. Rivers misses free throw 1 of 1,,43,44
168,2,4:41.0,Offensive rebound by B. Griffin,,43,44
169,2,4:35.0,D. Jordan makes 2-pt layup from 3 ft (assist by B. Griffin),,45,44
170,2,4:34.0,,Atlanta full timeout,45,44
171,2,4:34.0,,M. Belinelli enters the game for D. Dedmon,45,44
172,2,4:34.0,,T. Cavanaugh enters the game for K. Bazemore,45,44
173,2,4:22.0,,T. Prince makes 2-pt jump shot from 5 ft,45,46
174,2,4:06.0,Turnover by C. Williams (traveling),,45,46
175,2,3:59.0,,M. Belinelli makes 2-pt jump shot from 19 ft (assist by D. Schröder),45,48
176,2,3:59.0,,Shooting foul by D. Jordan (drawn by M. Belinelli),45,48
177,2,3:59.0,LA Clippers full timeout,,45,48
178,2,3:59.0,L. Williams enters the game for C. Williams,,45,48
179,2,3:59.0,,M. Belinelli makes free throw 1 of 1,45,49
180,2,3:40.0,B. Griffin misses 2-pt dunk from 1 ft,,45,49
181,2,3:40.0,,Defensive rebound by T. Prince,45,49
182,2,3:32.0,,D. Schröder makes 2-pt jump shot from 13 ft,45,51
183,2,3:20.0,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Williams),,47,51
184,2,3:09.0,,J. Collins makes 2-pt dunk at rim (assist by D. Schröder),47,53
185,2,2:53.0,L. Williams makes 3-pt jump shot from 25 ft (assist by B. Griffin),,50,53
186,2,2:39.0,,Turnover by D. Schröder (bad pass; steal by A. Rivers),50,53
187,2,2:37.0,Turnover by B. Griffin (lost ball; steal by M. Belinelli),,50,53
188,2,2:31.0,,J. Collins makes 2-pt dunk from 1 ft (assist by M. Belinelli),50,55
189,2,2:08.0,B. Griffin misses 2-pt layup from 3 ft,,50,55
190,2,2:07.0,Offensive rebound by Team,,50,55
191,2,1:59.0,B. Griffin makes 3-pt jump shot from 24 ft (assist by W. Johnson),,53,55
192,2,1:45.0,,T. Prince misses 3-pt jump shot from 26 ft,53,55
193,2,1:42.0,Defensive rebound by D. Jordan,,53,55
194,2,1:34.0,Shooting foul by T. Cavanaugh (drawn by B. Griffin),,53,55
195,2,1:34.0,B. Griffin misses free throw 1 of 2,,53,55
196,2,1:34.0,Offensive rebound by Team,,53,55
197,2,1:34.0,B. Griffin makes free throw 2 of 2,,54,55
198,2,1:24.0,,J. Collins makes 2-pt dunk from 1 ft (assist by D. Schröder),54,57
199,2,1:06.0,B. Griffin makes 2-pt layup from 5 ft (assist by A. Rivers),,56,57
200,2,0:52.0,,T. Cavanaugh makes 2-pt layup from 2 ft (assist by T. Prince),56,59
201,2,0:37.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by L. Williams),,59,59
202,2,0:32.0,,D. Schröder makes 2-pt jump shot from 19 ft,59,61
203,2,0:26.0,W. Johnson makes 3-pt jump shot from 23 ft (assist by L. Williams),,62,61
204,2,0:06.0,,D. Schröder misses 3-pt jump shot from 25 ft,62,61
205,2,0:04.0,,Offensive rebound by J. Collins,62,61
206,2,0:04.0,,J. Collins makes 2-pt layup at rim,62,63
207,3,11:46.0,,D. Schröder misses 2-pt layup from 3 ft,62,63
208,3,11:38.0,,Offensive rebound by J. Collins,62,63
209,3,11:38.0,,J. Collins makes 2-pt dunk at rim,62,65
210,3,11:25.0,D. Jordan makes 2-pt dunk from 2 ft (assist by L. Williams),,64,65
211,3,11:09.0,,M. Delaney enters the game for T. Prince,64,65
212,3,11:01.0,,K. Bazemore misses 2-pt jump shot from 23 ft,64,65
213,3,10:58.0,Defensive rebound by D. Jordan,,64,65
214,3,10:43.0,W. Johnson makes 3-pt jump shot from 22 ft (assist by B. Griffin),,67,65
215,3,10:41.0,,Atlanta full timeout,67,65
216,3,10:29.0,,Shooting foul by D. Jordan (drawn by D. Dedmon),67,65
217,3,10:29.0,,D. Dedmon misses free throw 1 of 2,67,65
218,3,10:29.0,,Offensive rebound by Team,67,65
219,3,10:29.0,,D. Dedmon misses free throw 2 of 2,67,65
220,3,10:27.0,Defensive rebound by D. Jordan,,67,65
221,3,10:09.0,B. Griffin misses 2-pt jump shot from 17 ft,,67,65
222,3,10:05.0,,Defensive rebound by M. Delaney,67,65
223,3,9:52.0,,M. Delaney misses 2-pt jump shot from 23 ft,67,65
224,3,9:49.0,,Offensive rebound by D. Dedmon,67,65
225,3,9:47.0,,D. Dedmon makes 2-pt jump shot from 2 ft,67,67
226,3,9:40.0,L. Williams misses 2-pt layup from 1 ft,,67,67
227,3,9:40.0,,Defensive rebound by D. Dedmon,67,67
228,3,9:32.0,,M. Delaney misses 3-pt jump shot from 24 ft,67,67
229,3,9:27.0,Defensive rebound by W. Johnson,,67,67
230,3,9:16.0,A. Rivers misses 3-pt jump shot from 22 ft,,67,67
231,3,9:13.0,,Defensive rebound by J. Collins,67,67
232,3,9:03.0,,Turnover by K. Bazemore (bad pass; steal by W. Johnson),67,67
233,3,8:59.0,Turnover by L. Williams (lost ball; steal by K. Bazemore),,67,67
234,3,8:43.0,,D. Schröder misses 2-pt layup from 6 ft (block by W. Johnson),67,67
235,3,8:39.0,,Offensive rebound by K. Bazemore,67,67
236,3,8:36.0,,K. Bazemore makes 3-pt jump shot from 24 ft,67,70
237,3,8:24.0,B. Griffin makes 2-pt jump shot from 17 ft,,69,70
238,3,8:07.0,,D. Dedmon makes 3-pt jump shot from 24 ft (assist by M. Delaney),69,73
239,3,8:02.0,,Offensive charge foul by B. Griffin (drawn by M. Delaney),69,73
240,3,8:02.0,Turnover by B. Griffin (offensive foul),,69,73
241,3,7:49.0,,D. Schröder makes 3-pt jump shot from 25 ft,69,76
242,3,7:48.0,LA Clippers full timeout,,69,76
243,3,7:38.0,L. Williams makes 2-pt layup from 1 ft,,71,76
244,3,7:11.0,,D. Schröder misses 2-pt jump shot from 13 ft,71,76
245,3,7:10.0,Defensive rebound by Team,,71,76
246,3,6:50.0,L. Williams misses 3-pt jump shot from 22 ft,,71,76
247,3,6:50.0,Offensive rebound by D. Jordan,,71,76
248,3,6:45.0,W. Johnson makes 3-pt jump shot from 26 ft (assist by B. Griffin),,74,76
249,3,6:25.0,,Turnover by K. Bazemore (bad pass),74,76
250,3,6:25.0,,M. Belinelli enters the game for J. Collins,74,76
251,3,6:25.0,,T. Cavanaugh enters the game for K. Bazemore,74,76
252,3,6:05.0,B. Griffin misses 3-pt jump shot from 25 ft,,74,76
253,3,6:03.0,,Defensive rebound by D. Schröder,74,76
254,3,5:50.0,,D. Schröder misses 2-pt layup from 3 ft (block by A. Rivers),74,76
255,3,5:50.0,,Offensive rebound by Team,74,76
256,3,5:48.0,,D. Schröder misses 2-pt jump shot from 20 ft,74,76
257,3,5:44.0,Defensive rebound by D. Jordan,,74,76
258,3,5:42.0,B. Griffin makes 2-pt layup from 1 ft (assist by D. Jordan),,76,76
259,3,5:31.0,,Personal foul by W. Johnson (drawn by M. Belinelli),76,76
260,3,5:25.0,,D. Schröder makes 2-pt layup from 1 ft,76,78
261,3,5:13.0,Personal foul by M. Delaney (drawn by L. Williams),,76,78
262,3,5:00.0,Turnover by B. Griffin (bad pass; steal by M. Belinelli),,76,78
263,3,4:51.0,,D. Schröder misses 3-pt jump shot from 24 ft,76,78
264,3,4:49.0,Defensive rebound by Team,,76,78
265,3,4:49.0,,Loose ball foul by D. Dedmon (drawn by B. Griffin),76,78
266,3,4:40.0,Personal foul by D. Dedmon (drawn by B. Griffin),,76,78
267,3,4:40.0,,J. Collins enters the game for D. Dedmon,76,78
268,3,4:35.0,A. Rivers misses 2-pt jump shot from 9 ft,,76,78
269,3,4:29.0,Offensive rebound by D. Jordan,,76,78
270,3,4:29.0,D. Jordan makes 2-pt layup at rim,,78,78
271,3,4:18.0,,D. Schröder misses 2-pt jump shot from 21 ft,78,78
272,3,4:15.0,Defensive rebound by D. Jordan,,78,78
273,3,4:11.0,Shooting foul by M. Delaney (drawn by L. Williams),,78,78
274,3,4:11.0,L. Williams makes free throw 1 of 2,,79,78
275,3,4:11.0,,J. Magette enters the game for D. Schröder,79,78
276,3,4:11.0,J. Evans enters the game for A. Rivers,,79,78
277,3,4:11.0,L. Williams makes free throw 2 of 2,,80,78
278,3,3:48.0,,T. Cavanaugh makes 2-pt jump shot from 20 ft (assist by J. Magette),80,80
279,3,3:39.0,Personal foul by T. Cavanaugh (drawn by D. Jordan),,80,80
280,3,3:39.0,D. Jordan makes free throw 1 of 2,,81,80
281,3,3:39.0,D. Jordan makes free throw 2 of 2,,82,80
282,3,3:27.0,,M. Belinelli misses 3-pt jump shot from 24 ft,82,80
283,3,3:22.0,,Offensive rebound by J. Magette,82,80
284,3,3:17.0,,T. Cavanaugh misses 3-pt jump shot from 25 ft,82,80
285,3,3:15.0,Defensive rebound by D. Jordan,,82,80
286,3,3:03.0,D. Jordan makes 2-pt dunk from 1 ft (assist by J. Evans),,84,80
287,3,2:44.0,,T. Cavanaugh makes 2-pt jump shot from 14 ft (assist by M. Belinelli),84,82
288,3,2:34.0,L. Williams makes 2-pt layup from 2 ft,,86,82
289,3,2:10.0,,M. Delaney misses 3-pt jump shot from 26 ft,86,82
290,3,2:06.0,Defensive rebound by D. Jordan,,86,82
291,3,2:01.0,L. Williams misses 2-pt jump shot from 8 ft,,86,82
292,3,1:57.0,,Defensive rebound by J. Collins,86,82
293,3,1:43.0,,J. Magette misses 2-pt jump shot from 12 ft,86,82
294,3,1:39.0,Defensive rebound by D. Jordan,,86,82
295,3,1:21.0,B. Griffin makes 2-pt hook shot from 4 ft,,88,82
296,3,1:05.0,,Shooting foul by J. Evans (drawn by M. Belinelli),88,82
297,3,1:05.0,,M. Belinelli makes free throw 1 of 2,88,83
298,3,1:05.0,,T. Prince enters the game for M. Delaney,88,83
299,3,1:05.0,S. Dekker enters the game for D. Jordan,,88,83
300,3,1:05.0,C. Williams enters the game for B. Griffin,,88,83
301,3,1:05.0,W. Reed enters the game for W. Johnson,,88,83
302,3,1:05.0,,M. Belinelli makes free throw 2 of 2,88,84
303,3,0:53.0,Turnover by L. Williams (bad pass; steal by J. Collins),,88,84
304,3,0:41.0,Offensive charge foul by T. Prince (drawn by W. Reed),,88,84
305,3,0:41.0,,Turnover by T. Prince (offensive foul),88,84
306,3,0:31.0,L. Williams misses 3-pt jump shot from 25 ft,,88,84
307,3,0:28.0,,Defensive rebound by M. Belinelli,88,84
308,3,0:15.0,,Turnover by T. Prince (out of bounds lost ball),88,84
309,3,0:15.0,,K. Bazemore enters the game for T. Cavanaugh,88,84
310,3,0:15.0,B. Griffin enters the game for J. Evans,,88,84
311,3,0:15.0,A. Rivers enters the game for W. Reed,,88,84
312,3,0:06.0,L. Williams misses 3-pt jump shot from 24 ft,,88,84
313,3,0:03.0,,Defensive rebound by J. Magette,88,84
314,3,0:00.0,,M. Belinelli misses 3-pt jump shot from 25 ft,88,84
315,3,0:00.0,,Offensive rebound by Team,88,84
316,4,11:42.0,S. Dekker misses 3-pt jump shot from 25 ft,,88,84
317,4,11:38.0,,Defensive rebound by J. Collins,88,84
318,4,11:23.0,,J. Magette makes 2-pt jump shot from 16 ft,88,86
319,4,11:02.0,A. Rivers makes 3-pt jump shot from 24 ft,,91,86
320,4,10:36.0,,T. Prince misses 3-pt jump shot from 24 ft,91,86
321,4,10:35.0,Defensive rebound by A. Rivers,,91,86
322,4,10:26.0,,Offensive charge foul by J. Evans (drawn by T. Prince),91,86
323,4,10:26.0,Turnover by J. Evans (offensive foul),,91,86
324,4,10:26.0,,D. Schröder enters the game for J. Magette,91,86
325,4,10:09.0,,K. Bazemore misses 3-pt jump shot from 23 ft,91,86
326,4,10:07.0,Defensive rebound by A. Rivers,,91,86
327,4,10:01.0,S. Dekker makes 2-pt layup from 1 ft (assist by A. Rivers),,93,86
328,4,9:48.0,,Offensive foul by J. Collins (drawn by J. Evans),93,86
329,4,9:48.0,,Turnover by J. Collins (offensive foul),93,86
330,4,9:48.0,,D. Bembry enters the game for M. Belinelli,93,86
331,4,9:35.0,C. Williams makes 2-pt jump shot from 5 ft (assist by A. Rivers),,95,86
332,4,9:10.0,Offensive charge foul by K. Bazemore (drawn by W. Reed),,95,86
333,4,9:10.0,,Turnover by K. Bazemore (offensive foul),95,86
334,4,9:10.0,,D. Dedmon enters the game for T. Prince,95,86
335,4,8:57.0,A. Rivers makes 2-pt jump shot from 7 ft,,97,86
336,4,8:57.0,Shooting foul by J. Collins (drawn by A. Rivers),,97,86
337,4,8:57.0,,Atlanta full timeout,97,86
338,4,8:57.0,A. Rivers misses free throw 1 of 1,,97,86
339,4,8:55.0,,Defensive rebound by J. Collins,97,86
340,4,8:33.0,,K. Bazemore makes 3-pt jump shot from 29 ft (assist by D. Bembry),97,89
341,4,8:12.0,S. Dekker misses 2-pt hook shot from 5 ft,,97,89
342,4,8:09.0,Offensive rebound by S. Dekker,,97,89
343,4,8:00.0,W. Reed misses 2-pt jump shot from 10 ft,,97,89
344,4,7:57.0,,Defensive rebound by D. Dedmon,97,89
345,4,7:45.0,,D. Bembry makes 3-pt jump shot from 25 ft (assist by D. Schröder),97,92
346,4,7:44.0,LA Clippers full timeout,,97,92
347,4,7:44.0,L. Williams enters the game for J. Evans,,97,92
348,4,7:44.0,W. Johnson enters the game for S. Dekker,,97,92
349,4,7:44.0,D. Jordan enters the game for C. Williams,,97,92
350,4,7:44.0,B. Griffin enters the game for W. Reed,,97,92
351,4,7:29.0,B. Griffin misses 2-pt layup from 1 ft (block by D. Dedmon),,97,92
352,4,7:26.0,,Defensive rebound by K. Bazemore,97,92
353,4,7:21.0,,J. Collins misses 2-pt jump shot from 18 ft,97,92
354,4,7:15.0,Defensive rebound by D. Jordan,,97,92
355,4,6:56.0,A. Rivers makes 3-pt jump shot from 25 ft,,100,92
356,4,6:33.0,,D. Bembry misses 3-pt jump shot from 24 ft,100,92
357,4,6:30.0,Defensive rebound by B. Griffin,,100,92
358,4,6:09.0,A. Rivers misses 2-pt jump shot from 8 ft,,100,92
359,4,6:04.0,,Defensive rebound by D. Dedmon,100,92
360,4,5:53.0,,D. Dedmon makes 3-pt jump shot from 23 ft (assist by D. Bembry),100,95
361,4,5:32.0,L. Williams makes 2-pt layup from 1 ft,,102,95
362,4,5:20.0,,Turnover by D. Dedmon (bad pass),102,95
363,4,5:20.0,,M. Belinelli enters the game for K. Bazemore,102,95
364,4,5:10.0,B. Griffin makes 3-pt jump shot from 25 ft (assist by L. Williams),,105,95
365,4,4:59.0,,D. Bembry misses 2-pt layup from 2 ft (block by D. Jordan),105,95
366,4,4:56.0,Defensive rebound by B. Griffin,,105,95
367,4,4:52.0,Turnover by L. Williams (bad pass; steal by J. Collins),,105,95
368,4,4:40.0,,D. Schröder makes 2-pt jump shot from 15 ft (assist by J. Collins),105,97
369,4,4:15.0,W. Johnson makes 3-pt jump shot from 22 ft (assist by B. Griffin),,108,97
370,4,4:11.0,,Atlanta full timeout,108,97
371,4,4:11.0,,K. Bazemore enters the game for D. Bembry,108,97
372,4,4:11.0,C. Williams enters the game for A. Rivers,,108,97
373,4,4:03.0,,Turnover by J. Collins (bad pass; steal by L. Williams),108,97
374,4,3:52.0,L. Williams makes 3-pt jump shot from 25 ft (assist by B. Griffin),,111,97
375,4,3:40.0,,Shooting foul by C. Williams (drawn by M. Belinelli),111,97
376,4,3:40.0,,M. Belinelli makes free throw 1 of 2,111,98
377,4,3:40.0,A. Rivers enters the game for C. Williams,,111,98
