,QUARTER,TIME_REMAINING,ATLANTA_ACTION,UTAH_ACTION,ATLANTA_SCORE,UTAH_SCORE
28,1,8:53.0,,Offensive rebound by R. Gobert,4,7
29,1,8:53.0,,R. Gobert misses 2-pt layup at rim,4,7
30,1,8:53.0,Defensive rebound by D. Lee,,4,7
31,1,8:44.0,T. Prince makes 2-pt hook shot from 4 ft,,6,7
32,1,8:20.0,,R. Rubio makes 3-pt jump shot from 25 ft (assist by D. Mitchell),6,10
33,1,8:07.0,D. Schröder makes 2-pt layup from 2 ft,,8,10
34,1,7:51.0,,R. Rubio misses 3-pt jump shot from 24 ft,8,10
35,1,7:48.0,Defensive rebound by D. Dedmon,,8,10
36,1,7:40.0,T. Prince misses 2-pt jump shot from 13 ft,,8,10
37,1,7:38.0,,Defensive rebound by R. Gobert,8,10
38,1,7:29.0,,R. Rubio makes 3-pt jump shot from 22 ft (assist by J. Ingles),8,13
39,1,7:13.0,D. Schröder makes 2-pt jump shot from 15 ft,,10,13
40,1,6:57.0,,R. Rubio misses 2-pt jump shot from 20 ft,10,13
41,1,6:55.0,,Offensive rebound by R. Gobert,10,13
42,1,6:51.0,,R. Rubio misses 2-pt layup from 2 ft,10,13
43,1,6:49.0,Defensive rebound by D. Dedmon,,10,13
44,1,6:43.0,,Utah full timeout,10,13
45,1,6:43.0,,J. Crowder enters the game for J. Jerebko,10,13
46,1,6:35.0,T. Prince misses 2-pt jump shot from 11 ft,,10,13
47,1,6:33.0,,Defensive rebound by R. Gobert,10,13
48,1,6:25.0,,D. Mitchell misses 3-pt jump shot from 24 ft,10,13
49,1,6:22.0,Defensive rebound by D. Schröder,,10,13
50,1,6:08.0,D. Lee makes 2-pt jump shot from 13 ft (assist by T. Prince),,12,13
51,1,5:49.0,,R. Rubio misses 3-pt jump shot from 23 ft,12,13
52,1,5:46.0,,Offensive rebound by J. Crowder,12,13
53,1,5:44.0,,J. Ingles misses 3-pt jump shot from 25 ft,12,13
54,1,5:41.0,Defensive rebound by D. Dedmon,,12,13
55,1,5:31.0,D. Dedmon makes 2-pt jump shot from 22 ft (assist by D. Schröder),,14,13
56,1,5:18.0,,D. Mitchell misses 2-pt layup from 2 ft,14,13
57,1,5:14.0,Defensive rebound by D. Lee,,14,13
58,1,5:10.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by D. Lee),,17,13
59,1,4:49.0,,Turnover by R. Rubio (bad pass; steal by T. Prince),17,13
60,1,4:39.0,D. Schröder misses 2-pt layup from 3 ft (block by R. Rubio),,17,13
61,1,4:35.0,,Defensive rebound by J. Crowder,17,13
62,1,4:31.0,,R. Gobert makes 2-pt dunk from 1 ft (assist by R. Rubio),17,15
63,1,4:30.0,Atlanta full timeout,,17,15
64,1,4:30.0,,R. O'Neale enters the game for J. Ingles,17,15
65,1,4:30.0,,D. Exum enters the game for R. Rubio,17,15
66,1,4:30.0,M. Plumlee enters the game for D. Lee,,17,15
67,1,4:30.0,T. Cavanaugh enters the game for D. Dedmon,,17,15
68,1,4:30.0,T. Dorsey enters the game for M. Muscala,,17,15
69,1,4:09.0,Turnover by D. Schröder (out of bounds lost ball),,17,15
70,1,3:59.0,,Personal foul by T. Cavanaugh (drawn by D. Exum),17,15
71,1,3:59.0,I. Taylor enters the game for D. Schröder,,17,15
72,1,3:54.0,,D. Mitchell makes 3-pt jump shot from 25 ft,17,18
73,1,3:36.0,T. Dorsey makes 2-pt jump shot from 19 ft,,19,18
74,1,3:21.0,,Personal foul by T. Prince (drawn by D. Mitchell),19,18
75,1,3:21.0,A. White enters the game for T. Prince,,19,18
76,1,3:13.0,,J. Crowder makes 3-pt jump shot from 24 ft (assist by D. Mitchell),19,21
77,1,2:47.0,Turnover by M. Plumlee (lost ball; steal by D. Exum),,19,21
78,1,2:42.0,,R. O'Neale misses 3-pt jump shot from 23 ft,19,21
79,1,2:40.0,,Offensive rebound by J. Crowder,19,21
80,1,2:36.0,,D. Mitchell makes 2-pt jump shot from 12 ft (assist by J. Crowder),19,23
81,1,2:15.0,Shooting foul by R. Gobert (drawn by I. Taylor),,19,23
82,1,2:15.0,I. Taylor makes free throw 1 of 2,,20,23
83,1,2:15.0,,E. Udoh enters the game for R. Gobert,20,23
84,1,2:15.0,I. Taylor makes free throw 2 of 2,,21,23
85,1,1:56.0,,D. Exum misses 2-pt hook shot from 6 ft,21,23
86,1,1:56.0,,Offensive rebound by Team,21,23
87,1,1:56.0,Loose ball foul by T. Cavanaugh (drawn by E. Udoh),,21,23
88,1,1:43.0,,E. Udoh misses 2-pt jump shot from 10 ft,21,23
89,1,1:41.0,Defensive rebound by A. White,,21,23
90,1,1:33.0,Personal foul by R. O'Neale (drawn by T. Dorsey),,21,23
91,1,1:23.0,I. Taylor misses 2-pt layup from 7 ft (block by E. Udoh),,21,23
92,1,1:21.0,,Defensive rebound by R. O'Neale,21,23
93,1,1:13.0,,J. Crowder misses 2-pt layup from 1 ft,21,23
94,1,1:10.0,,Offensive rebound by D. Mitchell,21,23
95,1,1:07.0,,R. O'Neale misses 3-pt jump shot from 25 ft,21,23
96,1,1:04.0,Defensive rebound by T. Cavanaugh,,21,23
97,1,0:58.0,T. Dorsey misses 2-pt layup from 2 ft,,21,23
98,1,0:57.0,,Defensive rebound by D. Mitchell,21,23
99,1,0:52.0,,D. Mitchell misses 2-pt layup from 3 ft,21,23
100,1,0:49.0,Defensive rebound by A. White,,21,23
101,1,0:43.0,Turnover by M. Plumlee (bad pass; steal by D. Mitchell),,21,23
102,1,0:39.0,,D. Mitchell makes 2-pt layup from 2 ft,21,25
103,1,0:31.0,T. Cavanaugh misses 3-pt jump shot from 25 ft,,21,25
104,1,0:29.0,,Defensive rebound by D. Exum,21,25
105,1,0:24.0,,Personal block foul by I. Taylor (drawn by D. Exum),21,25
106,1,0:24.0,,D. Exum makes free throw 1 of 2,21,26
107,1,0:24.0,,D. Exum makes free throw 2 of 2,21,27
108,1,0:06.0,I. Taylor misses 2-pt layup from 4 ft,,21,27
109,1,0:04.0,Offensive rebound by A. White,,21,27
110,1,0:03.0,A. White misses 2-pt jump shot from 4 ft (block by E. Udoh),,21,27
111,1,0:01.0,,Defensive rebound by D. Exum,21,27
112,1,0:00.0,,E. Udoh misses 3-pt jump shot from 47 ft,21,27
113,1,0:00.0,,Offensive rebound by Team,21,27
114,2,11:37.0,M. Plumlee makes 2-pt jump shot from 20 ft (assist by I. Taylor),,23,27
115,2,11:09.0,,J. Crowder misses 3-pt jump shot from 24 ft,23,27
116,2,11:05.0,Defensive rebound by A. White,,23,27
117,2,10:51.0,T. Dorsey misses 2-pt layup from 2 ft (block by R. O'Neale),,23,27
118,2,10:47.0,,Defensive rebound by R. O'Neale,23,27
119,2,10:34.0,,D. Exum misses 2-pt jump shot from 20 ft,23,27
120,2,10:32.0,Defensive rebound by T. Dorsey,,23,27
121,2,10:17.0,A. White makes 3-pt jump shot from 24 ft (assist by T. Dorsey),,26,27
122,2,9:56.0,,J. Crowder misses 2-pt jump shot from 20 ft,26,27
123,2,9:53.0,Defensive rebound by T. Dorsey,,26,27
124,2,9:45.0,T. Dorsey misses 3-pt jump shot from 26 ft,,26,27
125,2,9:43.0,,Defensive rebound by E. Udoh,26,27
126,2,9:32.0,,J. Crowder misses 2-pt layup from 1 ft,26,27
127,2,9:30.0,,Offensive rebound by J. Crowder,26,27
128,2,9:29.0,,J. Crowder makes 2-pt layup from 1 ft,26,29
129,2,9:09.0,I. Taylor makes 2-pt jump shot from 21 ft,,28,29
130,2,8:49.0,,J. Ingles misses 3-pt jump shot from 24 ft,28,29
131,2,8:47.0,Defensive rebound by T. Dorsey,,28,29
132,2,8:38.0,T. Dorsey misses 2-pt jump shot from 17 ft (block by E. Udoh),,28,29
133,2,8:34.0,,Defensive rebound by J. Ingles,28,29
134,2,8:31.0,,R. O'Neale makes 2-pt layup from 2 ft (assist by J. Ingles),28,31
135,2,8:31.0,Atlanta full timeout,,28,31
136,2,8:31.0,,R. Gobert enters the game for D. Exum,28,31
137,2,8:31.0,,J. Jerebko enters the game for E. Udoh,28,31
138,2,8:31.0,,R. Rubio enters the game for J. Crowder,28,31
139,2,8:31.0,D. Lee enters the game for T. Dorsey,,28,31
140,2,8:31.0,T. Prince enters the game for M. Plumlee,,28,31
141,2,8:31.0,D. Schröder enters the game for I. Taylor,,28,31
142,2,8:20.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by D. Schröder),,31,31
143,2,8:01.0,,J. Jerebko misses 3-pt jump shot from 23 ft,31,31
144,2,8:01.0,,Offensive rebound by R. Gobert,31,31
145,2,7:58.0,,R. Gobert makes 2-pt layup from 1 ft,31,33
146,2,7:58.0,,Shooting foul by M. Muscala (drawn by R. Gobert),31,33
147,2,7:58.0,,R. Gobert misses free throw 1 of 1,31,33
148,2,7:58.0,Defensive rebound by T. Prince,,31,33
149,2,7:42.0,Shooting foul by R. O'Neale (drawn by D. Schröder),,31,33
150,2,7:42.0,D. Schröder makes free throw 1 of 2,,32,33
151,2,7:42.0,,D. Mitchell enters the game for J. Ingles,32,33
152,2,7:42.0,D. Schröder makes free throw 2 of 2,,33,33
153,2,7:25.0,,J. Jerebko misses 3-pt jump shot from 22 ft,33,33
154,2,7:22.0,Defensive rebound by M. Muscala,,33,33
155,2,7:15.0,D. Lee makes 2-pt layup from 2 ft (assist by D. Schröder),,35,33
156,2,6:59.0,,D. Mitchell misses 2-pt jump shot from 17 ft,35,33
157,2,6:56.0,Defensive rebound by A. White,,35,33
158,2,6:49.0,D. Schröder misses 2-pt layup from 1 ft,,35,33
159,2,6:46.0,,Defensive rebound by J. Jerebko,35,33
160,2,6:41.0,,R. O'Neale misses 3-pt jump shot from 23 ft,35,33
161,2,6:39.0,,Offensive rebound by J. Jerebko,35,33
162,2,6:37.0,,D. Mitchell misses 3-pt jump shot from 24 ft,35,33
163,2,6:33.0,Defensive rebound by M. Muscala,,35,33
164,2,6:23.0,M. Muscala misses 3-pt jump shot from 26 ft,,35,33
165,2,6:20.0,,Defensive rebound by J. Jerebko,35,33
166,2,6:12.0,,R. Rubio misses 2-pt jump shot from 9 ft,35,33
167,2,6:09.0,Defensive rebound by M. Muscala,,35,33
168,2,6:03.0,Personal foul by D. Mitchell (drawn by T. Prince),,35,33
169,2,6:03.0,D. Dedmon enters the game for A. White,,35,33
170,2,5:55.0,T. Prince misses 3-pt jump shot from 25 ft,,35,33
171,2,5:53.0,,Defensive rebound by J. Jerebko,35,33
172,2,5:43.0,,R. Gobert misses 2-pt layup from 8 ft (block by D. Dedmon),35,33
173,2,5:39.0,Defensive rebound by D. Lee,,35,33
174,2,5:37.0,D. Lee misses 2-pt layup from 2 ft,,35,33
175,2,5:35.0,Offensive rebound by D. Dedmon,,35,33
176,2,5:30.0,D. Lee misses 3-pt jump shot from 23 ft,,35,33
177,2,5:28.0,,Defensive rebound by R. Gobert,35,33
178,2,5:13.0,,Turnover by R. Rubio (bad pass; steal by M. Muscala),35,33
179,2,5:10.0,Personal foul by R. O'Neale (drawn by D. Schröder),,35,33
180,2,5:10.0,,J. Crowder enters the game for J. Jerebko,35,33
181,2,5:10.0,,J. Ingles enters the game for R. O'Neale,35,33
182,2,5:10.0,I. Taylor enters the game for M. Muscala,,35,33
183,2,5:02.0,D. Schröder makes 2-pt jump shot from 20 ft,,37,33
184,2,4:37.0,,R. Rubio makes 2-pt jump shot from 11 ft,37,35
185,2,4:18.0,T. Prince misses 2-pt jump shot from 9 ft (block by R. Gobert),,37,35
186,2,4:18.0,Offensive rebound by Team,,37,35
187,2,4:16.0,D. Schröder misses 2-pt jump shot from 18 ft,,37,35
188,2,4:14.0,,Defensive rebound by J. Ingles,37,35
189,2,4:10.0,,Turnover by R. Rubio (out of bounds lost ball),37,35
190,2,3:53.0,Offensive foul by D. Dedmon (drawn by D. Mitchell),,37,35
191,2,3:53.0,Turnover by D. Dedmon (offensive foul),,37,35
192,2,3:53.0,,Utah full timeout,37,35
193,2,3:31.0,,D. Mitchell misses 2-pt layup from 1 ft,37,35
194,2,3:29.0,Defensive rebound by D. Dedmon,,37,35
195,2,3:27.0,,Offensive charge foul by T. Prince (drawn by R. Rubio),37,35
196,2,3:27.0,Turnover by T. Prince (offensive foul),,37,35
197,2,3:18.0,,Turnover by D. Mitchell (traveling),37,35
198,2,3:18.0,T. Dorsey enters the game for I. Taylor,,37,35
199,2,3:05.0,D. Schröder makes 2-pt jump shot from 16 ft,,39,35
200,2,2:52.0,,D. Mitchell misses 2-pt layup from 1 ft,39,35
201,2,2:50.0,Defensive rebound by D. Dedmon,,39,35
202,2,2:46.0,T. Dorsey misses 3-pt jump shot from 23 ft,,39,35
203,2,2:43.0,,Defensive rebound by J. Crowder,39,35
204,2,2:35.0,,R. Rubio makes 3-pt jump shot from 23 ft (assist by J. Crowder),39,38
205,2,2:18.0,Turnover by D. Dedmon (lost ball; steal by J. Ingles),,39,38
206,2,2:12.0,,J. Crowder misses 2-pt layup from 2 ft,39,38
207,2,2:08.0,Defensive rebound by D. Schröder,,39,38
208,2,1:56.0,T. Prince misses 3-pt jump shot from 23 ft,,39,38
209,2,1:54.0,,Defensive rebound by J. Crowder,39,38
210,2,1:41.0,,Shooting foul by D. Dedmon (drawn by R. Rubio),39,38
211,2,1:41.0,,R. Rubio makes free throw 1 of 2,39,39
212,2,1:41.0,I. Taylor enters the game for D. Dedmon,,39,39
213,2,1:41.0,M. Muscala enters the game for D. Schröder,,39,39
214,2,1:41.0,,R. Rubio makes free throw 2 of 2,39,40
215,2,1:24.0,I. Taylor misses 2-pt jump shot from 11 ft,,39,40
216,2,1:19.0,Offensive rebound by M. Muscala,,39,40
217,2,1:19.0,M. Muscala misses 2-pt layup from 1 ft,,39,40
218,2,1:19.0,Offensive rebound by I. Taylor,,39,40
219,2,1:17.0,I. Taylor misses 2-pt layup from 1 ft,,39,40
220,2,1:17.0,Offensive rebound by T. Dorsey,,39,40
221,2,1:12.0,D. Lee misses 2-pt jump shot from 14 ft,,39,40
222,2,1:10.0,,Defensive rebound by R. Gobert,39,40
223,2,1:00.0,,Turnover by R. Gobert (lost ball; steal by M. Muscala),39,40
224,2,0:49.0,T. Dorsey misses 2-pt jump shot from 10 ft,,39,40
225,2,0:49.0,Offensive rebound by Team,,39,40
226,2,0:49.0,,Loose ball foul by R. Rubio (drawn by M. Muscala),39,40
227,2,0:38.0,M. Muscala makes 2-pt jump shot from 12 ft (assist by I. Taylor),,41,40
228,2,0:32.0,,D. Mitchell makes 2-pt layup from 2 ft,41,42
229,2,0:19.0,T. Prince misses 3-pt jump shot from 25 ft,,41,42
230,2,0:15.0,,Defensive rebound by R. Gobert,41,42
231,2,0:03.0,,D. Mitchell misses 3-pt jump shot from 25 ft,41,42
232,2,0:03.0,Defensive rebound by D. Lee,,41,42
233,2,0:02.0,D. Lee misses 3-pt jump shot from 75 ft,,41,42
234,2,0:01.0,Offensive rebound by Team,,41,42
235,3,11:54.0,Turnover by D. Schröder (bad pass; steal by R. Rubio),,41,42
236,3,11:49.0,,R. Rubio makes 2-pt jump shot from 13 ft,41,44
237,3,11:28.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by D. Dedmon),,44,44
238,3,11:01.0,,R. Rubio makes 2-pt jump shot from 20 ft (assist by D. Mitchell),44,46
239,3,10:46.0,D. Schröder makes 2-pt jump shot from 9 ft,,46,46
240,3,10:27.0,,D. Mitchell makes 2-pt jump shot from 19 ft,46,48
241,3,10:03.0,M. Muscala misses 2-pt jump shot from 12 ft,,46,48
242,3,10:01.0,,Defensive rebound by R. Gobert,46,48
243,3,9:48.0,,J. Ingles misses 3-pt jump shot from 24 ft,46,48
244,3,9:46.0,Defensive rebound by D. Dedmon,,46,48
245,3,9:37.0,D. Dedmon misses 3-pt jump shot from 22 ft,,46,48
246,3,9:34.0,,Defensive rebound by R. Gobert,46,48
247,3,9:31.0,,Shooting foul by M. Muscala (drawn by J. Ingles),46,48
248,3,9:31.0,,J. Ingles makes free throw 1 of 2,46,49
249,3,9:31.0,,J. Ingles makes free throw 2 of 2,46,50
250,3,9:16.0,Turnover by T. Prince (traveling),,46,50
251,3,9:02.0,,J. Ingles makes 2-pt layup from 4 ft,46,52
252,3,9:00.0,Atlanta full timeout,,46,52
253,3,8:46.0,D. Schröder misses 3-pt jump shot from 24 ft,,46,52
254,3,8:43.0,,Defensive rebound by R. Rubio,46,52
255,3,8:35.0,,Turnover by R. Gobert (turnover),46,52
256,3,8:21.0,T. Prince makes 2-pt layup from 2 ft (assist by D. Dedmon),,48,52
257,3,8:09.0,,D. Mitchell misses 3-pt jump shot from 26 ft,48,52
258,3,8:04.0,Defensive rebound by D. Schröder,,48,52
259,3,7:59.0,D. Schröder misses 2-pt layup from 1 ft (block by R. Gobert),,48,52
260,3,7:55.0,,Defensive rebound by R. Rubio,48,52
261,3,7:53.0,,Personal foul by D. Schröder (drawn by D. Mitchell),48,52
262,3,7:45.0,,J. Ingles makes 3-pt jump shot from 25 ft,48,55
263,3,7:31.0,M. Muscala misses 3-pt jump shot from 25 ft,,48,55
264,3,7:29.0,,Defensive rebound by D. Mitchell,48,55
265,3,7:23.0,,D. Mitchell makes 2-pt layup from 2 ft (assist by J. Ingles),48,57
266,3,7:23.0,,Shooting foul by M. Muscala (drawn by D. Mitchell),48,57
267,3,7:23.0,,D. Mitchell makes free throw 1 of 1,48,58
268,3,7:10.0,Away from play foul by J. Ingles (drawn by T. Prince),,48,58
269,3,7:10.0,D. Schröder misses free throw 1 of 1,,48,58
270,3,7:10.0,Offensive rebound by Team,,48,58
271,3,7:10.0,,J. Crowder enters the game for J. Jerebko,48,58
272,3,7:07.0,D. Dedmon makes 3-pt jump shot from 23 ft (assist by D. Schröder),,51,58
273,3,6:52.0,,Turnover by J. Ingles (out of bounds lost ball),51,58
274,3,6:37.0,D. Dedmon makes 2-pt jump shot from 8 ft (assist by D. Schröder),,53,58
275,3,6:24.0,,D. Mitchell misses 2-pt jump shot from 13 ft,53,58
276,3,6:20.0,Defensive rebound by D. Dedmon,,53,58
277,3,6:15.0,D. Schröder misses 3-pt jump shot from 25 ft,,53,58
278,3,6:12.0,,Defensive rebound by R. Gobert,53,58
279,3,6:03.0,,Turnover by J. Ingles (bad pass; steal by D. Dedmon),53,58
280,3,6:03.0,Personal foul by R. Gobert (drawn by D. Dedmon),,53,58
281,3,6:03.0,T. Cavanaugh enters the game for D. Lee,,53,58
282,3,6:03.0,T. Dorsey enters the game for M. Muscala,,53,58
283,3,5:53.0,D. Schröder makes 2-pt layup from 2 ft,,55,58
284,3,5:44.0,,Offensive foul by R. Gobert (drawn by D. Schröder),55,58
285,3,5:44.0,,Turnover by R. Gobert (offensive foul),55,58
286,3,5:32.0,D. Schröder makes 2-pt jump shot from 15 ft,,57,58
287,3,5:32.0,,Utah full timeout,57,58
288,3,5:21.0,,Shooting foul by T. Cavanaugh (drawn by J. Crowder),57,58
289,3,5:21.0,,J. Crowder misses free throw 1 of 2,57,58
290,3,5:21.0,,Offensive rebound by Team,57,58
291,3,5:21.0,,J. Crowder makes free throw 2 of 2,57,59
292,3,5:04.0,D. Dedmon misses 3-pt jump shot from 24 ft,,57,59
293,3,4:59.0,,Defensive rebound by R. Gobert,57,59
294,3,4:55.0,Offensive charge foul by R. Gobert (drawn by D. Dedmon),,57,59
295,3,4:55.0,,Turnover by R. Gobert (offensive foul),57,59
296,3,4:55.0,,E. Udoh enters the game for R. Gobert,57,59
297,3,4:37.0,D. Schröder misses 2-pt layup from 3 ft,,57,59
298,3,4:36.0,,Defensive rebound by R. Rubio,57,59
299,3,4:20.0,,J. Crowder makes 2-pt layup from 1 ft (assist by J. Ingles),57,61
300,3,4:04.0,,Violation by J. Ingles (kicked ball),57,61
301,3,4:04.0,,R. O'Neale enters the game for J. Ingles,57,61
302,3,4:04.0,A. White enters the game for T. Prince,,57,61
303,3,4:04.0,I. Taylor enters the game for D. Schröder,,57,61
304,3,4:02.0,Turnover by A. White (lost ball; steal by R. Rubio),,57,61
305,3,3:56.0,,J. Crowder misses 2-pt jump shot from 11 ft,57,61
306,3,3:52.0,Defensive rebound by A. White,,57,61
307,3,3:40.0,Turnover by T. Dorsey (lost ball; steal by E. Udoh),,57,61
308,3,3:40.0,,D. Exum enters the game for R. Rubio,57,61
309,3,3:27.0,,D. Mitchell misses 3-pt jump shot from 25 ft,57,61
310,3,3:25.0,Defensive rebound by Team,,57,61
311,3,3:25.0,M. Plumlee enters the game for D. Dedmon,,57,61
312,3,3:14.0,I. Taylor misses 2-pt jump shot from 3 ft (block by E. Udoh),,57,61
313,3,3:11.0,Offensive rebound by M. Plumlee,,57,61
314,3,3:09.0,T. Dorsey makes 3-pt jump shot from 24 ft (assist by A. White),,60,61
315,3,2:52.0,,Turnover by R. O'Neale (bad pass; steal by T. Dorsey),60,61
316,3,2:47.0,A. White makes 3-pt jump shot from 25 ft (assist by T. Dorsey),,63,61
317,3,2:29.0,,D. Mitchell misses 3-pt jump shot from 26 ft,63,61
318,3,2:25.0,Defensive rebound by A. White,,63,61
319,3,2:16.0,M. Plumlee misses 2-pt layup from 3 ft,,63,61
320,3,2:15.0,,Defensive rebound by Team,63,61
321,3,2:09.0,,Personal foul by T. Dorsey (drawn by D. Mitchell),63,61
322,3,2:09.0,,D. Mitchell makes free throw 1 of 2,63,62
323,3,2:09.0,,D. Mitchell makes free throw 2 of 2,63,63
324,3,1:56.0,I. Taylor misses 3-pt jump shot from 24 ft,,63,63
325,3,1:54.0,,Defensive rebound by Team,63,63
326,3,1:40.0,,D. Mitchell misses 2-pt layup from 2 ft,63,63
327,3,1:37.0,Defensive rebound by T. Cavanaugh,,63,63
328,3,1:28.0,A. White misses 2-pt jump shot from 20 ft,,63,63
329,3,1:25.0,,Defensive rebound by E. Udoh,63,63
330,3,1:19.0,,D. Exum makes 2-pt layup from 5 ft,63,65
331,3,1:06.0,Personal foul by D. Exum (drawn by I. Taylor),,63,65
332,3,0:59.0,Turnover by I. Taylor (bad pass; steal by D. Exum),,63,65
333,3,0:57.0,Offensive charge foul by D. Exum (drawn by I. Taylor),,63,65
334,3,0:57.0,,Turnover by D. Exum (offensive foul),63,65
335,3,0:42.0,A. White misses 3-pt jump shot from 25 ft,,63,65
336,3,0:39.0,,Defensive rebound by R. O'Neale,63,65
337,3,0:34.0,,R. O'Neale misses 2-pt layup from 3 ft (block by A. White),63,65
338,3,0:30.0,Defensive rebound by M. Plumlee,,63,65
339,3,0:29.0,,Offensive charge foul by I. Taylor (drawn by D. Exum),63,65
340,3,0:29.0,Turnover by I. Taylor (offensive foul),,63,65
341,3,0:10.0,,D. Mitchell makes 2-pt jump shot from 12 ft,63,67
342,3,0:00.0,T. Dorsey misses 2-pt layup from 2 ft,,63,67
343,3,0:00.0,Offensive rebound by Team,,63,67
344,4,11:47.0,,Shooting foul by M. Muscala (drawn by J. Ingles),63,67
345,4,11:47.0,,J. Ingles makes free throw 1 of 2,63,68
346,4,11:47.0,,J. Ingles makes free throw 2 of 2,63,69
347,4,11:30.0,D. Schröder makes 2-pt jump shot from 19 ft,,65,69
348,4,11:09.0,,Turnover by J. Ingles (lost ball; steal by T. Prince),65,69
349,4,11:05.0,T. Dorsey makes 2-pt jump shot from 22 ft (assist by A. White),,67,69
350,4,10:46.0,,R. O'Neale misses 2-pt layup from 3 ft (block by M. Muscala),67,69
351,4,10:46.0,,Offensive rebound by Team,67,69
352,4,10:46.0,,R. Gobert enters the game for E. Udoh,67,69
353,4,10:43.0,,Personal foul by T. Prince (drawn by J. Ingles),67,69
354,4,10:30.0,,R. Rubio misses 3-pt jump shot from 23 ft,67,69
355,4,10:27.0,Defensive rebound by T. Dorsey,,67,69
356,4,10:24.0,,D. Exum enters the game for R. O'Neale,67,69
357,4,10:22.0,M. Muscala makes 3-pt jump shot from 24 ft (assist by T. Dorsey),,70,69
358,4,10:05.0,,J. Ingles misses 3-pt jump shot from 24 ft,70,69
359,4,10:02.0,Defensive rebound by A. White,,70,69
360,4,9:48.0,M. Muscala misses 3-pt jump shot from 24 ft,,70,69
361,4,9:45.0,,Defensive rebound by J. Ingles,70,69
362,4,9:37.0,,Shooting foul by D. Schröder (drawn by R. Rubio),70,69
363,4,9:37.0,,R. Rubio makes free throw 1 of 2,70,70
364,4,9:37.0,D. Lee enters the game for T. Dorsey,,70,70
365,4,9:37.0,,R. Rubio makes free throw 2 of 2,70,71
366,4,9:25.0,Personal foul by D. Exum (drawn by D. Lee),,70,71
367,4,9:19.0,D. Schröder misses 2-pt jump shot from 18 ft,,70,71
368,4,9:14.0,Offensive rebound by M. Muscala,,70,71
369,4,9:14.0,M. Muscala misses 2-pt layup at rim,,70,71
370,4,9:13.0,,Defensive rebound by J. Ingles,70,71
371,4,9:09.0,,D. Exum makes 2-pt hook shot from 3 ft (assist by J. Ingles),70,73
372,4,8:53.0,Turnover by A. White (lost ball; steal by J. Crowder),,70,73
373,4,8:53.0,,Personal foul by A. White (drawn by J. Crowder),70,73
374,4,8:53.0,,D. Mitchell enters the game for R. Rubio,70,73
375,4,8:53.0,,R. O'Neale enters the game for J. Crowder,70,73
376,4,8:53.0,D. Dedmon enters the game for A. White,,70,73
377,4,8:31.0,,D. Mitchell misses 3-pt jump shot from 25 ft,70,73
378,4,8:28.0,Defensive rebound by D. Dedmon,,70,73
379,4,8:25.0,T. Prince misses 3-pt jump shot from 24 ft,,70,73
380,4,8:22.0,,Defensive rebound by J. Ingles,70,73
381,4,8:12.0,,J. Ingles makes 2-pt layup from 4 ft,70,75
382,4,7:57.0,D. Dedmon misses 3-pt jump shot from 25 ft,,70,75
383,4,7:57.0,,Defensive rebound by Team,70,75
