,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SACRAMENTO_ACTION,CLEVELAND_SCORE,SACRAMENTO_SCORE
33,1,7:47.0,,Z. Randolph makes 2-pt hook shot from 3 ft (assist by F. Mason),12,6
34,1,7:35.0,Shooting foul by G. Temple (drawn by J. Calderón),,12,6
35,1,7:35.0,J. Calderón misses free throw 1 of 2,,12,6
36,1,7:35.0,Offensive rebound by Team,,12,6
37,1,7:35.0,J. Calderón makes free throw 2 of 2,,13,6
38,1,7:17.0,,M. Richardson makes 2-pt jump shot from 22 ft,13,8
39,1,7:04.0,Shooting foul by M. Richardson (drawn by J. Crowder),,13,8
40,1,7:04.0,J. Crowder makes free throw 1 of 2,,14,8
41,1,7:04.0,J. Crowder makes free throw 2 of 2,,15,8
42,1,6:52.0,,Sacramento full timeout,15,8
43,1,6:37.0,,M. Richardson misses 3-pt jump shot from 24 ft,15,8
44,1,6:35.0,Defensive rebound by K. Love,,15,8
45,1,6:31.0,L. James misses 2-pt jump shot from 17 ft,,15,8
46,1,6:28.0,,Defensive rebound by G. Hill,15,8
47,1,6:21.0,,B. Bogdanović enters the game for G. Hill,15,8
48,1,6:21.0,,W. Cauley-Stein enters the game for F. Mason,15,8
49,1,6:21.0,T. Thompson enters the game for J. Crowder,,15,8
50,1,6:14.0,,W. Cauley-Stein makes 2-pt jump shot from 1 ft (assist by B. Bogdanović),15,10
51,1,5:53.0,J. Calderón misses 2-pt jump shot from 19 ft,,15,10
52,1,5:53.0,,Defensive rebound by W. Cauley-Stein,15,10
53,1,5:44.0,,Z. Randolph makes 2-pt hook shot from 2 ft (assist by B. Bogdanović),15,12
54,1,5:22.0,L. James misses 2-pt jump shot from 13 ft (block by G. Temple),,15,12
55,1,5:18.0,Offensive rebound by L. James,,15,12
56,1,5:17.0,L. James misses 2-pt jump shot from 13 ft,,15,12
57,1,5:17.0,,Defensive rebound by Team,15,12
58,1,5:04.0,,G. Temple misses 3-pt jump shot from 25 ft,15,12
59,1,5:02.0,Defensive rebound by T. Thompson,,15,12
60,1,4:56.0,Personal foul by Z. Randolph (drawn by J. Smith),,15,12
61,1,4:56.0,J. Smith misses free throw 1 of 2,,15,12
62,1,4:56.0,Offensive rebound by Team,,15,12
63,1,4:56.0,J. Smith misses free throw 2 of 2,,15,12
64,1,4:53.0,,Defensive rebound by W. Cauley-Stein,15,12
65,1,4:48.0,,Personal foul by T. Thompson (drawn by Z. Randolph),15,12
66,1,4:42.0,,Shooting foul by L. James (drawn by M. Richardson),15,12
67,1,4:42.0,,M. Richardson makes free throw 1 of 2,15,13
68,1,4:42.0,,M. Richardson makes free throw 2 of 2,15,14
69,1,4:27.0,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),,18,14
70,1,4:03.0,,Z. Randolph makes 2-pt layup from 1 ft,18,16
71,1,3:47.0,Shooting foul by W. Cauley-Stein (drawn by K. Love),,18,16
72,1,3:47.0,K. Love makes free throw 1 of 2,,19,16
73,1,3:47.0,D. Wade enters the game for J. Calderón,,19,16
74,1,3:47.0,K. Love makes free throw 2 of 2,,20,16
75,1,3:24.0,,G. Temple misses 3-pt jump shot from 22 ft,20,16
76,1,3:23.0,Defensive rebound by Team,,20,16
77,1,3:15.0,Shooting foul by G. Temple (drawn by L. James),,20,16
78,1,3:15.0,L. James misses free throw 1 of 2,,20,16
79,1,3:15.0,Offensive rebound by Team,,20,16
80,1,3:15.0,L. James makes free throw 2 of 2,,21,16
81,1,3:00.0,,G. Temple makes 2-pt jump shot from 15 ft,21,18
82,1,2:54.0,Cleveland full timeout,,21,18
83,1,2:54.0,,V. Carter enters the game for M. Richardson,21,18
84,1,2:46.0,J. Smith misses 3-pt jump shot from 25 ft,,21,18
85,1,2:41.0,,Defensive rebound by Z. Randolph,21,18
86,1,2:24.0,,W. Cauley-Stein misses 2-pt layup from 1 ft (block by D. Wade),21,18
87,1,2:21.0,Defensive rebound by J. Smith,,21,18
88,1,2:13.0,K. Love makes 2-pt layup from 2 ft,,23,18
89,1,1:53.0,,Shooting foul by T. Thompson (drawn by Z. Randolph),23,18
90,1,1:53.0,,Z. Randolph misses free throw 1 of 2,23,18
91,1,1:53.0,,Offensive rebound by Team,23,18
92,1,1:53.0,,B. Hield enters the game for G. Temple,23,18
93,1,1:53.0,K. Korver enters the game for J. Smith,,23,18
94,1,1:53.0,,Z. Randolph makes free throw 2 of 2,23,19
95,1,1:38.0,T. Thompson misses 2-pt hook shot from 6 ft,,23,19
96,1,1:36.0,,Defensive rebound by Z. Randolph,23,19
97,1,1:27.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by Z. Randolph),23,22
98,1,1:09.0,,J. Jackson enters the game for Z. Randolph,23,22
99,1,1:09.0,J. Green enters the game for K. Love,,23,22
100,1,1:01.0,D. Wade makes 2-pt jump shot from 20 ft,,25,22
101,1,0:48.0,,V. Carter makes 2-pt layup from 2 ft (assist by W. Cauley-Stein),25,24
102,1,0:33.0,Turnover by L. James (bad pass; steal by B. Bogdanović),,25,24
103,1,0:30.0,,B. Hield makes 2-pt dunk at rim (assist by B. Bogdanović),25,26
104,1,0:08.0,L. James makes 2-pt jump shot from 23 ft,,27,26
105,1,0:00.0,,B. Bogdanović makes 2-pt jump shot from 22 ft,27,28
106,2,11:47.0,,W. Cauley-Stein makes 2-pt layup from 3 ft (assist by V. Carter),27,30
107,2,11:30.0,D. Wade misses 2-pt layup from 1 ft (block by W. Cauley-Stein),,27,30
108,2,11:29.0,J. Green misses 2-pt hook shot from 1 ft,,27,30
109,2,11:29.0,Offensive rebound by J. Green,,27,30
110,2,11:28.0,Offensive rebound by C. Frye,,27,30
111,2,11:26.0,C. Frye makes 2-pt layup from 1 ft,,29,30
112,2,11:11.0,,B. Bogdanović makes 2-pt layup from 3 ft,29,32
113,2,11:11.0,,Shooting foul by D. Wade (drawn by B. Bogdanović),29,32
114,2,11:11.0,,B. Bogdanović makes free throw 1 of 1,29,33
115,2,10:49.0,K. Korver misses 2-pt jump shot from 17 ft (block by B. Bogdanović),,29,33
116,2,10:49.0,,Defensive rebound by Team,29,33
117,2,10:38.0,,W. Cauley-Stein makes 2-pt layup from 5 ft (assist by B. Bogdanović),29,35
118,2,10:22.0,K. Korver misses 3-pt jump shot from 25 ft,,29,35
119,2,10:22.0,,Defensive rebound by W. Cauley-Stein,29,35
120,2,10:12.0,,W. Cauley-Stein misses 2-pt layup from 2 ft,29,35
121,2,10:12.0,Defensive rebound by K. Korver,,29,35
122,2,10:02.0,D. Wade misses 2-pt jump shot from 23 ft,,29,35
123,2,10:02.0,,Defensive rebound by B. Bogdanović,29,35
124,2,9:53.0,,B. Hield misses 2-pt jump shot from 6 ft,29,35
125,2,9:53.0,Defensive rebound by D. Wade,,29,35
126,2,9:48.0,Shooting foul by J. Jackson (drawn by D. Wade),,29,35
127,2,9:48.0,D. Wade makes free throw 1 of 2,,30,35
128,2,9:48.0,D. Wade makes free throw 2 of 2,,31,35
129,2,9:31.0,,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by B. Hield),31,38
130,2,9:11.0,C. Frye makes 3-pt jump shot from 25 ft (assist by K. Korver),,34,38
131,2,8:43.0,,B. Hield misses 3-pt jump shot from 24 ft,34,38
132,2,8:39.0,Defensive rebound by C. Frye,,34,38
133,2,8:31.0,J. Green misses 2-pt layup from 2 ft (block by V. Carter),,34,38
134,2,8:29.0,Offensive rebound by J. Crowder,,34,38
135,2,8:29.0,J. Crowder makes 2-pt jump shot from 2 ft,,36,38
136,2,8:29.0,,Violation by V. Carter (def goaltending),36,38
137,2,8:13.0,,Turnover by B. Bogdanović (bad pass; steal by D. Wade),36,38
138,2,8:07.0,J. Green makes 2-pt dunk from 1 ft (assist by D. Wade),,38,38
139,2,7:59.0,,Sacramento full timeout,38,38
140,2,7:59.0,,G. Hill enters the game for B. Bogdanović,38,38
141,2,7:53.0,,Personal foul by J. Green (drawn by G. Hill),38,38
142,2,7:44.0,,J. Jackson makes 3-pt jump shot from 24 ft (assist by W. Cauley-Stein),38,41
143,2,7:23.0,C. Frye misses 3-pt jump shot from 24 ft,,38,41
144,2,7:20.0,,Defensive rebound by V. Carter,38,41
145,2,7:13.0,,V. Carter makes 2-pt layup from 1 ft,38,43
146,2,7:02.0,J. Green misses 3-pt jump shot from 22 ft,,38,43
147,2,6:59.0,,Defensive rebound by B. Hield,38,43
148,2,6:51.0,,W. Cauley-Stein makes 2-pt layup from 2 ft (assist by B. Hield),38,45
149,2,6:50.0,Cleveland full timeout,,38,45
150,2,6:50.0,L. James enters the game for D. Wade,,38,45
151,2,6:42.0,Personal foul by J. Jackson (drawn by J. Green),,38,45
152,2,6:32.0,J. Green makes 2-pt dunk from 1 ft (assist by L. James),,40,45
153,2,6:15.0,,Turnover by G. Hill (bad pass; steal by L. James),40,45
154,2,6:11.0,J. Crowder makes 2-pt layup from 1 ft (assist by L. James),,42,45
155,2,5:49.0,,V. Carter makes 2-pt layup from 1 ft,42,47
156,2,5:37.0,J. Crowder misses 2-pt jump shot from 22 ft,,42,47
157,2,5:34.0,,Defensive rebound by J. Jackson,42,47
158,2,5:23.0,,G. Hill makes 2-pt jump shot from 17 ft (assist by W. Cauley-Stein),42,49
159,2,5:05.0,K. Korver makes 3-pt jump shot from 25 ft (assist by L. James),,45,49
160,2,4:48.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by J. Jackson),45,52
161,2,4:38.0,K. Korver misses 3-pt jump shot from 25 ft,,45,52
162,2,4:35.0,,Defensive rebound by J. Jackson,45,52
163,2,4:32.0,,Shooting foul by J. Green (drawn by G. Hill),45,52
164,2,4:32.0,,G. Hill makes free throw 1 of 2,45,53
165,2,4:32.0,,G. Temple enters the game for J. Jackson,45,53
166,2,4:32.0,J. Smith enters the game for C. Frye,,45,53
167,2,4:32.0,K. Love enters the game for J. Crowder,,45,53
168,2,4:32.0,,G. Hill makes free throw 2 of 2,45,54
169,2,4:22.0,Turnover by J. Green (bad pass; steal by V. Carter),,45,54
170,2,4:16.0,,B. Hield makes 3-pt jump shot from 25 ft (assist by W. Cauley-Stein),45,57
171,2,3:55.0,Shooting foul by W. Cauley-Stein (drawn by L. James),,45,57
172,2,3:55.0,L. James makes free throw 1 of 2,,46,57
173,2,3:55.0,L. James makes free throw 2 of 2,,47,57
174,2,3:35.0,,V. Carter makes 3-pt jump shot from 27 ft (assist by B. Hield),47,60
175,2,3:16.0,K. Love makes 2-pt jump shot from 21 ft (assist by L. James),,49,60
176,2,2:58.0,,Personal foul by K. Love (drawn by G. Hill),49,60
177,2,2:58.0,J. Calderón enters the game for K. Korver,,49,60
178,2,2:50.0,,Turnover by G. Temple (bad pass; steal by J. Smith),49,60
179,2,2:40.0,J. Green makes 2-pt dunk from 1 ft (assist by L. James),,51,60
180,2,2:24.0,,G. Temple misses 3-pt jump shot from 25 ft,51,60
181,2,2:21.0,Defensive rebound by J. Smith,,51,60
182,2,2:12.0,Turnover by K. Love (bad pass; steal by B. Hield),,51,60
183,2,2:08.0,,G. Temple misses 2-pt layup at rim,51,60
184,2,2:03.0,,Offensive rebound by W. Cauley-Stein,51,60
185,2,2:03.0,,W. Cauley-Stein misses 2-pt layup at rim,51,60
186,2,2:02.0,,Offensive rebound by G. Hill,51,60
187,2,1:58.0,,Sacramento full timeout,51,60
188,2,1:44.0,,W. Cauley-Stein misses 2-pt jump shot from 12 ft,51,60
189,2,1:41.0,Defensive rebound by L. James,,51,60
190,2,1:33.0,L. James makes 2-pt layup from 2 ft,,53,60
191,2,1:07.0,,G. Hill makes 2-pt jump shot from 17 ft,53,62
192,2,0:50.0,J. Calderón misses 3-pt jump shot from 24 ft,,53,62
193,2,0:47.0,,Defensive rebound by W. Cauley-Stein,53,62
194,2,0:41.0,,G. Hill misses 3-pt jump shot from 25 ft,53,62
195,2,0:37.0,Defensive rebound by L. James,,53,62
196,2,0:31.0,Shooting foul by W. Cauley-Stein (drawn by K. Love),,53,62
197,2,0:31.0,K. Love makes free throw 1 of 2,,54,62
198,2,0:31.0,,B. Bogdanović enters the game for B. Hield,54,62
199,2,0:31.0,J. Crowder enters the game for J. Green,,54,62
200,2,0:31.0,K. Love makes free throw 2 of 2,,55,62
201,2,0:14.0,,V. Carter misses 2-pt jump shot from 8 ft,55,62
202,2,0:11.0,Defensive rebound by L. James,,55,62
203,2,0:01.0,K. Love misses 3-pt jump shot from 22 ft,,55,62
204,2,0:01.0,Offensive rebound by Team,,55,62
205,3,11:44.0,,M. Richardson misses 2-pt jump shot from 21 ft,55,62
206,3,11:42.0,,Offensive rebound by Z. Randolph,55,62
207,3,11:42.0,,Personal foul by K. Love (drawn by Z. Randolph),55,62
208,3,11:29.0,,F. Mason makes 2-pt layup from 2 ft,55,64
209,3,11:14.0,J. Smith makes 3-pt jump shot from 22 ft (assist by L. James),,58,64
210,3,10:57.0,,Shooting foul by K. Love (drawn by Z. Randolph),58,64
211,3,10:57.0,,Z. Randolph makes free throw 1 of 2,58,65
212,3,10:57.0,,Z. Randolph makes free throw 2 of 2,58,66
213,3,10:43.0,K. Love makes 3-pt jump shot from 25 ft (assist by L. James),,61,66
214,3,10:27.0,,Z. Randolph misses 2-pt jump shot from 20 ft,61,66
215,3,10:23.0,Defensive rebound by J. Crowder,,61,66
216,3,10:19.0,K. Love makes 3-pt jump shot from 24 ft (assist by L. James),,64,66
217,3,9:57.0,,Z. Randolph misses 2-pt layup from 5 ft,64,66
218,3,9:54.0,Defensive rebound by L. James,,64,66
219,3,9:49.0,K. Love misses 3-pt jump shot from 24 ft,,64,66
220,3,9:45.0,,Defensive rebound by F. Mason,64,66
221,3,9:34.0,,M. Richardson misses 3-pt jump shot from 26 ft,64,66
222,3,9:34.0,Defensive rebound by J. Smith,,64,66
223,3,9:29.0,J. Crowder misses 2-pt jump shot from 22 ft,,64,66
224,3,9:26.0,,Defensive rebound by M. Richardson,64,66
225,3,9:03.0,,G. Temple misses 2-pt jump shot from 10 ft,64,66
226,3,9:03.0,Defensive rebound by L. James,,64,66
227,3,8:57.0,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),,67,66
228,3,8:56.0,,Sacramento full timeout,67,66
229,3,8:32.0,,G. Temple misses 3-pt jump shot from 22 ft,67,66
230,3,8:30.0,,Offensive rebound by Z. Randolph,67,66
231,3,8:28.0,,Turnover by M. Richardson (out of bounds lost ball),67,66
232,3,8:10.0,K. Love misses 3-pt jump shot from 24 ft,,67,66
233,3,8:06.0,,Defensive rebound by G. Temple,67,66
234,3,7:56.0,,Turnover by F. Mason (bad pass; steal by L. James),67,66
235,3,7:53.0,J. Crowder misses 2-pt dunk from 1 ft (block by G. Temple),,67,66
236,3,7:50.0,,Defensive rebound by G. Hill,67,66
237,3,7:46.0,,F. Mason makes 2-pt jump shot from 16 ft (assist by M. Richardson),67,68
238,3,7:37.0,Personal foul by G. Temple (drawn by J. Calderón),,67,68
239,3,7:37.0,,B. Bogdanović enters the game for F. Mason,67,68
240,3,7:32.0,L. James misses 2-pt jump shot from 22 ft,,67,68
241,3,7:32.0,,Defensive rebound by M. Richardson,67,68
242,3,7:12.0,,M. Richardson misses 3-pt jump shot from 25 ft,67,68
243,3,7:07.0,Defensive rebound by K. Love,,67,68
244,3,6:59.0,K. Love makes 2-pt layup from 1 ft (assist by L. James),,69,68
245,3,6:43.0,,Z. Randolph misses 2-pt hook shot from 5 ft (block by K. Love),69,68
246,3,6:43.0,Defensive rebound by J. Smith,,69,68
247,3,6:34.0,Turnover by J. Calderón (bad pass; steal by B. Bogdanović),,69,68
248,3,6:22.0,,Turnover by B. Bogdanović (bad pass; steal by L. James),69,68
249,3,6:14.0,L. James makes 2-pt dunk from 1 ft,,71,68
250,3,5:52.0,,Z. Randolph misses 3-pt jump shot from 22 ft,71,68
251,3,5:49.0,Defensive rebound by L. James,,71,68
252,3,5:44.0,L. James misses 3-pt jump shot from 25 ft,,71,68
253,3,5:44.0,,Defensive rebound by Z. Randolph,71,68
254,3,5:30.0,,Z. Randolph misses 2-pt hook shot from 2 ft (block by K. Love),71,68
255,3,5:29.0,,Offensive rebound by Z. Randolph,71,68
256,3,5:29.0,,Z. Randolph makes 2-pt hook shot from 2 ft,71,70
257,3,5:29.0,,Shooting foul by K. Love (drawn by Z. Randolph),71,70
258,3,5:29.0,,W. Cauley-Stein enters the game for M. Richardson,71,70
259,3,5:29.0,C. Frye enters the game for K. Love,,71,70
260,3,5:29.0,,Z. Randolph makes free throw 1 of 1,71,71
261,3,5:08.0,Turnover by L. James (bad pass; steal by Z. Randolph),,71,71
262,3,4:58.0,,Z. Randolph misses 2-pt jump shot from 20 ft,71,71
263,3,4:54.0,Defensive rebound by J. Smith,,71,71
264,3,4:46.0,J. Smith makes 3-pt jump shot from 24 ft (assist by L. James),,74,71
265,3,4:24.0,,Shooting foul by J. Calderón (drawn by Z. Randolph),74,71
266,3,4:24.0,,Z. Randolph makes free throw 1 of 2,74,72
267,3,4:24.0,,Z. Randolph makes free throw 2 of 2,74,73
268,3,4:09.0,L. James misses 2-pt layup from 2 ft,,74,73
269,3,4:08.0,Offensive rebound by L. James,,74,73
270,3,4:07.0,L. James misses 2-pt layup at rim,,74,73
271,3,4:07.0,,Defensive rebound by W. Cauley-Stein,74,73
272,3,4:03.0,,Personal foul by J. Smith (drawn by G. Hill),74,73
273,3,4:03.0,,G. Hill makes free throw 1 of 2,74,74
274,3,4:03.0,,G. Hill makes free throw 2 of 2,74,75
275,3,3:51.0,,Violation by G. Temple (kicked ball),74,75
276,3,3:38.0,C. Frye misses 2-pt jump shot from 22 ft,,74,75
277,3,3:33.0,,Defensive rebound by G. Hill,74,75
278,3,3:20.0,,G. Hill makes 2-pt layup from 2 ft (assist by Z. Randolph),74,77
279,3,3:06.0,Turnover by C. Frye (bad pass),,74,77
280,3,3:06.0,,V. Carter enters the game for Z. Randolph,74,77
281,3,2:49.0,,V. Carter makes 2-pt layup from 1 ft (assist by B. Bogdanović),74,79
282,3,2:48.0,Cleveland full timeout,,74,79
283,3,2:48.0,D. Wade enters the game for C. Frye,,74,79
284,3,2:48.0,T. Thompson enters the game for L. James,,74,79
285,3,2:48.0,J. Green enters the game for J. Calderón,,74,79
286,3,2:33.0,Personal foul by V. Carter (drawn by J. Green),,74,79
287,3,2:25.0,J. Smith misses 2-pt jump shot from 7 ft,,74,79
288,3,2:19.0,Offensive rebound by T. Thompson,,74,79
289,3,2:19.0,T. Thompson makes 2-pt layup at rim,,76,79
290,3,2:06.0,,Turnover by B. Bogdanović (bad pass; steal by J. Crowder),76,79
291,3,2:04.0,Shooting foul by G. Temple (drawn by J. Crowder),,76,79
292,3,2:04.0,J. Crowder makes free throw 1 of 2,,77,79
293,3,2:04.0,,B. Hield enters the game for G. Temple,77,79
294,3,2:04.0,J. Crowder makes free throw 2 of 2,,78,79
295,3,1:47.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by B. Hield),78,82
296,3,1:31.0,J. Crowder misses 3-pt jump shot from 24 ft,,78,82
297,3,1:29.0,,Defensive rebound by B. Bogdanović,78,82
298,3,1:18.0,,W. Cauley-Stein misses 2-pt hook shot from 7 ft,78,82
299,3,1:18.0,Defensive rebound by J. Green,,78,82
300,3,1:10.0,J. Green makes 2-pt layup from 3 ft,,80,82
301,3,0:52.0,,B. Hield misses 3-pt jump shot from 25 ft,80,82
302,3,0:48.0,Defensive rebound by D. Wade,,80,82
303,3,0:34.0,Turnover by J. Green (bad pass; steal by B. Bogdanović),,80,82
304,3,0:13.0,,G. Hill misses 3-pt jump shot from 25 ft,80,82
305,3,0:08.0,,Offensive rebound by B. Hield,80,82
306,3,0:01.0,Violation by J. Crowder (kicked ball),,80,82
307,3,0:00.0,,V. Carter makes 3-pt jump shot from 22 ft (assist by B. Bogdanović),80,85
308,4,11:48.0,Turnover by L. James (bad pass; steal by B. Bogdanović),,80,85
309,4,11:29.0,,Turnover by B. Bogdanović (bad pass; steal by L. James),80,85
310,4,11:29.0,Personal foul by W. Cauley-Stein (drawn by L. James),,80,85
311,4,11:14.0,L. James misses 3-pt jump shot from 24 ft,,80,85
312,4,11:11.0,,Defensive rebound by B. Bogdanović,80,85
313,4,10:51.0,,B. Bogdanović makes 2-pt jump shot from 16 ft,80,87
314,4,10:34.0,Turnover by D. Wade (turnover; steal by G. Hill),,80,87
315,4,10:24.0,,W. Cauley-Stein makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),80,89
316,4,10:11.0,L. James misses 2-pt layup from 5 ft,,80,89
317,4,10:11.0,,Defensive rebound by V. Carter,80,89
318,4,10:06.0,,Turnover by V. Carter (bad pass),80,89
319,4,10:06.0,K. Love enters the game for T. Thompson,,80,89
320,4,9:45.0,K. Korver misses 3-pt jump shot from 25 ft,,80,89
321,4,9:41.0,,Defensive rebound by V. Carter,80,89
322,4,9:26.0,,B. Bogdanović misses 3-pt jump shot from 24 ft,80,89
323,4,9:25.0,,Offensive rebound by Team,80,89
324,4,9:24.0,Loose ball foul by L. James (drawn by G. Hill),,80,89
325,4,9:15.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by V. Carter),80,91
326,4,8:59.0,Turnover by K. Korver (step out of bounds),,80,91
327,4,8:38.0,,B. Bogdanović makes 3-pt jump shot from 24 ft,80,94
328,4,8:37.0,Cleveland full timeout,,80,94
329,4,8:21.0,K. Korver makes 3-pt jump shot from 24 ft (assist by J. Green),,83,94
330,4,7:56.0,,W. Cauley-Stein makes 2-pt layup from 2 ft,83,96
331,4,7:41.0,Shooting foul by B. Bogdanović (drawn by D. Wade),,83,96
332,4,7:41.0,D. Wade misses free throw 1 of 2,,83,96
333,4,7:41.0,Offensive rebound by Team,,83,96
334,4,7:41.0,D. Wade makes free throw 2 of 2,,84,96
335,4,7:18.0,,B. Hield misses 2-pt jump shot from 16 ft,84,96
336,4,7:14.0,Defensive rebound by K. Love,,84,96
337,4,7:10.0,L. James misses 2-pt jump shot from 7 ft (block by G. Hill),,84,96
338,4,7:10.0,Offensive rebound by Team,,84,96
339,4,7:09.0,Personal foul by G. Hill (drawn by L. James),,84,96
340,4,6:57.0,K. Korver misses 3-pt jump shot from 26 ft,,84,96
341,4,6:53.0,,Defensive rebound by V. Carter,84,96
342,4,6:46.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by V. Carter),84,98
343,4,6:25.0,K. Korver misses 3-pt jump shot from 24 ft,,84,98
344,4,6:22.0,,Defensive rebound by W. Cauley-Stein,84,98
345,4,6:02.0,,Turnover by G. Hill (bad pass; steal by L. James),84,98
346,4,5:58.0,K. Korver makes 3-pt jump shot from 25 ft (assist by L. James),,87,98
347,4,5:38.0,,V. Carter makes 3-pt jump shot from 25 ft (assist by B. Bogdanović),87,101
348,4,5:11.0,Turnover by Team (shot clock),,87,101
349,4,5:11.0,,Sacramento full timeout,87,101
350,4,5:11.0,J. Smith enters the game for D. Wade,,87,101
351,4,4:55.0,,V. Carter misses 3-pt jump shot from 22 ft,87,101
352,4,4:52.0,Defensive rebound by L. James,,87,101
353,4,4:47.0,L. James makes 2-pt layup from 2 ft,,89,101
354,4,4:25.0,,V. Carter makes 2-pt layup from 1 ft,89,103
355,4,4:11.0,Personal foul by B. Hield (drawn by K. Love),,89,103
356,4,4:03.0,K. Love misses 3-pt jump shot from 23 ft,,89,103
357,4,4:00.0,,Defensive rebound by V. Carter,89,103
358,4,3:38.0,,Shooting foul by J. Smith (drawn by W. Cauley-Stein),89,103
359,4,3:38.0,,W. Cauley-Stein makes free throw 1 of 2,89,104
360,4,3:38.0,,G. Temple enters the game for B. Hield,89,104
361,4,3:38.0,J. Crowder enters the game for J. Green,,89,104
362,4,3:38.0,,W. Cauley-Stein misses free throw 2 of 2,89,104
363,4,3:35.0,Defensive rebound by L. James,,89,104
364,4,3:26.0,J. Smith makes 3-pt jump shot from 26 ft (assist by L. James),,92,104
365,4,3:00.0,,V. Carter makes 2-pt jump shot from 15 ft,92,106
366,4,2:45.0,L. James misses 2-pt layup from 2 ft,,92,106
367,4,2:42.0,,Defensive rebound by G. Temple,92,106
368,4,2:22.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by G. Hill),92,109
369,4,2:20.0,Cleveland full timeout,,92,109
370,4,2:20.0,J. Calderón enters the game for K. Love,,92,109
371,4,2:20.0,C. Osman enters the game for J. Smith,,92,109
372,4,2:20.0,J. Green enters the game for L. James,,92,109
373,4,2:20.0,T. Thompson enters the game for K. Korver,,92,109
374,4,1:59.0,J. Green misses 3-pt jump shot from 24 ft,,92,109
375,4,1:56.0,,Defensive rebound by W. Cauley-Stein,92,109
376,4,1:43.0,,B. Bogdanović misses 3-pt jump shot from 26 ft,92,109
377,4,1:38.0,Defensive rebound by J. Crowder,,92,109
378,4,1:18.0,J. Green misses 2-pt jump shot from 11 ft,,92,109
379,4,1:15.0,,Defensive rebound by G. Hill,92,109
380,4,0:55.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,92,109
381,4,0:51.0,Defensive rebound by C. Osman,,92,109
382,4,0:48.0,C. Osman makes 2-pt layup from 1 ft,,94,109
383,4,0:26.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,94,109
384,4,0:23.0,Defensive rebound by C. Osman,,94,109
385,4,0:20.0,Personal foul by G. Hill (drawn by C. Osman),,94,109
386,4,0:20.0,C. Osman makes free throw 1 of 2,,95,109
