,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BROOKLYN_ACTION,OKLAHOMA CITY_SCORE,BROOKLYN_SCORE
121,1,0:28.0,,A. Crabbe makes 3-pt jump shot from 22 ft (assist by C. LeVert),33,20
122,1,0:05.0,C. Anthony misses 2-pt dunk from 1 ft (block by J. Allen),,33,20
123,1,0:02.0,,Defensive rebound by Q. Acy,33,20
124,1,0:00.0,,A. Crabbe misses 3-pt jump shot from 25 ft,33,20
125,1,0:00.0,,Offensive rebound by Team,33,20
126,2,11:44.0,K. Singler misses 2-pt dunk from 1 ft (block by J. Allen),,33,20
127,2,11:40.0,,Defensive rebound by A. Crabbe,33,20
128,2,11:39.0,,C. LeVert makes 2-pt layup at rim (assist by A. Crabbe),33,22
129,2,11:20.0,C. Anthony makes 2-pt jump shot from 15 ft,,35,22
130,2,11:09.0,,Q. Acy makes 3-pt jump shot from 24 ft (assist by C. LeVert),35,25
131,2,10:51.0,R. Felton makes 2-pt jump shot from 18 ft,,37,25
132,2,10:31.0,,J. Harris misses 2-pt jump shot from 17 ft,37,25
133,2,10:30.0,Defensive rebound by C. Anthony,,37,25
134,2,10:22.0,C. Anthony misses 2-pt jump shot from 20 ft,,37,25
135,2,10:19.0,,Defensive rebound by A. Crabbe,37,25
136,2,10:12.0,,C. LeVert misses 3-pt jump shot from 24 ft,37,25
137,2,10:10.0,Defensive rebound by R. Felton,,37,25
138,2,10:06.0,Oklahoma City full timeout,,37,25
139,2,10:06.0,,R. Hollis-Jefferson enters the game for J. Allen,37,25
140,2,10:06.0,,T. Mozgov enters the game for C. LeVert,37,25
141,2,10:06.0,,S. Dinwiddie enters the game for Q. Acy,37,25
142,2,10:00.0,Shooting foul by J. Harris (drawn by K. Singler),,37,25
143,2,10:00.0,K. Singler misses free throw 1 of 2,,37,25
144,2,10:00.0,Offensive rebound by Team,,37,25
145,2,10:00.0,K. Singler misses free throw 2 of 2,,37,25
146,2,9:55.0,,Defensive rebound by S. Dinwiddie,37,25
147,2,9:50.0,,J. Harris misses 3-pt jump shot from 23 ft,37,25
148,2,9:44.0,Defensive rebound by K. Singler,,37,25
149,2,9:35.0,R. Felton misses 3-pt jump shot from 24 ft,,37,25
150,2,9:30.0,,Defensive rebound by R. Hollis-Jefferson,37,25
151,2,9:23.0,,R. Hollis-Jefferson misses 2-pt jump shot from 16 ft,37,25
152,2,9:21.0,Defensive rebound by R. Felton,,37,25
153,2,9:16.0,K. Singler makes 2-pt layup from 4 ft (assist by R. Felton),,39,25
154,2,9:16.0,Shooting foul by S. Dinwiddie (drawn by K. Singler),,39,25
155,2,9:16.0,,Brooklyn full timeout,39,25
156,2,9:16.0,,C. LeVert enters the game for S. Dinwiddie,39,25
157,2,9:16.0,R. Westbrook enters the game for R. Felton,,39,25
158,2,9:16.0,S. Adams enters the game for C. Anthony,,39,25
159,2,9:16.0,K. Singler makes free throw 1 of 1,,40,25
160,2,8:57.0,Technical foul by S. Adams,,40,25
161,2,8:57.0,,C. LeVert makes free throw 1 of 1,40,26
162,2,8:57.0,,Shooting foul by S. Adams (drawn by C. LeVert),40,26
163,2,8:57.0,,C. LeVert misses free throw 1 of 2,40,26
164,2,8:57.0,,Offensive rebound by Team,40,26
165,2,8:57.0,,C. LeVert makes free throw 2 of 2,40,27
166,2,8:43.0,T. Ferguson misses 3-pt jump shot from 25 ft,,40,27
167,2,8:38.0,,Defensive rebound by C. LeVert,40,27
168,2,8:31.0,,A. Crabbe makes 3-pt jump shot from 23 ft (assist by J. Harris),40,30
169,2,8:21.0,R. Westbrook makes 2-pt jump shot from 17 ft,,42,30
170,2,8:11.0,,C. LeVert makes 2-pt dunk at rim (assist by R. Hollis-Jefferson),42,32
171,2,7:49.0,Turnover by S. Adams (turnover),,42,32
172,2,7:49.0,A. Roberson enters the game for T. Ferguson,,42,32
173,2,7:38.0,,C. LeVert makes 2-pt dunk at rim,42,34
174,2,7:37.0,Oklahoma City full timeout,,42,34
175,2,7:37.0,,D. Carroll enters the game for J. Harris,42,34
176,2,7:37.0,C. Anthony enters the game for P. Patterson,,42,34
177,2,7:21.0,Turnover by S. Adams (turnover; steal by C. LeVert),,42,34
178,2,7:07.0,,A. Crabbe misses 3-pt jump shot from 25 ft,42,34
179,2,7:04.0,Defensive rebound by R. Westbrook,,42,34
180,2,7:02.0,Shooting block foul by C. LeVert (drawn by R. Westbrook),,42,34
181,2,7:02.0,R. Westbrook misses free throw 1 of 2,,42,34
182,2,7:02.0,Offensive rebound by Team,,42,34
183,2,7:02.0,R. Westbrook makes free throw 2 of 2,,43,34
184,2,6:49.0,,T. Mozgov misses 2-pt jump shot from 12 ft,43,34
185,2,6:48.0,Defensive rebound by S. Adams,,43,34
186,2,6:44.0,Turnover by R. Westbrook (bad pass),,43,34
187,2,6:23.0,,A. Crabbe misses 3-pt jump shot from 24 ft,43,34
188,2,6:21.0,,Offensive rebound by T. Mozgov,43,34
189,2,6:17.0,,D. Carroll misses 3-pt jump shot from 23 ft,43,34
190,2,6:15.0,Defensive rebound by S. Adams,,43,34
191,2,6:10.0,R. Westbrook makes 2-pt jump shot from 19 ft,,45,34
192,2,6:10.0,Shooting foul by A. Crabbe (drawn by R. Westbrook),,45,34
193,2,6:10.0,Á. Abrines enters the game for K. Singler,,45,34
194,2,6:10.0,R. Westbrook makes free throw 1 of 1,,46,34
195,2,5:58.0,,T. Mozgov misses 3-pt jump shot from 22 ft,46,34
196,2,5:56.0,Defensive rebound by C. Anthony,,46,34
197,2,5:54.0,Turnover by C. Anthony (bad pass; steal by R. Hollis-Jefferson),,46,34
198,2,5:48.0,,A. Crabbe makes 2-pt jump shot from 9 ft (assist by C. LeVert),46,36
199,2,5:24.0,C. Anthony misses 2-pt layup from 2 ft (block by R. Hollis-Jefferson),,46,36
200,2,5:22.0,,Defensive rebound by R. Hollis-Jefferson,46,36
201,2,5:16.0,,D. Carroll misses 3-pt jump shot from 22 ft,46,36
202,2,5:14.0,Defensive rebound by A. Roberson,,46,36
203,2,5:06.0,C. Anthony misses 2-pt jump shot from 20 ft,,46,36
204,2,5:03.0,,Defensive rebound by T. Mozgov,46,36
205,2,4:44.0,,T. Mozgov makes 2-pt dunk at rim (assist by C. LeVert),46,38
206,2,4:24.0,R. Westbrook misses 2-pt jump shot from 16 ft,,46,38
207,2,4:21.0,Offensive rebound by C. Anthony,,46,38
208,2,4:14.0,R. Westbrook makes 2-pt layup from 1 ft (assist by A. Roberson),,48,38
209,2,3:55.0,,C. LeVert makes 2-pt jump shot from 17 ft,48,40
210,2,3:47.0,Á. Abrines makes 2-pt layup at rim (assist by R. Westbrook),,50,40
211,2,3:20.0,,D. Carroll makes 2-pt jump shot from 11 ft,50,42
212,2,3:06.0,Á. Abrines misses 3-pt jump shot from 24 ft,,50,42
213,2,3:04.0,,Defensive rebound by T. Mozgov,50,42
214,2,3:00.0,,Turnover by D. Carroll (lost ball; steal by Á. Abrines),50,42
215,2,3:00.0,,Violation by D. Carroll (kicked ball),50,42
216,2,3:00.0,,T. Zeller enters the game for T. Mozgov,50,42
217,2,3:00.0,,J. Harris enters the game for C. LeVert,50,42
218,2,2:44.0,R. Westbrook makes 2-pt jump shot from 18 ft,,52,42
219,2,2:19.0,,T. Zeller misses 2-pt hook shot from 13 ft,52,42
220,2,2:17.0,Defensive rebound by C. Anthony,,52,42
221,2,2:11.0,C. Anthony makes 2-pt jump shot from 19 ft,,54,42
222,2,1:55.0,,J. Harris misses 3-pt jump shot from 24 ft,54,42
223,2,1:53.0,Defensive rebound by C. Anthony,,54,42
224,2,1:38.0,C. Anthony makes 2-pt jump shot from 17 ft,,56,42
225,2,1:24.0,,A. Crabbe misses 2-pt jump shot from 20 ft,56,42
226,2,1:22.0,,Offensive rebound by T. Zeller,56,42
227,2,1:22.0,,T. Zeller makes 2-pt layup at rim,56,44
228,2,1:22.0,,Shooting foul by C. Anthony (drawn by T. Zeller),56,44
229,2,1:22.0,,T. Zeller makes free throw 1 of 1,56,45
230,2,1:02.0,R. Westbrook misses 2-pt layup at rim,,56,45
231,2,1:00.0,,Defensive rebound by T. Zeller,56,45
232,2,0:49.0,,J. Harris makes 2-pt layup at rim (assist by R. Hollis-Jefferson),56,47
233,2,0:40.0,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),,58,47
234,2,0:40.0,Shooting foul by T. Zeller (drawn by S. Adams),,58,47
235,2,0:40.0,,Q. Acy enters the game for R. Hollis-Jefferson,58,47
236,2,0:40.0,S. Adams misses free throw 1 of 1,,58,47
237,2,0:39.0,,Defensive rebound by T. Zeller,58,47
238,2,0:24.0,,T. Zeller makes 2-pt layup from 1 ft,58,49
239,2,0:01.0,R. Westbrook misses 3-pt jump shot from 25 ft,,58,49
240,2,0:01.0,,Defensive rebound by J. Harris,58,49
241,3,11:43.0,S. Adams misses 2-pt hook shot from 6 ft,,58,49
242,3,11:40.0,,Defensive rebound by T. Zeller,58,49
243,3,11:29.0,,D. Carroll makes 2-pt layup at rim (assist by S. Dinwiddie),58,51
244,3,11:16.0,S. Adams misses 2-pt hook shot from 6 ft,,58,51
245,3,11:14.0,,Defensive rebound by R. Hollis-Jefferson,58,51
246,3,11:05.0,,T. Zeller makes 2-pt hook shot from 2 ft (assist by S. Dinwiddie),58,53
247,3,11:05.0,,Shooting foul by C. Anthony (drawn by T. Zeller),58,53
248,3,11:05.0,,T. Zeller makes free throw 1 of 1,58,54
249,3,10:51.0,Á. Abrines misses 2-pt jump shot from 11 ft,,58,54
250,3,10:48.0,,Defensive rebound by T. Zeller,58,54
251,3,10:38.0,,S. Dinwiddie misses 3-pt jump shot from 27 ft,58,54
252,3,10:36.0,Defensive rebound by C. Anthony,,58,54
253,3,10:32.0,Offensive foul by S. Adams (drawn by S. Dinwiddie),,58,54
254,3,10:32.0,Turnover by S. Adams (offensive foul),,58,54
255,3,10:20.0,,D. Carroll makes 2-pt layup from 1 ft,58,56
256,3,10:20.0,,Shooting foul by Á. Abrines (drawn by D. Carroll),58,56
257,3,10:20.0,,D. Carroll misses free throw 1 of 1,58,56
258,3,10:18.0,Defensive rebound by R. Westbrook,,58,56
259,3,10:08.0,S. Adams misses 2-pt jump shot from 10 ft,,58,56
260,3,10:06.0,,Defensive rebound by D. Carroll,58,56
261,3,9:59.0,,S. Dinwiddie misses 2-pt layup from 5 ft (block by Á. Abrines),58,56
262,3,9:59.0,Defensive rebound by Team,,58,56
263,3,9:47.0,Personal foul by D. Carroll (drawn by S. Adams),,58,56
264,3,9:43.0,R. Westbrook misses 2-pt jump shot from 17 ft,,58,56
265,3,9:41.0,Offensive rebound by S. Adams,,58,56
266,3,9:34.0,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),,60,56
267,3,9:15.0,,Shooting foul by Á. Abrines (drawn by A. Crabbe),60,56
268,3,9:15.0,,A. Crabbe makes free throw 1 of 2,60,57
269,3,9:15.0,,A. Crabbe misses free throw 2 of 2,60,57
270,3,9:12.0,Defensive rebound by C. Anthony,,60,57
271,3,9:02.0,R. Westbrook misses 2-pt jump shot from 14 ft,,60,57
272,3,8:59.0,,Defensive rebound by D. Carroll,60,57
273,3,8:52.0,,Turnover by D. Carroll (bad pass),60,57
274,3,8:34.0,C. Anthony misses 2-pt jump shot from 14 ft,,60,57
275,3,8:28.0,,Defensive rebound by D. Carroll,60,57
276,3,8:24.0,,Turnover by R. Hollis-Jefferson (lost ball; steal by A. Roberson),60,57
277,3,8:12.0,R. Westbrook misses 2-pt layup from 2 ft,,60,57
278,3,8:11.0,,Defensive rebound by T. Zeller,60,57
279,3,8:11.0,,Personal foul by R. Westbrook (drawn by T. Zeller),60,57
280,3,7:55.0,,R. Hollis-Jefferson makes 2-pt jump shot from 15 ft (assist by S. Dinwiddie),60,59
281,3,7:40.0,Personal foul by R. Hollis-Jefferson (drawn by C. Anthony),,60,59
282,3,7:40.0,,C. LeVert enters the game for A. Crabbe,60,59
283,3,7:40.0,N. Collison enters the game for S. Adams,,60,59
284,3,7:33.0,R. Westbrook misses 2-pt layup from 1 ft,,60,59
285,3,7:32.0,Offensive rebound by N. Collison,,60,59
286,3,7:32.0,Personal foul by S. Dinwiddie (drawn by N. Collison),,60,59
287,3,7:32.0,,J. Harris enters the game for S. Dinwiddie,60,59
288,3,7:24.0,Á. Abrines misses 2-pt layup from 1 ft,,60,59
289,3,7:22.0,,Defensive rebound by J. Harris,60,59
290,3,7:22.0,,Turnover by D. Carroll (out of bounds lost ball),60,59
291,3,7:18.0,R. Westbrook misses 3-pt jump shot from 24 ft,,60,59
292,3,7:16.0,,Defensive rebound by T. Zeller,60,59
293,3,6:57.0,,T. Zeller misses 3-pt jump shot from 22 ft,60,59
294,3,6:54.0,,Offensive rebound by D. Carroll,60,59
295,3,6:51.0,,R. Hollis-Jefferson makes 2-pt layup from 1 ft (assist by D. Carroll),60,61
296,3,6:33.0,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),,62,61
297,3,6:19.0,,R. Hollis-Jefferson makes 2-pt jump shot from 16 ft,62,63
298,3,6:03.0,R. Westbrook makes 3-pt jump shot from 24 ft (assist by C. Anthony),,65,63
299,3,6:02.0,,Brooklyn full timeout,65,63
300,3,6:02.0,,J. Allen enters the game for D. Carroll,65,63
301,3,6:02.0,,A. Crabbe enters the game for T. Zeller,65,63
302,3,6:02.0,K. Singler enters the game for C. Anthony,,65,63
303,3,6:02.0,P. Patterson enters the game for Á. Abrines,,65,63
304,3,5:47.0,,A. Crabbe misses 3-pt jump shot from 24 ft,65,63
305,3,5:44.0,Defensive rebound by P. Patterson,,65,63
306,3,5:28.0,R. Westbrook misses 2-pt jump shot from 9 ft,,65,63
307,3,5:23.0,Offensive rebound by N. Collison,,65,63
308,3,5:23.0,N. Collison makes 2-pt layup at rim,,67,63
309,3,5:18.0,,Personal foul by K. Singler (drawn by C. LeVert),67,63
310,3,5:18.0,,C. LeVert makes free throw 1 of 2,67,64
311,3,5:18.0,,Q. Acy enters the game for R. Hollis-Jefferson,67,64
312,3,5:18.0,,C. LeVert makes free throw 2 of 2,67,65
313,3,5:04.0,A. Roberson misses 3-pt jump shot from 24 ft,,67,65
314,3,5:01.0,,Defensive rebound by C. LeVert,67,65
315,3,4:53.0,,Q. Acy misses 3-pt jump shot from 24 ft,67,65
316,3,4:50.0,Defensive rebound by K. Singler,,67,65
317,3,4:46.0,R. Westbrook misses 2-pt jump shot from 18 ft,,67,65
318,3,4:44.0,,Defensive rebound by Team,67,65
319,3,4:23.0,,Q. Acy makes 3-pt jump shot from 25 ft (assist by C. LeVert),67,68
320,3,4:10.0,Turnover by N. Collison (bad pass),,67,68
321,3,4:10.0,T. Ferguson enters the game for A. Roberson,,67,68
322,3,3:55.0,,Turnover by A. Crabbe (bad pass; steal by P. Patterson),67,68
323,3,3:51.0,R. Westbrook misses 2-pt layup from 2 ft (block by C. LeVert),,67,68
324,3,3:51.0,Offensive rebound by Team,,67,68
325,3,3:46.0,K. Singler misses 2-pt jump shot from 13 ft,,67,68
326,3,3:44.0,,Defensive rebound by C. LeVert,67,68
327,3,3:39.0,,J. Harris misses 3-pt jump shot from 25 ft,67,68
328,3,3:37.0,Defensive rebound by R. Westbrook,,67,68
329,3,3:29.0,R. Westbrook makes 3-pt jump shot from 24 ft (assist by N. Collison),,70,68
330,3,3:14.0,,A. Crabbe makes 3-pt jump shot from 25 ft (assist by C. LeVert),70,71
331,3,3:02.0,,D. Carroll enters the game for A. Crabbe,70,71
332,3,2:57.0,Shooting foul by C. LeVert (drawn by R. Westbrook),,70,71
333,3,2:57.0,Oklahoma City full timeout,,70,71
334,3,2:57.0,,R. Hollis-Jefferson enters the game for J. Harris,70,71
335,3,2:57.0,R. Westbrook makes free throw 1 of 2,,71,71
336,3,2:57.0,R. Westbrook makes free throw 2 of 2,,72,71
337,3,2:42.0,,Shooting block foul by K. Singler (drawn by R. Hollis-Jefferson),72,71
338,3,2:42.0,,R. Hollis-Jefferson misses free throw 1 of 2,72,71
339,3,2:42.0,,Offensive rebound by Team,72,71
340,3,2:42.0,R. Felton enters the game for R. Westbrook,,72,71
341,3,2:42.0,,J. Harris enters the game for C. LeVert,72,71
342,3,2:42.0,,R. Hollis-Jefferson misses free throw 2 of 2,72,71
343,3,2:40.0,Defensive rebound by N. Collison,,72,71
344,3,2:22.0,R. Felton makes 2-pt jump shot from 20 ft,,74,71
345,3,2:02.0,,R. Hollis-Jefferson misses 2-pt jump shot from 6 ft,74,71
346,3,2:00.0,,Offensive rebound by J. Allen,74,71
347,3,1:56.0,,J. Harris misses 3-pt jump shot from 26 ft,74,71
348,3,1:56.0,,Offensive rebound by Team,74,71
349,3,1:56.0,,Turnover by Team (shot clock),74,71
350,3,1:37.0,N. Collison misses 2-pt jump shot from 23 ft,,74,71
351,3,1:34.0,,Defensive rebound by D. Carroll,74,71
352,3,1:23.0,,Turnover by Q. Acy (traveling),74,71
353,3,1:12.0,K. Singler misses 2-pt layup from 1 ft,,74,71
354,3,1:12.0,Offensive rebound by Team,,74,71
355,3,1:03.0,R. Felton makes 2-pt jump shot from 20 ft,,76,71
356,3,0:53.0,,Personal foul by R. Felton (drawn by J. Harris),76,71
357,3,0:53.0,,J. Harris misses free throw 1 of 2,76,71
358,3,0:53.0,,Offensive rebound by Team,76,71
359,3,0:53.0,,J. Harris misses free throw 2 of 2,76,71
360,3,0:52.0,Defensive rebound by P. Patterson,,76,71
361,3,0:35.0,R. Felton makes 3-pt jump shot from 24 ft,,79,71
362,3,0:18.0,,Q. Acy makes 3-pt jump shot from 25 ft (assist by D. Carroll),79,74
363,3,0:04.0,R. Felton misses 3-pt jump shot from 25 ft,,79,74
364,3,0:01.0,,Defensive rebound by Team,79,74
365,4,11:45.0,,J. Allen makes 2-pt layup from 1 ft (assist by C. LeVert),79,76
366,4,11:28.0,P. Patterson makes 2-pt layup at rim,,81,76
367,4,11:01.0,,R. Hollis-Jefferson makes 2-pt jump shot from 17 ft,81,78
368,4,10:38.0,Turnover by T. Ferguson (bad pass; steal by C. LeVert),,81,78
369,4,10:35.0,,Personal foul by T. Ferguson (drawn by Q. Acy),81,78
370,4,10:27.0,,C. LeVert makes 2-pt jump shot from 8 ft,81,80
371,4,10:12.0,K. Singler misses 3-pt jump shot from 24 ft,,81,80
372,4,10:09.0,,Defensive rebound by J. Allen,81,80
373,4,10:00.0,,Shooting foul by P. Patterson (drawn by R. Hollis-Jefferson),81,80
374,4,10:00.0,,R. Hollis-Jefferson makes free throw 1 of 2,81,81
375,4,10:00.0,,R. Hollis-Jefferson makes free throw 2 of 2,81,82
376,4,9:53.0,Offensive foul by P. Patterson (drawn by R. Hollis-Jefferson),,81,82
377,4,9:53.0,Turnover by P. Patterson (offensive foul),,81,82
