,QUARTER,TIME_REMAINING,WASHINGTON_ACTION,SACRAMENTO_ACTION,WASHINGTON_SCORE,SACRAMENTO_SCORE
56,1,4:54.0,,V. Carter enters the game for S. Labissière,19,4
57,1,4:44.0,O. Porter makes 2-pt layup from 2 ft (assist by J. Wall),,21,4
58,1,4:43.0,,Sacramento full timeout,21,4
59,1,4:43.0,,K. Koufos enters the game for W. Cauley-Stein,21,4
60,1,4:29.0,,B. Bogdanović makes 2-pt jump shot from 18 ft,21,6
61,1,4:14.0,K. Oubre makes 2-pt layup from 1 ft (assist by M. Gortat),,23,6
62,1,3:54.0,,D. Fox misses 2-pt jump shot from 9 ft,23,6
63,1,3:51.0,Defensive rebound by M. Gortat,,23,6
64,1,3:48.0,Shooting foul by V. Carter (drawn by O. Porter),,23,6
65,1,3:48.0,O. Porter misses free throw 1 of 2,,23,6
66,1,3:48.0,Offensive rebound by Team,,23,6
67,1,3:48.0,,G. Temple enters the game for B. Hield,23,6
68,1,3:48.0,J. Meeks enters the game for M. Gortat,,23,6
69,1,3:48.0,O. Porter makes free throw 2 of 2,,24,6
70,1,3:48.0,I. Mahinmi enters the game for K. Oubre,,24,6
71,1,3:33.0,,Turnover by G. Temple (bad pass; steal by I. Mahinmi),24,6
72,1,3:27.0,Turnover by J. Wall (lost ball; steal by B. Bogdanović),,24,6
73,1,3:24.0,,B. Bogdanović makes 3-pt jump shot from 24 ft,24,9
74,1,2:57.0,B. Beal misses 2-pt layup from 1 ft,,24,9
75,1,2:56.0,Offensive rebound by I. Mahinmi,,24,9
76,1,2:56.0,I. Mahinmi makes 2-pt layup at rim,,26,9
77,1,2:45.0,,Shooting foul by I. Mahinmi (drawn by K. Koufos),26,9
78,1,2:45.0,,K. Koufos misses free throw 1 of 2,26,9
79,1,2:45.0,,Offensive rebound by Team,26,9
80,1,2:45.0,,F. Mason enters the game for D. Fox,26,9
81,1,2:45.0,T. Frazier enters the game for J. Wall,,26,9
82,1,2:45.0,,K. Koufos makes free throw 2 of 2,26,10
83,1,2:24.0,Shooting foul by B. Bogdanović (drawn by O. Porter),,26,10
84,1,2:24.0,O. Porter makes free throw 1 of 2,,27,10
85,1,2:24.0,,M. Richardson enters the game for B. Bogdanović,27,10
86,1,2:24.0,O. Porter makes free throw 2 of 2,,28,10
87,1,2:08.0,,K. Koufos misses 2-pt layup from 1 ft,28,10
88,1,2:02.0,Defensive rebound by J. Meeks,,28,10
89,1,1:58.0,J. Meeks misses 3-pt jump shot from 24 ft,,28,10
90,1,1:58.0,,Defensive rebound by K. Koufos,28,10
91,1,1:39.0,,V. Carter misses 3-pt jump shot from 23 ft,28,10
92,1,1:37.0,,Offensive rebound by K. Koufos,28,10
93,1,1:30.0,,F. Mason makes 2-pt layup from 1 ft,28,12
94,1,1:24.0,,J. Jackson enters the game for G. Temple,28,12
95,1,1:24.0,M. Scott enters the game for O. Porter,,28,12
96,1,1:14.0,I. Mahinmi makes 2-pt hook shot from 7 ft (assist by T. Frazier),,30,12
97,1,0:57.0,,M. Richardson makes 2-pt jump shot from 16 ft,30,14
98,1,0:42.0,B. Beal makes 2-pt jump shot from 12 ft,,32,14
99,1,0:31.0,,K. Koufos makes 2-pt layup from 3 ft (assist by F. Mason),32,16
100,1,0:08.0,J. Meeks makes 3-pt jump shot from 25 ft (assist by B. Beal),,35,16
101,1,0:01.0,,Turnover by F. Mason (lost ball; steal by T. Frazier),35,16
102,2,11:44.0,,Shooting foul by I. Mahinmi (drawn by K. Koufos),35,16
103,2,11:44.0,,K. Koufos makes free throw 1 of 2,35,17
104,2,11:44.0,,K. Koufos makes free throw 2 of 2,35,18
105,2,11:27.0,J. Meeks misses 2-pt jump shot from 17 ft,,35,18
106,2,11:24.0,,Defensive rebound by K. Koufos,35,18
107,2,11:09.0,,K. Koufos misses 2-pt layup from 2 ft,35,18
108,2,11:05.0,,Offensive rebound by K. Koufos,35,18
109,2,11:02.0,,M. Richardson misses 3-pt jump shot from 24 ft,35,18
110,2,11:02.0,Defensive rebound by I. Mahinmi,,35,18
111,2,10:50.0,J. Meeks misses 2-pt jump shot from 20 ft,,35,18
112,2,10:50.0,,Defensive rebound by K. Koufos,35,18
113,2,10:46.0,Offensive charge foul by F. Mason (drawn by T. Frazier),,35,18
114,2,10:46.0,,Turnover by F. Mason (offensive foul),35,18
115,2,10:28.0,M. Scott makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,38,18
116,2,10:07.0,,Turnover by K. Koufos (lost ball; steal by J. Meeks),38,18
117,2,10:00.0,T. Satoranský misses 3-pt jump shot from 22 ft,,38,18
118,2,9:56.0,Offensive rebound by M. Scott,,38,18
119,2,9:56.0,M. Scott makes 2-pt layup from 4 ft,,40,18
120,2,9:49.0,,F. Mason misses 2-pt layup from 1 ft,40,18
121,2,9:49.0,,Offensive rebound by K. Koufos,40,18
122,2,9:45.0,,K. Koufos makes 2-pt layup from 1 ft,40,20
123,2,9:39.0,,Technical foul by K. Koufos,40,20
124,2,9:39.0,T. Satoranský misses free throw 1 of 2,,40,20
125,2,9:39.0,Offensive rebound by Team,,40,20
126,2,9:39.0,T. Satoranský misses flagrant free throw 2 of 2,,40,20
127,2,9:39.0,Offensive rebound by Team,,40,20
128,2,9:37.0,Offensive foul by I. Mahinmi (drawn by K. Koufos),,40,20
129,2,9:37.0,Turnover by I. Mahinmi (offensive foul),,40,20
130,2,9:37.0,J. Smith enters the game for I. Mahinmi,,40,20
131,2,9:26.0,,V. Carter misses 3-pt jump shot from 25 ft,40,20
132,2,9:23.0,Defensive rebound by T. Satoranský,,40,20
133,2,9:15.0,J. Smith misses 3-pt jump shot from 25 ft,,40,20
134,2,9:10.0,Offensive rebound by T. Frazier,,40,20
135,2,9:09.0,M. Scott misses 2-pt layup from 2 ft,,40,20
136,2,9:09.0,Offensive rebound by M. Scott,,40,20
137,2,9:04.0,M. Scott misses 2-pt layup at rim,,40,20
138,2,9:03.0,,Defensive rebound by K. Koufos,40,20
139,2,8:55.0,,V. Carter misses 2-pt jump shot from 9 ft,40,20
140,2,8:49.0,Defensive rebound by M. Scott,,40,20
141,2,8:44.0,M. Scott makes 2-pt jump shot from 15 ft (assist by T. Frazier),,42,20
142,2,8:20.0,,Turnover by V. Carter (bad pass; steal by T. Satoranský),42,20
143,2,8:20.0,Personal foul by K. Koufos (drawn by J. Smith),,42,20
144,2,8:20.0,,G. Temple enters the game for J. Jackson,42,20
145,2,8:06.0,J. Meeks misses 3-pt jump shot from 25 ft,,42,20
146,2,8:04.0,,Defensive rebound by K. Koufos,42,20
147,2,7:56.0,,F. Mason misses 3-pt jump shot from 25 ft,42,20
148,2,7:52.0,,Offensive rebound by K. Koufos,42,20
149,2,7:40.0,,V. Carter misses 3-pt jump shot from 27 ft,42,20
150,2,7:37.0,Defensive rebound by T. Satoranský,,42,20
151,2,7:31.0,J. Smith misses 3-pt jump shot from 22 ft,,42,20
152,2,7:27.0,,Defensive rebound by V. Carter,42,20
153,2,7:18.0,,Shooting foul by T. Frazier (drawn by M. Richardson),42,20
154,2,7:18.0,,M. Richardson makes free throw 1 of 2,42,21
155,2,7:18.0,,S. Labissière enters the game for V. Carter,42,21
156,2,7:18.0,,W. Cauley-Stein enters the game for K. Koufos,42,21
157,2,7:18.0,K. Oubre enters the game for J. Meeks,,42,21
158,2,7:18.0,J. Wall enters the game for T. Frazier,,42,21
159,2,7:18.0,,M. Richardson makes free throw 2 of 2,42,22
160,2,7:05.0,M. Scott makes 2-pt jump shot from 8 ft (assist by J. Wall),,44,22
161,2,6:52.0,,M. Richardson misses 3-pt jump shot from 25 ft,44,22
162,2,6:38.0,Defensive rebound by K. Oubre,,44,22
163,2,6:36.0,M. Scott makes 2-pt jump shot from 14 ft (assist by T. Satoranský),,46,22
164,2,6:21.0,,F. Mason makes 2-pt layup from 1 ft,46,24
165,2,6:04.0,K. Oubre misses 2-pt jump shot from 20 ft,,46,24
166,2,6:01.0,,Defensive rebound by W. Cauley-Stein,46,24
167,2,5:51.0,,G. Temple makes 2-pt jump shot from 12 ft,46,26
168,2,5:36.0,Turnover by J. Wall (bad pass; steal by F. Mason),,46,26
169,2,5:30.0,,F. Mason misses 2-pt layup from 2 ft,46,26
170,2,5:27.0,Defensive rebound by J. Smith,,46,26
171,2,5:23.0,K. Oubre makes 3-pt jump shot from 25 ft (assist by J. Wall),,49,26
172,2,5:07.0,,Sacramento full timeout,49,26
173,2,5:07.0,,D. Fox enters the game for F. Mason,49,26
174,2,5:07.0,,B. Hield enters the game for M. Richardson,49,26
175,2,5:07.0,B. Beal enters the game for T. Satoranský,,49,26
176,2,5:00.0,,S. Labissière misses 2-pt jump shot from 23 ft,49,26
177,2,4:56.0,Defensive rebound by J. Wall,,49,26
178,2,4:47.0,J. Smith misses 3-pt jump shot from 25 ft,,49,26
179,2,4:47.0,Offensive rebound by B. Beal,,49,26
180,2,4:35.0,J. Smith makes 3-pt jump shot from 24 ft (assist by B. Beal),,52,26
181,2,4:25.0,,D. Fox misses 2-pt layup from 3 ft (block by J. Smith),52,26
182,2,4:25.0,,Offensive rebound by S. Labissière,52,26
183,2,4:21.0,,Turnover by S. Labissière (turnover),52,26
184,2,4:09.0,J. Wall misses 2-pt jump shot from 21 ft,,52,26
185,2,4:05.0,,Defensive rebound by W. Cauley-Stein,52,26
186,2,3:58.0,,S. Labissière misses 2-pt jump shot from 7 ft,52,26
187,2,3:58.0,Defensive rebound by B. Beal,,52,26
188,2,3:57.0,Personal foul by S. Labissière (drawn by B. Beal),,52,26
189,2,3:57.0,,B. Bogdanović enters the game for S. Labissière,52,26
190,2,3:44.0,K. Oubre misses 3-pt jump shot from 22 ft,,52,26
191,2,3:38.0,Offensive rebound by J. Smith,,52,26
192,2,3:33.0,Shooting foul by W. Cauley-Stein (drawn by J. Smith),,52,26
193,2,3:33.0,J. Smith makes free throw 1 of 2,,53,26
194,2,3:33.0,O. Porter enters the game for M. Scott,,53,26
195,2,3:33.0,J. Smith makes free throw 2 of 2,,54,26
196,2,3:20.0,,G. Temple misses 2-pt jump shot from 21 ft,54,26
197,2,3:14.0,Defensive rebound by K. Oubre,,54,26
198,2,3:10.0,O. Porter makes 2-pt jump shot from 11 ft (assist by J. Wall),,56,26
199,2,2:54.0,,Shooting foul by J. Smith (drawn by W. Cauley-Stein),56,26
200,2,2:54.0,Washington full timeout,,56,26
201,2,2:54.0,,W. Cauley-Stein makes free throw 1 of 2,56,27
202,2,2:54.0,,W. Cauley-Stein makes free throw 2 of 2,56,28
203,2,2:44.0,J. Smith misses 2-pt layup from 1 ft,,56,28
204,2,2:42.0,,Defensive rebound by W. Cauley-Stein,56,28
205,2,2:26.0,,G. Temple misses 2-pt jump shot from 15 ft,56,28
206,2,2:23.0,Defensive rebound by K. Oubre,,56,28
207,2,2:05.0,B. Beal makes 2-pt jump shot from 12 ft,,58,28
208,2,1:57.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by D. Fox),58,30
209,2,1:44.0,J. Smith misses 2-pt jump shot from 18 ft,,58,30
210,2,1:41.0,,Defensive rebound by D. Fox,58,30
211,2,1:35.0,,D. Fox misses 2-pt layup at rim,58,30
212,2,1:32.0,Defensive rebound by J. Smith,,58,30
213,2,1:24.0,J. Wall makes 2-pt jump shot from 20 ft,,60,30
214,2,1:07.0,,Turnover by W. Cauley-Stein (bad pass),60,30
215,2,0:56.0,B. Beal misses 3-pt jump shot from 24 ft,,60,30
216,2,0:53.0,,Defensive rebound by D. Fox,60,30
217,2,0:51.0,,B. Hield misses 2-pt layup from 3 ft (block by J. Wall),60,30
218,2,0:49.0,Defensive rebound by K. Oubre,,60,30
219,2,0:49.0,Personal foul by B. Bogdanović (drawn by K. Oubre),,60,30
220,2,0:49.0,K. Oubre misses free throw 1 of 3,,60,30
221,2,0:49.0,Offensive rebound by Team,,60,30
222,2,0:49.0,K. Oubre makes free throw 2 of 3,,61,30
223,2,0:30.0,,D. Fox makes 2-pt jump shot from 22 ft,61,32
224,2,0:08.0,Shooting foul by B. Hield (drawn by B. Beal),,61,32
225,2,0:08.0,B. Beal makes free throw 1 of 2,,62,32
226,2,0:08.0,T. Satoranský enters the game for J. Smith,,62,32
227,2,0:08.0,B. Beal makes free throw 2 of 2,,63,32
228,2,0:07.0,,Personal foul by K. Oubre (drawn by D. Fox),63,32
229,2,0:05.0,,Turnover by D. Fox (out of bounds lost ball),63,32
230,2,0:01.0,J. Wall misses 2-pt jump shot from 18 ft,,63,32
231,2,0:01.0,,Defensive rebound by W. Cauley-Stein,63,32
232,3,11:46.0,,S. Labissière misses 2-pt hook shot from 10 ft,63,32
233,3,11:40.0,Defensive rebound by K. Oubre,,63,32
234,3,11:26.0,K. Oubre misses 3-pt jump shot from 25 ft,,63,32
235,3,11:20.0,Offensive rebound by M. Gortat,,63,32
236,3,11:18.0,B. Beal misses 3-pt jump shot from 23 ft,,63,32
237,3,11:18.0,,Defensive rebound by W. Cauley-Stein,63,32
238,3,11:05.0,,B. Hield misses 2-pt jump shot from 17 ft,63,32
239,3,11:01.0,Defensive rebound by M. Gortat,,63,32
240,3,10:47.0,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),,66,32
241,3,10:25.0,,B. Hield makes 2-pt jump shot from 20 ft (assist by W. Cauley-Stein),66,34
242,3,10:06.0,B. Beal makes 3-pt jump shot from 24 ft (assist by J. Wall),,69,34
243,3,9:50.0,,S. Labissière makes 2-pt hook shot from 11 ft,69,36
244,3,9:42.0,K. Oubre misses 2-pt layup from 2 ft,,69,36
245,3,9:40.0,,Defensive rebound by B. Bogdanović,69,36
246,3,9:33.0,,Turnover by B. Bogdanović (traveling),69,36
247,3,9:10.0,O. Porter misses 2-pt jump shot from 14 ft,,69,36
248,3,9:07.0,,Defensive rebound by W. Cauley-Stein,69,36
249,3,8:54.0,,B. Bogdanović makes 2-pt layup from 1 ft (assist by W. Cauley-Stein),69,38
250,3,8:34.0,M. Gortat makes 2-pt hook shot from 5 ft,,71,38
251,3,8:13.0,,Turnover by B. Hield (bad pass; steal by O. Porter),71,38
252,3,8:09.0,B. Beal makes 2-pt dunk from 1 ft (assist by J. Wall),,73,38
253,3,7:46.0,,W. Cauley-Stein makes 2-pt jump shot from 16 ft,73,40
254,3,7:23.0,K. Oubre makes 3-pt jump shot from 22 ft (assist by M. Gortat),,76,40
255,3,7:15.0,,S. Labissière makes 2-pt dunk from 1 ft (assist by D. Fox),76,42
256,3,6:58.0,Turnover by O. Porter (bad pass; steal by S. Labissière),,76,42
257,3,6:53.0,,B. Bogdanović makes 2-pt jump shot from 22 ft (assist by D. Fox),76,44
258,3,6:32.0,O. Porter makes 3-pt jump shot from 23 ft (assist by J. Wall),,79,44
259,3,6:16.0,,S. Labissière makes 2-pt hook shot from 5 ft,79,46
260,3,6:16.0,,Shooting foul by O. Porter (drawn by S. Labissière),79,46
261,3,6:16.0,,Sacramento full timeout,79,46
262,3,6:16.0,,S. Labissière makes free throw 1 of 1,79,47
263,3,6:02.0,Turnover by J. Wall (bad pass; steal by B. Bogdanović),,79,47
264,3,5:47.0,,S. Labissière misses 2-pt jump shot from 19 ft,79,47
265,3,5:44.0,,Offensive rebound by B. Hield,79,47
266,3,5:40.0,,B. Hield misses 2-pt layup from 2 ft,79,47
267,3,5:38.0,Defensive rebound by K. Oubre,,79,47
268,3,5:26.0,M. Gortat misses 2-pt layup from 3 ft (block by S. Labissière),,79,47
269,3,5:22.0,,Defensive rebound by W. Cauley-Stein,79,47
270,3,5:20.0,,D. Fox misses 2-pt jump shot from 19 ft,79,47
271,3,5:20.0,Defensive rebound by K. Oubre,,79,47
272,3,5:01.0,Turnover by B. Beal (lost ball; steal by B. Bogdanović),,79,47
273,3,4:58.0,,B. Bogdanović makes 2-pt layup from 2 ft,79,49
274,3,4:32.0,J. Wall misses 2-pt jump shot from 11 ft,,79,49
275,3,4:32.0,Offensive rebound by Team,,79,49
276,3,4:32.0,Turnover by Team (shot clock),,79,49
277,3,4:08.0,,B. Bogdanović misses 2-pt jump shot from 19 ft,79,49
278,3,4:08.0,,Offensive rebound by Team,79,49
279,3,4:08.0,,Turnover by Team (shot clock),79,49
280,3,3:50.0,M. Gortat makes 2-pt jump shot from 9 ft,,81,49
281,3,3:40.0,,Turnover by D. Fox (bad pass; steal by M. Gortat),81,49
282,3,3:35.0,Turnover by J. Wall (bad pass; steal by B. Bogdanović),,81,49
283,3,3:30.0,,B. Hield makes 2-pt layup from 2 ft (assist by B. Bogdanović),81,51
284,3,3:05.0,J. Wall makes 3-pt jump shot from 25 ft (assist by B. Beal),,84,51
285,3,2:40.0,,W. Cauley-Stein misses 2-pt jump shot from 16 ft,84,51
286,3,2:37.0,Defensive rebound by M. Gortat,,84,51
287,3,2:31.0,J. Wall misses 3-pt jump shot from 25 ft,,84,51
288,3,2:29.0,,Defensive rebound by S. Labissière,84,51
289,3,2:14.0,,B. Hield misses 3-pt jump shot from 24 ft,84,51
290,3,2:10.0,,S. Labissière makes 2-pt hook shot from 3 ft,84,53
291,3,2:10.0,,Shooting foul by M. Gortat (drawn by S. Labissière),84,53
292,3,2:10.0,Washington full timeout,,84,53
293,3,2:10.0,,G. Temple enters the game for W. Cauley-Stein,84,53
294,3,2:10.0,,K. Koufos enters the game for B. Bogdanović,84,53
295,3,2:10.0,T. Frazier enters the game for J. Wall,,84,53
296,3,2:10.0,I. Mahinmi enters the game for M. Gortat,,84,53
297,3,2:10.0,,S. Labissière makes free throw 1 of 1,84,54
298,3,2:09.0,,Offensive rebound by S. Labissière,84,54
299,3,1:58.0,Away from play foul by B. Hield (drawn by B. Beal),,84,54
300,3,1:49.0,B. Beal makes 2-pt dunk from 2 ft (assist by I. Mahinmi),,86,54
301,3,1:33.0,,B. Hield makes 3-pt jump shot from 24 ft (assist by D. Fox),86,57
302,3,1:12.0,O. Porter misses 3-pt jump shot from 25 ft,,86,57
303,3,1:12.0,,Defensive rebound by D. Fox,86,57
304,3,0:59.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by B. Hield),86,60
305,3,0:40.0,B. Beal makes 2-pt jump shot from 12 ft,,88,60
306,3,0:26.0,,Turnover by D. Fox (bad pass; steal by I. Mahinmi),88,60
307,3,0:02.0,B. Beal misses 2-pt jump shot from 18 ft,,88,60
308,3,0:02.0,,Defensive rebound by G. Temple,88,60
309,4,11:38.0,Turnover by T. Frazier (bad pass; steal by V. Carter),,88,60
310,4,11:36.0,,Turnover by V. Carter (bad pass; steal by O. Porter),88,60
311,4,11:36.0,Shooting foul by V. Carter (drawn by I. Mahinmi),,88,60
312,4,11:36.0,I. Mahinmi makes free throw 1 of 2,,89,60
313,4,11:36.0,I. Mahinmi misses free throw 2 of 2,,89,60
314,4,11:33.0,,Defensive rebound by V. Carter,89,60
315,4,11:13.0,,F. Mason makes 2-pt jump shot from 20 ft,89,62
316,4,11:00.0,I. Mahinmi misses 2-pt layup from 3 ft,,89,62
317,4,10:52.0,Offensive rebound by M. Scott,,89,62
318,4,10:52.0,M. Scott makes 2-pt layup at rim,,91,62
319,4,10:30.0,,B. Hield misses 2-pt jump shot from 9 ft (block by O. Porter),91,62
320,4,10:30.0,,Offensive rebound by B. Hield,91,62
321,4,10:30.0,,Turnover by Team (shot clock),91,62
322,4,10:30.0,,M. Richardson enters the game for B. Hield,91,62
323,4,10:30.0,T. Satoranský enters the game for O. Porter,,91,62
324,4,10:18.0,Turnover by T. Frazier (bad pass; steal by M. Richardson),,91,62
325,4,10:15.0,,Personal foul by T. Frazier (drawn by K. Koufos),91,62
326,4,10:01.0,,V. Carter misses 3-pt jump shot from 24 ft,91,62
327,4,9:57.0,Defensive rebound by J. Meeks,,91,62
328,4,9:47.0,Personal foul by K. Koufos (drawn by J. Meeks),,91,62
329,4,9:39.0,J. Meeks misses 2-pt jump shot from 12 ft,,91,62
330,4,9:33.0,,Defensive rebound by G. Temple,91,62
331,4,9:27.0,,Personal foul by I. Mahinmi (drawn by V. Carter),91,62
332,4,9:13.0,,Turnover by Team (shot clock),91,62
333,4,9:12.0,,G. Temple misses 3-pt jump shot from 30 ft,91,62
334,4,9:11.0,,Offensive rebound by Team,91,62
335,4,8:59.0,Turnover by J. Meeks (turnover),,91,62
336,4,8:47.0,,Shooting foul by I. Mahinmi (drawn by M. Richardson),91,62
337,4,8:47.0,,M. Richardson misses free throw 1 of 2,91,62
338,4,8:47.0,,Offensive rebound by Team,91,62
339,4,8:47.0,,M. Richardson makes free throw 2 of 2,91,63
340,4,8:39.0,Personal foul by G. Temple (drawn by J. Meeks),,91,63
341,4,8:36.0,T. Frazier makes 3-pt jump shot from 23 ft (assist by T. Satoranský),,94,63
342,4,8:24.0,,Personal foul by T. Frazier (drawn by F. Mason),94,63
343,4,8:10.0,,M. Richardson misses 3-pt jump shot from 25 ft,94,63
344,4,8:06.0,Defensive rebound by I. Mahinmi,,94,63
345,4,7:55.0,T. Satoranský misses 2-pt layup from 4 ft,,94,63
346,4,7:55.0,Offensive rebound by Team,,94,63
347,4,7:55.0,,Loose ball foul by K. Koufos (drawn by T. Satoranský),94,63
348,4,7:48.0,T. Satoranský makes 3-pt jump shot from 24 ft (assist by T. Frazier),,97,63
349,4,7:31.0,Offensive charge foul by M. Richardson (drawn by I. Mahinmi),,97,63
350,4,7:31.0,,Turnover by M. Richardson (offensive foul),97,63
351,4,7:31.0,,J. Jackson enters the game for G. Temple,97,63
352,4,7:17.0,M. Scott misses 2-pt jump shot from 7 ft,,97,63
353,4,7:13.0,,Defensive rebound by K. Koufos,97,63
354,4,7:02.0,,V. Carter misses 2-pt layup from 5 ft,97,63
355,4,7:02.0,Defensive rebound by J. Meeks,,97,63
356,4,6:44.0,,Offensive charge foul by M. Scott (drawn by M. Richardson),97,63
357,4,6:44.0,Turnover by M. Scott (offensive foul),,97,63
358,4,6:44.0,,Sacramento full timeout,97,63
359,4,6:44.0,,G. Papagiannis enters the game for V. Carter,97,63
360,4,6:44.0,,J. Sampson enters the game for K. Koufos,97,63
361,4,6:44.0,C. McCullough enters the game for I. Mahinmi,,97,63
362,4,6:44.0,J. Smith enters the game for M. Scott,,97,63
363,4,6:22.0,,J. Jackson makes 2-pt jump shot from 10 ft,97,65
364,4,6:09.0,Shooting foul by J. Sampson (drawn by C. McCullough),,97,65
365,4,6:09.0,C. McCullough makes free throw 1 of 2,,98,65
366,4,6:09.0,C. McCullough misses free throw 2 of 2,,98,65
367,4,6:06.0,,Defensive rebound by J. Sampson,98,65
368,4,5:53.0,,Personal foul by C. McCullough (drawn by J. Jackson),98,65
369,4,5:53.0,,J. Jackson misses free throw 1 of 2,98,65
370,4,5:53.0,,Offensive rebound by Team,98,65
371,4,5:53.0,,J. Jackson makes free throw 2 of 2,98,66
372,4,5:42.0,J. Meeks misses 3-pt jump shot from 25 ft,,98,66
373,4,5:39.0,Offensive rebound by J. Meeks,,98,66
374,4,5:39.0,Personal foul by J. Sampson (drawn by J. Meeks),,98,66
375,4,5:39.0,J. Meeks makes free throw 1 of 2,,99,66
376,4,5:39.0,J. Meeks makes free throw 2 of 2,,100,66
377,4,5:24.0,,J. Jackson misses 2-pt jump shot from 22 ft,100,66
378,4,5:20.0,Defensive rebound by C. McCullough,,100,66
379,4,5:14.0,J. Meeks makes 3-pt jump shot from 23 ft (assist by T. Frazier),,103,66
380,4,4:55.0,,F. Mason makes 2-pt layup from 2 ft,103,68
381,4,4:42.0,C. McCullough makes 2-pt dunk from 1 ft (assist by T. Frazier),,105,68
382,4,4:32.0,,Offensive foul by G. Papagiannis (drawn by J. Smith),105,68
383,4,4:32.0,,Turnover by G. Papagiannis (offensive foul),105,68
