,QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MILWAUKEE_ACTION,BROOKLYN_SCORE,MILWAUKEE_SCORE
122,2,9:42.0,,Offensive rebound by J. Parker,33,28
123,2,9:42.0,,J. Parker misses 2-pt layup from 2 ft (block by C. LeVert),33,28
124,2,9:42.0,,Offensive rebound by Team,33,28
125,2,9:29.0,,J. Terry misses 2-pt jump shot from 14 ft,33,28
126,2,9:24.0,,Offensive rebound by S. Muhammad,33,28
127,2,9:24.0,,S. Muhammad misses 2-pt dunk at rim,33,28
128,2,9:24.0,Defensive rebound by J. Harris,,33,28
129,2,9:02.0,R. Hollis-Jefferson makes 2-pt layup at rim (assist by S. Dinwiddie),,35,28
130,2,8:50.0,,Personal foul by J. Harris (drawn by S. Muhammad),35,28
131,2,8:50.0,A. Crabbe enters the game for Q. Acy,,35,28
132,2,8:50.0,J. Allen enters the game for J. Harris,,35,28
133,2,8:41.0,,G. Antetokounmpo makes 2-pt jump shot from 19 ft,35,30
134,2,8:17.0,A. Crabbe misses 3-pt jump shot from 27 ft,,35,30
135,2,8:14.0,,Defensive rebound by J. Terry,35,30
136,2,8:13.0,,S. Muhammad makes 2-pt dunk at rim (assist by G. Antetokounmpo),35,32
137,2,8:13.0,Brooklyn full timeout,,35,32
138,2,8:03.0,Turnover by C. LeVert (bad pass; steal by G. Antetokounmpo),,35,32
139,2,7:46.0,,G. Antetokounmpo misses 2-pt jump shot from 5 ft,35,32
140,2,7:43.0,Defensive rebound by J. Allen,,35,32
141,2,7:26.0,C. LeVert misses 2-pt jump shot from 14 ft,,35,32
142,2,7:23.0,,Defensive rebound by G. Antetokounmpo,35,32
143,2,7:20.0,,J. Parker makes 2-pt dunk from 1 ft (assist by G. Antetokounmpo),35,34
144,2,7:08.0,C. LeVert misses 3-pt jump shot from 27 ft,,35,34
145,2,7:08.0,,Defensive rebound by T. Zeller,35,34
146,2,6:47.0,,G. Antetokounmpo makes 2-pt dunk at rim (assist by J. Terry),35,36
147,2,6:31.0,R. Hollis-Jefferson misses 2-pt layup from 2 ft,,35,36
148,2,6:28.0,Offensive rebound by R. Hollis-Jefferson,,35,36
149,2,6:26.0,A. Crabbe misses 3-pt jump shot from 27 ft,,35,36
150,2,6:26.0,,Defensive rebound by G. Antetokounmpo,35,36
151,2,6:20.0,,J. Parker misses 2-pt jump shot from 15 ft,35,36
152,2,6:18.0,Defensive rebound by A. Crabbe,,35,36
153,2,6:10.0,R. Hollis-Jefferson makes 2-pt layup from 2 ft (assist by S. Dinwiddie),,37,36
154,2,5:54.0,,J. Parker misses 3-pt jump shot from 26 ft,37,36
155,2,5:51.0,Defensive rebound by J. Allen,,37,36
156,2,5:40.0,,Offensive charge foul by J. Allen (drawn by S. Muhammad),37,36
157,2,5:40.0,Turnover by J. Allen (offensive foul),,37,36
158,2,5:40.0,,E. Bledsoe enters the game for J. Terry,37,36
159,2,5:40.0,,K. Middleton enters the game for G. Antetokounmpo,37,36
160,2,5:40.0,D. Russell enters the game for S. Dinwiddie,,37,36
