,QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,DETROIT_ACTION,OKLAHOMA CITY_SCORE,DETROIT_SCORE
36,1,8:12.0,,L. Galloway makes free throw 2 of 3,10,9
37,1,8:12.0,,L. Galloway makes free throw 3 of 3,10,10
38,1,8:04.0,Personal foul by A. Bradley (drawn by R. Westbrook),,10,10
39,1,8:04.0,,I. Smith enters the game for L. Galloway,10,10
40,1,7:58.0,R. Westbrook misses 2-pt layup from 3 ft,,10,10
41,1,7:56.0,,Defensive rebound by A. Drummond,10,10
42,1,7:44.0,,S. Johnson misses 3-pt jump shot from 26 ft,10,10
43,1,7:40.0,,Offensive rebound by A. Drummond,10,10
44,1,7:39.0,,A. Drummond makes 2-pt layup at rim,10,12
45,1,7:25.0,Personal foul by S. Johnson,,10,12
46,1,7:25.0,,Technical foul by S. Johnson,10,12
47,1,7:25.0,C. Anthony makes technical free throw,,11,12
48,1,7:17.0,R. Westbrook misses 2-pt jump shot from 17 ft,,11,12
49,1,7:15.0,Offensive rebound by R. Westbrook,,11,12
50,1,7:15.0,R. Westbrook misses 2-pt layup from 2 ft (block by A. Drummond),,11,12
51,1,7:13.0,,Defensive rebound by S. Johnson,11,12
52,1,7:07.0,,T. Harris misses 2-pt jump shot from 5 ft,11,12
53,1,7:06.0,Defensive rebound by P. George,,11,12
54,1,7:01.0,P. George makes 2-pt layup from 1 ft,,13,12
55,1,6:38.0,,T. Harris misses 3-pt jump shot from 22 ft,13,12
56,1,6:35.0,Defensive rebound by C. Anthony,,13,12
57,1,6:17.0,C. Anthony makes 2-pt jump shot from 17 ft,,15,12
58,1,6:09.0,,Turnover by I. Smith (turnover),15,12
59,1,5:58.0,S. Adams makes 2-pt hook shot from 9 ft (assist by R. Westbrook),,17,12
60,1,5:28.0,,I. Smith makes 3-pt jump shot from 23 ft (assist by S. Johnson),17,15
61,1,5:18.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,20,15
62,1,5:04.0,,Turnover by A. Bradley (turnover),20,15
63,1,4:51.0,S. Adams makes 2-pt hook shot from 5 ft (assist by R. Westbrook),,22,15
64,1,4:43.0,,Detroit full timeout,22,15
65,1,4:43.0,,L. Kennard enters the game for S. Johnson,22,15
66,1,4:25.0,,A. Drummond misses 2-pt layup from 6 ft,22,15
67,1,4:23.0,Defensive rebound by A. Roberson,,22,15
68,1,4:18.0,R. Westbrook makes 2-pt layup from 1 ft (assist by A. Roberson),,24,15
69,1,4:08.0,,Turnover by I. Smith (lost ball; steal by P. George),24,15
70,1,4:04.0,R. Westbrook makes 2-pt layup from 1 ft,,26,15
71,1,3:48.0,Offensive charge foul by L. Kennard (drawn by R. Westbrook),,26,15
72,1,3:48.0,,Turnover by L. Kennard (offensive foul),26,15
73,1,3:48.0,T. Ferguson enters the game for A. Roberson,,26,15
74,1,3:29.0,T. Ferguson misses 2-pt layup from 6 ft,,26,15
75,1,3:27.0,,Defensive rebound by A. Drummond,26,15
76,1,3:23.0,,I. Smith makes 2-pt layup at rim,26,17
77,1,3:14.0,C. Anthony misses 2-pt layup from 2 ft (block by A. Drummond),,26,17
78,1,3:13.0,Offensive rebound by Team,,26,17
79,1,3:08.0,C. Anthony makes 3-pt jump shot from 24 ft (assist by R. Westbrook),,29,17
80,1,2:49.0,,Shooting foul by S. Adams (drawn by T. Harris),29,17
81,1,2:49.0,,T. Harris makes free throw 1 of 2,29,18
82,1,2:49.0,,T. Harris makes free throw 2 of 2,29,19
83,1,2:38.0,R. Westbrook makes 2-pt jump shot from 7 ft,,31,19
84,1,2:19.0,,Turnover by I. Smith (bad pass),31,19
85,1,2:19.0,R. Felton enters the game for R. Westbrook,,31,19
86,1,2:06.0,C. Anthony misses 2-pt jump shot from 19 ft,,31,19
87,1,2:04.0,,Defensive rebound by A. Drummond,31,19
88,1,1:53.0,,A. Bradley makes 2-pt dunk at rim (assist by A. Drummond),31,21
89,1,1:30.0,C. Anthony misses 2-pt jump shot from 17 ft,,31,21
90,1,1:28.0,,Defensive rebound by A. Drummond,31,21
91,1,1:16.0,,Shooting foul by T. Ferguson (drawn by T. Harris),31,21
92,1,1:16.0,,T. Harris misses free throw 1 of 2,31,21
93,1,1:16.0,,Offensive rebound by Team,31,21
94,1,1:16.0,,R. Bullock enters the game for A. Bradley,31,21
95,1,1:16.0,J. Grant enters the game for C. Anthony,,31,21
96,1,1:16.0,,T. Harris makes free throw 2 of 2,31,22
97,1,1:09.0,Shooting foul by I. Smith (drawn by P. George),,31,22
98,1,1:09.0,P. George makes free throw 1 of 2,,32,22
99,1,1:09.0,,B. Marjanović enters the game for A. Drummond,32,22
100,1,1:09.0,P. Patterson enters the game for S. Adams,,32,22
101,1,1:09.0,P. George makes free throw 2 of 2,,33,22
102,1,0:52.0,,I. Smith misses 2-pt jump shot from 14 ft,33,22
103,1,0:45.0,,Offensive rebound by T. Harris,33,22
104,1,0:45.0,,T. Harris misses 2-pt layup at rim,33,22
105,1,0:45.0,,Offensive rebound by B. Marjanović,33,22
106,1,0:44.0,,B. Marjanović misses 2-pt layup from 1 ft,33,22
107,1,0:40.0,,Offensive rebound by T. Harris,33,22
108,1,0:40.0,,T. Harris misses 2-pt layup from 2 ft,33,22
109,1,0:37.0,Defensive rebound by J. Grant,,33,22
110,1,0:30.0,P. George makes 3-pt jump shot from 24 ft,,36,22
111,1,0:09.0,,B. Marjanović makes 2-pt layup from 1 ft (assist by T. Harris),36,24
112,1,0:02.0,P. George misses 2-pt jump shot from 21 ft,,36,24
113,1,0:02.0,,Defensive rebound by I. Smith,36,24
114,2,11:46.0,,Shooting foul by Á. Abrines (drawn by L. Kennard),36,24
115,2,11:46.0,,L. Kennard makes free throw 1 of 2,36,25
116,2,11:46.0,,L. Kennard makes free throw 2 of 2,36,26
117,2,11:35.0,J. Grant misses 2-pt layup from 2 ft,,36,26
118,2,11:32.0,,Defensive rebound by R. Bullock,36,26
119,2,11:24.0,,B. Marjanović misses 2-pt dunk from 1 ft,36,26
120,2,11:22.0,Defensive rebound by P. Patterson,,36,26
121,2,11:14.0,R. Felton makes 2-pt jump shot from 9 ft,,38,26
122,2,10:57.0,,R. Bullock makes 2-pt layup at rim (assist by B. Marjanović),38,28
123,2,10:41.0,J. Grant makes 2-pt jump shot from 18 ft (assist by R. Felton),,40,28
124,2,10:30.0,,B. Marjanović makes 2-pt hook shot from 5 ft (assist by I. Smith),40,30
125,2,10:19.0,R. Felton makes 2-pt jump shot from 21 ft,,42,30
126,2,10:05.0,,B. Marjanović makes 2-pt layup from 4 ft (assist by R. Bullock),42,32
127,2,9:48.0,J. Grant misses 3-pt jump shot from 26 ft,,42,32
128,2,9:43.0,,Defensive rebound by A. Tolliver,42,32
129,2,9:31.0,,L. Kennard misses 3-pt jump shot from 24 ft,42,32
130,2,9:30.0,,Offensive rebound by Team,42,32
131,2,9:17.0,,L. Kennard misses 2-pt jump shot from 19 ft,42,32
132,2,9:14.0,Defensive rebound by R. Felton,,42,32
133,2,9:08.0,R. Felton makes 2-pt jump shot from 18 ft,,44,32
134,2,8:59.0,,Detroit full timeout,44,32
135,2,8:59.0,R. Westbrook enters the game for T. Ferguson,,44,32
136,2,8:51.0,,Turnover by A. Tolliver (bad pass; steal by P. Patterson),44,32
137,2,8:47.0,P. Patterson misses 3-pt jump shot from 25 ft,,44,32
138,2,8:43.0,,Defensive rebound by B. Marjanović,44,32
139,2,8:31.0,,R. Bullock misses 3-pt jump shot from 22 ft,44,32
140,2,8:28.0,,Offensive rebound by R. Bullock,44,32
141,2,8:27.0,,R. Bullock makes 2-pt layup from 2 ft,44,34
142,2,8:11.0,Á. Abrines makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,47,34
143,2,8:02.0,,Personal foul by P. Patterson (drawn by B. Marjanović),47,34
144,2,7:55.0,,L. Kennard makes 3-pt jump shot from 22 ft (assist by I. Smith),47,37
145,2,7:35.0,Á. Abrines misses 3-pt jump shot from 26 ft,,47,37
146,2,7:33.0,,Defensive rebound by A. Tolliver,47,37
147,2,7:27.0,,A. Tolliver misses 3-pt jump shot from 24 ft,47,37
148,2,7:25.0,,Offensive rebound by B. Marjanović,47,37
149,2,7:25.0,,Shooting foul by P. Patterson (drawn by B. Marjanović),47,37
150,2,7:25.0,,B. Marjanović makes free throw 1 of 2,47,38
151,2,7:25.0,,B. Marjanović makes free throw 2 of 2,47,39
152,2,7:16.0,Á. Abrines misses 3-pt jump shot from 27 ft,,47,39
153,2,7:16.0,,Defensive rebound by A. Tolliver,47,39
154,2,7:04.0,,Personal foul by J. Grant (drawn by L. Kennard),47,39
155,2,7:04.0,,A. Drummond enters the game for B. Marjanović,47,39
156,2,7:04.0,S. Adams enters the game for J. Grant,,47,39
157,2,6:57.0,,L. Kennard makes 3-pt jump shot from 26 ft (assist by I. Smith),47,42
158,2,6:42.0,R. Westbrook makes 2-pt jump shot from 16 ft,,49,42
159,2,6:26.0,,A. Tolliver makes 2-pt layup from 3 ft (assist by I. Smith),49,44
160,2,6:26.0,,Shooting foul by S. Adams (drawn by A. Tolliver),49,44
161,2,6:26.0,C. Anthony enters the game for R. Felton,,49,44
162,2,6:26.0,P. George enters the game for Á. Abrines,,49,44
163,2,6:26.0,A. Roberson enters the game for P. Patterson,,49,44
164,2,6:26.0,,A. Tolliver makes free throw 1 of 1,49,45
165,2,6:14.0,R. Westbrook makes 2-pt jump shot from 11 ft,,51,45
166,2,6:00.0,,L. Kennard misses 2-pt jump shot from 6 ft,51,45
167,2,5:56.0,Defensive rebound by A. Roberson,,51,45
168,2,5:51.0,,A. Bradley enters the game for L. Kennard,51,45
169,2,5:41.0,C. Anthony misses 2-pt jump shot from 17 ft,,51,45
170,2,5:38.0,,Defensive rebound by R. Bullock,51,45
171,2,5:31.0,,A. Bradley makes 2-pt layup from 1 ft (assist by I. Smith),51,47
172,2,5:14.0,Personal foul by A. Drummond (drawn by P. George),,51,47
173,2,5:06.0,C. Anthony misses 2-pt jump shot from 19 ft,,51,47
174,2,5:05.0,Offensive rebound by A. Roberson,,51,47
175,2,5:05.0,A. Roberson makes 2-pt layup at rim,,53,47
176,2,4:47.0,,A. Bradley misses 2-pt jump shot from 16 ft,53,47
177,2,4:45.0,Defensive rebound by R. Westbrook,,53,47
178,2,4:40.0,R. Westbrook misses 2-pt jump shot from 20 ft,,53,47
179,2,4:38.0,Offensive rebound by R. Westbrook,,53,47
180,2,4:28.0,Oklahoma City full timeout,,53,47
181,2,4:28.0,,T. Harris enters the game for I. Smith,53,47
182,2,4:28.0,,L. Galloway enters the game for A. Tolliver,53,47
183,2,4:17.0,C. Anthony makes 2-pt jump shot from 18 ft (assist by P. George),,55,47
184,2,4:03.0,,T. Harris misses 2-pt layup from 1 ft,55,47
185,2,4:01.0,,A. Drummond misses 2-pt layup from 1 ft,55,47
186,2,4:01.0,,Offensive rebound by A. Drummond,55,47
187,2,3:59.0,,Offensive rebound by A. Drummond,55,47
188,2,3:59.0,,A. Drummond makes 2-pt layup from 1 ft,55,49
189,2,3:52.0,Offensive foul by R. Westbrook (drawn by A. Bradley),,55,49
190,2,3:52.0,Turnover by R. Westbrook (offensive foul),,55,49
191,2,3:41.0,,Offensive foul by R. Bullock (drawn by C. Anthony),55,49
192,2,3:41.0,,Turnover by R. Bullock (offensive foul),55,49
193,2,3:23.0,C. Anthony makes 2-pt jump shot from 8 ft,,57,49
194,2,2:59.0,,R. Bullock misses 3-pt jump shot from 26 ft,57,49
195,2,2:55.0,Defensive rebound by S. Adams,,57,49
196,2,2:50.0,R. Westbrook makes 2-pt layup from 1 ft,,59,49
197,2,2:27.0,,T. Harris misses 2-pt jump shot from 10 ft (block by A. Roberson),59,49
198,2,2:25.0,Defensive rebound by A. Roberson,,59,49
199,2,2:22.0,Shooting foul by T. Harris (drawn by S. Adams),,59,49
200,2,2:22.0,S. Adams misses free throw 1 of 2,,59,49
201,2,2:22.0,Offensive rebound by Team,,59,49
202,2,2:22.0,S. Adams makes free throw 2 of 2,,60,49
203,2,2:07.0,,A. Drummond makes 2-pt dunk from 1 ft (assist by A. Bradley),60,51
204,2,1:56.0,P. George makes 3-pt jump shot from 22 ft (assist by R. Westbrook),,63,51
205,2,1:42.0,,Turnover by A. Drummond (lost ball; steal by S. Adams),63,51
206,2,1:38.0,S. Adams makes 2-pt jump shot from 3 ft (assist by R. Westbrook),,65,51
207,2,1:38.0,Shooting foul by T. Harris (drawn by S. Adams),,65,51
208,2,1:38.0,S. Adams misses free throw 1 of 1,,65,51
209,2,1:36.0,,Defensive rebound by A. Drummond,65,51
210,2,1:22.0,,A. Bradley misses 3-pt jump shot from 25 ft,65,51
211,2,1:19.0,Defensive rebound by C. Anthony,,65,51
212,2,1:12.0,C. Anthony makes 2-pt jump shot from 17 ft,,67,51
213,2,0:57.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by A. Bradley),67,54
214,2,0:45.0,S. Adams misses 2-pt jump shot from 11 ft,,67,54
215,2,0:41.0,,Defensive rebound by L. Galloway,67,54
216,2,0:35.0,,R. Bullock makes 3-pt jump shot from 25 ft (assist by L. Galloway),67,57
217,2,0:19.0,C. Anthony makes 2-pt jump shot from 15 ft (assist by R. Westbrook),,69,57
218,2,0:04.0,,L. Galloway misses 2-pt jump shot from 11 ft,69,57
219,2,0:01.0,Defensive rebound by R. Westbrook,,69,57
220,2,0:00.0,C. Anthony misses 3-pt jump shot from 32 ft,,69,57
221,2,0:00.0,Offensive rebound by Team,,69,57
222,3,11:53.0,,S. Johnson misses 2-pt layup from 2 ft,69,57
223,3,11:51.0,Defensive rebound by S. Adams,,69,57
224,3,11:44.0,Oklahoma City full timeout,,69,57
225,3,11:30.0,S. Adams misses 2-pt layup from 2 ft,,69,57
226,3,11:28.0,,Defensive rebound by A. Drummond,69,57
227,3,11:07.0,,A. Drummond misses 2-pt hook shot from 3 ft,69,57
228,3,11:07.0,Defensive rebound by A. Roberson,,69,57
229,3,11:00.0,S. Adams makes 2-pt layup from 2 ft (assist by R. Westbrook),,71,57
230,3,10:32.0,,L. Galloway misses 3-pt jump shot from 25 ft,71,57
231,3,10:30.0,Defensive rebound by C. Anthony,,71,57
232,3,10:21.0,R. Westbrook makes 3-pt jump shot from 25 ft (assist by C. Anthony),,74,57
233,3,10:03.0,,Personal foul by P. George (drawn by T. Harris),74,57
234,3,9:55.0,,A. Bradley misses 3-pt jump shot from 22 ft,74,57
235,3,9:54.0,,Offensive rebound by Team,74,57
236,3,9:54.0,Loose ball foul by S. Adams (drawn by A. Drummond),,74,57
237,3,9:42.0,,Turnover by T. Harris (lost ball; steal by C. Anthony),74,57
238,3,9:38.0,R. Westbrook misses 2-pt layup from 4 ft,,74,57
239,3,9:38.0,Offensive rebound by Team,,74,57
240,3,9:35.0,C. Anthony makes 2-pt jump shot from 12 ft (assist by R. Westbrook),,76,57
241,3,9:35.0,,Detroit full timeout,76,57
242,3,9:12.0,,A. Drummond misses 3-pt jump shot from 24 ft,76,57
243,3,9:08.0,Defensive rebound by C. Anthony,,76,57
244,3,8:57.0,Shooting foul by S. Johnson (drawn by P. George),,76,57
245,3,8:57.0,P. George makes free throw 1 of 3,,77,57
246,3,8:57.0,P. George misses free throw 2 of 3,,77,57
247,3,8:57.0,Offensive rebound by Team,,77,57
248,3,8:57.0,P. George makes free throw 3 of 3,,78,57
249,3,8:45.0,,Turnover by T. Harris (lost ball; steal by P. George),78,57
250,3,8:43.0,Shooting foul by A. Bradley (drawn by P. George),,78,57
251,3,8:43.0,P. George makes free throw 1 of 2,,79,57
252,3,8:43.0,,R. Bullock enters the game for S. Johnson,79,57
253,3,8:43.0,P. George misses free throw 2 of 2,,79,57
254,3,8:39.0,Offensive rebound by S. Adams,,79,57
255,3,8:30.0,Shooting foul by L. Galloway (drawn by C. Anthony),,79,57
256,3,8:30.0,C. Anthony makes free throw 1 of 2,,80,57
257,3,8:30.0,C. Anthony makes free throw 2 of 2,,81,57
258,3,8:05.0,,Turnover by Team (shot clock),81,57
259,3,7:58.0,Personal foul by A. Bradley (drawn by R. Westbrook),,81,57
260,3,7:58.0,,I. Smith enters the game for L. Galloway,81,57
261,3,7:50.0,S. Adams misses 2-pt jump shot from 6 ft,,81,57
262,3,7:45.0,Offensive rebound by R. Westbrook,,81,57
263,3,7:39.0,R. Westbrook makes 3-pt jump shot from 25 ft,,84,57
264,3,7:24.0,,T. Harris makes 2-pt layup from 1 ft (assist by A. Drummond),84,59
265,3,7:22.0,Turnover by R. Westbrook (bad pass),,84,59
266,3,7:09.0,,A. Bradley makes 2-pt layup from 1 ft (assist by I. Smith),84,61
267,3,6:41.0,Turnover by Team (shot clock),,84,61
268,3,6:33.0,,Personal foul by C. Anthony (drawn by A. Drummond),84,61
269,3,6:26.0,,R. Bullock makes 3-pt jump shot from 23 ft (assist by A. Bradley),84,64
270,3,5:59.0,R. Westbrook makes 2-pt jump shot from 22 ft,,86,64
271,3,5:42.0,,T. Harris makes 2-pt layup from 1 ft,86,66
272,3,5:26.0,A. Roberson makes 2-pt layup from 2 ft (assist by S. Adams),,88,66
273,3,5:26.0,Shooting foul by I. Smith (drawn by A. Roberson),,88,66
274,3,5:26.0,A. Roberson makes free throw 1 of 1,,89,66
275,3,5:12.0,,Turnover by R. Bullock (bad pass; steal by R. Westbrook),89,66
276,3,5:07.0,R. Westbrook misses 2-pt layup from 1 ft,,89,66
277,3,5:03.0,,Defensive rebound by A. Bradley,89,66
278,3,4:58.0,,Turnover by A. Bradley (bad pass; steal by P. George),89,66
279,3,4:55.0,Personal foul by A. Bradley (drawn by P. George),,89,66
280,3,4:55.0,P. George makes free throw 1 of 2,,90,66
281,3,4:55.0,,L. Kennard enters the game for A. Bradley,90,66
282,3,4:55.0,P. George makes free throw 2 of 2,,91,66
283,3,4:45.0,,Shooting foul by R. Westbrook (drawn by A. Drummond),91,66
284,3,4:45.0,,A. Drummond misses free throw 1 of 2,91,66
285,3,4:45.0,,Offensive rebound by Team,91,66
286,3,4:45.0,,A. Drummond misses free throw 2 of 2,91,66
287,3,4:43.0,Defensive rebound by R. Westbrook,,91,66
288,3,4:33.0,Turnover by R. Westbrook (bad pass),,91,66
289,3,4:33.0,Oklahoma City full timeout,,91,66
290,3,4:33.0,T. Ferguson enters the game for A. Roberson,,91,66
291,3,4:17.0,,A. Drummond misses 2-pt hook shot from 5 ft,91,66
292,3,4:15.0,Defensive rebound by S. Adams,,91,66
293,3,4:09.0,C. Anthony misses 3-pt jump shot from 25 ft,,91,66
294,3,4:06.0,Offensive rebound by T. Ferguson,,91,66
295,3,4:04.0,,Violation by A. Drummond (kicked ball),91,66
296,3,3:53.0,C. Anthony misses 3-pt jump shot from 25 ft,,91,66
297,3,3:51.0,,Defensive rebound by Team,91,66
298,3,3:51.0,Loose ball foul by S. Adams,,91,66
299,3,3:51.0,,A. Drummond makes free throw 2 of 2,91,67
300,3,3:51.0,,A. Drummond makes free throw 1 of 2,91,68
301,3,3:51.0,Technical foul by S. Adams,,91,68
302,3,3:51.0,P. Patterson enters the game for S. Adams,,91,68
303,3,3:51.0,,T. Harris makes technical free throw,91,69
304,3,3:43.0,P. George misses 2-pt layup from 6 ft (block by A. Drummond),,91,69
305,3,3:42.0,,Defensive rebound by R. Bullock,91,69
306,3,3:35.0,,R. Bullock misses 3-pt jump shot from 26 ft,91,69
307,3,3:35.0,Defensive rebound by R. Westbrook,,91,69
308,3,3:25.0,R. Westbrook misses 2-pt jump shot from 10 ft,,91,69
309,3,3:25.0,Offensive rebound by Team,,91,69
310,3,3:25.0,,Loose ball foul by T. Harris (drawn by P. George),91,69
311,3,3:25.0,P. George makes free throw 1 of 2,,92,69
312,3,3:25.0,,A. Tolliver enters the game for A. Drummond,92,69
313,3,3:25.0,P. George makes free throw 2 of 2,,93,69
314,3,3:06.0,,T. Harris makes 2-pt layup from 3 ft,93,71
315,3,2:50.0,C. Anthony misses 2-pt jump shot from 15 ft,,93,71
316,3,2:47.0,,Defensive rebound by R. Bullock,93,71
317,3,2:43.0,,I. Smith makes 2-pt jump shot from 15 ft,93,73
318,3,2:24.0,Turnover by R. Westbrook (bad pass; steal by T. Harris),,93,73
319,3,2:18.0,,T. Harris makes 2-pt layup from 1 ft (assist by R. Bullock),93,75
320,3,2:18.0,,Shooting foul by P. George (drawn by T. Harris),93,75
321,3,2:18.0,,T. Harris makes free throw 1 of 1,93,76
322,3,2:05.0,R. Westbrook misses 2-pt layup from 3 ft,,93,76
323,3,2:03.0,,Defensive rebound by I. Smith,93,76
324,3,1:59.0,,R. Bullock makes 3-pt jump shot from 22 ft (assist by I. Smith),93,79
325,3,1:34.0,P. George misses 2-pt layup from 3 ft,,93,79
326,3,1:28.0,Offensive rebound by P. Patterson,,93,79
327,3,1:27.0,P. Patterson makes 2-pt layup from 1 ft,,95,79
328,3,1:09.0,,I. Smith makes 2-pt jump shot from 21 ft,95,81
329,3,0:51.0,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,98,81
330,3,0:38.0,,A. Tolliver misses 3-pt jump shot from 26 ft,98,81
331,3,0:34.0,Defensive rebound by T. Ferguson,,98,81
332,3,0:29.0,R. Westbrook misses 3-pt jump shot from 26 ft,,98,81
333,3,0:27.0,,Defensive rebound by R. Bullock,98,81
334,3,0:08.0,,T. Harris misses 3-pt jump shot from 22 ft,98,81
335,3,0:05.0,Defensive rebound by R. Westbrook,,98,81
336,3,0:00.0,P. George misses 3-pt jump shot from 29 ft,,98,81
337,3,0:00.0,Offensive rebound by Team,,98,81
338,4,11:50.0,P. Patterson makes 3-pt jump shot from 27 ft (assist by R. Felton),,101,81
339,4,11:26.0,,L. Kennard misses 2-pt jump shot from 10 ft,101,81
340,4,11:22.0,Defensive rebound by J. Huestis,,101,81
341,4,11:16.0,R. Felton misses 2-pt jump shot from 16 ft,,101,81
342,4,11:12.0,,Defensive rebound by B. Marjanović,101,81
343,4,11:06.0,,I. Smith makes 2-pt jump shot from 18 ft,101,83
344,4,10:46.0,J. Grant misses 3-pt jump shot from 24 ft,,101,83
345,4,10:42.0,,Defensive rebound by A. Tolliver,101,83
346,4,10:37.0,,L. Kennard misses 2-pt jump shot from 16 ft,101,83
347,4,10:35.0,,Offensive rebound by Team,101,83
348,4,10:33.0,,L. Kennard misses 3-pt jump shot from 23 ft,101,83
349,4,10:28.0,Defensive rebound by J. Huestis,,101,83
350,4,10:19.0,J. Huestis misses 2-pt hook shot from 13 ft,,101,83
351,4,10:18.0,,Defensive rebound by Team,101,83
352,4,10:00.0,,R. Bullock misses 3-pt jump shot from 25 ft,101,83
353,4,9:57.0,,Offensive rebound by B. Marjanović,101,83
354,4,9:56.0,,B. Marjanović makes 2-pt dunk at rim,101,85
355,4,9:31.0,T. Ferguson misses 3-pt jump shot from 26 ft,,101,85
356,4,9:28.0,,Defensive rebound by I. Smith,101,85
357,4,9:20.0,,A. Tolliver misses 3-pt jump shot from 23 ft,101,85
358,4,9:18.0,Defensive rebound by P. Patterson,,101,85
359,4,9:18.0,Oklahoma City full timeout,,101,85
360,4,9:08.0,P. Patterson misses 3-pt jump shot from 24 ft,,101,85
361,4,9:05.0,Offensive rebound by J. Huestis,,101,85
362,4,8:58.0,R. Felton misses 2-pt jump shot from 20 ft,,101,85
363,4,8:55.0,,Defensive rebound by B. Marjanović,101,85
364,4,8:45.0,,B. Marjanović makes 2-pt layup from 3 ft (assist by I. Smith),101,87
365,4,8:28.0,J. Grant makes 3-pt jump shot from 25 ft (assist by R. Felton),,104,87
366,4,8:06.0,,Shooting foul by T. Ferguson (drawn by B. Marjanović),104,87
367,4,8:06.0,,B. Marjanović makes free throw 1 of 2,104,88
368,4,8:06.0,,B. Marjanović makes free throw 2 of 2,104,89
369,4,7:50.0,J. Huestis misses 3-pt jump shot from 27 ft,,104,89
370,4,7:45.0,Offensive rebound by T. Ferguson,,104,89
371,4,7:33.0,T. Ferguson misses 3-pt jump shot from 23 ft,,104,89
372,4,7:29.0,,Defensive rebound by B. Marjanović,104,89
373,4,7:23.0,,A. Tolliver misses 3-pt jump shot from 25 ft,104,89
374,4,7:20.0,Defensive rebound by R. Felton,,104,89
375,4,7:12.0,Turnover by R. Felton (bad pass; steal by R. Bullock),,104,89
376,4,7:01.0,,B. Marjanović misses 2-pt hook shot from 4 ft,104,89
377,4,7:00.0,,Offensive rebound by A. Tolliver,104,89
378,4,6:54.0,,A. Tolliver makes 3-pt jump shot from 24 ft (assist by R. Bullock),104,92
379,4,6:32.0,P. Patterson misses 3-pt jump shot from 22 ft,,104,92
380,4,6:29.0,,Defensive rebound by B. Marjanović,104,92
381,4,6:24.0,,L. Kennard makes 3-pt jump shot from 25 ft (assist by I. Smith),104,95
382,4,6:21.0,Oklahoma City full timeout,,104,95
383,4,6:21.0,R. Westbrook enters the game for P. Patterson,,104,95
384,4,6:21.0,C. Anthony enters the game for R. Felton,,104,95
385,4,6:21.0,P. George enters the game for J. Grant,,104,95
386,4,6:21.0,S. Adams enters the game for J. Huestis,,104,95
387,4,6:07.0,C. Anthony misses 2-pt jump shot from 18 ft,,104,95
388,4,6:06.0,Offensive rebound by Team,,104,95
