,QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,DENVER_ACTION,CHARLOTTE_SCORE,DENVER_SCORE
231,3,6:02.0,Personal foul by J. Murray (drawn by F. Kaminsky),,66,79
232,3,6:02.0,T. Graham enters the game for F. Kaminsky,,66,79
233,3,5:57.0,N. Batum makes 3-pt jump shot from 24 ft (assist by T. Graham),,69,79
234,3,5:41.0,,T. Craig makes 2-pt layup from 1 ft (assist by W. Barton),69,81
235,3,5:30.0,Turnover by K. Walker (bad pass; steal by N. Jokić),,69,81
236,3,5:18.0,,T. Craig misses 3-pt jump shot from 22 ft,69,81
237,3,5:15.0,Defensive rebound by K. Walker,,69,81
238,3,5:06.0,D. Howard makes 2-pt jump shot from 17 ft (assist by K. Walker),,71,81
239,3,4:55.0,,Personal foul by N. Batum (drawn by W. Barton),71,81
240,3,4:49.0,,N. Jokić misses 2-pt jump shot from 7 ft,71,81
241,3,4:46.0,Defensive rebound by D. Howard,,71,81
242,3,4:42.0,Turnover by D. Howard (lost ball; steal by N. Jokić),,71,81
243,3,4:39.0,,N. Jokić makes 2-pt layup from 1 ft,71,83
244,3,4:26.0,Shooting foul by G. Harris (drawn by D. Howard),,71,83
245,3,4:26.0,D. Howard misses free throw 1 of 2,,71,83
246,3,4:26.0,Offensive rebound by Team,,71,83
247,3,4:26.0,J. Lamb enters the game for M. Kidd-Gilchrist,,71,83
248,3,4:26.0,D. Howard misses free throw 2 of 2,,71,83
249,3,4:24.0,,Defensive rebound by T. Craig,71,83
250,3,4:08.0,,N. Jokić misses 2-pt jump shot from 20 ft,71,83
251,3,4:05.0,Defensive rebound by D. Howard,,71,83
252,3,3:55.0,Turnover by N. Batum (bad pass; steal by J. Murray),,71,83
253,3,3:52.0,,Turnover by J. Murray (out of bounds lost ball),71,83
254,3,3:52.0,,T. Lyles enters the game for W. Barton,71,83
255,3,3:39.0,N. Batum makes 2-pt jump shot from 13 ft,,73,83
256,3,3:19.0,,J. Murray makes 2-pt jump shot from 9 ft,73,85
257,3,3:05.0,K. Walker makes 3-pt jump shot from 24 ft,,76,85
258,3,2:45.0,,J. Murray makes 3-pt jump shot from 24 ft,76,88
259,3,2:28.0,K. Walker makes 2-pt layup from 1 ft,,78,88
260,3,2:16.0,,J. Murray makes 3-pt jump shot from 24 ft,78,91
261,3,2:15.0,Charlotte full timeout,,78,91
262,3,2:15.0,,D. Arthur enters the game for G. Harris,78,91
263,3,2:15.0,,E. Mudiay enters the game for N. Jokić,78,91
264,3,2:15.0,C. Zeller enters the game for N. Batum,,78,91
265,3,2:15.0,M. Carter-Williams enters the game for D. Howard,,78,91
266,3,1:55.0,J. Lamb misses 3-pt jump shot from 24 ft,,78,91
267,3,1:52.0,,Defensive rebound by T. Lyles,78,91
268,3,1:32.0,,D. Arthur makes 3-pt jump shot from 24 ft (assist by J. Murray),78,94
269,3,1:21.0,Shooting foul by T. Lyles (drawn by K. Walker),,78,94
270,3,1:21.0,K. Walker makes free throw 1 of 2,,79,94
271,3,1:21.0,K. Walker misses free throw 2 of 2,,79,94
272,3,1:18.0,,Defensive rebound by D. Arthur,79,94
273,3,0:59.0,,E. Mudiay makes 3-pt jump shot from 24 ft (assist by J. Murray),79,97
274,3,0:43.0,T. Graham makes 3-pt jump shot from 22 ft (assist by M. Carter-Williams),,82,97
275,3,0:26.0,,Personal foul by M. Carter-Williams (drawn by J. Murray),82,97
276,3,0:15.0,,J. Murray misses 2-pt jump shot from 6 ft,82,97
277,3,0:14.0,Defensive rebound by C. Zeller,,82,97
278,3,0:03.0,T. Graham makes 2-pt jump shot from 10 ft (assist by K. Walker),,84,97
279,3,0:00.0,,J. Murray misses 3-pt jump shot from 57 ft,84,97
280,3,0:00.0,,Offensive rebound by Team,84,97
281,4,11:50.0,,D. Arthur makes 2-pt dunk from 1 ft (assist by W. Barton),84,99
282,4,11:24.0,T. Graham makes 3-pt jump shot from 24 ft (assist by J. Lamb),,87,99
283,4,10:58.0,,E. Mudiay makes 2-pt jump shot from 9 ft,87,101
284,4,10:35.0,M. Kidd-Gilchrist misses 2-pt jump shot from 18 ft,,87,101
285,4,10:32.0,,Defensive rebound by E. Mudiay,87,101
286,4,10:16.0,,W. Barton misses 2-pt jump shot from 20 ft,87,101
287,4,10:12.0,Defensive rebound by C. Zeller,,87,101
288,4,10:06.0,M. Carter-Williams misses 2-pt jump shot from 12 ft,,87,101
289,4,10:04.0,,Defensive rebound by T. Lyles,87,101
290,4,10:01.0,,Personal foul by M. Carter-Williams (drawn by E. Mudiay),87,101
291,4,9:51.0,,T. Craig misses 3-pt jump shot from 24 ft,87,101
292,4,9:48.0,Defensive rebound by C. Zeller,,87,101
293,4,9:40.0,Shooting foul by D. Arthur (drawn by J. Lamb),,87,101
294,4,9:40.0,J. Lamb makes free throw 1 of 2,,88,101
295,4,9:40.0,J. Lamb makes free throw 2 of 2,,89,101
296,4,9:16.0,,Personal foul by C. Zeller (drawn by T. Craig),89,101
297,4,9:04.0,,D. Arthur makes 2-pt layup from 1 ft (assist by W. Barton),89,103
298,4,8:46.0,J. Lamb misses 2-pt jump shot from 15 ft,,89,103
299,4,8:44.0,,Defensive rebound by T. Lyles,89,103
300,4,8:35.0,,T. Lyles makes 2-pt hook shot from 6 ft (assist by W. Barton),89,105
301,4,8:17.0,Turnover by M. Carter-Williams (bad pass; steal by D. Arthur),,89,105
302,4,8:13.0,,W. Barton misses 2-pt layup from 2 ft,89,105
303,4,8:09.0,,Offensive rebound by T. Craig,89,105
304,4,8:09.0,,T. Craig misses 2-pt layup at rim,89,105
305,4,8:08.0,Defensive rebound by M. Kidd-Gilchrist,,89,105
306,4,8:02.0,J. Lamb makes 3-pt jump shot from 25 ft,,92,105
307,4,7:50.0,,E. Mudiay makes 2-pt jump shot from 13 ft,92,107
308,4,7:50.0,Charlotte full timeout,,92,107
309,4,7:50.0,,G. Harris enters the game for W. Barton,92,107
310,4,7:50.0,N. Batum enters the game for M. Carter-Williams,,92,107
311,4,7:50.0,F. Kaminsky enters the game for T. Graham,,92,107
312,4,7:50.0,K. Walker enters the game for M. Kidd-Gilchrist,,92,107
313,4,7:36.0,N. Batum misses 3-pt jump shot from 23 ft,,92,107
314,4,7:34.0,Offensive rebound by C. Zeller,,92,107
315,4,7:30.0,Turnover by C. Zeller (bad pass; steal by D. Arthur),,92,107
316,4,7:18.0,,T. Lyles makes 2-pt layup from 2 ft (assist by E. Mudiay),92,109
317,4,6:54.0,Turnover by F. Kaminsky (lost ball; steal by E. Mudiay),,92,109
318,4,6:49.0,,E. Mudiay makes 2-pt jump shot from 14 ft,92,111
319,4,6:39.0,,Technical foul by D. Arthur,92,111
320,4,6:39.0,C. Zeller makes flagrant free throw 1 of 2,,93,111
321,4,6:39.0,C. Zeller makes flagrant free throw 2 of 2,,94,111
322,4,6:39.0,,N. Jokić enters the game for D. Arthur,94,111
323,4,6:39.0,D. Howard enters the game for C. Zeller,,94,111
324,4,6:33.0,K. Walker misses 2-pt jump shot from 11 ft,,94,111
325,4,6:30.0,,Defensive rebound by N. Jokić,94,111
326,4,6:18.0,,Shooting foul by F. Kaminsky (drawn by T. Lyles),94,111
327,4,6:18.0,,T. Lyles makes free throw 1 of 2,94,112
328,4,6:18.0,,T. Lyles misses free throw 2 of 2,94,112
329,4,6:16.0,Defensive rebound by D. Howard,,94,112
330,4,5:59.0,N. Batum makes 3-pt jump shot from 23 ft (assist by F. Kaminsky),,97,112
331,4,5:43.0,,G. Harris misses 2-pt layup from 2 ft,97,112
332,4,5:42.0,,Offensive rebound by N. Jokić,97,112
333,4,5:34.0,Violation by D. Howard (kicked ball),,97,112
334,4,5:34.0,T. Graham enters the game for F. Kaminsky,,97,112
335,4,5:22.0,,T. Lyles misses 2-pt layup from 2 ft,97,112
336,4,5:19.0,Defensive rebound by N. Batum,,97,112
337,4,5:11.0,N. Batum makes 3-pt jump shot from 25 ft,,100,112
338,4,4:58.0,,G. Harris makes 2-pt layup from 2 ft (assist by N. Jokić),100,114
339,4,4:58.0,,Shooting foul by K. Walker (drawn by G. Harris),100,114
340,4,4:58.0,,J. Murray enters the game for E. Mudiay,100,114
341,4,4:58.0,,G. Harris misses free throw 1 of 1,100,114
342,4,4:56.0,Defensive rebound by D. Howard,,100,114
343,4,4:47.0,N. Batum misses 3-pt jump shot from 26 ft,,100,114
344,4,4:43.0,,Defensive rebound by T. Lyles,100,114
345,4,4:24.0,,J. Murray misses 3-pt jump shot from 24 ft,100,114
346,4,4:20.0,Defensive rebound by N. Batum,,100,114
347,4,4:11.0,Personal foul by T. Lyles (drawn by J. Lamb),,100,114
348,4,4:11.0,,W. Barton enters the game for T. Lyles,100,114
349,4,4:00.0,D. Howard makes 2-pt hook shot from 7 ft (assist by N. Batum),,102,114
350,4,3:48.0,,Shooting foul by N. Batum (drawn by G. Harris),102,114
351,4,3:48.0,,G. Harris makes free throw 1 of 3,102,115
352,4,3:48.0,,G. Harris makes free throw 2 of 3,102,116
353,4,3:48.0,,G. Harris makes free throw 3 of 3,102,117
354,4,3:36.0,T. Graham misses 3-pt jump shot from 25 ft,,102,117
355,4,3:33.0,,Defensive rebound by N. Jokić,102,117
356,4,3:29.0,,Turnover by N. Jokić (bad pass; steal by J. Lamb),102,117
357,4,3:21.0,J. Lamb makes 2-pt jump shot from 9 ft,,104,117
358,4,3:07.0,,T. Craig makes 2-pt layup from 2 ft (assist by G. Harris),104,119
359,4,3:07.0,Charlotte full timeout,,104,119
360,4,3:07.0,J. O'Bryant enters the game for J. Lamb,,104,119
361,4,3:07.0,J. Stone enters the game for N. Batum,,104,119
362,4,3:07.0,D. Bacon enters the game for D. Howard,,104,119
363,4,3:07.0,M. Monk enters the game for K. Walker,,104,119
364,4,2:54.0,T. Graham misses 2-pt jump shot from 5 ft,,104,119
365,4,2:50.0,,Defensive rebound by W. Barton,104,119
366,4,2:31.0,,N. Jokić misses 2-pt jump shot from 12 ft,104,119
367,4,2:28.0,Defensive rebound by J. Stone,,104,119
368,4,2:22.0,J. O'Bryant misses 2-pt jump shot from 13 ft,,104,119
369,4,2:18.0,,Defensive rebound by W. Barton,104,119
370,4,2:03.0,,Turnover by N. Jokić (bad pass; steal by T. Graham),104,119
371,4,1:58.0,M. Monk misses 3-pt jump shot from 22 ft,,104,119
372,4,1:54.0,,Defensive rebound by T. Craig,104,119
373,4,1:48.0,,Denver full timeout,104,119
374,4,1:48.0,,M. Beasley enters the game for W. Barton,104,119
375,4,1:48.0,,T. Lyles enters the game for G. Harris,104,119
376,4,1:48.0,,J. Hernangómez enters the game for N. Jokić,104,119
377,4,1:48.0,,E. Mudiay enters the game for J. Murray,104,119
378,4,1:32.0,,Turnover by M. Beasley (bad pass; steal by M. Monk),104,119
