,QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,MILWAUKEE_ACTION,SACRAMENTO_SCORE,MILWAUKEE_SCORE
58,1,6:22.0,F. Mason makes free throw 2 of 2,,6,16
59,1,6:09.0,,Personal foul by F. Mason (drawn by G. Antetokounmpo),6,16
60,1,6:09.0,,G. Antetokounmpo makes free throw 1 of 2,6,17
61,1,6:09.0,,T. Maker enters the game for K. Middleton,6,17
62,1,6:09.0,,J. Terry enters the game for J. Henson,6,17
63,1,6:09.0,,G. Antetokounmpo makes free throw 2 of 2,6,18
64,1,6:00.0,Turnover by B. Bogdanović (bad pass),,6,18
65,1,5:39.0,,E. Bledsoe misses 2-pt jump shot from 9 ft,6,18
66,1,5:37.0,Defensive rebound by B. Hield,,6,18
67,1,5:29.0,Turnover by B. Hield (bad pass; steal by E. Bledsoe),,6,18
68,1,5:27.0,,Shooting foul by F. Mason (drawn by E. Bledsoe),6,18
69,1,5:27.0,,E. Bledsoe makes free throw 1 of 2,6,19
70,1,5:27.0,,E. Bledsoe makes free throw 2 of 2,6,20
71,1,5:20.0,Personal foul by J. Terry (drawn by B. Bogdanović),,6,20
72,1,5:07.0,F. Mason makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,8,20
73,1,4:54.0,,T. Maker makes 2-pt jump shot from 12 ft (assist by T. Snell),8,22
74,1,4:50.0,Personal foul by T. Maker (drawn by Z. Randolph),,8,22
75,1,4:42.0,B. Bogdanović misses 2-pt layup from 3 ft,,8,22
76,1,4:40.0,,Defensive rebound by G. Antetokounmpo,8,22
77,1,4:31.0,,Shooting foul by S. Labissière (drawn by G. Antetokounmpo),8,22
78,1,4:31.0,,G. Antetokounmpo makes free throw 1 of 2,8,23
79,1,4:31.0,J. Sampson enters the game for S. Labissière,,8,23
80,1,4:31.0,,G. Antetokounmpo makes free throw 2 of 2,8,24
81,1,4:10.0,J. Sampson makes 2-pt hook shot from 2 ft (assist by B. Hield),,10,24
82,1,4:02.0,,Turnover by G. Antetokounmpo (lost ball; steal by B. Hield),10,24
83,1,3:57.0,B. Hield makes 2-pt layup at rim,,12,24
84,1,3:40.0,,G. Antetokounmpo misses 3-pt jump shot from 26 ft,12,24
85,1,3:36.0,Defensive rebound by B. Hield,,12,24
86,1,3:24.0,J. Sampson misses 2-pt hook shot from 5 ft,,12,24
87,1,3:21.0,,Defensive rebound by T. Snell,12,24
88,1,3:16.0,,E. Bledsoe makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo),12,27
89,1,3:05.0,F. Mason makes 3-pt jump shot from 26 ft,,15,27
90,1,2:52.0,,G. Antetokounmpo misses 3-pt jump shot from 27 ft,15,27
91,1,2:49.0,Defensive rebound by B. Bogdanović,,15,27
92,1,2:31.0,Z. Randolph misses 2-pt jump shot from 15 ft,,15,27
93,1,2:27.0,,Defensive rebound by G. Antetokounmpo,15,27
94,1,2:26.0,,Milwaukee full timeout,15,27
95,1,2:26.0,,D. Liggins enters the game for T. Snell,15,27
96,1,2:26.0,,K. Middleton enters the game for G. Antetokounmpo,15,27
97,1,2:10.0,,Shooting foul by Z. Randolph (drawn by E. Bledsoe),15,27
98,1,2:10.0,,E. Bledsoe makes free throw 1 of 2,15,28
99,1,2:10.0,,E. Bledsoe makes free throw 2 of 2,15,29
100,1,1:57.0,B. Hield makes 3-pt jump shot from 27 ft (assist by F. Mason),,18,29
101,1,1:33.0,,J. Terry misses 3-pt jump shot from 27 ft,18,29
102,1,1:33.0,Defensive rebound by Team,,18,29
103,1,1:33.0,,M. Brogdon enters the game for E. Bledsoe,18,29
104,1,1:15.0,Z. Randolph makes 2-pt jump shot from 8 ft (assist by F. Mason),,20,29
105,1,1:00.0,,K. Middleton makes 2-pt jump shot from 15 ft,20,31
106,1,0:47.0,B. Hield makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,23,31
107,1,0:34.0,,T. Maker makes 2-pt jump shot from 17 ft (assist by M. Brogdon),23,33
108,1,0:29.0,Shooting foul by D. Liggins (drawn by B. Hield),,23,33
109,1,0:29.0,B. Hield makes free throw 1 of 2,,24,33
110,1,0:29.0,G. Temple enters the game for F. Mason,,24,33
111,1,0:29.0,B. Hield makes free throw 2 of 2,,25,33
112,1,0:04.0,,K. Middleton misses 2-pt jump shot from 17 ft,25,33
113,1,0:02.0,Defensive rebound by Z. Randolph,,25,33
114,1,0:00.0,Z. Randolph misses 3-pt jump shot from 40 ft,,25,33
115,1,0:00.0,Offensive rebound by Team,,25,33
116,2,11:43.0,,K. Middleton makes 2-pt jump shot from 18 ft (assist by D. Liggins),25,35
117,2,11:25.0,Turnover by G. Temple (bad pass; steal by J. Terry),,25,35
118,2,11:07.0,,K. Middleton makes 2-pt jump shot from 18 ft (assist by M. Brogdon),25,37
119,2,10:49.0,Turnover by Z. Randolph (bad pass; steal by J. Terry),,25,37
120,2,10:39.0,,Turnover by K. Middleton (turnover),25,37
121,2,10:39.0,Sacramento full timeout,,25,37
122,2,10:22.0,J. Sampson misses 2-pt dunk from 3 ft,,25,37
123,2,10:19.0,,Defensive rebound by D. Liggins,25,37
124,2,10:17.0,,K. Middleton misses 3-pt jump shot from 27 ft,25,37
125,2,10:17.0,Defensive rebound by J. Sampson,,25,37
126,2,10:00.0,Z. Randolph makes 2-pt hook shot from 7 ft,,27,37
127,2,9:37.0,,K. Middleton makes 3-pt jump shot from 22 ft (assist by M. Brogdon),27,40
128,2,9:15.0,Z. Randolph makes 2-pt layup from 1 ft (assist by B. Bogdanović),,29,40
129,2,9:00.0,,D. Liggins misses 2-pt layup from 5 ft,29,40
130,2,8:58.0,Defensive rebound by Z. Randolph,,29,40
131,2,8:48.0,J. Sampson misses 2-pt hook shot from 6 ft,,29,40
132,2,8:48.0,,Defensive rebound by T. Maker,29,40
133,2,8:42.0,,D. Liggins misses 2-pt layup from 2 ft,29,40
134,2,8:42.0,Defensive rebound by Z. Randolph,,29,40
135,2,8:29.0,Personal foul by J. Terry (drawn by Z. Randolph),,29,40
136,2,8:29.0,D. Fox enters the game for B. Bogdanović,,29,40
137,2,8:29.0,W. Cauley-Stein enters the game for Z. Randolph,,29,40
138,2,8:15.0,W. Cauley-Stein misses 2-pt jump shot from 9 ft (block by T. Maker),,29,40
139,2,8:15.0,Turnover by Team (shot clock),,29,40
140,2,8:14.0,Offensive rebound by Team,,29,40
141,2,8:03.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by T. Maker),29,42
142,2,7:48.0,Shooting foul by D. Liggins (drawn by W. Cauley-Stein),,29,42
143,2,7:48.0,W. Cauley-Stein misses free throw 1 of 2,,29,42
144,2,7:48.0,Offensive rebound by Team,,29,42
145,2,7:48.0,,J. Henson enters the game for T. Maker,29,42
146,2,7:48.0,,T. Snell enters the game for D. Liggins,29,42
147,2,7:48.0,V. Carter enters the game for J. Sampson,,29,42
148,2,7:48.0,W. Cauley-Stein makes free throw 2 of 2,,30,42
149,2,7:38.0,,K. Middleton makes 2-pt jump shot from 19 ft (assist by J. Henson),30,44
150,2,7:27.0,B. Hield makes 3-pt jump shot from 26 ft (assist by W. Cauley-Stein),,33,44
151,2,7:25.0,,Milwaukee full timeout,33,44
152,2,7:02.0,,T. Snell misses 2-pt jump shot from 18 ft,33,44
153,2,6:58.0,Defensive rebound by D. Fox,,33,44
154,2,6:38.0,,G. Antetokounmpo enters the game for J. Terry,33,44
155,2,6:38.0,,E. Bledsoe enters the game for K. Middleton,33,44
156,2,6:36.0,D. Fox misses 3-pt jump shot from 28 ft,,33,44
157,2,6:36.0,Offensive rebound by Team,,33,44
158,2,6:36.0,Turnover by Team (shot clock),,33,44
159,2,6:24.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,33,44
160,2,6:15.0,Defensive rebound by B. Hield,,33,44
161,2,6:15.0,G. Temple misses 2-pt layup from 2 ft,,33,44
162,2,6:12.0,,Defensive rebound by J. Henson,33,44
163,2,6:04.0,,Turnover by J. Henson (turnover),33,44
164,2,6:04.0,G. Hill enters the game for B. Hield,,33,44
165,2,5:54.0,D. Fox makes 2-pt jump shot from 11 ft,,35,44
166,2,5:36.0,,M. Brogdon misses 2-pt layup from 3 ft,35,44
167,2,5:36.0,,Offensive rebound by G. Antetokounmpo,35,44
168,2,5:29.0,,G. Antetokounmpo makes 2-pt dunk at rim,35,46
169,2,5:27.0,W. Cauley-Stein misses 2-pt layup from 8 ft (block by J. Henson),,35,46
170,2,5:27.0,Offensive rebound by Team,,35,46
171,2,5:20.0,G. Temple makes 3-pt jump shot from 23 ft (assist by D. Fox),,38,46
172,2,5:05.0,,M. Brogdon misses 3-pt jump shot from 22 ft,38,46
173,2,5:02.0,Defensive rebound by G. Temple,,38,46
174,2,4:57.0,Offensive foul by W. Cauley-Stein (drawn by E. Bledsoe),,38,46
175,2,4:57.0,Turnover by W. Cauley-Stein (offensive foul),,38,46
176,2,4:37.0,,Shooting foul by G. Temple (drawn by J. Henson),38,46
177,2,4:37.0,,J. Henson makes free throw 1 of 2,38,47
178,2,4:37.0,,J. Henson makes free throw 2 of 2,38,48
179,2,4:24.0,Personal foul by T. Snell (drawn by V. Carter),,38,48
180,2,4:13.0,V. Carter misses 2-pt layup from 2 ft,,38,48
181,2,4:11.0,,Defensive rebound by J. Henson,38,48
182,2,3:58.0,,E. Bledsoe makes 3-pt jump shot from 27 ft (assist by M. Brogdon),38,51
183,2,3:42.0,G. Hill makes 2-pt jump shot from 14 ft (assist by W. Cauley-Stein),,40,51
184,2,3:25.0,,E. Bledsoe makes 2-pt jump shot from 14 ft,40,53
185,2,3:04.0,W. Cauley-Stein makes 2-pt layup from 1 ft,,42,53
186,2,3:02.0,,Shooting foul by V. Carter (drawn by G. Antetokounmpo),42,53
187,2,3:02.0,,G. Antetokounmpo makes free throw 1 of 2,42,54
188,2,3:02.0,,G. Antetokounmpo makes free throw 2 of 2,42,55
189,2,2:55.0,Sacramento full timeout,,42,55
190,2,2:55.0,Z. Randolph enters the game for W. Cauley-Stein,,42,55
191,2,2:46.0,Z. Randolph makes 2-pt hook shot from 5 ft (assist by D. Fox),,44,55
192,2,2:22.0,,T. Snell misses 3-pt jump shot from 26 ft,44,55
193,2,2:19.0,,Offensive rebound by G. Antetokounmpo,44,55
194,2,2:16.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,44,57
195,2,1:57.0,D. Fox makes 2-pt jump shot from 7 ft,,46,57
196,2,1:43.0,,E. Bledsoe misses 3-pt jump shot from 26 ft,46,57
197,2,1:40.0,,Offensive rebound by G. Antetokounmpo,46,57
198,2,1:28.0,,M. Brogdon makes 2-pt layup from 1 ft,46,59
199,2,1:04.0,G. Temple misses 2-pt jump shot from 20 ft,,46,59
200,2,1:02.0,,Defensive rebound by E. Bledsoe,46,59
201,2,1:00.0,,E. Bledsoe makes 2-pt layup from 1 ft,46,61
202,2,0:39.0,Z. Randolph makes 2-pt layup from 2 ft,,48,61
203,2,0:35.0,,Shooting foul by D. Fox (drawn by E. Bledsoe),48,61
204,2,0:35.0,,E. Bledsoe makes free throw 1 of 2,48,62
205,2,0:35.0,,E. Bledsoe makes free throw 2 of 2,48,63
206,2,0:35.0,Shooting foul by E. Bledsoe (drawn by D. Fox),,48,63
207,2,0:35.0,D. Fox makes free throw 1 of 2,,49,63
208,2,0:35.0,D. Fox makes free throw 2 of 2,,50,63
209,2,0:11.0,,E. Bledsoe misses 2-pt jump shot from 15 ft,50,63
210,2,0:06.0,Defensive rebound by D. Fox,,50,63
211,2,0:04.0,Personal foul by G. Antetokounmpo (drawn by G. Hill),,50,63
212,2,0:04.0,G. Hill makes free throw 1 of 2,,51,63
213,2,0:04.0,G. Hill makes free throw 2 of 2,,52,63
214,2,0:00.0,,M. Brogdon misses 2-pt jump shot from 10 ft,52,63
215,2,0:00.0,,Offensive rebound by Team,52,63
216,3,11:46.0,,Shooting foul by D. Fox (drawn by E. Bledsoe),52,63
217,3,11:46.0,,E. Bledsoe makes free throw 1 of 2,52,64
218,3,11:46.0,,E. Bledsoe makes free throw 2 of 2,52,65
219,3,11:29.0,Shooting foul by G. Antetokounmpo (drawn by D. Fox),,52,65
220,3,11:29.0,D. Fox makes free throw 1 of 2,,53,65
221,3,11:29.0,D. Fox misses free throw 2 of 2,,53,65
222,3,11:26.0,,Defensive rebound by J. Henson,53,65
223,3,11:13.0,,G. Antetokounmpo makes 2-pt hook shot from 6 ft,53,67
224,3,10:54.0,G. Hill misses 2-pt layup from 3 ft (block by G. Antetokounmpo),,53,67
225,3,10:51.0,,Defensive rebound by J. Henson,53,67
226,3,10:48.0,,K. Middleton makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),53,69
227,3,10:44.0,Turnover by D. Fox (turnover),,53,69
228,3,10:39.0,,Shooting foul by J. Sampson (drawn by G. Antetokounmpo),53,69
229,3,10:39.0,,G. Antetokounmpo misses free throw 1 of 2,53,69
230,3,10:39.0,,Offensive rebound by Team,53,69
231,3,10:39.0,,G. Antetokounmpo makes free throw 2 of 2,53,70
232,3,10:17.0,K. Koufos misses 2-pt hook shot from 10 ft,,53,70
233,3,10:14.0,,Defensive rebound by E. Bledsoe,53,70
234,3,9:55.0,,G. Antetokounmpo misses 2-pt hook shot from 7 ft,53,70
235,3,9:51.0,Defensive rebound by J. Sampson,,53,70
236,3,9:32.0,G. Temple misses 3-pt jump shot from 26 ft,,53,70
237,3,9:27.0,,Defensive rebound by J. Henson,53,70
238,3,9:23.0,,Turnover by E. Bledsoe (bad pass; steal by D. Fox),53,70
239,3,9:13.0,J. Sampson misses 2-pt layup from 2 ft,,53,70
240,3,9:08.0,,Defensive rebound by G. Antetokounmpo,53,70
241,3,9:01.0,,T. Snell misses 3-pt jump shot from 26 ft,53,70
242,3,9:01.0,,Offensive rebound by E. Bledsoe,53,70
243,3,8:47.0,,J. Henson misses 2-pt layup from 3 ft,53,70
244,3,8:38.0,,Offensive rebound by J. Henson,53,70
245,3,8:37.0,,J. Henson makes 2-pt layup from 1 ft,53,72
246,3,8:27.0,Shooting foul by J. Henson (drawn by G. Hill),,53,72
247,3,8:27.0,G. Hill makes free throw 1 of 2,,54,72
248,3,8:27.0,G. Hill makes free throw 2 of 2,,55,72
249,3,8:09.0,,Turnover by J. Henson (traveling),55,72
250,3,7:54.0,D. Fox makes 3-pt jump shot from 23 ft (assist by G. Hill),,58,72
251,3,7:33.0,,T. Snell makes 3-pt jump shot from 22 ft (assist by K. Middleton),58,75
252,3,7:16.0,Personal foul by K. Middleton (drawn by G. Hill),,58,75
253,3,7:11.0,D. Fox makes 2-pt jump shot from 17 ft,,60,75
254,3,6:54.0,,K. Middleton makes 3-pt jump shot from 26 ft,60,78
255,3,6:35.0,D. Fox misses 2-pt jump shot from 12 ft,,60,78
256,3,6:33.0,Offensive rebound by D. Fox,,60,78
257,3,6:31.0,G. Temple misses 3-pt jump shot from 25 ft,,60,78
258,3,6:28.0,,Defensive rebound by J. Henson,60,78
259,3,6:20.0,,Personal foul by J. Sampson (drawn by J. Henson),60,78
260,3,6:20.0,,Milwaukee full timeout,60,78
261,3,6:20.0,Z. Randolph enters the game for K. Koufos,,60,78
262,3,6:07.0,,K. Middleton misses 2-pt jump shot from 16 ft,60,78
263,3,6:07.0,,Offensive rebound by Team,60,78
264,3,6:07.0,Loose ball foul by J. Sampson (drawn by J. Henson),,60,78
265,3,6:00.0,,G. Antetokounmpo makes 2-pt layup from 2 ft (assist by E. Bledsoe),60,80
266,3,5:39.0,Turnover by G. Hill (bad pass; steal by J. Henson),,60,80
267,3,5:38.0,,Turnover by T. Snell (bad pass),60,80
268,3,5:24.0,Z. Randolph misses 2-pt layup from 2 ft,,60,80
269,3,5:22.0,Offensive rebound by Z. Randolph,,60,80
270,3,5:21.0,Z. Randolph makes 2-pt layup from 1 ft,,62,80
271,3,4:59.0,,E. Bledsoe misses 3-pt jump shot from 27 ft,62,80
272,3,4:52.0,Defensive rebound by D. Fox,,62,80
273,3,4:45.0,D. Fox misses 2-pt jump shot from 18 ft,,62,80
274,3,4:41.0,,Defensive rebound by G. Antetokounmpo,62,80
275,3,4:34.0,,G. Antetokounmpo makes 2-pt layup from 1 ft,62,82
276,3,4:14.0,D. Fox makes 2-pt jump shot from 21 ft (assist by Z. Randolph),,64,82
277,3,3:50.0,,G. Antetokounmpo misses 2-pt layup from 3 ft,64,82
278,3,3:45.0,Defensive rebound by D. Fox,,64,82
279,3,3:40.0,D. Fox misses 2-pt jump shot from 7 ft,,64,82
280,3,3:37.0,Offensive rebound by D. Fox,,64,82
281,3,3:36.0,G. Temple makes 3-pt jump shot from 25 ft (assist by D. Fox),,67,82
282,3,3:20.0,,Turnover by E. Bledsoe (lost ball; steal by G. Temple),67,82
283,3,3:16.0,G. Temple misses 3-pt jump shot from 26 ft,,67,82
284,3,3:10.0,Offensive rebound by J. Sampson,,67,82
285,3,3:03.0,Z. Randolph misses 3-pt jump shot from 26 ft,,67,82
286,3,3:02.0,,Defensive rebound by J. Henson,67,82
287,3,3:02.0,,Milwaukee full timeout,67,82
288,3,3:02.0,,J. Terry enters the game for E. Bledsoe,67,82
289,3,3:02.0,,M. Brogdon enters the game for T. Snell,67,82
290,3,3:02.0,B. Bogdanović enters the game for G. Hill,,67,82
291,3,3:02.0,B. Hield enters the game for D. Fox,,67,82
292,3,3:02.0,F. Mason enters the game for J. Sampson,,67,82
293,3,2:39.0,,G. Antetokounmpo misses 2-pt jump shot from 19 ft,67,82
294,3,2:33.0,Defensive rebound by G. Temple,,67,82
295,3,2:16.0,Z. Randolph makes 2-pt hook shot from 2 ft,,69,82
296,3,2:08.0,,Personal foul by B. Bogdanović (drawn by G. Antetokounmpo),69,82
297,3,2:08.0,,T. Maker enters the game for J. Henson,69,82
298,3,2:08.0,,G. Antetokounmpo makes free throw 1 of 2,69,83
299,3,2:08.0,,G. Antetokounmpo misses free throw 2 of 2,69,83
300,3,2:05.0,Defensive rebound by Z. Randolph,,69,83
301,3,1:50.0,B. Hield misses 2-pt jump shot from 14 ft (block by J. Terry),,69,83
302,3,1:45.0,,Defensive rebound by J. Terry,69,83
303,3,1:36.0,,K. Middleton misses 3-pt jump shot from 26 ft,69,83
304,3,1:36.0,Defensive rebound by B. Hield,,69,83
305,3,1:22.0,G. Temple makes 3-pt jump shot from 22 ft,,72,83
306,3,1:04.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by G. Antetokounmpo),72,85
307,3,1:04.0,,Shooting foul by Z. Randolph (drawn by M. Brogdon),72,85
308,3,1:04.0,,M. Brogdon makes free throw 1 of 1,72,86
309,3,0:48.0,Shooting foul by T. Maker (drawn by Z. Randolph),,72,86
310,3,0:48.0,Z. Randolph makes free throw 1 of 2,,73,86
311,3,0:48.0,,D. Liggins enters the game for G. Antetokounmpo,73,86
312,3,0:48.0,Z. Randolph makes free throw 2 of 2,,74,86
313,3,0:31.0,,M. Brogdon makes 2-pt layup from 1 ft,74,88
314,3,0:12.0,F. Mason makes 2-pt jump shot from 9 ft,,76,88
315,3,0:01.0,,Turnover by K. Middleton (lost ball; steal by G. Temple),76,88
316,3,0:00.0,G. Temple misses 3-pt jump shot from 33 ft,,76,88
317,3,0:00.0,Offensive rebound by Team,,76,88
318,4,11:42.0,F. Mason misses 2-pt layup from 1 ft,,76,88
319,4,11:39.0,,Defensive rebound by T. Maker,76,88
320,4,11:35.0,,Offensive foul by T. Maker (drawn by J. Sampson),76,88
321,4,11:35.0,,Turnover by T. Maker (offensive foul),76,88
322,4,11:20.0,B. Bogdanović misses 3-pt jump shot from 26 ft,,76,88
323,4,11:20.0,,Defensive rebound by Team,76,88
324,4,11:20.0,Loose ball foul by Z. Randolph (drawn by T. Maker),,76,88
325,4,11:08.0,,K. Middleton makes 2-pt jump shot from 15 ft (assist by M. Brogdon),76,90
326,4,10:49.0,B. Hield makes 2-pt jump shot from 17 ft (assist by J. Sampson),,78,90
327,4,10:25.0,,J. Terry makes 2-pt layup from 2 ft (assist by T. Maker),78,92
328,4,10:06.0,J. Sampson makes 2-pt layup at rim (assist by Z. Randolph),,80,92
329,4,9:45.0,,M. Brogdon makes 2-pt layup from 1 ft (assist by D. Liggins),80,94
330,4,9:20.0,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by F. Mason),,82,94
331,4,9:06.0,,Shooting foul by J. Sampson (drawn by K. Middleton),82,94
332,4,9:06.0,,K. Middleton makes free throw 1 of 2,82,95
333,4,9:06.0,,K. Middleton makes free throw 2 of 2,82,96
334,4,8:44.0,Z. Randolph makes 2-pt layup from 2 ft,,84,96
335,4,8:35.0,,Shooting foul by Z. Randolph (drawn by M. Brogdon),84,96
336,4,8:35.0,,M. Brogdon makes free throw 1 of 2,84,97
337,4,8:35.0,,M. Brogdon makes free throw 2 of 2,84,98
338,4,8:17.0,B. Hield misses 2-pt jump shot from 17 ft,,84,98
339,4,8:17.0,,Defensive rebound by D. Liggins,84,98
340,4,8:07.0,,M. Brogdon misses 2-pt layup at rim,84,98
341,4,8:07.0,,Offensive rebound by T. Maker,84,98
342,4,7:53.0,,Turnover by K. Middleton (bad pass),84,98
343,4,7:53.0,Sacramento full timeout,,84,98
344,4,7:35.0,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by B. Hield),,86,98
345,4,7:09.0,,M. Brogdon misses 2-pt layup from 2 ft,86,98
346,4,7:06.0,,Offensive rebound by M. Brogdon,86,98
347,4,7:04.0,,M. Brogdon misses 2-pt layup from 3 ft,86,98
348,4,7:02.0,Defensive rebound by Z. Randolph,,86,98
349,4,7:01.0,B. Hield misses 3-pt jump shot from 27 ft,,86,98
350,4,7:01.0,,Defensive rebound by K. Middleton,86,98
351,4,6:41.0,,T. Maker misses 2-pt jump shot from 18 ft,86,98
352,4,6:41.0,Defensive rebound by B. Hield,,86,98
353,4,6:33.0,Def 3 sec tech foul by K. Middleton,,86,98
354,4,6:33.0,B. Hield makes technical free throw,,87,98
355,4,6:33.0,,G. Antetokounmpo enters the game for K. Middleton,87,98
356,4,6:33.0,,E. Bledsoe enters the game for D. Liggins,87,98
357,4,6:29.0,,Offensive charge foul by F. Mason (drawn by E. Bledsoe),87,98
358,4,6:29.0,Turnover by F. Mason (offensive foul),,87,98
359,4,6:05.0,,Turnover by G. Antetokounmpo (bad pass; steal by B. Bogdanović),87,98
360,4,6:04.0,Personal foul by J. Terry (drawn by B. Bogdanović),,87,98
361,4,5:50.0,Z. Randolph makes 2-pt hook shot from 3 ft,,89,98
362,4,5:27.0,,Turnover by J. Terry (bad pass; steal by B. Bogdanović),89,98
363,4,5:21.0,Shooting foul by M. Brogdon (drawn by F. Mason),,89,98
364,4,5:21.0,F. Mason makes free throw 1 of 2,,90,98
365,4,5:21.0,,J. Henson enters the game for T. Maker,90,98
366,4,5:21.0,F. Mason makes free throw 2 of 2,,91,98
367,4,4:57.0,,G. Antetokounmpo misses 2-pt jump shot from 18 ft (block by J. Sampson),91,98
368,4,4:56.0,,Offensive rebound by Team,91,98
369,4,4:47.0,B. Hield misses 2-pt layup from 3 ft (block by J. Terry),,91,98
370,4,4:47.0,Offensive rebound by Team,,91,98
371,4,4:47.0,,T. Snell enters the game for J. Terry,91,98
372,4,4:47.0,G. Temple enters the game for J. Sampson,,91,98
373,4,4:35.0,F. Mason makes 2-pt layup at rim,,93,98
374,4,4:19.0,,G. Antetokounmpo makes 2-pt layup from 1 ft (assist by T. Snell),93,100
