,QUARTER,TIME_REMAINING,NEW YORK_ACTION,SACRAMENTO_ACTION,NEW YORK_SCORE,SACRAMENTO_SCORE
154,2,7:52.0,,Turnover by D. Fox (bad pass),30,34
155,2,7:29.0,I. Hicks makes 2-pt layup from 4 ft (assist by F. Ntilikina),,32,34
156,2,7:18.0,,G. Temple makes 3-pt jump shot from 24 ft (assist by B. Bogdanović),32,37
157,2,7:02.0,Shooting foul by B. Bogdanović (drawn by F. Ntilikina),,32,37
158,2,7:02.0,F. Ntilikina makes free throw 1 of 2,,33,37
159,2,7:02.0,,J. Jackson enters the game for G. Temple,33,37
160,2,7:02.0,T. Hardaway enters the game for T. Williams,,33,37
161,2,7:02.0,F. Ntilikina makes free throw 2 of 2,,34,37
162,2,6:49.0,,D. Fox misses 2-pt layup from 3 ft,34,37
163,2,6:46.0,Defensive rebound by K. O'Quinn,,34,37
164,2,6:41.0,Offensive foul by K. O'Quinn (drawn by D. Fox),,34,37
165,2,6:41.0,Turnover by K. O'Quinn (offensive foul),,34,37
166,2,6:28.0,,B. Bogdanović makes 3-pt jump shot from 23 ft (assist by S. Labissière),34,40
167,2,6:16.0,T. Burke misses 2-pt jump shot from 18 ft,,34,40
168,2,6:13.0,,Defensive rebound by S. Labissière,34,40
169,2,6:07.0,,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by S. Labissière),34,43
170,2,5:56.0,New York full timeout,,34,43
171,2,5:56.0,,K. Koufos enters the game for S. Labissière,34,43
172,2,5:56.0,E. Freedom enters the game for K. O'Quinn,,34,43
173,2,5:56.0,E. Mudiay enters the game for T. Burke,,34,43
174,2,5:43.0,T. Hardaway misses 2-pt jump shot from 16 ft,,34,43
175,2,5:39.0,,Defensive rebound by K. Koufos,34,43
176,2,5:25.0,,Turnover by J. Jackson (bad pass; steal by E. Freedom),34,43
177,2,5:15.0,I. Hicks makes 2-pt layup from 1 ft (assist by F. Ntilikina),,36,43
178,2,5:03.0,,B. Caboclo misses 2-pt jump shot from 16 ft,36,43
179,2,5:00.0,Defensive rebound by T. Hardaway,,36,43
180,2,4:50.0,I. Hicks misses 2-pt layup from 4 ft (block by B. Caboclo),,36,43
181,2,4:50.0,Offensive rebound by Team,,36,43
182,2,4:43.0,T. Hardaway makes 2-pt layup from 2 ft (assist by F. Ntilikina),,38,43
183,2,4:36.0,,J. Jackson misses 3-pt jump shot from 24 ft,38,43
184,2,4:31.0,,Offensive rebound by K. Koufos,38,43
185,2,4:21.0,,Turnover by K. Koufos (lost ball; steal by E. Freedom),38,43
186,2,4:18.0,Shooting block foul by B. Caboclo (drawn by E. Mudiay),,38,43
187,2,4:18.0,E. Mudiay misses free throw 1 of 2,,38,43
188,2,4:18.0,Offensive rebound by Team,,38,43
189,2,4:18.0,,B. Hield enters the game for B. Caboclo,38,43
190,2,4:18.0,E. Mudiay misses free throw 2 of 2,,38,43
191,2,4:11.0,,Defensive rebound by J. Jackson,38,43
192,2,4:05.0,,B. Hield misses 2-pt jump shot from 18 ft,38,43
193,2,4:01.0,Defensive rebound by T. Hardaway,,38,43
194,2,3:58.0,T. Hardaway misses 2-pt layup from 3 ft,,38,43
195,2,3:56.0,Offensive rebound by E. Freedom,,38,43
196,2,3:56.0,E. Freedom makes 2-pt layup at rim,,40,43
197,2,3:36.0,,B. Bogdanović misses 2-pt jump shot from 16 ft,40,43
198,2,3:34.0,Defensive rebound by T. Hardaway,,40,43
199,2,3:31.0,Offensive foul by I. Hicks (drawn by J. Jackson),,40,43
200,2,3:31.0,Turnover by I. Hicks (offensive foul),,40,43
201,2,3:18.0,,K. Koufos misses 2-pt hook shot from 9 ft,40,43
202,2,3:15.0,Defensive rebound by E. Freedom,,40,43
203,2,3:01.0,E. Freedom makes 2-pt jump shot from 9 ft,,42,43
204,2,2:47.0,,Personal foul by E. Mudiay (drawn by B. Bogdanović),42,43
205,2,2:47.0,,B. Bogdanović makes free throw 1 of 2,42,44
206,2,2:47.0,,B. Bogdanović makes free throw 2 of 2,42,45
207,2,2:30.0,F. Ntilikina makes 2-pt jump shot from 14 ft,,44,45
208,2,2:07.0,,K. Koufos misses 2-pt hook shot from 5 ft,44,45
209,2,2:05.0,Defensive rebound by T. Hardaway,,44,45
210,2,1:58.0,F. Ntilikina misses 2-pt jump shot from 6 ft,,44,45
211,2,1:52.0,Offensive rebound by E. Freedom,,44,45
212,2,1:52.0,E. Freedom makes 2-pt layup at rim,,46,45
213,2,1:35.0,,K. Koufos makes 2-pt layup from 2 ft (assist by B. Bogdanović),46,47
214,2,1:11.0,F. Ntilikina misses 3-pt jump shot from 23 ft,,46,47
215,2,1:08.0,,Defensive rebound by B. Hield,46,47
216,2,1:00.0,,J. Jackson makes 2-pt dunk from 2 ft (assist by K. Koufos),46,49
217,2,0:43.0,,Violation by B. Bogdanović (kicked ball),46,49
218,2,0:29.0,I. Hicks misses 2-pt jump shot from 8 ft,,46,49
219,2,0:27.0,,Defensive rebound by J. Jackson,46,49
220,2,0:07.0,,D. Fox misses 2-pt jump shot from 8 ft,46,49
221,2,0:05.0,,Offensive rebound by J. Jackson,46,49
222,2,0:05.0,,J. Jackson makes 2-pt layup from 3 ft,46,51
223,2,0:00.0,T. Hardaway misses 3-pt jump shot from 43 ft,,46,51
224,2,0:00.0,Offensive rebound by Team,,46,51
225,3,11:50.0,M. Beasley misses 2-pt hook shot from 6 ft,,46,51
226,3,11:47.0,,Defensive rebound by K. Koufos,46,51
227,3,11:32.0,,J. Jackson misses 3-pt jump shot from 25 ft,46,51
228,3,11:29.0,Defensive rebound by E. Mudiay,,46,51
229,3,11:20.0,C. Lee misses 2-pt jump shot from 13 ft,,46,51
230,3,11:18.0,,Defensive rebound by B. Bogdanović,46,51
231,3,11:12.0,,B. Bogdanović makes 2-pt jump shot from 12 ft,46,53
232,3,10:58.0,E. Mudiay misses 2-pt jump shot from 11 ft,,46,53
233,3,10:55.0,Offensive rebound by E. Freedom,,46,53
234,3,10:53.0,M. Beasley misses 3-pt jump shot from 24 ft,,46,53
235,3,10:51.0,,Defensive rebound by K. Koufos,46,53
236,3,10:43.0,Offensive charge foul by K. Koufos (drawn by T. Hardaway),,46,53
237,3,10:43.0,,Turnover by K. Koufos (offensive foul),46,53
238,3,10:28.0,C. Lee makes 2-pt layup from 1 ft (assist by E. Freedom),,48,53
239,3,10:13.0,,Shooting foul by E. Mudiay (drawn by B. Bogdanović),48,53
240,3,10:13.0,,B. Bogdanović makes free throw 1 of 3,48,54
241,3,10:13.0,,B. Bogdanović makes free throw 2 of 3,48,55
242,3,10:13.0,,B. Bogdanović makes free throw 3 of 3,48,56
243,3,10:05.0,Personal foul by J. Jackson (drawn by T. Hardaway),,48,56
244,3,9:51.0,C. Lee makes 3-pt jump shot from 24 ft (assist by E. Mudiay),,51,56
245,3,9:34.0,,D. Fox makes 3-pt jump shot from 24 ft (assist by J. Jackson),51,59
246,3,9:27.0,T. Hardaway makes 3-pt jump shot from 23 ft (assist by E. Mudiay),,54,59
247,3,9:07.0,,J. Jackson makes 3-pt jump shot from 22 ft (assist by D. Fox),54,62
248,3,8:53.0,E. Mudiay misses 2-pt jump shot from 19 ft,,54,62
249,3,8:48.0,,Defensive rebound by S. Labissière,54,62
250,3,8:41.0,,J. Jackson makes 2-pt jump shot from 13 ft,54,64
251,3,8:41.0,,Shooting foul by T. Hardaway (drawn by J. Jackson),54,64
252,3,8:41.0,,J. Jackson makes free throw 1 of 1,54,65
253,3,8:29.0,Turnover by C. Lee (bad pass),,54,65
254,3,8:14.0,,D. Fox misses 3-pt jump shot from 24 ft,54,65
255,3,8:08.0,Defensive rebound by M. Beasley,,54,65
256,3,8:01.0,M. Beasley misses 2-pt jump shot from 7 ft,,54,65
257,3,7:58.0,,Defensive rebound by D. Fox,54,65
258,3,7:42.0,,K. Koufos makes 2-pt layup from 3 ft (assist by B. Bogdanović),54,67
259,3,7:42.0,New York full timeout,,54,67
260,3,7:42.0,T. Burke enters the game for E. Mudiay,,54,67
261,3,7:42.0,L. Thomas enters the game for M. Beasley,,54,67
262,3,7:25.0,Turnover by E. Freedom (turnover),,54,67
263,3,7:02.0,,J. Jackson misses 3-pt jump shot from 30 ft,54,67
264,3,6:57.0,Defensive rebound by C. Lee,,54,67
