,QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
79,1,2:00.0,,J. Ennis misses 3-pt jump shot from 26 ft,29,8
80,1,2:00.0,Defensive rebound by T. Rozier,,29,8
81,1,1:34.0,M. Smart misses 3-pt jump shot from 26 ft,,29,8
82,1,1:29.0,,Defensive rebound by J. Martin,29,8
83,1,1:26.0,,Shooting foul by D. Theis (drawn by J. Martin),29,8
84,1,1:26.0,,J. Martin makes free throw 1 of 2,29,9
85,1,1:26.0,S. Larkin enters the game for J. Tatum,,29,9
86,1,1:26.0,,J. Martin makes free throw 2 of 2,29,10
87,1,1:09.0,D. Theis makes 2-pt jump shot from 7 ft,,31,10
88,1,0:50.0,,B. McLemore makes 2-pt dunk at rim (assist by T. Evans),31,12
89,1,0:37.0,T. Rozier misses 2-pt jump shot from 15 ft,,31,12
90,1,0:35.0,,Defensive rebound by J. Ennis,31,12
91,1,0:28.0,,J. Martin misses 3-pt jump shot from 23 ft,31,12
92,1,0:25.0,Defensive rebound by T. Rozier,,31,12
93,1,0:04.0,A. Horford misses 2-pt jump shot from 7 ft,,31,12
94,1,0:04.0,Offensive rebound by Team,,31,12
95,1,0:04.0,,Loose ball foul by B. McLemore (drawn by D. Theis),31,12
96,1,0:04.0,D. Theis misses free throw 1 of 2,,31,12
97,1,0:04.0,Offensive rebound by Team,,31,12
98,1,0:04.0,,D. Brooks enters the game for B. McLemore,31,12
99,1,0:04.0,J. Tatum enters the game for A. Horford,,31,12
100,1,0:04.0,D. Theis misses free throw 2 of 2,,31,12
101,1,0:02.0,,Defensive rebound by J. Ennis,31,12
102,1,0:00.0,,T. Evans misses 3-pt jump shot from 44 ft,31,12
103,1,0:00.0,,Offensive rebound by Team,31,12
104,2,11:48.0,,D. Davis misses 2-pt jump shot from 17 ft,31,12
105,2,11:45.0,Defensive rebound by Team,,31,12
106,2,11:31.0,Turnover by A. Horford (lost ball; steal by D. Davis),,31,12
107,2,11:22.0,,T. Evans makes 3-pt jump shot from 24 ft (assist by D. Davis),31,15
108,2,11:07.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by D. Theis),,34,15
109,2,10:49.0,,J. Martin misses 2-pt jump shot from 13 ft,34,15
110,2,10:47.0,Defensive rebound by D. Theis,,34,15
111,2,10:38.0,,Violation by D. Davis (kicked ball),34,15
112,2,10:30.0,T. Rozier misses 2-pt jump shot from 11 ft,,34,15
113,2,10:26.0,,Defensive rebound by K. Simmons,34,15
114,2,10:23.0,,D. Brooks misses 2-pt layup from 1 ft (block by A. Horford),34,15
115,2,10:20.0,,Offensive rebound by J. Martin,34,15
116,2,10:20.0,,Shooting foul by D. Theis (drawn by J. Martin),34,15
117,2,10:20.0,,J. Martin makes free throw 1 of 2,34,16
118,2,10:20.0,,J. Martin makes free throw 2 of 2,34,17
119,2,9:57.0,T. Rozier misses 3-pt jump shot from 27 ft,,34,17
120,2,9:54.0,,Defensive rebound by T. Evans,34,17
121,2,9:51.0,,Shooting foul by A. Horford (drawn by T. Evans),34,17
122,2,9:51.0,,T. Evans misses free throw 1 of 2,34,17
123,2,9:51.0,,Offensive rebound by Team,34,17
124,2,9:51.0,,T. Evans makes free throw 2 of 2,34,18
125,2,9:36.0,D. Theis misses 3-pt jump shot from 23 ft,,34,18
126,2,9:34.0,,Defensive rebound by D. Davis,34,18
127,2,9:30.0,,K. Simmons misses 2-pt layup from 1 ft (block by D. Theis),34,18
128,2,9:30.0,,Offensive rebound by Team,34,18
129,2,9:18.0,,D. Brooks misses 2-pt jump shot from 14 ft,34,18
130,2,9:15.0,Defensive rebound by S. Larkin,,34,18
131,2,9:09.0,S. Larkin misses 2-pt jump shot from 11 ft (block by K. Simmons),,34,18
132,2,9:06.0,,Defensive rebound by J. Martin,34,18
133,2,9:04.0,,J. Martin makes 2-pt dunk from 1 ft,34,20
134,2,8:44.0,M. Smart misses 2-pt jump shot from 13 ft (block by J. Martin),,34,20
135,2,8:42.0,,Defensive rebound by D. Davis,34,20
136,2,8:40.0,,K. Simmons misses 2-pt layup from 1 ft,34,20
137,2,8:40.0,,Offensive rebound by D. Davis,34,20
138,2,8:39.0,,D. Davis makes 2-pt dunk at rim,34,22
139,2,8:39.0,Boston full timeout,,34,22
140,2,8:39.0,S. Ojeleye enters the game for D. Theis,,34,22
141,2,8:39.0,J. Brown enters the game for M. Smart,,34,22
142,2,8:15.0,A. Horford makes 2-pt jump shot from 14 ft,,36,22
143,2,7:54.0,,T. Evans makes 2-pt layup at rim,36,24
144,2,7:27.0,T. Rozier misses 2-pt layup at rim,,36,24
145,2,7:25.0,,Defensive rebound by D. Davis,36,24
146,2,7:12.0,,Shooting foul by T. Rozier (drawn by T. Evans),36,24
147,2,7:12.0,,T. Evans makes free throw 1 of 3,36,25
148,2,7:12.0,,T. Evans makes free throw 2 of 3,36,26
149,2,7:12.0,,J. Green enters the game for J. Martin,36,26
150,2,7:12.0,A. Baynes enters the game for A. Horford,,36,26
151,2,7:12.0,,T. Evans makes free throw 3 of 3,36,27
152,2,6:57.0,S. Larkin misses 3-pt jump shot from 26 ft,,36,27
153,2,6:54.0,,Defensive rebound by K. Simmons,36,27
154,2,6:46.0,,T. Evans makes 3-pt jump shot from 26 ft,36,30
155,2,6:25.0,S. Larkin misses 3-pt jump shot from 25 ft,,36,30
156,2,6:22.0,Offensive rebound by A. Baynes,,36,30
157,2,6:13.0,Personal foul by K. Simmons (drawn by J. Brown),,36,30
158,2,6:13.0,K. Irving enters the game for S. Larkin,,36,30
159,2,6:13.0,M. Smart enters the game for T. Rozier,,36,30
160,2,6:06.0,K. Irving misses 3-pt jump shot from 26 ft,,36,30
161,2,6:03.0,,Defensive rebound by J. Green,36,30
162,2,5:53.0,,K. Simmons misses 3-pt jump shot from 22 ft,36,30
163,2,5:50.0,Defensive rebound by J. Brown,,36,30
164,2,5:43.0,K. Irving makes 2-pt layup from 1 ft (assist by M. Smart),,38,30
165,2,5:28.0,,Offensive foul by J. Green (drawn by J. Brown),38,30
166,2,5:28.0,,Turnover by J. Green (offensive foul),38,30
167,2,5:14.0,Shooting foul by K. Simmons (drawn by M. Smart),,38,30
168,2,5:14.0,M. Smart misses free throw 1 of 2,,38,30
169,2,5:14.0,Offensive rebound by Team,,38,30
170,2,5:14.0,M. Smart makes free throw 2 of 2,,39,30
171,2,4:58.0,,T. Evans misses 2-pt jump shot from 22 ft,39,30
172,2,4:52.0,Defensive rebound by K. Irving,,39,30
173,2,4:48.0,J. Brown misses 3-pt jump shot from 26 ft,,39,30
174,2,4:44.0,Offensive rebound by M. Smart,,39,30
175,2,4:37.0,,Offensive charge foul by M. Smart (drawn by K. Simmons),39,30
176,2,4:37.0,Turnover by M. Smart (offensive foul),,39,30
177,2,4:37.0,J. Tatum enters the game for S. Ojeleye,,39,30
178,2,4:27.0,,T. Evans misses 2-pt layup at rim,39,30
179,2,4:24.0,,Offensive rebound by J. Green,39,30
180,2,4:18.0,,Turnover by J. Green (bad pass; steal by M. Smart),39,30
181,2,4:00.0,J. Brown makes 3-pt jump shot from 24 ft (assist by M. Smart),,42,30
182,2,3:34.0,,T. Evans makes 3-pt jump shot from 26 ft,42,33
183,2,3:15.0,M. Smart misses 3-pt jump shot from 25 ft,,42,33
184,2,3:11.0,,Defensive rebound by J. Green,42,33
185,2,3:06.0,,J. Green misses 3-pt jump shot from 25 ft,42,33
186,2,3:03.0,Defensive rebound by J. Brown,,42,33
187,2,2:48.0,J. Tatum misses 2-pt layup at rim,,42,33
188,2,2:45.0,,Defensive rebound by T. Evans,42,33
189,2,2:39.0,,Personal foul by J. Tatum (drawn by D. Davis),42,33
190,2,2:39.0,,Memphis full timeout,42,33
191,2,2:39.0,,J. Martin enters the game for J. Green,42,33
192,2,2:39.0,,M. Gasol enters the game for T. Evans,42,33
193,2,2:39.0,,M. Chalmers enters the game for D. Davis,42,33
194,2,2:39.0,A. Horford enters the game for A. Baynes,,42,33
195,2,2:24.0,,M. Gasol makes 2-pt jump shot from 19 ft,42,35
196,2,2:02.0,Turnover by J. Brown (bad pass),,42,35
197,2,1:51.0,,M. Gasol makes 2-pt jump shot from 17 ft (assist by M. Chalmers),42,37
198,2,1:38.0,K. Irving makes 3-pt jump shot from 25 ft,,45,37
199,2,1:23.0,,D. Brooks makes 3-pt jump shot from 23 ft (assist by M. Gasol),45,40
200,2,1:04.0,K. Irving misses 3-pt jump shot from 27 ft,,45,40
201,2,1:00.0,Offensive rebound by J. Tatum,,45,40
202,2,0:50.0,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),,48,40
203,2,0:30.0,,D. Brooks misses 3-pt jump shot from 26 ft,48,40
204,2,0:27.0,Defensive rebound by A. Horford,,48,40
205,2,0:08.0,Turnover by K. Irving (lost ball; steal by J. Martin),,48,40
206,2,0:00.0,,M. Gasol misses 2-pt jump shot from 13 ft,48,40
207,2,0:00.0,,Offensive rebound by Team,48,40
208,3,11:46.0,,M. Gasol misses 3-pt jump shot from 25 ft,48,40
209,3,11:43.0,Defensive rebound by J. Brown,,48,40
210,3,11:19.0,A. Horford misses 2-pt jump shot from 12 ft,,48,40
211,3,11:17.0,,Defensive rebound by M. Gasol,48,40
212,3,11:03.0,,D. Brooks misses 2-pt layup from 2 ft (block by J. Tatum),48,40
213,3,11:00.0,,Offensive rebound by M. Gasol,48,40
214,3,10:58.0,,J. Green makes 3-pt jump shot from 24 ft (assist by A. Harrison),48,43
215,3,10:45.0,K. Irving misses 3-pt jump shot from 25 ft,,48,43
216,3,10:42.0,Offensive rebound by J. Tatum,,48,43
217,3,10:39.0,J. Tatum makes 2-pt jump shot from 20 ft,,50,43
218,3,10:20.0,,T. Evans makes 3-pt jump shot from 25 ft (assist by D. Brooks),50,46
219,3,10:04.0,J. Brown misses 3-pt jump shot from 23 ft,,50,46
220,3,10:03.0,,Defensive rebound by M. Gasol,50,46
221,3,9:52.0,,M. Gasol makes 2-pt jump shot from 9 ft (assist by T. Evans),50,48
222,3,9:52.0,,Shooting foul by A. Baynes (drawn by M. Gasol),50,48
223,3,9:52.0,M. Smart enters the game for J. Tatum,,50,48
224,3,9:52.0,,M. Gasol makes free throw 1 of 1,50,49
225,3,9:31.0,M. Smart makes 3-pt jump shot from 23 ft (assist by A. Horford),,53,49
226,3,9:14.0,,A. Harrison makes 2-pt jump shot from 7 ft,53,51
227,3,8:52.0,K. Irving misses 2-pt jump shot from 18 ft,,53,51
228,3,8:50.0,,Defensive rebound by J. Green,53,51
229,3,8:45.0,,Personal foul by K. Irving (drawn by A. Harrison),53,51
230,3,8:27.0,,Turnover by Team (shot clock),53,51
231,3,8:14.0,Turnover by J. Brown (bad pass; steal by T. Evans),,53,51
232,3,7:58.0,,M. Gasol makes 2-pt jump shot from 19 ft (assist by A. Harrison),53,53
233,3,7:39.0,A. Baynes makes 2-pt layup at rim (assist by K. Irving),,55,53
234,3,7:29.0,,Personal foul by K. Irving (drawn by A. Harrison),55,53
235,3,7:16.0,,M. Gasol makes 2-pt jump shot from 10 ft,55,55
236,3,7:05.0,K. Irving makes 3-pt jump shot from 25 ft,,58,55
237,3,6:51.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by A. Harrison),58,58
238,3,6:31.0,Personal foul by A. Harrison (drawn by K. Irving),,58,58
239,3,6:31.0,,Memphis full timeout,58,58
240,3,6:21.0,M. Smart makes 2-pt jump shot from 11 ft,,60,58
241,3,6:01.0,,J. Green makes 2-pt layup at rim,60,60
242,3,5:45.0,Shooting foul by J. Green (drawn by M. Smart),,60,60
243,3,5:45.0,M. Smart makes free throw 2 of 2,,61,60
244,3,5:45.0,M. Smart makes free throw 1 of 2,,62,60
245,3,5:45.0,,M. Chalmers enters the game for T. Evans,62,60
246,3,5:45.0,J. Tatum enters the game for A. Horford,,62,60
247,3,5:28.0,,Turnover by M. Gasol (bad pass; steal by J. Brown),62,60
248,3,5:26.0,,K. Simmons enters the game for A. Harrison,62,60
249,3,5:19.0,K. Irving makes 2-pt layup from 1 ft (assist by M. Smart),,64,60
250,3,5:00.0,,M. Chalmers misses 3-pt jump shot from 23 ft,64,60
251,3,5:00.0,Defensive rebound by J. Brown,,64,60
252,3,4:42.0,K. Irving misses 2-pt jump shot from 9 ft,,64,60
253,3,4:36.0,Offensive rebound by A. Baynes,,64,60
254,3,4:36.0,A. Baynes misses 2-pt layup at rim,,64,60
255,3,4:35.0,Offensive rebound by J. Tatum,,64,60
256,3,4:31.0,J. Tatum makes 2-pt layup from 1 ft,,66,60
257,3,4:08.0,,D. Brooks misses 2-pt jump shot from 21 ft,66,60
258,3,4:07.0,Defensive rebound by Team,,66,60
259,3,4:07.0,,J. Martin enters the game for J. Green,66,60
260,3,3:46.0,J. Tatum misses 2-pt layup at rim,,66,60
261,3,3:43.0,,Defensive rebound by M. Gasol,66,60
262,3,3:33.0,,D. Brooks misses 2-pt dunk from 8 ft,66,60
263,3,3:30.0,Defensive rebound by A. Baynes,,66,60
264,3,3:26.0,M. Smart makes 3-pt jump shot from 25 ft,,69,60
265,3,3:19.0,,Memphis full timeout,69,60
266,3,3:19.0,,J. Ennis enters the game for K. Simmons,69,60
267,3,3:19.0,,T. Evans enters the game for D. Brooks,69,60
268,3,3:19.0,T. Rozier enters the game for K. Irving,,69,60
269,3,3:09.0,,M. Gasol makes 2-pt jump shot from 20 ft (assist by J. Martin),69,62
270,3,2:54.0,Turnover by M. Smart (bad pass; steal by M. Gasol),,69,62
271,3,2:50.0,,J. Martin misses 2-pt layup from 1 ft,69,62
272,3,2:50.0,,Offensive rebound by Team,69,62
273,3,2:38.0,Offensive charge foul by M. Chalmers (drawn by A. Baynes),,69,62
274,3,2:38.0,,Turnover by M. Chalmers (offensive foul),69,62
275,3,2:18.0,J. Brown misses 2-pt jump shot from 6 ft (block by T. Evans),,69,62
276,3,2:14.0,Offensive rebound by J. Brown,,69,62
277,3,2:13.0,J. Brown misses 2-pt jump shot from 9 ft,,69,62
278,3,2:13.0,,Defensive rebound by M. Gasol,69,62
279,3,1:53.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by M. Chalmers),69,65
280,3,1:40.0,Offensive foul by A. Baynes (drawn by M. Chalmers),,69,65
281,3,1:40.0,Turnover by A. Baynes (offensive foul),,69,65
282,3,1:40.0,A. Horford enters the game for A. Baynes,,69,65
283,3,1:31.0,,T. Evans misses 3-pt jump shot from 24 ft,69,65
284,3,1:26.0,Defensive rebound by T. Rozier,,69,65
285,3,1:26.0,D. Theis enters the game for J. Brown,,69,65
286,3,1:23.0,Turnover by T. Rozier (turnover; steal by M. Gasol),,69,65
287,3,1:18.0,,M. Gasol makes 3-pt jump shot from 25 ft (assist by T. Evans),69,68
288,3,1:03.0,,Offensive charge foul by M. Smart (drawn by M. Chalmers),69,68
289,3,1:03.0,Turnover by M. Smart (offensive foul),,69,68
290,3,0:48.0,,M. Gasol misses 2-pt jump shot from 7 ft,69,68
291,3,0:48.0,,Offensive rebound by J. Martin,69,68
292,3,0:48.0,,J. Martin makes 2-pt dunk at rim,69,70
293,3,0:27.0,A. Horford makes 2-pt jump shot from 10 ft,,71,70
294,3,0:08.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by T. Evans),71,73
295,3,0:01.0,Turnover by M. Smart (out of bounds lost ball),,71,73
296,3,0:01.0,,Personal foul by M. Smart (drawn by T. Evans),71,73
297,3,0:00.0,,M. Chalmers misses 3-pt jump shot from 51 ft,71,73
298,3,0:00.0,,Offensive rebound by Team,71,73
299,4,11:52.0,Personal foul by J. Ennis (drawn by J. Tatum),,71,73
300,4,11:42.0,J. Tatum misses 2-pt layup at rim,,71,73
301,4,11:38.0,Offensive rebound by A. Horford,,71,73
302,4,11:38.0,A. Horford misses 2-pt layup at rim,,71,73
303,4,11:38.0,Offensive rebound by D. Theis,,71,73
304,4,11:20.0,A. Horford makes 2-pt hook shot from 4 ft,,73,73
305,4,11:20.0,Shooting foul by D. Davis (drawn by A. Horford),,73,73
306,4,11:20.0,A. Horford misses free throw 1 of 1,,73,73
307,4,11:18.0,,Defensive rebound by J. Martin,73,73
308,4,11:08.0,,Offensive foul by D. Davis (drawn by T. Rozier),73,73
309,4,11:08.0,,Turnover by D. Davis (offensive foul),73,73
310,4,10:55.0,A. Horford makes 2-pt hook shot from 7 ft (assist by S. Larkin),,75,73
311,4,10:44.0,Offensive charge foul by M. Chalmers (drawn by S. Larkin),,75,73
312,4,10:44.0,,Turnover by M. Chalmers (offensive foul),75,73
313,4,10:35.0,Turnover by S. Larkin (bad pass),,75,73
314,4,10:19.0,,T. Evans misses 2-pt layup from 1 ft,75,73
315,4,10:17.0,Defensive rebound by S. Larkin,,75,73
316,4,10:12.0,T. Rozier makes 3-pt jump shot from 26 ft (assist by A. Horford),,78,73
317,4,9:49.0,,M. Chalmers misses 3-pt jump shot from 25 ft,78,73
318,4,9:46.0,Defensive rebound by D. Theis,,78,73
319,4,9:35.0,T. Rozier makes 2-pt layup from 1 ft (assist by A. Horford),,80,73
320,4,9:20.0,,Turnover by D. Davis (lost ball; steal by T. Rozier),80,73
321,4,9:16.0,Turnover by A. Horford (lost ball; steal by J. Martin),,80,73
322,4,9:11.0,,Turnover by M. Chalmers (lost ball; steal by T. Rozier),80,73
323,4,9:09.0,J. Tatum makes 2-pt dunk from 1 ft (assist by T. Rozier),,82,73
324,4,8:59.0,,Memphis full timeout,82,73
325,4,8:59.0,,J. Green enters the game for J. Martin,82,73
326,4,8:59.0,,A. Harrison enters the game for M. Chalmers,82,73
327,4,8:59.0,,M. Gasol enters the game for D. Davis,82,73
328,4,8:39.0,,A. Harrison misses 3-pt jump shot from 25 ft,82,73
329,4,8:35.0,Defensive rebound by J. Tatum,,82,73
330,4,8:21.0,J. Tatum makes 2-pt jump shot from 21 ft,,84,73
331,4,8:03.0,,A. Harrison misses 3-pt jump shot from 26 ft,84,73
332,4,8:02.0,Defensive rebound by Team,,84,73
333,4,8:02.0,,Loose ball foul by J. Green (drawn by D. Theis),84,73
334,4,8:02.0,,M. Chalmers enters the game for J. Ennis,84,73
335,4,8:02.0,,D. Brooks enters the game for A. Harrison,84,73
336,4,7:49.0,Turnover by A. Horford (out of bounds lost ball),,84,73
337,4,7:27.0,,M. Chalmers misses 3-pt jump shot from 25 ft (block by D. Theis),84,73
338,4,7:23.0,,Offensive rebound by J. Green,84,73
339,4,7:22.0,,J. Green misses 2-pt jump shot from 10 ft,84,73
340,4,7:19.0,Defensive rebound by A. Horford,,84,73
341,4,7:12.0,D. Theis makes 3-pt jump shot from 23 ft (assist by A. Horford),,87,73
342,4,6:48.0,,M. Gasol misses 2-pt jump shot from 22 ft,87,73
343,4,6:46.0,Defensive rebound by T. Rozier,,87,73
344,4,6:33.0,J. Tatum misses 2-pt layup at rim,,87,73
345,4,6:30.0,,Defensive rebound by M. Chalmers,87,73
346,4,6:26.0,,D. Brooks makes 3-pt jump shot from 25 ft (assist by M. Chalmers),87,76
347,4,6:25.0,Boston full timeout,,87,76
348,4,6:25.0,J. Brown enters the game for J. Tatum,,87,76
349,4,6:25.0,K. Irving enters the game for S. Larkin,,87,76
350,4,6:25.0,A. Baynes enters the game for A. Horford,,87,76
351,4,6:01.0,T. Rozier makes 2-pt jump shot from 11 ft,,89,76
352,4,5:40.0,,T. Evans makes 2-pt layup at rim,89,78
353,4,5:25.0,D. Theis misses 2-pt jump shot from 16 ft,,89,78
354,4,5:22.0,,Defensive rebound by J. Green,89,78
355,4,5:17.0,,T. Evans makes 2-pt layup at rim,89,80
356,4,5:17.0,,Shooting foul by J. Brown (drawn by T. Evans),89,80
357,4,5:17.0,M. Smart enters the game for T. Rozier,,89,80
358,4,5:17.0,J. Tatum enters the game for D. Theis,,89,80
359,4,5:17.0,,T. Evans makes free throw 1 of 1,89,81
360,4,5:02.0,J. Tatum misses 2-pt layup from 2 ft,,89,81
361,4,5:00.0,Offensive rebound by J. Tatum,,89,81
362,4,4:59.0,J. Tatum misses 2-pt layup from 1 ft,,89,81
363,4,4:59.0,Offensive rebound by A. Baynes,,89,81
364,4,4:53.0,A. Baynes makes 2-pt layup at rim,,91,81
365,4,4:35.0,,D. Brooks makes 3-pt jump shot from 26 ft (assist by T. Evans),91,84
366,4,4:20.0,A. Baynes makes 2-pt layup at rim (assist by M. Smart),,93,84
367,4,4:20.0,Shooting foul by M. Gasol (drawn by A. Baynes),,93,84
368,4,4:20.0,A. Baynes makes free throw 1 of 1,,94,84
369,4,3:55.0,,D. Brooks makes 2-pt hook shot from 5 ft,94,86
370,4,3:40.0,K. Irving makes 3-pt jump shot from 25 ft,,97,86
371,4,3:24.0,,Shooting foul by A. Baynes (drawn by T. Evans),97,86
372,4,3:24.0,,T. Evans makes free throw 1 of 2,97,87
373,4,3:24.0,,T. Evans makes free throw 2 of 2,97,88
374,4,3:10.0,J. Brown misses 3-pt jump shot from 26 ft,,97,88
375,4,3:06.0,,Defensive rebound by M. Chalmers,97,88
376,4,2:58.0,A. Horford enters the game for A. Baynes,,97,88
377,4,2:53.0,,T. Evans misses 3-pt jump shot from 25 ft,97,88
378,4,2:51.0,Defensive rebound by M. Smart,,97,88
379,4,2:46.0,K. Irving misses 2-pt jump shot from 11 ft,,97,88
380,4,2:41.0,,Defensive rebound by M. Gasol,97,88
381,4,2:26.0,,J. Green misses 3-pt jump shot from 23 ft,97,88
382,4,2:23.0,,Offensive rebound by M. Gasol,97,88
383,4,2:19.0,,M. Chalmers makes 3-pt jump shot from 23 ft (assist by M. Gasol),97,91
384,4,1:55.0,A. Horford misses 3-pt jump shot from 26 ft,,97,91
385,4,1:52.0,Offensive rebound by J. Brown,,97,91
386,4,1:51.0,K. Irving misses 3-pt jump shot from 23 ft,,97,91
387,4,1:47.0,Offensive rebound by J. Tatum,,97,91
388,4,1:30.0,A. Horford makes 2-pt jump shot from 11 ft (assist by K. Irving),,99,91
389,4,1:22.0,,M. Chalmers misses 3-pt jump shot from 27 ft,99,91
390,4,1:18.0,Defensive rebound by A. Horford,,99,91
