,QUARTER,TIME_REMAINING,CLEVELAND_ACTION,BROOKLYN_ACTION,CLEVELAND_SCORE,BROOKLYN_SCORE
172,2,6:05.0,,J. Harris makes 2-pt layup from 1 ft,40,47
173,2,5:59.0,Shooting foul by R. Hollis-Jefferson (drawn by G. Hill),,40,47
174,2,5:59.0,G. Hill makes free throw 1 of 2,,41,47
175,2,5:59.0,G. Hill makes free throw 2 of 2,,42,47
176,2,5:37.0,,C. LeVert makes 2-pt jump shot from 10 ft,42,49
177,2,5:29.0,L. James makes 2-pt layup from 2 ft,,44,49
178,2,5:29.0,Shooting foul by C. LeVert (drawn by L. James),,44,49
179,2,5:29.0,,A. Crabbe enters the game for J. Harris,44,49
180,2,5:29.0,L. James makes free throw 1 of 1,,45,49
181,2,5:07.0,,Shooting foul by L. Nance (drawn by C. LeVert),45,49
182,2,5:07.0,,C. LeVert makes free throw 1 of 2,45,50
183,2,5:07.0,J. Clarkson enters the game for L. Nance,,45,50
184,2,5:07.0,,C. LeVert makes free throw 2 of 2,45,51
185,2,4:46.0,K. Love makes 3-pt jump shot from 26 ft (assist by J. Calderón),,48,51
186,2,4:25.0,,A. Crabbe misses 3-pt jump shot from 26 ft,48,51
187,2,4:21.0,Defensive rebound by K. Love,,48,51
188,2,4:14.0,L. James makes 2-pt layup at rim,,50,51
189,2,4:08.0,,Brooklyn full timeout,50,51
190,2,4:08.0,,D. Cunningham enters the game for J. Allen,50,51
191,2,3:59.0,,Shooting foul by K. Love (drawn by D. Cunningham),50,51
192,2,3:59.0,,D. Cunningham misses free throw 1 of 2,50,51
193,2,3:59.0,,Offensive rebound by Team,50,51
194,2,3:59.0,,D. Cunningham makes free throw 2 of 2,50,52
195,2,3:47.0,Shooting foul by R. Hollis-Jefferson (drawn by L. James),,50,52
196,2,3:47.0,R. Hood enters the game for J. Calderón,,50,52
197,2,3:47.0,L. James makes free throw 1 of 2,,51,52
198,2,3:47.0,,S. Dinwiddie enters the game for C. LeVert,51,52
199,2,3:47.0,L. James makes free throw 2 of 2,,52,52
200,2,3:22.0,,D. Cunningham misses 2-pt jump shot from 7 ft,52,52
201,2,3:20.0,Defensive rebound by R. Hood,,52,52
202,2,3:18.0,Personal foul by S. Dinwiddie (drawn by K. Love),,52,52
203,2,3:18.0,K. Love makes free throw 1 of 2,,53,52
204,2,3:18.0,K. Love makes free throw 2 of 2,,54,52
205,2,3:08.0,,D. Russell misses 2-pt jump shot from 8 ft,54,52
206,2,3:05.0,Defensive rebound by L. James,,54,52
207,2,2:53.0,G. Hill misses 2-pt layup from 4 ft (block by A. Crabbe),,54,52
208,2,2:52.0,Offensive rebound by G. Hill,,54,52
209,2,2:51.0,Turnover by G. Hill (step out of bounds),,54,52
210,2,2:51.0,T. Thompson enters the game for K. Love,,54,52
211,2,2:36.0,,Turnover by D. Russell (bad pass; steal by R. Hood),54,52
212,2,2:35.0,Personal foul by D. Russell (drawn by R. Hood),,54,52
213,2,2:35.0,R. Hood makes free throw 1 of 2,,55,52
214,2,2:35.0,,J. Harris enters the game for D. Russell,55,52
215,2,2:35.0,R. Hood misses free throw 2 of 2,,55,52
216,2,2:33.0,,Defensive rebound by R. Hollis-Jefferson,55,52
217,2,2:25.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by R. Hollis-Jefferson),55,55
218,2,2:10.0,J. Clarkson misses 3-pt jump shot from 24 ft,,55,55
219,2,2:08.0,,Defensive rebound by Team,55,55
220,2,1:47.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,55,55
221,2,1:45.0,Defensive rebound by T. Thompson,,55,55
222,2,1:42.0,,C. LeVert enters the game for S. Dinwiddie,55,55
223,2,1:34.0,J. Clarkson makes 2-pt layup from 3 ft (assist by T. Thompson),,57,55
224,2,1:18.0,,R. Hollis-Jefferson makes 2-pt jump shot from 17 ft,57,57
225,2,1:04.0,L. James misses 3-pt jump shot from 24 ft,,57,57
226,2,1:01.0,,Defensive rebound by A. Crabbe,57,57
227,2,0:52.0,,J. Harris makes 2-pt layup at rim (assist by A. Crabbe),57,59
228,2,0:34.0,J. Clarkson misses 2-pt jump shot from 18 ft,,57,59
229,2,0:31.0,,Defensive rebound by R. Hollis-Jefferson,57,59
230,2,0:20.0,,D. Cunningham makes 3-pt jump shot from 23 ft (assist by C. LeVert),57,62
231,2,0:00.0,G. Hill makes 3-pt jump shot from 21 ft (assist by L. James),,60,62
232,3,11:46.0,J. Calderón misses 2-pt jump shot from 13 ft,,60,62
233,3,11:42.0,Offensive rebound by J. Calderón,,60,62
234,3,11:42.0,J. Calderón misses 2-pt layup at rim,,60,62
235,3,11:41.0,,Defensive rebound by J. Allen,60,62
236,3,11:34.0,,A. Crabbe makes 2-pt jump shot from 7 ft (assist by D. Carroll),60,64
237,3,11:13.0,J. Calderón misses 2-pt jump shot from 18 ft,,60,64
238,3,11:11.0,,Defensive rebound by A. Crabbe,60,64
239,3,11:01.0,,R. Hollis-Jefferson makes 2-pt jump shot from 9 ft,60,66
240,3,10:45.0,Personal foul by A. Crabbe (drawn by L. Nance),,60,66
241,3,10:39.0,L. Nance makes 2-pt hook shot from 6 ft (assist by J. Calderón),,62,66
242,3,10:17.0,,R. Hollis-Jefferson makes 2-pt layup at rim,62,68
243,3,10:17.0,,Shooting foul by J. Calderón (drawn by R. Hollis-Jefferson),62,68
244,3,10:17.0,,R. Hollis-Jefferson makes free throw 1 of 1,62,69
245,3,10:02.0,G. Hill makes 3-pt jump shot from 22 ft (assist by L. James),,65,69
246,3,9:49.0,,Turnover by D. Russell (bad pass; steal by L. Nance),65,69
247,3,9:47.0,Shooting foul by D. Carroll (drawn by L. James),,65,69
248,3,9:47.0,L. James makes free throw 1 of 2,,66,69
249,3,9:47.0,L. James makes free throw 2 of 2,,67,69
250,3,9:35.0,,R. Hollis-Jefferson misses 2-pt jump shot from 16 ft,67,69
251,3,9:30.0,Defensive rebound by K. Love,,67,69
252,3,9:25.0,Turnover by L. James (bad pass; steal by R. Hollis-Jefferson),,67,69
253,3,9:21.0,,D. Carroll makes 2-pt layup at rim (assist by R. Hollis-Jefferson),67,71
254,3,9:03.0,L. James makes 2-pt layup from 2 ft (assist by K. Love),,69,71
255,3,8:44.0,,Shooting foul by L. Nance (drawn by R. Hollis-Jefferson),69,71
256,3,8:44.0,,R. Hollis-Jefferson makes free throw 1 of 2,69,72
257,3,8:44.0,,R. Hollis-Jefferson misses free throw 2 of 2,69,72
258,3,8:42.0,Defensive rebound by L. Nance,,69,72
259,3,8:37.0,K. Love misses 3-pt jump shot from 25 ft,,69,72
260,3,8:36.0,Offensive rebound by Team,,69,72
261,3,8:31.0,K. Love misses 3-pt jump shot from 24 ft,,69,72
262,3,8:28.0,,Defensive rebound by J. Allen,69,72
263,3,8:13.0,,A. Crabbe misses 2-pt jump shot from 8 ft,69,72
264,3,8:09.0,Defensive rebound by K. Love,,69,72
265,3,8:08.0,Personal block foul by D. Russell (drawn by G. Hill),,69,72
266,3,8:08.0,,C. LeVert enters the game for D. Russell,69,72
267,3,7:58.0,Personal foul by C. LeVert (drawn by K. Love),,69,72
268,3,7:47.0,J. Calderón misses 3-pt jump shot from 24 ft,,69,72
269,3,7:45.0,,Defensive rebound by A. Crabbe,69,72
270,3,7:38.0,,A. Crabbe misses 3-pt jump shot from 24 ft,69,72
271,3,7:36.0,,Offensive rebound by R. Hollis-Jefferson,69,72
272,3,7:32.0,,D. Carroll makes 3-pt jump shot from 24 ft (assist by C. LeVert),69,75
273,3,7:14.0,Turnover by K. Love (bad pass; steal by D. Carroll),,69,75
274,3,7:14.0,,Personal foul by J. Calderón (drawn by R. Hollis-Jefferson),69,75
275,3,7:14.0,R. Hood enters the game for J. Calderón,,69,75
276,3,7:04.0,,A. Crabbe makes 3-pt jump shot from 26 ft (assist by C. LeVert),69,78
277,3,6:38.0,R. Hood misses 2-pt jump shot from 7 ft,,69,78
278,3,6:36.0,,Defensive rebound by C. LeVert,69,78
279,3,6:24.0,,R. Hollis-Jefferson misses 2-pt jump shot from 15 ft,69,78
280,3,6:22.0,Defensive rebound by K. Love,,69,78
281,3,6:18.0,Personal block foul by R. Hollis-Jefferson (drawn by L. James),,69,78
282,3,6:18.0,,Brooklyn full timeout,69,78
283,3,6:18.0,L. James makes free throw 1 of 2,,70,78
284,3,6:18.0,L. James makes free throw 2 of 2,,71,78
285,3,6:04.0,,C. LeVert misses 2-pt jump shot from 7 ft (block by G. Hill),71,78
286,3,5:59.0,Defensive rebound by K. Love,,71,78
287,3,5:53.0,Shooting foul by D. Carroll (drawn by L. James),,71,78
288,3,5:53.0,L. James misses free throw 1 of 2,,71,78
289,3,5:53.0,Offensive rebound by Team,,71,78
290,3,5:53.0,L. James misses free throw 2 of 2,,71,78
291,3,5:50.0,,Defensive rebound by C. LeVert,71,78
292,3,5:30.0,,C. LeVert makes 2-pt layup from 1 ft,71,80
293,3,5:23.0,K. Love makes 3-pt jump shot from 24 ft (assist by R. Hood),,74,80
294,3,5:10.0,,C. LeVert misses 3-pt jump shot from 24 ft,74,80
295,3,5:08.0,Defensive rebound by K. Love,,74,80
296,3,4:51.0,G. Hill makes 3-pt jump shot from 22 ft (assist by L. James),,77,80
297,3,4:36.0,,A. Crabbe misses 2-pt jump shot from 23 ft,77,80
298,3,4:33.0,Defensive rebound by G. Hill,,77,80
299,3,4:29.0,G. Hill makes 2-pt layup from 1 ft,,79,80
300,3,4:29.0,,Brooklyn full timeout,79,80
301,3,4:29.0,,S. Dinwiddie enters the game for D. Carroll,79,80
302,3,4:29.0,,J. Harris enters the game for J. Allen,79,80
303,3,4:29.0,,D. Cunningham enters the game for A. Crabbe,79,80
304,3,4:29.0,J. Smith enters the game for K. Love,,79,80
305,3,4:09.0,,R. Hollis-Jefferson makes 2-pt jump shot from 10 ft,79,82
306,3,3:51.0,L. Nance misses 2-pt jump shot from 21 ft,,79,82
307,3,3:47.0,,Defensive rebound by S. Dinwiddie,79,82
308,3,3:33.0,,J. Harris makes 2-pt layup from 1 ft (assist by R. Hollis-Jefferson),79,84
309,3,3:21.0,L. James misses 3-pt jump shot from 24 ft,,79,84
310,3,3:18.0,,Defensive rebound by J. Harris,79,84
311,3,3:12.0,,Turnover by J. Harris (bad pass; steal by G. Hill),79,84
312,3,3:06.0,G. Hill misses 2-pt jump shot from 9 ft,,79,84
313,3,3:03.0,,Defensive rebound by D. Cunningham,79,84
314,3,2:59.0,,J. Harris misses 3-pt jump shot from 22 ft,79,84
315,3,2:54.0,Defensive rebound by J. Smith,,79,84
316,3,2:48.0,Turnover by J. Smith (bad pass; steal by J. Harris),,79,84
317,3,2:38.0,,S. Dinwiddie misses 3-pt jump shot from 24 ft,79,84
318,3,2:34.0,Defensive rebound by G. Hill,,79,84
319,3,2:28.0,Cleveland full timeout,,79,84
320,3,2:28.0,T. Thompson enters the game for G. Hill,,79,84
321,3,2:28.0,J. Clarkson enters the game for L. Nance,,79,84
322,3,2:28.0,,D. Carroll enters the game for R. Hollis-Jefferson,79,84
323,3,2:12.0,J. Smith makes 2-pt jump shot from 19 ft,,81,84
324,3,1:48.0,,D. Cunningham misses 2-pt layup from 1 ft,81,84
325,3,1:46.0,Defensive rebound by L. James,,81,84
326,3,1:37.0,R. Hood misses 2-pt jump shot from 7 ft,,81,84
327,3,1:36.0,Offensive rebound by T. Thompson,,81,84
328,3,1:35.0,T. Thompson misses 2-pt layup at rim,,81,84
329,3,1:34.0,Offensive rebound by T. Thompson,,81,84
330,3,1:33.0,T. Thompson makes 2-pt layup from 2 ft,,83,84
331,3,1:09.0,,S. Dinwiddie misses 2-pt jump shot from 8 ft,83,84
332,3,1:05.0,Defensive rebound by L. James,,83,84
333,3,0:58.0,J. Clarkson misses 3-pt jump shot from 22 ft,,83,84
334,3,0:54.0,,Defensive rebound by D. Carroll,83,84
335,3,0:47.0,,C. LeVert misses 2-pt layup from 1 ft,83,84
336,3,0:45.0,,Offensive rebound by D. Cunningham,83,84
337,3,0:43.0,,J. Harris makes 3-pt jump shot from 25 ft (assist by D. Cunningham),83,87
338,3,0:37.0,L. James makes 2-pt layup at rim,,85,87
339,3,0:31.0,,S. Dinwiddie makes 2-pt layup from 1 ft,85,89
340,3,0:12.0,J. Clarkson makes 2-pt jump shot from 6 ft,,87,89
341,3,0:05.0,,Personal take foul by J. Clarkson (drawn by C. LeVert),87,89
342,3,0:05.0,G. Hill enters the game for L. James,,87,89
343,3,0:03.0,,D. Cunningham misses 3-pt jump shot from 25 ft,87,89
344,3,0:00.0,Defensive rebound by T. Thompson,,87,89
345,4,11:43.0,,C. LeVert makes 2-pt layup from 1 ft,87,91
346,4,11:26.0,J. Clarkson makes 3-pt jump shot from 24 ft (assist by G. Hill),,90,91
347,4,11:03.0,,C. LeVert misses 2-pt jump shot from 7 ft,90,91
348,4,10:59.0,Defensive rebound by T. Thompson,,90,91
349,4,10:52.0,J. Clarkson misses 2-pt jump shot from 8 ft,,90,91
350,4,10:50.0,,Defensive rebound by J. Harris,90,91
351,4,10:32.0,,S. Dinwiddie makes 2-pt layup from 1 ft (assist by C. LeVert),90,93
352,4,10:19.0,J. Clarkson misses 2-pt jump shot from 10 ft,,90,93
353,4,10:17.0,Offensive rebound by T. Thompson,,90,93
354,4,10:17.0,Personal foul by C. LeVert (drawn by T. Thompson),,90,93
355,4,10:10.0,Turnover by J. Smith (bad pass; steal by D. Carroll),,90,93
356,4,10:04.0,,D. Cunningham makes 2-pt layup from 1 ft (assist by D. Carroll),90,95
357,4,10:03.0,Cleveland full timeout,,90,95
358,4,9:52.0,R. Hood makes 2-pt jump shot from 7 ft (assist by G. Hill),,92,95
359,4,9:29.0,,C. LeVert misses 2-pt layup from 1 ft,92,95
360,4,9:27.0,Defensive rebound by T. Thompson,,92,95
361,4,9:20.0,Shooting foul by J. Harris (drawn by J. Clarkson),,92,95
362,4,9:20.0,J. Clarkson makes free throw 1 of 3,,93,95
363,4,9:20.0,J. Clarkson makes free throw 2 of 3,,94,95
364,4,9:20.0,,D. Russell enters the game for C. LeVert,94,95
365,4,9:20.0,J. Clarkson makes free throw 3 of 3,,95,95
366,4,9:02.0,,D. Carroll misses 2-pt jump shot from 20 ft,95,95
367,4,8:58.0,Defensive rebound by T. Thompson,,95,95
368,4,8:39.0,R. Hood makes 2-pt jump shot from 17 ft,,97,95
369,4,8:15.0,,S. Dinwiddie makes 3-pt jump shot from 25 ft (assist by D. Cunningham),97,98
370,4,7:51.0,R. Hood misses 3-pt jump shot from 24 ft,,97,98
371,4,7:51.0,,Defensive rebound by Team,97,98
372,4,7:51.0,,R. Hollis-Jefferson enters the game for D. Carroll,97,98
373,4,7:51.0,K. Love enters the game for T. Thompson,,97,98
374,4,7:40.0,Offensive charge foul by D. Cunningham (drawn by R. Hood),,97,98
375,4,7:40.0,,Turnover by D. Cunningham (offensive foul),97,98
376,4,7:26.0,J. Clarkson makes 2-pt dunk from 1 ft (assist by K. Love),,99,98
377,4,6:58.0,,S. Dinwiddie misses 2-pt layup from 1 ft,99,98
378,4,6:56.0,Defensive rebound by J. Smith,,99,98
379,4,6:49.0,K. Love misses 2-pt hook shot from 5 ft,,99,98
380,4,6:45.0,,Defensive rebound by R. Hollis-Jefferson,99,98
381,4,6:28.0,,R. Hollis-Jefferson misses 2-pt layup from 2 ft,99,98
382,4,6:25.0,,Offensive rebound by J. Harris,99,98
