,QUARTER,TIME_REMAINING,NEW YORK_ACTION,OKLAHOMA CITY_ACTION,NEW YORK_SCORE,OKLAHOMA CITY_SCORE
68,1,4:52.0,,P. George makes free throw 1 of 2,12,17
69,1,4:52.0,R. Baker enters the game for R. Sessions,,12,17
70,1,4:52.0,D. McDermott enters the game for K. Porziņģis,,12,17
71,1,4:52.0,,P. George makes free throw 2 of 2,12,18
72,1,4:37.0,Turnover by R. Baker (bad pass; steal by S. Adams),,12,18
73,1,4:31.0,,R. Westbrook makes 2-pt layup from 1 ft,12,20
74,1,4:22.0,New York full timeout,,12,20
75,1,4:17.0,E. Freedom misses 2-pt layup from 2 ft,,12,20
76,1,4:15.0,,Defensive rebound by S. Adams,12,20
77,1,4:12.0,,Turnover by J. Grant (offensive goaltending),12,20
78,1,3:58.0,Turnover by E. Freedom (traveling),,12,20
79,1,3:44.0,,Offensive foul by S. Adams (drawn by L. Thomas),12,20
80,1,3:44.0,,Turnover by S. Adams (offensive foul),12,20
81,1,3:44.0,,T. Ferguson enters the game for S. Adams,12,20
82,1,3:44.0,,C. Anthony enters the game for P. George,12,20
83,1,3:44.0,M. Beasley enters the game for E. Freedom,,12,20
84,1,3:44.0,K. O'Quinn enters the game for L. Thomas,,12,20
85,1,3:27.0,M. Beasley makes 2-pt jump shot from 17 ft (assist by D. McDermott),,14,20
86,1,3:20.0,,R. Westbrook misses 2-pt layup from 1 ft,14,20
87,1,3:17.0,Defensive rebound by K. O'Quinn,,14,20
88,1,3:10.0,K. O'Quinn makes 2-pt layup at rim (assist by R. Baker),,16,20
89,1,3:08.0,,Personal take foul by R. Baker (drawn by R. Westbrook),16,20
90,1,3:08.0,,R. Westbrook makes free throw 1 of 2,16,21
91,1,3:08.0,K. Porziņģis enters the game for M. Beasley,,16,21
92,1,3:08.0,,R. Westbrook misses free throw 2 of 2,16,21
93,1,3:05.0,Defensive rebound by K. O'Quinn,,16,21
94,1,2:58.0,Turnover by C. Lee (traveling),,16,21
95,1,2:47.0,,R. Westbrook makes 2-pt layup from 1 ft,16,23
96,1,2:37.0,Offensive foul by K. O'Quinn (drawn by C. Anthony),,16,23
97,1,2:37.0,Turnover by K. O'Quinn (offensive foul),,16,23
98,1,2:37.0,,R. Felton enters the game for R. Westbrook,16,23
99,1,2:18.0,,Turnover by T. Ferguson (traveling),16,23
100,1,2:06.0,Shooting foul by J. Grant (drawn by K. Porziņģis),,16,23
101,1,2:06.0,K. Porziņģis makes free throw 1 of 2,,17,23
102,1,2:06.0,,P. George enters the game for T. Ferguson,17,23
103,1,2:06.0,K. Porziņģis makes free throw 2 of 2,,18,23
104,1,1:43.0,,Turnover by J. Grant (lost ball; steal by R. Baker),18,23
105,1,1:38.0,C. Lee makes 2-pt layup at rim,,20,23
106,1,1:18.0,,Turnover by C. Anthony (traveling),20,23
107,1,1:18.0,L. Thomas enters the game for C. Lee,,20,23
108,1,1:05.0,,Offensive charge foul by K. Porziņģis (drawn by J. Grant),20,23
109,1,1:05.0,Turnover by K. Porziņģis (offensive foul),,20,23
110,1,0:50.0,,P. George makes 3-pt jump shot from 24 ft (assist by R. Felton),20,26
111,1,0:39.0,Turnover by R. Baker (lost ball; steal by R. Felton),,20,26
112,1,0:35.0,,J. Grant misses 2-pt dunk at rim,20,26
113,1,0:33.0,Defensive rebound by K. Porziņģis,,20,26
114,1,0:30.0,K. Porziņģis makes 2-pt layup from 4 ft (assist by D. McDermott),,22,26
115,1,0:11.0,,Shooting foul by K. O'Quinn (drawn by C. Anthony),22,26
116,1,0:11.0,,C. Anthony misses free throw 1 of 2,22,26
117,1,0:11.0,,Offensive rebound by Team,22,26
118,1,0:11.0,,A. Roberson enters the game for Á. Abrines,22,26
119,1,0:11.0,T. Hardaway enters the game for K. O'Quinn,,22,26
120,1,0:11.0,C. Lee enters the game for L. Thomas,,22,26
121,1,0:11.0,,C. Anthony makes free throw 2 of 2,22,27
122,1,0:05.0,Personal foul by R. Felton (drawn by R. Baker),,22,27
123,1,0:02.0,K. Porziņģis makes 2-pt jump shot from 18 ft (assist by D. McDermott),,24,27
124,1,0:00.0,,C. Anthony misses 3-pt jump shot from 36 ft,24,27
125,1,0:00.0,,Offensive rebound by Team,24,27
126,2,11:47.0,,P. George misses 3-pt jump shot from 25 ft,24,27
127,2,11:43.0,Defensive rebound by K. Porziņģis,,24,27
128,2,11:36.0,Turnover by D. McDermott (traveling),,24,27
129,2,11:14.0,,P. George misses 2-pt jump shot from 19 ft,24,27
130,2,11:10.0,Defensive rebound by K. Porziņģis,,24,27
131,2,10:55.0,D. McDermott misses 2-pt jump shot from 3 ft,,24,27
132,2,10:53.0,,Defensive rebound by A. Roberson,24,27
133,2,10:48.0,,P. Patterson misses 3-pt jump shot from 25 ft,24,27
134,2,10:48.0,Defensive rebound by R. Baker,,24,27
135,2,10:37.0,,Loose ball foul by R. Felton (drawn by R. Baker),24,27
136,2,10:30.0,K. Porziņģis makes 3-pt jump shot from 24 ft (assist by K. O'Quinn),,27,27
137,2,10:09.0,,P. George misses 3-pt jump shot from 22 ft,27,27
138,2,10:07.0,Defensive rebound by K. Porziņģis,,27,27
139,2,10:02.0,F. Ntilikina enters the game for R. Baker,,27,27
140,2,9:54.0,K. Porziņģis misses 2-pt jump shot from 12 ft,,27,27
141,2,9:52.0,Offensive rebound by K. O'Quinn,,27,27
142,2,9:51.0,K. O'Quinn makes 2-pt layup from 1 ft,,29,27
143,2,9:41.0,,C. Anthony misses 2-pt jump shot from 18 ft,29,27
144,2,9:41.0,Defensive rebound by K. Porziņģis,,29,27
145,2,9:29.0,K. O'Quinn misses 2-pt jump shot from 4 ft (block by C. Anthony),,29,27
146,2,9:26.0,,Defensive rebound by A. Roberson,29,27
147,2,9:22.0,,Shooting foul by K. Porziņģis (drawn by C. Anthony),29,27
148,2,9:22.0,,C. Anthony makes free throw 1 of 2,29,28
149,2,9:22.0,,C. Anthony misses free throw 2 of 2,29,28
150,2,9:20.0,Defensive rebound by K. O'Quinn,,29,28
151,2,9:03.0,K. Porziņģis makes 2-pt jump shot from 1 ft,,31,28
152,2,8:45.0,,C. Anthony makes 2-pt jump shot from 16 ft,31,30
153,2,8:34.0,,R. Westbrook enters the game for R. Felton,31,30
154,2,8:34.0,C. Lee enters the game for D. McDermott,,31,30
155,2,8:32.0,F. Ntilikina misses 2-pt jump shot from 11 ft,,31,30
156,2,8:29.0,,Defensive rebound by P. Patterson,31,30
157,2,8:23.0,,P. Patterson misses 3-pt jump shot from 24 ft,31,30
158,2,8:21.0,,Offensive rebound by R. Westbrook,31,30
159,2,8:19.0,,C. Anthony misses 3-pt jump shot from 25 ft,31,30
160,2,8:16.0,Defensive rebound by C. Lee,,31,30
161,2,8:12.0,T. Hardaway makes 3-pt jump shot from 25 ft (assist by C. Lee),,34,30
162,2,7:48.0,,C. Anthony misses 3-pt jump shot from 25 ft,34,30
163,2,7:44.0,Defensive rebound by K. O'Quinn,,34,30
164,2,7:34.0,K. Porziņģis misses 2-pt jump shot from 5 ft,,34,30
165,2,7:32.0,,Defensive rebound by R. Westbrook,34,30
166,2,7:28.0,,C. Anthony makes 3-pt jump shot from 24 ft (assist by R. Westbrook),34,33
167,2,7:27.0,New York full timeout,,34,33
168,2,7:27.0,,S. Adams enters the game for C. Anthony,34,33
169,2,7:27.0,L. Thomas enters the game for K. Porziņģis,,34,33
170,2,7:27.0,E. Freedom enters the game for K. O'Quinn,,34,33
171,2,7:14.0,Turnover by T. Hardaway (bad pass; steal by S. Adams),,34,33
172,2,7:09.0,,A. Roberson misses 2-pt layup from 1 ft,34,33
173,2,7:07.0,Defensive rebound by E. Freedom,,34,33
174,2,6:59.0,E. Freedom misses 2-pt layup from 2 ft (block by R. Westbrook),,34,33
175,2,6:59.0,Offensive rebound by Team,,34,33
176,2,6:52.0,T. Hardaway makes 2-pt jump shot from 21 ft (assist by F. Ntilikina),,36,33
177,2,6:38.0,,Turnover by P. Patterson (turnover),36,33
178,2,6:25.0,F. Ntilikina misses 2-pt jump shot from 14 ft,,36,33
179,2,6:24.0,,Defensive rebound by P. Patterson,36,33
180,2,6:20.0,,Personal foul by F. Ntilikina (drawn by S. Adams),36,33
181,2,6:20.0,,Á. Abrines enters the game for A. Roberson,36,33
182,2,6:12.0,,P. George misses 2-pt jump shot from 13 ft,36,33
183,2,6:10.0,Defensive rebound by L. Thomas,,36,33
184,2,5:58.0,L. Thomas misses 3-pt jump shot from 24 ft,,36,33
185,2,5:55.0,,Defensive rebound by P. George,36,33
186,2,5:53.0,,Turnover by R. Westbrook (bad pass),36,33
187,2,5:39.0,T. Hardaway misses 3-pt jump shot from 25 ft,,36,33
188,2,5:36.0,,Defensive rebound by P. George,36,33
189,2,5:32.0,,R. Westbrook makes 2-pt layup from 1 ft,36,35
190,2,5:19.0,Turnover by F. Ntilikina (bad pass; steal by S. Adams),,36,35
191,2,5:18.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by S. Adams),36,37
192,2,5:18.0,,Shooting foul by T. Hardaway (drawn by R. Westbrook),36,37
193,2,5:18.0,R. Sessions enters the game for T. Hardaway,,36,37
194,2,5:18.0,K. Porziņģis enters the game for F. Ntilikina,,36,37
195,2,5:18.0,,R. Westbrook makes free throw 1 of 1,36,38
196,2,5:18.0,,C. Anthony enters the game for P. Patterson,36,38
197,2,5:00.0,K. Porziņģis makes 2-pt jump shot from 7 ft,,38,38
198,2,4:41.0,,C. Anthony makes 2-pt jump shot from 16 ft (assist by R. Westbrook),38,40
199,2,4:22.0,E. Freedom misses 3-pt jump shot from 24 ft,,38,40
200,2,4:18.0,,Defensive rebound by Á. Abrines,38,40
201,2,4:09.0,,P. George misses 2-pt jump shot from 2 ft,38,40
202,2,4:08.0,Defensive rebound by Team,,38,40
203,2,3:59.0,Shooting foul by C. Anthony (drawn by K. Porziņģis),,38,40
204,2,3:59.0,K. Porziņģis makes free throw 1 of 2,,39,40
205,2,3:59.0,K. Porziņģis makes free throw 2 of 2,,40,40
206,2,3:34.0,,Turnover by Team (shot clock),40,40
207,2,3:22.0,Turnover by E. Freedom (traveling),,40,40
208,2,3:05.0,,Shooting foul by L. Thomas (drawn by S. Adams),40,40
209,2,3:05.0,,S. Adams makes free throw 1 of 2,40,41
210,2,3:05.0,,S. Adams makes free throw 2 of 2,40,42
211,2,2:48.0,C. Lee misses 2-pt jump shot from 16 ft,,40,42
212,2,2:44.0,Offensive rebound by K. Porziņģis,,40,42
213,2,2:43.0,K. Porziņģis makes 2-pt layup from 1 ft,,42,42
214,2,2:28.0,,R. Westbrook misses 2-pt layup from 1 ft,42,42
215,2,2:26.0,,S. Adams makes 2-pt dunk at rim,42,44
216,2,2:24.0,,Offensive rebound by S. Adams,42,44
217,2,2:04.0,R. Sessions misses 3-pt jump shot from 24 ft,,42,44
218,2,2:00.0,,Defensive rebound by Á. Abrines,42,44
219,2,1:52.0,,Turnover by R. Westbrook (bad pass; steal by R. Sessions),42,44
220,2,1:44.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,42,44
221,2,1:40.0,,Defensive rebound by S. Adams,42,44
222,2,1:38.0,,C. Anthony makes 2-pt layup from 1 ft (assist by R. Westbrook),42,46
223,2,1:38.0,,Shooting foul by R. Sessions (drawn by C. Anthony),42,46
224,2,1:38.0,,Oklahoma City full timeout,42,46
225,2,1:38.0,K. O'Quinn enters the game for E. Freedom,,42,46
226,2,1:38.0,,C. Anthony makes free throw 1 of 1,42,47
227,2,1:15.0,K. Porziņģis misses 2-pt hook shot from 10 ft,,42,47
228,2,1:11.0,Offensive rebound by K. O'Quinn,,42,47
229,2,1:09.0,K. O'Quinn misses 2-pt layup from 2 ft (block by S. Adams),,42,47
230,2,1:09.0,Offensive rebound by K. Porziņģis,,42,47
231,2,1:08.0,K. Porziņģis misses 2-pt dunk from 3 ft,,42,47
232,2,1:07.0,,Defensive rebound by R. Westbrook,42,47
233,2,0:59.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),42,49
234,2,0:43.0,C. Lee misses 2-pt jump shot from 5 ft,,42,49
235,2,0:43.0,,Defensive rebound by S. Adams,42,49
236,2,0:39.0,Technical foul by C. Lee,,42,49
237,2,0:39.0,,R. Westbrook misses technical free throw,42,49
238,2,0:39.0,,Offensive rebound by Team,42,49
239,2,0:29.0,,P. George misses 3-pt jump shot from 24 ft,42,49
240,2,0:26.0,,Offensive rebound by Team,42,49
241,2,0:08.0,,Personal foul by L. Thomas (drawn by R. Westbrook),42,49
242,2,0:08.0,,R. Westbrook makes free throw 1 of 2,42,50
243,2,0:08.0,,T. Ferguson enters the game for C. Anthony,42,50
244,2,0:08.0,,A. Roberson enters the game for Á. Abrines,42,50
245,2,0:08.0,,J. Grant enters the game for S. Adams,42,50
246,2,0:08.0,T. Hardaway enters the game for L. Thomas,,42,50
247,2,0:08.0,,R. Westbrook makes free throw 2 of 2,42,51
248,2,0:04.0,Personal take foul by R. Westbrook (drawn by R. Sessions),,42,51
249,2,0:02.0,Turnover by T. Hardaway (bad pass; steal by P. George),,42,51
250,2,0:00.0,,P. George makes 2-pt dunk from 1 ft (assist by A. Roberson),42,53
251,3,12:00.0,,R. Westbrook makes technical free throw,42,54
252,3,11:50.0,,Turnover by R. Westbrook (bad pass; steal by E. Freedom),42,54
253,3,11:44.0,C. Lee makes 2-pt jump shot from 8 ft,,44,54
254,3,11:27.0,,C. Anthony makes 2-pt jump shot from 17 ft (assist by R. Westbrook),44,56
255,3,11:11.0,T. Hardaway misses 2-pt jump shot from 16 ft,,44,56
256,3,11:11.0,,Defensive rebound by Team,44,56
257,3,10:51.0,,A. Roberson misses 2-pt layup from 3 ft (block by R. Sessions),44,56
258,3,10:49.0,,Offensive rebound by A. Roberson,44,56
259,3,10:46.0,,Turnover by Team (shot clock),44,56
260,3,10:33.0,K. Porziņģis misses 2-pt jump shot from 9 ft,,44,56
261,3,10:30.0,,Defensive rebound by A. Roberson,44,56
262,3,10:18.0,,Turnover by P. George (out of bounds lost ball),44,56
263,3,10:01.0,Personal foul by R. Westbrook (drawn by K. Porziņģis),,44,56
264,3,9:53.0,Turnover by R. Sessions (bad pass; steal by A. Roberson),,44,56
265,3,9:50.0,,R. Westbrook makes 2-pt layup from 1 ft (assist by A. Roberson),44,58
266,3,9:36.0,E. Freedom makes 2-pt hook shot from 1 ft (assist by C. Lee),,46,58
267,3,9:12.0,,C. Anthony makes 2-pt jump shot from 13 ft (assist by P. George),46,60
268,3,9:00.0,Turnover by R. Sessions (bad pass; steal by S. Adams),,46,60
269,3,8:56.0,,A. Roberson makes 2-pt layup from 1 ft (assist by R. Westbrook),46,62
270,3,8:32.0,E. Freedom makes 2-pt jump shot from 12 ft,,48,62
271,3,8:07.0,,A. Roberson misses 3-pt jump shot from 23 ft,48,62
272,3,8:05.0,Defensive rebound by E. Freedom,,48,62
273,3,8:05.0,Personal foul by S. Adams (drawn by E. Freedom),,48,62
274,3,7:52.0,Personal foul by P. George (drawn by T. Hardaway),,48,62
275,3,7:47.0,K. Porziņģis makes 2-pt jump shot from 6 ft (assist by R. Sessions),,50,62
276,3,7:33.0,,R. Westbrook misses 2-pt layup from 1 ft,50,62
277,3,7:33.0,Defensive rebound by R. Sessions,,50,62
278,3,7:25.0,E. Freedom makes 2-pt layup at rim (assist by C. Lee),,52,62
279,3,7:25.0,,Oklahoma City full timeout,52,62
280,3,7:11.0,,P. George misses 2-pt jump shot from 13 ft,52,62
281,3,7:11.0,Defensive rebound by K. Porziņģis,,52,62
282,3,6:55.0,K. Porziņģis misses 2-pt jump shot from 15 ft,,52,62
283,3,6:54.0,,Defensive rebound by C. Anthony,52,62
284,3,6:49.0,,Shooting foul by K. Porziņģis (drawn by R. Westbrook),52,62
285,3,6:49.0,,R. Westbrook misses free throw 1 of 2,52,62
286,3,6:49.0,,Offensive rebound by Team,52,62
287,3,6:49.0,,R. Westbrook makes free throw 2 of 2,52,63
288,3,6:27.0,T. Hardaway misses 3-pt jump shot from 24 ft (block by P. George),,52,63
289,3,6:24.0,,Defensive rebound by R. Westbrook,52,63
290,3,6:23.0,,P. George makes 2-pt layup from 1 ft (assist by R. Westbrook),52,65
291,3,6:02.0,E. Freedom misses 2-pt hook shot from 4 ft,,52,65
292,3,6:01.0,,Defensive rebound by Team,52,65
293,3,6:01.0,,J. Grant enters the game for C. Anthony,52,65
294,3,5:50.0,,S. Adams makes 2-pt dunk at rim (assist by R. Westbrook),52,67
295,3,5:37.0,Personal foul by J. Grant (drawn by K. Porziņģis),,52,67
296,3,5:33.0,Turnover by E. Freedom (traveling),,52,67
297,3,5:25.0,,A. Roberson makes 2-pt dunk at rim (assist by R. Westbrook),52,69
298,3,5:24.0,New York full timeout,,52,69
299,3,5:07.0,K. Porziņģis misses 3-pt jump shot from 25 ft,,52,69
300,3,5:04.0,,Defensive rebound by R. Westbrook,52,69
301,3,5:02.0,,Turnover by R. Westbrook (bad pass; steal by E. Freedom),52,69
302,3,4:59.0,K. Porziņģis misses 2-pt layup from 1 ft,,52,69
303,3,4:57.0,,Defensive rebound by P. George,52,69
304,3,4:37.0,,S. Adams makes 2-pt layup at rim (assist by R. Westbrook),52,71
305,3,4:07.0,R. Sessions misses 2-pt layup from 1 ft,,52,71
306,3,4:04.0,,Defensive rebound by P. George,52,71
307,3,4:00.0,,P. George misses 2-pt jump shot from 21 ft,52,71
308,3,3:57.0,Defensive rebound by E. Freedom,,52,71
309,3,3:48.0,Turnover by C. Lee (out of bounds lost ball),,52,71
310,3,3:48.0,,Á. Abrines enters the game for S. Adams,52,71
311,3,3:48.0,,C. Anthony enters the game for P. George,52,71
312,3,3:48.0,R. Baker enters the game for E. Freedom,,52,71
313,3,3:48.0,K. O'Quinn enters the game for R. Sessions,,52,71
314,3,3:32.0,,J. Grant misses 3-pt jump shot from 23 ft,52,71
315,3,3:31.0,Defensive rebound by Team,,52,71
316,3,3:31.0,,Loose ball foul by R. Westbrook (drawn by R. Baker),52,71
317,3,3:31.0,R. Baker misses free throw 1 of 2,,52,71
318,3,3:31.0,Offensive rebound by Team,,52,71
319,3,3:31.0,D. McDermott enters the game for T. Hardaway,,52,71
320,3,3:31.0,R. Baker makes free throw 2 of 2,,53,71
321,3,3:23.0,,R. Westbrook makes 2-pt layup at rim,53,73
322,3,3:03.0,C. Lee misses 3-pt jump shot from 23 ft,,53,73
323,3,3:02.0,Offensive rebound by K. O'Quinn,,53,73
324,3,3:02.0,Shooting foul by Á. Abrines (drawn by K. O'Quinn),,53,73
325,3,3:02.0,K. O'Quinn makes free throw 1 of 2,,54,73
326,3,3:02.0,L. Thomas enters the game for K. Porziņģis,,54,73
327,3,3:02.0,K. O'Quinn makes free throw 2 of 2,,55,73
328,3,2:45.0,,C. Anthony misses 3-pt jump shot from 25 ft,55,73
329,3,2:42.0,,Offensive rebound by A. Roberson,55,73
330,3,2:41.0,,A. Roberson makes 2-pt layup from 1 ft,55,75
331,3,2:27.0,R. Baker misses 3-pt jump shot from 25 ft,,55,75
332,3,2:24.0,,Defensive rebound by R. Westbrook,55,75
333,3,2:18.0,,Turnover by R. Westbrook (bad pass; steal by R. Baker),55,75
334,3,2:14.0,Personal foul by C. Anthony (drawn by R. Baker),,55,75
335,3,2:14.0,R. Baker misses free throw 1 of 2,,55,75
336,3,2:14.0,Offensive rebound by Team,,55,75
337,3,2:14.0,,R. Felton enters the game for R. Westbrook,55,75
338,3,2:14.0,R. Baker misses free throw 2 of 2,,55,75
339,3,2:13.0,,Defensive rebound by Team,55,75
340,3,2:13.0,Loose ball foul by K. O'Quinn (drawn by J. Grant),,55,75
341,3,2:02.0,,Personal foul by L. Thomas (drawn by C. Anthony),55,75
342,3,2:02.0,,T. Ferguson enters the game for A. Roberson,55,75
343,3,1:52.0,,C. Anthony misses 2-pt jump shot from 6 ft,55,75
344,3,1:51.0,Defensive rebound by Team,,55,75
345,3,1:32.0,L. Thomas misses 2-pt jump shot from 12 ft (block by C. Anthony),,55,75
346,3,1:30.0,Offensive rebound by L. Thomas,,55,75
347,3,1:29.0,Turnover by L. Thomas (out of bounds lost ball),,55,75
348,3,1:13.0,,Turnover by Á. Abrines (lost ball; steal by C. Lee),55,75
349,3,1:10.0,C. Lee makes 2-pt layup at rim,,57,75
350,3,0:47.0,,R. Felton makes 2-pt jump shot from 5 ft,57,77
351,3,0:29.0,C. Lee misses 2-pt jump shot from 14 ft,,57,77
352,3,0:28.0,Offensive rebound by L. Thomas,,57,77
353,3,0:28.0,L. Thomas makes 2-pt layup at rim,,59,77
354,3,0:04.0,,C. Anthony misses 3-pt jump shot from 25 ft,59,77
355,3,0:01.0,,Offensive rebound by J. Grant,59,77
356,3,0:00.0,,J. Grant makes 2-pt jump shot from 10 ft,59,79
357,4,11:40.0,K. Porziņģis makes 2-pt layup at rim (assist by R. Baker),,61,79
358,4,11:17.0,,R. Felton misses 2-pt jump shot from 6 ft,61,79
359,4,11:14.0,Defensive rebound by K. O'Quinn,,61,79
360,4,11:03.0,D. McDermott makes 2-pt jump shot from 8 ft (assist by T. Hardaway),,63,79
361,4,10:44.0,,P. George makes 3-pt jump shot from 24 ft (assist by J. Grant),63,82
362,4,10:31.0,Shooting foul by J. Grant (drawn by R. Baker),,63,82
363,4,10:31.0,R. Baker misses free throw 1 of 2,,63,82
364,4,10:31.0,Offensive rebound by Team,,63,82
365,4,10:31.0,R. Baker makes free throw 2 of 2,,64,82
366,4,10:18.0,,Turnover by C. Anthony (bad pass; steal by R. Baker),64,82
367,4,10:15.0,Turnover by R. Baker (bad pass; steal by R. Felton),,64,82
368,4,10:12.0,,C. Anthony makes 3-pt jump shot from 25 ft (assist by R. Felton),64,85
369,4,10:02.0,Personal foul by T. Ferguson (drawn by D. McDermott),,64,85
370,4,9:55.0,T. Hardaway misses 3-pt jump shot from 24 ft,,64,85
371,4,9:51.0,Offensive rebound by D. McDermott,,64,85
372,4,9:39.0,T. Hardaway misses 2-pt layup from 5 ft,,64,85
373,4,9:36.0,,Defensive rebound by P. George,64,85
374,4,9:32.0,,T. Ferguson misses 3-pt jump shot from 25 ft,64,85
375,4,9:28.0,Defensive rebound by D. McDermott,,64,85
376,4,9:22.0,R. Baker makes 3-pt jump shot from 24 ft,,67,85
377,4,9:04.0,,P. George misses 3-pt jump shot from 24 ft,67,85
378,4,9:02.0,Defensive rebound by K. O'Quinn,,67,85
379,4,8:44.0,Turnover by K. O'Quinn (lost ball; steal by C. Anthony),,67,85
380,4,8:39.0,,T. Ferguson makes 2-pt layup from 1 ft (assist by J. Grant),67,87
381,4,8:37.0,New York full timeout,,67,87
382,4,8:37.0,,S. Adams enters the game for J. Grant,67,87
383,4,8:37.0,,R. Westbrook enters the game for T. Ferguson,67,87
